_EF_ZIP_CODE_REF_EZ.CITY_NAME,V_EF_ZIP_CODE_REF_EZ.COUNTY_NAME,V_EF_ZIP_CODE_REF_EZ.STATE_ABBR,V_EF_ZIP_CODE_REF_EZ.ZIP_CODE
BLANCHE,RAPIDES,LA,71433
BLANDINSVILLE,MCDONOUGH,IL,61420
BLMGTN,MONROE,IN,47403
BLMGTN,MONROE,IN,47407
BLMGTN,MONROE,IN,47408
BLOOMFIELD,GREENE,IN,47424
BLOOMINGDALE,PARKE,IN,47832
BLOOMINGPORT,RANDOLPH,IN,47355
BLOOMINGTON,MCLEAN,IL,61702
BLOOMINGTON,MONROE,IN,47490
BLUE CREEK,RIPLEY,IN,47041
BOAZ,GRAVES,KY,42027
BODOC,AVOYELLES,LA,71362
BOLES,MONROE,KY,42167
BOND,LAWRENCE,IL,62439
BONE GAP,EDWARDS,IL,62815
BONFIELD,KANKAKEE,IL,60913
BONNIE,JEFFERSON,IL,62816
BOSSIER CITY,BOSSIER,LA,71112
BOURBON,MARSHALL,IN,46504
BOUTTE,SAINT CHARLES,LA,70039
BOWLING GREEN,WARREN,KY,42103
BOYCE,RAPIDES,LA,71409
BRADBURY,CUMBERLAND,IL,62468
BRADFORD,BRACKEN,KY,41043
BRADLEY,KANKAKEE,IL,60915
BRAYTOWN,SWITZERLAND,IN,47043
BRAZILTON,CRAWFORD,KS,66743
BREEZEWOOD PARK,DELAWARE,IN,47302
BREEZY HILL,GRANT,LA,71467
BRINEGAR,CARTER,KY,41164
BRM SOUTH BEND,ST JOSEPH,IN,46699
BROOKFIELD,COOK,IL,60513
BROOKPORT,MASSAC,IL,62910
BROOKSIDE,HARLAN,KY,40801
BROOKVILLE,DEARBORN,IN,47012
BROUGHTON,HAMILTON,IL,62817
BROUILLETTE,AVOYELLES,LA,71351
BROUSSARD,LAFAYETTE,LA,70518
BROWDER,MUHLENBERG,KY,42326
BROWNFIELD,POPE,IL,62938
BROWNS FORK,PERRY,KY,41701
BROWNSBURG,HENDRICKS,IN,46112
BROWNSTOWN,JACKSON,IN,47220
BROWNSVILLE,EDMONSON,KY,42210
BRULY SAINT MARTIN,ASSUMPTION,LA,70341
BRUSLY,WEST BATON ROUGE,LA,70719
BUCKLEY,IROQUOIS,IL,60918
BUCKSKIN,GIBSON,IN,47647
BUGTUSSLE,MONROE,KY,42140
BUNCOMBE,JOHNSON,IL,62912
BUNKER HILL,MACOUPIN,IL,62014
BUNKER HILL,MIAMI,IN,46914
BUNKIE,AVOYELLES,LA,71322
BUREAU OF CENSUS DECENNIAL,CLARK,IN,47199
BURGLEN HILLS,PERRY,IN,47586
BURNS HARBOR,PORTER,IN,46304
BURNT PRAIRIE,WHITE,IL,62820
BUSHONG,LYON,KS,66833
BUSINESS REPLY,ALLEN,IN,46897
BUSY,PERRY,KY,41723
BYWATER,ORLEANS,LA,70117
C I P S,SANGAMON,IL,62739
CADIZ,HENRY,IN,47362
CALUMET CITY,COOK,IL,60409
CALUMET PARK,COOK,IL,60643
CALVIN,WINN,LA,71410
CAMARGO,DOUGLAS,IL,61919
CAMBY,MORGAN,IN,46113
CAMERON,WARREN,IL,61423
CANMER,HART,KY,42722
CANNELBURG,DAVIESS,IN,47519
CANNELTON HTS,PERRY,IN,47520
CARBON,CLAY,IN,47837
CARCASSONNE,LETCHER,KY,41804
CARDISS COLLINS P&DC,COOK,IL,60606
CARDISS COLLINS P&DC,COOK,IL,60607
CARENCRO,LAFAYETTE,LA,70520
CARLOCK,MCLEAN,IL,61725
CARLTON,OUACHITA,LA,71225
CAROL STREAM,DU PAGE,IL,60199
CARTER,CARTER,KY,41128
CARTHAGE,HANCOCK,IL,62321
CARTHAGE,RUSH,IN,46115
CARTHAGE LAKE,HENDERSON,IL,61425
CASSODAY,CHASE,KS,66862
CAVEHILL,WARREN,KY,42274
CECILIA,SAINT MARTIN,LA,70521
CEMAR ESTATES,VIGO,IN,47805
CENTERVILLE,SAINT MARY,LA,70522
CENTRAL CTY,MUHLENBERG,KY,42330
CENTROPOLIS,FRANKLIN,KS,66067
CHAFLIN BRIDGE,MONROE,IL,62244
CHAMPAIGN,CHAMPAIGN,IL,61822
CHARLOTTESVILLE,HANCOCK,IN,46117
CHATHAM,JACKSON,LA,71226
CHAVIES,PERRY,KY,41727
CHENOA,BELL,KY,40977
CHERRY VALLEY,WINNEBAGO,IL,61016
CHICAGO,COOK,IL,60602
CHICAGO,COOK,IL,60632
CHICAGO,COOK,IL,60646
CHICAGO,COOK,IL,60651
CHICAGO,COOK,IL,60655
CHICAGO,COOK,IL,60656
CHICAGO,COOK,IL,60661
CHICAGO,COOK,IL,60675
CHICAGO,COOK,IL,60690
CHICAGO,COOK,IL,60691
CHICAGO,COOK,IL,60701
CHILLICOTHE,PEORIA,IL,61523
CHOUPIQUE,AVOYELLES,LA,71362
CHRISNEY,SPENCER,IN,47611
CHRISTMAS LAKE VILLAGE,SPENCER,IN,47579
CHURUBUSCO,NOBLE,IN,46723
CHURUBUSCO,WHITLEY,IN,46723
CINDA,LESLIE,KY,41776
CLAREMONT,RICHLAND,IL,62421
CLARKSDALE,CHRISTIAN,IL,62556
CLARKSON,GRAYSON,KY,42726
CLAY CENTER,CLAY,KS,67432
CLAYHOLE,BREATHITT,KY,41317
CLEAR CREEK,MONROE,IN,47426
CLEONE,CLARK,IL,62442
CLERMONT,BULLITT,KY,40110
CLERMONT,HENDRICKS,IN,46234
CLEVELAND,HENRY,IL,61241
CLINTON,DEWITT,IL,61727
CLINTON,HICKMAN,KY,42031
COATESVILLE,PUTNAM,IN,46121
COCODRIE,TERREBONNE,LA,70344
COCOVILLE,AVOYELLES,LA,71350
COLD SPRING,CAMPBELL,KY,41076
COLLEGE CAMPUS,CALLOWAY,KY,42071
COLLEGE CORNER,JAY,IN,47371
COLLINS,WHITLEY,IN,46725
COLLYER,TREGO,KS,67631
COLUMBIA HOUSE P DUE,VIGO,IN,47812
COLUMBUS,ADAMS,IL,62320
COMER,MACOUPIN,IL,62626
COMO,JAY,IN,47371
COMPTON,LEE,IL,61318
CONCORDIA LAKE,CONCORDIA,LA,71334
CONFLUENCE,LESLIE,KY,41749
CONVERSE,MIAMI,IN,46919
COPENHAGEN,CALDWELL,LA,71418
CORAL,MCHENRY,IL,60152
CORBIN,LAUREL,KY,40701
CORBIN,WHITLEY,KY,40701
CORDELL,LAWRENCE,KY,41124
CORNING,DAVIESS,IN,47558
CORNWALL,HENRY,IL,61235
CORTLAND,DE KALB,IL,60112
COTTLE,MORGAN,KY,41472
COUNCIL GROVE,MORRIS,KS,66846
COUNTRY TERR,DELAWARE,IN,47303
COUNTRY TERRACE,DELAWARE,IN,47303
COV,KENTON,KY,41011
COVINGTON,FOUNTAIN,IN,47932
COVINGTON,KENTON,KY,41016
COXS CREEK,NELSON,KY,40013
COYVILLE,WILSON,KS,66736
CRAMERS,PEORIA,IL,61529
CRANE NAVAL WEAPONS SUPPORT,MARTIN,IN,47522
CRANE NEST,KNOX,KY,40906
CREOLE,CAMERON,LA,70632
CRESCENT PARK,KENTON,KY,41017
CRESTLINE,CHEROKEE,KS,66728
CRESTON,BIENVILLE,LA,71070
CRETE,RANDOLPH,IN,47355
CRITTENDEN,GRANT,KY,41030
CROFTON,CHRISTIAN,KY,42217
CROUCH,WAYNE,IL,62895
CROWLEY,ACADIA,LA,70527
CUBA,FULTON,IL,61427
CURDSVILLE,DAVIESS,KY,42334
CURRY,SULLIVAN,IN,47879
CUTSHIN,LESLIE,KY,41776
DALE,SPENCER,IN,47523
DALLAS CITY,HANCOCK,IL,62330
DANA,FLOYD,KY,41615
DAVISPORT,MARTIN,KY,41262
DAY RURAL,LETCHER,KY,41858
DAYTON,CAMPBELL,KY,41073
DAYTON,CAMPBELL,KY,41074
DAYTON,TIPPECANOE,IN,47941
DE SOTO,JACKSON,IL,62924
DEER PARK,LAKE,IL,60010
DEER PLAIN,CALHOUN,IL,62013
DEGOGNIA,JACKSON,IL,62950
DELAWARE,DAVIESS,KY,42373
DELIA,JACKSON,KS,66418
DELONG,KNOX,IL,61436
DELPHIA,PERRY,KY,41735
DEMA,KNOTT,KY,41859
DEMOTTE,JASPER,IN,46310
DENISON,LAWRENCE,IL,62460
DENVER,HANCOCK,IL,62321
DEPAUW,HARRISON,IN,47115
DEPT PUBLIC PROPERTY CWLP,SANGAMON,IL,62757
DERBY,PERRY,IN,47525
DES PLAINES,COOK,IL,60016
DES PLAINES,COOK,IL,60019
DETROIT,PIKE,IL,62363
DEWEY,CHAMPAIGN,IL,61840
DEXTER,COWLEY,KS,67038
DILLON,TAZEWELL,IL,61568
DIV OF POSTAL INSPECTORS,COOK,IL,60669
DIXIE,KENTON,KY,41017
DIXIE INN,WEBSTER,LA,71055
DIXMOOR,COOK,IL,60426
DONALDSONVILLE,ASCENSION,LA,70346
DONOVAN,IROQUOIS,IL,60931
DORA BEND,AVOYELLES,LA,71327
DORTON BRANCH,BELL,KY,40977
DOUGLAS,PIKE,KY,41560
DOWNS,OSBORNE,KS,67437
DOYLINE,WEBSTER,LA,71023
DRAKE,GREENE,IL,62092
DRAKESBORO,MUHLENBERG,KY,42337
DRY FORK,BARREN,KY,42141
DU QUOIN,PERRY,IL,62832
DUANE,PERRY,KY,41722
DUBOIS,DUBOIS,IN,47527
DUCK CREEK,MADISON,IN,46036
DUFF,DUBOIS,IN,47542
DULAC,TERREBONNE,LA,70353
DULUTH,POTTAWATOMIE,KS,66521
DUNDEE,OHIO,KY,42338
DUNKIRK,BLACKFORD,IN,47336
DUNKIRK,JAY,IN,47336
DUTCH TOWN,DE KALB,IN,46738
E TOWN,HARDIN,KY,42701
EAST CLINTON,WHITESIDE,IL,61252
EASTBOROUGH,SEDGWICK,KS,67208
EATON,DELAWARE,IN,47338
ECHOLS,OHIO,KY,42320
EDMOND,NORTON,KS,67645
EDWARDSVILLE,MADISON,IL,62025
EHRMANDALE,VIGO,IN,47805
EL DORADO,BUTLER,KS,67042
ELIAS,JACKSON,KY,40486
ELK GROVE VILLAGE,COOK,IL,60009
ELKATAWA,BREATHITT,KY,41339
ELKHART,ELKHART,IN,46517
ELKTON,WASHINGTON,IL,62268
ELLERY,EDWARDS,IL,62833
ELM RIVER,WAYNE,IL,62842
ELSMERE,KENTON,KY,41018
ELWIN,MACON,IL,62532
ELWOOD,WILL,IL,60421
ELYS,BELL,KY,40939
EMISON,KNOX,IN,47561
ENDICOTT,FLOYD,KY,41653
ENGLE,PERRY,KY,41727
ENTERPRISE,CATAHOULA,LA,71425
EOLA,DU PAGE,IL,60519
EPPARDS POINT,LIVINGSTON,IL,61764
EUNICE,SAINT LANDRY,LA,70535
EVANS,MARSHALL,IL,61377
EVANSVILLE,POSEY,IN,47712
EVANSVILLE,RANDOLPH,IL,62242
EVANSVILLE,VANDERBURGH,IN,47703
EVANSVILLE,VANDERBURGH,IN,47724
EVANSVILLE,VANDERBURGH,IN,47735
EVANSVILLE,VANDERBURGH,IN,47737
EVANSVILLE,VANDERBURGH,IN,47744
EVANSVILLE,VANDERBURGH,IN,47747
EVANSVILLE DRESS REGIONAL AI,VANDERBURGH,IN,47725
EVEREST,BROWN,KS,66424
EWING,FRANKLIN,IL,62836
EXTENSION,FRANKLIN,LA,71243
EYLAR,LIVINGSTON,IL,61769
EZRA,FRANKLIN,IL,62896
FAIRMAN,MARION,IL,62882
FAIRMOUNT,GRANT,IN,46928
FAIRVIEW HEIGHTS,SAINT CLAIR,IL,62208
FALLS ROUGH,GRAYSON,KY,40119
FALMOUTH,PENDLETON,KY,41040
FALUN,SALINE,KS,67442
FANCY PRAIRIE,MENARD,IL,62613
FARMER CITY,DEWITT,IL,61842
FARMINGTON,FULTON,IL,61531
FERDINAND,DUBOIS,IN,47532
FERGESTOWN,WILLIAMSON,IL,62951
FERGUSON,PULASKI,KY,42533
FERRIS,HANCOCK,IL,62336
FIFTH THIRD BANK,COOK,IL,60689
FILLMORE,MONTGOMERY,IL,62032
FINDLAY,SHELBY,IL,62534
FIRST NATL BANK COMMERCE,ORLEANS,LA,70162
FLAT LICK,KNOX,KY,40935
FLUKER,TANGIPAHOA,LA,70436
FORD,CLARK,KY,40320
FOREST,CLINTON,IN,46039
FOREST LAKE,LAKE,IL,60047
FORT DEARBORN,COOK,IL,60611
FORT MITCHELL,KENTON,KY,41017
FORT WAYNE,ALLEN,IN,46804
FORT WAYNE,ALLEN,IN,46816
FORT WAYNE,ALLEN,IN,46854
FORT WAYNE,ALLEN,IN,46859
FORT WAYNE,ALLEN,IN,46862
FORT WAYNE,ALLEN,IN,46868
FORT WRIGHT,KENTON,KY,41011
FOUNTAIN,MONROE,IL,62295
FOUNTAIN BLUFF,JACKSON,IL,62950
FOUR OAKS,PENDLETON,KY,41040
FOWLER,ADAMS,IL,62338
FOWLER,BENTON,IN,47944
FOWLERTON,GRANT,IN,46930
FOX VALLEY,DU PAGE,IL,60572
FRANKFORT,FRANKLIN,KY,40618
FRANKLIN,FRANKLIN,LA,70538
FRANKLIN,SIMPSON,KY,42134
FRANKLIN HILLS,PERRY,IN,47586
FREDVILLE,MAGOFFIN,KY,41465
FREEPORT,SHELBY,IN,46161
FRENCHBURG,MENIFEE,KY,40322
FT MITCHELL,KENTON,KY,41051
FT WAYNE,ALLEN,IN,46816
FT WAYNE,ALLEN,IN,46818
FULDA,SPENCER,IN,47536
FULTON,BOURBON,KS,66738
GAGES LAKE,LAKE,IL,60030
GALVA,MCPHERSON,KS,67443
GALVEZ,ASCENSION,LA,70769
GARDNER,GRUNDY,IL,60424
GARDNER,RAPIDES,LA,71409
GARNER,KNOTT,KY,41817
GARRETT,DOUGLAS,IL,61913
GARRETT,FLOYD,KY,41630
GARY,LAKE,IN,46407
GASKILL,LETCHER,KY,41537
GASSOWAY,EAST CARROLL,LA,71254
GATEWAY SHOPPING CTR,WAYNE,IN,47374
GAYS CREEK,PERRY,KY,41745
GENERAL FOODS COUPON CTR,KANKAKEE,IL,60902
GENESEE,WHITESIDE,IL,61270
GENEVA,KANE,IL,60134
GEORGETOWN,GRANT,LA,71432
GERLAW,WARREN,IL,61435
GILLUM,MCLEAN,IL,61701
GLASFORD,PEORIA,IL,61533
GLASGOW,BARREN,KY,42156
GLEN ELLYN,DU PAGE,IL,60137
GLENVIEW,COOK,IL,60025
GLENWOOD,COOK,IL,60425
GONZALES,ASCENSION,LA,70707
GOODE,FRANKLIN,IL,62884
GOODENOW,WILL,IL,60401
GOODWOOD,SAINT LANDRY,LA,71353
GOOSE ROCK,CLAY,KY,40944
GOSHEN,ELKHART,IN,46527
GOSPORT,OWEN,IN,47433
GOUDEAU,AVOYELLES,LA,71333
GRACELAND HTS,WAYNE,IN,47346
GRAHN,CARTER,KY,41142
GRAMERCY,SAINT JAMES,LA,70052
GRANDVIEW,SPENCER,IN,47615
GRANTSBURG,CRAWFORD,IN,47123
GRAVEL BEACH,STEUBEN,IN,46747
GRAYSVILLE,SULLIVAN,IN,47852
GREAT BEND,BARTON,KS,67530
GREATER INDIANA DISTRICT,MARION,IN,46298
GREELEY,ANDERSON,KS,66033
GREEN CREEK,EFFINGHAM,IL,62401
GREEN GABLES,RAPIDES,LA,71360
GREEN HALL,OWSLEY,KY,41314
GREEN OAKS,LAKE,IL,60044
GREEN OAKS,LAKE,IL,60048
GREENSBURG,KIOWA,KS,67054
GRETNA,JEFFERSON,LA,70053
GRETNA,JEFFERSON,LA,70056
GRINNELL,GOVE,KS,67738
GUEYDAN,VERMILION,LA,70542
GUILFORD,DEARBORN,IN,47022
GWYNNEVILLE,SHELBY,IN,46144
HACKBERRY,CAMERON,LA,70645
HAGER,MAGOFFIN,KY,41465
HAINESVILLE,LAKE,IL,60073
HALL SUMMIT,RED RIVER,LA,71034
HALLSVILLE,DEWITT,IL,61727
HAMLET,LA PORTE,IN,46532
HAMLET,MERCER,IL,61231
HAMLETSBURG,POPE,IL,62944
HAMMOND,LAKE,IN,46321
HANAFORD,FRANKLIN,IL,62856
HANOVER,JEFFERSON,IN,47243
HARAHAN,JEFFERSON,LA,70123
HARDSHELL,BREATHITT,KY,41348
HARDTNER,BARBER,KS,67057
HARDY,PIKE,KY,41531
HARGIS,GRANT,LA,71454
HARLAN,ALLEN,IN,46743
HARMONY,HANCOCK,IL,62321
HARNED,BRECKINRIDGE,KY,40144
HARRISONBURG,CATAHOULA,LA,71340
HARRODSBURG,MERCER,KY,40330
HARRODSBURG,MONROE,IN,47434
HAYDEN,JENNINGS,IN,47245
HAYMARKET,COOK,IL,60606
HEAD OF GRASSY,LEWIS,KY,41135
HEFLIN,WEBSTER,LA,71039
HEILMAN,SPENCER,IN,47523
HELECHAWA,WOLFE,KY,41332
HENDERSON,HENDERSON,KY,42420
HENRY,HENRY,IN,47362
HERMAN,TODD,KY,42234
HERMON,KNOX,IL,61458
HEWINS,CHAUTAUQUA,KS,67024
HICKMAN,FULTON,KY,42050
HICKORY GROVE,RAPIDES,LA,71328
HICKS,VERNON,LA,71446
HIGHGROVE,NELSON,KY,40013
HIGHLAND,TENSAS,LA,71375
HIGHWAY,CLINTON,KY,42602
HILLSBORO,FLEMING,KY,41049
HILLSBORO,FOUNTAIN,IN,47949
HILLSBORO,MONTGOMERY,IL,62049
HILLSDALE,VERMILLION,IN,47854
HINESTON,RAPIDES,LA,71438
HITTLE,TAZEWELL,IL,61721
HODGKINS,COOK,IL,60525
HOFFMAN EST,COOK,IL,60179
HOFFMAN ESTATES,COOK,IL,60196
HOISINGTON,BARTON,KS,67544
HOLLOWAYVILLE,BUREAU,IL,61356
HOLLYBROOK,EAST CARROLL,LA,71254
HOLSEY,CLAIBORNE,LA,71048
HOMEWOOD,COOK,IL,60430
HONEYBEE,MCCREARY,KY,42634
HOOKDALE,BOND,IL,62284
HOOKTOWN,HARRISON,KY,41031
HOOPESTON,VERMILION,IL,60942
HOOSIER,CLAY,IL,62858
HOPE,BATH,KY,40334
HOPE,DICKINSON,KS,67451
HOPEFUL HEIGHTS,BOONE,KY,41042
HOPEWELL,JOHNSON,IN,46131
HOPPER,HENDERSON,IL,61480
HOTWELLS,RAPIDES,LA,71409
HOUSEHOLD FINANCE CORP,DU PAGE,IL,60128
HOUSTON,RANDOLPH,IL,62286
HOWARDSTOWN,NELSON,KY,40051
HUBBELL,OWEN,IN,47427
HUDDY,PIKE,KY,41535
HUDSON,STAFFORD,KS,67545
HUME,EDGAR,IL,61932
HUNTINGTON,HUNTINGTON,IN,46750
HUNTSVILLE,SCHUYLER,IL,62344
HUSTONVILLE,LINCOLN,KY,40437
HWY ACCIDENT BUREAU,SANGAMON,IL,62766
HYDEN,LESLIE,KY,41749
IBERVILLE,IBERVILLE,LA,70776
IDA,CADDO,LA,71044
ILL PUBLIC AID,SANGAMON,IL,62762
ILL R O TAX DIV,SANGAMON,IL,62796
ILLINOIS CITY,ROCK ISLAND,IL,61259
INDIAN CRK STLMT,KNOX,IN,47512
INDIANAPOLIS,MARION,IN,46203
INDIANAPOLIS,MARION,IN,46221
INDIANAPOLIS,MARION,IN,46230
INDIANAPOLIS,MARION,IN,46236
INDIANAPOLIS,MARION,IN,46237
INDIANAPOLIS,MARION,IN,46251
INDIANAPOLIS,MARION,IN,46275
INDIANAPOLIS,MARION,IN,46296
INGRAM,BELL,KY,40955
IOWA,CALCASIEU,LA,70647
IRELAND,DUBOIS,IN,47545
IRONTON,TRIGG,KY,42211
ISONVILLE,ELLIOTT,KY,41149
IVESDALE,CHAMPAIGN,IL,61851
JABEZ,PULASKI,KY,42544
JENKINS,LETCHER,KY,41537
JENSON,BELL,KY,40977
JOHN BUCHANAN,COOK,IL,60617
JOHNETTA,ROCKCASTLE,KY,40460
JOLIET,WILL,IL,60431
JONESBORO,JACKSON,LA,71251
JONESVILLE,CONCORDIA,LA,71377
JONESVILLE,GRANT,KY,41052
JT WEEKER ISC,COOK,IL,60688
JUNCTION CITY,UNION,LA,71234
JUSTICE,COOK,IL,60458
KADESH,GRANT,LA,71454
KALER,GRAVES,KY,42051
KANKAKEE,KANKAKEE,IL,60901
KANKAKEE,KANKAKEE,IL,60902
KANSAS CITY,WYANDOTTE,KS,66105
KASBEER,BUREAU,IL,61328
KEENSBURG,WABASH,IL,62852
KENNER,JEFFERSON,LA,70065
KENT,STEPHENSON,IL,61044
KENVIR,HARLAN,KY,40847
KIBBLE,CRAWFORD,IL,62449
KILDEER,LAKE,IL,60010
KILLIAN,LIVINGSTON,LA,70462
KINGMAN,FOUNTAIN,IN,47952
KINGMAN,SHELBY,IL,62463
KINGS,OGLE,IL,61068
KINGSTON,DE SOTO,LA,71032
KINGSVILLE,RAPIDES,LA,71360
KINKAID,JACKSON,IL,62907
KIRKSEY,CALLOWAY,KY,42054
KNIGHT,VANDERBURGH,IN,47711
KNIGHTSVILLE,CLAY,IN,47857
KODAK,PERRY,KY,41773
KOKOMO,HOWARD,IN,46903
KOLEEN,GREENE,IN,47439
KS STATE BD OF HEALTH,SHAWNEE,KS,66620
KURTZ,JACKSON,IN,47249
KUTTAWA,LYON,KY,42055
KYROCK,EDMONSON,KY,42285
LA DEPT OF REVENUE,EAST BATON ROUGE,LA,70822
LA FAYETTE,TIPPECANOE,IN,47905
LA FAYETTE,TIPPECANOE,IN,47907
LA PLACE,PIATT,IL,61936
LA ST UNIV,EAST BATON ROUGE,LA,70803
LACKEY,FLOYD,KY,41643
LAFAYETTE,TIPPECANOE,IN,47996
LAKE CHARLES,CALCASIEU,LA,70601
LAKE LANCELOT,PEORIA,IL,61547
LAKE VILLAGE,NEWTON,IN,46349
LAKES OF FOUR SEASONS,LAKE,IN,46307
LAKESHORE,OUACHITA,LA,71203
LAKESIDE,LAGRANGE,IN,46795
LAKIN,KEARNY,KS,67860
LAMAR,SPENCER,IN,47536
LAMAR,SPENCER,IN,47550
LANCASTER,GARRARD,KY,40444
LAURA,PEORIA,IL,61451
LAWHON,BIENVILLE,LA,71068
LAWRENCE,MARION,IN,46226
LAWRENCEPORT,LAWRENCE,IN,47446
LAWRENCEVILLE,LAWRENCE,IL,62439
LEANDER,JOHNSON,KY,41222
LEAVENWORTH,LEAVENWORTH,KS,66043
LEAWOOD,JOHNSON,KS,66224
LEBANON,SMITH,KS,66952
LEBO,COFFEY,KS,66856
LEESBURG,KOSCIUSKO,IN,46538
LEESVILLE,LAWRENCE,IN,47421
LEESVILLE,VERNON,LA,71459
LEEVILLE,LAFOURCHE,LA,70357
LENA,RAPIDES,LA,71447
LENEXA,JOHNSON,KS,66213
LENEXA,JOHNSON,KS,66219
LENEXA,JOHNSON,KS,66286
LEROY,LAKE,IN,46355
LETTSWORTH,POINTE COUPEE,LA,70753
LEVAN,JACKSON,IL,62966
LEWIS,EDWARDS,KS,67552
LEWISPORT,HANCOCK,KY,42351
LEXINGTON,FAYETTE,KY,40505
LEXINGTON,FAYETTE,KY,40506
LEXINGTON,FAYETTE,KY,40516
LEXINGTON,FAYETTE,KY,40517
LEXINGTON,FAYETTE,KY,40523
LEXINGTON,FAYETTE,KY,40550
LEXINGTON,FAYETTE,KY,40574
LEXINGTON,FAYETTE,KY,40576
LEXINGTON,FAYETTE,KY,40577
LEXINGTON,FAYETTE,KY,40579
LEXINGTON,FAYETTE,KY,40594
LEXINGTON,FAYETTE,KY,40598
LEXINGTON,JEFFERSON,IN,47138
LIBERAL,SEWARD,KS,67901
LIDDIEVILLE,FRANKLIN,LA,71295
LINCOLNWOOD,COOK,IL,60645
LINDSBORG,MCPHERSON,KS,67456
LINN GROVE,ADAMS,IN,46711
LINN GRV,ADAMS,IN,46769
LINTON,TRIGG,KY,42211
LITTLE AMERICA,FULTON,IL,61542
LITTLE RIVER,RICE,KS,67457
LIVELY GROVE,WASHINGTON,IL,62268
LIVERMORE,MCLEAN,KY,42352
LK IN THE HILLS,MCHENRY,IL,60156
LOCKPORT,WILL,IL,60491
LONDON,LAUREL,KY,40745
LONG GROVE,LAKE,IL,60047
