carrier,quart,origincty,origin,destcty,destination,passengers,marketshare,avgfare,minincrement,maxincrement,minshare,maxshare,pax3xmin
US,20081,01680,"Albuquerque, New Mexico,",79520,"San Diego, California,",3300,12,153,125,250,46,12,1
WN,20081,01680,"Albuquerque, New Mexico,",79520,"San Diego, California,",22580,83,165,100,250,14,17,0
WN,20081,01680,"Albuquerque, New Mexico,",82630,"Seattle, Washington,",14490,67,171,100,375,13,8,11
WN,20081,01680,"Albuquerque, New Mexico,",91940,"Tucson, Arizona,",18120,93,92,75,150,41,24,0
AA,20081,01680,"Albuquerque, New Mexico,",96460,"Washington, D.C.,",9790,33,270,175,375,11,8,6
DL,20081,01680,"Albuquerque, New Mexico,",96460,"Washington, D.C.,",3090,10,392,200,475,8,6,13
UA,20081,01680,"Albuquerque, New Mexico,",96460,"Washington, D.C.,",10950,37,319,225,275,11,13,6
G4,20081,02200,"Allentown, Pennsylvania,",79812,"Sanford, Florida,",27380,100,116,75,175,7,7,2
AA,20081,02780,"Amarillo, Texas,",23210,"Dallas/Ft.Worth, Texas,",9690,19,107,75,150,33,24,5
WN,20081,02780,"Amarillo, Texas,",23210,"Dallas/Ft.Worth, Texas,",41620,80,95,75,150,35,34,0
UA,20081,05540,"Aspen, Colorado,",63760,"New York, New York,",16160,91,425,200,350,6,6,17
AA,20081,05850,"Atlanta, Georgia,",06100,"Austin, Texas,",5260,16,246,150,275,7,5,7
CO,20081,05850,"Atlanta, Georgia,",06100,"Austin, Texas,",7240,23,230,150,325,11,5,2
DL,20081,05850,"Atlanta, Georgia,",06100,"Austin, Texas,",17560,55,344,175,325,8,7,16
DL,20081,05850,"Atlanta, Georgia,",07220,"Baltimore, Maryland,",67580,51,183,100,200,24,6,15
FL,20081,05850,"Atlanta, Georgia,",07220,"Baltimore, Maryland,",61470,46,134,100,175,33,6,6
DL,20081,05850,"Atlanta, Georgia,",12200,"Boston, Massachusetts,",95660,64,209,100,300,5,6,18
FL,20081,05850,"Atlanta, Georgia,",12200,"Boston, Massachusetts,",42070,28,145,100,175,16,11,5
DL,20081,05850,"Atlanta, Georgia,",13730,"Buffalo, New York,",16010,47,179,100,300,18,6,13
FL,20081,05850,"Atlanta, Georgia,",13730,"Buffalo, New York,",15150,45,136,75,175,10,7,11
DL,20081,05850,"Atlanta, Georgia,",17900,"Charleston, South Carolina,",18350,69,121,75,200,24,8,6
FL,20081,05850,"Atlanta, Georgia,",17900,"Charleston, South Carolina,",7620,29,91,75,125,53,12,2
DL,20081,05850,"Atlanta, Georgia,",17960,"Charlotte, North Carolina,",21190,52,170,75,275,16,7,27
FL,20081,05850,"Atlanta, Georgia,",17960,"Charlotte, North Carolina,",6310,15,127,75,325,28,5,16
US,20081,05850,"Atlanta, Georgia,",17960,"Charlotte, North Carolina,",13000,32,166,75,275,13,10,27
AA,20081,05850,"Atlanta, Georgia,",18500,"Chicago, Illinois,",43590,19,165,100,200,23,8,8
DL,20081,05850,"Atlanta, Georgia,",18500,"Chicago, Illinois,",79470,35,190,100,300,16,6,13
FL,20081,05850,"Atlanta, Georgia,",18500,"Chicago, Illinois,",50250,22,134,100,175,37,11,4
UA,20081,05850,"Atlanta, Georgia,",18500,"Chicago, Illinois,",48070,21,179,100,300,16,5,10
DL,20081,05850,"Atlanta, Georgia,",19770,"Cleveland, Ohio,",16300,87,219,100,325,8,9,20
DL,20081,05850,"Atlanta, Georgia,",20570,"Columbus, Ohio,",17360,74,332,125,450,11,8,44
US,20081,05850,"Atlanta, Georgia,",20570,"Columbus, Ohio,",3180,14,237,125,300,9,14,8
AA,20081,05850,"Atlanta, Georgia,",23210,"Dallas/Ft.Worth, Texas,",95940,44,172,100,325,20,5,12
DL,20081,05850,"Atlanta, Georgia,",23210,"Dallas/Ft.Worth, Texas,",73790,34,190,100,325,16,6,16
FL,20081,05850,"Atlanta, Georgia,",23210,"Dallas/Ft.Worth, Texas,",41400,19,143,100,175,23,6,7
DL,20081,05850,"Atlanta, Georgia,",23680,"Dayton, Ohio,",27440,51,179,100,275,19,7,9
FL,20081,05850,"Atlanta, Georgia,",23680,"Dayton, Ohio,",24600,46,131,75,150,7,10,13
DL,20081,05850,"Atlanta, Georgia,",24090,"Denver, Colorado,",48910,38,196,125,225,13,6,6
F9,20081,05850,"Atlanta, Georgia,",24090,"Denver, Colorado,",30620,24,161,125,200,31,10,2
FL,20081,05850,"Atlanta, Georgia,",24090,"Denver, Colorado,",28770,23,154,125,200,34,8,1
UA,20081,05850,"Atlanta, Georgia,",24090,"Denver, Colorado,",14690,12,209,125,275,17,5,6
DL,20081,05850,"Atlanta, Georgia,",24260,"Detroit, Michigan,",30070,29,185,100,250,16,7,12
FL,20081,05850,"Atlanta, Georgia,",24260,"Detroit, Michigan,",22510,22,127,75,150,10,9,10
NW,20081,05850,"Atlanta, Georgia,",24260,"Detroit, Michigan,",46040,45,161,100,250,20,6,7
DL,20081,05850,"Atlanta, Georgia,",28670,"Flint, Michigan,",6090,27,165,100,325,22,7,12
FL,20081,05850,"Atlanta, Georgia,",28670,"Flint, Michigan,",15290,67,134,75,325,11,7,14
DL,20081,05850,"Atlanta, Georgia,",29420,"Ft. Lauderdale, Florida,",77540,45,163,100,175,24,14,9
FL,20081,05850,"Atlanta, Georgia,",29420,"Ft. Lauderdale, Florida,",59520,34,128,75,175,5,10,7
NK,20081,05850,"Atlanta, Georgia,",29420,"Ft. Lauderdale, Florida,",34230,20,122,75,200,9,5,3
DL,20081,05850,"Atlanta, Georgia,",29540,"Ft. Myers, Florida,",22720,54,199,100,375,21,5,19
FL,20081,05850,"Atlanta, Georgia,",29540,"Ft. Myers, Florida,",18370,44,148,75,275,7,5,17
DL,20081,05850,"Atlanta, Georgia,",34290,"Gulfport/Biloxi, Mississippi,",8830,38,168,100,275,20,7,7
FL,20081,05850,"Atlanta, Georgia,",34290,"Gulfport/Biloxi, Mississippi,",14180,61,101,75,125,51,8,7
DL,20081,05850,"Atlanta, Georgia,",35510,"Hartford, Ct/Springfield, Ma,",23230,77,381,175,775,12,5,28
US,20081,05850,"Atlanta, Georgia,",35510,"Hartford, Ct/Springfield, Ma,",4380,14,249,125,475,6,5,15
CO,20081,05850,"Atlanta, Georgia,",37320,"Houston, Texas,",47760,35,154,100,200,23,7,5
DL,20081,05850,"Atlanta, Georgia,",37320,"Houston, Texas,",57000,42,160,100,200,17,8,6
FL,20081,05850,"Atlanta, Georgia,",37320,"Houston, Texas,",27260,20,131,100,200,32,5,3
DL,20081,05850,"Atlanta, Georgia,",38490,"Indianapolis, Indiana,",32700,58,166,100,250,16,6,7
FL,20081,05850,"Atlanta, Georgia,",38490,"Indianapolis, Indiana,",19500,35,133,75,200,7,5,12
DL,20081,05850,"Atlanta, Georgia,",40140,"Jacksonville, Florida,",41240,70,154,100,275,34,8,5
FL,20081,05850,"Atlanta, Georgia,",40140,"Jacksonville, Florida,",16650,28,120,75,150,12,9,10
DL,20081,05850,"Atlanta, Georgia,",42650,"Kansas City, Missouri,",42470,66,157,100,200,32,5,9
FL,20081,05850,"Atlanta, Georgia,",42650,"Kansas City, Missouri,",18510,29,127,75,125,5,30,12
DL,20081,05850,"Atlanta, Georgia,",48880,"Las Vegas, Nevada,",80600,58,230,125,250,6,5,12
FL,20081,05850,"Atlanta, Georgia,",48880,"Las Vegas, Nevada,",35340,25,181,125,225,15,7,5
US,20081,05850,"Atlanta, Georgia,",48880,"Las Vegas, Nevada,",13950,10,194,125,225,14,7,5
DL,20081,05850,"Atlanta, Georgia,",51410,"Los Angeles, California,",104280,64,245,150,500,14,6,11
FL,20081,05850,"Atlanta, Georgia,",51410,"Los Angeles, California,",38130,23,175,125,200,13,13,4
DL,20081,05850,"Atlanta, Georgia,",57180,"Memphis, Tennessee,",30310,48,158,75,300,17,8,26
FL,20081,05850,"Atlanta, Georgia,",57180,"Memphis, Tennessee,",21250,34,114,75,125,31,17,11
NW,20081,05850,"Atlanta, Georgia,",57180,"Memphis, Tennessee,",11120,18,131,75,300,20,5,15
AA,20081,05850,"Atlanta, Georgia,",57560,"Miami, Florida,",30100,28,147,100,175,35,11,8
DL,20081,05850,"Atlanta, Georgia,",57560,"Miami, Florida,",52070,49,192,100,250,25,6,18
FL,20081,05850,"Atlanta, Georgia,",57560,"Miami, Florida,",20650,19,138,100,175,36,11,7
DL,20081,05850,"Atlanta, Georgia,",57850,"Milwaukee, Wisconsin,",20770,36,163,100,200,27,6,8
FL,20081,05850,"Atlanta, Georgia,",57850,"Milwaukee, Wisconsin,",16580,29,118,75,125,6,24,7
YX,20081,05850,"Atlanta, Georgia,",57850,"Milwaukee, Wisconsin,",16820,29,131,100,175,38,7,3
DL,20081,05850,"Atlanta, Georgia,",57970,"Minneapolis/St.Paul, Minnesota,",29270,31,200,100,200,15,6,19
FL,20081,05850,"Atlanta, Georgia,",57970,"Minneapolis/St.Paul, Minnesota,",22120,23,141,100,175,25,7,6
NW,20081,05850,"Atlanta, Georgia,",57970,"Minneapolis/St.Paul, Minnesota,",39550,41,181,100,225,13,5,14
DL,20081,05850,"Atlanta, Georgia,",63380,"Newburgh, New York,",7150,38,148,100,150,25,5,6
FL,20081,05850,"Atlanta, Georgia,",63380,"Newburgh, New York,",10960,58,117,75,125,7,31,7
DL,20081,05850,"Atlanta, Georgia,",63580,"New Orleans, Louisiana,",38930,60,174,100,200,26,6,12
FL,20081,05850,"Atlanta, Georgia,",63580,"New Orleans, Louisiana,",24870,38,135,75,175,8,6,13
DL,20081,05850,"Atlanta, Georgia,",63680,"Newport News/Wmsburg, Virginia,",15110,36,134,75,175,6,5,13
FL,20081,05850,"Atlanta, Georgia,",63680,"Newport News/Wmsburg, Virginia,",26350,62,119,75,150,12,10,9
CO,20081,05850,"Atlanta, Georgia,",63760,"New York, New York,",64840,13,175,100,275,8,7,11
DL,20081,05850,"Atlanta, Georgia,",63760,"New York, New York,",251890,50,189,100,275,12,5,16
FL,20081,05850,"Atlanta, Georgia,",63760,"New York, New York,",134490,26,131,100,175,28,6,4
DL,20081,05850,"Atlanta, Georgia,",66180,"Ontario, California,",12900,72,297,175,425,9,6,9
US,20081,05850,"Atlanta, Georgia,",66180,"Ontario, California,",2650,15,260,200,300,14,12,2
DL,20081,05850,"Atlanta, Georgia,",66600,"Orlando, Florida,",107530,60,162,100,250,24,5,8
FL,20081,05850,"Atlanta, Georgia,",66600,"Orlando, Florida,",57460,32,131,75,175,8,8,9
DL,20081,05850,"Atlanta, Georgia,",69880,"Philadelphia, Pennsylvania,",75600,51,207,100,325,19,7,18
FL,20081,05850,"Atlanta, Georgia,",69880,"Philadelphia, Pennsylvania,",41730,28,143,100,325,34,5,8
US,20081,05850,"Atlanta, Georgia,",69880,"Philadelphia, Pennsylvania,",28220,19,205,100,325,16,11,19
DL,20081,05850,"Atlanta, Georgia,",69980,"Phoenix, Arizona,",45290,52,225,125,275,5,5,11
FL,20081,05850,"Atlanta, Georgia,",69980,"Phoenix, Arizona,",18910,22,169,100,200,6,10,9
US,20081,05850,"Atlanta, Georgia,",69980,"Phoenix, Arizona,",18840,22,218,150,275,20,5,4
DL,20081,05850,"Atlanta, Georgia,",70470,"Pittsburgh, Pennsylvania,",36350,59,178,100,275,21,6,10
FL,20081,05850,"Atlanta, Georgia,",70470,"Pittsburgh, Pennsylvania,",22300,36,128,75,125,9,26,12
DL,20081,05850,"Atlanta, Georgia,",71790,"Portland, Oregon,",14410,57,361,175,350,5,5,19
F9,20081,05850,"Atlanta, Georgia,",71790,"Portland, Oregon,",2590,10,218,125,300,7,5,6
US,20081,05850,"Atlanta, Georgia,",71790,"Portland, Oregon,",3340,13,250,175,350,12,5,3
DL,20081,05850,"Atlanta, Georgia,",74830,"Raleigh/Durham, North Carolina,",61780,70,169,75,300,11,8,30
FL,20081,05850,"Atlanta, Georgia,",74830,"Raleigh/Durham, North Carolina,",24520,28,123,75,175,22,7,12
DL,20081,05850,"Atlanta, Georgia,",75820,"Richmond, Virginia,",35240,58,157,100,275,27,5,6
FL,20081,05850,"Atlanta, Georgia,",75820,"Richmond, Virginia,",23920,39,122,75,150,8,8,9
DL,20081,05850,"Atlanta, Georgia,",76620,"Rochester, New York,",13020,50,183,100,325,18,7,15
FL,20081,05850,"Atlanta, Georgia,",76620,"Rochester, New York,",11250,43,131,75,175,12,12,9
DL,20081,05850,"Atlanta, Georgia,",77850,"Sacramento, California,",10570,54,343,200,300,5,9,13
F9,20081,05850,"Atlanta, Georgia,",77850,"Sacramento, California,",2710,14,242,150,375,5,8,3
US,20081,05850,"Atlanta, Georgia,",77850,"Sacramento, California,",2590,13,270,175,400,14,8,3
AA,20081,05850,"Atlanta, Georgia,",78460,"St. Louis, Missouri,",14020,22,129,100,200,42,5,2
DL,20081,05850,"Atlanta, Georgia,",78460,"St. Louis, Missouri,",30370,49,158,100,225,25,5,7
FL,20081,05850,"Atlanta, Georgia,",78460,"St. Louis, Missouri,",16950,27,115,75,150,9,13,6
DL,20081,05850,"Atlanta, Georgia,",79070,"Salt Lake City, Utah,",35650,69,333,200,400,8,6,11
F9,20081,05850,"Atlanta, Georgia,",79070,"Salt Lake City, Utah,",8790,17,187,125,250,8,5,2
AA,20081,05850,"Atlanta, Georgia,",79360,"San Antonio, Texas,",7230,19,232,150,225,6,20,4
CO,20081,05850,"Atlanta, Georgia,",79360,"San Antonio, Texas,",5460,14,242,150,300,9,5,3
DL,20081,05850,"Atlanta, Georgia,",79360,"San Antonio, Texas,",23820,61,330,175,300,9,5,16
DL,20081,05850,"Atlanta, Georgia,",79520,"San Diego, California,",36910,62,225,150,225,24,6,8
FL,20081,05850,"Atlanta, Georgia,",79520,"San Diego, California,",13570,23,161,125,200,21,6,4
DL,20081,05850,"Atlanta, Georgia,",79830,"San Francisco, California,",64770,66,264,150,250,13,5,14
FL,20081,05850,"Atlanta, Georgia,",79830,"San Francisco, California,",10930,11,178,125,200,12,10,5
DL,20081,05850,"Atlanta, Georgia,",80650,"Santa Ana, California,",20510,75,311,175,300,8,6,12
DL,20081,05850,"Atlanta, Georgia,",82080,"Sarasota/Bradenton, Florida,",14420,56,158,100,175,31,5,9
FL,20081,05850,"Atlanta, Georgia,",82080,"Sarasota/Bradenton, Florida,",10630,42,125,75,150,10,11,10
DL,20081,05850,"Atlanta, Georgia,",82340,"Savannah, Georgia,",14930,81,160,75,325,22,7,25
FL,20081,05850,"Atlanta, Georgia,",82340,"Savannah, Georgia,",3360,18,95,75,225,63,9,1
DL,20081,05850,"Atlanta, Georgia,",82630,"Seattle, Washington,",31780,56,363,175,350,11,6,23
US,20081,05850,"Atlanta, Georgia,",82630,"Seattle, Washington,",8590,15,206,125,275,9,9,4
DL,20081,05850,"Atlanta, Georgia,",87870,"Tampa, Florida,",75140,59,170,100,325,34,5,14
FL,20081,05850,"Atlanta, Georgia,",87870,"Tampa, Florida,",47300,37,134,100,175,46,7,8
DL,20081,05850,"Atlanta, Georgia,",96460,"Washington, D.C.,",149970,61,224,100,300,14,7,18
FL,20081,05850,"Atlanta, Georgia,",96460,"Washington, D.C.,",71950,29,137,100,175,39,8,7
DL,20081,05850,"Atlanta, Georgia,",97160,"West Palm Beach, Florida,",38400,66,180,100,200,25,5,17
FL,20081,05850,"Atlanta, Georgia,",97160,"West Palm Beach, Florida,",18640,32,131,75,175,6,8,10
DL,20081,05850,"Atlanta, Georgia,",97390,"White Plains, New York,",20370,53,175,100,325,7,5,14
FL,20081,05850,"Atlanta, Georgia,",97390,"White Plains, New York,",15890,42,130,100,125,18,56,6
NK,20081,05870,"Atlantic City, New Jersey,",29420,"Ft. Lauderdale, Florida,",47860,100,147,100,225,20,5,3
NK,20081,05870,"Atlantic City, New Jersey,",29540,"Ft. Myers, Florida,",35440,100,134,100,200,32,8,1
NK,20081,05870,"Atlantic City, New Jersey,",61830,"Myrtle Beach, South Carolina,",20580,100,115,75,200,9,7,1
NK,20081,05870,"Atlantic City, New Jersey,",66600,"Orlando, Florida,",56190,100,118,75,200,20,6,4
NK,20081,05870,"Atlantic City, New Jersey,",87870,"Tampa, Florida,",24370,99,114,75,200,21,5,3
NK,20081,05870,"Atlantic City, New Jersey,",97160,"West Palm Beach, Florida,",20270,100,138,100,200,24,14,1
AA,20081,06100,"Austin, Texas,",07220,"Baltimore, Maryland,",4690,13,193,125,275,19,5,5
WN,20081,06100,"Austin, Texas,",07220,"Baltimore, Maryland,",25640,69,195,125,375,23,10,4
AA,20081,06100,"Austin, Texas,",12200,"Boston, Massachusetts,",8510,29,265,150,225,18,10,12
B6,20081,06100,"Austin, Texas,",12200,"Boston, Massachusetts,",13300,46,231,175,300,25,8,0
AA,20081,06100,"Austin, Texas,",18500,"Chicago, Illinois,",42590,64,185,125,225,31,5,5
UA,20081,06100,"Austin, Texas,",18500,"Chicago, Illinois,",7780,12,221,125,350,15,7,8
WN,20081,06100,"Austin, Texas,",18500,"Chicago, Illinois,",13550,20,189,125,350,21,11,0
AA,20081,06100,"Austin, Texas,",23210,"Dallas/Ft.Worth, Texas,",39570,28,108,75,150,33,26,4
WN,20081,06100,"Austin, Texas,",23210,"Dallas/Ft.Worth, Texas,",99710,71,109,75,150,20,56,0
F9,20081,06100,"Austin, Texas,",24090,"Denver, Colorado,",32170,45,138,100,200,37,5,4
UA,20081,06100,"Austin, Texas,",24090,"Denver, Colorado,",23590,33,152,100,275,23,6,4
WN,20081,06100,"Austin, Texas,",24090,"Denver, Colorado,",11900,17,124,75,275,6,5,8
AA,20081,06100,"Austin, Texas,",24260,"Detroit, Michigan,",4060,23,232,125,375,5,5,10
NW,20081,06100,"Austin, Texas,",24260,"Detroit, Michigan,",7260,41,234,125,375,28,10,14
WN,20081,06100,"Austin, Texas,",24260,"Detroit, Michigan,",3390,19,178,125,375,33,9,1
WN,20081,06100,"Austin, Texas,",26930,"El Paso, Texas,",32140,95,138,75,200,7,26,1
CO,20081,06100,"Austin, Texas,",37320,"Houston, Texas,",13310,29,123,75,150,15,55,2
WN,20081,06100,"Austin, Texas,",37320,"Houston, Texas,",31890,71,112,75,150,16,65,0
AA,20081,06100,"Austin, Texas,",42650,"Kansas City, Missouri,",7910,41,142,100,275,16,6,3
WN,20081,06100,"Austin, Texas,",42650,"Kansas City, Missouri,",4270,22,178,100,275,6,23,1
YX,20081,06100,"Austin, Texas,",42650,"Kansas City, Missouri,",6520,33,141,100,175,24,8,5
US,20081,06100,"Austin, Texas,",48880,"Las Vegas, Nevada,",7010,12,166,125,225,26,7,2
WN,20081,06100,"Austin, Texas,",48880,"Las Vegas, Nevada,",37230,66,177,125,350,31,5,0
AA,20081,06100,"Austin, Texas,",51410,"Los Angeles, California,",34200,59,214,125,350,27,7,7
WN,20081,06100,"Austin, Texas,",51410,"Los Angeles, California,",14070,24,203,125,350,16,11,0
WN,20081,06100,"Austin, Texas,",51640,"Lubbock, Texas,",23580,97,107,75,175,22,7,0
AA,20081,06100,"Austin, Texas,",57970,"Minneapolis/St.Paul, Minnesota,",8460,44,238,150,250,8,7,7
NW,20081,06100,"Austin, Texas,",57970,"Minneapolis/St.Paul, Minnesota,",7230,38,407,200,675,11,5,24
WN,20081,06100,"Austin, Texas,",62860,"Nashville, Tennessee,",18610,85,171,125,250,12,8,0
AA,20081,06100,"Austin, Texas,",63760,"New York, New York,",15710,18,252,150,300,10,6,8
B6,20081,06100,"Austin, Texas,",63760,"New York, New York,",33970,38,227,150,325,11,7,1
CO,20081,06100,"Austin, Texas,",63760,"New York, New York,",28530,32,322,175,625,31,7,20
AA,20081,06100,"Austin, Texas,",66600,"Orlando, Florida,",6890,23,212,150,300,25,8,3
CO,20081,06100,"Austin, Texas,",66600,"Orlando, Florida,",4500,15,199,125,250,8,7,5
WN,20081,06100,"Austin, Texas,",66600,"Orlando, Florida,",16090,53,183,125,300,15,11,0
AA,20081,06100,"Austin, Texas,",69880,"Philadelphia, Pennsylvania,",8480,35,198,100,250,6,7,15
CO,20081,06100,"Austin, Texas,",69880,"Philadelphia, Pennsylvania,",3180,13,188,125,275,38,5,8
WN,20081,06100,"Austin, Texas,",69880,"Philadelphia, Pennsylvania,",7540,31,148,100,225,22,6,4
US,20081,06100,"Austin, Texas,",69980,"Phoenix, Arizona,",14850,31,183,100,275,7,8,5
WN,20081,06100,"Austin, Texas,",69980,"Phoenix, Arizona,",27560,58,173,100,275,9,14,0
AA,20081,06100,"Austin, Texas,",78460,"St. Louis, Missouri,",12400,64,168,100,300,9,5,7
WN,20081,06100,"Austin, Texas,",78460,"St. Louis, Missouri,",6280,32,179,125,275,25,25,0
DL,20081,06100,"Austin, Texas,",79070,"Salt Lake City, Utah,",6930,37,233,175,275,11,9,1
F9,20081,06100,"Austin, Texas,",79070,"Salt Lake City, Utah,",2430,13,175,100,250,13,7,7
WN,20081,06100,"Austin, Texas,",79070,"Salt Lake City, Utah,",4330,23,207,125,375,15,7,4
AA,20081,06100,"Austin, Texas,",79520,"San Diego, California,",3470,11,204,125,250,16,7,8
US,20081,06100,"Austin, Texas,",79520,"San Diego, California,",4910,16,165,125,250,37,5,2
WN,20081,06100,"Austin, Texas,",79520,"San Diego, California,",18210,60,189,100,350,9,8,15
AA,20081,06100,"Austin, Texas,",79830,"San Francisco, California,",5190,20,303,125,275,5,8,23
UA,20081,06100,"Austin, Texas,",79830,"San Francisco, California,",8100,32,321,175,375,8,5,9
WN,20081,06100,"Austin, Texas,",79830,"San Francisco, California,",5150,20,189,125,375,25,7,2
AA,20081,06100,"Austin, Texas,",80050,"San Jose, California,",44650,88,244,125,225,19,9,18
AA,20081,06100,"Austin, Texas,",80650,"Santa Ana, California,",13700,71,169,125,350,46,5,3
AA,20081,06100,"Austin, Texas,",82630,"Seattle, Washington,",11170,44,224,125,375,20,5,11
UA,20081,06100,"Austin, Texas,",82630,"Seattle, Washington,",2610,10,238,125,300,14,7,10
WN,20081,06100,"Austin, Texas,",82630,"Seattle, Washington,",4570,18,202,125,400,36,5,7
AA,20081,06100,"Austin, Texas,",87870,"Tampa, Florida,",3280,17,179,125,225,23,6,4
CO,20081,06100,"Austin, Texas,",87870,"Tampa, Florida,",3640,18,165,125,175,46,7,5
WN,20081,06100,"Austin, Texas,",87870,"Tampa, Florida,",10830,55,181,125,325,22,11,0
AA,20081,06100,"Austin, Texas,",96460,"Washington, D.C.,",12060,38,282,175,250,16,12,10
CO,20081,06100,"Austin, Texas,",96460,"Washington, D.C.,",4880,15,324,150,625,8,6,23
UA,20081,06100,"Austin, Texas,",96460,"Washington, D.C.,",8880,28,363,175,625,6,6,22
WN,20081,07220,"Baltimore, Maryland,",11030,"Birmingham, Alabama,",25590,90,165,125,225,16,28,0
DL,20081,07220,"Baltimore, Maryland,",12200,"Boston, Massachusetts,",31940,32,130,75,225,27,8,10
FL,20081,07220,"Baltimore, Maryland,",12200,"Boston, Massachusetts,",64950,64,111,75,125,28,20,6
WN,20081,07220,"Baltimore, Maryland,",13730,"Buffalo, New York,",54010,96,96,75,150,34,29,0
FL,20081,07220,"Baltimore, Maryland,",17960,"Charlotte, North Carolina,",16740,27,119,75,225,10,6,5
US,20081,07220,"Baltimore, Maryland,",17960,"Charlotte, North Carolina,",41110,67,168,75,250,5,7,17
UA,20081,07220,"Baltimore, Maryland,",18500,"Chicago, Illinois,",45000,33,156,100,200,39,13,6
