SITE_ID,EPA_FACIL_ID,SITE_NAME,ADDRESS,CITY,COUNTY,STATE,ZIP,SITE_SMSA,FED_FACIL,NPL_STATUS,LATITUDE,LONGITUDE
0407158,ALSFN0407158,"LEE BROTHERS BRASS FOUNDRY","16TH ST. & WALNUT AVE.",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0407159,ALSFN0407159,"MCT ANNISTON INC.","2412 EULATION ROAD",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0406689,AL0001920545,"PIEDMONT BRICKYARD","HWY 21",PRICES,CALHOUN,AL,36265,,NON-FEDERAL,NOT ON NPL,,
0407161,ALSFN0407161,"POLLOCK COLLINS OIL","605 GLENN ADDIE",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0407162,ALSFN0407162,"RUDISILL FOUNDRY","1500 FRONT STREET",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0407782,ALN010724001,"SIERRA CHEMICAL COMPANY","2716 NOBLE STREET",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0407388,ALN000407388,"SOUTHERN TOOL COMPANY","112 US HIGHWAY 78 WEST",OXFORD,CALHOUN,AL,36203,,NON-FEDERAL,NOT ON NPL,,
0407164,ALSFN0407164,"U.S. PIPE AND FOUNDRY","1831 FRONT STREET",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0407040,ALSFN0407040,"UNION FOUNDRY LANDFILL","REEVES ROAD",ANNISTON,CALHOUN,AL,36202,,NON-FEDERAL,NOT ON NPL,,
0400445,AL4210020562,"USA FT MCCLELLAN ARMY GARRISON","US HWY 21 N OF ANNISTON",ANNISTON,CALHOUN,AL,36205-5000,0450,FEDERAL,NOT ON NPL,,
0407505,AL8213700000,"USA FT MCCLELLAN PELHAM RANGE","HIGHWAY 431 SOUTH",FORT MCCLELLAN,CALHOUN,AL,36205-5000,,FEDERAL,NOT ON NPL,,
0407165,ALSFN0407165,"WILLIAMS SCRAP METAL, INC.","1704 SOUTH NOBLE STREET",ANNISTON,CALHOUN,AL,36201,,NON-FEDERAL,NOT ON NPL,,
0406551,AL0001412030,"WORLEY DRUM SITE","626 ELM ST.",ANNISTON,CALHOUN,AL,36202,0450,NON-FEDERAL,NOT ON NPL,,
0407036,ALSFN0407036,"BLYTHE DRUG LAB","2105 SAND ROCK AVENUE",SAND ROCK,CHEROKEE,AL,35983,,NON-FEDERAL,NOT ON NPL,,
0406981,ALSFN0406981,"CENTRAL ALABAMA OIL & POLLUTION CONTROL","148 COUNTY ROAD 523",VERBENA,CHILTON,AL,36091,,NON-FEDERAL,NOT ON NPL,,
0405970,ALD983191388,"COUNTY ROAD 438 DRUM SITE","CTY RD 438,1.5 MI. W. OF INTER. CTY RD59",VERBENA,CHILTON,AL,36091,,NON-FEDERAL,NOT ON NPL,,
0409805,ALN000409805,"MCCOLLOUGH OIL SITE","145 COUNTY ROAD 523",VERBENA,CHILTON,AL,36091,,NON-FEDERAL,NOT ON NPL,,
0409735,ALN000409735,"VERBENA MERCURY SITE","COUNTY ROAD 526",VERBENA,CHILTON,AL,36091,,NON-FEDERAL,NOT ON NPL,,
0406455,AL0001332972,"WALKER SPRINGS WOOD TREATER","MT GILLEAU BAPTIST CHURCH RD",WALKER SPRINGS,CLARKE,AL,36586,,NON-FEDERAL,NOT ON NPL,,
0409836,ALN000409836,"BRIDGE TERM TRANSPORT ACID","",NEW HOPEWELL,CLEBURNE,AL,,,NON-FEDERAL,NOT ON NPL,,
0409857,ALN000409857,"CAMMCO FACILITY FIRE","7805 HWY 431",HELFIN,CLEBURNE,AL,36264,,NON-FEDERAL,NOT ON NPL,,
0405875,ALD004017497,"FORD SHEFFIELD PLANT","2019 FORD ROAD",SHEFFIELD,COLBERT,AL,35660,2650,NON-FEDERAL,NOT ON NPL,,
0406421,ALD981475601,"STAR PLATING","2103 MARYLAND ST.",TUSCUMBIA,COLBERT,AL,35674,2650,NON-FEDERAL,NOT ON NPL,,
0400441,AL2640006746,"TVA POWER SERVICE SHOPS","AL HWY 133",MUSCLE SHOALS,COLBERT,AL,35660,2650,FEDERAL,NOT ON NPL,,
0405852,AL9640090008,"US TVA FHC REGIONAL OFFICE","FAIRVIEW SUBSTATION (RIVER ROAD)",FAIRVIEW,COLBERT,AL,35661,2650,FEDERAL,NOT ON NPL,,
0400446,AL4210020703,"USA PHOSPHATE DEVELOPMENT WORKS","NATL FERTILIZER DEV CENTER",MUSCLE SHOALS,COLBERT,AL,35660,2650,FEDERAL,NOT ON NPL,,
0405439,ALD097745756,"PERFORMANCE ADVANTAGE"," COOSA COUNTY RD 29, P.O. BOX 157",WEOGUFKA,COOSA,AL,35183,,NON-FEDERAL,NOT ON NPL,,
0406863,ALSFN0406863,"ADVANCED THERMAL COATINGS, INC.","428 S. 4TH ST.",FLORALA,COVINGTON,AL,36442,,NON-FEDERAL,NOT ON NPL,,
0407039,ALSFN0407039,"DOSTER PROPERTY/KING MANUFACTURING SITE #2","HIGHWAY 9 SOUTH",NEWTON,DALE,AL,36352,,NON-FEDERAL,NOT ON NPL,,
0407041,ALSFN0407041,"KING CHURCH FURNITURE","HEADQUARTERS ROAD",NAPIER FIELD,DALE,AL,36303,,NON-FEDERAL,NOT ON NPL,,
0407176,ALSFN0407176,"NEWTON DOSTER #1/KING CHURCH FURNITURE DRUM #1","DALE COUNTY ROAD 9",NEWTON,DALE,AL,36352,,NON-FEDERAL,NOT ON NPL,,
0400450,AL6210020776,"USA FORT RUCKER - AVIATION CENTER","ATTN: ATZO-DEH-E BLDG 1403 (3/88)",FORT RUCKER,DALE,AL,36362,,FEDERAL,NOT ON NPL,,
0400239,ALD063680367,"ALL LOCK COMPANY INC","BURNSVILLE ROAD",SELMA,DALLAS,AL,36701,,NON-FEDERAL,NOT ON NPL,,
0400009,ALD000608075,"CAHABA CHEMICALS INC","1 RANGE ST",SELMA,DALLAS,AL,36701,,NON-FEDERAL,NOT ON NPL,,
0406974,ALSFN0406974,"PHILLIES CIGAR CO.","309 MORGAN ST.",SELMA,DALLAS,AL,36702,,NON-FEDERAL,NOT ON NPL,,
0407068,ALSFN0407068,"SELMA GAS AND ELECTRIC LIGHT CO.","RANGE ST., SOUTH OF WATER AVE.",SELMA,DALLAS,AL,36703,,NON-FEDERAL,NOT ON NPL,,
0407117,ALSFN0407117,"EARTH GRAIN BAKERY RELEASE","",FORT PAYNE,DEKALB,AL,,,NON-FEDERAL,NOT ON NPL,,
0407624,ALN000407624,"HENEGAR JR HS ODOR","",HENEGAR,DEKALB,AL,,,NON-FEDERAL,NOT ON NPL,,
0407356,ALN000407356,"SULFUR SPRINGS I-59 SPILL","",SYLPHUR SPRINGS,DEKALB,AL,,,NON-FEDERAL,NOT ON NPL,,
0406687,AL0001920578,"OLD SPEIGNER LANDFILL","COUNTY ROAD 23",NORTH ELMORE,ELMORE,AL,36025,,NON-FEDERAL,NOT ON NPL,,
0407623,ALN000407623,"JEFFERSON SMURIT ACID SPILL","",BREWTON,ESCAMBIA,AL,,,NON-FEDERAL,NOT ON NPL,,
0407414,ALD000615542,"ALABAMA POWER-GADSDEN STEAM PLANT","1000 GOODYEAR AVENUE",EAST GADSDEN,ETOWAH,AL,35903-1109,,NON-FEDERAL,NOT ON NPL,,
0407854,ALN000407854,"CHOICE FABRICATORS SPILL","",ATTALLA,ETOWAH,AL,,,NON-FEDERAL,NOT ON NPL,,
0406978,ALSFN0406978,"CRAFT PLATING","100 UTILITY AVE.",ATTALLA,ETOWAH,AL,35954-9200,,NON-FEDERAL,NOT ON NPL,,
0407038,ALSFN0407038,"EAST GADSDEN DEVELOPMENT PROJECT","E. BROAD STREET & HOOD AVENUE",GADSDEN,ETOWAH,AL,35903,,NON-FEDERAL,NOT ON NPL,,
0406578,AL0001575026,"ESQUIRE CLEANERS","BROAD STREET",GADSDEN,ETOWAH,AL,35901,2880,NON-FEDERAL,NOT ON NPL,,
0406158,AL0000059147,"ETOWAH COUNTY (RIDGEVILLE) LANDFILL","NOBLE HILL ROAD",RIDGEVILLE,ETOWAH,AL,35954,2880,NON-FEDERAL,NOT ON NPL,,
0407343,ALN000407343,"GADSDEN MANUFACTURING GAS PLANT","624 BROAD STREET",GADSDEN,ETOWAH,AL,35901,,NON-FEDERAL,NOT ON NPL,,
0406693,AL0001923374,"GLENCOE BATTERY CO. AKA H.D. POLLARD","219 WEST MAIN STREET",GLENCOE,ETOWAH,AL,35905,,NON-FEDERAL,NOT ON NPL,,
0400111,ALD004014973,"GULF STATES STEEL/BLACK CREEK","174 26TH ST SOUTH",GADSDEN,ETOWAH,AL,35901,2880,NON-FEDERAL,NOT ON NPL,,
0407560,ALN980824000,"PUCKETT SMELTER","3329 MOUNTAINBORO ROAD",MOUNTAINBORO,ETOWAH,AL,35956,,NON-FEDERAL,NOT ON NPL,,
0407773,ALN000407773,"SERVICE TRANS DICHLOROPROPANE","",GADSDEN,ETOWAH,AL,,,NON-FEDERAL,NOT ON NPL,,
0407022,ALSFN0407022,"USF DUGAN ACID SPILL","",FLORENCE,FLORENCE,AL,,,NON-FEDERAL,NOT ON NPL,,
0406977,ALSFN0406977,"FORMER DOT DISTRICT OFFICE","COURTLAND AVE. & PARK BLVD.",RUSSELLVILLE,FRANKLIN,AL,35653,,NON-FEDERAL,NOT ON NPL,,
0407622,ALN000407622,"MATHIS FARM SUPPLY FIRE","",SLOCOMB,GENEVA,AL,,,NON-FEDERAL,NOT ON NPL,,
0406628,AL0000107797,"SKINNER GRAIN & FERTILIZER","TORO ROAD",HARTFORD,GENEVA,AL,36344,,NON-FEDERAL,NOT ON NPL,,
0407232,ALN000407232,"BNSF CHEMICAL RELEASE","",MT. HEBRON,GREENE,AL,,,NON-FEDERAL,NOT ON NPL,,
0407169,ALSFN0407169,"BURLINGTON NORTHERN SANTE FE RAILROAD DERAILMENT","GREENE COUNTY",MOUNT HEBRON,GREENE,AL,,,NON-FEDERAL,NOT ON NPL,,
0406243,AL0000472712,"CRACKER ASPHALT","CRACKER ROAD",MOUNDVILLE,HALE,AL,35474,,NON-FEDERAL,NOT ON NPL,,
0400137,ALD004034138,"SOUTHERN RESINS DIV LAWTER CHEMICAL CO","CRACKER RD & TERRA DR",MOUNDVILLE,HALE,AL,35474,,NON-FEDERAL,NOT ON NPL,,
0406299,ALD981868466,"AMERICAN BRASS INC.","HIGHWAY 134 WEST",HEADLAND,HENRY,AL,36345,,NON-FEDERAL,ON FINAL NPL, 31.325000, -85.404167
0406328,AL0001093491,"COWIKEE CREEK FARMS"," HWY 97",SHORTERVILLE,HENRY,AL,36373,,NON-FEDERAL,NOT ON NPL,,
0400400,ALD980803498,"DOTHAN MUNICIPAL LDFL","NORTH BEVERLY ROAD",DOTHAN,HOUSTON,AL,36301,,NON-FEDERAL,NOT ON NPL,,
0407178,ALSFN0407178,"KING CHURCH FURNITURE #2","3125 OXMOOR INDUSTRIAL BLVD.",DOTHAN,HOUSTON,AL,36303,,NON-FEDERAL,NOT ON NPL,,
0400194,ALD050983394,"LILLY INDUSTRIAL COATINGS INC","2305 INDUSTRIAL RD",DOTHAN,HOUSTON,AL,36303,,NON-FEDERAL,NOT ON NPL,,
0406676,AL0001909845,"RED FOX FERTILIZER CO.","232 E. INEZ ROAD",DOTHAN,HOUSTON,AL,36301,,NON-FEDERAL,NOT ON NPL,,
0406630,AL0001876903,"TERRA INTERNATIONAL","251 KELLY DR",DOTHAN,HOUSTON,AL,36303,,NON-FEDERAL,NOT ON NPL,,
0407212,ALN000407212,"TRISTATE AMMONIA RELEASE","",DOTHAN,HOUSTON,AL,,,NON-FEDERAL,NOT ON NPL,,
0405866,ALD983183104,"ZY-NAPIER AIRFIELD/DOTHAN-HOUSTON AIRPOR","DOTHAN-HOUSTON COUNTY AIRPORT",DOTHAN,HOUSTON,AL,36303,,NON-FEDERAL,NOT ON NPL,,
0407791,ALN000407791,"COOLEY CHEMICAL SPILL","",PAINT ROCK,JACKSON,AL,,,NON-FEDERAL,NOT ON NPL,,
0400451,AL6640090001,"TVA FABIUS COAL WASHING FACILITY","OFF HWY 117",FABIUS,JACKSON,AL,35966,,FEDERAL,NOT ON NPL,,
0404518,ALD982111999,"WELCO INC. DUMP","COUNTY ROAD 6",WOODVILLE,JACKSON,AL,35776,,NON-FEDERAL,NOT ON NPL,,
0406629,ALD982097669,"ACME PACKAGING","1230 PARKWAY DRIVE",LEEDS,JEFFERSON,AL,35094,1000,NON-FEDERAL,NOT ON NPL,,
0407638,ALN000407638,"ALABAMA FLOODS 2003 (CERCLA)","",BIRMINGHAM,JEFFERSON,AL,,,NON-FEDERAL,NOT ON NPL,,
0406810,AL0002368439,"ALAGASCO PROPERTY","233 SHUTTLESWORTH DRIVE",BIRMINGHAM,JEFFERSON,AL,35234,,NON-FEDERAL,NOT ON NPL,,
0400301,ALD094476793,"ALL WORTH ENTERPRISES INC","500 MEDCO ROAD",BIRMINGHAM,JEFFERSON,AL,35217,1000,NON-FEDERAL,NOT ON NPL,,
0406438,ALD058639113,"BAUMAN COATINGS","2095 4TH AVENUE",BESSEMER,JEFFERSON,AL,35020-4806,1000,NON-FEDERAL,NOT ON NPL,,
0406546,AL0001411628,"BESSEMER ADAMS SITE","1447 BERKLY STREET",BESSEMER,JEFFERSON,AL,35020,1000,NON-FEDERAL,NOT ON NPL,,
0405839,ALD983181983,"BESSEMER DRUM SITE","817 20TH STREET",BESSEMER,JEFFERSON,AL,35020,1000,NON-FEDERAL,NOT ON NPL,,
0407062,ALSFN0407062,"BESSEMER GAS COMPANY","SW CORNER OF 8TH AVE. & W. 22ND ST",BESSEMER,JEFFERSON,AL,35020,,NON-FEDERAL,NOT ON NPL,,
0407064,ALSFN0407064,"BIRMINGHAM GAS WORKS","E OF N. 13TH B/W 2ND & 3RD AVE. N.",BIRMINGHAM,JEFFERSON,AL,35203,,NON-FEDERAL,NOT ON NPL,,
0400136,ALD004029633,"CALDWELL FOUNDRY & MACHINE","DUNNAVANT RD NEAR BORDEN AVE",LEEDS,JEFFERSON,AL,35094,1000,NON-FEDERAL,NOT ON NPL,,
0405694,ALD983177379,"CARLIE LEE SITE","CORNER OF DEPOT AND PINSON ST.",TARRANT,JEFFERSON,AL,35217,1000,NON-FEDERAL,NOT ON NPL,,
0407704,ALN000407704,"DEAR HAVEN ROAD DRUMS","722 DEAR HAVEN ROAD",SAYRE,JEFFERSON,AL,35139,,NON-FEDERAL,NOT ON NPL,,
0406807,AL0002368595,"DIRECT RAIL HEAD/MOORE LUMBER","3101 27TH AVE",BIRMINGHAM,JEFFERSON,AL,35234,,NON-FEDERAL,NOT ON NPL,,
0406887,ALSFN0406887,"H & G BATTERY","3701 COMMERCE AVE.",FAIRFIELD,JEFFERSON,AL,35064,,NON-FEDERAL,NOT ON NPL,,
0407387,ALN000407387,"HUEYTOWN/PATEL DRUMS","3290 ALLISON-BONNETT MEMORIAL DRIVE",HUEYTOWN,JEFFERSON,AL,35023,,NON-FEDERAL,NOT ON NPL,,
0406801,AL0002304202,"IDS WAREHOUSE","3500 FIRST AVE. SOUTH",BIRMINGHAM,JEFFERSON,AL,35222,,NON-FEDERAL,NOT ON NPL,,
0406321,AL0001024793,"ILCO SATELLITE SITES","INTERSECTION OF HWY 78 AND HWY 411",LEEDS,JEFFERSON,AL,35094,1000,NON-FEDERAL,NOT ON NPL,,
0404344,ALD041906173,"INTERSTATE LEAD CO. (ILCO)","1247 BORDEN AVE SE",LEEDS,JEFFERSON,AL,35094,1000,NON-FEDERAL,ON FINAL NPL, 33.688889, -86.633333
0407077,ALSFN0407077,"JAFFE WHOLESALE IRON AND METAL COMPANY","2850 5TH AVENUE NORTH",BIRMINGHAM,JEFFERSON,AL,35203,,NON-FEDERAL,NOT ON NPL,,
0406634,ALD980845341,"JBA MANUFACTURING","129 PARKWAY DR",LEEDS,JEFFERSON,AL,35094,1000,NON-FEDERAL,NOT ON NPL,,
0405731,ALD021254503,"JONES TIRE & BATTERY","820 AVENUE E",BIRMINGHAM,JEFFERSON,AL,35214,1000,NON-FEDERAL,NOT ON NPL,,
0406409,AL0001206564,"KEY BATTERY SHOP","1109 N. FINLEY AVE.",BIRMINGHAM,JEFFERSON,AL,35203,1000,NON-FEDERAL,NOT ON NPL,,
0406439,AL0000907360,"KIMERLING & SONS SALVAGE","2020 VANDERBILT RD",BIRMINGHAM,JEFFERSON,AL,35234,1000,NON-FEDERAL,NOT ON NPL,,
0406808,ALD003398377,"KMAC/A&B FOUNDRY, INC.","2631 SHUTTLESWORTH DRIVE",BIRMINGHAM,JEFFERSON,AL,35234,,NON-FEDERAL,NOT ON NPL,,
0407374,ALN000407374,"LEEDS LANDFILL","REX LAKE RD. & ZEIGLER  RD.",LEEDS,JEFFERSON,AL,35094,,NON-FEDERAL,NOT ON NPL,,
0407177,ALSFN0407177,"MAYFIELD MANUFACTURING COMPANY","18 WEST OXMOOR ROAD",BIRMINGHAM,JEFFERSON,AL,35209,,NON-FEDERAL,NOT ON NPL,,
0406694,AL0001923366,"MCCOMBS DUMP","WOMACK ROAD",MCCOMBS,JEFFERSON,AL,35210,,NON-FEDERAL,NOT ON NPL,,
0406696,AL0001923358,"MILLER'S FOUNDRY","AMBER HILLS ROAD",BIRMINGHAM,JEFFERSON,AL,35210,,NON-FEDERAL,NOT ON NPL,,
0406860,ALD931524044,"NATIONAL TIRE AND SALVAGE FIRE SITE","2900 21ST AVE. NORTH",BIRMINGHAM,JEFFERSON,AL,35234,,NON-FEDERAL,NOT ON NPL,,
0400429,ALD981028913,"NEWFOUND RD HEXACHLOROETHANE BAG SITE","JCT NEWFOUND RD & MT OLIVE RD.",BIRMINGHAM,JEFFERSON,AL,35210,1000,NON-FEDERAL,NOT ON NPL,,
0406472,AL0001401322,"OLD MUTUAL OIL SITE","925 12TH ST SW",BIRMINGHAM,JEFFERSON,AL,35211,1000,NON-FEDERAL,NOT ON NPL,,
0406797,AL0002381747,"READING AVE. DISPOSAL - USX ENSLEY","610 READING AVENUE D",BIRMINGHAM,JEFFERSON,AL,35214,,NON-FEDERAL,NOT ON NPL,,
0406387,AL0001120039,"REDMONT GARDENS","3829 THORNHILL RD.",MOUNTAIN BROOK,JEFFERSON,AL,35213,1000,NON-FEDERAL,NOT ON NPL,,
0406440,AL0001315365,"RUFFNER MOUNTAIN DRUMS","RUFFNER RD",IRONDALE,JEFFERSON,AL,35210,1000,NON-FEDERAL,NOT ON NPL,,
0406672,ALD067140061,"SHREDDERS, INC","3353 27TH AVENUE NORTH",BIRMINGHAM,JEFFERSON,AL,35202-2125,,NON-FEDERAL,NOT ON NPL,,
0406750,ALD004009825,"THOMAS FOUNDRY","900 N. 38TH ST.",BIRMINGHAM,JEFFERSON,AL,35222-1048,,NON-FEDERAL,NOT ON NPL,,
0406809,AL0002369320,"US LANDS PROPERTY","2336 SHUTTLESWORTH DRIVE",BIRMINGHAM,JEFFERSON,AL,35234,,NON-FEDERAL,NOT ON NPL,,
0406919,ALSFN0406919,"VILLA SPIRITS","1157 HUFFMAN RD.",BIRMINGHAM,JEFFERSON,AL,35215,,NON-FEDERAL,NOT ON NPL,,
0406566,ALD983177981,"EMERSON ELECTRIC/ CHROMALOX","1199 CTY RD 9 (YELLOW CREEK RD)",VERNON,LAMAR,AL,35592,,NON-FEDERAL,NOT ON NPL,,
0407501,ALN000407501,"LAMAR COUNTY DRUM DUMP","HWY 96 AND ATKINS ROAD",MILLPORT,LAMAR,AL,35576,,NON-FEDERAL,NOT ON NPL,,
0406560,ALD050981687,"NACCO MATERIALS (HYSTER CO.)","U.S. HWY 278, EAST",SULLIGENT,LAMAR,AL,35586,,NON-FEDERAL,NOT ON NPL,,
0406695,AL0001923341,"FLORENCE GAS WORKS","WATER STREET",FLORENCE,LAUDERDALE,AL,35630,,NON-FEDERAL,NOT ON NPL,,
0406980,ALSFN0406980,"JOHNSON DRUM SITE","369 JOHNSON ROAD",GREENHILL,LAUDERDALE,AL,35630,,NON-FEDERAL,NOT ON NPL,,
0405243,ALD174267005,"JOHNSTON FLYING SERVICE"," WATERLOO ROAD",FLORENCE,LAUDERDALE,AL,35630,2650,NON-FEDERAL,NOT ON NPL,,
0404761,ALD067102301,"MONARCH TILE MANUFACTURING, INC.","",FLORENCE,LAUDERDALE,AL,35630,2650,NON-FEDERAL,REMOVED PROPOSAL,,
0407757,ALN000407757,"SHOALS CHRISTIAN SCHOOL MERCURY","301 HEATHROW DRIVE",FLORENCE,LAUDERDALE,AL,35631,,NON-FEDERAL,NOT ON NPL,,
0406698,AL0001923333,"STEVENSON STREET FOUNDRY","STEVENSON",FLORENCE,LAUDERDALE,AL,35630,,NON-FEDERAL,NOT ON NPL,,
0406699,AL0001923325,"TENNESSEE VALLEY FERTILIZER CO.","COMMERCE STREET",FLORENCE,LAUDERDALE,AL,35630,,NON-FEDERAL,NOT ON NPL,,
0409740,ALN000409740,"TRAVEL PATH ROAD DRUM","214 TRAVEL PATH ROAD",ROGERSVILLE,LAUDERDALE,AL,35652,,NON-FEDERAL,NOT ON NPL,,
0405851,AL7640006667,"US TVA WHEELER HYDRO PLANT","ROUTE 2",TOWN CREEK,LAWRENCE,AL,35672,,FEDERAL,NOT ON NPL,,
0407561,ALN000407561,"MID-STATE ELECTRIC MOTOR SERVICE, INC.","1801 MARKET STREET",OPELIKA,LEE,AL,36801,,NON-FEDERAL,NOT ON NPL,,
0406477,AL0001409192,"SOUTHSIDE WW TREATMENT PLANT","SHUG JORDAN PKWY",AUBURN,LEE,AL,36832,,NON-FEDERAL,NOT ON NPL,,
0405892,ALD983186123,"VIRGINIA CAROLINA CHEMICAL CORP.","1ST AVENUE",OPELIKA,LEE,AL,36801,,NON-FEDERAL,NOT ON NPL,,
0407834,ALD981469992,"OWENS PLATING","133 ROY LONG ROAD",ATHENS,LIMESTONE,AL,35611,,NON-FEDERAL,NOT ON NPL,,
0400424,ALD981024250,"RANSOM, EARL PROPERTY","MENEFEE ROAD",CAPSHAW,LIMESTONE,AL,35749,1000,NON-FEDERAL,NOT ON NPL,,
0406550,ALD003383254,"BENCO INDUSTRIES, INC.","1 BENCO INDUSTRIAL DR.",FT. DEPOSIT,LOWNDES,AL,36032,,NON-FEDERAL,NOT ON NPL,,
0407682,ALN000407682,"CALABEE CREEK DRUMS","CALABEE CREEK/CR 73",TUSKEGEE,MACON,AL,36083,,NON-FEDERAL,NOT ON NPL,,
0407688,ALN000407688,"CUBAHATCHEE CREEK DRUM JOB","COUNTY ROAD 19 MACON COUNTY    COON HOP RD @ CR19",HARDAWAY,MACON,AL,36039,,NON-FEDERAL,NOT ON NPL,,
