LOUISIANA CONGRESSIONAL DISTRICTS BY PLACES
 
Place                                   Parish                        109th Congressional District
Colfax town                             Grant                         4                   
Collinston village                      Morehouse                     5                   
Columbia town                           Caldwell                      5                   
Converse village                        Sabine                        4                   
Cottonport town                         Avoyelles                     5                   
Cotton Valley town                      Webster                       4                   
Coushatta town                          Red River                     4                   
Covington city                          St. Tammany                   1                   
Crowley city                            Acadia                        7                   
Cullen town                             Webster                       4                   
Cut Off CDP                             Lafourche                     3                   
Delcambre town                          Iberia                        3                   
                                        Vermilion                     7                   
Delhi town                              Richland                      5                   
Delta village                           Madison                       5                   
Denham Springs city                     Livingston                    6                   
DeQuincy city                           Calcasieu                     7                   
De Ridder city                          Beauregard                    4                   
                                        Vernon                        4                   
Des Allemands CDP                       Lafourche                     3                   
                                        St. Charles                   3                   
Destrehan CDP                           St. Charles                   1,3                 
Deville CDP                             Rapides                       5                   
Dixie Inn village                       Webster                       4                   
Dodson village                          Winn                          5                   
Donaldsonville city                     Ascension                     3                   
Downsville village                      Lincoln                       5                   
                                        Union                         5                   
Doyline village                         Webster                       4                   
Dry Prong village                       Grant                         4                   
Dubach town                             Lincoln                       5                   
Dubberly village                        Webster                       4                   
Dulac CDP                               Terrebonne                    3                   
Duson town                              Acadia                        7                   
                                        Lafayette                     7                   
East Hodge village                      Jackson                       5                   
Eastwood CDP                            Bossier                       4                   
Eden Isle CDP                           St. Tammany                   1                   
Edgard CDP                              St. John the Baptist          3                   
Edgefield village                       Red River                     4                   
Elizabeth town                          Allen                         5                   
Elmwood CDP                             Jefferson                     1                   
Elton town                              Jefferson Davis               7                   
Empire CDP                              Plaquemines                   3                   
Epps village                            West Carroll                  5                   
Erath town                              Vermilion                     7                   
Eros town                               Jackson                       5                   
Estelle CDP                             Jefferson                     2,3                 
Estherwood village                      Acadia                        7                   
Eunice city                             Acadia                        7                   
                                        St. Landry                    7                   
Evergreen town                          Avoyelles                     5                   
Farmerville town                        Union                         5                   
Fenton village                          Jefferson Davis               7                   
Ferriday town                           Concordia                     5                   
Fisher village                          Sabine                        4                   
Florien village                         Sabine                        4                   
Folsom village                          St. Tammany                   1                   
Fordoche town                           Pointe Coupee                 5                   
Forest village                          West Carroll                  5                   
Forest Hill village                     Rapides                       5                   
Fort Polk North CDP                     Vernon                        4                   
Fort Polk South CDP                     Vernon                        4                   
Franklin city                           St. Mary                      3                   
Franklinton town                        Washington                    1                   
French Settlement village               Livingston                    6                   
Galliano CDP                            Lafourche                     3                   
Gardere CDP                             East Baton Rouge              6                   
Garyville CDP                           St. John the Baptist          3                   
Georgetown village                      Grant                         4                   
Gibsland town                           Bienville                     4                   
Gilbert village                         Franklin                      5                   
Gilliam village                         Caddo                         4                   
Glenmora town                           Rapides                       5                   
Golden Meadow town                      Lafourche                     3                   
Goldonna village                        Natchitoches                  4                   
Gonzales city                           Ascension                     3                   
Grambling town                          Lincoln                       5                   
Gramercy town                           St. James                     3                   
Grand Cane village                      De Soto                       4                   
Grand Coteau town                       St. Landry                    7                   
Grand Isle town                         Jefferson                     3                   
Gray CDP                                Terrebonne                    3                   
Grayson village                         Caldwell                      5                   
Greensburg town                         St. Helena                    6                   
Greenwood town                          Caddo                         4                   
Gretna city                             Jefferson                     1,2                 
Grosse Tete village                     Iberville                     5                   
Gueydan town                            Vermilion                     7                   
Hackberry CDP                           Cameron                       7                   
Hahnville CDP                           St. Charles                   3                   
Hall Summit village                     Red River                     4                   
Hammond city                            Tangipahoa                    1                   
Harahan city                            Jefferson                     1                   
Harrisonburg village                    Catahoula                     5                   
Harvey CDP                              Jefferson                     1,2                 
Haughton town                           Bossier                       4                   
Haynesville town                        Claiborne                     4                   
Heflin village                          Webster                       4                   
Henderson town                          St. Martin                    3                   
Hessmer village                         Avoyelles                     5                   
Hodge village                           Jackson                       5                   
Homer town                              Claiborne                     4                   
Hornbeck town                           Vernon                        4                   
Hosston village                         Caddo                         4                   
Houma city                              Terrebonne                    3                   
Ida village                             Caddo                         4                   
Independence town                       Tangipahoa                    1                   
Inniswold CDP                           East Baton Rouge              6                   
Iota town                               Acadia                        7                   
Iowa town                               Calcasieu                     7                   
Jackson town                            East Feliciana                6                   
Jamestown village                       Bienville                     4                   
Jeanerette city                         Iberia                        3                   
Jean Lafitte town                       Jefferson                     3                   
Jefferson CDP                           Jefferson                     1,2                 
Jena town                               La Salle                      5                   
Jennings city                           Jefferson Davis               7                   
Jonesboro town                          Jackson                       5                   
Jonesville town                         Catahoula                     5                   
Junction City village                   Claiborne                     4                   
                                        Union                         5                   
Kaplan city                             Vermilion                     7                   
Keachi town                             De Soto                       4                   
Kenner city                             Jefferson                     1,2                 
Kentwood town                           Tangipahoa                    1                   
Kilbourne village                       West Carroll                  5                   
Killian village                         Livingston                    6                   
Killona CDP                             St. Charles                   3                   
Kinder town                             Allen                         4                   
Krotz Springs town                      St. Landry                    7                   
Labadieville CDP                        Assumption                    3                   
Lacombe CDP                             St. Tammany                   1                   
Lafayette city                          Lafayette                     7                   
Lafitte CDP                             Jefferson                     3                   
Lake Arthur town                        Jefferson Davis               7                   
Lake Charles city                       Calcasieu                     7                   
Lake Providence town                    East Carroll                  5                   
Laplace CDP                             St. John the Baptist          3                   
Larose CDP                              Lafourche                     3                   
Lecompte town                           Rapides                       5                   
Leesville city                          Vernon                        4                   
Leonville town                          St. Landry                    7                   
Lillie village                          Union                         5                   
Lisbon village                          Claiborne                     4                   
Livingston town                         Livingston                    6                   
Livonia town                            Pointe Coupee                 5,6                 
Lockport town                           Lafourche                     3                   
Logansport town                         De Soto                       4                   
Longstreet village                      De Soto                       4                   
Loreauville village                     Iberia                        3                   
Lucky village                           Bienville                     4                   
Luling CDP                              St. Charles                   3                   
Lutcher town                            St. James                     3                   
Lydia CDP                               Iberia                        3                   
McNary village                          Rapides                       5                   
Madisonville town                       St. Tammany                   1                   
Mamou town                              Evangeline                    5,7                 
Mandeville city                         St. Tammany                   1                   
Mangham town                            Richland                      5                   
Mansfield city                          De Soto                       4                   
Mansura town                            Avoyelles                     5                   
Many town                               Sabine                        4                   
Maringouin town                         Iberville                     5                   
Marion town                             Union                         5                   
Marksville city                         Avoyelles                     5                   
Marrero CDP                             Jefferson                     1,2                 
Martin village                          Red River                     4                   
Mathews CDP                             Lafourche                     3                   
Maurice village                         Vermilion                     7                   
Melville town                           St. Landry                    7                   
Meraux CDP                              St. Bernard                   3                   
Mermentau village                       Acadia                        7                   
Mer Rouge village                       Morehouse                     5                   
Merrydale CDP                           East Baton Rouge              6                   
Merryville town                         Beauregard                    4                   
Metairie CDP                            Jefferson                     1,2                 
Midway CDP                              La Salle                      5                   
Minden city                             Webster                       4                   
Monroe city                             Ouachita                      5                   
Montegut CDP                            Terrebonne                    3                   
Montgomery town                         Grant                         4                   
Monticello CDP                          East Baton Rouge              6                   
Montpelier village                      St. Helena                    6                   
Montz CDP                               St. Charles                   3                   
Mooringsport town                       Caddo                         4                   
Moreauville village                     Avoyelles                     5                   
Morgan City city                        St. Mary                      3                   
Morganza village                        Pointe Coupee                 5                   
Morse village                           Acadia                        7                   
Moss Bluff CDP                          Calcasieu                     7                   
Mound village                           Madison                       5                   
Mount Lebanon town                      Bienville                     4                   
Napoleonville village                   Assumption                    3                   
Natalbany CDP                           Tangipahoa                    1                   
Natchez village                         Natchitoches                  4                   
Natchitoches city                       Natchitoches                  4                   
Newellton town                          Tensas                        5                   
New Iberia city                         Iberia                        3                   
New Llano town                          Vernon                        4                   
New Orleans city                        Orleans                       1,2                 
New Roads city                          Pointe Coupee                 5,6                 
New Sarpy CDP                           St. Charles                   3                   
Noble village                           Sabine                        4                   
Norco CDP                               St. Charles                   3                   
North Hodge village                     Jackson                       5                   
North Vacherie CDP                      St. James                     3                   
Norwood village                         East Feliciana                6                   
Oakdale city                            Allen                         5                   
Oak Grove town                          West Carroll                  5                   
Oak Hills Place CDP                     East Baton Rouge              6                   
Oak Ridge village                       Morehouse                     5                   
Oberlin town                            Allen                         4,5                 
Oil City town                           Caddo                         4                   
Old Jefferson CDP                       East Baton Rouge              6                   
Olla town                               La Salle                      5                   
Opelousas city                          St. Landry                    7                   
Paincourtville CDP                      Assumption                    3                   
Palmetto village                        St. Landry                    7                   
Paradis CDP                             St. Charles                   3                   
Parks village                           St. Martin                    3                   
Patterson city                          St. Mary                      3                   
Pearl River town                        St. Tammany                   1                   
Pierre Part CDP                         Assumption                    3                   
Pine Prairie village                    Evangeline                    5                   
Pineville city                          Rapides                       5                   
Pioneer village                         West Carroll                  5                   
Plain Dealing town                      Bossier                       4                   
Plaquemine city                         Iberville                     5,6                 
Plaucheville village                    Avoyelles                     5                   
Pleasant Hill village                   Sabine                        4                   
Pollock town                            Grant                         4                   
Ponchatoula city                        Tangipahoa                    1                   
Port Allen city                         West Baton Rouge              6                   
Port Barre town                         St. Landry                    7                   
Port Sulphur CDP                        Plaquemines                   3                   
Port Vincent village                    Livingston                    6                   
Powhatan village                        Natchitoches                  4                   
Poydras CDP                             St. Bernard                   3                   
Prien CDP                               Calcasieu                     7                   
Provencal village                       Natchitoches                  4                   
Quitman village                         Jackson                       5                   
Raceland CDP                            Lafourche                     3                   
Rayne city                              Acadia                        7                   
Rayville town                           Richland                      5                   
Red Chute CDP                           Bossier                       4                   
Reeves village                          Allen                         4                   
Reserve CDP                             St. John the Baptist          3                   
Richmond village                        Madison                       5                   
Richwood town                           Ouachita                      5                   
Ridgecrest town                         Concordia                     5                   
Ringgold town                           Bienville                     4                   
River Ridge CDP                         Jefferson                     1,2                 
Robeline village                        Natchitoches                  4                   
Rodessa village                         Caddo                         4                   
Rosedale village                        Iberville                     5                   
Roseland town                           Tangipahoa                    1                   
Rosepine town                           Vernon                        4                   
Ruston city                             Lincoln                       5                   
St. Francisville town                   West Feliciana                6                   
St. Gabriel town                        Iberville                     6                   
St. Joseph town                         Tensas                        5                   
St. Martinville city                    St. Martin                    3                   
St. Rose CDP                            St. Charles                   1,3                 
Saline village                          Bienville                     4                   
Sarepta town                            Webster                       4                   
Schriever CDP                           Terrebonne                    3                   
Scott city                              Lafayette                     7                   
Shenandoah CDP                          East Baton Rouge              6                   
Shongaloo village                       Webster                       4                   
Shreveport city                         Bossier                       4                   
                                        Caddo                         4                   
Sibley town                             Webster                       4                   
Sicily Island village                   Catahoula                     5                   
Sikes village                           Winn                          5                   
Simmesport town                         Avoyelles                     5                   
Simpson village                         Vernon                        4                   
Simsboro village                        Lincoln                       5                   
Slaughter village                       East Feliciana                6                   
Slidell city                            St. Tammany                   1                   
Sorrento town                           Ascension                     3                   
South Mansfield village                 De Soto                       4                   
South Vacherie CDP                      St. James                     3                   
Spearsville village                     Union                         5                   
Springfield town                        Livingston                    6                   
Springhill city                         Webster                       4                   
Stanley village                         De Soto                       4                   
Sterlington town                        Ouachita                      5                   
Stonewall town                          De Soto                       4                   
Sulphur city                            Calcasieu                     7                   
Sun village                             St. Tammany                   1                   
Sunset town                             St. Landry                    7                   
Supreme CDP                             Assumption                    3                   
Swartz CDP                              Ouachita                      5                   
Taft CDP                                St. Charles                   3                   
Tallulah city                           Madison                       5                   
Tangipahoa village                      Tangipahoa                    1                   
Terrytown CDP                           Jefferson                     1,2                 
Thibodaux city                          Lafourche                     3                   
Tickfaw village                         Tangipahoa                    1                   
Timberlane CDP                          Jefferson                     1,2                 
Tullos town                             La Salle                      5                   
                                        Winn                          5                   
Turkey Creek village                    Evangeline                    5                   
Urania town                             La Salle                      5                   
Varnado village                         Washington                    1                   
Vidalia town                            Concordia                     5                   
Vienna town                             Lincoln                       5                   
Village St. George CDP                  East Baton Rouge              6                   
Ville Platte city                       Evangeline                    5,7                 
Vinton town                             Calcasieu                     7                   
Violet CDP                              St. Bernard                   3                   
Vivian town                             Caddo                         4                   
Waggaman CDP                            Jefferson                     2                   
Walker town                             Livingston                    6                   
Wallace CDP                             St. John the Baptist          3                   
Washington town                         St. Landry                    7                   
Waterproof town                         Tensas                        5                   
Welsh town                              Jefferson Davis               7                   
West Ferriday CDP                       Concordia                     5                   
Westlake city                           Calcasieu                     7                   
Westminster CDP                         East Baton Rouge              6                   
West Monroe city                        Ouachita                      5                   
Westwego city                           Jefferson                     2                   
White Castle town                       Iberville                     6                   
Wilson village                          East Feliciana                6                   
Winnfield city                          Winn                          5                   
Winnsboro city                          Franklin                      5                   
Wisner town                             Franklin                      5                   
Woodmere CDP                            Jefferson                     2                   
Woodworth town                          Rapides                       5                   
Youngsville town                        Lafayette                     7                   
Zachary city                            East Baton Rouge              6                   
Zwolle town                             Sabine                        4                   
