-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
CHT1        49718.000    1995     1     1     0
CHT1        52274.750    2001    12    31    18
CHT1      1635806.118 -4482177.303  4218387.494
49726.50    -0.281280    -0.435601    -0.949888
49726.75    -0.488834    -0.581268    -1.625182
49727.00     0.045490    -0.709521    -2.018823
49727.25     0.083050    -0.645078    -2.544371
49727.50     0.337609    -0.486629    -2.695647
49727.75     0.313430    -0.610714    -3.043005
49728.00     0.840667    -0.606832    -2.906160
49728.25     0.924228    -0.530647    -2.986459
49728.50     1.154827    -0.241259    -2.570423
49728.75     0.922503    -0.324995    -2.627709
49729.00     1.138715    -0.311551    -2.223685
49729.25     0.727644    -0.181906    -2.022391
49729.50     0.651898     0.134746    -1.314172
49729.75     0.095312    -0.002774    -1.127504
49730.00    -0.015465    -0.047376    -0.763537
49730.25    -0.425307    -0.096131    -0.892426
49730.50    -0.427717    -0.025998    -0.773733
49730.75    -0.640227    -0.326414    -1.584523
49731.00    -0.467249    -0.479132    -1.902723
49731.25    -0.505450    -0.487781    -2.132812
49731.50    -0.516369    -0.266781    -1.777799
49731.75    -0.854178    -0.437943    -2.029652
49732.00    -0.728087    -0.481437    -1.635943
49732.25    -0.991500    -0.456391    -1.422150
49732.50    -1.076056    -0.265897    -0.681439
49732.75    -1.365281    -0.456956    -0.539812
49733.00    -1.195598    -0.536487    -0.346192
49733.25    -1.380198    -0.520880    -0.771722
49733.50    -1.276419    -0.336827    -0.798093
49733.75    -1.304879    -0.490967    -1.414970
49734.00    -1.090067    -0.594706    -1.532331
49734.25    -1.087808    -0.614689    -1.775024
49734.50    -0.886132    -0.483837    -1.548726
49734.75    -0.901119    -0.691443    -2.029867
49735.00    -0.509366    -0.847520    -2.276082
49735.25    -0.379349    -0.781235    -2.676125
49735.50    -0.329573    -0.619911    -2.737444
49735.75    -0.484956    -0.763400    -3.112363
49736.00    -0.170960    -0.839912    -2.979646
49736.25    -0.372647    -0.702389    -2.542414
49736.50    -0.422192    -0.426668    -1.905323
49736.75    -0.835938    -0.429360    -1.663780
49737.00    -0.705702    -0.399474    -1.245619
49737.25    -0.948529    -0.128676    -0.768229
49737.50    -1.117869     0.247021    -0.005210
49737.75    -1.570832     0.273476     0.307811
49738.00    -1.533233     0.231186     0.674902
49738.25    -1.621087     0.308942     0.923504
49738.50    -1.614659     0.440019     1.219562
49738.75    -1.793269     0.216034     0.835562
49739.00    -1.526312     0.005463     0.615284
49739.25    -1.536708    -0.037582     0.401001
49739.50    -1.515698     0.095596     0.516700
49739.75    -1.665745    -0.070056     0.302371
49740.00    -1.292008    -0.200171     0.332167
49740.25    -1.355196    -0.188479     0.292770
49740.50    -1.329265    -0.043690     0.366817
49740.75    -1.445925    -0.165576     0.084091
49741.00    -1.354768    -0.256800    -0.168501
49741.25    -1.447297    -0.219915    -0.259522
49741.50    -1.420449    -0.035824     0.015481
49741.75    -1.750136    -0.309997    -0.413721
49742.00    -1.632638    -0.549405    -0.627131
49742.25    -1.706377    -0.632043    -0.714265
49742.50    -1.723128    -0.473231    -0.568982
49742.75    -2.021469    -0.665337    -0.827791
49743.00    -1.687077    -0.732810    -0.613702
49743.25    -1.868979    -0.713420    -0.624008
49743.50    -1.976949    -0.515060    -0.350810
49743.75    -2.322080    -0.651192    -0.468076
49744.00    -2.084425    -0.662955    -0.268058
49744.25    -2.257372    -0.644444    -0.397983
49744.50    -2.145695    -0.476401    -0.093934
49744.75    -2.350141    -0.621789    -0.209199
49745.00    -2.132271    -0.833726    -0.465682
49745.25    -2.182454    -0.837267    -0.767059
49745.50    -1.874893    -0.655975    -0.598097
49745.75    -2.026564    -0.851890    -1.050204
49746.00    -1.532349    -0.957332    -1.048069
49746.25    -1.446565    -1.060394    -1.464226
49746.50    -1.253768    -0.928662    -1.203324
49746.75    -1.472568    -1.189775    -1.441604
49747.00    -1.423157    -1.249127    -0.899551
49747.25    -1.699489    -1.162214    -0.407258
49747.50    -1.936312    -0.907323     0.452691
49747.75    -2.197270    -0.915594     0.912329
49748.00    -2.302898    -0.940993     1.405588
49748.25    -2.569701    -0.857627     1.692630
49748.50    -2.645026    -0.605417     2.296287
49748.75    -2.846877    -0.737557     2.309637
49749.00    -2.608712    -0.724828     2.798092
49749.25    -2.631526    -0.599594     3.082665
49749.50    -2.421220    -0.348752     3.307387
49749.75    -2.407295    -0.450603     2.823517
49750.00    -1.885740    -0.498912     2.502349
49750.25    -1.750727    -0.401177     2.156031
49750.50    -1.591215    -0.227976     1.800140
49750.75    -1.699464    -0.429910     0.891017
49751.00    -1.210983    -0.555452     0.329756
49751.25    -1.105191    -0.556262    -0.371558
49751.50    -0.856657    -0.373304    -0.522567
49751.75    -0.887526    -0.492748    -0.674632
49752.00    -0.463378    -0.392120    -0.111952
49752.25    -0.424143    -0.117569     0.350646
49752.50    -0.288621     0.392010     1.328547
49752.75    -0.509644     0.597798     2.169676
49753.00    -0.516546     0.637049     3.013253
49753.25    -0.944313     0.575106     3.607544
49753.50    -0.845613     0.486482     4.000175
49753.75    -0.893810     0.195310     3.859631
49754.00    -0.384050    -0.046347     3.458760
49754.25    -0.144226    -0.009413     3.243624
49754.50     0.228884     0.270870     3.472486
49754.75     0.165832     0.206305     3.281783
49755.00     0.654109     0.130434     3.175972
49755.25     0.683736     0.188202     2.778809
49755.50     0.865636     0.338229     2.784971
49755.75     0.579035     0.237834     2.525334
49756.00     0.886615     0.188567     2.657588
49756.25     0.632760     0.184526     2.351581
49756.50     0.679133     0.429135     2.705394
49756.75     0.390740     0.232409     2.440235
49757.00     0.388208     0.168941     2.806649
49757.25     0.285398     0.137564     2.673845
49757.50     0.273514     0.450400     3.381940
49757.75    -0.195296     0.430299     3.408524
49758.00    -0.119801     0.431525     3.760361
49758.25    -0.351013     0.387918     3.233193
49758.50    -0.196029     0.580554     3.178669
49758.75    -0.571846     0.492963     2.851964
49759.00    -0.542184     0.534099     3.177070
49759.25    -0.928052     0.504342     3.050585
49759.50    -1.026471     0.530063     3.131888
49759.75    -1.469307     0.236335     2.597161
49760.00    -1.497618     0.034033     2.453011
49760.25    -1.953821    -0.188431     1.823216
49760.50    -2.031207    -0.235932     1.565599
49760.75    -2.436790    -0.646697     0.784862
49761.00    -2.233792    -0.840359     0.380782
49761.25    -2.150143    -0.927249    -0.200158
49761.50    -1.797553    -0.623314     0.044508
49761.75    -1.976274    -0.712169    -0.291504
49762.00    -1.697040    -0.649212     0.050129
49762.25    -1.643916    -0.608108    -0.162348
49762.50    -1.323194    -0.425509    -0.156582
49762.75    -1.276710    -0.623275    -0.736229
49763.00    -0.834035    -0.642987    -0.604258
49763.25    -0.812329    -0.643619    -0.974561
49763.50    -0.536629    -0.331784    -0.515969
49763.75    -0.896741    -0.284605    -0.010098
49764.00    -0.907073    -0.162691     1.206458
49764.25    -1.349309    -0.110292     1.724377
49764.50    -1.002352    -0.194644     1.539266
49764.75    -0.883294    -0.526799     0.384031
49765.00    -0.306496    -0.695705    -0.317135
49765.25    -0.047072    -0.664068    -0.852328
49765.50     0.242479    -0.525267    -0.921111
49765.75    -0.172661    -0.726151    -1.649340
49766.00    -0.045906    -0.788336    -1.411722
49766.25    -0.501548    -0.780070    -1.695949
49766.50    -0.434827    -0.607762    -1.831391
49766.75    -0.749697    -0.798127    -2.574628
49767.00    -0.566239    -0.825540    -2.288658
49767.25    -0.981978    -0.811385    -2.084853
49767.50    -1.015667    -0.632934    -1.164830
49767.75    -1.504945    -0.840643    -0.921363
49768.00    -1.346814    -0.857228    -0.672932
49768.25    -1.512376    -0.719618    -0.888824
49768.50    -1.166543    -0.299804    -0.274292
49768.75    -1.333756    -0.262024    -0.042596
49769.00    -0.994693    -0.197337     0.553149
49769.25    -1.076020     0.021841     0.905618
49769.50    -0.898514     0.294548     1.315430
49769.75    -1.192010     0.032447     0.687377
49770.00    -0.819961    -0.147574     0.749300
49770.25    -0.977945    -0.145775     0.371802
49770.50    -0.943564    -0.009321     0.169504
49770.75    -1.205749    -0.163865    -0.236889
49771.00    -0.917342    -0.158670     0.056005
49771.25    -1.182539    -0.141061    -0.307636
49771.50    -0.938479     0.149582     0.090232
49771.75    -1.071594    -0.024924    -0.084631
49772.00    -0.792589     0.023906     0.248022
49772.25    -0.989806     0.092203     0.343076
49772.50    -0.863868     0.355006     0.902835
49772.75    -1.223148     0.007406     0.542564
49773.00    -0.862141    -0.241741     0.488055
49773.25    -0.774994    -0.284979     0.138579
49773.50    -0.344423    -0.065126     0.222637
49773.75    -0.655073    -0.244275    -0.562605
49774.00    -0.258302    -0.235841    -0.552822
49774.25    -0.247612    -0.345976    -1.425718
49774.50     0.014698    -0.123077    -1.825864
49774.75    -0.221108    -0.412264    -2.932687
49775.00     0.133895    -0.463991    -3.173340
49775.25    -0.021653    -0.494638    -3.717073
49775.50     0.111813    -0.150365    -3.331149
49775.75    -0.194021    -0.228623    -3.253868
49776.00    -0.210840    -0.182383    -2.648187
49776.25    -0.436808    -0.178564    -2.644752
49776.50    -0.143801     0.189817    -1.843927
49776.75    -0.386772    -0.060149    -2.351450
49777.00    -0.222548    -0.208801    -2.213707
49777.25    -0.295298    -0.260521    -2.362937
49777.50    -0.235489    -0.042296    -2.054914
49777.75    -0.722082    -0.291356    -2.458900
49778.00    -0.704601    -0.434786    -2.149507
49778.25    -0.960219    -0.593471    -2.518245
49778.50    -0.870835    -0.477412    -2.543496
49778.75    -1.003354    -0.714939    -3.229347
49779.00    -0.535001    -0.735977    -3.057970
49779.25    -0.515456    -0.699281    -3.399218
49779.50    -0.072466    -0.465629    -3.111391
49779.75    -0.117325    -0.601099    -3.383145
49780.00     0.148478    -0.571471    -3.056865
49780.25     0.043201    -0.547905    -3.474852
49780.50     0.185757    -0.361757    -3.467371
49780.75     0.006561    -0.585143    -4.113094
49781.00     0.051236    -0.664476    -4.131000
49781.25     0.022641    -0.600913    -4.413755
49781.50     0.353846    -0.272649    -4.079675
49781.75     0.073639    -0.295553    -4.211862
49782.00     0.295639    -0.129952    -3.318462
49782.25    -0.101301     0.061001    -3.042625
49782.50    -0.285923     0.275199    -2.463837
49782.75    -0.847634     0.031386    -2.814215
49783.00    -0.777786    -0.212058    -2.860372
49783.25    -1.088581    -0.277910    -3.397841
49783.50    -1.101290    -0.025282    -3.087290
49783.75    -1.710146    -0.187380    -3.234561
49784.00    -1.592704    -0.198506    -2.456154
49784.25    -1.992071    -0.251088    -2.133884
49784.50    -1.779685    -0.085037    -1.530460
49784.75    -1.997754    -0.425960    -2.184264
49785.00    -1.571975    -0.466023    -1.886810
49785.25    -1.657757    -0.468922    -2.110056
49785.50    -1.417754    -0.371706    -1.955974
49785.75    -1.567344    -0.670550    -2.557564
49786.00    -1.034421    -0.833644    -2.501398
49786.25    -1.277570    -0.901823    -2.832454
49786.50    -1.019910    -0.729125    -2.769852
49786.75    -1.359807    -0.901712    -3.137556
49787.00    -1.031500    -0.930064    -2.824974
49787.25    -1.231051    -0.925600    -3.013114
49787.50    -0.808580    -0.658314    -2.693980
49787.75    -1.018936    -0.755453    -3.023613
49788.00    -0.573695    -0.756440    -2.657889
49788.25    -0.577614    -0.803923    -2.956144
49788.50    -0.460985    -0.615594    -2.738242
49788.75    -1.068448    -0.942413    -3.428211
49789.00    -1.129930    -0.953105    -3.045281
49789.25    -1.649035    -1.042012    -3.646048
49789.50    -1.753300    -0.841084    -3.642677
49789.75    -2.097279    -1.030528    -4.182253
49790.00    -1.976060    -1.121595    -4.189083
49790.25    -2.261208    -1.127951    -4.710096
49790.50    -1.989700    -0.907061    -4.538893
49790.75    -2.088201    -1.029241    -4.948413
49791.00    -1.663218    -1.022859    -4.304315
49791.25    -1.590545    -0.904332    -3.798086
49791.50    -1.292545    -0.574261    -2.954927
49791.75    -1.382357    -0.610583    -2.825861
49792.00    -0.939047    -0.469351    -2.159651
49792.25    -0.952330    -0.412563    -2.068091
49792.50    -0.828685    -0.166217    -1.741286
49792.75    -0.921451    -0.293188    -2.041931
49793.00    -0.504725    -0.303541    -1.779611
49793.25    -0.462558    -0.380805    -2.045302
49793.50    -0.132883    -0.063326    -1.403724
49793.75    -0.019397    -0.257123    -1.423558
49794.00     0.640167    -0.330510    -1.146938
49794.25     0.707475    -0.405664    -1.294595
49794.50     1.302693    -0.039190    -0.571147
49794.75     1.292022    -0.205832    -0.716779
49795.00     1.583389    -0.208348    -0.056560
49795.25     1.668725    -0.170988     0.163798
49795.50     1.874871     0.073764     0.577255
49795.75     1.462086    -0.100016     0.552262
49796.00     1.545303    -0.096354     1.267380
49796.25     1.192035    -0.038570     1.481284
49796.50     0.951651     0.216728     2.054792
49796.75     0.410588     0.169609     2.460371
49797.00     0.367599     0.226910     3.416501
49797.25    -0.320046     0.250289     3.412117
49797.50    -0.438646     0.600395     4.113789
49797.75    -1.080767     0.493790     3.956868
49798.00    -1.084897     0.379544     4.085877
49798.25    -1.447652     0.349035     3.844429
49798.50    -1.358174     0.590614     4.062007
49798.75    -1.835718     0.415295     3.390465
49799.00    -1.519785     0.288870     2.971500
49799.25    -1.587332     0.198665     2.333613
49799.50    -1.423654     0.340792     2.056220
49799.75    -1.747084     0.123322     1.183836
49800.00    -1.205674     0.043330     1.047617
49800.25    -1.198751    -0.022586     0.420008
49800.50    -0.769687     0.146531     0.396653
49800.75    -0.782708    -0.060976     0.060348
49801.00    -0.133910    -0.072039     0.251088
49801.25    -0.036855    -0.110076    -0.231332
49801.50     0.545130     0.292133     0.287759
49801.75     0.589349     0.258835     0.229261
49802.00     0.947862     0.251457     0.266862
49802.25     0.886921     0.243438    -0.195705
49802.50     1.310355     0.530819    -0.042042
49802.75     0.948731     0.444067    -0.494216
49803.00     1.233075     0.399680    -0.404731
49803.25     1.026437     0.358123    -0.815781
49803.50     1.176787     0.586954    -0.724251
49803.75     0.748478     0.344726    -1.284463
49804.00     0.877894     0.304128    -1.036197
49804.25     0.559421     0.148485    -1.312458
49804.50     0.703884     0.311252    -0.870090
49804.75     0.452776     0.080339    -0.855129
49805.00     0.707654     0.007302    -0.271876
49805.25     0.520740    -0.066653    -0.431954
49805.50     0.767944     0.167022    -0.019089
49805.75     0.213311    -0.053195    -0.328992
49806.00     0.057485    -0.111084    -0.010106
49806.25    -0.385401    -0.177067    -0.170715
49806.50    -0.345513     0.105068     0.438809
49806.75    -0.893417    -0.194379     0.051694
49807.00    -0.592323    -0.229079     0.581155
49807.25    -0.820694    -0.309118     0.367335
49807.50    -0.600327    -0.087406     0.831743
49807.75    -0.879239    -0.286191     0.628385
49808.00    -0.393432    -0.289560     1.051119
49808.25    -0.347134    -0.337084     0.696592
49808.50     0.053696    -0.032140     1.021024
49808.75    -0.062679    -0.116303     0.853832
49809.00     0.453865    -0.054080     1.273368
49809.25     0.550876    -0.048087     0.896670
49809.50     1.018492     0.232136     1.145455
49809.75     0.768798     0.037684     0.565703
49810.00     0.989361    -0.025180     0.816589
49810.25     0.719741    -0.138727     0.318890
49810.50     0.876439     0.045045     0.417247
49810.75     0.411782    -0.109116     0.235429
49811.00     0.503474    -0.074308     1.012350
49811.25     0.081890    -0.070400     1.120291
49811.50    -0.000849     0.267731     2.132887
49811.75    -0.550417     0.079416     2.292648
49812.00    -0.504406    -0.249197     2.003315
49812.25    -0.715502    -0.469206     1.295422
49812.50    -0.613906    -0.326678     1.348306
49812.75    -1.025133    -0.447273     1.194412
49813.00    -0.549315    -0.478244     1.032464
49813.25    -0.388624    -0.462997     0.341544
49813.50    -0.009413    -0.079900     0.521509
49813.75    -0.357754    -0.052776     0.410169
49814.00    -0.014567     0.085242     0.670395
49814.25    -0.162125     0.145451     0.254102
49814.50    -0.055293     0.392561     0.325577
49814.75    -0.197803     0.246735     0.065554
49815.00     0.026559     0.203322     0.298110
49815.25    -0.135817     0.185741     0.246700
49815.50     0.006856     0.443386     0.656334
49815.75    -0.311416     0.296772     0.825063
49816.00    -0.279145     0.278920     1.323672
49816.25    -0.591258     0.250878     1.264083
49816.50    -0.401525     0.446862     1.764120
49816.75    -0.749276     0.135076     1.348345
49817.00    -0.550966    -0.099440     1.161586
49817.25    -0.555896    -0.508231    -0.273098
49817.50    -0.221207    -0.462501    -0.964458
49817.75    -0.388489    -0.735130    -2.004691
49818.00    -0.143293    -0.720471    -1.893549
49818.25    -0.228596    -0.756112    -2.432936
49818.50     0.140775    -0.369286    -2.267475
49818.75    -0.185559    -0.449862    -2.538463
49819.00    -0.044328    -0.314863    -1.925006
49819.25    -0.363628    -0.235816    -1.930501
49819.50    -0.428109     0.138570    -1.236932
49819.75    -1.070584    -0.010249    -1.282427
49820.00    -1.138440     0.151225    -0.358897
49820.25    -1.635340     0.190601    -0.013107
49820.50    -1.662371     0.377979     0.856583
49820.75    -2.057979     0.158987     0.590477
49821.00    -1.845029     0.119764     0.593298
49821.25    -1.942713     0.054183     0.096952
49821.50    -1.661621     0.331886     0.153554
49821.75    -1.943450     0.234572    -0.373256
49822.00    -1.768705     0.133278    -0.594132
49822.25    -2.002851     0.139364    -1.018146
49822.50    -1.731382     0.456959    -0.646258
49822.75    -1.938520     0.386292    -0.766916
49823.00    -1.582590     0.364906    -0.615633
49823.25    -1.588267     0.285291    -0.972726
49823.50    -1.079282     0.566922    -0.688698
49823.75    -1.143190     0.410395    -1.218626
49824.00    -0.854363     0.286774    -1.343836
49824.25    -0.602295     0.264495    -1.608203
49824.50    -0.656562     0.377472    -1.513948
49824.75    -0.864812     0.267457    -1.597069
49825.00    -0.610712     0.201393    -1.263143
49825.25    -0.631053     0.224867    -1.528242
49825.50    -0.330796     0.462332    -1.216048
49825.75    -0.497385     0.331641    -1.261838
49826.00    -0.366655     0.372020    -0.421666
49826.25    -0.579816     0.525448    -0.039390
49826.50    -0.581062     0.917769     0.763011
49826.75    -1.138147     0.767350     0.635842
49827.00    -1.047687     0.643437     0.716873
49827.25    -1.232972     0.452157     0.072540
49827.50    -0.880902     0.585695     0.086243
49827.75    -1.055386     0.391515    -0.531971
49828.00    -0.782365     0.378603    -0.484778
49828.25    -0.952907     0.424968    -0.832158
49828.50    -0.799923     0.715426    -0.493842
49828.75    -1.306178     0.634309    -0.389807
49829.00    -1.335349     0.592377     0.055993
49829.25    -1.791983     0.460645    -0.319067
49829.50    -1.731968     0.597087    -0.096120
49829.75    -2.134806     0.319093    -0.617590
49830.00    -1.921822     0.136330    -0.818752
49830.25    -2.068280    -0.000173    -1.363864
49830.50    -1.676597     0.316886    -0.886070
49830.75    -1.858089     0.204012    -1.034575
49831.00    -1.414476     0.277451    -0.533328
49831.25    -1.426561     0.363673    -0.583483
49831.50    -1.105767     0.750816     0.045609
49831.75    -1.272957     0.687949    -0.091142
49832.00    -0.942988     0.672900     0.063380
49832.25    -0.947487     0.621404    -0.471147
49832.50    -0.587427     0.825516    -0.344760
49832.75    -0.727293     0.604775    -0.731065
49833.00    -0.421361     0.525419    -0.542915
49833.25    -0.455662     0.414577    -1.089759
49833.50    -0.143475     0.617732    -0.999677
49833.75    -0.400106     0.349711    -1.577152
49834.00    -0.222786     0.284823    -1.468621
49834.25    -0.422312     0.157135    -1.929229
49834.50    -0.176900     0.446407    -1.495329
49834.75    -0.517601     0.323012    -1.524559
49835.00    -0.522026     0.343895    -1.092602
49835.25    -0.760927     0.263900    -1.247850
49835.50    -0.652683     0.497030    -0.916362
49835.75    -0.872590     0.270583    -1.234523
49836.00    -0.538802     0.210762    -0.971318
49836.25    -0.673841     0.149899    -1.323254
49836.50    -0.411716     0.321171    -1.146910
49836.75    -0.685911     0.139266    -1.420508
49837.00    -0.317222     0.124855    -1.039090
49837.25    -0.366071     0.135697    -1.121486
49837.50    -0.070477     0.417012    -0.638078
49837.75    -0.421971     0.244038    -0.844507
49838.00    -0.217312     0.212606    -0.459924
49838.25    -0.389358     0.139983    -0.613245
49838.50    -0.163827     0.418755     0.054250
49838.75    -0.427826     0.212268     0.052541
49839.00    -0.261732     0.163542     0.532312
49839.25    -0.347870     0.084317     0.324424
49839.50    -0.168165     0.363598     0.656900
49839.75    -0.674685     0.131286     0.118730
49840.00    -0.461545     0.031732     0.248515
49840.25    -0.718898    -0.020676    -0.299270
49840.50    -0.438715     0.165729    -0.310310
49840.75    -0.646785    -0.016357    -0.683844
49841.00    -0.294781    -0.041122    -0.458189
49841.25    -0.280324    -0.070552    -0.932749
49841.50     0.122455     0.261243    -0.709224
49841.75    -0.044944     0.179660    -0.937866
49842.00     0.140294     0.242783    -0.408258
49842.25     0.029170     0.296310    -0.352736
49842.50     0.154254     0.571607     0.122441
49842.75    -0.066325     0.393923     0.049358
49843.00     0.156036     0.341674     0.604498
49843.25    -0.008673     0.239635     0.447567
49843.50     0.248637     0.358063     0.579386
49843.75     0.105564     0.105109     0.104363
49844.00     0.340650     0.002161    -0.051657
49844.25     0.066404    -0.129783    -0.746615
49844.50     0.291962     0.100946    -0.586097
49844.75     0.027661    -0.002130    -0.853949
49845.00     0.263950    -0.026972    -0.835929
49845.25     0.135174    -0.043000    -1.283092
49845.50     0.604636     0.322576    -1.076074
49845.75     0.341294     0.224177    -1.465694
49846.00     0.723566     0.294098    -1.192752
49846.25     0.612005     0.278919    -1.393791
49846.50     1.007370     0.624002    -1.009799
49846.75     0.829637     0.594958    -0.796050
49847.00     1.110442     0.720655    -0.073400
49847.25     1.078230     0.738311    -0.135974
49847.50     1.260907     1.065232     0.418101
49847.75     0.947158     0.907529     0.415090
49848.00     0.884714     0.893509     0.928881
49848.25     0.692971     0.833079     0.987104
49848.50     0.736103     1.092575     1.640750
49848.75     0.303499     0.835032     1.509404
49849.00     0.210674     0.751430     1.837515
49849.25     0.009323     0.625261     1.707492
49849.50     0.014069     0.783201     1.838903
49849.75    -0.254121     0.561141     1.352250
49850.00    -0.156084     0.492573     1.380778
49850.25    -0.227969     0.454965     0.735337
49850.50     0.052358     0.675739     0.579801
49850.75    -0.007642     0.478211    -0.032776
49851.00     0.268815     0.465313     0.072809
49851.25     0.237602     0.444869    -0.319126
49851.50     0.495371     0.795943     0.268640
49851.75     0.126713     0.695206     0.360914
49852.00     0.200798     0.719144     0.869758
49852.25     0.038747     0.682292     0.723180
49852.50     0.252644     0.934204     1.156222
49852.75     0.021332     0.646065     0.738504
49853.00     0.414422     0.575245     1.054531
49853.25     0.361733     0.426484     0.620660
49853.50     0.622816     0.606352     0.854642
49853.75     0.399175     0.541672     0.817468
49854.00     0.508034     0.558943     1.384034
49854.25     0.307131     0.627640     1.351255
49854.50     0.322856     0.937974     1.879529
49854.75    -0.298332     0.956385     2.005062
49855.00    -0.486430     0.940388     2.484058
49855.25    -0.898986     0.832641     2.046081
49855.50    -0.863286     0.966459     2.188528
49855.75    -1.423274     0.767769     1.628972
49856.00    -1.552552     0.667099     1.650886
49856.25    -1.845599     0.599696     1.293876
49856.50    -1.975588     0.678596     1.231684
49856.75    -2.484043     0.397529     0.685663
49857.00    -2.491466     0.297867     0.679932
49857.25    -2.665234     0.191996     0.304119
49857.50    -2.511182     0.355498     0.339595
49857.75    -2.617970     0.202765    -0.073530
49858.00    -2.217566     0.290451     0.114231
49858.25    -2.202641     0.293905    -0.434132
49858.50    -1.818359     0.542440    -0.314966
49858.75    -1.955764     0.410636    -0.576346
49859.00    -1.713856     0.354862    -0.508546
49859.25    -1.710803     0.225457    -1.051815
49859.50    -1.277110     0.344251    -1.004075
49859.75    -1.469961     0.070281    -1.650931
49860.00    -1.300539    -0.048845    -1.808142
49860.25    -1.296807    -0.153049    -2.206717
49860.50    -0.938178     0.064015    -2.084453
49860.75    -1.312010    -0.075270    -2.283973
49861.00    -1.069459    -0.014028    -1.691444
49861.25    -1.304024    -0.013803    -1.661626
49861.50    -1.211092     0.260714    -1.111947
49861.75    -1.407937     0.073960    -1.371480
49862.00    -0.987534     0.084228    -1.154932
49862.25    -0.926073    -0.054697    -1.741898
49862.50    -0.483531     0.113875    -1.922633
49862.75    -0.789425    -0.125743    -2.575577
49863.00    -0.551003    -0.123762    -2.375077
49863.25    -0.635011    -0.231591    -2.922275
49863.50    -0.298856    -0.034981    -2.624928
49863.75    -0.596500    -0.258405    -3.003653
49864.00    -0.395861    -0.262375    -2.606302
49864.25    -0.490788    -0.334261    -3.094553
49864.50    -0.306034    -0.064904    -2.905670
49864.75    -0.617083    -0.222045    -3.231408
49865.00    -0.485795    -0.200271    -2.867907
49865.25    -0.592069    -0.277729    -3.195226
49865.50    -0.236335     0.055547    -2.659137
49865.75    -0.545272    -0.048896    -2.551950
49866.00    -0.317799     0.085057    -1.640219
49866.25    -0.393861     0.170945    -1.163355
49866.50    -0.210184     0.549514    -0.191774
49866.75    -0.665576     0.388210     0.022846
49867.00    -0.724265     0.347664     0.437275
49867.25    -0.919820     0.208066     0.113751
49867.50    -0.688165     0.443034     0.414455
49867.75    -0.864380     0.215436     0.128568
49868.00    -0.767175     0.162929     0.276233
49868.25    -0.983114     0.096388    -0.168120
49868.50    -0.844700     0.271793    -0.130359
49868.75    -1.185899     0.155686    -0.446234
49869.00    -1.007380     0.173581    -0.227484
49869.25    -0.917413     0.117933    -0.595426
49869.50    -0.606672     0.324178    -0.537198
49869.75    -0.760092     0.162900    -0.889374
49870.00    -0.549059     0.192926    -0.711065
