Storm Name	Storm #	Year	Month	Day	Hour (UTC)	Latitude (deg)	Longitude (deg)	Storm direction (deg)	Storm speed (mph)	Storm speed (kph)	Wind speed (mph)	Wind speed (kph)	Pressure (mb)	Storm category
NOT NAMED 	4	1851	August 	20	12	21.2N	79.0W	300	16	25	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	20	18	21.9N	80.4W	300	16	25	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	21	0	22.6N	81.4W	305	12	20	70	110	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	21	6	23.2N	82.5W	300	12	20	70	110	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	21	12	23.9N	83.6W	305	13	22	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	21	18	24.4N	84.3W	310	9	14	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	22	0	25.0N	84.9W	320	9	14	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	22	6	25.6N	85.5W	320	9	14	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	22	12	26.2N	86.0W	325	8	12	100	170	-9	Hurricane - Category 2    
NOT NAMED 	4	1851	August 	22	18	26.8N	86.3W	335	6	11	100	170	-9	Hurricane - Category 2    
NOT NAMED 	4	1851	August 	23	0	27.4N	86.5W	345	6	11	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	4	1851	August 	23	6	28.0N	86.6W	350	6	11	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	4	1851	August 	23	12	28.5N	86.6W	0	5	9	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	4	1851	August 	23	18	29.6N	86.1W	20	12	20	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	4	1851	August 	24	0	30.7N	85.1W	40	14	24	100	170	-9	Hurricane - Category 2    
NOT NAMED 	4	1851	August 	24	6	31.6N	84.1W	45	13	22	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	24	12	32.5N	83.0W	45	13	22	70	110	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	24	18	33.4N	81.4W	55	18	29	60	90	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	25	0	34.0N	80.0W	65	14	24	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	25	6	34.8N	78.6W	55	16	25	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	25	12	35.8N	77.0W	55	18	29	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	25	18	36.8N	75.1W	55	20	33	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	26	0	37.8N	73.6W	50	17	27	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	26	6	38.9N	71.8W	50	19	31	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	26	12	40.0N	70.0W	50	19	31	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	26	18	41.3N	66.8W	60	31	50	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	27	0	42.8N	63.3W	60	34	55	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	27	6	44.5N	60.2W	55	32	51	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	27	12	46.4N	57.2W	50	32	51	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	27	18	48.5N	54.2W	45	33	53	50	70	-9	Tropical Storm            
NOT NAMED 	5	1851	September	13	0	32.5N	73.5W	-9	-9	-9	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	13	6	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	13	12	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	13	18	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	14	0	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	14	6	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	14	12	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	14	18	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	15	0	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	15	6	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	15	12	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	15	18	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	16	0	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	16	6	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	16	12	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	5	1851	September	16	18	32.5N	73.5W	0	0	0	60	90	-9	Tropical Storm            
NOT NAMED 	6	1851	October	16	0	28.7N	78.0W	-9	-9	-9	50	70	-9	Tropical Storm            
NOT NAMED 	6	1851	October	16	6	29.1N	77.8W	25	4	7	50	70	-9	Tropical Storm            
NOT NAMED 	6	1851	October	16	12	29.5N	77.5W	35	4	7	60	90	-9	Tropical Storm            
NOT NAMED 	6	1851	October	16	18	30.1N	77.1W	30	6	11	60	90	-9	Tropical Storm            
NOT NAMED 	6	1851	October	17	0	30.7N	76.6W	35	8	12	70	110	-9	Tropical Storm            
NOT NAMED 	6	1851	October	17	6	31.2N	76.3W	25	5	9	70	110	-9	Tropical Storm            
NOT NAMED 	6	1851	October	17	12	31.6N	75.9W	40	5	9	70	110	-9	Tropical Storm            
NOT NAMED 	6	1851	October	17	18	32.0N	75.5W	40	5	9	70	110	-9	Tropical Storm            
NOT NAMED 	6	1851	October	18	0	32.7N	74.9W	35	9	14	70	110	-9	Tropical Storm            
NOT NAMED 	6	1851	October	18	6	33.3N	74.3W	40	8	12	70	110	-9	Tropical Storm            
NOT NAMED 	6	1851	October	18	12	34.0N	73.8W	30	9	14	70	110	-9	Tropical Storm            
NOT NAMED 	6	1851	October	18	18	35.3N	73.0W	25	16	25	70	110	-9	Tropical Storm            
NOT NAMED 	6	1851	October	19	0	37.0N	72.6W	10	19	31	60	90	-9	Tropical Storm            
NOT NAMED 	6	1851	October	19	6	38.5N	72.1W	15	17	27	60	90	-9	Tropical Storm            
NOT NAMED 	6	1851	October	19	12	40.2N	71.8W	10	19	31	60	90	-9	Tropical Storm            
NOT NAMED 	6	1851	October	19	18	42.0N	71.6W	5	20	33	50	70	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	19	0	20.5N	67.1W	-9	-9	-9	70	110	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	19	6	20.7N	68.0W	285	9	14	70	110	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	19	12	20.9N	68.8W	285	8	12	70	110	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	19	18	21.1N	69.6W	285	8	12	70	110	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	20	0	21.2N	70.6W	275	10	16	80	130	-9	Hurricane - Category 1    
NOT NAMED 	1	1852	August 	20	6	21.5N	71.9W	285	13	22	80	130	-9	Hurricane - Category 1    
NOT NAMED 	1	1852	August 	20	12	21.7N	73.0W	280	11	18	80	130	-9	Hurricane - Category 1    
NOT NAMED 	1	1852	August 	20	18	21.9N	74.0W	280	10	16	80	130	-9	Hurricane - Category 1    
NOT NAMED 	1	1852	August 	21	0	22.1N	74.9W	285	9	14	90	150	-9	Hurricane - Category 1    
NOT NAMED 	1	1852	August 	21	6	22.2N	76.1W	275	12	20	90	150	-9	Hurricane - Category 1    
NOT NAMED 	1	1852	August 	21	12	22.6N	77.1W	295	11	18	90	150	-9	Hurricane - Category 1    
NOT NAMED 	1	1852	August 	21	18	22.9N	78.1W	290	10	16	90	150	-9	Hurricane - Category 1    
NOT NAMED 	1	1852	August 	22	0	23.2N	79.3W	285	12	20	100	170	-9	Hurricane - Category 2    
NOT NAMED 	1	1852	August 	22	6	23.5N	80.1W	290	8	12	100	170	-9	Hurricane - Category 2    
NOT NAMED 	1	1852	August 	22	12	23.8N	81.1W	290	10	16	100	170	-9	Hurricane - Category 2    
NOT NAMED 	1	1852	August 	22	18	24.2N	82.1W	295	10	16	100	170	-9	Hurricane - Category 2    
NOT NAMED 	1	1852	August 	23	0	24.7N	83.1W	300	11	18	100	170	-9	Hurricane - Category 2    
NOT NAMED 	1	1852	August 	23	6	25.2N	83.9W	305	9	14	100	170	-9	Hurricane - Category 2    
NOT NAMED 	1	1852	August 	23	12	25.7N	84.6W	310	9	14	100	170	-9	Hurricane - Category 2    
NOT NAMED 	1	1852	August 	23	18	26.2N	85.3W	310	9	14	100	170	-9	Hurricane - Category 2    
NOT NAMED 	1	1852	August 	24	0	26.7N	86.0W	310	9	14	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	1	1852	August 	24	6	27.2N	86.6W	315	8	12	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	1	1852	August 	24	12	27.7N	87.1W	320	6	11	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	1	1852	August 	24	18	28.2N	87.5W	325	6	11	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	1	1852	August 	25	0	28.6N	87.8W	325	4	7	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	1	1852	August 	25	6	28.8N	88.0W	320	2	3	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	1	1852	August 	25	12	29.1N	88.2W	330	3	5	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	1	1852	August 	25	18	29.4N	88.4W	330	3	5	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	1	1852	August 	26	0	29.8N	88.6W	335	4	7	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	1	1852	August 	26	6	30.2N	88.6W	0	4	7	120	190	961	Major Hurricane - Category 3
NOT NAMED 	1	1852	August 	26	12	30.6N	88.5W	10	4	7	100	170	-9	Hurricane - Category 2    
NOT NAMED 	1	1852	August 	26	18	31.2N	88.1W	30	6	11	80	130	-9	Hurricane - Category 1    
NOT NAMED 	1	1852	August 	27	0	31.8N	87.4W	45	9	14	60	90	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	27	6	32.3N	86.3W	60	11	18	50	70	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	27	12	32.8N	84.8W	70	14	24	50	70	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	27	18	33.2N	82.8W	75	19	31	50	70	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	28	0	33.5N	80.5W	80	21	35	50	70	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	28	6	33.8N	78.2W	80	21	35	50	70	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	28	12	34.0N	76.0W	85	20	33	50	70	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	28	18	34.4N	74.2W	75	17	27	50	70	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	29	0	35.2N	72.8W	55	16	25	60	90	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	29	6	36.4N	71.8W	35	16	25	60	90	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	29	12	38.0N	70.8W	25	19	31	60	90	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	29	18	39.6N	69.6W	30	20	33	60	90	-9	Tropical Storm            
NOT NAMED 	1	1852	August 	30	0	41.0N	68.0W	40	20	33	60	90	-9	Tropical Storm            
NOT NAMED 	2	1852	September	5	0	17.0N	64.1W	-9	-9	-9	80	130	-9	Hurricane - Category 1    
NOT NAMED 	2	1852	September	5	6	17.4N	65.1W	295	11	18	80	130	-9	Hurricane - Category 1    
NOT NAMED 	2	1852	September	5	12	17.7N	66.1W	285	10	16	80	130	-9	Hurricane - Category 1    
NOT NAMED 	2	1852	September	5	18	18.2N	67.1W	300	11	18	70	110	-9	Tropical Storm            
NOT NAMED 	2	1852	September	6	0	18.6N	68.8W	285	18	29	70	110	-9	Tropical Storm            
NOT NAMED 	2	1852	September	6	6	19.2N	70.1W	295	14	24	60	90	-9	Tropical Storm            
NOT NAMED 	2	1852	September	6	12	19.5N	71.4W	285	13	22	50	70	-9	Tropical Storm            
NOT NAMED 	2	1852	September	6	18	19.7N	72.5W	280	11	18	50	70	-9	Tropical Storm            
NOT NAMED 	3	1852	September	9	0	26.4N	90.4W	-9	-9	-9	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	9	6	26.5N	89.6W	80	8	12	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	9	12	26.6N	88.8W	80	8	12	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	9	18	26.6N	88.1W	90	6	11	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	10	0	26.8N	87.4W	70	6	11	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	10	6	26.9N	86.6W	80	8	12	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	10	12	27.1N	86.1W	65	4	7	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	10	18	27.3N	85.6W	65	4	7	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	11	0	27.5N	85.1W	65	4	7	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	11	6	27.7N	84.6W	65	4	7	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	11	12	27.8N	84.0W	80	5	9	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	11	18	27.9N	83.4W	80	5	9	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	12	0	28.0N	82.8W	80	5	9	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	12	6	28.1N	82.2W	80	5	9	70	110	-9	Tropical Storm            
NOT NAMED 	3	1852	September	12	12	28.2N	81.5W	80	6	11	60	90	-9	Tropical Storm            
NOT NAMED 	3	1852	September	12	18	28.5N	80.5W	70	10	16	60	90	-9	Tropical Storm            
NOT NAMED 	3	1852	September	13	0	29.2N	79.0W	60	16	25	70	110	-9	Tropical Storm            
NOT NAMED 	3	1852	September	13	6	30.4N	77.0W	55	24	38	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	13	12	32.0N	74.5W	55	29	48	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1852	September	13	18	34.0N	71.5W	50	36	59	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	22	0	16.1N	58.5W	-9	-9	-9	60	90	-9	Tropical Storm            
NOT NAMED 	4	1852	September	22	6	16.4N	59.1W	300	6	11	60	90	-9	Tropical Storm            
NOT NAMED 	4	1852	September	22	12	16.7N	59.7W	300	6	11	60	90	-9	Tropical Storm            
NOT NAMED 	4	1852	September	22	18	17.0N	60.3W	300	6	11	60	90	-9	Tropical Storm            
NOT NAMED 	4	1852	September	23	0	17.4N	61.2W	295	10	16	70	110	-9	Tropical Storm            
NOT NAMED 	4	1852	September	23	6	17.7N	62.2W	285	10	16	70	110	-9	Tropical Storm            
NOT NAMED 	4	1852	September	23	12	18.1N	63.1W	295	10	16	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	23	18	18.4N	63.7W	300	6	11	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	24	0	18.7N	64.3W	300	6	11	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	24	6	18.9N	65.0W	285	6	11	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	24	12	19.1N	65.8W	285	8	12	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	24	18	19.2N	66.6W	280	8	12	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	25	0	19.5N	67.4W	290	9	14	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	25	6	19.7N	68.1W	285	6	11	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	25	12	19.9N	68.8W	285	6	11	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	25	18	20.0N	69.6W	280	8	12	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	26	0	20.1N	70.3W	280	6	11	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	26	6	20.4N	70.9W	300	6	11	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	26	12	20.7N	71.6W	295	8	12	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	26	18	21.0N	72.1W	305	5	9	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	27	0	21.4N	73.0W	295	10	16	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	27	6	21.9N	73.6W	310	8	12	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	27	12	22.5N	74.0W	330	8	12	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	27	18	23.2N	74.4W	330	8	12	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	28	0	23.9N	74.6W	345	8	12	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	28	6	24.6N	74.6W	0	8	12	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	28	12	25.4N	74.5W	5	9	14	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	28	18	26.5N	74.0W	20	12	20	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	29	0	27.4N	73.5W	25	11	18	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	29	6	28.2N	72.9W	35	10	16	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	29	12	29.0N	72.3W	35	10	16	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	29	18	30.2N	71.5W	30	14	24	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	30	0	31.6N	70.5W	30	18	29	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	30	6	32.7N	69.6W	35	14	24	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	30	12	33.8N	69.1W	20	12	20	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1852	September	30	18	34.9N	68.6W	20	12	20	80	130	-9	Hurricane - Category 1    
NOT NAMED 	5	1852	October	6	0	17.0N	73.8W	-9	-9	-9	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	6	6	17.1N	75.0W	275	12	20	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	6	12	17.2N	76.3W	275	13	22	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	6	18	17.2N	77.8W	270	16	25	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	7	0	17.7N	79.6W	285	19	31	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	7	6	18.2N	81.5W	285	20	33	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	7	12	18.7N	83.1W	290	17	27	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	7	18	19.5N	84.4W	305	16	25	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	8	0	20.4N	85.5W	310	14	24	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	8	6	21.2N	86.4W	315	12	20	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	8	12	22.4N	86.9W	340	13	22	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	8	18	24.0N	86.8W	5	18	29	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	9	0	25.6N	86.4W	15	18	29	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	9	6	26.9N	85.9W	20	14	24	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	9	12	28.0N	85.5W	20	12	20	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	9	18	29.2N	84.9W	25	14	24	100	170	-9	Hurricane - Category 2    
NOT NAMED 	5	1852	October	10	0	30.5N	83.9W	35	17	27	90	150	-9	Hurricane - Category 1    
NOT NAMED 	5	1852	October	10	6	31.8N	82.8W	35	18	29	70	110	-9	Tropical Storm            
NOT NAMED 	5	1852	October	10	12	33.0N	81.1W	50	20	33	60	90	-9	Tropical Storm            
NOT NAMED 	5	1852	October	10	18	34.0N	79.5W	55	18	29	60	90	-9	Tropical Storm            
NOT NAMED 	5	1852	October	11	0	35.0N	77.0W	65	25	40	60	90	-9	Tropical Storm            
NOT NAMED 	5	1852	October	11	6	36.0N	74.0W	70	29	48	60	90	-9	Tropical Storm            
NOT NAMED 	5	1852	October	11	12	38.0N	70.0W	60	42	68	70	110	-9	Tropical Storm            
NOT NAMED 	5	1852	October	11	18	40.0N	66.0W	55	41	66	70	110	-9	Tropical Storm            
NOT NAMED 	1	1853	August 	5	12	32.5N	69.0W	-9	-9	-9	60	90	-9	Tropical Storm            
NOT NAMED 	2	1853	August 	10	12	12.0N	60.0W	-9	-9	-9	50	70	-9	Tropical Storm            
NOT NAMED 	3	1853	August 	30	0	12.1N	23.2W	-9	-9	-9	50	70	-9	Tropical Storm            
NOT NAMED 	3	1853	August 	30	6	12.3N	25.1W	275	20	33	50	70	-9	Tropical Storm            
NOT NAMED 	3	1853	August 	30	12	12.5N	27.0W	275	20	33	50	70	-9	Tropical Storm            
NOT NAMED 	3	1853	August 	30	18	12.8N	28.9W	280	20	33	50	70	-9	Tropical Storm            
NOT NAMED 	3	1853	August 	31	0	13.0N	30.9W	275	21	35	60	90	-9	Tropical Storm            
NOT NAMED 	3	1853	August 	31	6	13.3N	33.0W	280	23	37	60	90	-9	Tropical Storm            
NOT NAMED 	3	1853	August 	31	12	13.6N	35.0W	280	21	35	70	110	-9	Tropical Storm            
NOT NAMED 	3	1853	August 	31	18	13.9N	36.8W	280	19	31	70	110	-9	Tropical Storm            
NOT NAMED 	3	1853	September	1	0	14.2N	38.5W	280	18	29	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1853	September	1	6	14.6N	40.5W	280	21	35	80	130	-9	Hurricane - Category 1    
NOT NAMED 	3	1853	September	1	12	14.9N	42.3W	280	19	31	90	150	-9	Hurricane - Category 1    
NOT NAMED 	3	1853	September	1	18	15.2N	43.9W	280	17	27	90	150	-9	Hurricane - Category 1    
NOT NAMED 	3	1853	September	2	0	15.7N	45.7W	285	20	33	100	170	-9	Hurricane - Category 2    
NOT NAMED 	3	1853	September	2	6	16.2N	47.3W	290	18	29	100	170	-9	Hurricane - Category 2    
NOT NAMED 	3	1853	September	2	12	16.7N	49.0W	285	19	31	120	190	-9	Major Hurricane - Category 3
NOT NAMED 	3	1853	September	2	18	17.4N	51.0W	290	23	37	130	200	-9	Major Hurricane - Category 3
NOT NAMED 	3	1853	September	3	0	18.2N	52.8W	295	20	33	140	220	-9	Major Hurricane - Category 4
NOT NAMED 	3	1853	September	3	6	19.1N	54.6W	300	21	35	150	240	-9	Major Hurricane - Category 4
NOT NAMED 	3	1853	September	3	12	19.7N	56.2W	290	18	29	150	240	924	Major Hurricane - Category 4
NOT NAMED 	3	1853	September	3	18	20.7N	58.0W	300	21	35	150	240	-9	Major Hurricane - Category 4
NOT NAMED 	3	1853	September	4	0	21.2N	59.9W	285	20	33	140	220	-9	Major Hurricane - Category 4
NOT NAMED 	3	1853	September	4	6	22.0N	61.8W	295	21	35	140	220	-9	Major Hurricane - Category 4
NOT NAMED 	3	1853	September	4	12	22.7N	63.7W	290	20	33	140	220	-9	Major Hurricane - Category 4
