 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"ARIZONA STATE UNIVERSITY","1R01EB004761-01","6852230","Booksh, Karl S","Fiber Optic Surface Plasmon Resonance Sensor","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 291,888","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R01GM071619-01","6811165","Fromme, Petra ","Water splitting in PS II: biophysical studies","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 310,365","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R01HD045816-01A1","6821279","Martin, Carol L","Influence of Peers on School Readiness and Adjustment","MISCELLANEOUS","SCHOOLS OF ARTS AND SCIENCES","$ 472,051","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R01HG003567-01","6887950","Williams, Peter ","Multiplexed Reactive Sequencing of DNA","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 454,370","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R03AG023816-01","6776826","Razatos, Anneta ","Protein-Lipid Bilayer Interactions in Aggregation","ENGINEERING (ALL TYPES)","BIOMED ENGR/COL ENGR/ENGR STA","$ 65,378","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R03CA107959-01A1","6878261","Walmsley, Amanda ","Breaking Tolerance to a Tumor associated Antigen","OTHER BASIC SCIENCES","SCHOOLS OF ARTS AND SCIENCES","$ 74,435","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R03HD044020-01A1","6730930","Agadjanian, Victor ","Ethnicity, Marriage, and Fertility in Kazakhstan","SOCIAL SCIENCES","SCHOOLS OF ARTS AND SCIENCES","$ 74,750","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R03HD045129-01","6696522","Agadjanian, Victor ","WAR, FORCED MIGRATION, AND HIV/AIDS RISKS IN ANGOLA","SOCIAL SCIENCES","SCHOOLS OF ARTS AND SCIENCES","$ 74,750","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R03MH069804-01","6717591","Luecken, Linda J","Caregiving, Cognition, and Physiological Stress Response","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 74,750","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R21AI052761-01A2","6841339","Mor, Tsafrir ","AIDS Prevention: Mucosally-Targeted Plant Based Vaccines","OTHER BASIC SCIENCES","SCHOOLS OF ARTS AND SCIENCES","$ 221,775","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R21EB003464-01","6758357","Towe, Bruce C","A Wireless Neural Microstimulator","BIOMEDICAL ENGINEERING","BIOMED ENGR/COL ENGR/ENGR STA","$ 221,528","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R21HG003061-01","6718290","Lindsay, Stuart M","Molecular Reading Head for Single-Molecule DNA sequencin","PHYSICS","SCHOOLS OF ARTS AND SCIENCES","$ 184,402","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R25GM071798-01","6818666","Hogue, Brenda G","Arizona State University PREP for Biomedical Research","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 218,423","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1S10RR019034-01","6731035","Chang, Yung ","The BD FACSAria, a new flow cytometer cell sorter","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 379,695","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1U19AI062150-01","6838324","Arntzen, Charles J","Plant-Made Microbicides and Mucosal Vaccines for STIs","OTHER BASIC SCIENCES","SCHOOLS OF ARTS AND SCIENCES","$ 1,537,352","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","2R01GM062235-04","6720889","Lyubchenko, Yuri L","LOCAL AND GLOBAL CONFORMATIONS OF SUPERCOILED DNA","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 64,107","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","2R01HG002096-04A1","6723459","Kumar, Sudhir ","Comparative Molecular Sequence Analysis","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 248,701","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","2R01MH060838-05A2","6778671","Eisenberg, Nancy H","Emotion, regulation and quality of social functioning","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 269,100","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","3R01CA073857-06S1","6839363","Chang, Yung ","Effect of VDJ Recombination on Scid B Cell Development","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 52,120","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","3R01CA073857-06S2","6839371","Chang, Yung ","Effect of VDJ Recombination on Scid B Cell Development","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 44,644","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","3R01HL070715-02S1","6950893","Brophy, Colleen M","PREVENTION OF VEIN GRAFT SPASM","BIOMEDICAL ENGINEERING","BIOMED ENGR/COL ENGR/ENGR STA","$ 73,816","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","3R01MH064707-04S1","6948440","Gonzales, Nancy ","Preventive Intervention for Mexican American Adolescents","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 37,299","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","3T34GM008491-12S1","6895625","Fewell, Jennifer H","MARC at Arizona State University","ZOOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 53,983","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5F31MH068117-02","6765166","Petrova, Petia K","Resisting Persuasion via Effective Counterarguments","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 28,325","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5K02HL067837-04","6770121","Massia, Stephen P","Engineered Biomaterials for Cardiovascular Implants","BIOMEDICAL ENGINEERING","BIOMED ENGR/COL ENGR/ENGR STA","$ 101,250","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5K22DE014846-02","6790067","Caplan, Michael R","Systematic Design of Biomimetic Basement Membranes","BIOMEDICAL ENGINEERING","BIOMED ENGR/COL ENGR/ENGR STA","$ 135,000","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01AG014676-06","6795435","Stelmach, George E","Altered Movement Structure in the Elderly","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 261,625","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01AI052347-02","6766775","Jacobs, Bertram L","Role of the E3L gene in poxvirus pathogenesis","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 345,236","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01AI053704-02","6800010","Hogue, Brenda G","Molecular Analysis of Coronavirus Assembly","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 295,724","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01AR041687-09","6799757","Zautra, Alex J","STRESS AND ADAPTATION TO RHEUMATOID ARTHRITIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 396,676","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01AR046034-04","6780977","Zautra, Alex J","Adaptation To Pain And Stress In Fibromyalgia","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 372,560","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01AR047301-03","6729957","Santello, Marco ","Neural Control of Grasping","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 145,015","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01CA073857-06","6698556","Chang, Yung ","Effect of VDJ Recombination on Scid B Cell Development","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 240,841","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01CA085990-04","6721450","Lindsay, Stuart M","New SPM Methods to Study Chromatin Remodeling","PHYSICS","SCHOOLS OF ARTS AND SCIENCES","$ 316,438","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01CA090441-04","6723739","Pettit, George R","Molecular Target Focused Discovery of Anticancer Drugs","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 757,353","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01CA095875-03","6793244","Newfeld, Stuart J","Transgenic analysis of Smad tumor suppressor genes","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 297,171","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01DA009757-06","6791287","Mackinnon, David P","Estimating Mediation Effects in Prevention Studies","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 224,250","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01DA011064-08","6751669","Neisewander, Janet L","NEURAL Mechanisms of Drug Seeking Behavior","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 256,498","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01DA013649-03","6778320","Neisewander, Janet L","Limbic-cortical involvement in drug seeking","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 315,022","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01DC001376-13","6751527","Bacon, Sid P","TEMPORAL PROPERTIES OF AUDITORY MASKING","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 277,550","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01DC004535-05","6765292","Goldinger, Stephen D","Speech Perception and Memory in an Episodic Lexicon","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 238,079","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01ES012577-02","6746909","Marchant, Gary E","Genetic Susceptibility and Environmental Regulation","MISCELLANEOUS","SCHOOLS OF LAW OR CRIMINOLOGY","$ 262,620","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01GM048167-11","6740886","Misra, Rajeev ","Assembly of E.Coli Outer Membrane Proteins","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 224,250","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01GM050202-08","6728206","Frasch, Wayne D","F1 ATPASE Chemical Mechanical Coupling Mechanisms","OTHER BASIC SCIENCES","SCHOOLS OF ARTS AND SCIENCES","$ 262,872","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01GM065917-02","6768673","Vernon, Brent L","Polymers with time-dependent properties for drug deliver","BIOMEDICAL ENGINEERING","BIOMED ENGR/COL ENGR/ENGR STA","$ 231,725","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01GM066988-02","6785828","Misra, Rajeev ","Export & Import of Lethal Agents Mediated by TolC","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 213,034","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01GM067249-03","6786024","Thorpe, Michael Fielding","New Algorithms for Modeling Flexibility in Proteins","PHYSICS","SCHOOLS OF ARTS AND SCIENCES","$ 237,518","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01HD039666-04","6729142","Updegraff, Kimberly A","Gender Socialization in Mexican American Families","MISCELLANEOUS","SCHOOLS OF ARTS AND SCIENCES","$ 378,340","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01HD040335-04","6795381","Jung, Ranu ","A Rodent Model for Locomotor Training with FNS","BIOMEDICAL ENGINEERING","BIOMED ENGR/COL ENGR/ENGR STA","$ 269,100","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01HD045906-13","6760953","Ladd, Gary W","Risk and Protective Factors in School Maladjustment","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 528,574","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01HG002516-02","6773275","Kumar, Sudhir ","Computatonal Analysis of Gene Expression Pattern Images","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 601,896","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01HL058027-09","6725454","Brophy, Colleen M","Heat Shock Proteins and Vasospasm","BIOMEDICAL ENGINEERING","BIOMED ENGR/COL ENGR/ENGR STA","$ 286,625","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01HL070300-04","6794597","Schwenke, Dawn C","Biomarkers of Oxidative Stress in Look AHEAD","MISCELLANEOUS","SCH OF BUSINESS/PUBLIC ADMIN","$ 253,765","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01HL070715-02","6721453","Brophy, Colleen M","PREVENTION OF VEIN GRAFT SPASM","BIOMEDICAL ENGINEERING","BIOMED ENGR/COL ENGR/ENGR STA","$ 373,750","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01MH048564-10","6748131","Moore, Michael C","Behavioral Endocrinology of Male Phenotypes","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 267,331","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01MH049155-09","6774726","Sandler, Irwin N","Follow-up of a Prevention Program for Bereaved Families","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 699,495","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01MH059863-05","6744758","Ayers, Tim S","CHILD AND FAMILY ADAPTATION FOLLOWING PARENTAL JOB LOSS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 452,898","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01MH064707-04","6794584","Gonzales, Nancy ","Preventive Intervention for Mexican American Adolescents","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 797,235","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01MH064727-03","6767594","Conrad, Cheryl D","Significance of Stress-Induced Hippocampal Atrophy","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 195,540","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01MH064734-03","6778339","Kenrick, Douglas T","Fundamental Goals and Social Perception","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 213,643","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01MH064829-03","6750188","Braver, Sanford L","Effects and Meaning of Fathers for Adolescents: ASU Site","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 386,582","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01MH066860-02","6797951","Killeen, Peter R","Dynamic Models of Reconditioning","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 134,550","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01MH068920-02","6747385","Roosa, Mark W","Culture, Context and Mexican American Mental Health","MISCELLANEOUS","SCHOOLS OF ARTS AND SCIENCES","$ 732,047","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01NS039352-04","6647754","Stelmach, George E","MOVEMENT ORGANIZATION DYSFUNCTION IN PARKINSONS","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 305,000","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01NS040266-03","6710588","Stelmach, George E","Bradykinesia in Parkinson's Disease","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 285,000","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R01NS043502-02","6697299","Stelmach, George E","Joint Discoordination in Parkinson's Disease","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 294,050","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R03AI055285-02","6729978","Walmsley, Amanda ","A Plant-Derived, Multi-Component Tuberculosis Vaccine","OTHER BASIC SCIENCES","SCHOOLS OF ARTS AND SCIENCES","$ 74,750","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R03HD043675-02","6719530","Agadjanian, Victor ","Organized Religion and HIV/AIDS in Mozambique","SOCIAL SCIENCES","SCHOOLS OF ARTS AND SCIENCES","$ 74,750","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R03HD044006-02","6765898","Glick, Jennifer E","Early School Transitions of Immigrants' Children","SOCIAL SCIENCES","SCHOOLS OF ARTS AND SCIENCES","$ 73,803","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R03LM008046-02","6805609","Lacroix, Zoe ","User-friendly Querying of Integrated Biological Database","ENGINEERING (ALL TYPES)","BIOMED ENGR/COL ENGR/ENGR STA","$ 111,478","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R03MH067087-02","6706999","Baldwin, Marjorie L","Persons with Mental Disorders in the Labor Market","MISCELLANEOUS","SCH OF BUSINESS/PUBLIC ADMIN","$ 74,750","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R21EB002533-02","6801845","Renaut, Rosemary A","Improvements in MR and Dynamic PET Imaging Algorithms","BIOSTATISTICS & OTHER MATH SCI","SCHOOLS OF ARTS AND SCIENCES","$ 249,250","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R24DA013937-03","6756571","Marsiglia, Flavio Francisco","Southwest Interdisciplinary Research Consortium (SIRC)","SOCIAL SCIENCES","OTHER SPECIALIZED SCHOOLS","$ 373,746","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5R25GM056627-05","6793648","Gonzales, David S","An Integrative Approach  to Biomedical Careers: App Cont","OTHER BASIC SCIENCES","SCHOOLS OF ARTS AND SCIENCES","$ 216,000","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5T32MH018387-18","6744389","Chassin, Laurie A","RESEARCH TRAINING-CHILD MENTAL HEALTH/PRIMARY PREVENTION","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 271,161","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5T34GM008491-12","6747944","Fewell, Jennifer H","MARC at Arizona State University","ZOOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 393,829","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","5U01AI057303-02","6802262","Jacobs, Bertram L","Development of a Safer Smallpox Vaccine","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 932,553","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","7R03DC006573-02","6936192","Pittman, Andrea L","PERCEPTUAL COHERENCE IN LISTENERS WITH HEARING LOSS","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 33,454","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","N01HD275HD33353","","He, Jiping","ROBOTICS FOR REHABILITATION THER","BIOMEDICAL ENGINEERING","BIOMED ENGR/COL ENGR/ENGR STA","$ 1,018,436","TEMPE","ARIZONA","85287-3503","","","","  "
"BANNER GOOD SAMARITAN MEDICAL CENTER","5R01MH057899-07","6805023","Reiman, Eric M","PET, APOE & The Preclinical Course of Alzheimer Disease","","","$ 946,093","PHOENIX","ARIZONA","85006","","","","  "
"BANNER GOOD SAMARITAN MEDICAL CENTER","5U10CA035262-21","6786043","King, David K","Western Regional Community Clinical Oncology Program","","","$ 562,644","PHOENIX","ARIZONA","85006","","","","  "
"BLOOD SYSTEMS, INC.","5K08AI001698-06","6750083","Norris, Philip J","CHARACTERIZATION OF HIV-1-SPECIFIC T HELPER CELL CLONES","","","$ 121,554","SCOTTSDALE","ARIZONA","85257","","","","  "
"CHILD AND FAMILY RESOURCES, INC.","5R25ES011080-04","6769889","Estrada, Ramon M","Community Assist of Southern Arizona","","","$ 189,313","TUCSON","ARIZONA","85711","","","","  "
"CONSULTANTS IN BEHAVIORAL RESEARCH","1R43NS048743-01A1","6880385","Ruehlman, Linda S","Development of the Pain Self-Management Program","","","$ 140,361","TEMPE","ARIZONA","85284","","","","  "
"GILA RIVER HEALTH CARE CORPORATION","5G08LM007944-02","6801825","Schatzki, Andrew ","GRHC Medical Information Systems Implementation","","","$ 200,000","SACATON","ARIZONA","85247","","","","  "
"GW MEDICAL TECHNOLOGIES, LLC","1R43AG024719-01","6832559","Stieler, Jens ","Diagnosis of Alzheimer's Using PBL Mitogenic Stimulation","","","$ 100,000","PHOENIX","ARIZONA","85018-8318","","","","  "
"HIGH THROUGHPUT GENOMICS, INC.","1R43CA106117-01","6743537","Seligmann, Bruce E","ArrayPlate Drug Metabolism and Toxicity Profiling","","","$ 250,000","TUCSON","ARIZONA","85712-5831","","","","  "
"IMARX THERAPEUTICS, INC.","N01CO037118","","Unger, Evan","NOVEL DIAG & TRTMT OF PROST CNCR USING ULTRASOUND & TARGETED DELIV SYS","","","$ 461,979","TUCSON","ARIZONA","85719-6803","","","","  "
"INTRINSIC BIOPROBES, INC.","5R44CA099117-03","6792132","Nedelkov, Dobrin ","Affinity-based Mass Spectrometry Protein Assays","","","$ 592,262","TEMPE","ARIZONA","85281","","","","  "
"INTRINSIC BIOPROBES, INC.","5R44HL072671-03","6771045","Nelson, Randall W","Mass Spectrometric Immunoassay of Apolipoproteins","","","$ 591,033","TEMPE","ARIZONA","85281","","","","  "
"INTRINSIC BIOPROBES, INC.","N44ES035511","","Nelson, Randall","MASS SPECTROMETRY BASED HIGH THROUGH PUT PROTEOMICS APPROACH","","","$ 477,552","TEMPE","ARIZONA","85281","","","","  "
"KINETIC MUSCLES, INC.","1R43HD047067-01","6788326","Koeneman, James B","Air Muscle Device for Ankle Stroke Rehabilitation","","","$ 100,000","TEMPE","ARIZONA","85281","","","","  "
"MAYO CLINIC COLL OF MED, MAYO CLINIC AZ","2R01CA064389-11","6730392","Gendler, Sandra J","Functional Study of a Carcinoma Associated Mucin MUC1","","","$ 365,025","SCOTTSDALE","ARIZONA","85259","","","","  "
"MAYO CLINIC COLL OF MED, MAYO CLINIC AZ","2R01HL065228-05","6827785","Lee, James J","Eosinophil Activities in Murine Models of Lung Disease","","","$ 385,000","SCOTTSDALE","ARIZONA","85259","","","","  "
"MAYO CLINIC COLL OF MED, MAYO CLINIC AZ","3R01CA083724-04S1","6948085","Fonseca, Rafael ","Chromosomal Abnormalities in Myeloma as Detected by FISH","","","$ 71,896","SCOTTSDALE","ARIZONA","85259","","","","  "
"MAYO CLINIC COLL OF MED, MAYO CLINIC AZ","3U10CA060276-11S1","6928950","Fitch, Tom R","Scottsdale Community Clinical Oncology Program","","","$ 560,741","SCOTTSDALE","ARIZONA","85259","","","","  "
"MAYO CLINIC COLL OF MED, MAYO CLINIC AZ","5R01CA089078-04","6691013","Chang, Xiubao ","MECHANISM OF ATP DEPENDENT TRANSPORT BY MRP1 PROTEIN","","","$ 240,975","SCOTTSDALE","ARIZONA","85259","","","","  "
