"TBLID","PROFLN","STUB","est1","cme1","est2","cme2","est3","cme3","est4","cme4","est5","cme5","est6","cme6"
"S0804",21.0,"Native","94.5","+/-1.3","95.4","+/-1.3","93.6","+/-4.7","73.9","+/-38.2",,,,
"S0804",22.0,"Foreign born","5.5","+/-1.3","4.6","+/-1.3","6.4","+/-4.7","26.1","+/-38.2",,,,
"S0804",23.0,"Naturalized U.S. citizen","1.8","+/-0.7","2.0","+/-0.8","1.1","+/-1.4","0.0","+/-15.5",,,,
"S0804",24.0,"Not a U.S. citizen","3.7","+/-1.2","2.6","+/-1.0","5.4","+/-4.5","26.1","+/-38.2",,,,
"S0804",24.3,,,,,,,,,,,,,
"S0804",24.5,"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH",,,,,,,,,,,,
"S0804",25.0,"Speak language other than English","7.4","+/-1.3","6.7","+/-1.4","4.5","+/-3.2","40.1","+/-38.1",,,,
"S0804",26.0,"Speak English ""very well""","3.7","+/-0.8","4.0","+/-1.0","0.5","+/-0.8","14.0","+/-17.9",,,,
"S0804",27.0,"Speak English less than ""very well""","3.7","+/-1.0","2.6","+/-0.9","4.0","+/-3.0","26.1","+/-38.2",,,,
"S0804",27.3,,,,,,,,,,,,,
"S0804",27.5,"EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR WORKERS",,,,,,,,,,,,
"S0804",28.0,"Workers 16 years and over with earnings","93,154","+/-4,393","79,040","+/-3,842","7,426","+/-1,532","979","+/-550",,,,
"S0804",29.0,"$1 to $9,999 or loss","15.4","+/-1.7","13.9","+/-2.0","24.3","+/-8.3","5.4","+/-10.0",,,,
"S0804",30.0,"$10,000 to $14,999","7.5","+/-1.4","6.8","+/-1.3","8.6","+/-4.8","43.1","+/-30.3",,,,
"S0804",31.0,"$15,000 to $24,999","15.7","+/-2.0","14.7","+/-2.0","18.0","+/-8.8","35.6","+/-33.3",,,,
"S0804",32.0,"$25,000 to $34,999","14.2","+/-2.1","15.0","+/-2.3","16.9","+/-7.1","0.0","+/-15.5",,,,
"S0804",33.0,"$35,000 to $49,999","20.6","+/-2.6","21.8","+/-2.9","11.2","+/-6.8","10.4","+/-15.5",,,,
"S0804",34.0,"$50,000 to $64,999","10.8","+/-1.5","11.3","+/-1.6","10.3","+/-4.8","0.0","+/-15.5",,,,
"S0804",35.0,"$65,000 to $74,999","5.2","+/-1.2","5.7","+/-1.4","3.5","+/-3.4","5.4","+/-9.6",,,,
"S0804",36.0,"$75,000 or more","10.5","+/-1.6","10.7","+/-1.7","7.3","+/-3.9","0.0","+/-15.5",,,,
"S0804",36.3,,,,,,,,,,,,,
"S0804",37.0,"Median earnings (dollars)","32,412","+/-1,955","34,542","+/-2,290","24,555","+/-5,209","22,604","+/-22,456",,,,
"S0804",37.3,,,,,,,,,,,,,
"S0804",37.5,"POVERTY STATUS IN THE PAST 12 MONTHS",,,,,,,,,,,,
"S0804",38.0,"Workers 16 years and over for whom poverty status is determined","92,972","+/-4,374","78,922","+/-3,859","7,426","+/-1,532","979","+/-550",,,,
"S0804",39.0,"Below 100 percent of the poverty level","4.0","+/-1.2","3.8","+/-1.3","6.8","+/-4.4","0.0","+/-15.5",,,,
"S0804",40.0,"100 to 149 percent of the poverty level","4.9","+/-1.1","3.7","+/-1.0","10.7","+/-5.6","26.8","+/-27.9",,,,
"S0804",41.0,"At or above 150 percent of the poverty level","91.0","+/-1.3","92.5","+/-1.5","82.5","+/-6.7","73.2","+/-27.9",,,,
"S0804",41.3,,,,,,,,,,,,,
"S0804",42.0,"Workers 16 years and over","93,163","+/-4,392","79,049","+/-3,842","7,426","+/-1,532","979","+/-550",,,,
"S0804",42.5,"OCCUPATION",,,,,,,,,,,,
"S0804",43.0,"Management, professional, and related occupations","N","N","N","N","N","N","N","N",,,,
"S0804",44.0,"Service occupations","N","N","N","N","N","N","N","N",,,,
"S0804",45.0,"Sales and office occupations","N","N","N","N","N","N","N","N",,,,
"S0804",46.0,"Farming, fishing, and forestry occupations","N","N","N","N","N","N","N","N",,,,
"S0804",47.0,"Construction, extraction, and maintenance occupations","N","N","N","N","N","N","N","N",,,,
"S0804",48.0,"Production, transportation, and material moving occupations","N","N","N","N","N","N","N","N",,,,
"S0804",49.0,"Armed forces","N","N","N","N","N","N","N","N",,,,
"S0804",49.3,,,,,,,,,,,,,
"S0804",49.5,"INDUSTRY",,,,,,,,,,,,
"S0804",50.0,"Agriculture, forestry, fishing and hunting, and mining","N","N","N","N","N","N","N","N",,,,
"S0804",51.0,"Construction","N","N","N","N","N","N","N","N",,,,
"S0804",52.0,"Manufacturing","N","N","N","N","N","N","N","N",,,,
"S0804",53.0,"Wholesale trade","N","N","N","N","N","N","N","N",,,,
"S0804",54.0,"Retail trade","N","N","N","N","N","N","N","N",,,,
"S0804",55.0,"Transportation and warehousing, and utilities","N","N","N","N","N","N","N","N",,,,
"S0804",56.0,"Information and finance and insurance, and real estate and rental and leasing","N","N","N","N","N","N","N","N",,,,
"S0804",57.0,"Professional, scientific, and management, and administrative and waste management services","N","N","N","N","N","N","N","N",,,,
"S0804",58.0,"Educational services, and health care and social assistance","N","N","N","N","N","N","N","N",,,,
"S0804",59.0,"Arts, entertainment, and recreation, and accommodation and food services","N","N","N","N","N","N","N","N",,,,
"S0804",60.0,"Other services (except public administration)","N","N","N","N","N","N","N","N",,,,
"S0804",61.0,"Public administration","N","N","N","N","N","N","N","N",,,,
"S0804",62.0,"Armed forces","N","N","N","N","N","N","N","N",,,,
"S0804",62.3,,,,,,,,,,,,,
"S0804",62.5,"CLASS OF WORKER",,,,,,,,,,,,
"S0804",63.0,"Private wage and salary workers","85.1","+/-1.8","85.3","+/-2.1","88.3","+/-5.7","100.0","+/-15.5",,,,
"S0804",64.0,"Government workers","10.2","+/-1.6","11.3","+/-1.9","4.3","+/-2.9","0.0","+/-15.5",,,,
"S0804",65.0,"Self-employed workers in own not incorporated business","4.7","+/-1.2","3.4","+/-1.1","6.8","+/-4.7","0.0","+/-15.5",,,,
"S0804",66.0,"Unpaid family workers","0.1","+/-0.1","0.0","+/-0.1","0.7","+/-1.2","0.0","+/-15.5",,,,
"S0804",66.3,,,,,,,,,,,,,
"S0804",67.0,"Workers 16 years and over who did not work at home","90,176","+/-4,260","79,049","+/-3,842","7,426","+/-1,532","979","+/-550",,,,
"S0804",67.5,"TIME ARRIVING AT WORK FROM HOME",,,,,,,,,,,,
"S0804",68.0,"12:00 a.m. to 4:59 a.m.","1.9","+/-0.7","2.1","+/-0.8","0.0","+/-2.2","0.0","+/-15.5",,,,
"S0804",69.0,"5:00 a.m. to 5:29 a.m.","1.9","+/-0.8","2.1","+/-0.9","0.0","+/-2.2","0.0","+/-15.5",,,,
"S0804",70.0,"5:30 a.m. to 5:59 a.m.","4.8","+/-1.2","4.8","+/-1.3","4.0","+/-3.4","0.0","+/-15.5",,,,
"S0804",71.0,"6:00 a.m. to 6:29 a.m.","5.6","+/-1.2","5.9","+/-1.3","4.0","+/-3.2","0.0","+/-15.5",,,,
"S0804",72.0,"6:30 a.m. to 6:59 a.m.","11.9","+/-1.7","11.8","+/-1.9","11.2","+/-4.6","17.5","+/-27.1",,,,
"S0804",73.0,"7:00 a.m. to 7:29 a.m.","12.0","+/-1.9","12.2","+/-2.0","12.8","+/-7.4","5.4","+/-10.0",,,,
"S0804",74.0,"7:30 a.m. to 7:59 a.m.","14.8","+/-2.0","16.0","+/-2.3","7.5","+/-4.3","0.0","+/-15.5",,,,
"S0804",75.0,"8:00 a.m. to 8:29 a.m.","11.3","+/-1.7","11.0","+/-1.8","10.2","+/-5.4","40.6","+/-37.2",,,,
"S0804",76.0,"8:30 a.m. to 8:59 a.m.","5.1","+/-0.9","4.9","+/-1.0","8.1","+/-5.6","1.8","+/-3.5",,,,
"S0804",77.0,"9:00 a.m. to 11:59 p.m.","30.8","+/-2.0","29.0","+/-2.3","42.1","+/-9.6","34.7","+/-37.9",,,,
"S0804",77.3,,,,,,,,,,,,,
"S0804",77.5,"TRAVEL TIME TO WORK",,,,,,,,,,,,
"S0804",78.0,"Less than 10 minutes","15.8","+/-2.4","15.2","+/-2.2","13.4","+/-6.8","5.4","+/-10.0",,,,
"S0804",79.0,"10 to 14 minutes","14.5","+/-1.8","14.6","+/-1.9","13.9","+/-6.7","0.0","+/-15.5",,,,
"S0804",80.0,"15 to 19 minutes","18.1","+/-2.1","18.0","+/-2.1","19.8","+/-7.2","26.1","+/-38.2",,,,
"S0804",81.0,"20 to 24 minutes","16.0","+/-2.0","16.8","+/-2.1","13.6","+/-5.9","1.8","+/-3.5",,,,
"S0804",82.0,"25 to 29 minutes","8.2","+/-1.7","8.7","+/-1.8","6.6","+/-4.4","0.0","+/-15.5",,,,
"S0804",83.0,"30 to 34 minutes","11.2","+/-1.8","11.5","+/-2.0","11.2","+/-4.9","0.0","+/-15.5",,,,
"S0804",84.0,"35 to 44 minutes","5.0","+/-1.1","5.0","+/-1.1","5.0","+/-4.1","0.0","+/-15.5",,,,
"S0804",85.0,"45 to 59 minutes","6.1","+/-1.2","6.5","+/-1.3","4.8","+/-2.9","5.4","+/-9.6",,,,
"S0804",86.0,"60 or more minutes","5.0","+/-1.1","3.7","+/-0.9","11.6","+/-5.1","61.2","+/-40.0",,,,
"S0804",87.0,"Mean travel time to work (minutes)","22.6","+/-0.9","21.9","+/-0.8","26.8","+/-4.2","48.8","+/-24.1",,,,
"S0804",87.3,,,,,,,,,,,,,
"S0804",88.0,"Workers 16 years and over in households","92,972","+/-4,374","78,922","+/-3,859","7,426","+/-1,532","979","+/-550",,,,
"S0804",88.5,"HOUSING TENURE",,,,,,,,,,,,
"S0804",89.0,"Owner-occupied housing units","77.4","+/-2.7","78.9","+/-2.6","70.4","+/-10.5","33.4","+/-38.3",,,,
"S0804",90.0,"Renter-occupied housing units","22.6","+/-2.7","21.1","+/-2.6","29.6","+/-10.5","66.6","+/-38.3",,,,
"S0804",90.3,,,,,,,,,,,,,
"S0804",90.5,"VEHICLES AVAILABLE",,,,,,,,,,,,
"S0804",91.0,"No vehicle available","2.2","+/-1.0","1.0","+/-0.7","0.8","+/-1.0","41.1","+/-30.1",,,,
"S0804",92.0,"1 vehicle available","18.6","+/-2.2","17.9","+/-2.3","21.6","+/-8.3","30.9","+/-34.3",,,,
"S0804",93.0,"2 vehicles available","46.7","+/-3.2","46.7","+/-3.2","55.8","+/-9.7","26.1","+/-38.2",,,,
"S0804",94.0,"3 or more vehicles available","32.5","+/-3.3","34.4","+/-3.5","21.7","+/-7.3","1.8","+/-3.5",,,,
"S0804",94.3,,,,,,,,,,,,,
"S0804",94.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S0804",95.0,"Means of transportation to work","2.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)",,,,
"S0804",96.0,"Time arriving at work from home","10.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)",,,,
"S0804",97.0,"Travel time to work","4.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)",,,,
"S0804",98.0,"Vehicles available","0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)",,,,

