"                   ","        YTD         "," ","        YTD         "," ","        YTD         "," ","        July        "," ","        June        "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," ","       Total        "," ","      December      "," ","      November      "," ","      October       "," ","     September      "," ","       August       "," ","        July        "," ","        June        "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," ","       Total        "," ","      December      "," ","      November      "," ","      October       "," ","     September      "," ","       August       "," ","        July        "," ","        June        "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," "
"State                   ","        2008        "," ","        2007        "," ","        2006        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," "
"Hawaii                                  ","1053","  ","1073","  ","1077","  ","151","  ","149","  ","142","  ","150","  ","147","  ","155","  ","158","  ","1836","  ","154","  ","162","  ","154","  ","150","  ","143","  ","153","  ","157","  ","145","  ","153","  ","150","  ","151","  ","164","  ","1813","  ","151","  ","147","  ","144","  ","149","  ","145","  ","152","  ","154","  ","154","  ","157","  ","158","  ","149","  ","154","  ",
"Idaho                                   ","10274","  ","8892","  ","8521","  ","469","  ","610","  ","933","  ","1511","  ","1812","  ","2456","  ","2485","  ","14131","  ","2101","  ","1403","  ","756","  ","540","  ","438","  ","460","  ","561","  ","751","  ","1066","  ","1458","  ","2143","  ","2453","  ","13573","  ","2003","  ","1418","  ","722","  ","503","  ","407","  ","402","  ","480","  ","629","  ","1200","  ","1705","  ","1983","  ","2123","  ",
"Illinois                                ","140494","  ","130371","  ","121692","  ","7433","  ","6797","  ","11290","  ","19159","  ","28267","  ","33904","  ","33644","  ","198971","  ","27573","  ","17207","  ","9685","  ","7183","  ","6952","  ","6714","  ","7392","  ","10866","  ","17356","  ","25442","  ","34251","  ","28349","  ","195877","  ","24543","  ","19766","  ","14101","  ","8040","  ","7734","  ","7211","  ","8903","  ","9496","  ","15653","  ","24333","  ","28243","  ","27853","  ",
"Indiana                                 ","0","NA","47736","  ","41998","  ","2230","  ","2114","  ","3121","  ","0","NA","10229","  ","14317","  ","14865","  ","74496","  ","11418","  ","6840","  ","3915","  ","2268","  ","2319","  ","2001","  ","2093","  ","2788","  ","6167","  ","7710","  ","14599","  ","12377","  ","71081","  ","10113","  ","7969","  ","5983","  ","2827","  ","2192","  ","2236","  ","2182","  ","3166","  ","4051","  ","9140","  ","10833","  ","10389","  ",
"Iowa                                    ","35458","  ","30697","  ","27683","  ","1892","  ","1844","  ","2453","  ","4505","  ","7238","  ","8637","  ","8890","  ","47143","  ","6691","  ","4133","  ","2496","  ","1643","  ","1484","  ","1505","  ","1610","  ","2269","  ","3891","  ","6041","  ","8106","  ","7275","  ","44232","  ","5753","  ","4646","  ","3103","  ","1693","  ","1354","  ","1523","  ","1720","  ","2038","  ","3500","  ","5686","  ","6434","  ","6782","  ",
"Kansas                                  ","23107","  ","20646","  ","17857","  ","1041","  ","1022","  ","1544","  ","2733","  ","4632","  ","5750","  ","6385","  ","30655","  ","4774","  ","2111","  ","1136","  ","1000","  ","988","  ","960","  ","908","  ","1420","  ","2145","  ","3686","  ","6090","  ","5436","  ","27540","  ","4125","  ","2424","  ","1268","  ","911","  ","954","  ","1040","  ","973","  ","1096","  ","2025","  ","3647","  ","4225","  ","4852","  ",
"Kentucky                                ","23756","  ","22571","  ","19930","  ","1097","  ","1181","  ","1508","  ","2518","  ","4649","  ","5904","  ","6899","  ","34606","  ","4963","  ","3257","  ","1657","  ","1096","  ","1062","  ","1106","  ","1165","  ","1402","  ","2696","  ","3847","  ","6638","  ","5718","  ","32590","  ","4787","  ","3142","  ","2415","  ","1239","  ","1078","  ","1055","  ","1092","  ","1394","  ","2159","  ","3917","  ","5320","  ","4992","  ",
"Louisiana                               ","14258","  ","15314","  ","13316","  ","1265","  ","1405","  ","1409","  ","1920","  ","2513","  ","2720","  ","3027","  ","23850","  ","2382","  ","1758","  ","1543","  ","1403","  ","1450","  ","1430","  ","1567","  ","1711","  ","1969","  ","2506","  ","2759","  ","3372","  ","22236","  ","2364","  ","2105","  ","1557","  ","1440","  ","1455","  ","1508","  ","1442","  ","1473","  ","1462","  ","1983","  ","2772","  ","2677","  ",
"Maine                                   ","3615","  ","3565","  ","2806","  ","223","  ","187","  ","277","  ","502","  ","769","  ","817","  ","839","  ","0","NA","0","NA","556","  ","316","  ","232","  ","215","  ","230","  ","220","  ","302","  ","499","  ","726","  ","826","  ","763","  ","4701","  ","627","  ","444","  ","344","  ","278","  ","201","  ","194","  ","164","  ","231","  ","355","  ","620","  ","636","  ","605","  ",
"Maryland                                ","0","NA","44993","  ","38227","  ","2562","  ","0","NA","4322","  ","5345","  ","7931","  ","9763","  ","10056","  ","0","NA","9193","  ","0","NA","0","NA","3354","  ","2897","  ","2913","  ","3273","  ","3740","  ","6573","  ","8143","  ","11275","  ","9075","  ","62868","  ","7932","  ","5868","  ","4622","  ","3434","  ","2784","  ","2479","  ","3084","  ","3440","  ","4621","  ","7460","  ","8780","  ","8362","  ",
"Massachusetts                           ","39197","  ","40005","  ","36306","  ","2046","  ","2432","  ","3461","  ","5479","  ","7490","  ","9286","  ","9003","  ","58917","  ","7883","  ","4397","  ","2393","  ","2103","  ","2136","  ","1740","  ","2751","  ","3126","  ","5873","  ","8859","  ","10222","  ","7433","  ","52283","  ","5462","  ","3911","  ","2792","  ","1904","  ","1908","  ","2104","  ","2514","  ","3099","  ","4634","  ","8342","  ","7452","  ","8162","  ",
"Michigan                                ","0","NA","110403","  ","100287","  ","5130","  ","0","NA","9030","  ","15787","  ","24833","  ","28191","  ","26622","  ","0","NA","22766","  ","0","NA","6782","  ","4889","  ","4862","  ","4716","  ","5342","  ","8615","  ","15806","  ","23460","  ","29227","  ","23237","  ","153896","  ","19788","  ","14540","  ","9055","  ","5682","  ","4544","  ","4888","  ","5495","  ","7833","  ","12729","  ","21863","  ","23321","  ","24158","  ",
"Minnesota                               ","64633","  ","58621","  ","54108","  ","2650","  ","3057","  ","4540","  ","8409","  ","13211","  ","15655","  ","17111","  ","91636","  ","14227","  ","9111","  ","4587","  ","2480","  ","2609","  ","2518","  ","2822","  ","3786","  ","7923","  ","11115","  ","15344","  ","15113","  ","87170","  ","11435","  ","8732","  ","6584","  ","2801","  ","3510","  ","3018","  ","3637","  ","3889","  ","6329","  ","11409","  ","13221","  ","12605","  ",
"Mississippi                             ","12297","  ","13218","  ","11737","  ","954","  ","995","  ","1077","  ","1533","  ","2085","  ","2714","  ","2939","  ","20867","  ","2427","  ","1737","  ","1369","  ","1038","  ","1078","  ","1071","  ","1211","  ","1388","  ","1407","  ","2080","  ","2650","  ","3411","  ","19411","  ","2433","  ","1894","  ","1300","  ","1026","  ","1023","  ","946","  ","946","  ","871","  ","1044","  ","2462","  ","2707","  ","2760","  ",
"Missouri                                ","44391","  ","40064","  ","36413","  ","2024","  ","2158","  ","3172","  ","5524","  ","9165","  ","11291","  ","11057","  ","59143","  ","8419","  ","4438","  ","2228","  ","2105","  ","1890","  ","2092","  ","2084","  ","3013","  ","4834","  ","7600","  ","10241","  ","10201","  ","56722","  ","8076","  ","5217","  ","3070","  ","2073","  ","1873","  ","1888","  ","2213","  ","2631","  ","4323","  ","7353","  ","8543","  ","9461","  ",
"Montana                                 ","9605","  ","8478","  ","8053","  ","455","  ","594","  ","946","  ","1368","  ","1786","  ","2201","  ","2255","  ","13155","  ","1913","  ","1164","  ","700","  ","444","  ","457","  ","424","  ","416","  ","687","  ","1141","  ","1534","  ","2047","  ","2229","  ","13181","  ","1904","  ","1395","  ","844","  ","494","  ","491","  ","469","  ","581","  ","695","  ","1105","  ","1743","  ","1718","  ","1742","  ",
"Nebraska                                ","20325","  ","20507","  ","18397","  ","911","  ","1085","  ","1877","  ","3039","  ","3708","  ","4846","  ","4860","  ","29656","  ","3460","  ","1992","  ","1416","  ","1181","  ","1100","  ","1114","  ","1186","  ","1611","  ","2620","  ","4294","  ","5232","  ","4451","  ","28027","  ","3659","  ","2153","  ","1626","  ","1100","  ","1093","  ","1080","  ","1177","  ","1512","  ","2574","  ","3925","  ","3818","  ","4311","  ",
"Nevada                                  ","18600","  ","17286","  ","17309","  ","1566","  ","1775","  ","2031","  ","2337","  ","2942","  ","3721","  ","4227","  ","27926","  ","3316","  ","2252","  ","1993","  ","1593","  ","1487","  ","1517","  ","1667","  ","1945","  ","2123","  ","2735","  ","3286","  ","4013","  ","28046","  ","3351","  ","2234","  ","1983","  ","1660","  ","1509","  ","1604","  ","1683","  ","1867","  ","2565","  ","3168","  ","2966","  ","3455","  ",
"New Hampshire                           ","6380","  ","0","NA","5889","  ","321","  ","375","  ","539","  ","919","  ","1341","  ","1431","  ","1454","  ","0","NA","974","  ","683","  ","374","  ","320","  ","300","  ","310","  ","357","  ","580","  ","1050","  ","0","NA","1653","  ","1399","  ","8494","  ","954","  ","580","  ","448","  ","332","  ","290","  ","276","  ","361","  ","491","  ","981","  ","1227","  ","1173","  ","1381","  ",
"New Jersey                              ","100323","  ","103421","  ","98207","  ","8376","  ","6220","  ","9253","  ","10714","  ","18549","  ","22826","  ","24386","  ","0","NA","22062","  ","15100","  ","9707","  ","8809","  ","0","NA","7833","  ","7132","  ","8325","  ","14749","  ","18103","  ","26368","  ","20909","  ","152501","  ","15941","  ","11578","  ","10006","  ","8997","  ","7771","  ","7610","  ","7558","  ","9603","  ","11603","  ","19026","  ","20066","  ","22741","  ",
"New Mexico                              ","17639","  ","17625","  ","15728","  ","848","  ","1141","  ","1605","  ","2337","  ","3141","  ","4344","  ","4223","  ","24616","  ","2691","  ","1585","  ","1050","  ","855","  ","810","  ","882","  ","1163","  ","1626","  ","2135","  ","3241","  ","4232","  ","4345","  ","23413","  ","2981","  ","1820","  ","1127","  ","898","  ","860","  ","864","  ","1003","  ","1349","  ","2369","  ","3157","  ","3596","  ","3390","  ",
"New York                                ","186516","  ","183631","  ","167940","  ","14092","  ","15773","  ","17743","  ","25166","  ","35093","  ","39387","  ","39261","  ","284243","  ","35453","  ","23658","  ","14361","  ","12884","  ","14255","  ","13417","  ","14966","  ","17604","  ","27202","  ","36621","  ","40058","  ","33763","  ","259972","  ","27122","  ","21187","  ","15998","  ","13414","  ","14311","  ","13473","  ","13993","  ","15611","  ","22952","  ","33172","  ","34766","  ","33973","  ",
"North Carolina                          ","27412","  ","29746","  ","29976","  ","1864","  ","1956","  ","2232","  ","3059","  ","4644","  ","6128","  ","7530","  ","45162","  ","5335","  ","3795","  ","2311","  ","2041","  ","1934","  ","1955","  ","2098","  ","2579","  ","3579","  ","5282","  ","7476","  ","6778","  ","46939","  ","5510","  ","3943","  ","3141","  ","2324","  ","2046","  ","2174","  ","2269","  ","2601","  ","3587","  ","5634","  ","6535","  ","7176","  ",
"North Dakota                            ","6725","  ","6192","  ","5492","  ","286","  ","320","  ","466","  ","799","  ","1275","  ","1729","  ","1850","  ","10252","  ","1696","  ","1123","  ","593","  ","381","  ","267","  ","267","  ","272","  ","384","  ","800","  ","1100","  ","1705","  ","1663","  ","9355","  ","1379","  ","1124","  ","779","  ","340","  ","241","  ","264","  ","279","  ","416","  ","545","  ","1204","  ","1480","  ","1303","  ",
"Ohio                                    ","107970","  ","106904","  ","94413","  ","4397","  ","4302","  ","7666","  ","12392","  ","23349","  ","28189","  ","27674","  ","159234","  ","23265","  ","14362","  ","6062","  ","4364","  ","4276","  ","4328","  ","4803","  ","6454","  ","15656","  ","19861","  ","31210","  ","24592","  ","146930","  ","20000","  ","13864","  ","9517","  ","4820","  ","4316","  ","4223","  ","4677","  ","7527","  ","10958","  ","19878","  ","24722","  ","22428","  ",
"Oklahoma                                ","29151","  ","26771","  ","22601","  ","1353","  ","1489","  ","2009","  ","3259","  ","5673","  ","7338","  ","8032","  ","40188","  ","5882","  ","2906","  ","1733","  ","1443","  ","1452","  ","1467","  ","1582","  ","1858","  ","3081","  ","4250","  ","7425","  ","7109","  ","35635","  ","5292","  ","3075","  ","1802","  ","1513","  ","1351","  ","1433","  ","1428","  ","1686","  ","2664","  ","4401","  ","5164","  ","5826","  ",
"Oregon                                  ","20113","  ","18719","  ","18057","  ","1160","  ","1498","  ","2155","  ","3195","  ","3484","  ","4478","  ","4143","  ","29002","  ","3871","  ","2691","  ","1655","  ","1064","  ","1002","  ","1083","  ","1306","  ","1786","  ","2374","  ","3139","  ","4240","  ","4792","  ","27844","  ","3870","  ","2488","  ","1454","  ","1071","  ","906","  ","1018","  ","1243","  ","1645","  ","2516","  ","3884","  ","3764","  ","3987","  ",
"Pennsylvania                            ","92268","  ","97208","  ","85435","  ","3992","  ","4674","  ","6972","  ","11299","  ","19547","  ","22667","  ","23117","  ","144947","  ","19631","  ","13016","  ","5994","  ","4669","  ","4430","  ","4262","  ","4542","  ","7072","  ","14097","  ","20617","  ","25869","  ","20749","  ","130328","  ","16047","  ","11646","  ","8145","  ","4767","  ","4289","  ","4262","  ","4950","  ","6628","  ","10644","  ","18192","  ","19736","  ","21022","  ",
"Rhode Island                            ","0","NA","7845","  ","7177","  ","461","  ","458","  ","572","  ","0","NA","1862","  ","1872","  ","1776","  ","10735","  ","1328","  ","737","  ","310","  ","269","  ","246","  ","257","  ","466","  ","594","  ","1238","  ","1871","  ","2006","  ","1413","  ","9950","  ","1126","  ","734","  ","381","  ","298","  ","234","  ","269","  ","392","  ","649","  ","1085","  ","1657","  ","1458","  ","1668","  ",
"South Carolina                          ","12703","  ","13319","  ","12760","  ","1187","  ","1185","  ","1351","  ","1636","  ","2153","  ","2446","  ","2745","  ","20982","  ","2174","  ","1882","  ","1328","  ","1158","  ","1121","  ","1189","  ","1212","  ","1403","  ","1682","  ","2075","  ","2866","  ","2894","  ","20691","  ","2332","  ","1785","  ","1518","  ","1234","  ","1063","  ","1106","  ","1174","  ","1342","  ","1532","  ","2266","  ","2683","  ","2657","  ",
"South Dakota                            ","7141","  ","6505","  ","5718","  ","307","  ","358","  ","583","  ","912","  ","1384","  ","1734","  ","1862","  ","10339","  ","1691","  ","1011","  ","504","  ","324","  ","305","  ","293","  ","331","  ","400","  ","839","  ","1121","  ","1831","  ","1690","  ","9525","  ","1438","  ","995","  ","730","  ","371","  ","273","  ","301","  ","284","  ","396","  ","758","  ","1244","  ","1443","  ","1292","  ",
"Tennessee                               ","34837","  ","34691","  ","33210","  ","2091","  ","2251","  ","2755","  ","4233","  ","7072","  ","8223","  ","8213","  ","50529","  ","5814","  ","3530","  ","2384","  ","2080","  ","2030","  ","2103","  ","2487","  ","2784","  ","3817","  ","6422","  ","9088","  ","7990","  ","51542","  ","6500","  ","4522","  ","2815","  ","2311","  ","2184","  ","2162","  ","2448","  ","2569","  ","3904","  ","6670","  ","7539","  ","7919","  ",
"Texas                                   ","106495","  ","106133","  ","92670","  ","10620","  ","10786","  ","11486","  ","13439","  ","16727","  ","19967","  ","23471","  ","163300","  ","17431","  ","11083","  ","10087","  ","8983","  ","9584","  ","8755","  ","10187","  ","11195","  ","12335","  ","16104","  ","23659","  ","23898","  ","149221","  ","17396","  ","11942","  ","9585","  ","8634","  ","8994","  ","8434","  ","9640","  ","9886","  ","11531","  ","16700","  ","17257","  ","19223","  ",
"Utah                                    ","27286","  ","23774","  ","23092","  ","1114","  ","1648","  ","2671","  ","3714","  ","4875","  ","6547","  ","6719","  ","34447","  ","4377","  ","2791","  ","1546","  ","1023","  ","937","  ","1029","  ","1368","  ","1976","  ","2780","  ","4248","  ","6100","  ","6273","  ","34051","  ","4643","  ","2787","  ","1570","  ","1049","  ","911","  ","944","  ","1316","  ","1943","  ","3585","  ","4625","  ","5045","  ","5634","  ",
"Vermont                                 ","1696","  ","1822","  ","1637","  ","74","  ","98","  ","134","  ","272","  ","361","  ","391","  ","367","  ","2631","  ","365","  ","186","  ","105","  ","77","  ","77","  ","77","  ","91","  ","139","  ","294","  ","405","  ","468","  ","348","  ","2374","  ","268","  ","190","  ","124","  ","83","  ","71","  ","66","  ","109","  ","132","  ","226","  ","379","  ","350","  ","375","  ",
"Virginia                                ","39550","  ","42498","  ","37550","  ","2617","  ","2764","  ","3541","  ","4729","  ","6792","  ","8843","  ","10265","  ","66849","  ","8740","  ","6606","  ","3627","  ","2744","  ","2634","  ","2777","  ","3269","  ","3327","  ","5463","  ","7256","  ","10877","  ","9528","  ","62228","  ","7714","  ","6057","  ","4756","  ","3261","  ","2889","  ","2757","  ","2775","  ","3727","  ","4016","  ","7463","  ","8561","  ","8251","  ",
"Washington                              ","36915","  ","33669","  ","31952","  ","2372","  ","3008","  ","4083","  ","5639","  ","6091","  ","7692","  ","8031","  ","53688","  ","7009","  ","5328","  ","3361","  ","2273","  ","2048","  ","2151","  ","2647","  ","3498","  ","4530","  ","5690","  ","7071","  ","8083","  ","51292","  ","7048","  ","4926","  ","3197","  ","2209","  ","1960","  ","2006","  ","2493","  ","3275","  ","4595","  ","6270","  ","6728","  ","6585","  ",
"West Virginia                           ","15451","  ","15890","  ","14961","  ","1048","  ","1021","  ","1430","  ","1780","  ","3034","  ","3673","  ","3465","  ","24337","  ","3066","  ","2156","  ","1333","  ","937","  ","954","  ","942","  ","929","  ","1164","  ","2011","  ","3609","  ","3978","  ","3257","  ","23477","  ","2646","  ","2120","  ","1633","  ","1083","  ","1035","  ","927","  ","1171","  ","1420","  ","1829","  ","3007","  ","3335","  ","3272","  ",
"Wisconsin                               ","62896","  ","56175","  ","52397","  ","2770","  ","2862","  ","4258","  ","7344","  ","12856","  ","15816","  ","16990","  ","88681","  ","13669","  ","9061","  ","4280","  ","2779","  ","2718","  ","2538","  ","2657","  ","3526","  ","7354","  ","10323","  ","15783","  ","13994","  ","86342","  ","11735","  ","9122","  ","6897","  ","3244","  ","2945","  ","2856","  ","2968","  ","3938","  ","5541","  ","10896","  ","13936","  ","12262","  ",
"Wyoming                                 ","0","NA","6491","  ","6210","  ","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","281","  ","258","  ","386","  ","611","  ","881","  ","1207","  ","1534","  ","1614","  ","9500","  ","1251","  ","910","  ","584","  ","304","  ","241","  ","294","  ","369","  ","616","  ","910","  ","1307","  ","1313","  ","1402","  ",
"Total                                  ","2000632","  ","1944279","  ","1783758","  ","127503","  ","134479","  ","179205","R","256125","  ","377299","  ","454095","  ","471925","R","3004692","  ","392499","  ","255334","  ","157981","  ","127541","  ","127058","  ","122417","  ","134819","  ","167624","  ","259444","  ","353381","  ","475758","  ","430837","  ","2834790","  ","346930","  ","256463","  ","187828","  ","133218","  ","126593","  ","122106","  ","134462","  ","160513","  ","225914","  ","353136","  ","390333","  ","397294","  ",
