-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
GALB        49718.000    1995     1     1     0
GALB        52274.750    2001    12    31    18
GALB       475545.708 -4925638.937  4010732.975
49746.00     0.711686    -0.180745     1.567357
49746.25     0.540772    -0.306967     0.418719
49746.50     0.358168    -0.317915     0.013652
49746.75     0.086180    -0.381123    -1.111713
49747.00    -0.138075    -0.303790    -0.576805
49747.25    -0.333507    -0.336799     0.124840
49747.50    -0.454718    -0.360555     1.059087
49747.75    -0.664598    -0.412661     1.099456
49748.00    -0.852011    -0.264604     2.054069
49748.25    -1.104524    -0.191323     2.720823
49748.50    -1.255966    -0.093861     3.728169
49748.75    -1.318219    -0.120861     4.051738
49749.00    -1.226518    -0.021187     5.044972
49749.25    -1.151116    -0.057042     5.557423
49749.50    -1.008239    -0.025555     6.504210
49749.75    -0.788855    -0.163104     5.892013
49750.00    -0.539278    -0.106797     5.314808
49750.25    -0.389110    -0.116073     4.652027
49750.50    -0.184774    -0.090151     4.420696
49750.75     0.002682    -0.235735     2.944750
49751.00     0.089979    -0.190519     1.760238
49751.25     0.128441    -0.193392     0.997492
49751.50     0.174673    -0.095949     1.254155
49751.75     0.241951    -0.250851     2.293812
49752.00     0.210295    -0.554104     3.427925
49752.25     0.028420    -0.959172     3.600353
49752.50    -0.049963    -1.099346     3.856142
49752.75    -0.044510    -1.216803     2.924130
49753.00     0.002826    -1.042112     2.568302
49753.25    -0.039875    -1.053851     2.454069
49753.50    -0.034586    -1.104533     1.873799
49753.75    -0.146208    -1.222947     0.533848
49754.00    -0.212887    -1.009283     0.097238
49754.25    -0.423052    -0.945187    -0.065275
49754.50    -0.517030    -0.858930     0.451258
49754.75    -0.453877    -0.842484     0.116948
49755.00    -0.294108    -0.582645     0.821698
49755.25    -0.268492    -0.539413     0.866413
49755.50    -0.239405    -0.521374     1.581037
49755.75    -0.218872    -0.698424     1.590598
49756.00    -0.163181    -0.765466     1.583978
49756.25    -0.300709    -0.955136     0.536450
49756.50    -0.458276    -0.960203    -0.351013
49756.75    -0.570166    -0.914113    -2.451429
49757.00    -0.695670    -0.603730    -2.307933
49757.25    -0.887079    -0.397910    -1.943734
49757.50    -1.095261    -0.180616    -0.260546
49757.75    -1.054593    -0.140738     0.849442
49758.00    -0.841054     0.076526     2.507828
49758.25    -0.709751     0.184392     3.414814
49758.50    -0.668352     0.287999     5.305045
49758.75    -0.644974     0.074379     5.761872
49759.00    -0.410887    -0.043595     5.966945
49759.25    -0.277972    -0.226448     4.537928
49759.50    -0.207676    -0.320434     4.046168
49759.75    -0.245923    -0.534121     2.426842
49760.00    -0.114383    -0.552565     2.247013
49760.25    -0.216165    -0.669744     0.447485
49760.50    -0.327377    -0.592188    -0.592429
49760.75    -0.394363    -0.563250    -2.147450
49761.00    -0.380817    -0.351690    -1.662600
49761.25    -0.476411    -0.329840    -2.122654
49761.50    -0.568362    -0.232886    -2.054560
49761.75    -0.647766    -0.235506    -2.336477
49762.00    -0.556809    -0.074798    -1.216143
49762.25    -0.544951    -0.038765    -1.347636
49762.50    -0.511678     0.175669    -1.459994
49762.75    -0.480217     0.387887    -1.737015
49763.00    -0.439434     0.774848     0.258886
49763.25    -0.465574     0.901450     1.771688
49763.50    -0.637115     0.951530     3.719636
49763.75    -0.778000     0.547691     4.180944
49764.00    -0.620876     0.102094     3.794566
49764.25    -0.443710    -0.119926     1.872725
49764.50    -0.230205    -0.196214     0.828792
49764.75    -0.134450    -0.289079    -0.947994
49765.00    -0.182799    -0.250695    -1.504902
49765.25    -0.302633    -0.279262    -2.976289
49765.50    -0.381434    -0.184444    -3.716567
49765.75    -0.370520    -0.154269    -5.016246
49766.00    -0.346923     0.037453    -3.915676
49766.25    -0.279234     0.080007    -3.466568
49766.50    -0.180568     0.110411    -3.072474
49766.75    -0.148959     0.069812    -3.405668
49767.00    -0.153069     0.102393    -2.206560
49767.25    -0.271974    -0.110928    -2.127622
49767.50    -0.337835    -0.187962    -1.545257
49767.75    -0.324607    -0.340291    -1.890267
49768.00    -0.225750    -0.260378    -0.668459
49768.25    -0.253685    -0.319890     0.405327
49768.50    -0.293362    -0.292756     2.086284
49768.75    -0.300624    -0.478034     2.888405
49769.00    -0.136911    -0.507333     3.889735
49769.25    -0.081059    -0.766974     3.642992
49769.50    -0.036884    -0.832326     2.374778
49769.75    -0.117721    -0.680236    -0.186833
49770.00    -0.177107    -0.301552    -0.397563
49770.25    -0.284869    -0.141973    -0.468239
49770.50    -0.355137     0.087325     0.138097
49770.75    -0.377476     0.102464     0.669041
49771.00    -0.239249     0.174208     2.073179
49771.25    -0.224777     0.041700     2.046272
49771.50    -0.198655    -0.078758     2.290935
49771.75    -0.128842    -0.356183     1.451181
49772.00     0.036804    -0.497229     1.384171
49772.25     0.045115    -0.821520    -0.342969
49772.50     0.010083    -0.845605    -1.726359
49772.75     0.022122    -0.819119    -3.780837
49773.00    -0.000168    -0.440342    -3.402104
49773.25    -0.092049    -0.282656    -3.186259
49773.50    -0.163834    -0.045323    -2.605329
49773.75    -0.056852     0.059525    -2.140018
49774.00     0.175728     0.246372    -0.442517
49774.25     0.244942     0.199622    -0.750469
49774.50     0.341060     0.196243    -1.265747
49774.75     0.503487     0.144863    -2.919226
49775.00     0.621870     0.310382    -2.233016
49775.25     0.571885     0.267944    -2.250052
49775.50     0.518965     0.204750    -1.693452
49775.75     0.566631     0.027772    -1.947613
49776.00     0.737227    -0.061236    -1.051630
49776.25     0.814051    -0.373945    -1.088978
49776.50     0.887898    -0.519155    -1.534439
49776.75     0.945278    -0.652320    -3.303205
49777.00     0.978955    -0.566260    -3.173789
49777.25     0.894235    -0.625409    -3.451452
49777.50     0.819602    -0.653736    -3.553395
49777.75     0.715423    -0.739588    -4.603985
49778.00     0.640805    -0.552076    -4.310694
49778.25     0.544219    -0.514091    -4.946626
49778.50     0.484863    -0.396531    -5.063020
49778.75     0.411700    -0.386998    -5.790687
49779.00     0.397130    -0.201272    -4.655222
49779.25     0.331297    -0.224993    -4.767536
49779.50     0.317122    -0.155639    -4.696884
49779.75     0.313760    -0.203238    -5.062313
49780.00     0.362215    -0.071134    -4.117695
49780.25     0.454681    -0.116274    -4.514691
49780.50     0.578471    -0.036278    -4.655403
49780.75     0.676971     0.064665    -5.458303
49781.00     0.746196     0.333290    -3.953048
49781.25     0.739805     0.447634    -3.306849
49781.50     0.684292     0.604730    -1.870311
49781.75     0.554132     0.561816    -1.152274
49782.00     0.536368     0.515186     0.076974
49782.25     0.547168     0.328050    -0.494982
49782.50     0.685609     0.303596    -0.531088
49782.75     0.780041     0.320129    -1.594550
49783.00     0.804753     0.499776    -0.291513
49783.25     0.713968     0.488124     0.479890
49783.50     0.607676     0.450086     1.771599
49783.75     0.544706     0.096891     1.426554
49784.00     0.560438    -0.331606     1.806356
49784.25     0.528061    -0.658056     0.316116
49784.50     0.511061    -0.777142    -0.658869
49784.75     0.500124    -0.905605    -3.109113
49785.00     0.404282    -0.704409    -3.504340
49785.25     0.228253    -0.584318    -4.616744
49785.50     0.159671    -0.453194    -5.132199
49785.75     0.051129    -0.283400    -6.464814
49786.00    -0.030696     0.123873    -5.500574
49786.25    -0.173681     0.177562    -5.189304
49786.50    -0.340066     0.356194    -4.984867
49786.75    -0.458661     0.421075    -5.070791
49787.00    -0.515525     0.555947    -3.315770
49787.25    -0.610724     0.525133    -2.899585
49787.50    -0.695622     0.577365    -2.839588
49787.75    -0.729613     0.590886    -3.152100
49788.00    -0.646067     0.733498    -1.732284
49788.25    -0.623975     0.681377    -2.204877
49788.50    -0.607108     0.713903    -2.765454
49788.75    -0.557390     0.636994    -3.442235
49789.00    -0.368297     0.616962    -2.511394
49789.25    -0.200713     0.470773    -3.220342
49789.50    -0.064022     0.376952    -3.828096
49789.75     0.076863     0.239524    -4.571037
49790.00     0.303684     0.292091    -3.635772
49790.25     0.421074     0.112808    -4.135440
49790.50     0.538028     0.078730    -4.415627
49790.75     0.640350    -0.005607    -5.216000
49791.00     0.685294     0.041253    -3.987503
49791.25     0.646398    -0.036601    -3.641144
49791.50     0.594633    -0.038557    -3.110682
49791.75     0.552630    -0.113976    -3.141492
49792.00     0.558054    -0.037344    -1.682837
49792.25     0.517274    -0.108433    -1.711895
49792.50     0.534740    -0.123680    -1.407152
49792.75     0.503315    -0.170681    -2.014478
49793.00     0.537762    -0.107760    -1.193301
49793.25     0.507872    -0.203754    -1.998965
49793.50     0.511036    -0.230242    -2.054023
49793.75     0.477621    -0.257523    -3.047043
49794.00     0.517830    -0.089232    -2.235207
49794.25     0.453730    -0.048882    -2.863943
49794.50     0.368629     0.009999    -2.689674
49794.75     0.216913     0.059030    -2.608828
49795.00     0.087903     0.278242    -0.486842
49795.25    -0.098848     0.369843     0.118930
49795.50    -0.230848     0.470321     1.146947
49795.75    -0.354353     0.522382     1.647618
49796.00    -0.391514     0.687627     3.573201
49796.25    -0.557572     0.697134     4.171621
49796.50    -0.784209     0.809752     5.758588
49796.75    -0.927827     0.650985     6.727605
49797.00    -0.972136     0.517358     7.825800
49797.25    -0.973483     0.241893     7.254462
49797.50    -1.031718     0.181088     6.982347
49797.75    -1.000844     0.167317     6.032761
49798.00    -0.800571     0.341224     7.301220
49798.25    -0.661402     0.278847     7.341247
49798.50    -0.539476     0.232947     7.312981
49798.75    -0.351596     0.203187     6.009064
49799.00    -0.125017     0.378496     6.492886
49799.25     0.003338     0.277909     6.266736
49799.50     0.172598     0.133325     6.184544
49799.75     0.341810    -0.088777     4.229071
49800.00     0.403913     0.002888     3.502588
49800.25     0.411914    -0.025780     1.771220
49800.50     0.427127    -0.006227     0.851715
49800.75     0.453417    -0.010413    -0.302150
49801.00     0.534787     0.131583     0.081492
49801.25     0.570193     0.064269    -1.437551
49801.50     0.579347     0.091795    -1.920336
49801.75     0.591816     0.051005    -2.855234
49802.00     0.667548     0.186797    -1.461889
49802.25     0.721164     0.137920    -1.951982
49802.50     0.734342     0.191982    -2.317649
49802.75     0.807399     0.103589    -2.598896
49803.00     0.879108     0.136516    -1.422446
49803.25     0.910526     0.093598    -1.266872
49803.50     0.917644     0.078424    -0.693478
49803.75     0.850663    -0.080657    -0.661745
49804.00     0.889157    -0.200385    -0.426550
49804.25     0.759292    -0.378844    -1.757345
49804.50     0.699678    -0.373017    -1.804487
49804.75     0.652054    -0.413728    -2.399938
49805.00     0.595729    -0.305937    -1.747238
49805.25     0.429621    -0.352212    -2.222338
49805.50     0.261603    -0.243212    -1.571591
49805.75     0.158165    -0.275264    -1.506569
49806.00     0.098289    -0.186010    -0.566076
49806.25    -0.009400    -0.271095    -0.603407
49806.50    -0.110363    -0.278910    -0.038823
49806.75    -0.167711    -0.360443    -0.586025
49807.00    -0.100730    -0.229314     0.251219
49807.25    -0.158311    -0.287587    -0.005882
49807.50    -0.221359    -0.260142     0.234214
49807.75    -0.200643    -0.271302    -0.168348
49808.00    -0.139634    -0.115847     1.102798
49808.25    -0.213416    -0.131833     0.718614
49808.50    -0.275776    -0.031657     1.057855
49808.75    -0.305810    -0.039218     0.772043
49809.00    -0.270664     0.116081     1.761290
49809.25    -0.341842     0.105379     1.174663
49809.50    -0.341878     0.115708     0.925913
49809.75    -0.301924     0.090127    -0.348823
49810.00    -0.295510     0.311951     0.493765
49810.25    -0.407821     0.321236     0.338798
49810.50    -0.504124     0.264003     0.710239
49810.75    -0.492523     0.011125     0.633898
49811.00    -0.341620    -0.090900     1.160268
49811.25    -0.434642    -0.368580     1.351706
49811.50    -0.365583    -0.613763     1.089121
49811.75    -0.022652    -1.285452    -1.828646
49812.00    -0.184283    -0.395716    -0.616319
49812.25    -0.232659    -0.220887    -1.884961
49812.50    -0.247552     0.024378    -1.394811
49812.75    -0.266277     0.170627    -1.076347
49813.00    -0.167917     0.452857     0.889014
49813.25    -0.187663     0.444902     1.191764
49813.50    -0.232210     0.416389     1.940303
49813.75    -0.228183     0.214414     1.904669
49814.00    -0.002106     0.279147     2.444173
49814.25     0.084290     0.197443     1.452474
49814.50     0.147981     0.263654     0.966440
49814.75     0.170280     0.356671     0.504416
49815.00     0.132524     0.586123     1.812525
49815.25    -0.013832     0.561616     2.477951
49815.50    -0.147422     0.524523     2.921464
49815.75    -0.059252     0.451961     3.046118
49816.00     0.066391     0.542262     4.331046
49816.25     0.072646     0.560846     3.931364
49816.50     0.153635     0.543325     4.458056
49816.75     0.383941     0.358781     3.679106
49817.00     0.684356     0.451937     2.815132
49817.25     0.723134     0.438207     0.883673
49817.50     0.738083     0.529102    -0.019430
49817.75     0.745752     0.548055    -1.256582
49818.00     0.735713     0.765407     0.016397
49818.25     0.482557     0.709219    -0.587036
49818.50     0.319164     0.872483    -0.045008
49818.75     0.186451     0.865179     0.529204
49819.00    -0.069578     0.863882     2.067786
49819.25    -0.229854     0.494297     1.483405
49819.50    -0.287065     0.299624     1.143125
49819.75    -0.356753     0.169074     0.956645
49820.00    -0.247779    -0.092064     1.801308
49820.25    -0.355160    -0.335748     1.140574
49820.50    -0.409637    -0.409238     1.402782
49820.75    -0.304891    -0.508151     0.731351
49821.00    -0.095521    -0.265311     1.244463
49821.25     0.009294    -0.211516     0.491534
49821.50     0.190155    -0.102914     0.161704
49821.75     0.349509     0.028848    -0.476880
49822.00     0.529569     0.307369     0.368122
49822.25     0.559947     0.248882    -0.218030
49822.50     0.597893     0.299900    -0.438259
49822.75     0.556002     0.279147    -0.590138
49823.00     0.616748     0.385326     0.723775
49823.25     0.564596     0.321756     0.508668
49823.50     0.542364     0.292712     0.529625
49823.75     0.585036     0.240690    -0.212129
49824.00     0.644093     0.362174     0.367568
49824.25     0.605453     0.349173     0.175458
49824.50     0.557388     0.422623     0.398374
49824.75     0.555348     0.412282     0.134562
49825.00     0.604265     0.629106     0.846689
49825.25     0.592458     0.764448     0.992045
49825.50     0.388228     0.978168     1.867156
49825.75     0.089479     0.956410     3.112618
49826.00    -0.086182     0.779628     4.835423
49826.25    -0.157906     0.364520     3.986089
49826.50    -0.127531     0.172505     3.201504
49826.75     0.080697     0.062153     1.923408
49827.00     0.317619     0.270473     2.133095
49827.25     0.386948     0.363838     1.489450
49827.50     0.421839     0.609644     1.716514
49827.75     0.411659     0.701057     1.907349
49828.00     0.456708     0.734219     3.257300
49828.25     0.441535     0.627165     3.853550
49828.50     0.271553     0.339053     4.994279
49828.75     0.204316    -0.012533     3.345106
49829.00     0.336244    -0.168248     2.711066
49829.25     0.383762    -0.391500     1.196787
49829.50     0.430176    -0.496525     0.387343
49829.75     0.531736    -0.578675    -1.043008
49830.00     0.678934    -0.400844    -0.822783
49830.25     0.705725    -0.343344    -1.237311
49830.50     0.721900    -0.161477    -0.412394
49830.75     0.804149    -0.109429     0.625823
49831.00     0.880053    -0.133315     2.575227
49831.25     0.772468    -0.340503     2.566419
49831.50     0.658904    -0.385566     2.509566
49831.75     0.562581    -0.375505     1.588542
49832.00     0.487617    -0.163041     1.672073
49832.25     0.370984    -0.188587     0.510487
49832.50     0.298179    -0.140592    -0.132884
49832.75     0.338451    -0.118007    -1.155828
49833.00     0.380279     0.121960    -0.891373
49833.25     0.351437     0.182360    -1.641890
49833.50     0.371628     0.304530    -1.648898
49833.75     0.404293     0.342332    -1.624791
49834.00     0.474300     0.475708    -0.224755
49834.25     0.416490     0.378666    -0.004771
49834.50     0.284312     0.299817     0.373570
49834.75     0.310028    -0.102815    -0.363593
49835.00     0.404809    -0.086027    -0.513138
49835.25     0.323470    -0.140458    -1.130610
49835.50     0.343091    -0.081431    -1.314762
49835.75     0.387099    -0.031008    -1.490712
49836.00     0.510334     0.110890    -0.344305
49836.25     0.504547     0.095377    -0.822038
49836.50     0.547748     0.171155    -0.847523
49836.75     0.614880     0.137543    -0.933944
49837.00     0.673809     0.191793     0.323269
49837.25     0.671348     0.035383     0.265182
49837.50     0.666558    -0.006515     0.763334
49837.75     0.686636    -0.124160     0.032260
49838.00     0.702014    -0.019764     0.270885
49838.25     0.676606    -0.045031    -0.119138
49838.50     0.641610     0.067420     0.516093
49838.75     0.623501     0.138466     1.427479
49839.00     0.647425     0.115769     3.481647
49839.25     0.434974    -0.235885     3.811891
49839.50     0.279829    -0.280949     3.270410
49839.75     0.240266    -0.188853     1.945843
49840.00     0.242403     0.025912     1.637445
49840.25     0.265325    -0.024647     0.348647
49840.50     0.256256     0.020599    -0.391810
49840.75     0.305216     0.063873    -1.084738
49841.00     0.334628     0.128640    -0.335613
49841.25     0.309322     0.033022    -1.115516
49841.50     0.298161     0.028598    -1.318879
49841.75     0.296327    -0.085349    -1.528166
49842.00     0.311513    -0.109078    -0.556771
49842.25     0.227763    -0.335631    -0.830782
49842.50     0.186253    -0.423102    -1.456866
49842.75     0.152567    -0.381741    -2.256612
49843.00     0.165377    -0.157443    -1.380446
49843.25     0.145563    -0.185525    -2.129687
49843.50     0.184995    -0.044676    -2.543501
49843.75     0.260399     0.077246    -2.787832
49844.00     0.315215     0.274491    -1.574364
49844.25     0.343913     0.265468    -1.923634
49844.50     0.396341     0.306473    -2.069935
49844.75     0.458262     0.380065    -2.124226
49845.00     0.570742     0.526908    -0.876211
49845.25     0.676215     0.614738    -1.023441
49845.50     0.743177     0.702267    -0.755742
49845.75     0.735261     0.706508    -0.911740
49846.00     0.775474     0.856939     0.763793
49846.25     0.650760     0.765366     1.060876
49846.50     0.574439     0.759425     1.622405
49846.75     0.481094     0.653788     1.863658
49847.00     0.409780     0.599300     3.218134
49847.25     0.327912     0.430407     3.233570
49847.50     0.225455     0.409822     3.812128
49847.75     0.135335     0.276641     3.849879
49848.00     0.148954     0.221559     4.494225
49848.25    -0.001157     0.082262     4.015318
49848.50    -0.057110     0.070502     3.761890
49848.75    -0.081426     0.129616     3.134661
49849.00    -0.037694     0.319874     3.853312
49849.25    -0.092577     0.322645     3.560875
49849.50    -0.052276     0.409356     3.511777
49849.75     0.007747     0.531087     3.191697
49850.00     0.106463     0.782763     4.045593
49850.25     0.190185     0.830708     3.738909
49850.50     0.242828     1.044646     3.785147
49850.75     0.207441     1.072235     3.787171
49851.00     0.095420     1.078073     4.838307
49851.25    -0.092329     0.787625     4.360771
49851.50    -0.242624     0.466350     3.607668
49851.75    -0.258021     0.093950     2.189328
49852.00    -0.136296     0.038257     2.510911
49852.25    -0.079059    -0.070796     1.233506
49852.50    -0.027610    -0.077923     0.559345
49852.75     0.040591    -0.004073    -0.079839
49853.00     0.033964     0.250435     1.332028
49853.25     0.001796     0.354301     1.102095
49853.50    -0.026300     0.519022     1.586690
49853.75    -0.138351     0.572202     1.958135
49854.00    -0.169098     0.714200     4.436396
49854.25    -0.207041     0.642470     5.525770
49854.50    -0.229641     0.503070     6.385831
49854.75    -0.156151     0.304705     5.548337
49855.00    -0.030056     0.368394     5.822945
49855.25     0.050592     0.334893     5.713035
49855.50     0.070867     0.286860     6.359690
49855.75     0.147843     0.091114     5.223459
49856.00     0.285274     0.129746     5.933116
49856.25     0.283946    -0.263716     5.325510
49856.50     0.238911    -0.387795     4.096360
49856.75     0.221560    -0.394508     2.736753
49857.00     0.186198    -0.233708     3.220357
49857.25     0.080303    -0.265542     2.399948
49857.50     0.033659    -0.215732     2.158317
49857.75    -0.007179    -0.175017     1.962249
49858.00     0.032884    -0.047063     2.844006
49858.25     0.031126    -0.119015     1.990906
49858.50     0.080711    -0.146276     1.485652
49858.75     0.152397    -0.199643     0.371526
49859.00     0.262116    -0.054350     1.012195
49859.25     0.373562    -0.112737    -0.571861
49859.50     0.423471    -0.047974    -1.536314
49859.75     0.465233    -0.012039    -2.425750
49860.00     0.455406     0.190700    -1.550502
49860.25     0.425020     0.192643    -1.593989
49860.50     0.365234     0.237514    -1.778989
49860.75     0.320999     0.182743    -1.785534
49861.00     0.347890     0.234213    -0.345014
49861.25     0.309880     0.086191    -0.530984
49861.50     0.324448     0.007460    -0.722699
49861.75     0.441802    -0.107793    -1.320425
49862.00     0.630440    -0.045296    -0.762279
49862.25     0.625981    -0.110698    -1.343107
49862.50     0.678176    -0.048464    -1.442070
49862.75     0.746054    -0.137046    -2.021296
49863.00     0.803384    -0.069868    -1.511141
49863.25     0.786692    -0.144690    -2.586055
49863.50     0.774996    -0.096048    -2.835693
49863.75     0.788827    -0.000124    -3.190463
49864.00     0.788274     0.182043    -1.884948
49864.25     0.796584     0.234000    -2.088401
49864.50     0.809182     0.377996    -1.727426
49864.75     0.753990     0.492250    -1.326344
49865.00     0.579387     0.662348     0.317636
49865.25     0.405687     0.646696     0.652591
49865.50     0.208336     0.625420     1.041943
49865.75     0.085439     0.420801     0.668111
49866.00    -0.015799     0.317647     1.769305
49866.25    -0.074547     0.008785     1.250316
49866.50    -0.124676    -0.145680     0.779092
49866.75    -0.065700    -0.316092    -0.125058
49867.00    -0.016372    -0.276963     0.068258
49867.25    -0.040385    -0.308877    -0.846099
49867.50    -0.024855    -0.265423    -0.989419
49867.75     0.004598    -0.200958    -1.257403
49868.00     0.001320     0.013174    -0.098989
49868.25    -0.012481     0.019466    -0.594922
49868.50     0.009352     0.100003    -0.562869
49868.75     0.059306     0.132028    -0.693144
49869.00     0.094542     0.237171     0.692643
49869.25     0.138179     0.219510     0.521705
49869.50     0.192269     0.256846     0.740231
49869.75     0.206537     0.247507     0.074060
49870.00     0.223613     0.337159     0.921928
49870.25     0.254700     0.323528     0.624204
49870.50     0.302144     0.347801     0.698922
49870.75     0.256950     0.314487     0.376111
49871.00     0.260914     0.376813     1.210543
49871.25     0.253489     0.223319     0.646315
49871.50     0.306120     0.174404     0.228739
49871.75     0.343871     0.052990    -0.292641
49872.00     0.395316     0.102390    -0.025036
49872.25     0.404078     0.013086    -0.774386
49872.50     0.484591     0.008192    -1.433479
49872.75     0.471214     0.062601    -1.947239
49873.00     0.394981     0.258352    -0.498870
49873.25     0.338449     0.254940     0.014485
49873.50     0.305685     0.318314     0.585663
49873.75     0.237338     0.390119     1.682660
