 
"Organization Name - Effective 29-JUN-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"DARTMOUTH COLLEGE","1R01AI067405-01A2","7264351","Berwin, Brent L","Mechanisms of Chaperone-Mediated Immune Responses","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 319,800","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01AI069360-01A1","7266760","Enelow, Richard I","TNF Processing in Pulmonary Immunopathology","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 365,403","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01AI069943-01A2","7327546","Usherwood, Edward John","T cell function in murine gammaherpesvirus infection","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 359,775","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01AI071761-01A2","7338115","Wira, Charles Robert","Innate Immune Protection Against HIV-1 by Reproductive Tract Epithelial Cells","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 233,187","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01AI072661-01","7189792","Kull, F Jon","Structural Analysis of Vibrio cholerae Virulence Gene Regulatory Proteins","CHEMISTRY","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 399,750","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01AT003551-01","7119755","Connor, Ruth Ingrid","Feasibility study of LGG in HIV-exposed, breastfeeding infants in Tanzania.","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 40,000","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01CA117874-01A2","7257577","Eastman, Alan R","Mechanisms of Resistance to Cell Cycle Checkpoint Kinase Inhibitors","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 303,810","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01CA118443-01A1","7266514","Karagas, Margaret Rita","Etiologic Role of HPV in Keratinocyte Carcinomas","COMMUNITY AND FAMILY MEDICINE","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 321,986","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01CA120368-01A1","7195868","Pogue, Brian William","Micro CT/NIR Molecular Imaging of Cancer","NONE","NONE","BIOMED ENGR/COL ENGR/ENGR STA","$ 238,427","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01CA123079-01A1","7263563","Noelle, Randolph J","Synergy of the innate and acquired immune responses in tumor immunology","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 303,810","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01CA124515-01A1","7304359","Conejogarcia, Jose ","Vascular Leukocytes influence the tumor microenvironment","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 303,810","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01CA124634-01A1","7320405","Kisselev, Alexei ","Different active sites of the proteasome as drug targets in cancer","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 273,429","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01CA124925-01A1","7317495","Hartov, Alexander ","Prostate Cancer Screening With Electrical Impedance Measurements","NONE","NONE","BIOMED ENGR/COL ENGR/ENGR STA","$ 214,690","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01CA130795-01A2","7320850","Whitfield, Michael L","Predicting and testing gene function in the human cell division cycle","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 313,741","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01DC007911-01A2","7261500","Pikielny, Claudio W","Response of drosophila to pheromones and food stimuli","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 305,809","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01GM077031-01A2","7364717","Saito, R Mako","Genetic and biochemical analysis of cdc-14","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 287,820","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01GM081665-01","7301530","Brenner, Charles M","Quantitative Analysis of RING E3 Ubiquitin Ligases","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 303,810","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01HL084619-01A2","7322580","Simons, Michael ","Arteriogenesis and arterial branching","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 506,683","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01HL090036-01A2","7316574","Ernst, Patricia A","MLL Function in the Maintenance of the Blood Forming System","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 399,750","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01MH078052-01A1","7262665","Bartels, Stephen J","Health Promotion and Fitness for Younger and Older Adults With SMI","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 674,957","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01MH080716-01","7290545","Whalen, Paul J","Prefrontal-amygdala interactions in social learning","PSYCHOLOGICAL & BRAIN SCIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 359,775","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01NS052274-01A2","7261037","Roberts, David W","Coregistered Fluorescence-Enhanced Resection of Malignant Glioma","SURGERY","SURGERY","SCHOOLS OF MEDICINE","$ 450,041","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01NS055020-01A2","7320303","Mcallister, Thomas ","Effect of Biomechanical Force Exposure on Cognition and Brain Activation in TBI","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 433,189","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R01NS055875-01A1","7250748","Supattapone, Surachai ","Biochemistry of Infectious Prions","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 279,825","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R03CA130102-01","7321584","Dmitrovsky, Ethan ","MicroRNAs and Lung Carcinogenesis","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 79,950","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R03CA132166-01","7388334","Dmitrovsky, Ethan ","The Hedgehog Pathway and Lung Cancer Prevention","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 79,950","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R03DA022716-01A1","7316590","Henderson, Leslie P","Interactions of Anabolic Steroids and Stress Hormones in the Forebrain","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 72,603","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R03HD053362-01A1","7305849","Coch, Donna J","Development of automatic orthographic processing skills: ERPs and behavior","EDUCATION","MISCELLANEOUS","SCHOOLS OF ARTS AND SCIENCES","$ 79,950","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R03MH075833-01A2","7304218","Chau, David Thanh","Toward a Rat Model of Alcohol Abuse in Schizophrenia","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 68,874","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R03NS056228-01A1","7255928","Wishart, Heather A","Brain plasticity/ repair genes and neuroimaging in MS","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 79,950","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R21AI068662-01A1","7194399","Otoole, George A","Phage Lysogeny and Inhibition of Biofilm Formation","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 199,875","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R21AI071948-01A1","7334948","Connor, Ruth Ingrid","Lactobacilli as a source of natural microbicides against HIV-1","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 217,314","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R21AI072412-01","7187150","Green, William R","An Alternative Approach to a New Smallpox Vaccine: MVA and Inflammatory Stimuli","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 199,488","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R21AI073142-01A1","7275872","Bzik, David J","Enhanced homologous recombination in Toxoplasma gondii","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 199,875","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R21CA124817-01A1","7302559","Spinella, Michael J","Epigenetic reprogramming of malignant stem cells of the testes","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 159,900","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R21CA127095-01","7238787","Carriere, Catherine ","Adult pancreatic progenitor cells as target of early oncogenic events","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 191,880","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R21HD050726-01A2","7197079","Clark, Ann S","Neurobiology of Hormone-Mediated Behaviors","PSYCHOLOGICAL & BRAIN SCIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 221,880","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1R56AI071761-01A1","7338222","Wira, Charles Robert","Innate Immune Protection Against HIV-1 by Reproductive Tract Epithelial Cells","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 166,563","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1S10RR023436-01","7213204","Shworak, Nicholas W","Vevo 770 for Ultrasound Biomicroscopy","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 351,989","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2K24MH066282-06","7317928","Bartels, Stephen J","Interventions and Services for Older Adults with SMI","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 191,481","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2P01AG019783-06","7184172","Skinner, Jonathan S","Causes and Consequences of Health Care Efficiency","ECONOMICS","MISCELLANEOUS","SCHOOLS OF ARTS AND SCIENCES","$ 1,341,969","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R01AI013541-28A2","7265749","Wira, Charles Robert","Sex Hormone Regulation of the Mucosal Immune System","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 399,750","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R01AI039654-11A1","7213805","Taylor, Ronald K","Hierarchy Within Environmental Regulons","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 359,775","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R01AI041558-11","7262037","Skorupski, Karen A","New Mechanisms for Regulating Virulence Gene Expression","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 359,775","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R01AR026599-28","7315135","Brinckerhoff, Constance E","REGULATION OF COLLAGENASE GENE EXPRESSION","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 343,785","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R01CA057494-13A1","7323062","Karagas, Margaret Rita","Non-Melanoma Skin Cancer in New Hampshire","COMMUNITY AND FAMILY MEDICINE","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 879,109","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R01CA077026-10","7145790","Sargent, James D","Visual Media Influences on Adolescent Smoking Behavior (Y10-14 Renewal)","PEDIATRICS","PEDIATRICS","SCHOOLS OF MEDICINE","$ 890,917","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R01CA126618-05A2","7319228","Kinlaw, William B","Role of Protein S14 in Normal and Neoplastic Mammary Gland","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 252,803","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R01DA014137-14A2","7322764","Henderson, Leslie P","Steroid Regulation of Ion Channels","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 359,775","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R01HL060306-10","7261123","Chang, Tayuan ","Functional Analysis of ACAT","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 361,982","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R01MH064662-04A1","7268249","Mueser, Kim T","Cognitive Behavioral Treatment of PTSD in SMI Clients","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 674,074","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R37AI025096-22","7261721","Taylor, Ronald K","Genetic Determinants of Virulence in Vibrio cholerae","MICROBIOLOGY AND IMMUNOLOGY","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 468,427","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R37GM052549-13","7264292","Barlowe, Charles K","Mechanisms of COPII-Dependent Transport","BIOCHEMISTRY","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 507,710","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2R56GM064011-06A1","7464803","Robbins, David J","Characterization of Sonic Hedgehog Biogenesis","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 326,707","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2T32CA009658-16","7286522","Eastman, Alan R","Cancer Biology and Molecular Therapeutics","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 308,621","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","2T32DK007508-21A1","7233485","North, William G","The Role of Hormones in Health and Disease","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 94,746","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","3P42ES007373-13S1","7459218","Hamilton, Joshua W","Toxic Metals in the Northeast: From Biological To Envir*","PHARMACOLOGY AND TOXICOLOGY","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 250,000","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","3R01GM081665-01S1","7495363","Brenner, Charles M","Quantitative Analysis of RING E3 Ubiquitin Ligases","GENETICS","GENETICS","SCHOOLS OF MEDICINE","$ 53,272","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","3T32DK007508-21A1S1","7468726","North, William G","The Role of Hormones in Health and Disease","PHYSIOLOGY","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 44,050","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5D43TW006807-05","7251977","Vonreyn, C Fordham","Dartmouth/Boston University AITRP","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 267,900","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5F31MH075634-02","7290972","Russ, Brian E","Processing of Communication Signals in Prefrontal Cortex","PSYCHOLOGICAL & BRAIN SCIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 41,125","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5F32DC008481-02","7274837","Yoder, Ryan ","Postsubiculum & otolith contributions to head direction","PSYCHOLOGICAL & BRAIN SCIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 48,796","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","5F32DC008773-02","7339301","Brown, Joel E","Vestibular Contributions to Head Direction Cells","PSYCHOLOGICAL & BRAIN SCIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 51,278","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
