station name,"latitude, degree","latitude, minutes","longitude, degree","longitude, minutes","elevation, feet","observed gravity, mGal","free-air anomaly, mGal","simple bouguer anomaly, mGal",inner terrain correction,"total terrain correction, mGal",D=590 m for inner terrain correction,"complete bouguer anomaly, mGal","isostatic anomaly, mGal"
SGP617,33,45.41,116,11.07,200.8,979529.91,-79.39,-86.24,0.28,2.54,D,-83.78,-23.94
SGP618,33,44.91,116,11.62,52.6,979531.25,-91.29,-93.09,0.03,2.22,D,-90.89,-31.44
SGP619,33,45.81,116,12.1,180.1,979527.07,-84.73,-90.87,0.59,3.01,D,-87.94,-27.39
SGP620,33,46.14,116,13.34,126,979526.34,-91.01,-95.31,0.32,2.89,D,-92.47,-31.23
SGP621,33,46.21,116,12.48,255.7,979523.44,-81.81,-90.53,0.38,2.9,D,-87.73,-26.64
SGP622,33,46.31,116,12.25,363.7,979518.57,-76.66,-89.06,0.83,3.19,D,-86.02,-24.9
SGP623,33,46.53,116,12.61,392.4,979516.04,-76.79,-90.18,0.8,3.27,D,-87.07,-25.62
SGP624,33,45.94,116,13.92,87.6,979525.04,-95.64,-98.63,0.03,2.33,D,-96.34,-35.09
SGP625,33,44.62,116,14.53,10.2,979523.15,-102.98,-103.33,0,1.85,D,-101.47,-41.23
SGP626,33,47.58,116,15.67,264.8,979517.62,-88.68,-97.71,0.19,2.86,D,-94.96,-31.44
SGP627,33,47.83,116,15.42,407.2,979509.73,-83.52,-97.41,0.44,3.17,D,-94.41,-30.73
SGP628,33,47.93,116,15.12,510.5,979503.4,-80.27,-97.68,0.99,3.79,D,-94.11,-30.42
SGP629,33,48.19,116,14.98,651.5,979496.1,-74.67,-96.89,1.23,3.97,D,-93.19,-29.28
SGP630,33,48.42,116,14.76,783.5,979490.44,-68.24,-94.96,1.63,4.33,D,-90.95,-26.86
SGP631,33,48.62,116,14.51,910.5,979485.11,-61.9,-92.95,1.77,4.37,D,-88.96,-24.73
SGP632,33,48.73,116,14.25,1060.5,979478.4,-54.65,-90.82,1.19,3.54,D,-87.72,-23.44
SGP633,33,48.28,116,17.62,178.8,979517.61,-97.75,-103.85,0.02,2.52,D,-101.4,-36.45
SGP634,33,48.6,116,17.49,246.2,979516.27,-93.2,-101.59,0.04,2.64,D,-99.05,-33.83
SGP635,33,48.91,116,17.34,330.9,979512.4,-89.53,-100.82,0.23,2.93,D,-98.03,-32.56
SGP636,33,49.17,116,17.14,427,979507.63,-85.62,-100.19,0.69,3.41,D,-96.96,-31.31
SGP637,33,49.41,116,16.87,537.9,979501.87,-81.29,-99.63,0.83,3.48,D,-96.38,-30.57
SGP638,33,49.71,116,16.78,626.4,979497.24,-78.01,-99.37,0.95,3.5,D,-96.14,-30.05
SGP639,33,49.85,116,16.44,705.4,979495.32,-72.69,-96.75,0.53,3.07,D,-93.97,-27.82
SGP640,33,49.86,116,16.12,760.2,979494.24,-68.63,-94.56,0.5,3.01,D,-91.86,-25.81
SGP641,33,50.07,116,15.89,829.5,979492.66,-63.99,-92.28,0.66,3.14,D,-89.48,-23.27
SGP642,33,50.14,116,15.54,906.1,979490.27,-59.27,-90.17,0.85,3.29,D,-87.26,-21.07
SGP643,33,50.25,116,15.23,950.2,979489.33,-56.21,-88.62,0.43,2.95,D,-86.07,-19.83
SGP644,33,48.33,116,16.71,301.9,979514.21,-89.64,-99.94,0.16,2.76,D,-97.3,-32.66
SGP645,33,48.45,116,16.35,403.1,979508.99,-85.51,-99.26,0.41,3.06,D,-96.37,-31.73
SGP646,33,48.63,116,16.16,515.2,979503.67,-80.53,-98.11,0.29,2.89,D,-95.43,-30.67
SGP647,33,48.71,116,15.8,664.8,979494.98,-75.26,-97.94,0.73,3.19,D,-95.02,-30.3
SGP648,33,48.82,116,15.48,795.9,979488.55,-69.52,-96.66,1.26,3.62,D,-93.37,-28.63
SGP649,33,48.94,116,15.14,925.9,979483.78,-62.23,-93.8,1.15,3.43,D,-90.76,-26
SGP650,33,49.16,116,14.89,1066.2,979478.65,-54.47,-90.83,0.54,2.74,D,-88.52,-23.59
SGP651,33,49.9,116,14.86,1127.1,979478.63,-49.79,-88.23,0.06,2.29,D,-86.4,-20.67
SGP652,33,50.41,116,14.86,1005.8,979487.92,-52.62,-86.92,0.06,2.7,D,-84.63,-18.29
bw29plms,34,8.1,116,6.14,2206.1,979426.78,-25.57,-100.81,0.06,1.91,D,-99.72,-24.77
06jt000,33,54.68,115,51.98,1775.6,979442.79,-31.3,-91.86,0,1.47,D,-91.08,-26.78
06jt001,33,54.33,115,52.26,1823.5,979440.91,-28.18,-90.38,0.03,1.62,D,-89.46,-25.19
06jt002,33,53.96,115,52.53,1909.6,979437.78,-22.7,-87.83,0.02,1.79,D,-86.77,-22.57
06jt003,33,53.59,115,52.86,1977.4,979436.63,-16.96,-84.4,0.04,2.22,D,-82.93,-18.78
06jt004,33,53.28,115,53.21,2040.7,979433.47,-13.73,-83.33,0.07,2.85,D,-81.25,-17.13
06jt005,33,52.9,115,53.53,2113.6,979428.12,-11.7,-83.79,0.5,4.31,D,-80.27,-16.25
06jt006,33,52.78,115,54.06,2189.2,979424.22,-8.32,-82.99,0.56,4.51,D,-79.29,-15.15
06jt007,33,52.63,115,54.56,2253.1,979421.07,-5.25,-82.1,0.39,4.4,D,-78.53,-14.3
06jt008,33,52.2,115,54.67,2321.1,979415.54,-3.79,-82.95,1.28,5.53,D,-78.28,-14.31
06jt009,33,52.43,115,54.61,2286.8,979418.63,-4.25,-82.24,0.83,4.8,D,-78.28,-14.17
06jt010,33,52.72,115,54.3,2219.7,979422.94,-6.65,-82.36,0.61,4.62,D,-78.56,-14.37
06jt011,33,52.91,115,53.82,2152.1,979426.5,-9.71,-83.11,0.61,4.3,D,-79.61,-15.48
06jt012,33,53.19,115,53.52,2095.6,979430.03,-11.89,-83.36,0.31,3.36,D,-80.78,-16.59
06jt013,33,53.45,115,53.05,2008.9,979435.7,-14.73,-83.25,0.06,2.5,D,-81.51,-17.36
06jt014,33,53.8,115,52.67,1942.9,979436.81,-20.32,-86.58,0.01,1.92,D,-85.4,-21.22
06jt015,33,54.13,115,52.37,1865.5,979439.29,-25.58,-89.2,0.01,1.68,D,-88.24,-24.02
06jt016,33,54.52,115,52.12,1797.5,979441.73,-30.08,-91.38,0.01,1.52,D,-90.55,-26.25
06jt200,33,53.15,115,47.31,1920.3,979438.06,-20.29,-85.78,0.03,1.03,D,-85.48,-24.06
06jt201,33,53.39,115,47.27,1875.5,979442.42,-20.47,-84.44,0.03,1,D,-84.16,-22.65
06jt202,33,53.64,115,47.24,1836.9,979445.02,-21.85,-84.5,0.03,0.97,D,-84.24,-22.65
06jt203,33,53.88,115,47.21,1803.2,979446.88,-23.5,-85,0.02,0.94,D,-84.75,-23.08
06jt204,33,54.12,115,47.17,1760.1,979450.57,-24.19,-84.23,0.03,0.97,D,-83.94,-22.21
06jt205,33,54.36,115,47.14,1720.7,979454.18,-24.62,-83.31,0.03,1,D,-82.97,-21.16
06jt206,33,54.6,115,47.1,1669.7,979457.54,-26.4,-83.34,0.07,1.15,D,-82.85,-20.98
06jt207,33,54.84,115,47.06,1652,979459.26,-26.68,-83.02,0.06,1.23,D,-82.43,-20.51
06jt208,33,55.08,115,47.02,1603.3,979460.71,-30.14,-84.82,0.05,1.5,D,-83.95,-21.97
06jt209,33,55.32,115,46.99,1577.9,979464.32,-29.25,-83.07,0.07,1.95,D,-81.74,-19.71
06jt210,33,55.59,115,46.92,1709.8,979458.7,-22.85,-81.16,0.23,2.13,D,-79.69,-17.64
06jt211,33,55.67,115,46.64,1669.4,979461.81,-23.65,-80.58,0.12,2.05,D,-79.18,-17.24
06jt212,33,55.71,115,46.36,1610.2,979466.47,-24.61,-79.53,0.18,2.08,D,-78.08,-16.26
06jt213,33,55.7,115,46.11,1560.1,979469.99,-25.79,-79,0.11,1.87,D,-77.74,-16.05
06jt214,33,55.45,115,46.08,1552.5,979467.8,-28.34,-81.29,0.03,1.42,D,-80.48,-18.88
06jt215,33,55.21,115,46.08,1583.2,979464.29,-28.63,-82.63,0.03,1.16,D,-82.08,-20.55
06jt216,33,54.96,115,46.1,1618.9,979462.62,-26.6,-81.81,0.03,1.02,D,-81.42,-19.95
06jt217,33,54.72,115,46.08,1663.5,979460.01,-24.68,-81.41,0.03,0.92,D,-81.14,-19.75
06jt218,33,54.48,115,46.08,1698.3,979456.55,-24.53,-82.45,0.03,0.88,D,-82.23,-20.92
06jt219,33,54.23,115,46.05,1738.9,979453.02,-23.89,-83.2,0.02,0.84,D,-83.03,-21.81
06jt220,33,53.99,115,45.99,1779.2,979449.67,-23.12,-83.8,0.03,0.83,D,-83.65,-22.54
06jt221,33,53.74,115,45.98,1822.5,979446.95,-21.42,-83.57,0.03,0.83,D,-83.44,-22.42
06jt222,33,53.49,115,46.01,1865.3,979444.03,-19.96,-83.58,0.03,0.85,D,-83.44,-22.51
05jt223,33,53.21,115,46.19,1918.6,979440.51,-18.08,-83.52,0.03,0.88,D,-83.37,-22.46
riflea,33,58.27,115,59.64,3377,979358.32,29.81,-85.36,0.05,2.08,D,-84.41,-15.27
06jt017,33,54.51,115,33.78,1434,979492.25,-13.73,-62.64,1.71,4.1,D,-59.1,-4.1
06jt018,33,54.72,115,33.8,1356.3,979496.45,-17.13,-63.39,0.43,2.41,D,-61.52,-6.45
06jt019,33,54.96,115,33.81,1299,979497.34,-21.96,-66.27,0.02,1.54,D,-65.25,-10.12
06jt020,33,55.19,115,33.82,1278.4,979496.64,-24.92,-68.52,0.01,1.19,D,-67.85,-12.66
06jt021,33,55.42,115,33.82,1266.1,979496.52,-26.52,-69.7,0.01,0.96,D,-69.24,-13.99
06jt022,33,55.65,115,33.82,1254.8,979497.54,-26.88,-69.68,0.02,0.82,D,-69.36,-14.05
06jt023,33,55.87,115,33.8,1250,979499.01,-26.17,-68.8,0.01,0.71,D,-68.6,-13.25
06jt024,33,56.08,115,33.78,1247.8,979500.75,-24.93,-67.49,0.01,0.64,D,-67.35,-11.96
06jt025,33,56.28,115,33.77,1244.5,979502.55,-23.72,-66.17,0.01,0.58,D,-66.08,-10.65
06jt026,33,56.52,115,33.77,1236.7,979504.59,-22.75,-64.93,0.01,0.53,D,-64.89,-9.4
06jt027,33,56.73,115,33.78,1224.5,979506.09,-22.69,-64.45,0.01,0.51,D,-64.44,-8.9
06jt028,33,56.94,115,33.79,1213.5,979507.33,-22.78,-64.16,0,0.48,D,-64.17,-8.59
06jt029,33,57.15,115,33.8,1203,979508.17,-23.22,-64.25,0,0.47,D,-64.26,-8.63
06jt030,33,57.37,115,33.79,1206.8,979508.25,-23.09,-64.25,0,0.45,D,-64.28,-8.62
06jt031,33,57.59,115,33.78,1205.5,979507.76,-24.01,-65.12,0,0.45,D,-65.15,-9.45
06jt032,33,57.81,115,33.78,1203.5,979507.59,-24.67,-65.72,0,0.46,D,-65.74,-10
06jt033,33,58.04,115,33.79,1203.9,979508.08,-24.46,-65.53,0.01,0.48,D,-65.53,-9.74
06jt034,33,58.27,115,33.8,1212.7,979508.76,-23.28,-64.64,0,0.49,D,-64.64,-8.81
06jt035,33,58.48,115,33.81,1222,979509.37,-22.09,-63.76,0,0.51,D,-63.75,-7.87
06jt036,33,58.7,115,33.84,1241.1,979509.44,-20.53,-62.86,0,0.53,D,-62.83,-6.89
06jt037,33,58.92,115,33.9,1264.5,979508.97,-19.1,-62.23,0.01,0.57,D,-62.17,-6.16
06jt038,33,59.16,115,33.96,1300.2,979506.55,-18.5,-62.85,0.01,0.62,D,-62.75,-6.66
06jt039,33,59.42,115,34.04,1360.6,979501.58,-18.15,-64.56,0.04,0.7,D,-64.4,-8.25
06jt040,33,59.62,115,34.1,1414.9,979498.78,-16.13,-64.38,0.05,0.78,D,-64.16,-7.94
06jt224,33,54.33,115,35.21,1573.9,979483.68,-8.89,-62.57,3.07,4.81,D,-58.37,-2.69
06jt225,33,54.6,115,35.31,1519.9,979487.33,-10.69,-62.53,2.1,3.56,D,-59.57,-3.76
06jt226,33,54.82,115,35.47,1486.5,979489.45,-12.02,-62.72,0.78,1.94,D,-61.37,-5.42
06jt227,33,55.07,115,35.6,1457.8,979489.16,-15.36,-65.08,0.08,0.98,D,-64.67,-8.6
06jt228,33,55.33,115,35.65,1443,979489.42,-16.86,-66.07,0.02,0.74,D,-65.9,-9.74
06jt229,33,55.57,115,35.69,1407.1,979491.67,-18.32,-66.31,0.02,0.65,D,-66.22,-9.97
06jt230,33,55.82,115,35.74,1383.7,979493.93,-18.61,-65.8,0.02,0.58,D,-65.77,-9.44
06jt231,33,56.06,115,35.79,1375,979495.94,-17.75,-64.65,0.02,0.52,D,-64.67,-8.27
06jt232,33,56.32,115,35.85,1352.1,979498.99,-17.22,-63.33,0.02,0.5,D,-63.37,-6.88
06jt233,33,56.58,115,35.89,1323.7,979502.47,-16.77,-61.92,0.02,0.5,D,-61.94,-5.38
06jt234,33,56.83,115,35.95,1300.1,979505.03,-16.78,-61.12,0.02,0.52,D,-61.12,-4.47
06jt235,33,57.08,115,36.03,1281.8,979507.1,-16.78,-60.5,0.01,0.53,D,-60.48,-3.74
06jt236,33,57.33,115,36.09,1265.3,979508.31,-17.47,-60.62,0.02,0.57,D,-60.56,-3.74
06jt237,33,57.57,115,36.16,1276.3,979508.77,-16.31,-59.84,0,0.52,D,-59.83,-2.93
06jt238,33,57.83,115,36.26,1320.9,979508.94,-12.31,-57.36,0.1,0.54,D,-57.35,-0.38
06jt239,33,58.06,115,36.4,1304.5,979509.94,-13.17,-57.66,0.02,0.5,D,-57.68,-0.59
06jt240,33,58.34,115,36.47,1325.4,979507.47,-14.07,-59.27,0.02,0.48,D,-59.31,-2.14
06jt241,33,58.19,115,36.99,1332.4,979508.6,-12.07,-57.51,0.05,0.49,D,-57.55,-0.15
06jt242,33,57.92,115,37,1312.4,979508.86,-13.31,-58.07,0.02,0.49,D,-58.11,-0.74
06jt243,33,57.65,115,37.01,1294.5,979508.11,-15.37,-59.52,0.02,0.52,D,-59.52,-2.19
06jt244,33,57.38,115,37.02,1290.8,979507.64,-15.81,-59.83,0.02,0.53,D,-59.82,-2.53
06jt245,33,57.11,115,37.04,1309.1,979506.5,-14.85,-59.5,0.02,0.5,D,-59.52,-2.26
lcoving,34,1.67,116,18.09,4660.2,979271.32,58.71,-100.23,0.16,4.55,D,-97.04,-19.09
06jt041,33,54.96,115,31.99,1349.8,979493.56,-20.96,-67,0.44,2.77,D,-64.77,-10.59
06jt042,33,55.17,115,32.06,1233.7,979497.5,-28.24,-70.31,0.07,1.9,D,-68.91,-14.63
06jt043,33,55.4,115,32.08,1205.7,979496.95,-31.74,-72.86,0.01,1.34,D,-72.01,-17.65
06jt044,33,55.62,115,32.08,1178.5,979497.25,-34.31,-74.5,0.02,1.09,D,-73.89,-19.47
06jt045,33,55.85,115,32.1,1172.5,979497.76,-34.68,-74.67,0.01,0.88,D,-74.27,-19.79
06jt046,33,56.07,115,32.12,1166.2,979498.79,-34.55,-74.33,0.02,0.76,D,-74.04,-19.5
06jt047,33,56.31,115,32.1,1155.6,979500.46,-34.21,-73.63,0.02,0.68,D,-73.42,-18.82
06jt048,33,56.54,115,32.1,1152.5,979502.09,-33.2,-72.5,0.01,0.6,D,-72.37,-17.72
06jt049,33,56.79,115,32.1,1153.8,979503.57,-31.94,-71.29,0,0.53,D,-71.23,-16.53
06jt050,33,57.01,115,32.06,1155.1,979504.26,-31.44,-70.83,0,0.49,D,-70.81,-16.09
06jt051,33,57.23,115,32.02,1154,979504.57,-31.54,-70.9,0,0.47,D,-70.9,-16.16
06jt052,33,57.45,115,32,1152.8,979504.5,-32.03,-71.35,0,0.45,D,-71.36,-16.59
06jt053,33,57.69,115,31.97,1149.3,979503.79,-33.4,-72.6,0.01,0.46,D,-72.61,-17.79
06jt054,33,57.9,115,31.94,1147.8,979503.12,-34.51,-73.65,0.01,0.46,D,-73.66,-18.82
06jt055,33,58.1,115,31.88,1158,979502.49,-34.46,-73.95,0,0.44,D,-73.98,-19.13
06jt056,33,58.31,115,31.84,1167.6,979501.91,-34.43,-74.25,0,0.43,D,-74.29,-19.42
06jt057,33,58.12,115,32.19,1160.5,979503.89,-32.85,-72.43,0,0.45,D,-72.45,-17.43
06jt058,33,58.02,115,32.52,1169.7,979505.09,-30.64,-70.54,0,0.44,D,-70.57,-15.41
06jt059,33,57.8,115,32.54,1170,979505.17,-30.23,-70.13,0,0.44,D,-70.17,-15.04
06jt060,33,57.58,115,32.57,1171.4,979505.94,-29.02,-68.97,0,0.44,D,-69.01,-13.92
06jt061,33,57.37,115,32.61,1174.3,979506.82,-27.57,-67.62,0,0.44,D,-67.66,-12.59
06jt062,33,57.14,115,32.66,1171.1,979507.28,-27.09,-67.04,0,0.47,D,-67.04,-11.99
06jt063,33,56.91,115,32.72,1170.1,979506.6,-27.55,-67.45,0,0.5,D,-67.43,-12.4
06jt064,33,56.69,115,32.74,1171.9,979504.93,-28.74,-68.71,0.01,0.54,D,-68.64,-13.65
06jt065,33,56.47,115,32.73,1176.6,979503.04,-29.88,-70.01,0.01,0.59,D,-69.9,-14.95
06jt066,33,56.25,115,32.75,1180.6,979501.29,-30.95,-71.21,0.03,0.67,D,-71.02,-16.12
06jt067,33,56.06,115,32.71,1183.8,979499.87,-31.8,-72.18,0.03,0.74,D,-71.91,-17.07
06jt246,33,55,115,30.87,1352.8,979494.52,-19.78,-65.92,0.48,2.78,D,-63.68,-10.07
06jt247,33,55.26,115,30.95,1236.6,979496.57,-29.02,-71.2,0.06,1.74,D,-69.96,-16.24
06jt248,33,55.53,115,30.92,1185.2,979495.75,-35.05,-75.47,0.02,1.23,D,-74.72,-20.92
06jt249,33,55.8,115,30.9,1151.5,979495.6,-38.75,-78.02,0.02,0.96,D,-77.52,-23.66
06jt250,33,56.08,115,30.89,1133,979495.68,-40.8,-79.44,0.02,0.8,D,-79.1,-25.17
06jt251,33,56.35,115,30.89,1123.3,979496.16,-41.61,-79.92,0.02,0.69,D,-79.69,-25.69
06jt252,33,56.62,115,30.89,1124.2,979496.56,-41.5,-79.84,0.01,0.59,D,-79.7,-25.64
06jt253,33,56.89,115,30.88,1122.7,979497.08,-41.5,-79.79,0.01,0.54,D,-79.7,-25.59
06jt254,33,57.16,115,30.88,1120.4,979497.88,-41.29,-79.5,0.02,0.52,D,-79.44,-25.27
06jt255,33,57.43,115,30.89,1123.1,979498.59,-40.7,-79.01,0.02,0.49,D,-78.97,-24.74
06jt256,33,57.71,115,30.88,1128.7,979498.54,-40.62,-79.11,0.02,0.47,D,-79.1,-24.8
06jt257,33,57.98,115,30.89,1142.7,979497.7,-40.52,-79.49,0.02,0.45,D,-79.5,-25.15
06jt258,33,58.25,115,30.89,1163.5,979496.67,-39.97,-79.65,0.02,0.43,D,-79.69,-25.29
06jt259,33,58.74,115,30.9,1201.5,979495.74,-38.01,-78.99,0.02,0.43,D,-79.04,-24.52
06jt260,33,59.28,115,30.9,1253.9,979494.78,-34.79,-77.56,0.02,0.46,D,-77.6,-22.95
06jt261,33,59.83,115,30.9,1317.9,979492.45,-31.87,-76.82,0.02,0.49,D,-76.85,-22.11
06jt262,34,0.38,115,30.88,1385.6,979491.15,-27.57,-74.83,0.02,0.53,D,-74.85,-20.04
06jt263,34,0.92,115,30.9,1463.1,979490.13,-22.06,-71.96,0.03,0.62,D,-71.91,-16.99
06jt264,34,1.46,115,30.96,1576.9,979485.6,-16.64,-70.42,0.04,0.75,D,-70.29,-15.27
