"Table with row headers in column A and column headers in rows 5 through 7, 43 through 45, 81 through 83, 119 through 121, 157 through 159, 195 through 197, 233 through 235, and 271 through 273.",,,,,,,,,,,,
"Table 3.  Nursery and Primary School Enrollment of People 3 to 6 Years Old, by Control of School, Attendance Status, Age, Race, Hispanic Origin, Mother's Labor Force Status and Education, and Family Income:  October 2007",,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population),,,,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,,,
Selected Characteristics, Total , Not enrolled , Enrolled in nursery school ,,,,,,,,,
"..$75,000 and over","2,188",787,"1,304",738,565,432,249,183,872,490,382,
..Not reported,"1,315",643,572,279,293,330,160,170,242,119,123,
,,,,,,,,,,,,
(Continued),,,,,,,,,,,,
,,,,,,,,,,,,
"Table 3.  Nursery and Primary School Enrollment of People 3 to 6 Years Old, by Control of School, Attendance Status, Age, Race, Hispanic Origin, Mother's Labor Force Status and Education, and Family Income:  October 2007",,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population),,,,,,,,,,,,
,,,,,,,,,,,,
All Races, Enrolled in kindergarten ,,,,,,,,, Enrolled in elementary school ,,
, Total ,,, Public ,,, Private ,,, Total , Public , Private 
, Total , Part-day , Full-day , Total , Part-day , Full-day , Total , Part-day , Full-day ,,,
3 and 4 Years Old,,,,,,,,,,,,
Total,483,171,312,401,143,258,83,28,54,    -,    -,    -
.Race,,,,,,,,,,,,
..White alone,347,115,232,279,90,189,67,25,43,    -,    -,    -
..White alone non-Hispanic,197,60,137,136,36,100,61,25,37,    -,    -,    -
..Black alone,83,29,55,77,29,48,7,    -,7,    -,    -,    -
..Asian alone,37,21,16,30,17,13,7,4,3,    -,    -,    -
..Hispanic,152,55,97,145,55,91,6,    -,6,    -,    -,    -
.Labor force status of mother,,,,,,,,,,,,
..Children not living with mother,49,17,32,45,17,28,3,    -,3,    -,    -,    -
..Mother employed part-time,57,16,41,42,10,32,15,6,9,    -,    -,    -
..Mother employed full-time,179,40,139,144,31,113,35,9,26,    -,    -,    -
..Mother unemployed,22,9,13,19,9,11,3,    -,3,    -,    -,    -
..Mother not in the labor force,176,89,87,150,76,74,27,14,13,    -,    -,    -
.Education of mother,,,,,,,,,,,,
..Children not living with mother,49,17,32,45,17,28,3,    -,3,    -,    -,    -
..Elementary: 0 to 8 years,38,18,20,38,18,20,    -,    -,    -,    -,    -,    -
..High School: 9 to 11 years,49,17,31,45,17,28,4,    -,4,    -,    -,    -
..High school graduate,148,49,98,127,47,80,21,2,19,    -,    -,    -
..Some college or associate's degree,78,25,53,60,17,42,18,8,10,    -,    -,    -
..Bachelor's degree or more,123,45,78,86,26,60,37,18,18,    -,    -,    -
.Family income,,,,,,,,,,,,
"..Less than $20,000",82,24,58,82,24,58,    -,    -,    -,    -,    -,    -
"..$20,000 to $29,999",67,22,44,56,18,38,10,4,7,    -,    -,    -
"..$30,000 to $39,999",50,18,32,44,17,27,6,    -,6,    -,    -,    -
"..$40,000 to $49,999",30,14,16,23,11,13,6,3,3,    -,    -,    -
"..$50,000 to $74,999",58,17,40,47,17,30,10,    -,10,    -,    -,    -
"..$75,000 and over",97,42,55,65,28,37,32,14,18,    -,    -,    -
..Not reported,100,34,66,83,27,56,17,7,10,    -,    -,    -
,,,,,,,,,,,,
(Continued),,,,,,,,,,,,
,,,,,,,,,,,,
"Table 3.  Nursery and Primary School Enrollment of People 3 to 6 Years Old, by Control of School, Attendance Status, Age, Race, Hispanic Origin, Mother's Labor Force Status and Education, and Family Income:  October 2007",,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population),,,,,,,,,,,,
,,,,,,,,,,,,
All Races, Total , Not enrolled , Enrolled in nursery school ,,,,,,,,,
,,, Total ,,, Public ,,, Private ,,,
,,, Total , Part-day , Full-day , Total , Part-day , Full-day , Total , Part-day , Full-day ,
5 Years Old,,,,,,,,,,,,
Total,"4,091",311,561,302,259,349,184,165,212,118,94,
.Race,,,,,,,,,,,,
..White alone,"3,158",227,454,259,195,281,157,125,173,102,71,
..White alone non-Hispanic,"2,250",159,335,182,153,179,97,82,156,86,70,
..Black alone,627,56,68,24,44,43,17,26,24,7,18,
..Asian alone,114,9,12,4,8,9,4,6,3,    -,3,
..Hispanic,961,73,127,81,46,109,64,45,18,17,1,
.Labor force status of mother,,,,,,,,,,,,
..Children not living with mother,296,36,31,15,16,19,15,4,12,    -,12,
..Mother employed part-time,571,22,86,62,24,43,35,8,43,28,15,
..Mother employed full-time,"1,688",112,224,82,142,158,53,104,66,28,37,
..Mother unemployed,157,16,15,10,5,9,7,3,6,3,2,
..Mother not in the labor force,"1,379",125,205,132,73,119,74,46,85,58,27,
.Education of mother,,,,,,,,,,,,
..Children not living with mother,296,36,31,15,16,19,15,4,12,    -,12,
..Elementary: 0 to 8 years,228,31,32,19,14,32,19,14,    -,    -,    -,
..High School: 9 to 11 years,398,50,55,44,11,44,33,11,11,11,    -,
..High school graduate,948,68,110,51,59,87,38,50,23,13,9,
..Some college or associate's degree,"1,132",71,168,91,77,90,44,46,78,47,31,
..Bachelor's degree or more,"1,090",54,164,81,83,76,34,41,88,46,42,
.Family income,,,,,,,,,,,,
"..Less than $20,000",634,82,76,35,42,62,26,36,15,9,6,
"..$20,000 to $29,999",411,41,45,21,24,41,18,23,4,3,1,
"..$30,000 to $39,999",422,25,47,27,20,39,27,12,8,    -,8,
"..$40,000 to $49,999",269,20,49,26,23,37,17,20,12,9,3,
"..$50,000 to $74,999",651,50,94,56,38,57,34,22,37,22,15,
"..$75,000 and over","1,004",38,142,78,64,61,28,33,81,51,31,
..Not reported,699,55,106,58,48,52,33,19,54,25,30,
,,,,,,,,,,,,
(Continued),,,,,,,,,,,,
,,,,,,,,,,,,
"Table 3.  Nursery and Primary School Enrollment of People 3 to 6 Years Old, by Control of School, Attendance Status, Age, Race, Hispanic Origin, Mother's Labor Force Status and Education, and Family Income:  October 2007",,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population),,,,,,,,,,,,
,,,,,,,,,,,,
All Races, Enrolled in kindergarten ,,,,,,,,, Enrolled in elementary school ,,
, Total ,,, Public ,,, Private ,,, Total , Public , Private 
, Total , Part-day , Full-day , Total , Part-day , Full-day , Total , Part-day , Full-day ,,,
5 Years Old,,,,,,,,,,,,
Total,"3,004",866,"2,138","2,687",784,"1,903",317,82,235,215,182,33
.Race,,,,,,,,,,,,
..White alone,"2,331",711,"1,620","2,082",635,"1,447",249,76,173,146,122,24
..White alone non-Hispanic,"1,670",537,"1,133","1,449",471,978,221,66,155,86,65,21
..Black alone,453,87,366,403,81,322,50,6,43,51,42,9
..Asian alone,90,24,66,77,24,53,13,    -,13,2,2,    -
..Hispanic,700,183,517,671,173,498,29,10,19,60,57,3
.Labor force status of mother,,,,,,,,,,,,
..Children not living with mother,216,52,164,205,50,155,11,2,9,14,8,5
..Mother employed part-time,443,157,286,382,135,247,60,21,39,20,12,7
..Mother employed full-time,"1,281",340,941,"1,142",307,835,139,33,106,72,65,7
..Mother unemployed,104,17,86,94,17,77,9,    -,9,23,19,4
..Mother not in the labor force,962,300,662,864,274,590,98,26,72,87,78,9
.Education of mother,,,,,,,,,,,,
..Children not living with mother,216,52,164,205,50,155,11,2,9,14,8,5
..Elementary: 0 to 8 years,149,33,116,149,33,116,    -,    -,    -,16,13,3
..High School: 9 to 11 years,269,69,200,256,69,187,13,    -,13,23,23,    -
..High school graduate,720,203,517,667,180,487,53,23,30,50,43,7
..Some college or associate's degree,828,238,589,752,229,523,76,9,67,64,53,10
..Bachelor's degree or more,823,271,552,659,223,436,164,48,117,49,41,8
.Family income,,,,,,,,,,,,
"..Less than $20,000",422,88,334,402,88,314,20,    -,20,54,44,10
"..$20,000 to $29,999",301,51,250,296,51,245,5,    -,5,24,22,3
"..$30,000 to $39,999",323,103,220,296,97,200,27,7,20,26,26,    -
"..$40,000 to $49,999",188,78,110,168,69,98,21,9,12,12,12,    -
"..$50,000 to $74,999",490,146,343,442,127,315,47,19,28,18,11,7
"..$75,000 and over",767,249,518,629,213,416,138,36,102,57,43,14
..Not reported,514,151,363,455,139,315,59,11,48,24,24,    -
,,,,,,,,,,,,
(Continued),,,,,,,,,,,,
,,,,,,,,,,,,
"Table 3.  Nursery and Primary School Enrollment of People 3 to 6 Years Old, by Control of School, Attendance Status, Age, Race, Hispanic Origin, Mother's Labor Force Status and Education, and Family Income:  October 2007",,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population),,,,,,,,,,,,
,,,,,,,,,,,,
All Races, Total , Not enrolled , Enrolled in nursery school ,,,,,,,,,
,,, Total ,,, Public ,,, Private ,,,
,,, Total , Part-day , Full-day , Total , Part-day , Full-day , Total , Part-day , Full-day ,
6 Years Old,,,,,,,,,,,,
Total,"4,140",128,59,13,47,38,9,30,21,4,17,
.Race,,,,,,,,,,,,
..White alone,"3,099",96,31,5,27,14,1,14,17,4,13,
..White alone non-Hispanic,"2,278",69,26,5,21,8,1,8,17,4,13,
..Black alone,658,21,23,7,17,19,7,13,4,    -,4,
..Asian alone,178,7,    -,    -,    -,    -,    -,    -,    -,    -,    -,
..Hispanic,890,32,6,    -,6,6,    -,6,    -,    -,    -,
.Labor force status of mother,,,,,,,,,,,,
..Children not living with mother,326,14,4,4,    -,4,4,    -,    -,    -,    -,
..Mother employed part-time,646,14,3,    -,3,2,    -,2,    -,    -,    -,
..Mother employed full-time,"1,796",41,41,6,35,26,4,22,15,2,13,
..Mother unemployed,110,1,3,    -,3,3,    -,3,    -,    -,    -,
..Mother not in the labor force,"1,262",58,9,3,6,3,1,2,6,2,4,
.Education of mother,,,,,,,,,,,,
..Children not living with mother,326,14,4,4,    -,4,4,    -,    -,    -,    -,
..Elementary: 0 to 8 years,155,20,    -,    -,    -,    -,    -,    -,    -,    -,    -,
..High School: 9 to 11 years,322,7,7,    -,7,7,    -,7,    -,    -,    -,
..High school graduate,"1,049",35,14,3,11,14,3,11,    -,    -,    -,
..Some college or associate's degree,"1,107",30,11,4,7,9,1,7,2,2,    -,
..Bachelor's degree or more,"1,180",22,24,2,21,5,1,4,19,2,17,
.Family income,,,,,,,,,,,,
"..Less than $20,000",635,21,16,3,14,16,3,13,    -,    -,    -,
"..$20,000 to $29,999",394,13,8,    -,8,4,    -,4,4,    -,4,
"..$30,000 to $39,999",382,20,6,5,1,6,5,1,    -,    -,    -,
"..$40,000 to $49,999",286,4,4,    -,4,4,    -,4,    -,    -,    -,
"..$50,000 to $74,999",611,22,7,2,5,5,    -,5,2,2,    -,
"..$75,000 and over","1,162",20,9,2,7,1,1,    -,8,2,6,
..Not reported,669,29,9,    -,9,2,    -,2,6,    -,6,
,,,,,,,,,,,,
(Continued),,,,,,,,,,,,
,,,,,,,,,,,,
"Table 3.  Nursery and Primary School Enrollment of People 3 to 6 Years Old, by Control of School, Attendance Status, Age, Race, Hispanic Origin, Mother's Labor Force Status and Education, and Family Income:  October 2007",,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population),,,,,,,,,,,,
,,,,,,,,,,,,
All Races, Enrolled in kindergarten ,,,,,,,,, Enrolled in elementary school ,,
, Total ,,, Public ,,, Private ,,, Total , Public , Private 
, Total , Part-day , Full-day , Total , Part-day , Full-day , Total , Part-day , Full-day ,,,
6 Years Old,,,,,,,,,,,,
Total,576,145,432,501,117,384,75,28,47,"3,376","3,016",360
.Race,,,,,,,,,,,,
..White alone,495,128,367,426,103,322,69,25,44,"2,477","2,208",269
..White alone non-Hispanic,398,117,281,330,92,237,68,25,43,"1,786","1,544",242
..Black alone,52,3,48,52,3,48,    -,    -,    -,562,504,59
..Asian alone,10,7,4,5,4,1,5,3,2,160,144,17
..Hispanic,102,11,91,101,11,90,1,    -,1,750,719,31
.Labor force status of mother,,,,,,,,,,,,
..Children not living with mother,30,1,29,25,1,24,5,    -,5,279,273,6
..Mother employed part-time,104,44,60,80,30,50,24,14,10,525,466,58
..Mother employed full-time,222,55,167,199,48,151,23,7,16,"1,492","1,352",140
..Mother unemployed,5,1,4,5,1,4,    -,    -,    -,100,93,7
..Mother not in the labor force,215,43,172,191,36,155,24,7,17,980,832,149
.Education of mother,,,,,,,,,,,,
..Children not living with mother,30,1,29,25,1,24,5,    -,5,279,273,6
..Elementary: 0 to 8 years,25,3,22,25,3,22,    -,    -,    -,109,104,5
..High School: 9 to 11 years,41,15,26,41,15,26,    -,    -,    -,268,260,8
..High school graduate,137,15,122,129,15,114,8,    -,8,864,807,56
..Some college or associate's degree,166,58,108,144,42,102,22,16,6,900,817,83
..Bachelor's degree or more,178,53,125,137,41,96,41,12,29,956,755,201
.Family income,,,,,,,,,,,,
"..Less than $20,000",84,9,75,84,9,75,    -,    -,    -,514,494,20
"..$20,000 to $29,999",67,15,52,65,15,50,2,    -,2,307,294,12
"..$30,000 to $39,999",40,6,34,33,1,32,7,5,2,314,283,31
"..$40,000 to $49,999",40,5,34,40,5,34,    -,    -,    -,239,225,14
"..$50,000 to $74,999",103,24,79,98,24,74,5,1,5,479,434,45
"..$75,000 and over",176,66,109,121,44,77,55,23,33,958,780,177
..Not reported,66,19,48,61,19,43,5,    -,5,565,506,60
Footnotes:,,,,,,,,,,,,
- Represents zero or rounds to zero.,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, October 2007.",,,,,,
Internet Release date:  xx,,,,,,
