-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
CIC1        49718.000    1995     1     1     0
CIC1        52274.750    2001    12    31    18
CIC1     -2433176.853 -4845045.125  3348295.738
49734.25    -2.810127     0.767450     0.570539
49734.50    -2.439084     0.446083     1.068920
49734.75    -2.293493     0.830982    -0.233669
49735.00    -2.235337     0.846994     0.499312
49735.25    -2.310250     0.924772    -0.330697
49735.50    -2.208524     0.730438    -0.350987
49735.75    -2.074286     1.079907    -2.008198
49736.00    -2.081259     0.881369    -0.762100
49736.25    -2.248148     0.814454    -1.131467
49736.50    -2.155863     0.390573    -0.511399
49736.75    -2.255917     0.589232    -1.342072
49737.00    -2.394872     0.434428    -0.167238
49737.25    -2.717318     0.404887    -0.509186
49737.50    -2.574837     0.072499     0.048825
49737.75    -2.554640     0.527782    -1.305289
49738.00    -2.548095     0.519884    -0.386895
49738.25    -2.581863     0.581951    -0.775426
49738.50    -2.279295     0.247656    -0.180170
49738.75    -2.176108     0.661195    -1.414709
49739.00    -1.992143     0.624088    -0.484033
49739.25    -2.087956     0.742700    -0.977483
49739.50    -1.818436     0.434485    -0.712592
49739.75    -1.628740     0.814452    -1.993395
49740.00    -1.334530     0.715620    -1.106215
49740.25    -1.529538     0.779355    -1.453170
49740.50    -1.385240     0.387998    -0.802661
49740.75    -1.316687     0.655306    -1.651789
49741.00    -1.473735     0.581830    -0.863052
49741.25    -1.760521     0.571724    -0.892884
49741.50    -1.529145     0.237311    -0.290725
49741.75    -1.566523     0.669290    -1.480934
49742.00    -1.613942     0.663564    -0.641333
49742.25    -1.812057     0.696654    -0.517732
49742.50    -1.660897     0.327133     0.154512
49742.75    -1.887678     0.679337    -0.665038
49743.00    -1.779844     0.825753    -0.403444
49743.25    -2.109608     0.944429    -0.958696
49743.50    -1.931971     0.727810    -1.063494
49743.75    -1.905737     1.131500    -2.505957
49744.00    -1.849671     1.007253    -1.605839
49744.25    -2.193706     1.013241    -1.956529
49744.50    -2.000936     0.676788    -1.308299
49744.75    -1.841059     1.014620    -2.558976
49745.00    -1.868200     1.055892    -1.932394
49745.25    -2.012604     1.149008    -2.669281
49745.50    -1.579355     0.879768    -2.393848
49745.75    -1.571802     1.318879    -3.519111
49746.00    -1.352278     1.303691    -2.516718
49746.25    -1.527190     1.443367    -2.685370
49746.50    -1.133939     1.220369    -2.236780
49746.75    -1.027747     1.704008    -3.294572
49747.00    -1.040067     1.726532    -2.432966
49747.25    -1.281226     1.903983    -2.979574
49747.50    -1.138104     1.663069    -2.476473
49747.75    -1.089183     1.978573    -3.315554
49748.00    -1.344959     1.932164    -2.162143
49748.25    -1.815604     2.047799    -2.347858
49748.50    -1.655235     1.700464    -1.631779
49748.75    -1.677432     2.046215    -2.416525
49749.00    -1.578948     1.943258    -1.372194
49749.25    -1.673509     1.889347    -1.508301
49749.50    -1.322539     1.451672    -1.090680
49749.75    -1.238486     1.692010    -2.053228
49750.00    -1.122888     1.459360    -0.985091
49750.25    -1.199367     1.350136    -1.335347
49750.50    -0.939036     0.885098    -1.106324
49750.75    -0.955204     1.166873    -2.535596
49751.00    -0.803725     0.963497    -1.796499
49751.25    -0.961150     0.933896    -2.413000
49751.50    -0.561421     0.663675    -2.551940
49751.75    -0.374545     1.059535    -3.790377
49752.00    -0.086371     0.899590    -2.778795
49752.25    -0.148372     0.873818    -3.164287
49752.50     0.228450     0.477996    -2.673778
49752.75     0.446657     0.703877    -3.352945
49753.00     0.472032     0.499967    -1.785173
49753.25     0.357225     0.551049    -2.016286
49753.50     0.827405     0.245458    -1.416190
49753.75     1.002794     0.653251    -2.500522
49754.00     1.131334     0.518034    -1.295493
49754.25     1.122592     0.500427    -1.326563
49754.50     1.626326     0.087846    -0.833233
49754.75     1.711710     0.306749    -1.474071
49755.00     1.890254     0.105844    -0.244526
49755.25     1.713985     0.013719    -0.414166
49755.50     2.036732    -0.285799    -0.203340
49755.75     1.984254     0.099041    -1.482491
49756.00     1.971214    -0.003353    -0.287721
49756.25     1.510576     0.121999    -0.749855
49756.50     1.821602    -0.200899    -0.423772
49756.75     1.935412     0.101261    -1.442539
49757.00     1.720833     0.031287    -0.345010
49757.25     1.522627     0.064435    -0.654032
49757.50     1.723042    -0.301306    -0.083087
49757.75     1.628201     0.032953    -1.348628
49758.00     1.483963    -0.028105    -0.484704
49758.25     0.935958     0.051644    -0.902158
49758.50     1.009642    -0.342221    -0.297216
49758.75     0.656656     0.014776    -1.166400
49759.00     0.415318    -0.106903     0.170768
49759.25    -0.112163     0.001812    -0.155383
49759.50     0.056494    -0.182697    -0.123194
49759.75    -0.282709     0.236052    -1.069374
49760.00    -0.645926     0.235123    -0.098715
49760.25    -1.401654     0.316947    -0.171920
49760.50    -1.411620     0.108780     0.110625
49760.75    -1.752215     0.519778    -0.631562
49761.00    -2.021110     0.596787     0.179962
49761.25    -2.323123     0.643324     0.185447
49761.50    -1.937732     0.262843     0.855514
49761.75    -2.026372     0.594796    -0.010706
49762.00    -2.133801     0.464896     1.325641
49762.25    -2.331817     0.510741     1.213051
49762.50    -2.079487     0.017747     2.344763
49762.75    -1.879904     0.252555     1.671368
49763.00    -1.747821     0.148636     2.748346
49763.25    -1.950572     0.240945     2.312035
49763.50    -1.472436    -0.036722     2.470389
49763.75    -1.276961     0.374267     0.956100
49764.00    -1.021367     0.421084     1.196952
49764.25    -1.025657     0.539214     0.014916
49764.50    -0.460796     0.340856    -0.169441
49764.75    -0.202711     0.820678    -1.944781
49765.00    -0.165159     0.850314    -1.203698
49765.25    -0.264415     0.844172    -1.347520
49765.50     0.030825     0.521769    -0.753818
49765.75    -0.080593     0.830112    -1.968101
49766.00    -0.212391     0.743060    -0.922603
49766.25    -0.724906     0.691629    -1.233792
49766.50    -0.561321     0.334049    -1.087477
49766.75    -0.668933     0.774457    -2.641345
49767.00    -0.703678     0.807648    -1.781690
49767.25    -1.031365     1.058472    -2.524592
49767.50    -0.599904     0.889887    -2.331692
49767.75    -0.607311     1.320411    -3.634503
49768.00    -0.755372     1.181221    -2.385198
49768.25    -1.224287     1.246105    -2.864569
49768.50    -0.856002     0.854250    -2.263916
49768.75    -0.837817     1.162776    -2.956108
49769.00    -0.817139     0.997332    -1.481500
49769.25    -0.964327     0.967007    -1.622225
49769.50    -0.572865     0.499540    -0.968599
49769.75    -0.605721     0.795595    -2.104807
49770.00    -0.539978     0.610159    -0.725375
49770.25    -0.754843     0.509720    -1.144665
49770.50    -0.615869     0.075245    -0.694917
49770.75    -0.619318     0.412150    -1.923795
49771.00    -0.532044     0.246609    -0.747773
49771.25    -0.849456     0.367098    -1.754928
49771.50    -0.334670     0.008331    -1.465269
49771.75    -0.165355     0.488416    -2.944418
49772.00    -0.083829     0.405645    -1.903796
49772.25    -0.286401     0.519990    -2.459800
49772.50     0.190909     0.127122    -1.944620
49772.75     0.223491     0.468683    -2.860665
49773.00     0.223215     0.262065    -1.405886
49773.25     0.029655     0.216299    -1.453601
49773.50     0.455442    -0.240173    -0.793603
49773.75     0.274826     0.099926    -2.000557
49774.00     0.238751    -0.113352    -0.630458
49774.25    -0.082591    -0.008089    -1.302501
49774.50     0.078245    -0.469760    -0.915321
49774.75    -0.103983    -0.100454    -2.265724
49775.00    -0.142698    -0.222297    -1.233330
49775.25    -0.594400    -0.106970    -1.880823
49775.50    -0.299740    -0.477866    -1.525490
49775.75    -0.216833    -0.091557    -2.896945
49776.00    -0.396592    -0.179433    -1.887300
49776.25    -0.614531    -0.011124    -2.671660
49776.50    -0.169666    -0.511839    -1.675502
49776.75    -0.138343    -0.032242    -3.075730
49777.00    -0.222358    -0.079974    -1.896220
49777.25    -0.585955     0.012912    -1.868722
49777.50    -0.498182    -0.358103    -1.057091
49777.75    -0.674140     0.054523    -2.026857
49778.00    -0.899520     0.010113    -0.735474
49778.25    -1.419966     0.191090    -0.899928
49778.50    -1.330183    -0.065201    -0.584005
49778.75    -1.304527     0.347992    -1.814718
49779.00    -1.262572     0.312873    -0.782363
49779.25    -1.430671     0.352983    -1.290421
49779.50    -0.947526    -0.039174    -0.727205
49779.75    -0.629442     0.244691    -1.898815
49780.00    -0.629809     0.122132    -0.821624
49780.25    -1.030384     0.065135    -1.096976
49780.50    -0.870962    -0.338825    -0.469882
49780.75    -0.771847     0.024259    -1.728601
49781.00    -1.106807    -0.031972    -0.640012
49781.25    -1.339304    -0.023566    -0.733703
49781.50    -1.089620    -0.384422    -0.079798
49781.75    -1.125173    -0.002731    -1.215833
49782.00    -0.998854    -0.235131     0.276954
49782.25    -1.356686    -0.363448     0.213006
49782.50    -1.140846    -0.805286     0.716889
49782.75    -1.096897    -0.424857    -0.939994
49783.00    -1.255949    -0.257427    -0.494132
49783.25    -1.823152    -0.028914    -1.387464
49783.50    -1.733670    -0.187095    -1.452179
49783.75    -1.914233     0.413124    -3.264002
49784.00    -1.946551     0.359687    -1.858920
49784.25    -2.364981     0.611977    -2.527751
49784.50    -2.055884     0.333393    -1.696015
49784.75    -2.117044     0.819190    -2.840366
49785.00    -2.046857     0.751406    -1.280396
49785.25    -2.342720     0.762228    -1.199142
49785.50    -2.152488     0.375175    -0.104451
49785.75    -2.122112     0.734031    -0.875948
49786.00    -2.109119     0.602594     0.812378
49786.25    -2.526907     0.736588     0.266935
49786.50    -2.297473     0.360853     0.972767
49786.75    -2.403821     0.742213     0.079413
49787.00    -2.581244     0.694256     1.406156
49787.25    -3.065364     0.802273     1.270426
49787.50    -2.665607     0.293908     2.466827
49787.75    -2.555042     0.639516     1.128380
49788.00    -2.391755     0.545841     2.078653
49788.25    -2.418067     0.618118     1.383172
49788.50    -2.032229     0.192571     1.744700
49788.75    -2.088343     0.762072    -0.661557
49789.00    -2.123471     0.744298    -0.357490
49789.25    -2.594263     0.933321    -1.772700
49789.50    -2.563539     0.666876    -1.851819
49789.75    -2.452424     1.050895    -3.345382
49790.00    -2.592780     1.017216    -2.522031
49790.25    -2.911427     1.123016    -3.444164
49790.50    -2.555489     0.745609    -2.857009
49790.75    -2.243326     1.025794    -4.047806
49791.00    -1.935085     0.839887    -2.528159
49791.25    -1.897891     0.888311    -2.706942
49791.50    -1.377778     0.428884    -1.855315
49791.75    -1.037318     0.695625    -2.910375
49792.00    -0.791881     0.352302    -1.381616
49792.25    -0.956907     0.373819    -1.624961
49792.50    -0.721220     0.021920    -1.164493
49792.75    -0.585476     0.310866    -2.029005
49793.00    -0.485596     0.150493    -0.673842
49793.25    -0.708581     0.371579    -1.195427
49793.50    -0.133392     0.016017    -0.697849
49793.75     0.213658     0.492140    -1.842423
49794.00     0.593956     0.319225    -0.435576
49794.25     0.599277     0.549263    -1.352871
49794.50     1.372127     0.022895    -0.510950
49794.75     1.595836     0.415727    -1.599321
49795.00     1.562778     0.268555     0.117468
49795.25     1.520015     0.279264     0.168975
49795.50     1.824572    -0.145959     0.968822
49795.75     1.797172     0.247835    -0.089683
49796.00     1.598663     0.147581     1.600790
49796.25     1.020053     0.227679     1.612582
49796.50     0.844908     0.040288     2.169068
49796.75     0.679066     0.463519     1.270913
49797.00     0.385291     0.401509     2.889572
49797.25    -0.452322     0.562147     2.393165
49797.50    -0.333320     0.195715     2.929900
49797.75    -0.633910     0.544743     1.662394
49798.00    -0.829495     0.497845     2.311353
49798.25    -1.187056     0.528988     1.622589
49798.50    -0.816127     0.261671     1.389194
49798.75    -0.948986     0.657563    -0.368514
49799.00    -0.998919     0.434116     0.884538
49799.25    -1.419677     0.495675     0.580403
49799.50    -1.264700     0.196088     0.900123
49799.75    -1.448575     0.558955    -0.363657
49800.00    -1.302469     0.335833     0.762787
49800.25    -1.420891     0.376810    -0.009859
49800.50    -0.802875    -0.015488     0.347812
49800.75    -0.541104     0.228386    -0.481116
49801.00    -0.069643    -0.047654     0.739084
49801.25    -0.081687    -0.118715     0.186690
49801.50     0.763984    -0.727874     0.676516
49801.75     1.103775    -0.499009    -0.368427
49802.00     1.155728    -0.677899     0.601220
49802.25     1.127995    -0.585694    -0.505290
49802.50     1.930976    -1.063338    -0.364796
49802.75     1.955424    -0.655360    -2.163407
49803.00     1.978520    -0.788050    -1.070407
49803.25     1.631605    -0.619354    -1.813973
49803.50     1.980465    -0.986393    -1.533475
49803.75     1.837675    -0.511211    -2.963203
49804.00     1.764593    -0.613112    -1.860107
49804.25     1.273964    -0.416104    -2.245958
49804.50     1.540415    -0.725605    -1.567952
49804.75     1.515806    -0.221995    -2.365620
49805.00     1.564045    -0.265187    -0.981014
49805.25     1.155001    -0.114786    -1.168036
49805.50     1.425038    -0.503496    -0.215997
49805.75     1.007525    -0.026636    -1.288885
49806.00     0.641523    -0.024100    -0.230359
49806.25     0.016839     0.165890    -0.604005
49806.50     0.281539    -0.170276    -0.103527
49806.75    -0.050100     0.333038    -1.199370
49807.00    -0.094987     0.298038     0.079730
49807.25    -0.478559     0.578249    -0.730931
49807.50    -0.083335     0.322971    -0.400085
49807.75    -0.145961     0.752006    -1.434317
49808.00    -0.042923     0.568799    -0.002482
49808.25    -0.278857     0.641546    -0.203533
49808.50     0.266702     0.207401     0.374001
49808.75     0.384680     0.508038    -0.451574
49809.00     0.658617     0.214179     1.149677
49809.25     0.455809     0.171837     1.001424
49809.50     1.106901    -0.322992     1.484813
49809.75     1.162178    -0.075234     0.461152
49810.00     1.141158    -0.240180     1.670275
49810.25     0.809449    -0.021526     0.557205
49810.50     1.221218    -0.306414     0.552353
49810.75     1.112337     0.159096    -0.860924
49811.00     0.941016     0.154098     0.244019
49811.25     0.375548     0.477396    -0.374979
49811.50     0.672310     0.213245     0.144090
49811.75     0.543933     0.650509    -0.714093
49812.00     0.168617     0.519810     0.716950
49812.25    -0.449323     0.593256     0.517058
49812.50    -0.364588     0.239093     1.061681
49812.75    -0.534758     0.549141     0.127470
49813.00    -0.588204     0.314068     1.500712
49813.25    -0.888049     0.314725     1.255125
49813.50    -0.487826    -0.136501     1.718659
49813.75    -0.512957     0.211468     0.448495
49814.00    -0.480170    -0.036054     1.647344
49814.25    -0.752342     0.032459     0.834442
49814.50    -0.404228    -0.297038     0.969444
49814.75    -0.066794     0.007359    -0.114927
49815.00    -0.028757    -0.139676     1.010754
49815.25    -0.288431    -0.014191     0.565002
49815.50     0.251812    -0.317903     0.681537
49815.75     0.267255     0.083019    -0.246122
49816.00     0.208785    -0.032118     0.872334
49816.25    -0.190726    -0.008079     0.654523
49816.50     0.213875    -0.393778     1.379558
49816.75     0.163475    -0.000633     0.298312
49817.00     0.049552    -0.064237     1.384763
49817.25    -0.371604     0.173447     0.525103
49817.50    -0.172213    -0.086325     0.569910
49817.75    -0.410543     0.335068    -0.568940
49818.00    -0.637819     0.230167     0.656406
49818.25    -1.082678     0.448131    -0.114821
49818.50    -0.826538    -0.152107     0.711847
49818.75    -0.963370     0.218078    -0.585808
49819.00    -0.973266    -0.052388     0.705114
49819.25    -1.406511     0.105250    -0.072773
49819.50    -1.098443    -0.250638     0.130560
49819.75    -1.254371     0.294324    -1.584519
49820.00    -1.310354     0.177640    -0.693274
49820.25    -1.766316     0.394174    -1.368532
49820.50    -1.441469     0.091163    -0.611162
49820.75    -1.579322     0.485911    -1.658583
49821.00    -1.753775     0.225379    -0.124572
49821.25    -2.138620     0.292463    -0.515893
49821.50    -1.736049    -0.239794     0.117453
49821.75    -1.793712    -0.017849    -0.946450
49822.00    -1.983637    -0.207034     0.184758
49822.25    -2.379974    -0.254506    -0.047530
49822.50    -1.910631    -0.728008     0.600055
49822.75    -1.895125    -0.368881    -0.381175
49823.00    -1.844595    -0.454805     0.635241
49823.25    -1.950693    -0.310877     0.231872
49823.50    -1.291247    -0.755618     0.909538
49823.75    -1.181726    -0.472158     0.029139
49824.00    -1.245320    -0.460253     0.556185
49824.25    -1.117421    -0.352106    -0.189771
49824.50    -0.977353    -0.474033    -0.332802
49824.75    -0.785557    -0.105526    -1.499405
49825.00    -0.752047    -0.066383    -0.709181
49825.25    -0.985024    -0.118315    -0.789952
49825.50    -0.667358    -0.476530     0.006753
49825.75    -0.588513    -0.213732    -0.396840
49826.00    -0.726719    -0.346199     1.138516
49826.25    -0.905245    -0.399867     0.965850
49826.50    -0.685441    -0.797128     1.416814
49826.75    -0.849561    -0.330152    -0.180606
49827.00    -1.110315    -0.404025     0.837068
49827.25    -1.456426    -0.303471     0.335889
49827.50    -1.147856    -0.689711     1.038908
49827.75    -1.121371    -0.407668    -0.141058
49828.00    -1.222430    -0.669535     1.044616
49828.25    -1.609265    -0.643750     0.381966
49828.50    -1.219711    -1.022280     0.643474
49828.75    -1.199201    -0.602615    -0.839122
49829.00    -1.150251    -0.629496    -0.371295
49829.25    -1.667910    -0.420820    -1.336022
49829.50    -1.345686    -0.681120    -1.376660
49829.75    -1.559860    -0.221872    -2.689876
49830.00    -1.715738    -0.314900    -1.588992
49830.25    -2.076476    -0.098846    -2.273892
49830.50    -1.493212    -0.586959    -1.604685
49830.75    -1.433729    -0.252665    -2.391544
49831.00    -1.314958    -0.465520    -0.833135
49831.25    -1.434032    -0.383761    -1.338711
49831.50    -0.867383    -0.860474    -0.654239
49831.75    -0.728122    -0.570691    -1.483461
49832.00    -0.715158    -0.792215     0.017065
49832.25    -0.913754    -0.668479    -0.598769
49832.50    -0.421701    -1.061233    -0.052158
49832.75    -0.392026    -0.696709    -0.891401
49833.00    -0.286534    -0.833335     0.400966
49833.25    -0.691695    -0.695870     0.059753
49833.50    -0.156524    -1.038877     0.350674
49833.75    -0.210168    -0.549363    -0.840199
49834.00    -0.295407    -0.648831     0.273602
49834.25    -0.795289    -0.399851    -0.233016
49834.50    -0.302219    -0.768004     0.160557
49834.75    -0.305700    -0.316710    -1.113617
49835.00    -0.460860    -0.387480    -0.311793
49835.25    -0.965652    -0.176809    -0.684233
49835.50    -0.698940    -0.458489    -0.485145
49835.75    -0.697888    -0.151422    -1.193240
49836.00    -0.694527    -0.364061     0.214754
49836.25    -1.051435    -0.256889    -0.320470
49836.50    -0.705830    -0.560192     0.239966
49836.75    -0.715159    -0.157906    -0.869221
49837.00    -0.596644    -0.327518     0.262140
49837.25    -0.708016    -0.268810    -0.327664
49837.50    -0.196085    -0.715802     0.296569
49837.75    -0.167484    -0.336136    -0.986739
49838.00    -0.142854    -0.497368     0.268327
49838.25    -0.412984    -0.209177    -0.470274
49838.50     0.038298    -0.558920     0.415783
49838.75    -0.067034    -0.127115    -0.268437
49839.00    -0.231940    -0.172259     1.155421
49839.25    -0.590886     0.056382     0.678712
49839.50    -0.331468    -0.328815     1.269559
49839.75    -0.601997     0.041047     0.097493
49840.00    -0.634513    -0.101331     1.192732
49840.25    -1.114577    -0.036865     0.566393
49840.50    -0.661417    -0.405110     0.672334
49840.75    -0.559215    -0.056714    -0.467910
49841.00    -0.454316    -0.244487     0.671155
49841.25    -0.644995    -0.159699     0.023578
49841.50    -0.117477    -0.646151     0.381462
49841.75    -0.004396    -0.410088    -0.588931
49842.00    -0.042645    -0.557778     0.554665
49842.25    -0.251911    -0.431305     0.034566
49842.50     0.186474    -0.726503     0.210378
49842.75     0.338578    -0.319548    -0.680564
49843.00     0.482687    -0.321220     0.299626
49843.25     0.166795    -0.196383     0.241361
49843.50     0.502236    -0.552238     1.060589
49843.75     0.463471    -0.233211     0.516843
49844.00     0.294325    -0.289647     1.457182
49844.25    -0.277466    -0.185935     1.051103
49844.50    -0.009432    -0.549768     1.473117
49844.75    -0.173249    -0.261719     0.641116
49845.00    -0.280540    -0.323656     1.352168
49845.25    -0.629455    -0.275077     0.794271
49845.50    -0.159382    -0.806214     1.471404
49845.75    -0.169871    -0.454524     0.026335
49846.00    -0.058636    -0.714308     1.261843
49846.25    -0.195113    -0.565538     0.324547
49846.50     0.397395    -1.006532     0.704356
49846.75     0.675069    -0.638676    -0.656850
49847.00     0.791215    -0.910899     0.840980
49847.25     0.616765    -0.741947     0.182571
49847.50     0.910483    -1.116820     0.878047
49847.75     0.945049    -0.660207    -0.182779
49848.00     0.761979    -0.771949     1.117536
49848.25     0.366660    -0.534843     0.920192
49848.50     0.625746    -0.826222     1.679202
49848.75     0.462515    -0.396425     0.866681
49849.00     0.141196    -0.526513     2.268203
49849.25    -0.326963    -0.372062     2.099730
49849.50    -0.208065    -0.703526     2.681195
49849.75    -0.410337    -0.410332     1.988375
49850.00    -0.624376    -0.568419     3.116340
49850.25    -1.169226    -0.514405     2.943934
49850.50    -0.839881    -0.944451     3.461136
49850.75    -0.800373    -0.609762     2.418196
49851.00    -0.714935    -0.782436     3.254330
49851.25    -0.786380    -0.613717     2.125493
49851.50    -0.128361    -0.907795     1.917035
49851.75     0.082060    -0.451818     0.335810
49852.00     0.115830    -0.564799     1.206722
49852.25    -0.195377    -0.438251     0.700825
49852.50     0.346744    -0.731700     0.925830
49852.75     0.352926    -0.375271     0.105164
49853.00     0.436509    -0.554716     1.576640
49853.25     0.053606    -0.463137     1.579261
49853.50     0.414799    -0.779199     2.088059
49853.75     0.388996    -0.543901     1.450417
49854.00     0.141012    -0.611333     2.610551
49854.25    -0.310316    -0.481075     1.946678
49854.50    -0.135141    -0.795910     2.259230
49854.75    -0.289826    -0.494824     0.925475
49855.00    -0.536265    -0.577814     1.752460
49855.25    -0.986307    -0.464544     0.897347
49855.50    -0.667434    -0.686359     0.736197
49855.75    -0.891704    -0.315920    -0.692558
49856.00    -1.116176    -0.351387    -0.076835
49856.25    -1.601434    -0.226298    -0.633406
49856.50    -1.574887    -0.352541    -0.757668
49856.75    -1.871950     0.045365    -1.691632
49857.00    -2.098284    -0.073351    -0.697573
49857.25    -2.554990     0.106776    -1.134119
49857.50    -2.298499    -0.154544    -0.955766
49857.75    -2.271422     0.069776    -1.615806
49858.00    -2.137301    -0.214020    -0.427576
49858.25    -2.439874    -0.211424    -0.728243
49858.50    -1.952305    -0.571800    -0.406559
49858.75    -1.787649    -0.310121    -1.296160
49859.00    -1.822319    -0.464985    -0.095531
49859.25    -1.989813    -0.386243    -0.463524
49859.50    -1.402202    -0.763528     0.105916
49859.75    -1.431169    -0.387790    -1.002740
49860.00    -1.583928    -0.473205    -0.121521
49860.25    -1.843044    -0.337066    -0.465317
49860.50    -1.383505    -0.661885    -0.256224
49860.75    -1.484658    -0.331071    -1.159327
49861.00    -1.407096    -0.448863    -0.119386
49861.25    -1.823449    -0.306762    -0.482437
49861.50    -1.351792    -0.605414    -0.417958
49861.75    -1.377713    -0.290388    -1.228486
49862.00    -1.286780    -0.523167     0.211606
49862.25    -1.672115    -0.373812    -0.120906
49862.50    -1.315097    -0.722293     0.412153
49862.75    -1.464096    -0.304307    -0.609437
49863.00    -1.401979    -0.437662     0.410595
49863.25    -1.741687    -0.205074    -0.227947
49863.50    -1.282824    -0.553031     0.481375
49863.75    -1.364256    -0.103918    -0.757115
49864.00    -1.349858    -0.221004     0.374684
49864.25    -1.805188    -0.054168    -0.231214
49864.50    -1.515637    -0.445863     0.124778
49864.75    -1.642061    -0.093616    -0.853556
49865.00    -1.674158    -0.284484     0.316688
49865.25    -2.073835    -0.126270    -0.093555
49865.50    -1.479695    -0.524752     0.223589
49865.75    -1.411671    -0.223547    -0.638089
49866.00    -1.241503    -0.457472     0.708059
49866.25    -1.354306    -0.269144     0.207154
49866.50    -0.752601    -0.727059     0.866929
49866.75    -0.726790    -0.275120    -0.334695
49867.00    -0.797862    -0.378518     0.613249
49867.25    -1.129275    -0.102103    -0.150808
49867.50    -0.650124    -0.425965     0.108751
49867.75    -0.604503    -0.002396    -1.025608
49868.00    -0.734872    -0.162959     0.274714
49868.25    -1.187783    -0.022889    -0.305772
49868.50    -0.868489    -0.324023    -0.073045
49868.75    -0.843369    -0.033576    -1.213113
49869.00    -0.907042    -0.281905     0.129829
49869.25    -1.106955    -0.178273    -0.315818
49869.50    -0.765673    -0.567585     0.253916
49869.75    -0.721800    -0.294871    -0.554287
49870.00    -0.783229    -0.497298     0.626394
49870.25    -1.025758    -0.530171     0.587544
49870.50    -0.728078    -0.812560     0.965834
