-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
SCH2        49718.000    1995     1     1     0
SCH2        52274.750    2001    12    31    18
SCH2      1448636.903 -3385243.649  5191046.936
49817.25    -0.544135    -0.954701     0.771159
49817.50    -0.731993    -0.751561    -0.636392
49817.75    -1.215880    -0.993288    -2.267109
49818.00    -1.016621    -0.942756    -3.100638
49818.25    -1.155509    -0.893923    -3.819377
49818.50    -1.004800    -0.381038    -4.492614
49818.75    -1.323296    -0.426369    -5.464553
49819.00    -1.018220    -0.245182    -5.345752
49819.25    -1.157020    -0.077467    -5.212293
49819.50    -1.117860     0.391204    -4.029762
49819.75    -1.430816     0.248636    -3.320718
49820.00    -1.035043     0.214273    -1.748315
49820.25    -0.948178     0.191479    -0.682931
49820.50    -0.533884     0.435791     0.677560
49820.75    -0.702951     0.129548     1.069387
49821.00    -0.451924    -0.118512     0.856123
49821.25    -0.490060    -0.227252    -0.438426
49821.50    -0.351029     0.074044    -1.967816
49821.75    -0.575933    -0.112251    -3.806512
49822.00    -0.261246    -0.273602    -4.561534
49822.25    -0.242483    -0.205744    -4.945843
49822.50     0.061852     0.200078    -4.588025
49822.75    -0.087274     0.016121    -4.124370
49823.00     0.081895    -0.018352    -3.509186
49823.25    -0.086450    -0.028511    -3.262974
49823.50     0.015151     0.354560    -3.003653
49823.75    -0.431975     0.182667    -3.931391
49824.00    -0.340818     0.145892    -4.104652
49824.25    -0.230660     0.167480    -4.208013
49824.50    -0.281485     0.209997    -3.828588
49824.75    -0.482715    -0.107865    -3.092889
49825.00    -0.305821    -0.263190    -2.893596
49825.25    -0.409422    -0.203004    -3.611476
49825.50    -0.217432     0.089955    -4.316294
49825.75    -0.434316    -0.103484    -5.182673
49826.00    -0.048725    -0.036361    -4.298854
49826.25    -0.001811     0.179160    -3.589672
49826.50     0.146751     0.694029    -2.275010
49826.75    -0.229711     0.678371    -1.433015
49827.00    -0.099371     0.677474    -0.659354
49827.25    -0.332067     0.680870     0.144293
49827.50    -0.254952     0.860481     0.458631
49827.75    -0.714990     0.515367    -0.078684
49828.00    -0.552306     0.246825    -1.234251
49828.25    -0.714816     0.140691    -2.686649
49828.50    -0.625155     0.443540    -3.781824
49828.75    -0.865504     0.234478    -4.273119
49829.00    -0.519670     0.316787    -3.635530
49829.25    -0.564363     0.326711    -3.292403
49829.50    -0.388080     0.682209    -2.410333
49829.75    -0.697180     0.402644    -2.040444
49830.00    -0.512827     0.259428    -2.062505
49830.25    -0.570000     0.069901    -2.249013
49830.50    -0.204229     0.424251    -1.887076
49830.75    -0.432944     0.041404    -1.178952
49831.00    -0.001525     0.009939    -0.511499
49831.25    -0.015853     0.104607     0.147697
49831.50     0.226902     0.606060     0.757840
49831.75     0.039799     0.568204     0.596616
49832.00     0.368292     0.570680     0.092335
49832.25     0.263703     0.650140    -0.690828
49832.50     0.456758     1.037133    -1.166041
49832.75     0.220383     0.688027    -1.972147
49833.00     0.480020     0.538740    -1.979316
49833.25     0.416908     0.490775    -2.808718
49833.50     0.463431     0.827717    -4.230023
49833.75     0.011286     0.439965    -5.850956
49834.00     0.159136     0.227107    -6.673817
49834.25    -0.021561    -0.028989    -7.488179
49834.50     0.116179     0.249520    -7.901602
49834.75    -0.203094    -0.080886    -8.327007
49835.00    -0.092541    -0.129362    -8.066738
49835.25    -0.257053    -0.186730    -8.182213
49835.50    -0.234601     0.128175    -7.423978
49835.75    -0.570215    -0.062749    -7.162546
49836.00    -0.269390    -0.141616    -6.235245
49836.25    -0.367035    -0.143781    -5.992777
49836.50    -0.255064     0.094250    -5.518963
49836.75    -0.594310    -0.168197    -5.155405
49837.00    -0.224078    -0.196306    -4.156040
49837.25    -0.334733    -0.132118    -3.544940
49837.50    -0.200169     0.171974    -2.883411
49837.75    -0.575226    -0.081339    -2.711173
49838.00    -0.267209    -0.169646    -2.546729
49838.25    -0.402281    -0.256637    -2.587088
49838.50    -0.281814     0.064905    -1.979829
49838.75    -0.499559    -0.111433    -2.103136
49839.00    -0.237635    -0.160930    -1.796659
49839.25    -0.274311    -0.236060    -1.727840
49839.50    -0.177491     0.031471    -1.724555
49839.75    -0.602754    -0.225154    -2.015947
49840.00    -0.288249    -0.290112    -2.026145
49840.25    -0.390777    -0.241219    -2.250535
49840.50    -0.227384     0.101441    -2.318884
49840.75    -0.466528    -0.087643    -2.204365
49841.00    -0.108969    -0.087666    -1.954904
49841.25    -0.232229    -0.003792    -1.387143
49841.50    -0.116697     0.473060    -1.023752
49841.75    -0.386986     0.316421    -1.086139
49842.00    -0.008583     0.280267    -0.608888
49842.25     0.008008     0.252284    -0.158607
49842.50     0.156395     0.605789     0.327139
49842.75    -0.080398     0.369102     0.351855
49843.00     0.289843     0.302578     0.697024
49843.25     0.269878     0.198742     0.700156
49843.50     0.583571     0.359553     0.610325
49843.75     0.450827    -0.042074     0.209591
49844.00     0.611372    -0.229445    -0.484521
49844.25     0.456892    -0.268086    -1.732011
49844.50     0.600358     0.026194    -2.821729
49844.75     0.396738    -0.185306    -4.529619
49845.00     0.633861    -0.300274    -5.816567
49845.25     0.551914    -0.268171    -7.036843
49845.50     0.810147     0.111092    -7.426495
49845.75     0.439554    -0.008981    -7.908930
49846.00     0.737348     0.031891    -7.525556
49846.25     0.656920     0.092745    -7.035966
49846.50     0.862093     0.495273    -6.434220
49846.75     0.669838     0.411136    -5.930855
49847.00     0.979184     0.475135    -4.901306
49847.25     0.975767     0.535494    -4.772747
49847.50     1.123250     0.949174    -4.367281
49847.75     0.823527     0.772236    -3.974662
49848.00     0.902186     0.801087    -3.002806
49848.25     0.814937     0.733775    -2.672822
49848.50     0.848011     1.055085    -1.800958
49848.75     0.504934     0.774383    -1.255302
49849.00     0.586963     0.654542    -0.650829
49849.25     0.554010     0.591936     0.053221
49849.50     0.447381     0.825047     0.171555
49849.75     0.127908     0.480946    -0.296081
49850.00     0.259403     0.324569    -0.682536
49850.25     0.198484     0.221484    -1.956699
49850.50     0.304573     0.458400    -3.214545
49850.75     0.146196     0.265988    -4.460039
49851.00     0.401621     0.344116    -4.590021
49851.25     0.381341     0.481549    -5.189702
49851.50     0.533899     1.094439    -4.393550
49851.75     0.268232     1.038491    -3.573250
49852.00     0.446975     1.093235    -2.352165
49852.25     0.390849     1.087655    -1.719302
49852.50     0.477758     1.448621    -1.108176
49852.75     0.177421     1.045485    -1.088393
49853.00     0.572226     0.804000    -1.004055
49853.25     0.542407     0.575012    -1.956932
49853.50     0.688476     0.734397    -2.182506
49853.75     0.564887     0.474353    -2.630886
49854.00     0.805064     0.425022    -1.743505
49854.25     0.782942     0.510049    -2.012042
49854.50     0.866464     0.804024    -1.870733
49854.75     0.487803     0.768641    -1.440604
49855.00     0.574110     0.735962    -0.563628
49855.25     0.334356     0.723247    -0.636673
49855.50     0.361596     0.949774    -0.052051
49855.75    -0.222025     0.647719    -0.050614
49856.00    -0.273774     0.484000     0.104037
49856.25    -0.410243     0.371638     0.137873
49856.50    -0.540926     0.428972     0.283252
49856.75    -0.972442     0.054735     0.062878
49857.00    -0.939249    -0.065035     0.331862
49857.25    -0.991293    -0.116322     0.617467
49857.50    -0.981325     0.121943     0.698992
49857.75    -1.219014    -0.002492     0.641413
49858.00    -0.901333     0.071376     0.347700
49858.25    -0.949402     0.132671    -0.324481
49858.50    -0.789651     0.464618    -0.820738
49858.75    -1.016000     0.340298    -1.423397
49859.00    -0.798033     0.305028    -2.094966
49859.25    -0.826303     0.275683    -2.653030
49859.50    -0.617900     0.524708    -2.345793
49859.75    -0.992789     0.216157    -2.691945
49860.00    -0.949635    -0.037427    -2.828119
49860.25    -0.928759    -0.159659    -3.122932
49860.50    -0.752883     0.092483    -3.398373
49860.75    -1.041184    -0.109518    -3.586756
49861.00    -0.693974    -0.121317    -3.442749
49861.25    -0.589915    -0.127027    -3.368649
49861.50    -0.470896     0.158283    -2.957768
49861.75    -0.643475    -0.072444    -3.183954
49862.00    -0.348411    -0.152067    -3.393830
49862.25    -0.373762    -0.264716    -4.136287
49862.50    -0.364373    -0.058216    -5.251247
49862.75    -0.845276    -0.256335    -6.155196
49863.00    -0.621903    -0.278428    -6.267691
49863.25    -0.766225    -0.368939    -7.127456
49863.50    -0.617362    -0.081250    -7.079705
49863.75    -0.894523    -0.289914    -7.666165
49864.00    -0.588798    -0.303815    -7.570634
49864.25    -0.670096    -0.330960    -8.254483
49864.50    -0.621120     0.005196    -8.499423
49864.75    -1.000178    -0.128752    -8.697217
49865.00    -0.795823    -0.092024    -8.064194
49865.25    -0.870920    -0.053928    -7.933516
49865.50    -0.697065     0.444427    -6.888341
49865.75    -0.981558     0.388489    -5.581952
49866.00    -0.495339     0.437682    -3.900301
49866.25    -0.312850     0.457769    -2.554673
49866.50    -0.002449     0.821667    -1.253826
49866.75    -0.229745     0.591186     0.112352
49867.00    -0.044459     0.428621     0.593248
49867.25    -0.058341     0.227300     0.587134
49867.50     0.162915     0.479004     0.054183
49867.75    -0.060264     0.305116     0.035708
49868.00    -0.004528     0.355639     0.111876
49868.25    -0.207781     0.463359     0.382816
49868.50    -0.309979     0.800265     0.895993
49868.75    -0.773075     0.615701     1.542216
49869.00    -0.653086     0.517428     1.924603
