"Table FG2. Married Couple Family Groups, by Family Income, Labor Force Status of Both Spouses, and Race and Hispanic Origin/1 of the Reference Person: 2005",,,,,,,,,,,

(Numbers in thousands.),,,,,,,,,,,

"Black only, All Married Couple Family Groups",,All Married Couples,Both in Labor Force,,,,Only Husband in Labor Force,,Only Wife in Labor Force,,Neither in Labor
,,,,,,,,,,,Force
,,,Both Employed,Only Husband Employed,Only Wife Employed,Both Unemployed,Husband Employed,Husband Unemployed,Wife Employed,Wife Unemployed,Not Employed
MARRIED COUPLE FAMILY GROUPS,TOTAL,"4,168","2,148",80,135,17,706,46,397,10,628
,".Family Income Under $10,000",181,15,1,2,2,39,8,15,1,97
,".$10,000 to $14,999",151,21,3,5,2,17,4,11,3,84
,".$15,000 to $19,999",183,24,5,6,2,38,7,24,1,76
,".$20,000 to $24,999",260,30,0,9,-,75,6,40,1,100
,".$25,000 to $29,999",210,52,2,8,-,62,4,37,-,44
,".$30,000 to $39,999",482,191,13,12,2,108,5,81,2,67
,".$40,000 to $49,999",450,247,15,9,2,79,9,44,-,44
,".$50,000 to $74,999",992,636,22,43,1,146,3,84,-,58
,".$75,000 to $99,999",611,446,9,27,4,65,-,39,-,21
,".$100,000 and over",647,486,9,14,1,77,-,20,2,37
WITHOUT OWN CHILDREN UNDER 18 YEARS,TOTAL,"2,145",882,23,45,7,317,30,264,5,571
,".Family Income Under $10,000",130,6,-,2,-,20,6,15,-,81
,".$10,000 to $14,999",101,8,-,2,-,3,-,8,3,78
,".$15,000 to $19,999",128,7,2,4,-,19,4,19,-,73
,".$20,000 to $24,999",172,14,0,5,-,28,6,25,-,94
,".$25,000 to $29,999",102,14,-,-,-,28,2,15,-,42
,".$30,000 to $39,999",213,56,6,5,2,34,2,46,1,61
,".$40,000 to $49,999",220,104,3,2,-,38,7,32,-,33
,".$50,000 to $74,999",464,256,5,13,-,77,3,58,-,52
,".$75,000 to $99,999",259,162,2,7,4,35,-,28,-,21
,".$100,000 and over",355,254,4,5,1,34,-,18,2,36
WITH OWN CHILDREN UNDER 18 YEARS,TOTAL,"2,023","1,267",57,90,9,389,16,133,5,57
,".Family Income Under $10,000",51,9,1,-,2,19,2,1,1,16
,".$10,000 to $14,999",49,14,3,3,2,13,4,4,-,6
,".$15,000 to $19,999",55,17,3,2,2,19,3,5,1,3
,".$20,000 to $24,999",88,15,-,3,-,46,-,16,1,6
,".$25,000 to $29,999",108,38,2,8,-,34,3,22,-,2
,".$30,000 to $39,999",268,135,7,7,-,75,3,35,1,6
,".$40,000 to $49,999",230,144,12,8,2,40,2,12,-,10
,".$50,000 to $74,999",528,379,17,30,1,69,-,26,-,6
,".$75,000 to $99,999",352,284,7,20,-,30,-,11,-,-
,".$100,000 and over",292,232,5,9,-,43,-,1,-,2




"Black only, Married Couple Related Subfamily",,All Married Couples,Both in Labor Force,,Only Husband in,Only Wife in Labor,Neither in Labor
,,,,,Labor Force,Force,Force
,,,Both Employed,Only Husband Employed,Husband Employed,Wife Employed,Not Employed
MARRIED COUPLE FAMILY GROUPS,TOTAL,99,55,1,20,9,13
,".Family Income Under $10,000",7,2,1,1,1,1
,".$10,000 to $14,999",7,2,-,1,-,4
,".$15,000 to $19,999",5,-,-,-,3,2
,".$20,000 to $24,999",7,3,-,1,-,3
,".$25,000 to $29,999",10,3,-,8,-,-
,".$30,000 to $39,999",9,7,-,2,0,-
,".$40,000 to $49,999",11,7,-,1,-,2
,".$50,000 to $74,999",25,21,-,3,1,-
,".$75,000 to $99,999",9,6,-,-,3,-
,".$100,000 and over",7,5,-,2,-,0
WITHOUT OWN CHILDREN UNDER 18 YEARS,TOTAL,56,26,1,11,8,10
,".Family Income Under $10,000",7,2,1,1,1,1
,".$10,000 to $14,999",4,-,-,1,-,3
,".$15,000 to $19,999",3,-,-,-,1,2
,".$20,000 to $24,999",6,3,-,1,-,1
,".$25,000 to $29,999",4,-,-,4,-,-
,".$30,000 to $39,999",1,1,-,-,0,-
,".$40,000 to $49,999",7,3,-,1,-,2
,".$50,000 to $74,999",14,11,-,1,1,-
,".$75,000 to $99,999",8,5,-,-,3,-
,".$100,000 and over",2,2,-,-,-,0
WITH OWN CHILDREN UNDER 18 YEARS,TOTAL,43,30,-,9,1,3
,".$10,000 to $14,999",3,2,-,-,-,1
,".$15,000 to $19,999",1,-,-,-,1,-
,".$20,000 to $24,999",2,-,-,-,-,2
,".$25,000 to $29,999",6,3,-,4,-,-
,".$30,000 to $39,999",8,6,-,2,-,-
,".$40,000 to $49,999",4,4,-,-,-,-
,".$50,000 to $74,999",12,10,-,2,-,-
,".$75,000 to $99,999",1,1,-,-,-,-
,".$100,000 and over",5,4,-,2,-,-




"Black only, Married Couple Unrelated Subfamily",,All Married Couples,Only Husband in,,,,
,,,Labor Force,,,,
,,,Husband Employed,,,,
MARRIED COUPLE FAMILY GROUPS,TOTAL,2,2,,,,
,".$20,000 to $24,999",2,2,,,,
WITHOUT OWN CHILDREN UNDER 18 YEARS,TOTAL,2,2
,".$20,000 to $24,999",2,2

'- Represents or rounds to zero.,,,

"""Own Children"" exclude ever-married children under 18 years.",,,

1/Hispanics may be of any race.,,,

"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,

"Internet Release Date: September 21, 2006",,,
