Large,"Denver-Aurora, CO",7,8,12,13,15,18,19,23,26,29,32,32,34,35,(R) 31,31,-3,72,343,54
Very large,"Detroit, MI",7,7,20,21,28,(R) 33,28,26,26,27,27,26,24,26,27,30,11,50,329,56
Medium,"El Paso, TX-NM",1,1,2,3,4,4,5,5,4,5,5,8,9,11,10,10,100,1,900,6
Small,"Eugene, OR",1,1,2,2,2,3,2,2,3,3,4,5,6,5,5,5,25,33,400,44
Medium,"Fresno, CA",3,3,7,7,7,5,5,5,6,7,8,10,10,8,8,7,-13,80,133,77
Medium,"Grand Rapids, MI",2,2,4,5,6,8,8,7,8,(R) 9,11,11,10,(R) 9,(R) 10,10,-9,75,400,44
Medium,"Hartford, CT",(R) 2,2,3,4,6,5,5,5,(R) 5,(R) 7,8,8,8,9,9,8,0,60,300,59
Medium,"Honolulu, HI",4,6,13,13,14,13,13,14,13,12,12,13,10,11,10,11,-8,74,175,74
Very large,"Houston, TX",19,33,23,17,17,(R) 20,(R) 23,25,(R) 27,(R) 31,29,35,31,(R) 34,(R) 37,36,24,38,89,82
Large,"Indianapolis, IN",2,2,4,5,7,13,17,19,22,24,19,19,20,21,20,21,11,53,950,5
Medium,"Jacksonville, FL",3,4,10,10,13,13,14,18,17,18,15,15,14,15,17,18,20,40,500,29
Large,"Kansas City, MO-KS",1,2,3,3,4,6,8,6,8,9,9,11,9,9,8,9,0,60,800,10
Small,"Laredo, TX",1,1,1,1,1,1,1,2,2,3,3,4,3,4,4,4,33,20,300,59
Large,"Las Vegas, NV",3,5,12,13,11,10,13,13,14,16,16,17,17,15,(R) 16,16,0,60,433,42
Small,"Little Rock, AR",1,1,2,2,2,3,3,3,3,(R) 3,5,(R) 5,5,6,5,5,0,60,400,44
Very large,"Los Angeles-Long Beach-Santa Ana, CA",19,24,53,51,51,51,46,49,54,52,56,55,(R) 53,(R) 51,(R) 52,50,-11,78,163,75
Medium,"Louisville, KY-IN",4,5,5,7,9,12,14,13,17,19,19,21,20,(R) 19,(R) 21,22,16,44,450,40
Medium,"Memphis, TN-MS-AR",1,2,5,6,7,7,9,11,11,13,13,13,(R) 15,16,(R) 17,18,38,15,"1,700",2
Very large,"Miami, FL",5,6,13,14,18,18,19,19,21,22,22,24,26,27,29,29,32,25,480,37
Large,"Milwaukee, WI",2,3,5,6,7,9,9,(R) 12,12,12,13,(R) 14,14,13,(R) 13,13,0,60,550,27
Large,"Minneapolis-St. Paul, MN",1,4,8,9,11,14,15,17,17,23,23,26,(R) 22,(R) 24,(R) 23,23,0,60,"2,200",1
Medium,"Nashville-Davidson, TN",6,7,9,8,7,10,12,14,(R) 16,18,16,(R) 18,20,(R) 18,(R) 21,20,25,33,233,66
Medium,"New Haven, CT",2,2,(R) 3,4,5,5,5,5,4,6,9,11,12,(R) 13,(R) 12,11,22,39,450,40
Large,"New Orleans, LA",4,5,6,8,7,7,12,11,11,11,11,11,10,10,9,10,-9,75,150,76
Very large,"New York-Newark, NY-NJ-CT",6,7,18,(R) 14,13,14,16,18,18,20,21,23,21,22,23,23,10,54,283,63
Large,"Oklahoma City, OK",1,2,2,3,3,3,3,4,5,6,6,8,6,6,7,7,17,43,600,20
Medium,"Omaha, NE-IA",2,3,5,5,6,6,8,8,9,9,10,11,(R) 11,12,12,13,30,27,550,27
Large,"Orlando, FL",5,9,11,16,17,19,19,19,21,24,27,26,(R) 30,(R) 31,(R) 30,30,11,50,500,29
Medium,"Oxnard-Ventura, CA",2,5,8,7,7,7,10,11,12,10,(R) 11,12,15,17,17,18,64,9,800,10
Small,"Pensacola, FL-AL",1,2,6,7,7,8,8,8,8,9,9,10,11,10,10,10,11,50,900,6
Very large,"Philadelphia, PA-NJ-DE-MD",5,6,9,12,13,11,12,(R) 15,(R) 15,15,(R) 20,21,18,21,22,21,5,56,320,57
Very large,"Phoenix, AZ",7,8,15,17,19,19,19,16,21,23,20,25,24,(R) 26,(R) 25,26,30,27,271,64
Large,"Pittsburgh, PA",4,5,7,7,7,6,6,7,7,8,8,9,7,7,7,8,0,60,100,78,
Large,"Portland, OR-WA",3,3,8,9,11,14,14,16,18,19,20,21,20,(R) 21,(R) 21,20,0,60,567,26,
Large,"Providence, RI-MA",2,3,6,6,7,8,8,9,10,(R) 9,10,(R) 12,(R) 12,12,17,18,80,5,800,10,
Medium,"Raleigh-Durham, NC",3,5,(R) 8,7,9,10,11,11,11,12,(R) 11,11,12,16,14,15,36,18,400,44,
Medium,"Richmond, VA",2,2,4,5,6,6,8,12,(R) 13,(R) 11,(R) 10,10,7,7,8,9,-10,77,350,53,
Large,"Riverside-San Bernardino, CA",4,7,20,23,25,24,20,22,24,25,29,28,(R) 28,(R) 28,(R) 29,30,3,57,650,19,
Medium,"Rochester, NY",0,1,2,1,2,2,2,3,3,3,3,4,3,3,3,4,33,20,NM,NM,
Large,"Sacramento, CA",5,7,14,14,13,13,16,14,17,15,(R) 16,(R) 17,(R) 18,(R) 20,(R) 21,22,38,17,340,55,
Small,"Salem, OR",1,1,3,4,4,4,5,4,5,6,6,6,6,(R) 7,8,8,33,20,700,15,
Medium,"Salt Lake City, UT",1,2,4,5,6,7,9,9,8,7,8,9,10,14,(R) 16,16,100,1,"1,500",3,
Large,"San Antonio, TX",3,7,6,6,7,6,5,10,10,10,13,19,21,19,19,18,38,15,500,29,
Large,"San Diego, CA",3,6,16,14,14,13,14,14,14,17,16,20,20,(R) 22,(R) 27,28,75,6,833,9,
Very large,"San Francisco-Oakland, CA",12,24,36,28,26,28,24,31,31,28,32,34,(R) 36,(R) 37,(R) 38,37,16,45,208,69,
Large,"San Jose, CA",10,21,43,35,26,25,24,26,25,23,26,31,(R) 32,32,29,29,12,49,190,71,
Medium,"Sarasota-Bradenton, FL",5,5,5,6,6,7,7,6,8,8,8,10,9,9,(R) 10,10,25,33,100,78,
Large,"Seattle, WA",5,9,22,24,(R) 25,25,25,(R) 27,29,(R) 30,(R) 30,(R) 30,(R) 26,25,(R) 26,25,-17,81,400,44,
Small,"Spokane, WA",1,2,2,3,3,5,6,4,4,5,5,6,5,5,5,5,0,60,400,44
Medium,"Springfield, MA-CT",3,3,4,3,4,(R) 3,3,4,4,4,4,4,5,4,5,4,0,60,33,84
Large,"St. Louis, MO-IL",6,8,9,9,11,15,16,18,18,20,(R) 20,(R) 21,(R) 22,(R) 19,(R) 21,19,-5,73,217,67
Large,"Tampa-St. Petersburg, FL",8,9,14,17,18,20,23,23,22,21,21,22,20,23,23,25,19,42,213,68
Medium,"Toledo, OH-MI",1,1,2,2,2,2,3,4,4,5,5,6,(R) 7,7,7,7,40,12,600,20
Medium,"Tucson, AZ",2,2,5,6,6,7,8,8,8,11,(R) 11,(R) 11,11,13,(R) 16,19,73,7,850,8
Medium,"Tulsa, OK",1,2,3,3,3,3,2,3,4,5,(R) 5,6,(R) 7,7,7,7,40,12,600,20
Large,"Virginia Beach, VA",5,7,9,8,9,8,10,11,12,12,14,14,10,12,(R) 14,14,0,60,180,72
Very large,"Washington, DC-VA-MD",10,14,21,22,24,(R) 25,26,28,(R) 30,(R) 29,(R) 33,(R) 34,(R) 31,(R) 32,33,34,3,58,240,65
NA,85-Area Average,(R) 6,9,17,16,17,18,18,20,21,22,23,(R) 24,(R) 23,(R) 24,(R) 25,25,9,NA,317,NA
NA,Very Large Area Average ,9,13,(R) 24,(R) 22,24,(R) 24,24,26,28,28,(R) 30,(R) 31,(R) 30,(R) 30,(R) 32,32,7,NA,256,NA
NA,Large Area Average ,4,6,(R) 11,12,(R) 12,(R) 13,(R) 14,(R) 15,(R) 16,(R) 18,(R) 18,(R) 19,(R) 19,(R) 19,20,18,0,NA,350,NA
NA,Medium Area Average ,2,3,(R) 5,6,7,7,8,9,10,11,11,12,(R) 12,(R) 12,(R) 13,13,18,NA,550,NA
NA,Small Area Average ,2,2,(R) 3,4,4,4,4,(R) 4,(R) 4,5,6,6,(R) 7,(R) 7,7,7,17,NA,289,NA
KEY: NA = not applicable; NM = not meaningful; R = revised.,,,,,,,,,,,,,,,,,,,,,
Very large urban areas – over 3 million population.,,,,,,,,,,,,,,,,,,,,,
Large urban areas – over 1 million and less than 3 million population.,,,,,,,,,,,,,,,,,,,,,
"Medium urban areas – over 500,000 and less than 1 million population.",,,,,,,,,,,,,,,,,,,,,
"Small urban areas – less than 500,000 population.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
a Percent changes were calculated using the numbers in this table and were not obtained from the source. Rank is based on the calculated percent change with the highest number corresponding to a rank of 1.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,
"The urban areas included are those containing over 500,000 people and several smaller places mostly chosen by previous sponsors of the Texas Transportation Institute study on mobility.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,
"Texas Transportation Institute, The 2005 Annual Urban Mobility Report (College Station, TX: 2005), Internet site http://mobility.tamu.edu as of June 7, 2005.",,,,,,,,,,,,,,,,,,,,,
