PLAY	PLYCDE	FIELD	FLDCDE	JURIS	LEASE AREA	HC	DISC	PDEP	WDEP	TRAP	DRIVE	PAY	AREA	POR	PERM	TI	PI	SW	API	SPGR	O-GR	YIELD	CUMO	CUMG	RESO	RESG	RFO	RFG
upla1	1411	EI341	831341	FEDERAL	EUGENE ISLAND	G	79	2732	273	B	COM	59	892	0.34		104	1266	0.18	0.0	0.60	0	0.4	5	5886	16	41275		0.84
upla1	1411	EI342	831342	FEDERAL	EUGENE ISLAND	G	73	2711	293	H	PAR	93	6366	0.35		111	1273	0.17	40.0	0.57	1748	0.0	11211	529041	1217	16687	0.38	0.85
upla1	1411	EI361	831361	FEDERAL	EUGENE ISLAND	G	81	1900	307	D	WD	33	74	0.36		95	1075	0.16	0.0	0.60	0	11.6	0	0	20	1727		0.71
upla1	1411	EI366	831366	FEDERAL	EUGENE ISLAND	G	87	4335	337	B	PAR	59	462	0.32		127	1981	0.21	0.0	0.65	0	0.0	0	11957	0	0		0.28
upla1	1411	GA050A	836050	FEDERAL	GALVESTON	G	92	1782	123	B	WD	14	1679	0.33		102	849	0.19	0.0	0.58	0	0.0	0	4461	0	6438		0.69
upla1	1411	GI041	842041	FEDERAL	GRAND ISLE	G	67	2312	91	B	PAR	7	396	0.30		95	1146	0.32	0.0	0.56	0	0.0	0	729	0	0		0.37
upla1	1411	GI043	842043	FEDERAL	GRAND ISLE	G	64	1285	140	B	PD	15	358	0.30		87	613	0.30	0.0	0.60	0	29.9	0	0	24	819		0.40
upla1	1411	GI047	842047	FEDERAL	GRAND ISLE	G	75	2225	87	B	WD	7	182	0.32		102	1050	0.30	0.0	0.62	0	20.0	0	64	12	520		0.60
upla1	1411	HI309A	852309	FEDERAL	HIGH ISLAND	G	74	2054	211	C	WD	40	2590	0.30		99	983	0.17	0.0	0.59	0	0.1	4	57947	0	4864		0.81
upla1	1411	SS032	894032	FEDERAL	SHIP SHOAL	O	47	1616	18	G	WD	48	73	0.29		100	747	0.31	29.0	0.00	367	0.0	2521	905	481	198	0.58	
upla1	1411	SS113	894113	FEDERAL	SHIP SHOAL	G	78	3280	42	G	WD	14	197	0.28		112	1474	0.27	0.0	0.58	0	4.2	3	650	0	0		0.26
upla1	1411	SS113A	896113	FEDERAL	SHIP SHOAL	G	82	3398	44	B	WD	31	6517	0.26		112	1528	0.21	0.0	0.56	0	0.3	36	133018	13	17215		0.77
upla1	1411	SS246	896246	FEDERAL	SHIP SHOAL	G	74	2100	184	D	PAR	48	6391	0.31		95	1058	0.27	0.0	0.60	0	2.4	12	90007	291	38284		0.56
upla1	1411	SS274	896274	FEDERAL	SHIP SHOAL	G	72	1723	207	G	WD	128	570	0.35		93	816	0.24	0.0	0.60	0	1.5	0	24800	57	12630		0.76
upla1	1411	SS296	896296	FEDERAL	SHIP SHOAL	G	81	2986	258	G	WD	31	448	0.31		110	1410	0.20	0.0	0.60	0	0.0	0	9565	0	0		0.65
upla1	1411	SS299	896299	FEDERAL	SHIP SHOAL	G	88	2613	257	G	PAR	70	182	0.27		104	1231	0.28	35.0	0.60	1500	0.8	60	2783	55	3786	0.15	0.70
upla1	1411	SM107	901107	FEDERAL	SOUTH MARSH ISLAND	G	64	2389	187	C	PAR	17	366	0.30		101	1128	0.32	0.0	0.63	0	0.7	2	1923	1	1471		0.75
upla1	1411	SM128	901128	FEDERAL	SOUTH MARSH ISLAND	G	79	2188	220	G	WD	28	390	0.29		96	1033	0.34	0.0	0.60	0	56.6	133	2076	186	3562		0.85
upla1	1411	SM130	901130	FEDERAL	SOUTH MARSH ISLAND	G	76	2165	215	G	COM	40	700	0.31		97	1022	0.19	33.0	0.65	0	0.0	0	3565	0	13289		0.74
upla1	1411	SP027	909027	FEDERAL	SOUTH PASS	G	61	2409	63	G	WD	46	945	0.31		101	1135	0.29	0.0	0.60	0	0.4	7	10091	6	18225		0.85
upla1	1411	SP045	909045	FEDERAL	SOUTH PASS	G	86	3950	202	A	WD	42	140	0.31		117	1852	0.10	0.0	0.56	0	0.2	1	4155	0	2456		0.72
upla1	1411	PL015	916015	FEDERAL	SOUTH PELTO	G	82	1980	48	B	PAR	12	713	0.34		94	936	0.16	0.0	0.60	0	1.0	0	2745	5	2467		0.73
upla1	1411	PL020	916020	FEDERAL	SOUTH PELTO	O	67	2576	31	G	COM	46	21	0.30		108	1119	0.22	29.0	0.62	442	0.0	417	266	0	0	0.41	0.34
upla1	1411	ST034	919034	FEDERAL	SOUTH TIMBALIER	G	48	1715	51	B	WD	81	2456	0.34		91	813	0.20	0.0	0.60	0	0.1	0	61681	12	25637		0.65
upla1	1411	ST111	919111	FEDERAL	SOUTH TIMBALIER	G	85	2953	57	D	COM	8	1186	0.35		105	1388	0.41	0.0	0.58	0	14.9	0	1140	81	4256		0.66
upla1	1411	VR171	929171	FEDERAL	VERMILION	G	84	3008	86	C	WD	23	1216	0.31		120	1417	0.22	0.0	0.60	0	0.4	3	14951	3	3554		0.64
upla1	1411	VR187	929187	FEDERAL	VERMILION	G	88	1795	107	B	WD	38	2663	0.33		95	849	0.18	0.0	0.60	0	0.0	0	7553	0	21362		0.41
upla1	1411	VR249	929249	FEDERAL	VERMILION	G	89	1690	141	A	WD	4	3371	0.38		90	801	0.40	0.0	0.57	0	0.0	0	0	0	2168		0.29
upla1	1411	VR250	929250	FEDERAL	VERMILION	G	79	4343	142	D	PAR	13	877	0.27		180	1787	0.16	0.0	0.60	0	0.2	2	10441	0	0		0.85
upla1	1411	VR257	931257	FEDERAL	VERMILION	G	88	2902	149	D	WD	16	167	0.29		108	1364	0.22	0.0	0.60	0	13.0	0	0	23	1777		0.67
upla1	1411	WC464	937464	FEDERAL	WEST CAMERON	G	74	2386	130	B	PAR	16	2118	0.31		99	1125	0.25	0.0	0.57	0	0.0	0	20207	0	2221		0.85
upla1	1411	WC480	937480	FEDERAL	WEST CAMERON	G	73	3042	139	C	WD	35	226	0.34		118	1399	0.19	0.0	0.56	0	1.2	8	6373	0	0		0.70
upla1	1411	WC504	937504	FEDERAL	WEST CAMERON	G	80	3425	146	C	PAR	14	11	0.32		124	1634	0.27	0.0	0.56	0	0.0	0	42	0	0		0.25
upla1	1411	WC533	937533	FEDERAL	WEST CAMERON	G	75	1978	171	B	COM	27	14148	0.32		106	926	0.24	0.0	0.57	0	0.0	0	94860	0	58002		0.59
upla1	1411	WC537	937537	FEDERAL	WEST CAMERON	G	75	1451	187	A	PAR	73	2016	0.24		91	705	0.33	0.0	0.56	0	0.0	0	32649	0	3151		0.72
upla1	1411	WC560	937560	FEDERAL	WEST CAMERON	G	78	2140	192	B	WD	12	460	0.30		100	1032	0.18	0.0	0.56	0	1.3	1	2136	3	628		0.63
upla1	1411	WC565	937565	FEDERAL	WEST CAMERON	G	71	1771	189	H	WD	162	4539	0.27		112	861	0.29	0.0	0.56	0	0.0	2	191569	3	100872		0.83
upla1	1411	WC643	937643	FEDERAL	WEST CAMERON	G	75	3666	374	B	PAR	45	140	0.28		116	1719	0.27	0.0	0.60	0	10.0	0	986	44	3426		0.65
upla1	1411	WD061	942061	FEDERAL	WEST DELTA	G	77	2268	109	B	PAR	5	360	0.31		105	953	0.32	0.0	0.56	0	0.5	0	267	0	4		0.25
upla1	1411	WD073	942073	FEDERAL	WEST DELTA	G	62	2073	179	B	PAR	8	224	0.32		99	994	0.25	0.0	0.70	0	6.8	6	960	0	0		0.69
uplp1	1611	SOUTH PASS BLOCK 41	8497	LOUISIANA/4	SOUTH PASS 	G	88	3100	66	H							0		-1.0	0.57	0		0	6221				
uplp1	1611	EB160	822160	FEDERAL	EAST BREAK	G	84	4200	948	H	COM	50	58	0.33		105	2198	0.34	0.0	0.65	0	1.4	3	2341	0	0		0.50
uplp1	1611	EB165	822165	FEDERAL	EAST BREAK	G	89	4250	874	H	WD	9	38	0.38		107	2739	0.18	0.0	0.60	0	3.4	1	417	1	216		0.70
uplp1	1611	EC265	826265	FEDERAL	EAST CAMERON	G	66	3175	172	D	WD	16	2676	0.33		112	1478	0.17	0.0	0.65	0	0.1	3	38216	2	7847		0.81
uplp1	1611	EC271	826271	FEDERAL	EAST CAMERON	G	71	3271	175	C	PAR	75	709	0.33		129	1503	0.20	0.0	0.57	0	0.1	4	36815	1	3921		0.66
uplp1	1611	EC317	826317	FEDERAL	EAST CAMERON	G	89	3335	223	B	WD	16	731	0.35		108	1566	0.19	0.0	0.60	0	0.0	0	2189	0	2337		0.28
uplp1	1611	EC321	826321	FEDERAL	EAST CAMERON	G	71	3412	217	H	PAR	161	145	0.29		115	1601	0.30	23.0	0.59	6244	0.1	16	14301	1	5303	0.10	0.85
uplp1	1611	EC334	826334	FEDERAL	EAST CAMERON	G	80	2358	263	B	WD	29	2812	0.31		98	1105	0.17	0.0	0.56	0	0.1	0	52174	8	7858		0.85
uplp1	1611	EC338	826338	FEDERAL	EAST CAMERON	G	72	3804	262	H	COM	46	616	0.33		119	1744	0.23	43.0	0.62	0	1.5	31	21577	15	9579		0.82
uplp1	1611	EC347	826347	FEDERAL	EAST CAMERON	G	76	4339	284	B	PAR	12	1137	0.33		150	2028	0.47	0.0	0.61	0	1.6	19	11804	0	0		0.85
uplp1	1611	EC353	826353	FEDERAL	EAST CAMERON	G	73	3314	297	B	WD	26	3393	0.28		113	1549	0.30	0.0	0.60	0	0.0	1	60946	2	7659		0.81
uplp1	1611	EC359	826359	FEDERAL	EAST CAMERON	G	74	3389	320	B	WD	97	744	0.35		112	1567	0.20	0.0	0.60	0	0.6	43	72864	3	6356		0.80
uplp1	1611	EI266	829266	FEDERAL	EUGENE ISLAND	G	64	3771	163	B	WD	29	9046	0.35		115	1737	0.25	0.0	0.57	0	0.4	80	198902	19	31044		0.65
uplp1	1611	EI273	831273	FEDERAL	EUGENE ISLAND	G	63	3683	186	H	WD	73	5171	0.31		116	1706	0.21	0.0	0.59	0	0.1	18	333598	3	75336		0.83
uplp1	1611	EI292	831292	FEDERAL	EUGENE ISLAND	G	64	3983	217	B	WD	72	14122	0.31		118	1862	0.18	36.0	0.56	1950	0.1	4306	1113148	1940	65798	0.40	0.81
uplp1	1611	EI294	831294	FEDERAL	EUGENE ISLAND	G	77	3637	208	B	PD	35	912	0.30		102	1651	0.30	0.0	0.60	0	0.0	0	29109	0	1186		0.84
uplp1	1611	EI296	831296	FEDERAL	EUGENE ISLAND	G	71	4053	213	B	WD	60	4242	0.29		122	1852	0.26	0.0	0.60	0	0.3	54	161634	13	93683		0.84
uplp1	1611	EI297	831297	FEDERAL	EUGENE ISLAND	G	80	4087	209	B	WD	27	3673	0.31		119	1915	0.33	0.0	0.60	0	0.0	4	60944	0	18093		0.66
uplp1	1611	EI299	831299	FEDERAL	EUGENE ISLAND	G	80	6081	199	B	COM	10	1340	0.31		131	2843	0.25	35.0	0.64	0	6.3	80	12617	0	0		0.55
uplp1	1611	EI306	831306	FEDERAL	EUGENE ISLAND	G	72	3945	223	B	COM	76	2563	0.34		126	1796	0.20	0.0	0.57	0	0.1	15	213226	3	18370		0.85
uplp1	1611	EI321	831321	FEDERAL	EUGENE ISLAND	G	78	5616	247	B	UNK	31	593	0.33		141	2744	0.32	0.0	0.59	0	2.5	44	17390	0	0		0.51
uplp1	1611	EI322	831322	FEDERAL	EUGENE ISLAND	G	79	4724	235	B	PAR	63	500	0.32		133	2239	0.17	0.0	0.60	0	0.1	2	36490	0	1524		0.68
uplp1	1611	EI324	831324	FEDERAL	EUGENE ISLAND	B	76	4545	257	H	PAR	69	335	0.32		124	2355	0.45	35.0	0.60	1100	6.5	902	4411	3523	8226	0.34	0.64
uplp1	1611	EI325	831325	FEDERAL	EUGENE ISLAND	G	90	6550	254	H	UNK	20	140	0.32		149	3200	0.40	0.0	0.60	0	11.5	27	2379	0	0		0.50
uplp1	1611	EI327	831327	FEDERAL	EUGENE ISLAND	B	75	5882	262	H	WD	78	303	0.29		144	3255	0.34	44.0	0.61	2700	105.8	3011	17424	508	3540	0.19	0.67
uplp1	1611	EI330	831330	FEDERAL	EUGENE ISLAND	O	71	5538	245	C	PD	70	470	0.30		141	3288	0.24	33.0	0.65	1138	59.2	15013	17510	3166	3228	0.39	0.25
uplp1	1611	EI333	831333	FEDERAL	EUGENE ISLAND	G	73	5080	236	H	WD	46	1030	0.32		142	2545	0.24	0.0	0.67	0	3.8	213	60236	24	2405		0.70
uplp1	1611	EI337	831337	FEDERAL	EUGENE ISLAND	O	78	5529	269	B	PAR	12	733	0.31		150	3927	0.33	29.0	0.60	1017	14.9	1323	1852	299	3347	0.21	0.62
uplp1	1611	EI341	831341	FEDERAL	EUGENE ISLAND	O	76	7020	273	B	WD	52	762	0.35		157	4800	0.22	33.0	0.60	1326	40.5	16958	26457	7946	12551	0.51	0.38
uplp1	1611	EI342	831342	FEDERAL	EUGENE ISLAND	O	74	5190	293	H	COM	67	395	0.33		142	2646	0.26	33.0	0.62	908	2.3	16018	16254	3353	3326	0.51	0.56
uplp1	1611	EI345	831345	FEDERAL	EUGENE ISLAND	G	77	4633	294	D	PAR	83	60	0.35		120	2154	0.22	0.0	0.60	0	0.5	3	7185	0	0		0.80
uplp1	1611	EI361	831361	FEDERAL	EUGENE ISLAND	B	73	3629	307	D	PD	96	1825	0.33		119	2056	0.22	35.0	0.60	1280	3.0	40657	74156	29690	92975	0.45	0.72
uplp1	1611	EI380	831380	FEDERAL	EUGENE ISLAND	G	74	3090	341	H	WD	160	2023	0.26		113	1582	0.40	0.0	0.57	0	0.2	34	162022	11	23273		0.80
uplp1	1611	EI385	831385	FEDERAL	EUGENE ISLAND	G	75	4882	418	D	PD	195	1497	0.30		122	2391	0.39	35.0	0.61	740	4.1	2338	227707	2612	46617	0.61	0.76
uplp1	1611	GB189	840189	FEDERAL	GARDEN BANKS	B	88	5721	693	G	COM	109	853	0.33		146	2908	0.22	38.0	0.63	1464	4.7	7620	47072	7431	48109	0.30	0.58
uplp1	1611	GI043	842043	FEDERAL	GRAND ISLE	G	60	2087	140	B	PD	15	1523	0.31		96	985	0.28	0.0	0.60	0	16.4	0	2763	156	6740		0.63
uplp1	1611	GI095	844095	FEDERAL	GRAND ISLE	G	74	4565	215	D	WD	27	17	0.26		122	2603	0.30	0.0	0.58	0	0.1	0	168	0	248		0.63
uplp1	1611	HI279A	852279	FEDERAL	HIGH ISLAND	G	77	2600	178	H	UNK	11	26	0.27		103	1209	0.31	0.0	0.60	0	0.0	0	88	0	0		0.44
uplp1	1611	HI295A	852295	FEDERAL	HIGH ISLAND	G	90	3440	197	C	WD	6	316	0.34		111	1604	0.19	0.0	0.56	0	0.0	0	634	0	0		0.25
uplp1	1611	HI309A	852309	FEDERAL	HIGH ISLAND	G	74	3957	211	C	WD	31	1393	0.29		126	1879	0.24	0.0	0.58	0	0.2	5	29661	2	8372		0.71
uplp1	1611	HI313A	852313	FEDERAL	HIGH ISLAND	G	75	1622	212	H	WD	23	2810	0.36		93	803	0.16	0.0	0.56	0	0.0	0	22191	0	12975		0.75
uplp1	1611	HI323A	852323	FEDERAL	HIGH ISLAND	G	74	4756	230	H	WD	79	1779	0.32		133	2352	0.16	0.0	0.59	0	0.7	99	152094	10	10864		0.62
uplp1	1611	HI325A	852325	FEDERAL	HIGH ISLAND	G	78	1843	220	H	WD	36	2829	0.37		97	884	0.17	0.0	0.56	0	0.0	0	33832	0	9449		0.54
uplp1	1611	HI327A	852327	FEDERAL	HIGH ISLAND	G	73	3230	224	G	WD	33	2880	0.34		116	1601	0.23	0.0	0.60	0	0.2	10	75388	3	8581		0.69
uplp1	1611	HI330A	852330	FEDERAL	HIGH ISLAND	G	74	6453	265	H	WD	161	833	0.31		154	3235	0.20	0.0	0.57	0	0.4	87	189534	3	15164		0.73
uplp1	1611	HI334A	852334	FEDERAL	HIGH ISLAND	G	74	2975	230	H	WD	31	930	0.32		113	1418	0.23	0.0	0.62	0	0.3	6	19677	1	5205		0.78
uplp1	1611	HI340A	852340	FEDERAL	HIGH ISLAND	G	76	2657	232	H	WD	48	421	0.29		109	1269	0.23	0.0	0.58	0	0.2	1	5144	1	1408		0.37
uplp1	1611	HI341A	852341	FEDERAL	HIGH ISLAND	G	75	4200	249	G	WD	5	270	0.32		120	1968	0.28	0.0	0.60	0	0.0	0	494	0	0		0.25
uplp1	1611	HI343A	852343	FEDERAL	HIGH ISLAND	G	74	5050	236	H	WD	17	5	0.32		128	2380	0.39	0.0	0.55	0	0.0	0	29	0	0		0.25
uplp1	1611	HI355A	852355	FEDERAL	HIGH ISLAND	G	75	2730	275	C	WD	72	2497	0.32		110	1284	0.39	0.0	0.56	0	0.0	0	80411	0	11352		0.67
uplp1	1611	HI368A	852368	FEDERAL	HIGH ISLAND	G	74	3663	311	H	WD	61	1139	0.31		123	1850	0.28	0.0	0.57	0	0.1	6	42442	1	19691		0.75
uplp1	1611	HI370A	852370	FEDERAL	HIGH ISLAND	G	73	7326	320	H	PAR	48	7179	0.29		168	4063	0.31	0.0	0.57	0	0.3	169	485381	6	29036		0.74
uplp1	1611	HI373A	852373	FEDERAL	HIGH ISLAND	G	89	9090	375	C	WD	33	327	0.30		179	5214	0.16	0.0	0.58	0	9.5	61	6470	127	13362		0.60
uplp1	1611	HI376A	852376	FEDERAL	HIGH ISLAND	B	75	3945	329	B	WD	59	2242	0.33		123	2228	0.26	37.0	0.63	1900	15.6	9986	64304	9726	61071	0.30	0.65
uplp1	1611	HI384A	852384	FEDERAL	HIGH ISLAND	G	76	3964	358	G	WD	52	760	0.35		121	2232	0.21	35.0	0.60	433	1.0	29	23772	3426	10709	0.29	0.60
uplp1	1611	HI389A	852389	FEDERAL	HIGH ISLAND	G	75	5921	407	G	WD	84	542	0.28		165	3294	0.33	0.0	0.58	0	4.6	127	29202	38	6165		0.49
uplp1	1611	HI474A	854474	FEDERAL	HIGH ISLAND	G	73	1524	178	G	WD	16	402	0.35		96	724	0.21	0.0	0.58	0	11.0	0	244	28	2249		0.68
uplp1	1611	HI480A	854480	FEDERAL	HIGH ISLAND	G	73	2597	156	B	WD	10	259	0.35		101	1224	0.18	0.0	0.59	0	5.0	5	964	0	0		0.35
uplp1	1611	HI492A	854492	FEDERAL	HIGH ISLAND	G	75	3611	187	C	WD	46	2533	0.33		122	2022	0.26	0.0	0.56	0	2.1	124	51238	0	9255		0.40
uplp1	1611	HI497A	854497	FEDERAL	HIGH ISLAND	G	77	3083	217	D	WD	34	1319	0.34		107	1448	0.17	0.0	0.56	0	0.1	1	17691	1	10388		0.52
uplp1	1611	HI511A	854511	FEDERAL	HIGH ISLAND	G	74	3209	192	C	WD	146	531	0.33		129	1530	0.18	0.0	0.58	0	0.3	23	74512	3	3456		0.85
uplp1	1611	HI519A	854519	FEDERAL	HIGH ISLAND	G	90	2645	219	C	WD	46	283	0.37		105	1322	0.16	0.0	0.56	0	0.0	0	6926	0	3217		0.63
uplp1	1611	HI520A	854520	FEDERAL	HIGH ISLAND	G	74	3789	235	B	WD	71	206	0.34		115	1790	0.28	35.0	0.60	0	0.2	3	15744	0	0		0.83
uplp1	1611	HI523A	854523	FEDERAL	HIGH ISLAND	G	80	2101	231	C	WD	23	1030	0.36		99	998	0.17	0.0	0.60	0	0.0	0	10341	0	7699		0.84
uplp1	1611	HI545A	854545	FEDERAL	HIGH ISLAND	G	75	2609	251	C	WD	91	3715	0.34		105	1268	0.16	0.0	0.60	0	0.0	0	195001	0	29693		0.59
uplp1	1611	HI552A	854552	FEDERAL	HIGH ISLAND	G	74	3671	264	C	WD	124	638	0.32		110	2017	0.18	36.0	0.57	1780	0.2	14	67095	331	13270	0.12	0.64
uplp1	1611	HI555A	854555	FEDERAL	HIGH ISLAND	G	74	4938	257	B	WD	101	407	0.34		144	2976	0.25	34.0	0.60	806	1.2	2284	34191	1538	12264	0.26	0.70
uplp1	1611	HI563A	854563	FEDERAL	HIGH ISLAND	G	74	4515	315	B	WD	188	1533	0.32		129	2561	0.17	31.0	0.58	3857	0.4	936	387569	952	64697	0.20	0.76
uplp1	1611	HI567A	854567	FEDERAL	HIGH ISLAND	G	75	4405	289	C	WD	106	177	0.32		127	2469	0.23	0.0	0.59	0	2.1	52	24174	0	0		0.71
uplp1	1611	HI568A	854568	FEDERAL	HIGH ISLAND	G	78	3541	272	C	WD	135	342	0.36		114	1829	0.26	33.0	0.60	1250	1.9	5	30299	156	19740	0.10	0.75
uplp1	1611	HI573A	854573	FEDERAL	HIGH ISLAND	G	73	5292	342	G	COM	34	6232	0.31		131	3496	0.22	33.0	0.61	1605	4.5	15998	246165	2865	55079	0.31	0.75
uplp1	1611	MP144	866144	FEDERAL	MAIN PASS	G	85	950	211	G	PAR	112	140	0.30		81	1000	0.30	0.0	0.60	0	0.1	0	8632	1	368		0.85
uplp1	1611	SS146	894146	FEDERAL	SHIP SHOAL	G	85	2684	40	D	WD	21	576	0.30		110	1357	0.22	0.0	0.62	0	0.1	0	6696	0	3445		0.85
uplp1	1611	SS165	894165	FEDERAL	SHIP SHOAL	G	83	3949	58	C	WD	15	573	0.33		121	1851	0.36	0.0	0.56	0	0.0	0	2573	0	0		0.25
uplp1	1611	SS167	894167	FEDERAL	SHIP SHOAL	G	84	4545	65	C	PAR	29	246	0.28		127	2113	0.29	0.0	0.60	0	0.2	1	4393	0	2075		0.70
uplp1	1611	SS186	894186	FEDERAL	SHIP SHOAL	G	61	4186	62	D	WD	20	1422	0.33		124	1961	0.25	0.0	0.60	0	0.0	0	35556	0	0		0.85
uplp1	1611	SS237	896237	FEDERAL	SHIP SHOAL	G	80	5365	127	B	WD	11	830	0.27		136	2508	0.23	0.0	0.60	0	0.0	0	9537	0	0		0.69
uplp1	1611	SS239	896239	FEDERAL	SHIP SHOAL	G	82	4973	128	D	PD	24	417	0.23		123	2250	0.39	0.0	0.60	0	0.0	0	2405	0	17		0.26
uplp1	1611	SS246	896246	FEDERAL	SHIP SHOAL	G	77	4060	184	D	WD	46	5082	0.30		122	1918	0.26	0.0	0.60	0	1.6	10	149932	297	36841		0.62
uplp1	1611	SS253	896253	FEDERAL	SHIP SHOAL	O	70	3808	174	G	WD	7	8	0.30		120	1786	0.34	35.0	0.00	1676	0.0	7	11	0	0	0.10	
uplp1	1611	SS263	896263	FEDERAL	SHIP SHOAL	G	84	1556	173	B	PD	33	1906	0.27		90	739	0.16	0.0	0.62	0	0.0	0	18079	0	9155		0.85
uplp1	1611	SS271	896271	FEDERAL	SHIP SHOAL	G	79	4941	210	B	PAR	68	255	0.32		126	2262	0.16	0.0	0.60	0	0.4	10	24303	1	2672		0.84
uplp1	1611	SS274	896274	FEDERAL	SHIP SHOAL	G	63	3555	207	G	WD	130	1378	0.30		116	1668	0.29	35.0	0.60	2735	5.8	2118	88095	1031	12898	0.45	0.49
uplp1	1611	SS291	896291	FEDERAL	SHIP SHOAL	G	77	2142	235	G	WD	47	1733	0.27		105	1032	0.23	0.0	0.60	0	0.0	0	27613	0	14822		0.83
uplp1	1611	SS296	896296	FEDERAL	SHIP SHOAL	G	78	5872	258	G	WD	88	199	0.29		137	3888	0.22	0.0	0.58	0	6.1	127	20820	0	0		0.48
uplp1	1611	SS299	896299	FEDERAL	SHIP SHOAL	G	91	5466	257	G	PAR	91	180	0.27		141	2557	0.28	34.0	0.60	595	31.4	877	11273	1077	5976	0.41	0.79
uplp1	1611	SS323	896323	FEDERAL	SHIP SHOAL	G	82	3266	309	B	WD	59	1213	0.33		109	1554	0.20	0.0	0.60	0	0.5	18	44976	12	17514		0.68
uplp1	1611	SS343	896343	FEDERAL	SHIP SHOAL	G	72	3403	339	B	WD	118	2623	0.32		120	1610	0.17	0.0	0.60	0	0.0	0	219100	0	9987		0.56
uplp1	1611	SM107	901107	FEDERAL	SOUTH MARSH ISLAND	G	64	3474	187	C	WD	38	4903	0.30		113	1627	0.22	0.0	0.60	0	0.4	58	161571	7	17780		0.83
