-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
USNO        49718.000    1995     1     1     0
USNO        52274.750    2001    12    31    18
USNO      1112189.893 -4842955.037  3985352.249
49734.00    -1.259407    -0.354615    -0.394959
49734.25    -1.315249    -0.346589    -0.972738
49734.50    -1.097981    -0.265922    -1.054455
49734.75    -1.160037    -0.335605    -1.701231
49735.00    -0.860563    -0.307621    -2.001206
49735.25    -0.870749    -0.295974    -2.585155
49735.50    -0.833524    -0.176585    -2.613066
49735.75    -0.955199    -0.315168    -3.390408
49736.00    -0.662761    -0.298644    -3.008315
49736.25    -0.858883    -0.231021    -2.414312
49736.50    -0.893302    -0.000291    -1.062854
49736.75    -1.246437    -0.000450    -0.348424
49737.00    -1.111799     0.058140     1.124340
49737.25    -1.369713     0.255734     3.349473
49737.50    -1.662917     0.368328     5.550183
49737.75    -2.199658     0.164374     6.172782
49738.00    -2.104471     0.007219     5.680751
49738.25    -2.131883    -0.018112     5.430260
49738.50    -2.040359     0.049649     4.982013
49738.75    -2.156297    -0.078444     4.257519
49739.00    -1.842115    -0.174711     3.234507
49739.25    -1.863625    -0.208246     2.568558
49739.50    -1.753685    -0.109277     2.121533
49739.75    -1.834091    -0.222545     1.667812
49740.00    -1.336787    -0.236330     1.348668
49740.25    -1.398598    -0.262910     1.189167
49740.50    -1.308834    -0.141896     0.912819
49740.75    -1.390168    -0.199672     0.876720
49741.00    -1.276427    -0.231263     0.901350
49741.25    -1.517095    -0.329861     0.699412
49741.50    -1.452565    -0.294729     0.455390
49741.75    -1.689350    -0.585209    -0.424911
49742.00    -1.552391    -0.730851    -1.332745
49742.25    -1.669758    -0.819284    -1.980695
49742.50    -1.641098    -0.658677    -2.195112
49742.75    -1.924880    -0.767309    -2.263053
49743.00    -1.559720    -0.723829    -1.757229
49743.25    -1.763762    -0.728199    -1.608981
49743.50    -1.874158    -0.621165    -1.636402
49743.75    -2.137708    -0.742774    -1.863394
49744.00    -1.924568    -0.645768    -1.489712
49744.25    -2.155277    -0.584673    -1.585545
49744.50    -2.061793    -0.385686    -1.101825
49744.75    -2.138127    -0.423861    -1.062405
49745.00    -1.945596    -0.434197    -0.732499
49745.25    -1.923498    -0.384421    -1.069059
49745.50    -1.526343    -0.172573    -0.521199
49745.75    -1.639461    -0.301566    -0.876900
49746.00    -1.180708    -0.368777    -0.330434
49746.25    -1.236788    -0.554896    -1.390722
49746.50    -1.024844    -0.479243    -1.423285
49746.75    -1.267516    -0.718094    -2.256950
49747.00    -1.249109    -0.772399    -1.639114
49747.25    -1.566361    -0.779776    -1.012962
49747.50    -1.688616    -0.592137     0.498014
49747.75    -1.883924    -0.665675     1.365171
49748.00    -2.095500    -0.711668     2.373066
49748.25    -2.529179    -0.726811     2.477881
49748.50    -2.629405    -0.541549     2.874229
49748.75    -2.840310    -0.646622     2.880356
49749.00    -2.563935    -0.608894     3.875914
49749.25    -2.578763    -0.544068     4.631526
49749.50    -2.290614    -0.285256     4.920411
49749.75    -2.235121    -0.354816     4.756760
49750.00    -1.713572    -0.350557     4.573065
49750.25    -1.580876    -0.287222     4.228580
49750.50    -1.371593    -0.147677     3.537747
49750.75    -1.424376    -0.279220     2.381902
49751.00    -0.995683    -0.317689     1.364971
49751.25    -0.998422    -0.359198     0.024965
49751.50    -0.819429    -0.230146    -0.773263
49751.75    -0.841408    -0.216908    -0.574344
49752.00    -0.478522    -0.060868     1.035931
49752.25    -0.462598     0.140114     3.107326
49752.50    -0.350573     0.256298     6.270599
49752.75    -0.607736    -0.075349     6.837539
49753.00    -0.418204    -0.205826     6.548638
49753.25    -0.557064    -0.354887     5.844745
49753.50    -0.207799    -0.290524     5.368740
49753.75    -0.184574    -0.533360     4.767609
49754.00     0.234113    -0.615658     3.591273
49754.25     0.237686    -0.591891     2.921432
49754.50     0.499563    -0.332999     3.177876
49754.75     0.457788    -0.341190     3.340931
49755.00     0.966364    -0.251191     3.420652
49755.25     0.937632    -0.180765     2.661687
49755.50     1.145778     0.014832     2.532098
49755.75     0.890394    -0.025407     2.646703
49756.00     1.204085    -0.007079     3.398172
49756.25     0.929395    -0.088218     3.157273
49756.50     1.007944    -0.066730     3.192602
49756.75     0.813032    -0.328440     1.786167
49757.00     0.729587    -0.360194     1.920536
49757.25     0.518489    -0.407432     0.673948
49757.50     0.450797    -0.044685     1.618713
49757.75    -0.018662     0.006597     2.195048
49758.00     0.109045     0.141592     3.538020
49758.25    -0.138926     0.214917     3.352975
49758.50    -0.053211     0.541599     3.589483
49758.75    -0.550045     0.534501     4.332058
49759.00    -0.561934     0.468369     5.398710
49759.25    -0.829719     0.274372     4.830558
49759.50    -0.694908     0.283896     4.597249
49759.75    -1.117163    -0.058726     3.738526
49760.00    -1.122120    -0.210606     3.502607
49760.25    -1.515754    -0.473763     1.934848
49760.50    -1.636410    -0.516526     0.620113
49760.75    -2.052206    -0.864006    -1.482632
49761.00    -1.983430    -0.849711    -1.733328
49761.25    -2.034088    -0.885025    -2.829358
49761.50    -1.750351    -0.649279    -2.506801
49761.75    -1.949821    -0.746931    -3.048007
49762.00    -1.708678    -0.577915    -1.842918
49762.25    -1.671114    -0.557026    -2.144339
49762.50    -1.306123    -0.376417    -2.284564
49762.75    -1.235064    -0.406811    -3.224439
49763.00    -0.901775    -0.194538    -2.375729
49763.25    -1.045690    -0.039216    -2.444899
49763.50    -0.872465     0.260936    -1.626821
49763.75    -1.282399     0.188799    -0.603567
49764.00    -1.205535     0.066628     2.005431
49764.25    -1.270804    -0.263635     2.032256
49764.50    -0.682727    -0.255392     1.330714
49764.75    -0.544260    -0.441368    -0.442213
49765.00    -0.124884    -0.505119    -1.277142
49765.25    -0.002551    -0.533107    -2.288419
49765.50     0.268109    -0.461613    -3.043560
49765.75    -0.156343    -0.635920    -4.500116
49766.00    -0.076153    -0.612920    -4.205188
49766.25    -0.539396    -0.557895    -4.351412
49766.50    -0.460363    -0.368010    -4.288667
49766.75    -0.847847    -0.505600    -4.907058
49767.00    -0.737874    -0.476850    -4.014343
49767.25    -1.179504    -0.593350    -3.818761
49767.50    -1.090740    -0.544094    -2.709409
49767.75    -1.392363    -0.723848    -2.341955
49768.00    -1.258362    -0.649796    -1.228285
49768.25    -1.594354    -0.532407    -0.769908
49768.50    -1.293576    -0.170238     0.867731
49768.75    -1.461113    -0.122466     2.006178
49769.00    -1.084402    -0.059689     3.670804
49769.25    -1.114866    -0.000484     4.415613
49769.50    -0.809908     0.100476     4.937121
49769.75    -0.969140    -0.251682     2.670613
49770.00    -0.654025    -0.347103     1.664788
49770.25    -0.914912    -0.316001     0.447564
49770.50    -0.918041    -0.100125    -0.338128
49770.75    -1.226699    -0.138805    -0.942964
49771.00    -1.000510     0.008316     0.027767
49771.25    -1.335808     0.002005    -0.109534
49771.50    -1.060840     0.149853     0.481050
49771.75    -1.184623    -0.009029     0.659873
49772.00    -0.878863    -0.035024     1.508890
49772.25    -0.997402    -0.193925     1.781095
49772.50    -0.636376    -0.268615     1.510517
49772.75    -0.749667    -0.578364    -0.760506
49773.00    -0.381638    -0.559436    -1.325008
49773.25    -0.407853    -0.491044    -2.228522
49773.50    -0.097385    -0.224010    -2.227190
49773.75    -0.450590    -0.281424    -2.850085
49774.00    -0.091075    -0.077714    -1.689917
49774.25    -0.146766    -0.035535    -2.432002
49774.50     0.042877     0.167420    -2.657288
49774.75    -0.120609    -0.001174    -4.288041
49775.00     0.103477     0.020920    -4.599738
49775.25    -0.232353     0.008255    -5.225659
49775.50    -0.198535     0.163522    -4.562084
49775.75    -0.443375     0.014070    -4.517474
49776.00    -0.422877     0.001801    -3.269989
49776.25    -0.552987    -0.011463    -2.904592
49776.50    -0.217748     0.142895    -1.396715
49776.75    -0.324294    -0.151971    -2.224760
49777.00    -0.073936    -0.241872    -2.150567
49777.25    -0.169698    -0.269766    -2.516937
49777.50    -0.084797    -0.151092    -2.401192
49777.75    -0.501325    -0.385565    -3.422401
49778.00    -0.497823    -0.450684    -3.349955
49778.25    -0.826313    -0.605731    -4.110384
49778.50    -0.749841    -0.491187    -4.606290
49778.75    -0.919865    -0.626210    -5.574548
49779.00    -0.575449    -0.524923    -4.936568
49779.25    -0.647879    -0.518795    -5.517803
49779.50    -0.223183    -0.327323    -5.303748
49779.75    -0.200750    -0.426310    -5.967375
49780.00    -0.003045    -0.346091    -4.984336
49780.25    -0.162025    -0.362982    -5.557574
49780.50     0.043020    -0.203493    -5.454574
49780.75    -0.083204    -0.339849    -6.264155
49781.00    -0.109113    -0.284329    -6.008955
49781.25    -0.219491    -0.196283    -6.330412
49781.50     0.003711     0.161770    -5.487974
49781.75    -0.321081     0.190400    -5.206524
49782.00    -0.142553     0.337368    -3.502692
49782.25    -0.517444     0.326738    -3.123056
49782.50    -0.549106     0.374754    -2.532452
49782.75    -0.894968     0.126491    -3.399341
49783.00    -0.829947     0.091631    -3.232132
49783.25    -1.346260     0.104050    -3.888873
49783.50    -1.473062     0.291362    -3.050500
49783.75    -2.050556     0.094227    -3.429956
49784.00    -1.917183     0.077770    -1.757335
49784.25    -2.195801    -0.155059    -1.707358
49784.50    -1.801965    -0.132945    -0.538454
49784.75    -1.809395    -0.470129    -1.084198
49785.00    -1.368739    -0.648431    -0.697474
49785.25    -1.573012    -0.860744    -2.663024
49785.50    -1.287360    -0.677167    -3.471000
49785.75    -1.429228    -0.849952    -4.709889
49786.00    -0.967171    -0.776360    -4.910144
49786.25    -1.356333    -0.796744    -5.716164
49786.50    -1.150435    -0.601737    -6.214199
49786.75    -1.499609    -0.668730    -6.623201
49787.00    -1.349921    -0.544297    -5.647148
49787.25    -1.694106    -0.501443    -5.598966
49787.50    -1.334015    -0.290281    -4.962345
49787.75    -1.557686    -0.361500    -5.095527
49788.00    -1.136625    -0.261677    -4.046925
49788.25    -1.196551    -0.321020    -4.637560
49788.50    -1.000241    -0.221525    -4.698970
49788.75    -1.501736    -0.477049    -6.012506
49789.00    -1.518725    -0.461110    -5.169676
49789.25    -2.015925    -0.615942    -6.193983
49789.50    -2.039990    -0.576237    -6.380187
49789.75    -2.300481    -0.766988    -7.032280
49790.00    -2.184451    -0.761421    -6.272572
49790.25    -2.509133    -0.788796    -6.713298
49790.50    -2.185901    -0.639592    -6.348164
49790.75    -2.155359    -0.722857    -7.015554
49791.00    -1.704288    -0.627891    -5.863598
49791.25    -1.640094    -0.608018    -5.217191
49791.50    -1.288561    -0.401775    -4.027762
49791.75    -1.339309    -0.474269    -3.789271
49792.00    -0.915130    -0.279401    -2.192562
49792.25    -0.994685    -0.298022    -2.093448
49792.50    -0.831190    -0.128116    -1.652035
49792.75    -0.875337    -0.247561    -2.080109
49793.00    -0.500845    -0.169945    -1.242910
49793.25    -0.525752    -0.294953    -1.780045
49793.50    -0.138923    -0.175099    -1.057818
49793.75     0.121282    -0.333928    -1.457590
49794.00     0.822044    -0.256647    -0.803562
49794.25     0.944441    -0.342724    -1.882800
49794.50     1.540519    -0.053200    -1.209034
49794.75     1.501763    -0.123196    -1.458170
49795.00     1.686430     0.038134     0.046644
49795.25     1.677708     0.107277     0.199070
49795.50     1.839237     0.367122     0.848365
49795.75     1.444062     0.280807     0.571226
49796.00     1.485515     0.392007     2.029385
49796.25     1.051392     0.402445     1.968018
49796.50     0.761563     0.597931     2.873741
49796.75     0.270930     0.528488     3.702146
49797.00     0.213109     0.582964     5.796126
49797.25    -0.505432     0.508029     6.273227
49797.50    -0.520279     0.557909     7.477675
49797.75    -1.060698     0.318917     6.858060
49798.00    -0.965483     0.341337     6.811285
49798.25    -1.332186     0.361352     6.920678
49798.50    -1.201366     0.523429     7.222302
49798.75    -1.495403     0.323930     6.568962
49799.00    -1.165672     0.293372     5.564907
49799.25    -1.323921     0.234378     4.526650
49799.50    -1.148896     0.381089     4.618182
49799.75    -1.413759     0.182382     4.031637
49800.00    -0.895834     0.140753     3.853227
49800.25    -0.994220    -0.031627     2.290731
49800.50    -0.566801     0.045773     1.799915
49800.75    -0.547139    -0.112701     1.225519
49801.00     0.114578    -0.020183     1.472376
49801.25     0.218639    -0.168376    -0.171156
49801.50     0.855375     0.052398    -0.191793
49801.75     0.896153    -0.074594    -0.336433
49802.00     1.196820     0.065841     0.247885
49802.25     1.122174     0.019444    -0.800044
49802.50     1.595609     0.255096    -1.089638
49802.75     1.234866     0.158497    -1.369396
49803.00     1.496614     0.259850    -0.541083
49803.25     1.272817     0.274127    -0.919500
49803.50     1.468858     0.491287    -0.616072
49803.75     1.045806     0.349710    -1.062085
49804.00     1.122951     0.410232    -0.263484
49804.25     0.800629     0.217266    -0.795050
49804.50     0.972333     0.271125    -0.317841
49804.75     0.792854     0.037563    -0.434853
49805.00     1.016447     0.001522     0.054984
49805.25     0.748108    -0.092843    -0.570908
49805.50     0.944721     0.132736    -0.193036
49805.75     0.377286    -0.011223    -0.543996
49806.00     0.204730    -0.027275     0.013268
49806.25    -0.327452    -0.131594    -0.122153
49806.50    -0.259894     0.020283     0.569650
49806.75    -0.746127    -0.200437     0.217221
49807.00    -0.441045    -0.222976     1.098134
49807.25    -0.728333    -0.350045     0.553684
49807.50    -0.461956    -0.224772     0.892060
49807.75    -0.650311    -0.362815     0.721975
49808.00    -0.183834    -0.236110     1.707311
49808.25    -0.173457    -0.272127     0.908747
49808.50     0.224310    -0.006988     1.291913
49808.75     0.110887    -0.038639     1.251833
49809.00     0.547766     0.096070     2.306571
49809.25     0.569014     0.094769     1.604616
49809.50     1.041985     0.264523     1.813046
49809.75     0.829521     0.074496     0.765171
49810.00     1.007250     0.076037     0.886703
49810.25     0.648004    -0.003452    -0.205327
49810.50     0.764771     0.139329    -0.386086
49810.75     0.262223     0.001006    -0.367178
49811.00     0.330900    -0.017690     1.524405
49811.25    -0.127879    -0.120085     2.014817
49811.50    -0.091679    -0.072908     3.690316
49811.75    -0.266068    -0.384838     3.529124
49812.00    -0.004180    -0.406424     2.639634
49812.25    -0.301174    -0.503089     0.665569
49812.50    -0.293262    -0.342926     0.123734
49812.75    -0.625577    -0.389750    -0.171752
49813.00    -0.267667    -0.182805     0.382260
49813.25    -0.275472    -0.059972    -0.169801
49813.50     0.017931     0.265696     0.407018
49813.75    -0.385220     0.218035     0.938668
49814.00    -0.112956     0.287574     2.182187
49814.25    -0.233023     0.247244     1.756858
49814.50    -0.011783     0.380793     1.551930
49814.75    -0.022418     0.327021     0.969358
49815.00     0.192669     0.456670     1.409747
49815.25    -0.061026     0.469380     1.124091
49815.50     0.078439     0.700297     1.673558
49815.75    -0.246496     0.542799     2.666147
49816.00    -0.175085     0.586609     3.849875
49816.25    -0.501705     0.434862     3.092484
49816.50    -0.223054     0.595119     3.774589
49816.75    -0.460831     0.394261     3.523733
49817.00    -0.179563     0.247635     3.623670
49817.25    -0.154842    -0.020588     0.500715
49817.50     0.105701     0.097107    -1.213772
49817.75    -0.164968    -0.121707    -2.995404
49818.00    -0.073175    -0.045090    -2.790568
49818.25    -0.337282    -0.108462    -3.487676
49818.50    -0.087781     0.204737    -3.432071
49818.75    -0.492696     0.184847    -3.552804
49819.00    -0.478887     0.304111    -2.495018
49819.25    -0.861163     0.281335    -2.327504
49819.50    -0.865435     0.390608    -1.460744
49819.75    -1.407236     0.189098    -1.068930
49820.00    -1.474872     0.186785     0.929584
49820.25    -1.851764    -0.002257     1.069013
49820.50    -1.640666     0.082792     1.850137
49820.75    -1.980394    -0.089026     1.977060
49821.00    -1.710124    -0.060170     2.080595
49821.25    -1.931610    -0.129616     0.982201
49821.50    -1.597197     0.110241     1.138358
49821.75    -1.778337     0.018203     0.482716
49822.00    -1.589052     0.109760     0.125557
49822.25    -1.861703     0.031676    -0.922866
49822.50    -1.574602     0.204989    -0.782305
49822.75    -1.746340     0.105326    -0.700329
49823.00    -1.432472     0.232095     0.109734
49823.25    -1.452135     0.189027    -0.570653
49823.50    -0.945888     0.371603    -0.479216
49823.75    -0.986062     0.283842    -0.808635
49824.00    -0.770564     0.360335    -0.317171
49824.25    -0.509423     0.417229    -0.773407
49824.50    -0.562672     0.505771    -1.067353
49824.75    -0.735055     0.475922    -1.012523
49825.00    -0.540437     0.442766    -0.392414
49825.25    -0.616075     0.499938    -0.745115
49825.50    -0.353120     0.743793    -0.295575
49825.75    -0.598929     0.726423    -0.352884
49826.00    -0.601722     0.807880     1.503637
49826.25    -0.885315     0.781837     1.920742
49826.50    -0.822365     0.793895     2.945657
49826.75    -1.140273     0.509135     2.469880
49827.00    -0.943168     0.494721     2.733560
49827.25    -1.069727     0.389087     1.247966
49827.50    -0.705199     0.596454     0.755492
49827.75    -0.909186     0.533003    -0.093861
49828.00    -0.785028     0.661602     0.687952
49828.25    -1.109232     0.731430     0.681641
49828.50    -1.040201     0.995121     1.701344
49828.75    -1.590775     0.678004     2.292947
49829.00    -1.452572     0.404715     2.221325
49829.25    -1.841900     0.132970     1.041725
49829.50    -1.688300     0.135886     0.659677
49829.75    -1.957169    -0.099507     0.291314
49830.00    -1.680954    -0.151321    -0.048640
49830.25    -1.844936    -0.213980    -1.524254
49830.50    -1.451968     0.057011    -1.326054
49830.75    -1.647937     0.050954    -1.005169
49831.00    -1.262400     0.313671     0.684472
49831.25    -1.270105     0.414098     1.437890
49831.50    -0.881122     0.693093     2.633292
49831.75    -1.024974     0.510978     2.271626
49832.00    -0.813311     0.464174     2.290061
49832.25    -0.937990     0.315420     0.942995
49832.50    -0.553833     0.464290     0.445843
49832.75    -0.683675     0.358396    -0.207871
49833.00    -0.390214     0.288835    -0.222682
49833.25    -0.498375     0.166167    -1.423649
49833.50    -0.142270     0.334955    -1.988930
49833.75    -0.361760     0.249949    -2.572491
49834.00    -0.275690     0.368421    -1.561749
49834.25    -0.594498     0.332808    -1.851115
49834.50    -0.371320     0.487360    -1.371038
49834.75    -0.695439     0.371891    -0.901231
49835.00    -0.642497     0.318506     0.078765
49835.25    -0.914159     0.164029    -0.052157
49835.50    -0.714308     0.253384    -0.117749
49835.75    -0.852541     0.140011    -0.581634
49836.00    -0.495252     0.218413     0.020477
49836.25    -0.702948     0.154590    -0.846223
49836.50    -0.409335     0.253726    -1.057514
49836.75    -0.681024     0.136916    -1.085101
49837.00    -0.291087     0.223801    -0.161887
49837.25    -0.340334     0.235374    -0.468933
49837.50     0.022491     0.507722     0.553467
49837.75    -0.253707     0.413379     0.855873
49838.00    -0.050692     0.307271     1.413670
49838.25    -0.280178     0.156065     0.638426
49838.50     0.013991     0.375862     1.046707
49838.75    -0.214754     0.320726     0.928305
49839.00    -0.082905     0.414174     2.080567
49839.25    -0.214707     0.469555     2.503786
49839.50    -0.007706     0.635692     3.811714
49839.75    -0.533575     0.304904     2.827232
49840.00    -0.410606     0.160905     2.269986
49840.25    -0.741618    -0.020151     0.807941
49840.50    -0.427144     0.063474     0.055703
49840.75    -0.605822    -0.097860    -0.734543
49841.00    -0.260335    -0.044106    -0.307431
49841.25    -0.295523    -0.090663    -1.311445
49841.50     0.126044     0.152914    -1.235613
49841.75    -0.021567     0.090416    -1.326597
49842.00     0.146271     0.164704    -0.163443
49842.25     0.031683     0.157554     0.287731
49842.50     0.255796     0.251736     0.939084
49842.75     0.137410     0.055658     0.639467
49843.00     0.351773     0.055713     1.191944
49843.25     0.163594    -0.072370     0.627413
49843.50     0.493540    -0.011072     0.168701
49843.75     0.405917    -0.098933    -0.184823
49844.00     0.548122     0.016628     0.014412
49844.25     0.222118    -0.029818    -1.091882
49844.50     0.476727     0.108320    -1.199895
49844.75     0.213826     0.022035    -1.184522
49845.00     0.357691     0.115068    -0.444705
49845.25     0.292357     0.129502    -1.314030
49845.50     0.687501     0.357550    -1.384081
49845.75     0.397047     0.311801    -1.479653
49846.00     0.662069     0.503830    -0.775207
49846.25     0.490015     0.507572    -1.115451
49846.50     0.870910     0.785114    -0.751595
49846.75     0.737247     0.760895    -0.243846
49847.00     0.938629     0.887105     1.277306
49847.25     0.833759     0.878241     1.567262
49847.50     0.985641     1.073872     2.764699
49847.75     0.744539     0.952325     2.825197
49848.00     0.661486     0.973994     3.900050
49848.25     0.421755     0.885277     4.049306
49848.50     0.501091     0.958131     4.766392
49848.75     0.224912     0.745737     4.321460
49849.00     0.196942     0.707519     4.655434
49849.25     0.014254     0.612380     4.109356
49849.50     0.027055     0.692935     4.130059
49849.75    -0.194984     0.596319     3.484038
49850.00    -0.126492     0.635363     3.605261
49850.25    -0.299540     0.608243     2.651896
49850.50    -0.051167     0.796539     2.191069
49850.75    -0.161059     0.776426     1.589209
49851.00     0.018244     0.870031     1.938959
49851.25    -0.064658     0.803611     0.986291
49851.50     0.149600     0.951294     1.787835
49851.75    -0.090186     0.680311     1.749556
49852.00     0.036704     0.616589     2.670688
49852.25    -0.097127     0.435589     2.321327
49852.50     0.250807     0.504323     2.530298
49852.75     0.132441     0.351425     1.756029
49853.00     0.502907     0.458795     2.360223
49853.25     0.379457     0.397316     1.586626
49853.50     0.637199     0.563268     1.560112
49853.75     0.365809     0.559219     1.722443
49854.00     0.354513     0.704475     3.203910
49854.25    -0.001022     0.796789     3.523754
49854.50    -0.063973     0.989193     4.680634
49854.75    -0.634718     0.845325     5.029141
49855.00    -0.668623     0.711006     5.439479
49855.25    -0.963520     0.652220     4.502791
49855.50    -0.884355     0.778531     4.720726
49855.75    -1.387579     0.597825     4.265769
49856.00    -1.509158     0.537814     4.480713
49856.25    -1.823011     0.502634     4.277491
49856.50    -1.950684     0.475742     4.400776
49856.75    -2.376492     0.154820     3.392490
49857.00    -2.364308     0.137589     2.733064
49857.25    -2.634032     0.008331     1.664483
49857.50    -2.478512     0.094520     1.524154
49857.75    -2.606216     0.058512     1.101318
49858.00    -2.270644     0.189275     1.551872
49858.25    -2.394740     0.161818     0.700310
49858.50    -1.988220     0.279530     0.536847
49858.75    -2.043085     0.160671     0.105917
49859.00    -1.791742     0.137072     0.328822
49859.25    -1.735279     0.025366    -0.772603
49859.50    -1.184267     0.104420    -1.473561
49859.75    -1.340373    -0.047395    -2.430274
49860.00    -1.248990    -0.016760    -2.467056
49860.25    -1.337414    -0.045011    -3.166567
49860.50    -1.044908     0.122586    -3.268223
49860.75    -1.432587     0.003632    -3.512483
49861.00    -1.259515     0.063541    -2.258503
49861.25    -1.514719    -0.032767    -2.297790
49861.50    -1.282913     0.053370    -2.048767
49861.75    -1.401429    -0.083008    -2.002107
49862.00    -1.003897    -0.009455    -1.010418
49862.25    -1.035386    -0.112470    -1.883328
49862.50    -0.628801     0.069303    -1.862924
49862.75    -0.891116    -0.026639    -2.356744
49863.00    -0.675677     0.030487    -1.883940
49863.25    -0.830253    -0.115856    -2.633092
49863.50    -0.462544     0.003047    -2.467888
49863.75    -0.666743    -0.147972    -3.211629
49864.00    -0.473928    -0.053733    -2.590930
49864.25    -0.670298    -0.102061    -3.466717
49864.50    -0.449391     0.135108    -3.340538
49864.75    -0.812448     0.096097    -3.715553
49865.00    -0.767594     0.199183    -3.120623
49865.25    -1.022200     0.181836    -3.577135
49865.50    -0.684286     0.394259    -3.172669
49865.75    -0.954560     0.282130    -3.199507
49866.00    -0.776946     0.336487    -1.686644
49866.25    -0.915426     0.229002    -0.791348
49866.50    -0.621638     0.294634     0.091299
49866.75    -0.856434     0.058763     0.299795
49867.00    -0.764241     0.023897     1.105339
49867.25    -0.913782    -0.119076     0.460917
49867.50    -0.612799     0.044766     0.389458
49867.75    -0.723743    -0.100711    -0.076005
49868.00    -0.686991    -0.017574     0.298754
49868.25    -0.986560    -0.090569    -0.581258
49868.50    -0.780018     0.072180    -0.747792
49868.75    -1.081393     0.008857    -1.169273
49869.00    -0.966716     0.135029    -0.363914
49869.25    -0.930033     0.119792    -1.041414
49869.50    -0.603800     0.337553    -0.896360
49869.75    -0.715383     0.217375    -1.360944
49870.00    -0.562775     0.298166    -0.698961
49870.25    -0.501610     0.343757    -1.091200
49870.50    -0.234756     0.473418    -0.816161
49870.75    -0.345100     0.392981    -0.991011
