FIELD	FLDCDE	CUMO	CUMG	RESO	RESG
WEST CAMERON BLOCK 4	009320	0	227	0	0
BLOCK 23L	009323	22	7459	0	0
WEST CAMERON BLOCK 5	009328	2	0	0	0
WEST CAMERON BLOCK 6	009330	211	1959	0	0
WEST CAMERON BLOCK 10	009335	253	24631	0	0
WEST CAMERON BLOCK 17	009341	1567	261688	0	0
WEST CAMERON BLOCK 19	009354	68	18987	0	0
WEST CAMERON BLOCK 28	009367	9	1304	0	0
WEST CAMERON BLOCK 33	009380	279	19087	0	0
WEST CAMERON BLOCK 45	009406	62	2484	0	0
WEST CAMERON BLOCK 49	009432	714	106519	0	0
WEST DELTA BLOCK 18	009478	1586	88226	0	0
WEST DELTA BLOCK 27	009484	10712	456771	88742	0
WEST DELTA BLOCK 52	009528	2505	17782	0	0
WEST DELTA BLOCK 53	009539	3193	23922	0	0
WEST DELTA BLOCK 55	009550	28	152628	0	0
WEST DELTA BLOCK 56	009561	6	11709	0	0
BLOCK 98-L	009564	223	38754	0	13586
BLOCK 340	009567	45	9198	0	0
BLOCK 176-S	009569	340	11130	0	0
BLOCK 245	009570	19	6658	0	373
BLOCK 368-L	009571	2	22239	0	1596
BLOCK 369-L	009572	1	13387	0	2480
BLOCK 774	009573	4	19768	0	5544
BLOCK 691-L	009574	1	2098	0	0
BLOCK 901	009575	587	5640	241	0
BLOCK 525-L	009576	0	0	0	0
BLOCK 978-S	009577	0	133	0	0
BLOCK 772	009578	15	32624	0	21552
BLOCK 794-L	009579	0	6668	0	0
BLOCK 367-L	009580	0	2552	0	2827
BLOCK 772-L	009581	84	5314	0	0
BLOCK 1068	009582	0	2269	0	0
BLOCK 1064-L	009583	0	56851	0	0
BLOCK 630-L	009584	310	8031	22	27
WEST DAUPHIN ISLAND	009585	0	0	0	0
BLOCK 564-L	009599	0	1328	0	0
WEST DELTA BLOCK 83	009605	1573	24058	0	0
WEST DELTA BLOCK 84	009616	2442	3991	0	0
BLOCK 749	009699	445	25693	0	670
BLOCK 818-L	009799	0	694	0	0
BLOCK 926-S	009899	73	8959	0	7346
BON SECOUR BAY	010675	0	29339	0	0
SOUTHEAST MOBILE BAY	010812	0	390	0	0
NORTH CENTRAL GULF	010820	0	33576	0	0
NORTHWEST GULF	010821	0	71634	0	0
BRAZOS AREA 446-L SE-4	011612	0	6921	0	6117
BRAZOS BLOCK 309	011639	2	4093	0	0
BRAZOS BLOCK 335-L	011640	30	13632	0	18127
BRAZOS BLOCK 336-L	011642	40	22758	0	30235
BRAZOS BLOCK 386-S	011648	1	75159	0	0
BRAZOS BLOCK 403-L	011651	0	1995	0	9
BRAZOS BLOCK 405	011653	0	186301	0	4
BRAZOS BLOCK 409-L	011655	0	5346	0	0
BRAZOS BLOCK 438-L	011665	0	1629	0	0
BRAZOS BLOCK 440	011667	0	213262	0	10597
BRAZOS BLOCK 442-L	011670	0	225	0	0
BRAZOS BLOCK 445	011674	40	26147	0	0
BRAZOS BLOCK 446	011681	0	88685	0	4685
BRAZOS BLOCK 446L SW-4	011692	0	4488	0	1031
BRAZOS BLOCK 512S	011693	0	305	0	0
BRAZOS BLOCK 449	011694	0	8177	0	1483
BRAZOS BLOCK 519S	011695	2	12563	0	0
NORTH DAUPHIN ISLAND	013585	0	46575	0	0
NORTHWEST DAUPHIN ISLAND	013586	0	3548	0	0
ALOE BAY	014081	0	0	0	0
STATE 109	014292	0	1913	0	0
SOUTH DAUPHIN ISLAND EAST UNIT	014638	0	4114	0	0
NORTHEAST PETIT BOIS PASS	014795	0	364	0	0
CAPLEN	015491	1584	411	25	0
"CAPLEN, SOUTH"	015492	135	5854	0	0
CAVALLO	016432	340	98816	0	0
"CAVALLO, WEST"	016436	2	2520	0	8331
CHEVRON	017566	3496	194641	0	0
CIB-OP	018200	0	1133	0	0
CLEAR	018808	3472	17478	612	507
"CLEAR, W."	018809	18	662	0	0
"CLEAR, NORTH"	018810	134	8903	431	64
"CLEAR, SOUTH"	018811	277	16406	0	13248
COLORADO DELTA	019815	1	6424	0	2958
COVE	021188	4	156322	0	13426
"COVE, NORTH"	021195	0	1537	0	0
COWTRAP	021309	0	5	0	0
"COWTRAP, NORTH"	021310	0	4347	0	0
"COWTRAP, S."	021312	6383	7197	0	0
CRYSTAL BEACH	022086	1	10250	0	0
DUNN-MCCAMPBELL	026678	12	27241	0	0
EL GORDO	027964	3110	221017	0	27247
"ELGORDO, NW."	027986	0	0	0	0
FREEPORT	032943	214	18918	0	1571
G O M-MCFADDIN BEACH DOME	033491	133	0	0	0
GOM 27-L	033500	76	18417	0	0
G. O. M.-ST-83-S	033505	0	0	0	0
GOM-ST-214-L	033510	185	0	0	0
G. O. M.  ST-773-L	033519	11	2720	0	0
G O M-ST-904	033533	872	95743	0	7079
GALVESTON 220-L	033839	23	5759	0	86
GALVESTON BLOCK 100-L	033849	6	388	0	0
GALVESTON BLK. 104-L	033850	499	16992	0	0
GALVESTON BLOCK 310-L	033853	3595	41582	0	2664
GALVESTON 102-L	033868	219	86345	0	0
GALVESTON 175-S	033872	0	5142	0	0
HARENA	039051	0	69434	0	0
HIGH IS. 4-L NW-4	041145	0	5692	0	6816
HIGH ISLAND BLK 10L GULF	041153	1003	27058	0	0
HIGH ISLAND BLK 13-L	041165	0	4	0	0
HIGH ISLAND BLK 14-L	041167	1099	233116	0	0
HIGH ISLAND BLK. 19-S	041181	779	0	118	0
HIGH ISLAND BLK. 20-S	041195	7	0	0	0
HIGH IS. BLK. 24L	041209	4477	364351	1674	41697
HIGH ISLAND BLK 30	041228	7565	40707	3317	0
HIGH IS. BLOCK 31-L	041234	212	19	57	0
HIGH ISLAND BLK.55-L	041240	363	4023	0	3701
HIGH ISLAND 90S	041270	2807	5544	0	0
KAIN	048028	0	17602	0	0
"LADY, EAST"	051232	0	0	0	0
LAFITTES GOLD	051264	151	38179	0	1645
MATAGORDA BLOCK 562-L	058199	365	6528	303	1115
MATAGORDA BLOCK 563-L	058206	231	5099	163	456
MATAGORDA BLOCK 629	058207	3170	3346	1774	573
MATAGORDA BLOCK	058208	0	202	0	0
MATAGORDA ISLAND	058209	0	174	0	0
MATAGORDA ISLAND 483-L	058210	0	4010	0	0
MATAGORDA ISLAND BLK 485-L	058213	79	21249	0	307
MATAGORDA ISL. BLK 519-L	058214	29	40308	0	60751
MATAGORDA ISLAND BLK571-S	058215	0	49	0	0
MATAGORDA ISLAND BLK 582-S	058220	0	13069	0	0
MAT BLK 825-S	058224	4	4279	0	0
MATAGORDA ISL. BLK 721-L	058255	597	35443	1363	2
"MCFADDIN BEACH, E."	059389	159	6021	0	0
MCPAC	059976	0	14240	0	25875
MIDDLE BANK REEF	061041	88	78440	0	10395
MORGANITE	062880	0	362	0	95
MUSTANG ISLAND	064099	0	1547	0	0
MUSTANG ISLAND	064115	0	617	0	0
MSTG ISL 746-L	064123	0	12913	0	13073
MSTG ISL BLK 773-L	064124	67	11803	0	1614
MSTG ISL 750-L	064125	0	781	0	0
MSTG ISL BLK 881-L	064128	3	26066	0	2359
MSTG.ISL.BLK 883	064129	87	39873	0	0
MSTG. ISL. BLK 883-S	064134	0	3828	0	24114
MSTG.ISL. BLK 889	064136	1128	91413	0	4487
MSTG ISL BLK 915-S	064199	6	870	0	0
"OAKVILLE, SW"	066525	0	8594	0	6741
"PADRE, NORTH"	068327	128	19181	103	0
PANTHER POINT	069018	0	1015	0	0
PIRATE'S COVE	071691	107	125	53	0
PLAYA	071872	0	5980	0	0
POCO	072053	43	17437	0	1139
SABINE PASS	079359	92	0	0	0
ST. JOSEPH ISLAND	079678	0	0	0	0
SAMEDAN	080090	0	137796	0	3203
SEASTAR I	081988	1	354	0	0
SHERMAN OFFSHORE	083189	0	50517	0	5775
"SHERMAN OFFSHORE, SW."	083190	0	5998	0	1998
"SHERMAN OFFSHORE, W."	083192	0	1132	0	902
SHIPWRECK	083315	719	146267	0	0
SIX-SIXTY	083852	2	21970	0	0
SOONER 1	084657	0	2397	0	0
SPRINT	085383	7	8678	0	0
"SPRINT, S."	085387	0	59282	0	12458
"ST. TR. 60-S, CENTRAL"	085716	2	31	0	0
"ST. TR. 60-S, EAST"	085717	1115	4947	3033	4968
"ST. TR. 60-S, WEST"	085724	674	4422	1167	857
ST. TR. 339-L	085725	2	2326	0	11823
ST. TR. 444-S	085727	6	10610	0	44715
"STEAMBOAT, PASS S."	085760	0	8559	0	0
CP000	159661	7358	335785	406	24300
FAIRWAY	234188	0	195727	0	0
LP000	413824	1347	147280	41	4438
TS000	707758	34975	2952594	2684	311169
BM002	803002	481690	468591	40481	89220
BA001A	805001	1345	57475	0	0
BA002A	805002	60	17576	259	19802
BA007A	805007	126	35492	20	3600
BA017A	805017	512	81664	0	0
BA020A	805020	168	264069	9	15937
BA021A	805021	6	8113	4	3408
BA022A	805022	661	104691	137	34836
BA364	805364	107	16960	104	12862
BA376	805376	62	9897	144	23912
BA397	805397	10	14681	51	47972
BA398	805398	9	693	88	7980
BA399	805399	68	38427	118	48936
BA412	805412	131	39103	195	33041
BA413	805413	31	7602	5	1123
BA431	805431	84	19951	26	6639
BA437	805437	227	64403	37	11601
BA451	805451	309	91709	124	38953
BA453	805453	205	52562	114	23351
BA455	805455	0	682	0	10394
BA475	805475	14	4920	30	6007
BA491	805491	51	16215	37	12752
BA494	805494	396	10561	61	2473
BA501	805501	118	35136	28	8113
BA507	805507	0	543	1	8051
BA515	805515	0	0	5	2738
BA538	805538	39	17382	0	0
BA541	805541	19	7540	0	0
BA542	805542	46	10134	77	17123
BA544	805544	0	258	47	28402
BA550	805550	2	14491	1	10397
BA552	805552	1	1603	2	4146
BA578	805578	43	94664	1	2126
BA052A	807052	463	112912	377	110998
BA070A	807070	220	182981	30	28432
BA076A	807076	357	191161	0	0
BA105A	807105	368	95738	229	148543
BA133A	807133	840	348025	235	103632
BS053	810053	4528	5123	891	892
CA014	814014	0	7256	0	267
CA024	814024	2	5764	0	0
CA025	814025	18	94920	1	9512
CA029	814029	22	114469	6	15531
CA031	814031	0	3234	0	350
CA037	816037	0	912	2	14538
CA038	816038	0	4061	1	7638
CA040	816040	1	28740	4	50000
CA041	816041	0	3550	3	30674
EB109	822109	298	70639	157	33470
EB158	822158	5750	29454	3849	33781
EB160	822160	7709	42681	2723	17850
EB165	822165	24587	71725	8454	44988
EC002	824002	162	794	1290	15510
EC014	824014	6994	213321	625	3606
EC033	824033	3496	518052	561	74108
EC038	824038	87	17563	71	10300
EC046	824046	12112	109364	2336	16096
EC049	824049	524	84617	13	10268
EC051	824051	0	2844	0	0
EC057	824057	2989	286555	399	20935
EC060	824060	1958	40990	1523	29683
EC062	824062	4162	398244	898	49088
EC064	824064	22904	1378317	4584	86587
EC071	824071	2124	241250	10	7920
EC081	824081	1654	89168	399	23993
EC089	824089	705	250238	13	3285
EC090	824090	0	2998	0	0
EC096	824096	95	85439	0	0
EC106	824106	179	5833	0	0
EC117	824117	4	8370	1	3431
EC118	824118	17	19144	0	0
EC121	824121	415	20102	0	0
EC142	824142	0	11337	0	0
EC148	824148	312	26796	303	20181
EC151	824151	28	29635	19	13649
EC160	824160	966	54741	423	31916
EC185	824185	625	24971	183	8643
EC193	824193	100	13175	587	47797
EC195	824195	2446	81299	429	14433
EC201	824201	0	0	96	12695
EC213	824213	131	16694	1223	24629
EC215	824215	606	138547	150	7423
EC222	824222	528	78362	54	7769
EC224	824224	0	7262	0	737
EC231	824231	5698	496112	1097	56604
EC233	824233	3	1930	0	0
EC237	826237	1256	17675	37	5651
EC245	826245	2	206954	38	18709
EC246	826246	4	3169	0	0
EC257	826257	9	25422	0	0
EC261	826261	299	193825	28	22038
EC263	826263	139	37392	0	0
EC265	826265	1324	318515	385	136215
EC267	826267	4	16763	0	0
EC271	826271	48238	961758	5995	60145
EC286	826286	626	119073	509	50913
EC294	826294	17	9995	0	0
EC299	826299	4410	335192	1690	131521
EC300	826300	480	14521	312	9136
EC306	826306	2	464	202	3757
EC317	826317	0	28949	0	33250
EC321	826321	57840	78194	14165	28404
EC322	826322	5218	59470	1616	21874
EC334	826334	1276	626322	257	86539
EC338	826338	34941	120988	8620	46530
EC347	826347	26	22408	0	0
EC353	826353	1	60946	2	7659
EC359	826359	3933	83845	1085	12259
EI023	829023	36	241	3153	3266
EI024	829024	3552	110851	1379	31614
EI028	829028	1715	22177	380	8436
EI030	829030	227	26468	100	11697
EI032	829032	39059	777886	7268	43935
EI045	829045	19444	196102	2243	26792
EI047	829047	514	34330	109	6111
EI048	829048	265	26339	136	5918
EI053	829053	879	72086	544	31003
EI057	829057	3174	569805	749	178139
EI064	829064	1712	51756	628	19243
EI070	829070	370	8827	168	4206
EI074	829074	1089	60128	544	27824
EI077	829077	4098	201759	1428	75882
EI078	829078	30	2747	23	2019
EI079	829079	1	2944	0	0
EI085	829085	400	3204	0	0
EI089	829089	12097	47978	1292	10755
EI100	829100	26977	147981	5041	47673
EI108	829108	3585	220605	565	60670
EI126	829126	120523	152883	9173	18191
EI128	829128	59053	91211	8948	14017
EI136	829136	1326	41655	417	15633
EI147	829147	1697	6859	1354	9909
EI159	829159	422	20206	400	20139
EI162	829162	808	23955	213	16850
EI164	829164	625	15279	132	3696
EI172	829172	3824	58105	2323	30963
EI175	829175	86733	212539	5354	51535
EI186	829186	19	538	490	13562
EI188	829188	55782	145825	9823	82980
EI198	829198	6725	113107	956	24593
EI205	829205	12892	386482	2738	51330
EI208	829208	58844	221294	14788	53669
EI212	829212	3142	24826	4537	61346
EI231	829231	804	102707	264	27445
EI238	829238	46895	914756	19400	275469
EI240	829240	2574	137629	294	30498
EI245	829245	0	8377	255	14571
EI258	829258	21436	403606	6111	62739
EI266	829266	1828	774207	2034	163185
EI273	831273	1536	527999	319	125905
EI276	831276	90028	262677	12972	37274
EI292	831292	13816	1437754	3562	194232
EI294	831294	23	31033	28	1569
EI296	831296	19679	1325381	1558	189338
EI297	831297	1404	77838	779	23523
EI299	831299	80	12617	0	0
EI306	831306	11110	670423	3804	94286
EI311	831311	95	4021	0	0
EI321	831321	45	23093	0	0
EI322	831322	502	192759	205	52261
EI324	831324	902	4411	3540	9735
EI325	831325	1157	47110	1085	61768
EI327	831327	3023	17454	508	3540
EI330	831330	329893	1533545	42836	204034
EI333	831333	15164	233447	1198	29159
EI337	831337	2737	19218	1009	10799
EI341	831341	16963	32343	7962	53826
EI342	831342	32124	555814	7683	27637
EI345	831345	3	7185	0	0
EI348	831348	1909	44574	1503	16399
EI361	831361	40711	77554	29916	112736
EI366	831366	0	11957	0	0
EI380	831380	149	245381	16	35335
EI385	831385	3785	260329	4287	61765
EW305	834305	9262	88400	7880	76698
EW826	834826	10628	30324	10402	41663
EW873	834873	1999	1507	44732	21858
EW914	834914	585	2702	11777	56874
EW947	834947	1227	36403	6224	55364
EW989	834989	0	0	78	6998
GA050A	836050	0	4461	0	6438
GA096A	836096	0	4727	0	0
GA097A	836097	13	1750	0	0
GA101A	836101	1	3162	0	0
GA144	837144	733	6500	0	0
GA189	837189	2249	18530	471	3848
GA209	837209	1356	37796	1063	105125
GA210	837210	107	19586	60	3088
GA239	837239	84	4480	173	7731
GA252	837252	22	5776	59	16178
GA255	837255	4040	43017	700	10742
GA273	837273	37	17281	47	22847
GA288	837288	15653	650435	333	18113
GA291	837291	36	2755	0	0
GA297	837297	35	1301	213	4712
GA303	837303	47	21660	3	620
GA313	837313	329	14682	43	2019
GA319	837319	42	2089	14	843
GA320	837320	366	24354	7	599
GA330	837330	98	2865	177	5904
GA333	837333	48	8282	117	9166
GA343	837343	593	114383	212	36566
GA349	837349	14	9202	1	922
GA350	837350	75	18427	19	6880
GA351	837351	19	4876	0	0
GA379	837379	197	25622	38	9754
GA384	837384	13	14831	17	8499
GA385	837385	3	163	0	0
GA389	837389	133	20363	0	0
GA391	837391	99	36256	3	1663
GA392	837392	5	12193	2	4501
GA393	837393	15	20171	44	2316
GA418	837418	5	10293	2	4113
GA427	837427	3	2316	0	0
GA460	837460	15	3643	0	0
GA465	837465	0	4396	0	0
GA127A	839127	8	8638	0	0
GA131A	839131	0	30033	0	0
GA157A	839157	33	7515	0	0
GB189	840189	7891	47609	7616	48491
GB224	840224	0	16810	0	18357
GB236	840236	4	227263	12	230048
GB387	840387	0	0	38861	101504
GB426	840426	7781	17755	101061	434885
GI016	842016	279336	337896	12126	51494
GI018	842018	3271	5355	279	303
GI020	842020	5977	9999	1688	7775
GI033	842033	4220	53790	1189	16621
GI041	842041	72552	269834	5360	35935
GI043	842043	328853	1295172	42967	201340
GI045	842045	231	16938	0	0
GI047	842047	123719	433238	11405	83628
GI072	842072	744	3855	0	0
GI076	842076	738	294126	211	41604
GI079	842079	83	10328	782	18735
GI082	842082	1033	17189	0	0
GI095	844095	5568	787216	301	63311
GI102	844102	2234	18034	6043	30433
GC006	846006	6816	50158	4017	47476
GC019	846019	43511	85130	24423	40670
GC029	846029	90	1598	0	0
GC052	846052	8964	10454	8055	15321
GC065	846065	66845	100616	77220	130001
GC075	846075	442	3689	0	0
GC116	846116	0	0	1567	197162
GC184	846184	16361	71536	22992	105029
HI022	848022	221	90115	195	86625
HI052	848052	3063	111909	258	5364
HI086	848086	6	962	0	0
HI088	848088	184	77210	40	13248
HI093	848093	70	4977	207	12735
HI105	848105	611	41796	295	2734
HI111	848111	2543	311644	436	39929
HI116	848116	346	103557	3	1476
HI140	848140	1913	260264	567	33852
HI154	848154	2825	73646	190	4301
HI160	848160	1492	472099	110	31371
HI164	848164	16	3718	18	2550
HI177	848177	855	69299	443	30615
HI178	848178	804	36909	0	0
HI179	848179	3107	447162	590	70113
HI194	848194	66	23082	60	30468
HI195	848195	43	10239	36	10350
HI196	848196	1541	79665	296	19157
HI199	848199	124	17811	117	11551
HI206	848206	2138	16495	0	0
HI262	848262	68	6002	66	4656
HI006A	849006	464	170083	80	26320
HI009A	849009	81	9267	28	3225
HI014A	849014	0	10461	0	0
HI020A	849020	687	110605	43	10065
HI022A	849022	2020	29696	2533	42522
HI071A	849071	1	17546	0	0
HI083A	849083	1	117350	2	20507
HI126A	849126	0	11893	0	2500
HI129A	849129	23	18486	14	4570
HI154A	849154	11	5740	0	0
HI119	850119	22	1922	0	0
HI128	850128	105	45355	14	13479
HI129	850129	703	97129	234	32199
HI166	850166	178	23456	29	4259
HI167	850167	193	31079	32	6856
HI171A	850171	0	41853	0	7174
HI178A	850178	1	4091	0	0
HI183A	850183	0	8669	0	0
HI185A	850185	3	34699	0	0
HI200A	850200	0	12605	0	1556
HI237A	850237	0	11867	0	830
HI244A	850244	11	29224	14	8857
HI245A	850245	0	483	4	13144
HI270A	852270	1780	121501	802	16152
HI271A	852271	9	7120	231	3406
HI273A	852273	5	27649	0	0
HI279A	852279	43	35692	0	0
HI280A	852280	441	132432	22	13011
HI283A	852283	227	59236	78	21688
HI285A	852285	99	80378	3	4130
HI290A	852290	10	18711	0	0
HI295A	852295	0	4642	0	0
HI298A	852298	2	7541	0	0
HI302A	852302	3	276040	1	15806
HI309A	852309	351	207059	21	27324
HI313A	852313	0	61804	0	14809
HI317A	852317	286	160263	18	19852
HI323A	852323	99	152204	10	10864
HI325A	852325	801	73042	223	12131
HI327A	852327	2823	160220	1645	38141
HI330A	852330	174	260316	3	15164
HI334A	852334	11197	233163	1526	44346
HI340A	852340	391	164981	33	21943
HI341A	852341	1	22012	0	0
HI343A	852343	0	319190	0	0
HI355A	852355	0	80411	0	11352
HI368A	852368	6	42442	1	19691
HI370A	852370	494	680462	29	35553
HI373A	852373	61	6470	127	13362
HI376A	852376	9986	64304	9726	61071
HI384A	852384	29	23772	4103	13921
HI389A	852389	127	29202	38	6165
HI414A	854414	1	11231	0	0
HI416A	854416	45	22376	0	0
HI442A	854442	2906	37326	270	11925
HI448A	854448	12470	103862	1253	6139
HI467A	854467	1772	227925	95	12373
HI469A	854469	13	52954	1	5916
HI474A	854474	15157	273840	2420	39599
HI480A	854480	19	42010	0	0
HI487A	854487	1068	43452	507	18628
HI492A	854492	1181	98970	650	12339
HI497A	854497	3	18542	1	15006
HI507A	854507	0	53724	0	0
HI511A	854511	42	114797	7	9099
HI515A	854515	0	13892	0	1349
HI517A	854517	39	83994	11	15065
HI519A	854519	0	6926	0	3217
HI520A	854520	3	15744	0	0
HI523A	854523	232	15536	667	20717
HI532A	854532	32	25165	5	3954
HI537A	854537	17399	156766	784	19903
HI542A	854542	235	9857	0	0
HI545A	854545	0	195001	0	29693
HI552A	854552	591	107619	549	59699
HI555A	854555	2284	34191	1538	12264
HI557A	854557	3773	27423	1683	19423
HI561A	854561	4467	35429	1025	7984
HI562A	854562	4	1657	54	17379
HI563A	854563	10067	478700	3180	80702
HI567A	854567	178	32777	0	0
HI568A	854568	920	106106	326	32145
HI571A	854571	35920	515308	3496	67118
HI573A	854573	78594	559732	16094	147026
HI587A	854587	237	14002	169	5724
MP006	866006	7923	743091	165	51551
MP030	866030	3044	6702	3572	14674
MP039	866039	9	5859	0	0
MP041	866041	218069	1156781	7193	84107
MP056	866056	0	2420	0	0
MP064	866064	9535	27050	1644	17016
MP069	866069	1052	19019	489	4628
MP073	866073	33393	209377	10949	120148
MP089	866089	9	18884	0	264
MP090	866090	0	1415	1	6241
MP093	866093	21	39872	15	19058
MP096	866096	22	31897	7	9060
MP098	866098	0	11174	0	1380
MP102	866102	59	34757	22	16038
MP103	866103	1569	63194	41	3580
MP107	866107	74	124852	29	16592
MP108	866108	1081	36979	1531	38343
MP115	866115	10	10668	0	0
MP120	866120	88	31001	15	4213
MP125	866125	5	8623	9	13390
MP126	866126	1	14416	0	9034
MP127	866127	613	143499	128	57265
MP128	866128	21	4112	0	0
MP129	866129	25	15784	266	7459
MP133	866133	4627	252737	212	28132
MP138	866138	726	1300	816	2634
MP140	866140	22724	113539	6506	16427
MP141	866141	436	643	1610	1979
MP144	866144	107928	70805	6713	10234
MP151	866151	18614	131985	4056	24466
MP154	868154	0	536	0	2897
MP159	868159	0	3587	0	571
MP163	868163	3	9629	4	12623
MP164	868164	2	25019	2	14982
MP175	868175	0	8081	8	26559
MP181	868181	0	6463	2	17563
MP186	868186	0	6743	1	7702
MP202	868202	1	45814	3	14082
MP227	868227	0	1763	0	3673
MP234	868234	0	1685	5	43466
MP252	868252	37	48502	26	65063
MP253	868253	54	325	0	0
MP255	868255	1	1002	1	16321
MP259	868259	0	15	8	84880
MP263	868263	0	0	1	8983
MP265	868265	851	41918	325	25278
MP273	868273	10	30373	5	16908
MP290	870290	37781	58394	7996	20988
MP299	870299	94598	57310	40424	39965
MP306	870306	85913	93935	38534	75919
MP310	870310	15462	9582	5102	6086
MP311	870311	68805	63438	43430	57108
MI004A	873004	7	14670	5	9597
MI007A	873007	2	36015	0	2596
MI487	873487	63	27595	8	5094
MI519	873519	90	54401	4	3207
MI527	873527	801	199220	311	56049
MI565	873565	20	12022	7	3958
MI568	873568	34	23503	29	9755
MI587	873587	29	60535	12	23632
MI588	873588	73	23334	29	6442
MI591	873591	8	4604	25	13806
MI604	873604	702	194034	328	64410
MI605	873605	56	44722	33	38117
MI619	873619	131	45264	39	13242
MI623	873623	6282	585912	3125	296200
MI633	873633	277	20018	475	38103
MI638	873638	213	111304	161	57444
MI639	873639	165	7806	48	1759
MI650	873650	224	104919	146	75506
MI651	873651	6	36845	216	32554
MI665	873665	31	183849	8	75366
MI668	873668	1794	670598	1453	424620
MI681	873681	496	173638	181	68010
MI686	873686	1166	158259	159	22980
MI687	873687	1	11925	5	20575
MI696	873696	105	28394	115	27159
