c5	c10	c12	c14	c15	c16	c17	c18	c20	c25	c35	c40	c90	c100	c110	c120	c130	c140	c150	c152	c160	c170	c180	c190	c192	c200	c210	c220	c230	c240	c250	c260	c270	c280	c290	c300	c310a	c310b	c310c	c310d	c314a	c314b	c314c	c314d	c320a	c320b	c320c	c324a	c324b	c324c	c330	c332	c340	c350	c360	c370	c380	c390	c400	c410	c420	c430	c440	c450	c460	c490	c510a	c510b	c510c	c510d	c510e	c510f	c602	c604	c606	c608	c610	c612	c614	c616	c620	c640	c652	c654	c660	eof
1995031000043	19950310	00043	SO  	1995	3	10	95ZZZX1002       	2	19950120	G	8530		CYLINDER        			UNIVAC	GC1   	GC1B        	9230104	NM  	CONT  	O300  	O300A       	17022	SO  					NR 5 HEAD	CRACKED         	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			NM	01	2420B	1800 	40   			3720	16110DR			CYLINDER CRACKED BETWEEN INTAKE AND EXHAUST SEATS.						1	L	7	1 	3O	3	O		A766    	E253				 
1995031000044	19950310	00044		1995	3	10	95ZZZX1003       	1	19950210	G	2434	902014	BEARING         	PRESTOLITE  	ALT9422     															SLIP RING END	FAILED          	B			CYKR	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			GL	07					10K000342					BEARING INNER RACE DOES NOT SEEM TO BE PROPERLY HARDENED.  MARKINGS ON BEARING:  PEER TRI 13307E JAPAN.																			 
1995031000046	19950310	00046	NE  	1995	3	10	95ZZZX1005       	1	19950104	G	7900		BREATHER        			CONAER	LA4   	LA4200      	5110310	NE  										ENGINE OIL	ICE BLOCKED     	G				A				UNSCHED LANDING         				K			FLUID LOSS                			CL	CLIMB          	1			GL	15	2FOR					568				AIRCRAFT DEPARTED INL ON A MINUS 9 DEGREES FAHRENHEIT DAY.  OIL BREATHER PLUGGED WITH ICE, FRONT OIL SEAL BLOW-OUT ALONG	 WITH ALL THE ENGINE OIL.  AIRCRAFT WAS SUBSTANTIALLY DAMAGED DURING 'OFF FIELD' LANDING.  AD 64-17-05 IS NOT APPLICABLE	 BECAUSE BREATHER HAS A 'NICKLE SLOT' CUT IN IT DURING MANUFACTURE, BUT SLOT WAS FILLED WITH ICE.  SUBMITTER RECOMMENDS 	MOVING BREATHER LINE AND AIR/OIL SEPARATOR TO A WARMER PART OF THE ENGINE COWLING.  IT IS CURRENTLY MOUNTED IN THE FRONT	 NOSE COWL WHICH PROVIDES NO PROTECTION FROM THE ELEMENTS.		1	H	7	1 	3O				1A13    					 
1995032000352	19950320	00352	CE  	1995	3	20	95ZZZX1006       	1	19950102	G	5520	043200151	ELEVATOR        			CESSNA	150   	152         	2071835	CE  										LT ELEVATOR	NUTPLATE FAILED 	D				O				OTHER                   				D			INFLIGHT SEPARATION       			CR	CRUISE         	1			SO	16	1931H	4896 				15283831				LEFT ELEVATOR DEPARTED AIRCRAFT IN-FLIGHT WITH NO DAMAGE TO THE PLANE.  SUSPECT THE OUTBOARD HINGE BOLT FELL OUT DUE TO 	NUTPLATE MALFUNCTION.  EITHER IT BACKED OUT BECAUSE OF LOSS OF LOCKING ACTION OF THE NUTPLATE, OR THE NUTPLATE FAILED AN	D BROKE UP BECAUSE OF CORROSION FORCES ON THE METAL AND THE BOLT CAME OUT.  CORRECTION ACTION WOULD BE TO REPLACE ALL TH	E OLD NUTPLATES WITH AN310-3 NUT AND COTTER PIN.  NUTPLATE PN NAS682A3.			1	H	7	1 	3O			NT	3A19    					 
1995031000047	19950310	00047	EA  	1995	3	10	95ZZZX1007       	2	19950208	G	8530	LW16343	INTAKE PIPE     			AMTR  	GHAWK 	GOSHAWK     		GL  	LYC   	O540  	IO540P1A5   	41532	EA  					NR 3 CYL FLANGE	BROKEN          	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			WP	09	345RM		304  			001	L800048			DURING ROUTINE MAINTENANCE, MAINTENANCE PERSONNEL NOTED THAT NR 3 CYLINDER INTAKE PIPE WAS LOOSE AT CYLINDER.  FOUND INT	AKE PIPE BROKEN ABOUT 45 DEGREES AT THE FLANGE.  REPLACED PART WITH A NEW INTAKE PIPE.  OLD INTAKE PIPE HAD BEEN CHROMEP	LATED BY UNKNOWN SHOP.  SUSPECT HYDROGEN EMBRITTLEMENT.  RECOMMEND THAT INTAKE PIPES NOT BE CHROMEPLATED.				1	H	7	1 	3O	3	O		EXPA1H71	1E4				 
1995031000048	19950310	00048	CE  	1995	3	10	95ZZZX1008       	1	19950214	G	3230	12430661	CLEVIS ASSY     			CESSNA	210   	210         	2073402	CE  										NLG UPLOCK	FAILED          	D		A		O				OTHER                   				O			OTHER                     			AP	APPROACH       	1			SW	11	7481E					57181				NOSE LANDING GEAR FAILED TO EXTEND.  NOSE GEAR UPLOCK ACT. CLEVIS ASSY FAILED CAUSING NOSE GEAR ASSY TO STAY IN UP AND L	OCKED POSITION.  UPLOCK ASSY IS SPRING LOADED TO THE LOCKED POSITION TO RELIEVE HYDRAULIC SYSTEM PRESS. AND HOLD DOORS U	P.  SUBMITTER RECOMMENDS EVERY 100 HOURS CHECK CLEVIS ASSY FOR SECURITY OF COTTER KEY IN CLEVIS ASSY FOR LOCKING EFFECTI	VENESS.			1	H	7	1 	3O			RT	3A21    					 
1995031000049	19950310	00049	SO  	1995	3	10	95ZZZX1009       	2	19950127	G	7322	6462124	PUMP FITTING    			GULSTM	500   	500A        	0141104	SW  	CONT  	O470  	IO470M      	17026	SO  					ENGINE FUEL	FAILED          	B			UPNR	O				OTHER                   				O			OTHER                     			NR	NOT REPORTED   	1			WP	25	57EB				1C109407BR	500A124571				FOUND FUEL PUMP HAS 90 DEGREE MALE TO FEMALE BRASS FITTING DEFECTIVE.  FITTINGS ARE OVERTORQUED AND ONE FITTING FAILED I	N-FLIGHT.  OTHER PUMP, UPON REMOVAL, HAD FITTING FAIL WITH ABOUT 25 INCH/POUNDS OF TORQUE.					1	H	7	2 	3O	3	O		6A1     	3E1				 
1995031000050	19950310	00050	SO  	1995	3	10	95ZZZX1010       	1	19950213	G	3246	9533348	WHEEL           	LORAL       	9542306     	GULSTM	G1159 	G1159       	3953505	SO  										MAIN GEAR	CRACKED         	B			COZR	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			WP	27					JULY71200					WHEEL WAS REPORTED TO HAVE A SLOW LEAK.  PERFORMED LEAK CHECK AND FOUND LEAK COMING FROM BOLT HOLE AREA ON THE OUTBOARD 	WHEEL HALF.  DYE-PENETRANT SHOWED NO DEFECT.  PERFORMED EDDY CURRENT AND U.T. INSPECTION AND BOTH METHODS SHOWED A DEFEC	T FROM THE BOLT-BOSS INNER RADIUS AREA INTO THE TIRE WELL AREA.  THIS IS THE SECOND DEFECT IN THIS AREA ON THIS PART NUM	BER WHEEL SUB-ASSEMBLY FOUND BY THIS REPAIR STATION.			2	L	7	2 	4F			RT	A12EA   					 
1995031000053	19950310	00053	WP  	1995	3	10	95ZZZX1013       	1	19950209	G	5230	37061647	FITTING         			DOUG  	DC8   	DC871F      	302199D	WP  										FWD CARGO DOOR	CRACKED         	B			EE4Y	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SO	23	825BX	71536				45978				FORWARD CARGO COMPARTMENT 'A' DOOR RT, NR 2 FITTING CRACKED.						2	L	7	4 	4F			RT	4A25    					 
1995031000054	19950310	00054	WP  	1995	3	10	95ZZZX1014       	1	19950209	G	5330		SKIN            			DOUG  	DC8   	DC871F      	302199D	WP  										STA Y620 L34L	CORRODED        	B			EE4Y	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SO	23	825BX	71536				45978				FORWARD CARGO COMPARTMENT, STA Y620.00, BETWEEN LONGERON 34L AND 34R, FUSELAGE SKIN CORRODED.						2	L	7	4 	4F			RT	4A25    					 
1995031000055	19950310	00055	NE  	1995	3	10	95ZZZX1015       	2	19950209	G	7250	3054289010	MANIFOLD        			DOUG  	DC8   	DC871F      	302199D	WP  	GE    	CFM56 	CFM562C1    	13802	NE  					INLET PORT RT	CRACKED         	B			EE4Y	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SO	23	825BX		28348			45978	693209			ENGINE NR 1, LOW PRESSURE TURBINE COOLING MANIFOLD DISTRIBUTOR INLET PORT CRACKED AT RIGHT SIDE.						2	L	7	4 	4F	4	F	RT	4A25    	E2GL				 
1995031000056	19950310	00056	NE  	1995	3	10	95ZZZX1016       	2	19950209	G	7250	3054289010	MANIFOLD        			DOUG  	DC8   	DC871F      	302199D	WP  	GE    	CFM56 	CFM562C1    	13802	NE  					NR 3 ENGINE	CRACKED         	B			EE4Y	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SO	23	825BX		27785			45978	693303			ENGINE NR 3 LOW PRESSURE TURBINE COOLING MANIFOLD DISTRIBUTOR, CRACKED AT 10 O'CLOCK POSITION.						2	L	7	4 	4F	4	F	RT	4A25    	E2GL				 
1995031000063	19950310	00063	CE  	1995	3	10	95ZZZX1023       	1	19950202	G	5610	NP1397211	WINDSHIELD      			CESSNA	650   	650         	2076802	CE  										PILOT	CRACKED         	B			GMCR	K				NONE                    				O			OTHER                     			TX	TAXI/GRND HDL  	1			GL	23	5113	65   			92043H6023	7013				PILOT'S WINDSHIELD OUTER LAYER CRACKED WHILE TAXIING TO RAMP AFTER LANDING.						2	L	7	2 	4F				A9NM    					 
1995031000064	19950310	00064	CE  	1995	3	10	95ZZZX1024       	1	19950214	G	2730		CONTROL CABLE   			BEECH 	MU300 	400BEECH    	       	CE  										ELEVATOR	OUT OF ADJ      	B			VIB4	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			GL	05	61SM					RK60				PILOT COMPLAINED THAT IN A HIGH SPEED DESCENT, THE AUTOPILOT WOULD NOT MAINTAIN CONSTANT AIRSPEED.  IN INSPECTING THE AI	RCRAFT, THE ELEVATOR CABLES WERE SET 35 POUNDS ABOVE MAXIMUM TENSION SETTING AND WITH THE ELEVATOR'S PIN IN THE NEUTRAL 	POSITION, THE LEFT ELEVATOR WAS IN THE NEUTRAL POSITION, BUT THE RIGHT ELEVATOR WAS ONE INCH ABOVE NEUTRAL.  RECENTERED 	TORQUE TUBE AND REPLACED A SHIM.  P/N:  AN960D516L BETWEEN THE BEARING.  RESET ALL CABLE TENSIONS TO SPECS.			2	H	7	2 	4F			RT	A16SW   					 
1995031000065	19950310	00065	CE  	1995	3	10	95ZZZX1025       	1	19950129	G	3340	MS3505822	SWITCH          			CESSNA	500   	S550        	2076607	CE  										LANDING LIGHT	DEFECTIVE       	B			DXTR	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			GL	07	112QS	7966 				S5500112				RIGHT LANDING LIGHT INOPERATIVE.  FOUND COCKPIT ON/OFF SWITCH BAD.  SWITCH HAS SIGNS OF HEAT ON BOTTOM OF IT, AND AT ONE	 LUG CONNECTION.  OPERATED UNDER NORMAL CONDITIONS.  SUBMITTER SUGGESTS SWITCH COULD NOT HANDLE CURRENT.					1	L	7	2 	4F			RT	A22CE   					 
1995031000066	19950310	00066	CE  	1995	3	10	95ZZZX1026       	1	19950131	G	2810	10092007113	ADAPTER PLATE   			BEECH 	200   	200BEECH    	1152920	CE  										RT NACELLE	CORRODED        	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			NM	01	8SV	4700 				BB506				THE RIGHT NACELLE FUEL CELL WAS BEING REINSTALLED AFTER REPAIR.  ALL PLATES AND ADAPTERS WERE BEING CLEANED AND INSPECTE	D PRIOR TO BEING REINSTALLED.  THE DEFUELING ADAPTER WAS FOUND TO HAVE 4 SPOTS OF CORROSION, ONE OF WHICH HAD REACHED TH	ROUGH THE PLATE.  THE NEW PLATE ASSY HAS A PAINTED FINISH ON IT.  SUBMITTER RECOMMENDS A SHORTER PERIOD FOR NACELLE INSP	ECTION.  CURRENTLY, 30 MONTHS OR 2550 HOURS.  RECOMMEND 18 MONTHS OR 600 HOURS.  SECOND PLATE ASSY ON KA200'S TO BE REPL	ACED, BOTH 1970'S VINTAGE.		1	L	7	2 	4T				A24CE   					 
1995031000067	19950310	00067	CE  	1995	3	10	95ZZZX1027       	1	19950126	G	5610	45AS310102	WINDOW          	PPG         	NP1382022   	BEECH 	MU300 	400BEECH    		CE  										COPILOT SIDE	CHIPPED         	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			NM	01	440DS	1015 			82H0516229	RK8				DURING CLEANING OF THE COPILOT'S SIDE WINDOW, A DEFECT WAS FOUND IN THE UPPER FORWARD CORNER.  INVESTIGATION FOUND IT WA	S A CHIP CAUSED BY THE WINDOW FRAME COMING IN CONTACT WITH THE WINDOW AND CAUSING A CHIP.  THIS WAS A FACTORY INSTALLED 	WINDOW.  CHECK CLEARNESS AROUND THE WINDOW FRAME.				2	H	7	2 	4F			RT	A16SW   					 
1995031000068	19950310	00068	CE  	1995	3	10	95ZZZX1028       	1	19950126	G	8010	6041H190	RELAY           	CUTLERHAM   		BEECH 	200   	200BEECH    	1152920	CE  										LT ENG STARTER	FAILED          	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			NM	01	222KA					BB49				WHEN BATTERY MASTER WAS SWITCHED TO THE 'ON' POSITION, THE LEFT ENGINE BEGAN TO SPOOL UP.  THE CONTACT POINTS WERE WELDE	D SHUT ON START RELAY.  REPLACED RELAY, OKAY FOR SERVICE.					1	L	7	2 	4T				A24CE   					 
1995031000072	19950310	00072	CE  	1995	3	10	95ZZZX1032       	1	19950113	G	5320	504300431183	INTERCOSTAL     			BEECH 	200   	200BEECH    	1152920	CE  										CABIN DOOR	CRACKED         	B			KI1R	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			NE	03	191FL					BB107				INTERCOSTAL FOUND CRACKED AT HANDRAIL SUPPORT RIVET HOLES.  (2 PLACES.)  CRACKS ARE SEVERE ENOUGH, CABIN DOOR HANDRAIL S	UPPORT COULD COME FREE, CAUSING DOOR TO CONTACT GROUND.  SUBMITTER RECOMMENDS PAYING SPECIAL ATTENTION TO THIS AREA DURI	NG 150-HOUR INSPECTIONS.				1	L	7	2 	4T				A24CE   					 
1995031000074	19950310	00074	SO  	1995	3	10	95ZZZX1034       	1	19950210	G	3610	18368031	PRE-COOLER      	AIRESRCH    		GULSTM	G1159 	G1159       	3953505	SO  										CORE	CRACKED         	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			NM	01	26WP	8741 			28171	24				DISCOVERED PRE-COOLER LEAKING WHILE DOING OTHER TROUBLESHOOTING DURING ENGINE RUN-UP.  THESE PRE-COOLERS HAVE A HISTORY 	OF CRACKING WITH AGE AND USE.  INSTALLED NEW PRE-COOLER.					2	L	7	2 	4F			RT	A12EA   					 
1995031000078	19950310	00078	CE  	1995	3	10	95ZZZX1038       	1	19950206	G	3230	63183233	PC BOARD        			CESSNA	525   	525         	2076601	CE  										MLG	DEFECTIVE       	B			ERY2	O				OTHER                   				O			OTHER                     			AP	APPROACH       	1			SO	11	444RH	1227 				5250001				PILOT REPORTED LANDING GEAR AND FLAP SYSTEM CIRCUIT BREAKER TRIPPED AND WOULD NOT RESET.  LANDING GEAR WAS BLOWN DOWN WI	TH EMERGENCY SYSTEM.  TROUBLESHOT SYSTEM AND FOUND P.C. BOARD HAD BURNED TRACKS.  FOUND CIRCUIT BREAKER FOR LANDING GEAR	 CONTROL DIODE ON LAND VALVES GROUNDING.  REPLACED ABOVE NOTED ITEMS WITH NEW UNITS.				1	L	7	2 	4F			RT	A1WI    					 
1995031000079	19950310	00079	CE  	1995	3	10	95ZZZX1039       	1	19950206	G	3230	52899L5	CIRCUIT BREAKER 			CESSNA	525   	525         	2076601	CE  										MLG	SHORTED         	B			ERY2	O				OTHER                   				O			OTHER                     			AP	APPROACH       	1			SO	11	444RH	1227 				5250001				PILOT REPORTED LANDING GEAR AND FLAP SYSTEM CIRCUIT BREAKER TRIPPED AND WOULD NOT RESET.  LANDING GEAR WAS BLOWN DOWN WI	TH EMERGENCY SYSTEM.  TROUBLESHOT SYSTEM AND FOUND P.C. BOARD HAD BURNED TRACKS.  FOUND CIRCUIT BREAKER FOR LANDING GEAR	 CONTROL DIODE ON LAND VALVES GROUNDING.  REPLACED ABOVE NOTED ITEMS WITH NEW UNITS.				1	L	7	2 	4F			RT	A1WI    					 
1995031000081	19950310	00081	EU  	1995	3	10	95ZZZX1041       	1	19950114	G	6730	SC50811A	SERVO           			SNIAS 	350   	AS350BA     	8680817	EU  										LT LATERAL	LEAKING         	D		A		A	H			UNSCHED LANDING         	DEACTIVATE SYST/CIRCUITS			J	K		WARNING INDICATION        	FLUID LOSS                		CR	CRUISE         	1			WP	13	269JM	6773 	269  			1398				DURING 3RD TOUR FLIGHT OF THE DAY, 2.6 HOURS SINCE PRE-FLIGHT, THE WARNING HORN SOUNDED AND THEN THE HYD LIGHT ILLUMINAT	ED ON THE WARNING PANEL.  PILOT SLOWED THE AIRCRAFT AND TURNED THE HYDRAULICS OFF & MADE AN EMERGENCY LANDING AT KALAPAP	A AIRPORT.  UPON INPSECTION OF THE TRANSMISSION AREA, THE LT TRANSMISSION DECK, LT SERVO, AND LT TRANSMISSION AREAS WERE	 COVERED IN HYD FLUID.  CLEANED AND INSPECTED LT SERVO AND LINES AND NO OBVIOUS SOURCE OF THE LEAK WAS DETECTED.  ADDED 	1 QUART OF HYD FLUID TO RESERVOIR & RAN ACFT.  AFTER SEVERAL MINUTES, HYD FLUID KEPT SEEPING OUT OF SERVO AT MATING AREA	 OF UPPER TAPERED SHAFT & SERVO BODY.  REPLACED SERVO, SERVICED RESERVOIR, & RETURNED TO BASE WITH NO FURTHER LEAKAGE.	1	G	7	1 	3U			NC	H9EU    					 
1995031000433	19950310	00433	NE  	1995	3	10	95ZZZX1049       	2	19950209	G	7261		ENGINE          			SNIAS 	350   	AS350D      	8680803	EU  	LYC   	LTS101	LTS101600A3 	41560	NE  					OIL SYSTEM	CHIP WARNING    	D				A				UNSCHED LANDING         				J			WARNING INDICATION        			CR	CRUISE         	1			WP	13	5771N					1344				DURING FLIGHT, ENGINE CHIP LIGHT WARNING MADE PRECAUTIONARY LANDING.  MECHANIC INSPECTED ENGINE LUBE SYSTEM, CHIP PLUGS 	AND WIRING, FOUND NO DEFECTS.  ACFT RETURNED TO SERVICE.					1	G	7	1 	3U	3	U		H9EU    	E5NE				 
1995031000434	19950310	00434	NE  	1995	3	10	95ZZZX1050       	1	19950116	G	6510	7636105201048	DRIVE SHAFT     			SKRSKY	S76   	S76A        	8143006	NE  										T/R NR 1	SCORED          	B			ZV1R	K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	03	31211	6379 				760225				WHEN COMPLYING WITH ASB 76-53-35, MOD TO CENTER FIREWALL, FOUND NR 1 DRIVE SHAFT SCORED FOR A LENGTH OF 4.50 INCHES.  DE	PTH OF SCORE APPROXIMATELY .005 INCH.  REPLACED WITH NEW SHAFT.  SUSPECT THAT SOMEONE PRESSED DOWN ON TOP OF CENTER FIRE	WALL CAUSING IT TO RUB SHAFT.  ASB WILL RELIEVE CAUSE OF PROBLEM.				1	G	7	2 	3U				H1NE    					 
1995031000435	19950310	00435	EU  	1995	3	10	95ZZZX1051       	1	19950222	G	6210		BLADE           			BOLKMS	117   	BK117B1     	5626012	EU  										BALANCE WEIGHT	DEFECTIVE       	D				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	05	214AE	4103 				7206				MAIN ROTOR BLADE BALANCE WEIGHT IS SHIFTING DUE CENTRIFUGAL FORCE WHICH CAUSES LEAD WEIGHT TO BULGE THE BLADE OUTER SKIN	 BEYOND MFG'S LIMITS RENDERING THE BLADE UNSERVICEABLE.					1	G	7	2 	3U				H13EU   					 
