-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
SIO3        49718.000    1995     1     1     0
SIO3        52274.750    2001    12    31    18
SIO3     -2455456.521 -4767480.705  3441383.654
49818.00     0.018750    -0.451692     1.163213
49818.25     0.062275    -0.155815     0.420419
49818.50    -0.056686    -0.183846     1.124135
49818.75     0.021955    -0.047550     0.150686
49819.00    -0.030497    -0.332258     1.128686
49819.25     0.052478    -0.073941     0.461528
49819.50    -0.004127    -0.021649     0.767873
49819.75     0.113338     0.221671    -0.457297
49820.00     0.041225     0.047130     0.305829
49820.25     0.047195     0.256238    -0.220665
49820.50    -0.093103     0.148358     0.500287
49820.75    -0.055078     0.189757    -0.184673
49821.00    -0.181010    -0.213761     1.137422
49821.25    -0.145375    -0.141703     0.792258
49821.50    -0.147295    -0.254058     1.401816
49821.75     0.050210    -0.186876     0.611520
49822.00     0.040747    -0.457792     1.607676
49822.25     0.059526    -0.342757     1.589340
49822.50    -0.021651    -0.345109     2.147033
49822.75    -0.038398    -0.235674     1.490677
49823.00    -0.131101    -0.426219     2.242496
49823.25    -0.100672    -0.259929     1.831015
49823.50    -0.213774    -0.254271     2.352449
49823.75    -0.178571    -0.190322     1.710413
49824.00    -0.223073    -0.337553     2.001657
49824.25    -0.144479    -0.145057     1.068647
49824.50    -0.139902    -0.074878     1.049493
49824.75    -0.074694    -0.014692     0.121507
49825.00    -0.101081    -0.201409     0.551254
49825.25    -0.088198    -0.182643     0.473070
49825.50    -0.270050    -0.242319     1.201798
49825.75    -0.335124    -0.278864     1.056612
49826.00    -0.437981    -0.616601     2.212070
49826.25    -0.389847    -0.531089     1.951915
49826.50    -0.446738    -0.524132     2.347287
49826.75    -0.314981    -0.293923     1.151123
49827.00    -0.344226    -0.490235     1.925634
49827.25    -0.256106    -0.352825     1.506541
49827.50    -0.355593    -0.392656     2.120681
49827.75    -0.254399    -0.268920     1.325714
49828.00    -0.187668    -0.605449     2.224487
49828.25    -0.009884    -0.459917     1.644704
49828.50     0.101685    -0.471479     1.782393
49828.75     0.326861    -0.331153     0.604233
49829.00     0.423060    -0.404992     0.764651
49829.25     0.632002    -0.140732    -0.116072
49829.50     0.684389    -0.065295    -0.181961
49829.75     0.783625     0.071518    -1.134433
49830.00     0.716057    -0.157971    -0.291774
49830.25     0.745561     0.047525    -0.885363
49830.50     0.686478     0.036098    -0.432648
49830.75     0.669632     0.061723    -0.931523
49831.00     0.511018    -0.232207     0.229431
49831.25     0.509914    -0.053373    -0.206317
49831.50     0.401279    -0.115485     0.405759
49831.75     0.426060    -0.029107    -0.208168
49832.00     0.307837    -0.343753     0.966664
49832.25     0.314187    -0.124883     0.410809
49832.50     0.209587    -0.128002     0.870851
49832.75     0.225281    -0.072820     0.224322
49833.00     0.143534    -0.360724     1.166612
49833.25     0.218787    -0.175093     0.799115
49833.50     0.155677    -0.152488     1.109414
49833.75     0.227203     0.001833     0.259194
49834.00     0.151425    -0.267091     1.178044
49834.25     0.180610    -0.097744     0.778600
49834.50     0.069190    -0.072108     1.185939
49834.75     0.156965     0.052761     0.151012
49835.00     0.106477    -0.168655     0.801707
49835.25     0.177724    -0.074152     0.378072
49835.50     0.108712    -0.054357     0.651129
49835.75     0.165307    -0.081931     0.086253
49836.00     0.117720    -0.361815     1.076743
49836.25     0.202129    -0.167488     0.541487
49836.50     0.095543    -0.151227     1.008982
49836.75     0.137645    -0.043164     0.204608
49837.00     0.109821    -0.250808     0.844094
49837.25     0.165611    -0.050408     0.288027
49837.50     0.120376    -0.105764     0.771744
49837.75     0.244171    -0.004119    -0.131395
49838.00     0.224496    -0.264219     0.726381
49838.25     0.211372    -0.013685     0.154371
49838.50     0.008523    -0.089456     0.984632
49838.75    -0.072326    -0.047200     0.572159
49839.00    -0.222846    -0.360136     1.669742
49839.25    -0.237225    -0.230316     1.195386
49839.50    -0.287627    -0.354256     1.740033
49839.75    -0.155355    -0.305823     1.000333
49840.00    -0.136566    -0.580108     1.680140
49840.25     0.021915    -0.388110     1.134255
49840.50     0.037755    -0.326076     1.176272
49840.75     0.154978    -0.176716     0.218756
49841.00     0.101212    -0.410664     0.943482
49841.25     0.116022    -0.156072     0.355415
49841.50     0.040875    -0.071424     0.662696
49841.75     0.110970     0.046631    -0.106504
49842.00    -0.019069    -0.197781     0.838208
49842.25    -0.068517    -0.020116     0.441369
49842.50    -0.185538     0.008422     0.749958
49842.75    -0.213822     0.085928     0.129203
49843.00    -0.262027    -0.143640     0.699986
49843.25    -0.266633    -0.072057     0.650366
49843.50    -0.400103    -0.180355     1.459960
49843.75    -0.372125    -0.211539     1.058324
49844.00    -0.412228    -0.421104     1.799663
49844.25    -0.292924    -0.298136     1.438867
49844.50    -0.369287    -0.314969     1.884455
49844.75    -0.246189    -0.258723     1.236223
49845.00    -0.171996    -0.415961     1.591731
49845.25    -0.023494    -0.271924     1.004101
49845.50    -0.051492    -0.313477     1.500881
49845.75     0.095041    -0.149283     0.431227
49846.00     0.095601    -0.379394     1.204316
49846.25     0.241153    -0.147277     0.239830
49846.50     0.168393    -0.122854     0.545893
49846.75     0.298380     0.040811    -0.678207
49847.00     0.208312    -0.252441     0.414118
49847.25     0.262929    -0.047345    -0.319363
49847.50     0.100186    -0.097805     0.425691
49847.75     0.109451     0.014256    -0.360585
49848.00    -0.021197    -0.282890     0.798481
49848.25    -0.071538    -0.184090     0.573354
49848.50    -0.269001    -0.277520     1.393498
49848.75    -0.286360    -0.271075     0.914380
49849.00    -0.450350    -0.651263     2.239881
49849.25    -0.485941    -0.595609     2.087413
49849.50    -0.576116    -0.702238     2.755089
49849.75    -0.514872    -0.722277     2.323110
49850.00    -0.565993    -0.979301     3.326946
49850.25    -0.562317    -0.819710     3.243753
49850.50    -0.627036    -0.853706     3.820757
49850.75    -0.557321    -0.693633     3.035904
49851.00    -0.493940    -0.833007     3.497473
49851.25    -0.300460    -0.482527     2.279802
49851.50    -0.320182    -0.307632     2.039106
49851.75    -0.167739    -0.059733     0.688173
49852.00    -0.238439    -0.244835     1.320384
49852.25    -0.167170    -0.067139     0.772081
49852.50    -0.301256    -0.027699     0.984304
49852.75    -0.200910    -0.018970     0.361988
49853.00    -0.321017    -0.400812     1.395284
49853.25    -0.284817    -0.375597     1.353352
49853.50    -0.434732    -0.437385     1.911772
49853.75    -0.390618    -0.423355     1.494558
49854.00    -0.489855    -0.710738     2.408213
49854.25    -0.363032    -0.535343     1.782246
49854.50    -0.332249    -0.552904     2.067312
49854.75    -0.206977    -0.415045     1.235302
49855.00    -0.140552    -0.597250     1.859206
49855.25     0.010719    -0.346343     1.235831
49855.50     0.062315    -0.264468     1.162990
49855.75     0.231663    -0.127059     0.265893
49856.00     0.224024    -0.348324     0.927366
49856.25     0.318796    -0.178943     0.518677
49856.50     0.296624    -0.135869     0.636216
49856.75     0.378721    -0.082793     0.086288
49857.00     0.268264    -0.349788     1.040350
49857.25     0.278373    -0.157282     0.592275
49857.50     0.205415    -0.143147     0.853873
49857.75     0.246991    -0.112835     0.339128
49858.00     0.178025    -0.337663     1.184946
49858.25     0.249770    -0.159447     0.819786
49858.50     0.205666    -0.110641     1.037982
49858.75     0.284997    -0.025462     0.309243
49859.00     0.184925    -0.263142     1.282750
49859.25     0.266055    -0.122601     0.905518
49859.50     0.144908    -0.126118     1.408691
49859.75     0.235400    -0.014371     0.552760
49860.00     0.197134    -0.250237     1.308426
49860.25     0.243300    -0.124354     0.900585
49860.50     0.208075    -0.089114     1.076584
49860.75     0.323408    -0.051142     0.393565
49861.00     0.295677    -0.280068     1.019998
49861.25     0.340294    -0.121721     0.649057
49861.50     0.303396    -0.034545     0.750276
49861.75     0.363945     0.056753     0.125840
49862.00     0.291300    -0.216376     1.167030
49862.25     0.363445    -0.029503     0.721283
49862.50     0.293256    -0.036502     1.188510
49862.75     0.331012     0.025159     0.574792
49863.00     0.293524    -0.222447     1.255535
49863.25     0.378777    -0.022876     0.577631
49863.50     0.257015    -0.109734     1.144749
49863.75     0.306192     0.007128     0.271611
49864.00     0.268608    -0.248843     1.045202
49864.25     0.332267    -0.052069     0.442842
49864.50     0.283541    -0.070841     0.823408
49864.75     0.307884     0.007064     0.228943
49865.00     0.286520    -0.271136     1.060796
49865.25     0.349389    -0.115440     0.601776
49865.50     0.280620    -0.096773     0.827318
49865.75     0.323950     0.008593     0.183215
49866.00     0.243303    -0.246758     1.084485
49866.25     0.295933    -0.035636     0.370698
49866.50     0.245712    -0.094177     0.844564
49866.75     0.264009     0.052939    -0.024860
49867.00     0.164391    -0.185909     0.809138
49867.25     0.174549     0.047452     0.139085
49867.50     0.099732     0.036661     0.410850
49867.75     0.160385     0.138548    -0.486604
49868.00     0.074398    -0.189870     0.598126
49868.25     0.125689    -0.017675     0.165357
49868.50     0.079417    -0.044922     0.472212
49868.75     0.153403     0.050815    -0.242840
49869.00     0.123158    -0.269269     0.809119
49869.25     0.153616    -0.059208     0.313243
49869.50     0.052631    -0.106430     0.917007
49869.75     0.082674    -0.020293     0.388105
49870.00     0.001028    -0.298524     1.323063
49870.25    -0.003022    -0.186221     1.167247
49870.50    -0.036022    -0.196195     1.442525
49870.75    -0.025582    -0.124074     0.882603
49871.00    -0.045077    -0.417151     1.676722
49871.25     0.022999    -0.259802     1.239238
49871.50     0.066864    -0.166354     1.138390
49871.75     0.104449    -0.100232     0.596852
49872.00     0.117002    -0.302582     1.146663
49872.25     0.146655    -0.099380     0.681518
49872.50     0.087661    -0.080454     0.899066
49872.75     0.105971     0.028933     0.151110
49873.00    -0.010081    -0.265012     1.057734
49873.25    -0.067583    -0.168414     0.873628
49873.50    -0.195556    -0.259160     1.401980
49873.75    -0.245631    -0.255659     0.930686
