Industry	SIC	Total_Code	Data_Type	Total	"0-49,999"	"50,000-99,999"	"100,000-499,999"	"500,000-999,999"	"1,000,000-2,999,999"	"<3,000,000"	"3,000,000-4,999,999"	"<5,000,000"	"5,000,000-7,499,999"	"<7,500,000"	"7,500,000-24,999,999"	"25,000,000-99,999,999"	"100,000,000+"
Manufacturing	2000	1	Est. Receipts	3990994286	726847	1921691	26668161	35272520	109053084	173642303	77579440	251221743	73650074	324871817	265295122	352574680	3048252667
"Trans., Comm., & Util."	4000	1	Firms	218654	28059	31105	92691	25978	23314	201147	5865	207012	3264	210276	4813	2009	1556
"Trans., Comm., & Util."	4000	1	Establishments	301628	28073	31128	93187	26916	26238	205542	7918	213460	5178	218638	10903	10434	61653
"Trans., Comm., & Util."	4000	1	Employment	6246969	27302	49766	352338	249810	451864	1131080	217071	1348151	175034	1523185	445207	453533	3825044
"Trans., Comm., & Util."	4000	1	Ann. Payroll	226052599	283562	641663	6201281	5348539	11243216	23718261	6078621	29796882	5106824	34903706	14014630	14819549	162314714
"Trans., Comm., & Util."	4000	1	Est. Receipts	1263951812	754656	2301806	21907583	18111527	38688626	81764198	21771710	103535908	18908721	122444629	56459178	68728078	1016319927
Wholesale Trade	5000	1	Firms	413690	15402	21129	109377	63960	92614	302482	33299	335781	21304	357085	37513	13730	5362
Wholesale Trade	5000	1	Establishments	530967	15407	21135	109543	64502	96116	306703	37009	343712	25418	369130	53868	33001	74968
Wholesale Trade	5000	1	Employment	6810413	14148	25978	270622	297933	749391	1358072	430075	1788147	367149	2155296	1068126	931387	2655604
Wholesale Trade	5000	1	Ann. Payroll	255887683	163446	355780	5177896	6929049	21071401	33697572	13899804	47597376	12619712	60217088	39276091	36624803	119769701
Wholesale Trade	5000	1	Est. Receipts	4222553155	449704	1566531	29304944	45639319	160866028	237826526	125679470	363505996	126412320	489918316	470471679	540906868	2721256292
Retail Trade	5200	1	Firms	1097657	98675	120393	491994	170216	142891	1024169	26706	1050875	12746	1063621	21822	9579	2635
Retail Trade	5200	1	Establishments	1592292	98765	120591	496479	179531	172943	1068309	45397	1113706	28532	1142238	69726	61122	319206
Retail Trade	5200	1	Employment	22003645	113230	235868	2365882	1803590	2638927	7157497	885291	8042788	601961	8644749	1654518	1631387	10072991
Retail Trade	5200	1	Ann. Payroll	330384866	746483	1700299	22637363	21340478	36810115	83234738	13716559	96951297	9663259	106614556	29910855	35533733	158325722
Retail Trade	5200	1	Est. Receipts	2578150268	2745635	8948381	123603024	119403328	232874756	487575124	98684442	586259566	73839947	660099513	274998720	378156744	1264895291
"Fin., Ins., & Real Estate"	6000	1	Firms	460568	59529	61609	206473	54809	44796	427216	10492	437708	5781	443489	9606	4114	3359
"Fin., Ins., & Real Estate"	6000	1	Establishments	678129	59546	61656	207878	57793	53354	440227	16332	456559	10987	467546	29847	25378	155358
"Fin., Ins., & Real Estate"	6000	1	Employment	7367192	57615	83985	563427	336459	552185	1593671	249986	1843657	191810	2035467	581980	546679	4203066
"Fin., Ins., & Real Estate"	6000	1	Ann. Payroll	313289829	664375	1293904	12916167	9926566	18433177	43234189	9008003	52242192	7268503	59510695	22111267	23123019	208544848
"Fin., Ins., & Real Estate"	6000	1	Est. Receipts	2468069744	1612466	4553472	49509800	38091048	73851630	167618416	38904419	206522835	33391494	239914329	112490600	143478012	1972186803
Services	7000	1	Firms	2224348	355313	331177	1006415	261183	180604	2134692	36134	2170826	17637	2188463	23297	8256	4332
Services	7000	1	Establishments	2553603	355545	331488	1013737	274646	219611	2195027	58854	2253881	37068	2290949	74815	50781	137058
Services	7000	1	Employment	37384595	470071	665184	4443257	2866765	4603026	13048303	2106590	15154893	1591977	16746870	4104335	4192495	12340895
Services	7000	1	Ann. Payroll	1014185813	3894762	7723310	82565669	69999555	124080250	288263546	58582327	346845873	44642812	391488685	114388066	122807079	385501983
Services	7000	1	Est. Receipts	2657047254	9352787	24315474	242359331	180486778	294113045	750627415	135353312	885980727	103519784	989500511	275672191	312142637	1079731915
Nonclassifiable	9900	1	Firms	31204	20770	4806	4966	448	185	31175	14	31189	5	31194	9	1	0
Nonclassifiable	9900	1	Establishments	31204	20770	4806	4966	448	185	31175	14	31189	5	31194	9	1	0
Nonclassifiable	9900	1	Employment	26126	7603	4737	9948	1725	1340	25353	75	25428	6	25434	         [f]	         [a]	0
Nonclassifiable	9900	1	Ann. Payroll	575553	111484	94091	240561	65999	47304	559439	3459	562898	501	563399	         (D)	         (D)	0
Nonclassifiable	9900	1	Est. Receipts	2492245	355962	340412	990720	306376	273824	2267294	51361	2318655	28818	2347473	         (D)	         (D)	0
Agricultural Services	700	2	Firms	110164	18347	20302	51936	12211	5721	108517	728	109245	298	109543	409	115	97
Agricultural Services	700	2	Establishments	111841	18348	20303	51946	12226	5780	108603	769	109372	344	109716	627	299	1199
Agricultural Services	700	2	Employment	688208	16388	28877	206466	133596	123407	508734	31795	540529	16355	556884	41656	22864	66804
Agricultural Services	700	2	Ann. Payroll	13953248	162938	383514	3427886	2751522	2933386	9659246	756849	10416095	439799	10855894	971836	578461	1547057
Agricultural Services	700	2	Est. Receipts	46797618	499002	1490621	12269375	8440069	8926309	31625376	2686638	34312014	1735807	36047821	4214944	2311882	4222971
Soil Preparation Services	710	2	Firms	643	67	67	273	78	100	585	29	614	8	622	10	9	2
Soil Preparation Services	710	2	Establishments	651	67	67	273	78	101	586	30	616	9	625	12	12	2
Soil Preparation Services	710	2	Employment	4599	73	89	841	488	1192	2683	405	3088	188	3276	         [e]	445	         [f]
Soil Preparation Services	710	2	Ann. Payroll	119752	453	1105	14378	12276	25324	53536	13079	66615	6824	73439	         (D)	14294	         (D)
Soil Preparation Services	710	2	Est. Receipts	745809	1695	4868	65842	55049	164735	292189	101267	393456	44293	437749	         (D)	149644	         (D)
Soil Preparation Services	711	2	Firms	643	67	67	273	78	100	585	29	614	8	622	10	9	2
Soil Preparation Services	711	2	Establishments	651	67	67	273	78	101	586	30	616	9	625	12	12	2
Soil Preparation Services	711	2	Employment	4599	73	89	841	488	1192	2683	405	3088	188	3276	         [e]	445	         [f]
Soil Preparation Services	711	2	Ann. Payroll	119752	453	1105	14378	12276	25324	53536	13079	66615	6824	73439	         (D)	14294	         (D)
Soil Preparation Services	711	2	Est. Receipts	745809	1695	4868	65842	55049	164735	292189	101267	393456	44293	437749	         (D)	149644	         (D)
Crop Services	720	2	Firms	3997	451	439	1495	556	542	3483	148	3631	86	3717	168	52	60
Crop Services	720	2	Establishments	4317	451	439	1495	557	545	3487	158	3645	90	3735	206	80	296
Crop Services	720	2	Employment	50517	424	628	4803	3859	8065	17779	4548	22327	2961	25288	11173	5902	8154
Crop Services	720	2	Ann. Payroll	1166120	4036	7483	82599	80534	165913	340565	87704	428269	70808	499077	246662	156787	263594
Crop Services	720	2	Est. Receipts	6919659	11331	32477	375340	394012	913920	1727080	563470	2290550	516819	2807369	1866606	1004025	1241659
"Crop Planting, Cultivating, And Protecting"	721	2	Firms	2244	287	281	998	346	235	2147	41	2188	12	2200	20	12	12
"Crop Planting, Cultivating, And Protecting"	721	2	Establishments	2282	287	281	998	346	235	2147	47	2194	12	2206	25	32	19
"Crop Planting, Cultivating, And Protecting"	721	2	Employment	10531	244	350	2873	2002	2324	7793	764	8557	311	8868	609	875	179
"Crop Planting, Cultivating, And Protecting"	721	2	Ann. Payroll	272037	2571	4763	52728	48975	62078	171115	22864	193979	12394	206373	21384	38049	6231
"Crop Planting, Cultivating, And Protecting"	721	2	Est. Receipts	1500413	7269	20829	253707	247340	373432	902577	144705	1047282	72368	1119650	205008	151012	24743
"Crop Harvesting, Primarily By Machine"	722	2	Firms	366	58	59	142	34	38	331	9	340	14	354	6	3	3
"Crop Harvesting, Primarily By Machine"	722	2	Establishments	368	58	59	142	34	38	331	9	340	14	354	6	4	4
"Crop Harvesting, Primarily By Machine"	722	2	Employment	2823	45	75	357	223	546	1246	348	1594	275	1869	114	663	177
"Crop Harvesting, Primarily By Machine"	722	2	Ann. Payroll	58263	505	872	6627	4798	11779	24581	6019	30600	7302	37902	2313	16254	1794
"Crop Harvesting, Primarily By Machine"	722	2	Est. Receipts	421017	1396	4281	34093	23819	65670	129259	37278	166537	84642	251179	61889	100787	7162
Crop Preparation Services For Market	723	2	Firms	1063	88	80	274	134	190	766	73	839	39	878	110	32	43
Crop Preparation Services For Market	723	2	Establishments	1224	88	80	274	135	190	767	74	841	43	884	137	39	164
Crop Preparation Services For Market	723	2	Employment	33413	109	167	1265	1366	4481	7388	3073	10461	1944	12405	9684	4219	7105
Crop Preparation Services For Market	723	2	Ann. Payroll	736324	786	1544	18457	20611	73873	115271	49130	164401	38555	202956	199676	98669	235023
Crop Preparation Services For Market	723	2	Est. Receipts	3901263	2232	5960	65462	92206	330814	496674	284556	781230	230647	1011877	1192754	681946	1014686
Cotton Ginning	724	2	Firms	321	15	15	74	41	81	226	26	252	21	273	34	5	9
Cotton Ginning	724	2	Establishments	428	15	15	74	41	82	227	28	255	21	276	38	5	109
Cotton Ginning	724	2	Employment	3731	24	33	300	262	714	1333	363	1696	431	2127	766	145	693
Cotton Ginning	724	2	Ann. Payroll	99184	163	282	4623	6035	18183	29286	9691	38977	12557	51534	23289	3815	20546
Cotton Ginning	724	2	Est. Receipts	1094298	343	1170	20475	29910	144004	195902	96931	292833	129162	421995	406955	70280	195068
Veterinary Services	740	2	Firms	23085	1042	1366	13277	5594	1715	22994	62	23056	6	23062	16	3	4
Veterinary Services	740	2	Establishments	23418	1042	1366	13282	5599	1743	23032	69	23101	6	23107	50	6	255
Veterinary Services	740	2	Employment	185164	1329	2457	67382	66000	37594	174762	3131	177893	343	178236	1962	         [g]	         [h]
Veterinary Services	740	2	Ann. Payroll	3552640	10746	26318	1002605	1321740	930211	3291620	79701	3371321	11074	3382395	57513	         (D)	         (D)
Veterinary Services	740	2	Est. Receipts	10873060	27854	103998	3763202	3847777	2404288	10147119	225059	10372178	32039	10404217	173519	         (D)	         (D)
Veterinary Services For Livestock	741	2	Firms	1381	58	104	804	302	105	1373	2	1375	1	1376	4	0	1
Veterinary Services For Livestock	741	2	Establishments	1382	58	104	804	303	105	1374	2	1376	1	1377	4	0	1
Veterinary Services For Livestock	741	2	Employment	8279	77	182	3367	2801	1486	7913	         [b]	         [i]	         [a]	7948	         [e]	0	         [b]
Veterinary Services For Livestock	741	2	Ann. Payroll	150138	517	1656	47288	53121	37754	140336	         (D)	         (D)	         (D)	141773	         (D)	0	         (D)
Veterinary Services For Livestock	741	2	Est. Receipts	630287	1660	7925	221805	207150	148727	587267	         (D)	         (D)	         (D)	600811	         (D)	0	         (D)
Veterinary Services For Animal Specialties	742	2	Firms	21693	981	1260	12468	5291	1610	21610	60	21670	5	21675	12	3	3
Veterinary Services For Animal Specialties	742	2	Establishments	22025	981	1260	12473	5295	1638	21647	67	21714	5	21719	46	6	254
Veterinary Services For Animal Specialties	742	2	Employment	176848	1251	2275	63988	63190	36108	166812	         [h]	         [m]	         [e]	170251	         [g]	         [g]	         [h]
Veterinary Services For Animal Specialties	742	2	Ann. Payroll	3401758	10216	24657	954852	1268358	892457	3150540	         (D)	         (D)	         (D)	3239878	         (D)	         (D)	         (D)
Veterinary Services For Animal Specialties	742	2	Est. Receipts	10240893	26160	95915	3540410	3639926	2255561	9557972	         (D)	         (D)	         (D)	9801526	         (D)	         (D)	         (D)
Animal Services Except Veterinary	750	2	Firms	10862	3155	2794	4170	442	199	10760	31	10791	14	10805	31	16	10
Animal Services Except Veterinary	750	2	Establishments	10928	3155	2794	4171	442	200	10762	33	10795	18	10813	70	29	16
Animal Services Except Veterinary	750	2	Employment	45871	3898	5876	19027	5169	4180	38150	969	39119	880	39999	1942	3071	859
Animal Services Except Veterinary	750	2	Ann. Payroll	683718	29520	56562	245510	86547	80808	498947	24259	523206	19296	542502	47143	70848	23225
Animal Services Except Veterinary	750	2	Est. Receipts	2450500	84481	202500	852236	301527	305532	1746276	98187	1844463	83926	1928389	224522	239007	58582
Livestock Services Except Veterinary	751	2	Firms	1387	293	251	638	100	64	1346	9	1355	6	1361	12	8	6
Livestock Services Except Veterinary	751	2	Establishments	1418	293	251	638	100	64	1346	9	1355	6	1361	30	18	9
Livestock Services Except Veterinary	751	2	Employment	10966	453	530	3181	985	1397	6546	410	6956	442	7398	1135	2041	392
Livestock Services Except Veterinary	751	2	Ann. Payroll	197939	4140	4930	39576	16575	28373	93594	9989	103583	9964	113547	28744	44834	10814
Livestock Services Except Veterinary	751	2	Est. Receipts	710309	7529	18680	137951	66017	107368	337545	31582	369127	35858	404985	139348	142045	23931
Animal Specialty Services Except Veterinary	752	2	Firms	9312	2837	2515	3450	321	132	9255	20	9275	5	9280	19	9	4
Animal Specialty Services Except Veterinary	752	2	Establishments	9346	2837	2515	3451	321	133	9257	22	9279	9	9288	40	11	7
Animal Specialty Services Except Veterinary	752	2	Employment	34055	3424	5313	15555	3971	2715	30978	532	31510	241	31751	807	1030	467
Animal Specialty Services Except Veterinary	752	2	Ann. Payroll	470622	25228	51087	201703	65667	50525	394210	13883	408093	5705	413798	18399	26014	12411
Animal Specialty Services Except Veterinary	752	2	Est. Receipts	1676979	76394	181782	696201	221078	193662	1369117	59861	1428978	31214	1460192	85174	96962	34651
Farm Labor & Management Services	760	2	Firms	1006	213	138	341	97	130	919	27	946	26	972	21	6	7
Farm Labor & Management Services	760	2	Establishments	1033	213	138	341	100	130	922	28	950	39	989	22	6	16
Farm Labor & Management Services	760	2	Employment	14082	342	284	1589	1359	2974	6548	820	7368	422	7790	4638	398	1256
Farm Labor & Management Services	760	2	Ann. Payroll	236879	2313	3796	27726	21926	50290	106051	14916	120967	14849	135816	52240	5086	43737
Farm Labor & Management Services	760	2	Est. Receipts	1037442	4506	10073	75401	69738	221146	380864	106623	487487	163356	650843	235694	67513	83392
Farm Labor Contractors & Crew Leaders	761	2	Firms	452	88	49	147	46	74	404	22	426	12	438	11	2	1
Farm Labor Contractors & Crew Leaders	761	2	Establishments	457	88	49	147	46	74	404	22	426	12	438	11	2	6
Farm Labor Contractors & Crew Leaders	761	2	Employment	5867	179	138	859	744	2029	3949	634	4583	98	4681	286	         [e]	         [f]
Farm Labor Contractors & Crew Leaders	761	2	Ann. Payroll	98936	838	1227	11058	10329	28729	52181	10605	62786	6069	68855	8499	         (D)	         (D)
Farm Labor Contractors & Crew Leaders	761	2	Est. Receipts	578449	1877	3634	33591	33441	131552	204095	88269	292364	71225	363589	131474	         (D)	         (D)
Farm Management Services	762	2	Firms	542	122	87	189	50	54	502	5	507	14	521	10	4	7
Farm Management Services	762	2	Establishments	563	122	87	189	53	54	505	6	511	27	538	11	4	10
Farm Management Services	762	2	Employment	8203	160	143	726	614	944	2587	186	2773	324	3097	4352	         [c]	         [f]
Farm Management Services	762	2	Ann. Payroll	137742	1453	2556	16543	11585	21532	53669	4311	57980	8780	66760	43741	         (D)	         (D)
Farm Management Services	762	2	Est. Receipts	452294	2535	6271	40934	35498	84832	170070	18354	188424	92131	280555	104220	         (D)	         (D)
Landscape & Horticultural Services	780	2	Firms	70066	13287	15430	32169	5390	3006	69282	417	69699	155	69854	159	32	21
Landscape & Horticultural Services	780	2	Establishments	70916	13287	15430	32172	5395	3022	69306	435	69741	177	69918	258	156	584
Landscape & Horticultural Services	780	2	Employment	384076	10231	19487	112355	56572	68965	267610	21690	289300	11523	300823	21396	11248	50609
Landscape & Horticultural Services	780	2	Ann. Payroll	8062006	112130	286824	2045421	1223501	1671636	5339512	530356	5869868	315487	6185355	543369	283198	1050084
Landscape & Horticultural Services	780	2	Est. Receipts	24433494	366244	1131610	7087848	3735994	4850516	17172212	1529481	18701693	882997	19584690	1566146	732866	2549792
Landscape Counseling & Planning	781	2	Firms	6758	936	1214	3360	718	406	6634	71	6705	18	6723	27	5	3
Landscape Counseling & Planning	781	2	Establishments	6790	936	1214	3361	720	413	6644	71	6715	18	6733	41	12	4
Landscape Counseling & Planning	781	2	Employment	36417	851	1538	11158	6818	7932	28297	3703	32000	1366	33366	2407	599	45
Landscape Counseling & Planning	781	2	Ann. Payroll	896452	8366	23907	228732	170207	228457	659669	94419	754088	36110	790198	75913	29069	1272
Landscape Counseling & Planning	781	2	Est. Receipts	2662382	26002	90473	786599	499057	635762	2037893	245250	2283143	91800	2374943	213830	70523	3086
Lawn & Garden Services	782	2	Firms	56527	11051	12695	25553	4239	2385	55923	320	56243	128	56371	118	22	16
Lawn & Garden Services	782	2	Establishments	57055	11051	12695	25555	4241	2390	55932	335	56267	147	56414	201	67	373
Lawn & Garden Services	782	2	Employment	285877	8178	15619	89605	45034	56101	214537	16318	230855	9049	239904	16171	3528	26274
Lawn & Garden Services	782	2	Ann. Payroll	5772730	92943	234837	1614852	945928	1314389	4202949	396521	4599470	251280	4850750	392187	100743	429050
Lawn & Garden Services	782	2	Est. Receipts	18107967	304996	929097	5601696	2933440	3866533	13635762	1181911	14817673	726976	15544649	1162661	303576	1097081
Ornamental Shrub & Tree Services	783	2	Firms	6637	1252	1474	3204	427	217	6574	28	6602	10	6612	15	7	3
Ornamental Shrub & Tree Services	783	2	Establishments	6916	1252	1474	3204	427	218	6575	29	6604	12	6616	16	77	207
Ornamental Shrub & Tree Services	783	2	Employment	61519	1177	2285	11457	4672	4922	24513	1669	26182	1108	27290	2818	7121	24290
Ornamental Shrub & Tree Services	783	2	Ann. Payroll	1388780	10553	27433	199677	106468	128719	472850	39416	512266	28097	540363	75269	153386	619762
Ornamental Shrub & Tree Services	783	2	Est. Receipts	3639841	34071	108569	688357	298742	345514	1475253	102320	1577573	64221	1641794	189655	358767	1449625
Forestry	800	2	Firms	2464	566	378	905	255	198	2302	50	2352	24	2376	37	13	38
Forestry	800	2	Establishments	2689	566	378	906	255	210	2315	55	2370	27	2397	55	20	217
Forestry	800	2	Employment	26652	607	630	3562	3097	4045	11941	2272	14213	1231	15444	         [g]	         [f]	9033
Forestry	800	2	Ann. Payroll	701581	5134	8344	65665	49618	95343	224104	51483	275587	34958	310545	         (D)	         (D)	327932
Forestry	800	2	Est. Receipts	2533391	12417	27252	213822	180185	326997	760673	189986	950659	131986	1082645	         (D)	         (D)	923915
Timber Tracts	810	2	Firms	816	247	115	229	85	61	737	22	759	15	774	13	5	24
Timber Tracts	810	2	Establishments	942	247	115	229	85	63	739	26	765	16	781	13	11	137
Timber Tracts	810	2	Employment	6678	265	207	687	738	767	2664	824	3488	256	3744	195	462	2277
Timber Tracts	810	2	Ann. Payroll	194209	1945	2225	13014	13337	22746	53267	16648	69915	11122	81037	8120	12734	92318
Timber Tracts	810	2	Est. Receipts	1039521	5177	8197	52834	59042	101774	227024	85039	312063	75378	387441	152647	137084	362349
Timber Tracts	811	2	Firms	816	247	115	229	85	61	737	22	759	15	774	13	5	24
Timber Tracts	811	2	Establishments	942	247	115	229	85	63	739	26	765	16	781	13	11	137
Timber Tracts	811	2	Employment	6678	265	207	687	738	767	2664	824	3488	256	3744	195	462	2277
Timber Tracts	811	2	Ann. Payroll	194209	1945	2225	13014	13337	22746	53267	16648	69915	11122	81037	8120	12734	92318
Timber Tracts	811	2	Est. Receipts	1039521	5177	8197	52834	59042	101774	227024	85039	312063	75378	387441	152647	137084	362349
Forest Nurseries	830	2	Firms	156	26	22	50	22	16	136	2	138	0	138	7	3	8
Forest Nurseries	830	2	Establishments	199	26	22	50	22	16	136	2	138	0	138	9	4	48
Forest Nurseries	830	2	Employment	1955	         [b]	68	196	251	148	         [f]	         [b]	752	0	752	         [e]	         [b]	826
Forest Nurseries	830	2	Ann. Payroll	43498	         (D)	540	3059	4236	2840	         (D)	         (D)	12381	0	12381	         (D)	         (D)	23553
Forest Nurseries	830	2	Est. Receipts	215360	         (D)	1657	13832	15745	24085	         (D)	         (D)	62773	0	62773	         (D)	         (D)	91221
Forest Nurseries	831	2	Firms	156	26	22	50	22	16	136	2	138	0	138	7	3	8
Forest Nurseries	831	2	Establishments	199	26	22	50	22	16	136	2	138	0	138	9	4	48
Forest Nurseries	831	2	Employment	1955	         [b]	68	196	251	148	         [f]	         [b]	752	0	752	         [e]	         [b]	826
Forest Nurseries	831	2	Ann. Payroll	43498	         (D)	540	3059	4236	2840	         (D)	         (D)	12381	0	12381	         (D)	         (D)	23553
Forest Nurseries	831	2	Est. Receipts	215360	         (D)	1657	13832	15745	24085	         (D)	         (D)	62773	0	62773	         (D)	         (D)	91221
Forestry Services	850	2	Firms	1413	268	223	591	140	115	1337	26	1363	9	1372	19	5	17
Forestry Services	850	2	Establishments	1448	268	223	591	140	124	1346	26	1372	9	1381	33	5	29
Forestry Services	850	2	Employment	17601	291	336	2595	2022	3028	8272	1371	9643	911	10554	1062	79	5906
Forestry Services	850	2	Ann. Payroll	449546	2479	5162	47771	29921	68258	153591	32090	185681	18829	204510	29496	5190	210350
Forestry Services	850	2	Est. Receipts	1254181	6195	16143	139224	99899	191940	453401	98093	551494	56608	608102	164130	11604	470345
Forestry Services	851	2	Firms	1413	268	223	591	140	115	1337	26	1363	9	1372	19	5	17
Forestry Services	851	2	Establishments	1448	268	223	591	140	124	1346	26	1372	9	1381	33	5	29
Forestry Services	851	2	Employment	17601	291	336	2595	2022	3028	8272	1371	9643	911	10554	1062	79	5906
Forestry Services	851	2	Ann. Payroll	449546	2479	5162	47771	29921	68258	153591	32090	185681	18829	204510	29496	5190	210350
Forestry Services	851	2	Est. Receipts	1254181	6195	16143	139224	99899	191940	453401	98093	551494	56608	608102	164130	11604	470345
"Fishing, Hunting, & Trapping"	900	2	Firms	2421	398	428	1063	266	161	2316	48	2364	16	2380	23	12	6
"Fishing, Hunting, & Trapping"	900	2	Establishments	2443	398	428	1063	270	164	2323	50	2373	16	2389	27	13	14
"Fishing, Hunting, & Trapping"	900	2	Employment	12605	296	429	2048	995	1728	5496	940	6436	255	6691	1275	998	3641
"Fishing, Hunting, & Trapping"	900	2	Ann. Payroll	413616	3554	6970	44156	28945	47226	130851	28265	159116	14142	173258	47665	49982	142711
"Fishing, Hunting, & Trapping"	900	2	Est. Receipts	2066630	10067	31487	249452	189509	270430	750945	179464	930409	89032	1019441	249312	288682	509195
Commercial Fishing	910	2	Firms	2010	316	338	904	232	136	1926	41	1967	13	1980	16	8	6
Commercial Fishing	910	2	Establishments	2020	316	338	904	232	137	1927	41	1968	13	1981	17	8	14
Commercial Fishing	910	2	Employment	9736	193	320	1493	723	1247	3976	719	4695	         [c]	         [h]	         [f]	         [f]	3641
Commercial Fishing	910	2	Ann. Payroll	339675	2769	5367	35584	22864	36559	103143	22709	125852	         (D)	         (D)	         (D)	         (D)	142711
Commercial Fishing	910	2	Est. Receipts	1738833	7979	24939	213692	166365	223607	636582	153806	790388	         (D)	         (D)	         (D)	         (D)	509195
Finfish	912	2	Firms	1183	192	204	520	140	70	1126	26	1152	10	1162	8	7	6
Finfish	912	2	Establishments	1191	192	204	520	140	70	1126	26	1152	10	1162	8	7	14
Finfish	912	2	Employment	6951	106	181	872	442	320	1921	345	2266	128	2394	         [e]	         [f]	3641
Finfish	912	2	Ann. Payroll	270233	1705	3490	21758	11880	16871	55704	15127	70831	8628	79459	         (D)	         (D)	142711
Finfish	912	2	Est. Receipts	1308486	4763	15312	125067	98886	113314	357342	99742	457084	59106	516190	         (D)	         (D)	509195
Shellfish	913	2	Firms	770	110	123	364	85	64	746	13	759	3	762	7	1	0
Shellfish	913	2	Establishments	771	110	123	364	85	64	746	13	759	3	762	8	1	0
Shellfish	913	2	Employment	2546	80	132	574	246	887	1919	         [e]	         [g]	         [b]	         [g]	         [e]	         [b]	0
Shellfish	913	2	Ann. Payroll	65410	926	1761	12810	10163	18774	44434	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)	0
Shellfish	913	2	Est. Receipts	403880	2972	8789	82898	62589	106600	263848	         (D)	         (D)	         (D)	         (D)	         (D)	         (D)	0
Miscellaneous Marine Products	919	2	Firms	42	11	8	12	5	3	39	2	41	0	41	1	0	0
Miscellaneous Marine Products	919	2	Establishments	42	11	8	12	5	3	39	2	41	0	41	1	0	0
Miscellaneous Marine Products	919	2	Employment	219	6	6	32	32	40	116	         [b]	         [c]	0	         [c]	         [b]	0	0
Miscellaneous Marine Products	919	2	Ann. Payroll	3665	72	69	796	787	914	2638	         (D)	         (D)	0	         (D)	         (D)	0	0
