"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B08412",28.000,"Less than 5 minutes","6,286","+/-1,547","4,739","7,833"
"B08412",29.000,"5 to 9 minutes","21,640","+/-2,268","19,372","23,908"
"B08412",30.000,"10 to 14 minutes","31,851","+/-2,485","29,366","34,336"
"B08412",31.000,"15 to 19 minutes","33,214","+/-2,738","30,476","35,952"
"B08412",32.000,"20 to 24 minutes","31,777","+/-2,744","29,033","34,521"
"B08412",33.000,"25 to 29 minutes","12,071","+/-1,719","10,352","13,790"
"B08412",34.000,"30 to 34 minutes","22,766","+/-2,301","20,465","25,067"
"B08412",35.000,"35 to 39 minutes","3,875","+/-1,141","2,734","5,016"
"B08412",36.000,"40 to 44 minutes","7,678","+/-1,210","6,468","8,888"
"B08412",37.000,"45 to 59 minutes","13,433","+/-1,980","11,453","15,413"
"B08412",38.000,"60 to 89 minutes","11,602","+/-1,743","9,859","13,345"
"B08412",39.000,"90 or more minutes","6,743","+/-1,343","5,400","8,086"
"B08501",.,"MEANS OF TRANSPORTATION TO WORK BY AGE FOR WORKPLACE GEOGRAPHY",,,,
"B08501",.,"Universe:  Workers 16 years and over",,,,
"B08501",1.000,"Total:","460,151","+/-8,600","451,551","468,751"
"B08501",2.000,"16 to 19 years","16,072","+/-1,632","14,440","17,704"
"B08501",3.000,"20 to 24 years","35,823","+/-2,839","32,984","38,662"
"B08501",4.000,"25 to 44 years","200,098","+/-5,437","194,661","205,535"
"B08501",5.000,"45 to 54 years","116,384","+/-3,954","112,430","120,338"
"B08501",6.000,"55 to 59 years","43,883","+/-2,832","41,051","46,715"
"B08501",7.000,"60 to 64 years","28,696","+/-2,364","26,332","31,060"
"B08501",8.000,"65 years and over","19,195","+/-1,608","17,587","20,803"
"B08501",9.000,"Car, truck, or van - drove alone:","361,489","+/-7,539","353,950","369,028"
"B08501",10.000,"16 to 19 years","10,250","+/-1,397","8,853","11,647"
"B08501",11.000,"20 to 24 years","24,670","+/-2,462","22,208","27,132"
"B08501",12.000,"25 to 44 years","156,780","+/-4,999","151,781","161,779"
"B08501",13.000,"45 to 54 years","95,220","+/-3,817","91,403","99,037"
"B08501",14.000,"55 to 59 years","35,917","+/-2,842","33,075","38,759"
"B08501",15.000,"60 to 64 years","23,349","+/-2,064","21,285","25,413"
"B08501",16.000,"65 years and over","15,303","+/-1,546","13,757","16,849"
"B08501",17.000,"Car, truck, or van - carpooled:","33,716","+/-3,931","29,785","37,647"
"B08501",18.000,"16 to 19 years","1,852","+/-520","1,332","2,372"
"B08501",19.000,"20 to 24 years","4,012","+/-1,130","2,882","5,142"
"B08501",20.000,"25 to 44 years","16,247","+/-2,623","13,624","18,870"
"B08501",21.000,"45 to 54 years","6,574","+/-1,386","5,188","7,960"
"B08501",22.000,"55 to 59 years","2,560","+/-875","1,685","3,435"
"B08501",23.000,"60 to 64 years","1,547","+/-512","1,035","2,059"
"B08501",24.000,"65 years and over","924","+/-486","438","1,410"
"B08501",25.000,"Public transportation (excluding taxicab):","23,300","+/-2,906","20,394","26,206"
"B08501",26.000,"16 to 19 years","1,599","+/-634","965","2,233"
"B08501",27.000,"20 to 24 years","2,972","+/-1,014","1,958","3,986"
"B08501",28.000,"25 to 44 years","11,509","+/-2,162","9,347","13,671"
"B08501",29.000,"45 to 54 years","4,118","+/-1,030","3,088","5,148"
"B08501",30.000,"55 to 59 years","1,768","+/-832","936","2,600"
"B08501",31.000,"60 to 64 years","1,011","+/-455","556","1,466"
"B08501",32.000,"65 years and over","323","+/-295","28","618"
"B08501",33.000,"Walked:","13,803","+/-2,504","11,299","16,307"
"B08501",34.000,"16 to 19 years","1,653","+/-512","1,141","2,165"
"B08501",35.000,"20 to 24 years","2,255","+/-758","1,497","3,013"
"B08501",36.000,"25 to 44 years","5,290","+/-1,864","3,426","7,154"
"B08501",37.000,"45 to 54 years","2,832","+/-1,022","1,810","3,854"
"B08501",38.000,"55 to 59 years","1,068","+/-488","580","1,556"
"B08501",39.000,"60 to 64 years","289","+/-217","72","506"
"B08501",40.000,"65 years and over","416","+/-286","130","702"
"B08501",41.000,"Taxicab, motorcycle, bicycle, or other means:","7,195","+/-1,632","5,563","8,827"
"B08501",42.000,"16 to 19 years","605","+/-332","273","937"
"B08501",43.000,"20 to 24 years","1,300","+/-735","565","2,035"
"B08501",44.000,"25 to 44 years","3,802","+/-1,304","2,498","5,106"
"B08501",45.000,"45 to 54 years","1,025","+/-523","502","1,548"
"B08501",46.000,"55 to 59 years","368","+/-272","96","640"
"B08501",47.000,"60 to 64 years","81","+/-107","0","188"
"B08501",48.000,"65 years and over","14","+/-23","0","37"
"B08501",49.000,"Worked at home:","20,648","+/-2,231","18,417","22,879"
"B08501",50.000,"16 to 19 years","113","+/-132","0","245"
"B08501",51.000,"20 to 24 years","614","+/-511","103","1,125"
"B08501",52.000,"25 to 44 years","6,470","+/-1,414","5,056","7,884"
"B08501",53.000,"45 to 54 years","6,615","+/-1,050","5,565","7,665"
"B08501",54.000,"55 to 59 years","2,202","+/-742","1,460","2,944"
"B08501",55.000,"60 to 64 years","2,419","+/-829","1,590","3,248"
"B08501",56.000,"65 years and over","2,215","+/-649","1,566","2,864"
"B08503",.,"MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY",,,,
"B08503",.,"Universe:  Workers 16 years and over",,,,
"B08503",0.700,"Median age --",,,,
"B08503",1.000,"Total:","43.2","+/-0.4","42.8","43.6"
"B08503",2.000,"Car, truck, or van - drove alone","43.8","+/-0.4","43.4","44.2"
"B08503",3.000,"Car, truck, or van - carpooled","39.3","+/-1.4","37.9","40.7"
"B08503",4.000,"Public transportation (excluding taxicab)","37.3","+/-1.8","35.5","39.1"
"B08503",5.000,"Walked","33.6","+/-4.9","28.7","38.5"
"B08503",6.000,"Taxicab, motorcycle, bicycle, or other means","31.9","+/-4.2","27.7","36.1"
"B08503",7.000,"Worked at home","50.3","+/-1.8","48.5","52.1"
"B08505A",.,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE)",,,,
"B08505A",.,"Universe:  White alone workers 16 years and over",,,,
"B08505A",1.000,"Total:","361,006","+/-7,988","353,018","368,994"
"B08505A",2.000,"Car, truck, or van - drove alone","294,984","+/-6,696","288,288","301,680"
"B08505A",3.000,"Car, truck, or van - carpooled","23,987","+/-2,815","21,172","26,802"
"B08505A",4.000,"Public transportation (excluding taxicab)","10,046","+/-1,767","8,279","11,813"
"B08505A",5.000,"Walked","9,255","+/-1,969","7,286","11,224"
"B08505A",6.000,"Taxicab, motorcycle, bicycle, or other means","4,395","+/-1,260","3,135","5,655"
"B08505A",7.000,"Worked at home","18,339","+/-2,049","16,290","20,388"
"B08505B",.,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"B08505B",.,"Universe:  Black or African American alone workers 16 years and over",,,,
"B08505B",1.000,"Total:","40,980","+/-3,137","37,843","44,117"
"B08505B",2.000,"Car, truck, or van - drove alone","27,732","+/-2,636","25,096","30,368"
"B08505B",3.000,"Car, truck, or van - carpooled","2,453","+/-923","1,530","3,376"
"B08505B",4.000,"Public transportation (excluding taxicab)","7,312","+/-1,690","5,622","9,002"
"B08505B",5.000,"Walked","1,752","+/-834","918","2,586"
"B08505B",6.000,"Taxicab, motorcycle, bicycle, or other means","548","+/-388","160","936"
"B08505B",7.000,"Worked at home","1,183","+/-679","504","1,862"
"B08505C",.,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (AMERICAN INDIAN AND ALASKA NATIVE ALONE)",,,,
"B08505C",.,"Universe:  American Indian and Alaska Native alone workers 16 years and over",,,,
"B08505C",1.000,"Total:","N","N","N","N"
"B08505C",2.000,"Car, truck, or van - drove alone","N","N","N","N"
"B08505C",3.000,"Car, truck, or van - carpooled","N","N","N","N"
"B08505C",4.000,"Public transportation (excluding taxicab)","N","N","N","N"
"B08505C",5.000,"Walked","N","N","N","N"
"B08505C",6.000,"Taxicab, motorcycle, bicycle, or other means","N","N","N","N"
"B08505C",7.000,"Worked at home","N","N","N","N"
"B08505D",.,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (ASIAN ALONE)",,,,
"B08505D",.,"Universe:  Asian alone workers 16 years and over",,,,
"B08505D",1.000,"Total:","20,482","+/-2,357","18,125","22,839"
"B08505D",2.000,"Car, truck, or van - drove alone","14,075","+/-1,986","12,089","16,061"
"B08505D",3.000,"Car, truck, or van - carpooled","2,564","+/-971","1,593","3,535"
"B08505D",4.000,"Public transportation (excluding taxicab)","2,084","+/-804","1,280","2,888"
"B08505D",5.000,"Walked","652","+/-393","259","1,045"
"B08505D",6.000,"Taxicab, motorcycle, bicycle, or other means","271","+/-295","0","566"
"B08505D",7.000,"Worked at home","836","+/-385","451","1,221"
"B08505E",.,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)",,,,
"B08505E",.,"Universe:  Native Hawaiian and Other Pacific Islander alone workers 16 years and over",,,,
"B08505E",1.000,"Total:","N","N","N","N"
"B08505E",2.000,"Car, truck, or van - drove alone","N","N","N","N"
"B08505E",3.000,"Car, truck, or van - carpooled","N","N","N","N"
"B08505E",4.000,"Public transportation (excluding taxicab)","N","N","N","N"
"B08505E",5.000,"Walked","N","N","N","N"
"B08505E",6.000,"Taxicab, motorcycle, bicycle, or other means","N","N","N","N"
"B08505E",7.000,"Worked at home","N","N","N","N"
"B08505F",.,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (SOME OTHER RACE ALONE)",,,,
"B08505F",.,"Universe:  Some other race alone workers 16 years and over",,,,
"B08505F",1.000,"Total:","32,156","+/-5,113","27,043","37,269"
"B08505F",2.000,"Car, truck, or van - drove alone","20,158","+/-4,036","16,122","24,194"
"B08505F",3.000,"Car, truck, or van - carpooled","4,198","+/-2,099","2,099","6,297"
"B08505F",4.000,"Public transportation (excluding taxicab)","3,465","+/-1,163","2,302","4,628"
"B08505F",5.000,"Walked","2,093","+/-1,230","863","3,323"
"B08505F",6.000,"Taxicab, motorcycle, bicycle, or other means","1,952","+/-1,199","753","3,151"
"B08505F",7.000,"Worked at home","290","+/-217","73","507"
"B08505G",.,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (TWO OR MORE RACES)",,,,
"B08505G",.,"Universe:  Two or more races workers 16 years and over",,,,
"B08505G",1.000,"Total:","N","N","N","N"
"B08505G",2.000,"Car, truck, or van - drove alone","N","N","N","N"
"B08505G",3.000,"Car, truck, or van - carpooled","N","N","N","N"
"B08505G",4.000,"Public transportation (excluding taxicab)","N","N","N","N"
"B08505G",5.000,"Walked","N","N","N","N"
"B08505G",6.000,"Taxicab, motorcycle, bicycle, or other means","N","N","N","N"
"B08505G",7.000,"Worked at home","N","N","N","N"
"B08505H",.,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"B08505H",.,"Universe:  White alone, not Hispanic or Latino workers 16 years and over",,,,
"B08505H",1.000,"Total:","326,722","+/-6,659","320,063","333,381"
"B08505H",2.000,"Car, truck, or van - drove alone","271,953","+/-6,322","265,631","278,275"
"B08505H",3.000,"Car, truck, or van - carpooled","19,246","+/-2,426","16,820","21,672"
"B08505H",4.000,"Public transportation (excluding taxicab)","7,582","+/-1,335","6,247","8,917"
"B08505H",5.000,"Walked","7,438","+/-1,356","6,082","8,794"
"B08505H",6.000,"Taxicab, motorcycle, bicycle, or other means","2,654","+/-912","1,742","3,566"
"B08505H",7.000,"Worked at home","17,849","+/-1,981","15,868","19,830"
"B08505I",.,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (HISPANIC OR LATINO)",,,,
"B08505I",.,"Universe:  Hispanic or Latino workers 16 years and over",,,,
"B08505I",1.000,"Total:","62,213","+/-3,352","58,861","65,565"
"B08505I",2.000,"Car, truck, or van - drove alone","40,497","+/-3,307","37,190","43,804"
"B08505I",3.000,"Car, truck, or van - carpooled","8,967","+/-2,343","6,624","11,310"
"B08505I",4.000,"Public transportation (excluding taxicab)","5,924","+/-1,480","4,444","7,404"
"B08505I",5.000,"Walked","3,642","+/-1,719","1,923","5,361"
"B08505I",6.000,"Taxicab, motorcycle, bicycle, or other means","2,378","+/-992","1,386","3,370"
"B08505I",7.000,"Worked at home","805","+/-392","413","1,197"
"B08511",.,"MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS FOR WORKPLACE GEOGRAPHY",,,,
"B08511",.,"Universe:  Workers 16 years and over",,,,
"B08511",1.000,"Total:","460,151","+/-8,600","451,551","468,751"
"B08511",2.000,"Native","348,139","+/-7,863","340,276","356,002"
"B08511",3.000,"Foreign born:","112,012","+/-6,565","105,447","118,577"
"B08511",4.000,"Naturalized U.S. citizen","46,220","+/-3,941","42,279","50,161"
"B08511",5.000,"Not a U.S. citizen","65,792","+/-5,087","60,705","70,879"
"B08511",6.000,"Car, truck, or van - drove alone:","361,489","+/-7,539","353,950","369,028"
"B08511",7.000,"Native","284,619","+/-6,662","277,957","291,281"
"B08511",8.000,"Foreign born:","76,870","+/-5,233","71,637","82,103"
"B08511",9.000,"Naturalized U.S. citizen","37,420","+/-3,473","33,947","40,893"
"B08511",10.000,"Not a U.S. citizen","39,450","+/-3,554","35,896","43,004"
"B08511",11.000,"Car, truck, or van - carpooled:","33,716","+/-3,931","29,785","37,647"
"B08511",12.000,"Native","21,250","+/-2,533","18,717","23,783"
"B08511",13.000,"Foreign born:","12,466","+/-2,866","9,600","15,332"
"B08511",14.000,"Naturalized U.S. citizen","3,267","+/-1,091","2,176","4,358"
"B08511",15.000,"Not a U.S. citizen","9,199","+/-2,417","6,782","11,616"
"B08511",16.000,"Public transportation (excluding taxicab):","23,300","+/-2,906","20,394","26,206"
"B08511",17.000,"Native","14,029","+/-2,492","11,537","16,521"
"B08511",18.000,"Foreign born:","9,271","+/-1,990","7,281","11,261"
"B08511",19.000,"Naturalized U.S. citizen","2,727","+/-975","1,752","3,702"
"B08511",20.000,"Not a U.S. citizen","6,544","+/-1,680","4,864","8,224"
"B08511",21.000,"Walked:","13,803","+/-2,504","11,299","16,307"
"B08511",22.000,"Native","8,417","+/-1,457","6,960","9,874"
"B08511",23.000,"Foreign born:","5,386","+/-2,043","3,343","7,429"
"B08511",24.000,"Naturalized U.S. citizen","600","+/-421","179","1,021"
"B08511",25.000,"Not a U.S. citizen","4,786","+/-2,031","2,755","6,817"
"B08511",26.000,"Taxicab, motorcycle, bicycle, or other means:","7,195","+/-1,632","5,563","8,827"
"B08511",27.000,"Native","3,010","+/-895","2,115","3,905"
"B08511",28.000,"Foreign born:","4,185","+/-1,490","2,695","5,675"
"B08511",29.000,"Naturalized U.S. citizen","308","+/-214","94","522"
"B08511",30.000,"Not a U.S. citizen","3,877","+/-1,485","2,392","5,362"
"B08511",31.000,"Worked at home:","20,648","+/-2,231","18,417","22,879"
"B08511",32.000,"Native","16,814","+/-2,023","14,791","18,837"
"B08511",33.000,"Foreign born:","3,834","+/-1,067","2,767","4,901"
"B08511",34.000,"Naturalized U.S. citizen","1,898","+/-744","1,154","2,642"
"B08511",35.000,"Not a U.S. citizen","1,936","+/-738","1,198","2,674"
"B08513",.,"MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR WORKPLACE GEOGRAPHY",,,,
"B08513",.,"Universe:  Workers 16 years and over",,,,
"B08513",1.000,"Total:","460,151","+/-8,600","451,551","468,751"
"B08513",2.000,"Speak only English","337,682","+/-8,476","329,206","346,158"
"B08513",3.000,"Speak Spanish:","55,568","+/-3,074","52,494","58,642"
"B08513",4.000,"Speak English ""very well""","24,933","+/-2,637","22,296","27,570"
"B08513",5.000,"Speak English less than ""very well""","30,635","+/-3,149","27,486","33,784"
"B08513",6.000,"Speak other languages:","66,901","+/-5,106","61,795","72,007"
"B08513",7.000,"Speak English ""very well""","39,886","+/-4,260","35,626","44,146"
"B08513",8.000,"Speak English less than ""very well""","27,015","+/-3,138","23,877","30,153"
"B08513",9.000,"Car, truck, or van - drove alone:","361,489","+/-7,539","353,950","369,028"
"B08513",10.000,"Speak only English","275,633","+/-7,202","268,431","282,835"
"B08513",11.000,"Speak Spanish:","35,587","+/-3,290","32,297","38,877"
"B08513",12.000,"Speak English ""very well""","18,830","+/-2,561","16,269","21,391"
"B08513",13.000,"Speak English less than ""very well""","16,757","+/-2,686","14,071","19,443"
"B08513",14.000,"Speak other languages:","50,269","+/-4,653","45,616","54,922"
"B08513",15.000,"Speak English ""very well""","31,997","+/-3,942","28,055","35,939"
"B08513",16.000,"Speak English less than ""very well""","18,272","+/-2,510","15,762","20,782"
"B08513",17.000,"Car, truck, or van - carpooled:","33,716","+/-3,931","29,785","37,647"
"B08513",18.000,"Speak only English","19,942","+/-2,440","17,502","22,382"
"B08513",19.000,"Speak Spanish:","8,381","+/-2,308","6,073","10,689"
"B08513",20.000,"Speak English ""very well""","2,822","+/-882","1,940","3,704"
"B08513",21.000,"Speak English less than ""very well""","5,559","+/-2,065","3,494","7,624"
"B08513",22.000,"Speak other languages:","5,393","+/-1,428","3,965","6,821"
"B08513",23.000,"Speak English ""very well""","2,385","+/-713","1,672","3,098"
"B08513",24.000,"Speak English less than ""very well""","3,008","+/-1,159","1,849","4,167"
"B08513",25.000,"Public transportation (excluding taxicab):","23,300","+/-2,906","20,394","26,206"
"B08513",26.000,"Speak only English","14,128","+/-2,403","11,725","16,531"
"B08513",27.000,"Speak Spanish:","4,992","+/-1,343","3,649","6,335"
"B08513",28.000,"Speak English ""very well""","2,124","+/-848","1,276","2,972"
"B08513",29.000,"Speak English less than ""very well""","2,868","+/-1,169","1,699","4,037"
"B08513",30.000,"Speak other languages:","4,180","+/-1,197","2,983","5,377"
"B08513",31.000,"Speak English ""very well""","1,675","+/-679","996","2,354"
"B08513",32.000,"Speak English less than ""very well""","2,505","+/-972","1,533","3,477"
"B08513",33.000,"Walked:","13,803","+/-2,504","11,299","16,307"
"B08513",34.000,"Speak only English","8,030","+/-1,431","6,599","9,461"
"B08513",35.000,"Speak Spanish:","3,481","+/-1,681","1,800","5,162"
"B08513",36.000,"Speak English ""very well""","634","+/-402","232","1,036"
"B08513",37.000,"Speak English less than ""very well""","2,847","+/-1,580","1,267","4,427"
"B08513",38.000,"Speak other languages:","2,292","+/-903","1,389","3,195"
"B08513",39.000,"Speak English ""very well""","1,020","+/-443","577","1,463"
"B08513",40.000,"Speak English less than ""very well""","1,272","+/-731","541","2,003"
"B08513",41.000,"Taxicab, motorcycle, bicycle, or other means:","7,195","+/-1,632","5,563","8,827"
"B08513",42.000,"Speak only English","2,946","+/-873","2,073","3,819"
"B08513",43.000,"Speak Spanish:","2,311","+/-987","1,324","3,298"
"B08513",44.000,"Speak English ""very well""","150","+/-246","0","396"
"B08513",45.000,"Speak English less than ""very well""","2,161","+/-965","1,196","3,126"
"B08513",46.000,"Speak other languages:","1,938","+/-1,115","823","3,053"
"B08513",47.000,"Speak English ""very well""","428","+/-381","47","809"
"B08513",48.000,"Speak English less than ""very well""","1,510","+/-1,024","486","2,534"
"B08513",49.000,"Worked at home:","20,648","+/-2,231","18,417","22,879"
"B08513",50.000,"Speak only English","17,003","+/-2,146","14,857","19,149"
"B08513",51.000,"Speak Spanish:","816","+/-342","474","1,158"
"B08513",52.000,"Speak English ""very well""","373","+/-231","142","604"
"B08513",53.000,"Speak English less than ""very well""","443","+/-235","208","678"
"B08513",54.000,"Speak other languages:","2,829","+/-812","2,017","3,641"
"B08513",55.000,"Speak English ""very well""","2,381","+/-754","1,627","3,135"
"B08513",56.000,"Speak English less than ""very well""","448","+/-367","81","815"
"B08519",.,"MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR WORKPLACE GEOGRAPHY",,,,
"B08519",.,"Universe:  Workers 16 years and over with earnings",,,,
"B08519",1.000,"Total:","460,103","+/-8,605","451,498","468,708"
"B08519",2.000,"$1 to $9,999 or loss","50,341","+/-3,642","46,699","53,983"
"B08519",3.000,"$10,000 to $14,999","23,909","+/-2,525","21,384","26,434"
"B08519",4.000,"$15,000 to $24,999","55,333","+/-3,786","51,547","59,119"
"B08519",5.000,"$25,000 to $34,999","58,787","+/-4,470","54,317","63,257"
"B08519",6.000,"$35,000 to $49,999","64,078","+/-3,900","60,178","67,978"
"B08519",7.000,"$50,000 to $64,999","64,682","+/-3,977","60,705","68,659"
"B08519",8.000,"$65,000 to $74,999","26,942","+/-2,636","24,306","29,578"
"B08519",9.000,"$75,000 or more","116,031","+/-4,915","111,116","120,946"
"B08519",10.000,"Car, truck, or van - drove alone:","361,441","+/-7,552","353,889","368,993"
"B08519",11.000,"$1 to $9,999 or loss","31,571","+/-2,570","29,001","34,141"
"B08519",12.000,"$10,000 to $14,999","16,297","+/-1,864","14,433","18,161"
"B08519",13.000,"$15,000 to $24,999","39,802","+/-2,834","36,968","42,636"
"B08519",14.000,"$25,000 to $34,999","47,110","+/-3,924","43,186","51,034"
"B08519",15.000,"$35,000 to $49,999","53,773","+/-3,912","49,861","57,685"
