Table 1-33,,,,,,,,,,
Long-Distance Travel in the United States by Selected Trip Characteristics: 1995,,,,,,,,,,
"(Roundtrips of 100 miles or more, one way, U.S. destinations only)  ",,,,,,,,,,
,,,,,,,Personal-use,,Personal-use,
"One adult, children under 18","29,436",4.5,"67,959",6.8,"48,083",5.8,"24,879",4.9,"13,827",4.9
"Two or more adults, children under 18","66,086",10.1,"225,875",22.6,"158,334",19.2,"60,497",12.0,"34,759",12.4
"No adult, one or more children under 18 ","19,313",2.9,"21,489",2.1,"19,275",2.3,"11,581",2.3,"7,473",2.7
Mean travel party size,1.6,NA,2.2,NA,NA,NA,1.7,NA,NA,NA
Nights away from home,,,,,,,,,,
None,"164,032",25.0,"239,727",23.9,"104,444",12.6,"140,914",27.9,"49,619",17.7
1-3 nights,"321,227",48.9,"502,465",50.2,"331,504",40.1,"259,354",51.3,"131,559",47.0
4-7 nights,"121,279",18.5,"184,766",18.5,"243,546",29.5,"76,380",15.1,"61,318",21.9
8 or more nights,"49,924",7.6,"74,361",7.4,"147,309",17.8,"28,506",5.6,"37,631",13.4
"Mean, excluding none (nights)",4.4,NA,4.3,NA,NA,NA,4.0,NA,NA,NA
Type of lodging at destination,,,,,,,,,,
Friend's or relative's home,"211,832",43.6,"345,506",45.9,"290,428",41.0,"170,271",47.3,"103,180",45.7
"Hotel, motel, or resort","201,264",41.4,"282,929",37.6,"318,323",44.9,"126,160",35.1,"82,447",36.5
"Rented cabin, condo, or vacation home","20,205",4.2,"38,572",5.1,"26,269",3.7,"18,103",5.0,"9,819",4.3
"Owned cabin, condo, or vacation home","17,607",3.6,"30,648",4.1,"31,161",4.4,"14,631",4.1,"10,809",4.8
"Camper, trailer, recreational vehicle, tent","11,944",2.5,"22,208",3.0,"15,836",2.2,"11,663",3.2,"8,204",3.6
Other type of lodging,"23,452",4.8,"32,095",4.3,"27,080",3.8,"18,917",5.3,"11,542",5.1
Nights at destination,,,,,,,,,,
Mean nights at destination,4.20,NA,4.0,NA,NA,NA,3.8,NA,NA,NA
  Friend's or relative's home,4.33,NA,4.0,NA,NA,NA,3.6,NA,NA,NA
"  Hotel, motel, or resort",3.05,NA,3.0,NA,NA,NA,2.8,NA,NA,NA
a  Includes other leisure purposes not shown separately.,,,,,,,,,,
,,,,,,,,,,
KEY: -- = rounds to or represents zero; NA = not applicable.,,,,,,,,,,
,,,,,,,,,,
NOTES: Numbers and percentagess may not add to totals due to rounding. See glossary for definitions of categories.,,,,,,,,,,
,,,,,,,,,,
"SOURCE: U.S. Department of Transportation, Bureau of Transportation Statistics, 1995 American Travel Survey Profile,",,,,,,,,,,
" BTS/ATS95-US (Washington, DC: October 1997).",,,,,,,,,,
