"Table with row headers in column A and column headers for both sexes in rows 5 through 6, for male in rows 99 through 100, and for female in rows 191 through 192.",,,,,,,,,,
"Table 6.  Educational Attainment of Employed Civilians 18 to 64 Years, by Occupation, Age, Sex, Race, and Hispanic Origin:  2004",,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population.),,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,
"Black alone
and Both Sexes",Total,Educational Attainment,,,,,,,,
.Total,"4,720",119,466,"1,713",908,439,693,285,51,46
".Management, business, and financial occupations",516,2,14,69,120,49,176,72,2,14
.Professional and related occupations,952,3,13,159,151,124,260,174,41,28
.Service occupations,"1,139",53,191,526,183,87,80,12,3,3
.Sales and related occupations,242,6,21,79,55,21,45,14,2,-
.Office and Administrative occupations,691,4,25,287,202,75,90,4,2,1
".Farming, forestry, and fishing occupations",17,-,2,13,1,-,-,-,-,-
.Construction and extraction occupations,196,11,45,83,33,10,13,-,1,-
".Installation, maintenance, and repair occupations",121,2,8,59,25,17,9,-,-,-
.Production occupations,412,22,77,215,68,24,5,3,-,-
.Transportation and material moving occupations,433,16,70,224,71,32,16,6,-,-
18 to 24 years,,,,,,,,,,
.Total,"1,839",32,309,692,582,72,137,9,6,-
".Management, business, and financial occupations",39,-,3,8,9,-,18,2,-,-
.Professional and related occupations,158,-,14,28,40,18,52,7,-,-
.Service occupations,529,14,99,210,169,17,14,-,6,-
.Sales and related occupations,385,5,81,123,149,6,23,-,-,-
.Office and Administrative occupations,376,4,34,137,150,27,24,-,-,-
".Farming, forestry, and fishing occupations",7,0,4,3,-,-,-,-,-,-
.Construction and extraction occupations,46,3,9,22,12,-,-,-,-,-
".Installation, maintenance, and repair occupations",22,-,5,13,2,1,-,-,-,-
.Production occupations,113,-,18,66,23,0,5,-,-,-
.Transportation and material moving occupations,161,6,41,82,28,3,1,-,-,-
25 to 64 years,,,,,,,,,,
.Total,"12,256",196,"1,041","4,444","2,614","1,137","2,014",609,122,78
".Management, business, and financial occupations","1,252",2,25,205,290,99,458,144,10,19
.Professional and related occupations,"2,367",6,29,391,375,297,758,361,96,53
.Service occupations,"2,865",82,442,"1,340",556,237,182,16,8,3
.Sales and related occupations,872,11,51,268,244,81,175,37,5,-
.Office and Administrative occupations,"1,968",12,81,717,607,218,301,28,2,2
".Farming, forestry, and fishing occupations",44,6,8,26,3,-,0,-,-,-
.Construction and extraction occupations,437,23,85,212,72,18,21,3,1,-
".Installation, maintenance, and repair occupations",348,4,20,175,71,50,22,6,-,-
.Production occupations,977,30,143,522,174,64,37,6,-,1
.Transportation and material moving occupations,"1,126",21,157,587,222,73,58,8,-,-
Footnotes:,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,

"Source: U.S. Census Bureau, Current Population Survey",,,,,,,,,,
Internet Release Date:  March 2005,,,,,,,,,,
"Table 6.  Educational Attainment of Employed Civilians 18 to 64 Years, by Occupation, Age, Sex, Race, and Hispanic Origin:  2004",,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population.),,,,,,,,,,

"Black alone
and Male",Total,Educational Attainment,,,,,,,,
,,None - 8th grade,9th - 11th grade,High school graduate,Some college no degree,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctorate degree
18 to 64 years,,,,,,,,,,
.Total,"6,381",124,655,"2,520","1,362",469,899,241,69,41
".Management, business, and financial occupations",517,0,14,95,113,38,184,56,6,10
.Professional and related occupations,872,2,15,126,136,92,291,134,49,28
.Service occupations,"1,328",35,175,596,316,92,102,7,6,-
.Sales and related occupations,531,4,28,151,169,35,117,21,5,-
.Office and Administrative occupations,596,7,53,220,170,46,91,5,2,2
".Farming, forestry, and fishing occupations",41,4,11,24,1,-,0,-,-,-
.Construction and extraction occupations,459,25,91,224,80,17,18,3,1,-
".Installation, maintenance, and repair occupations",335,4,25,174,61,46,20,6,-,-
.Production occupations,645,18,76,361,118,39,30,2,-,1
.Transportation and material moving occupations,"1,057",25,167,550,197,64,45,8,-,-
18 to 24 years,,,,,,,,,,
.Total,857,11,166,346,258,22,43,6,5,-
".Management, business, and financial occupations",17,-,-,6,6,-,4,-,-,-
.Professional and related occupations,47,-,5,3,14,5,14,6,-,-
.Service occupations,227,0,50,99,63,3,6,-,5,-
.Sales and related occupations,148,-,22,53,57,4,13,-,-,-
.Office and Administrative occupations,130,2,19,34,66,6,3,-,-,-
".Farming, forestry, and fishing occupations",6,0,4,3,-,-,-,-,-,-
.Construction and extraction occupations,46,3,9,22,12,-,-,-,-,-
".Installation, maintenance, and repair occupations",22,-,5,13,2,1,-,-,-,-
.Production occupations,66,-,12,39,14,-,1,-,-,-
.Transportation and material moving occupations,147,6,40,74,24,3,1,-,-,-
25 to 34 years,,,,,,,,,,
.Total,"1,574",23,94,627,382,133,251,49,12,3
".Management, business, and financial occupations",126,-,1,28,33,12,41,9,2,-
.Professional and related occupations,238,-,4,34,38,37,90,24,11,2
.Service occupations,349,5,25,169,101,25,22,1,-,-
.Sales and related occupations,162,-,-,52,59,15,29,8,-,-
.Office and Administrative occupations,167,2,11,62,42,13,35,1,-,1
".Farming, forestry, and fishing occupations",11,4,2,5,-,-,-,-,-,-
.Construction and extraction occupations,97,9,10,52,17,1,5,3,-,-
".Installation, maintenance, and repair occupations",72,2,3,41,5,14,5,2,-,-
.Production occupations,120,-,19,57,28,8,8,-,-,-
.Transportation and material moving occupations,232,1,19,127,60,8,17,-,-,-
35 to 44 years,,,,,,,,,,
.Total,"1,826",21,180,733,338,147,306,68,18,14
".Management, business, and financial occupations",167,-,5,30,32,9,67,16,3,5
.Professional and related occupations,254,-,4,45,38,17,93,38,12,8
.Service occupations,353,8,51,151,75,35,31,1,1,-
.Sales and related occupations,123,2,2,24,28,8,50,6,3,-
.Office and Administrative occupations,130,-,13,50,27,11,27,2,-,-
".Farming, forestry, and fishing occupations",8,-,3,5,-,-,0,-,-,-
.Construction and extraction occupations,129,2,27,72,19,7,2,-,-,-
".Installation, maintenance, and repair occupations",132,-,9,64,32,18,6,3,-,-
.Production occupations,221,5,13,138,31,17,17,-,-,1
.Transportation and material moving occupations,310,4,53,156,56,24,13,3,-,-
45 to 64 years,,,,,,,,,,
.Total,"2,125",70,214,814,384,168,299,119,33,25
".Management, business, and financial occupations",208,0,7,31,42,17,73,31,1,5
.Professional and related occupations,334,2,3,44,46,33,93,67,26,19
.Service occupations,400,22,48,176,77,29,42,5,0,-
.Sales and related occupations,98,2,4,23,26,8,26,7,2,-
.Office and Administrative occupations,169,3,10,75,36,16,26,1,2,1
".Farming, forestry, and fishing occupations",15,-,2,11,1,-,-,-,-,-
.Construction and extraction occupations,187,11,45,78,32,8,11,-,1,-
".Installation, maintenance, and repair occupations",109,2,8,55,22,13,9,-,-,-
.Production occupations,237,14,32,127,45,14,5,2,-,-
.Transportation and material moving occupations,368,14,55,193,58,29,14,6,-,-
18 to 24 years,,,,,,,,,,
.Total,857,11,166,346,258,22,43,6,5,-
".Management, business, and financial occupations",17,-,-,6,6,-,4,-,-,-
.Professional and related occupations,47,-,5,3,14,5,14,6,-,-
.Service occupations,227,0,50,99,63,3,6,-,5,-
.Sales and related occupations,148,-,22,53,57,4,13,-,-,-
.Office and Administrative occupations,130,2,19,34,66,6,3,-,-,-
".Farming, forestry, and fishing occupations",6,0,4,3,-,-,-,-,-,-
.Construction and extraction occupations,46,3,9,22,12,-,-,-,-,-
".Installation, maintenance, and repair occupations",22,-,5,13,2,1,-,-,-,-
.Production occupations,66,-,12,39,14,-,1,-,-,-
.Transportation and material moving occupations,147,6,40,74,24,3,1,-,-,-
25 to 64 years,,,,,,,,,,
.Total,"5,525",113,488,"2,174","1,104",447,857,235,64,41
".Management, business, and financial occupations",500,0,14,89,106,38,180,56,6,10
.Professional and related occupations,826,2,10,123,122,87,277,129,49,28
.Service occupations,"1,101",35,124,497,253,89,95,7,2,-
.Sales and related occupations,383,4,6,99,112,31,104,21,5,-
.Office and Administrative occupations,466,5,34,186,104,40,88,5,2,2
".Farming, forestry, and fishing occupations",34,4,8,21,1,-,0,-,-,-
.Construction and extraction occupations,413,22,82,202,68,17,18,3,1,-
".Installation, maintenance, and repair occupations",313,4,20,160,59,45,20,6,-,-
.Production occupations,579,18,63,322,104,39,29,2,-,1
.Transportation and material moving occupations,909,19,127,476,174,61,44,8,-,-
Footnotes:,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,

"Source: U.S. Census Bureau, Current Population Survey",,,,,,,,,,
Internet Release Date:  March 2005,,,,,,,,,,
"Table 6.  Educational Attainment of Employed Civilians 18 to 64 Years, by Occupation, Age, Sex, Race, and Hispanic Origin:  2004",,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population.),,,,,,,,,,

"Black alone
and Female",Total,Educational Attainment,,,,,,,,
,,None - 8th grade,9th - 11th grade,High school graduate,Some college no degree,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctorate degree
18 to 64 years,,,,,,,,,,
.Total,"7,713",104,695,"2,616","1,834",740,"1,252",376,60,36
".Management, business, and financial occupations",775,2,14,118,186,61,291,89,4,9
.Professional and related occupations,"1,652",4,28,293,279,223,519,234,48,24
.Service occupations,"2,066",61,366,954,408,162,95,9,8,3
.Sales and related occupations,727,11,104,239,224,51,81,16,-,-
.Office and Administrative occupations,"1,749",10,62,635,587,199,233,23,-,-
".Farming, forestry, and fishing occupations",10,2,1,5,2,-,-,-,-,-
.Construction and extraction occupations,23,1,3,11,4,1,3,-,-,-
".Installation, maintenance, and repair occupations",34,-,0,14,13,5,2,-,-,-
.Production occupations,445,11,85,227,79,25,13,4,-,-
.Transportation and material moving occupations,231,2,32,119,53,12,14,-,-,-
18 to 24 years,,,,,,,,,,
.Total,982,21,142,346,324,50,94,3,2,-
".Management, business, and financial occupations",23,-,3,2,3,-,14,2,-,-
.Professional and related occupations,111,-,9,24,26,13,38,1,-,-
.Service occupations,303,14,48,111,106,14,8,-,2,-
.Sales and related occupations,237,5,59,70,92,2,10,-,-,-
.Office and Administrative occupations,246,2,15,103,84,21,20,-,-,-
".Farming, forestry, and fishing occupations",1,-,1,-,-,-,-,-,-,-
.Construction and extraction occupations,0,-,-,0,-,-,-,-,-,-
.Production occupations,47,-,6,27,9,0,5,-,-,-
.Transportation and material moving occupations,14,-,1,9,4,-,-,-,-,-
25 to 34 years,,,,,,,,,,
.Total,"1,926",13,132,615,485,180,382,91,27,3
".Management, business, and financial occupations",193,-,1,33,52,8,81,15,2,-
.Professional and related occupations,440,-,-,80,56,49,173,57,23,3
.Service occupations,489,6,81,213,111,48,28,-,1,-
.Sales and related occupations,193,1,21,63,54,25,22,7,-,-
.Office and Administrative occupations,454,-,12,147,171,46,66,12,-,-
".Farming, forestry, and fishing occupations",8,2,-,4,2,-,-,-,-,-
.Construction and extraction occupations,7,1,-,2,2,-,1,-,-,-
".Installation, maintenance, and repair occupations",8,-,-,1,6,0,0,-,-,-
.Production occupations,62,2,7,32,17,0,5,-,-,-
.Transportation and material moving occupations,73,-,10,40,14,3,6,-,-,-
35 to 44 years,,,,,,,,,,
.Total,"2,210",21,170,756,501,239,381,116,14,12
".Management, business, and financial occupations",251,-,3,46,53,22,94,31,2,0
.Professional and related occupations,483,3,10,74,92,71,142,69,10,12
.Service occupations,536,10,94,281,85,41,21,2,2,-
.Sales and related occupations,153,2,8,51,50,11,30,3,-,-
.Office and Administrative occupations,527,6,20,173,166,73,82,7,-,-
.Construction and extraction occupations,7,-,3,4,-,-,-,-,-,-
".Installation, maintenance, and repair occupations",15,-,-,9,4,-,2,-,-,-
.Production occupations,161,1,27,80,31,15,4,3,-,-
.Transportation and material moving occupations,77,-,5,39,21,6,7,-,-,-
45 to 64 years,,,,,,,,,,
.Total,"2,595",49,251,899,524,271,394,167,18,21
".Management, business, and financial occupations",308,2,7,37,78,31,103,41,0,9
.Professional and related occupations,619,1,10,115,105,91,167,107,14,10
.Service occupations,739,31,143,349,106,58,38,7,3,3
.Sales and related occupations,143,4,17,56,29,13,19,7,-,-
.Office and Administrative occupations,522,2,15,212,166,59,64,3,-,-
".Farming, forestry, and fishing occupations",2,-,-,2,-,-,-,-,-,-
.Construction and extraction occupations,9,-,-,5,1,1,2,-,-,-
".Installation, maintenance, and repair occupations",12,-,0,4,3,4,-,-,-,-
.Production occupations,175,8,45,88,23,10,-,1,-,-
.Transportation and material moving occupations,66,2,15,32,13,3,1,-,-,-
18 to 24 years,,,,,,,,,,
.Total,982,21,142,346,324,50,94,3,2,-
".Management, business, and financial occupations",23,-,3,2,3,-,14,2,-,-
.Professional and related occupations,111,-,9,24,26,13,38,1,-,-
.Service occupations,303,14,48,111,106,14,8,-,2,-
.Sales and related occupations,237,5,59,70,92,2,10,-,-,-
.Office and Administrative occupations,246,2,15,103,84,21,20,-,-,-
".Farming, forestry, and fishing occupations",1,-,1,-,-,-,-,-,-,-
.Construction and extraction occupations,0,-,-,0,-,-,-,-,-,-
.Production occupations,47,-,6,27,9,0,5,-,-,-
.Transportation and material moving occupations,14,-,1,9,4,-,-,-,-,-
25 to 64 years,,,,,,,,,,
.Total,"6,731",83,553,"2,270","1,510",690,"1,157",373,58,36
".Management, business, and financial occupations",752,2,11,116,183,61,278,88,4,9
.Professional and related occupations,"1,541",4,19,268,253,211,482,232,48,24
.Service occupations,"1,764",47,318,843,302,148,87,9,6,3
.Sales and related occupations,489,7,45,169,132,50,71,16,-,-
.Office and Administrative occupations,"1,502",7,47,531,503,178,213,23,-,-
".Farming, forestry, and fishing occupations",10,2,-,5,2,-,-,-,-,-
.Construction and extraction occupations,23,1,3,11,4,1,3,-,-,-
".Installation, maintenance, and repair occupations",34,-,0,14,13,5,2,-,-,-
.Production occupations,398,11,79,201,70,25,8,4,-,-
.Transportation and material moving occupations,216,2,30,111,48,12,14,-,-,-
Footnotes:,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,

"Source: U.S. Census Bureau, Current Population Survey",,,,,,,,,,
Internet Release Date:  March 2005,,,,,,,,,,
