#
#
# Rdb file of RASA References in RASA 1996 bibliography
# WRIR 97-4074
# This bibliography lists 1,093 reports resulting 
# from various studies of the program.
#
#
number	authors	date	title	rest
22.31	Swain, L.A., Hollyday, E.F., Daniel, C.C., III, Zapecza, O.S.	1991	Plan of study for the Regional Aquifer-System Analysis of the Appalachian Valley and Ridge, Piedmont, and Blue Ridge physiographic provinces of the Eastern and Southeastern United States, with a description of study-area geology and geohydrology	U.S. Geological Survey Water-Resources Investigations Report 91-4066, 44 p.
22.32	Swain, L.A., Hollyday, E.F., Daniel, C.C., III, and Mesko, T.O.	1992	An overview of the Appalachian Valleys-Piedmont Regional Aquifer-System Analysis, in Hotchkiss, W.R., and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Southern and Eastern States	American Water Resources Association Monograph Series, no. 17, p. 43-58
16.01	Dacosta, Rafael, and Gómez-Gómez, Fernando	1987	Potentiometric surface of the alluvial aquifer and hydrologic conditions in the Guayama quadrangle, Puerto Rico, March 1987	U.S. Geological Survey Water-Resources Investigations Report 87-4162, map, scale 1:20,000.
16.02	Gill, Ivan	1991	Geochemical controls on porosity in the Kingshill aquifer system, St. Croix, U.S. Virgin Islands--the application of isotopic techniques to ground-water investigations, in Gómez-Gómez, Fernando, Quiñones-Aponte, Vicente, and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Caribbean Islands	American Water Resources Association Monograph Series, no. 15, p. 77-92.
16.03	Gómez-Gómez, Fernando	1986	Caribbean Islands regional aquifer-system study, in Sun, R.J., ed., Regional Aquifer-System Analysis Program of the U.S. Geological Survey--summary of projects, 1978-84	U.S. Geological Survey Circular 1002, p. 234-241.
16.04	Gómez-Gómez, Fernando	1987	Planning report for the Caribbean Islands regional aquifer-system analysis project	U.S. Geological Survey Water-Resources Investigations Report 86-4074, 50 p.
16.05	Gómez-Gómez, Fernando	1991a	Hydrochemistry of the south coastal plain aquifer system of Puerto Rico and its relation to surface water recharge, in Gómez-Gómez, Fernando, Quinones-Aponte, Vicente, and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Caribbean Islands	American Water Resources Association Monograph Series, no. 15, p. 57-75.
16.06	Gómez-Gómez, Fernando	1991b	Water viability from the artesian aquifer system in north-central Puerto Rico and possible implications of future withdrawals	Proceedings of the XXIII Congress (Aquifer Overexploitation)--International Association of Hydrogeologists, v. 1, p. 221-225.
16.07	Quiñones-Aponte, Vicente	1989	Horizontal anisotropy of the principal ground-water flow zone in the Salinas alluvial fan, Puerto Rico	Ground-Water, v. 27, no. 4, p. 491-500.
16.08	Quiñones-Aponte, Vicente	1989	Comparison of aquifer storage coefficients computed using anisotropic and isotropic analytical models	American Institute of Hydrology Recent Advances in Ground-Water Hydrology, p. 349-357.
16.09	Quiñones-Aponte, Vicente	1991	Water resources development and its influence on the water budget for the aquifer system in the Salinas to Patillas area, Puerto Rico, in Gómez-Gómez, Fernando, Quiñones-Aponte, Vicente, and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Caribbean Islands	American Water Resources Association Monograph Series, no. 15, p. 37-55.
16.10	Quiñones-Aponte, Vicente, and Gómez-Gómez, Fernando	1987	Potentiometric surface of the alluvial aquifer and hydrologic conditions in the Salinas quadrangle, Puerto Rico, March, 1986	U.S. Geological Survey Water Resources Investigations Report 87-4161, map, scale 1:20,000.
16.11	Quiñones-Aponte, Vicente, Gómez-Gómez, Fernando, and Renken, R.A.	1996	Hydrogeology and simulation of ground-water flow in the Salinas to Patillas area, Puerto Rico	U.S. Geological Survey Water-Resources Investigations Report 95-463, 37 p.
16.12	Renken, R.A., Barker, R.A., and Gómez-Gómez, Fernando	1991	Basin analysis, paleoenvironment reconstruction and tectonic structures--application of geologic interpretations to regional groundwater assessment in large sedimentary basins	Australian Water Resources Council, International Conference on Groundwater in Large Sedimentary Basin, July 9-13, 1990, Perth, Australia, p. 80-89.
16.13	Renken, R.A., Díaz, Pedro, Gómez-Gómez, Fernando, and Quiñones-Aponte, Vicente	1990	A hydrologic excursion to Puerto Rico's Southern Plain	U.S. Geological Survey Open-File Report 90-365, 24 p.
16.14	Renken, R.A., and Gómez-Gómez, Fernando	1994	Potentiometric surfaces of the upper and lower aquifers, North Coast limestone aquifer system, Puerto Rico	U.S. Geological Survey Open-File Report 93-499, 16 p.
16.15	Renken, R.A., Gómez-Gómez, Fernando, Quiñones-Aponte, Vicente, and Dacosta, Rafael	1995	Structure and depositional patterns and their influence on the hydraulic conductivity of fan deltas in southern Puerto Rico, in Miller, R.L., Escalante, G., Reinemund, J.A., and Bergin, M.J., eds., Energy and Mineral Potential of the Central American-Caribbean Region: Circum-Pacific Council for Energy and Mineral Resources, Earth Science Series, Springer-Verlag, v. 16, p. 369-377. Also reprinted, in Gómez-Gómez, Fernando, Quiñones-Aponte, Vicente, and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Caribbean Islands	American Water Resources Association Monograph Series, no. 15, p. 25-36.
16.16	Renken, R.A., Ward, W.C., Gill, I.P., Rodríguez-Martínez, Jesús, and Gómez-Gómez, Fernando	in press	Geology and hydrology of the Caribbean Islands aquifer system of the Commonwealth of Puerto Rico and the U.S. Virgin Islands	U.S. Geological Survey Professional Paper 1419.
16.17	Rodríguez-del-Río, Félix, and Gómez-Gómez, Fernando	1990	Potentiometric surface of the alluvial aquifer and hydrologic conditions in the Santa Isabel-Juana Díaz area, Puerto Rico, March-April, 1987	U.S. Geological Survey Water-Resources Investigations Report 89-4116, map, scale 1:20,000.
16.18	Rodríguez-del-Río, Félix and Quiñones-Aponte, Vicente	1989	Potentiometric surface of the principal aquifer and hydrologic conditions in the Ponce-Juana Díaz area, Puerto Rico, April-May, 1987	U.S. Geological Survey Water-Resources Investigations Report 89-4115, map, scale 1:20,000, 2 sheets.
16.19	Rodríguez-Martínez, Jesús	1991	The hydrogeologic framework of the northern coastal province aquifer system of Puerto Rico, in Gómez-Gómez, Fernando, Quinones-Aponte, Vicente, and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Caribbean Islands	American Water Resources Association Monograph Series, no. 15, p. 5-16.
16.20	Rodríguez-Martínez, Jesús, Hartley, J.R., and Torres-González, Arturo	1991	Geologic and hydrologic data collected at NC-5, Barceloneta, Puerto Rico	U.S. Geological Survey Open-File Report 90-390, 30 p.
16.21	Rodríguez-Martínez, Jesús, Scharlach, R.A., and Torres-González, Arturo	1991	Geologic and hydrologic data collected at test holes NC-1 and NC-3, Guaynabo and San Juan, eastern Puerto Rico	U.S. Geological Survey Open-File Report 91-217, 20 p.
16.22	Rodríguez-Martínez, Jesús, Scharlach, R.A., and Torres-González, Arturo	1992	Geologic and hydrologic data collected at test holes NC-4 and NC-14, Manati and Vega Baja, Puerto Rico	U.S. Geological Survey Open-File Report 92-126, 32 p.
16.23	Rodríguez-Martínez, Jesús, and Hartley, J.R.	1994	Geologic and hydrologic data collected at test holes NC-6 and NC-11, Hatillo and Isabella, northwestern Puerto Rico	U.S. Geological Survey Open-File Reort 93-465, 39 p.
16.24	Rodríguez-Martínez, Jesús	1995	Hydrogeology of the North Coast Limestone aquifer system	U.S. Geological Survey Water-Resources Investigations Report 94-4249, 22 p.
16.25	Román-Más, Angel, and Ramos-Ginés, Orlando	1988	Compilation of water quality data for the North Coast Limestone aquifers, Puerto Rico, 1951-1987	U.S. Geological Survey Open-File Report 87-533, 133 p.
16.26	Román-Más, Angel, and Lee, R.W.	1987	Geochemical evolution of water within the North Coast Limestone aquifers of Puerto Rico--a conceptualization based on a sample flow path in the Barceloneta area	U.S. Geological Survey Water-Resources Investigations Report 86-4080, 28 p.
16.27	Torres-González, Sigfredo	1991	Compilation of ground-water level measurements obtained by the U.S. Geological Survey in Puerto Rico, 1958-1985	U.S. Geological Survey Open-File Report 88-701, 163 p.
16.28	Torres-González, Sigfredo	1991a	Steady-state simulation of ground-water flow conditions in the Kingshill aquifer, St. Croix, U.S. Virgin Islands, July 1987, in Gómez-Gómez, Fernando, Quiñones-Aponte, Vicente, and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Caribbean Islands	American Water Resources Association Monograph Series, no. 15, p. 93-108.
16.29	Torres-González, Sigfredo, and Gómez-Gómez, Fernando	1987	Potentiometric surface of the alluvial aquifer and hydrologic conditions in the Central Aquirre quadrangle, Puerto Rico, March 1986	U.S. Geological Survey Water Resources Investigations Report 87-4160, map, scale 1:20,000.
16.30	Torres-González, Sigfredo, and Rodríguez-del-Río, Félix	1989	Potentiometric surface of the Kingshill aquifer and hydrologic conditions in St. Croix, U.S. Virgin Islands, July 1987	U.S. Geological Survey Water Resources Investigations Report 89-4085, map, scale 1:24,000.
16.31	Ward, W.C., Sharlach, R.A., and Hartley, J.R.	1991	Controls on porosity and permeability in subsurface Tertiary carbonate rocks of northern Puerto Rico, in Gómez-Gómez, Fernando, Quiñones-Aponte, Vicente, and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifer of the Caribbean Islands	American Water Resources Association Monograph Series, no. 15, p. 17-23.
10.01	Baker, C.H., Jr., and Leonard, R.B.	1995	Hydrochemistry of aquifer systems and relation to regional flow patterns in Cretaceous and older rocks underlying Kansas, Nebraska, and parts of Arkansas, Colorado, Missouri, New Mexico, Oklahoma, South Dakota, Texas, and Wyoming	U.S. Geological Survey Water-Resources Investigations Report 94-4144, 53 p.
10.02	Banta, E.R.	1985	The Dakota aquifer near Pueblo, Colorado--faults and flow patterns	U.S. Geological Survey Water-Resources Investigations Report 85-4186, 23 p.
10.03	Case, H.L., III	1984	Aquifer utilization, in Jorgensen, D.G., and Signor, D.C., eds., Geohydrology of the Dakota Aquifer	National Water Well Association C.V. Theis Conferences on Geohydrology, 1st, Lincoln, Nebraska, October 5-6, 1982, Proceedings, p. 243-245.
10.04	Christenson, S.C., Morton, R.B., Havens, J.S., and Fairchild, R.W.	1988	Geologic logs for selected deep wells in parts of Oklahoma, Texas, and New Mexico	U.S. Geological Survey Open-File Report 86-541, 161 p.
10.05	Combs, L.J., Hansen, C.V., and Wolf, R.J.	1993	Geohydrologic systems in Kansas--geohydrology of the lower aquifer unit in the Western Interior Plains Aquifer system	U.S. Geological Survey Hydrologic Investigations Atlas HA-722-I, scale 1:1,500,000, 3 sheets.
10.06	Dealy, M.T., Kume, Jack, and Jenkins, E.D.	1984	Hydrogeology and development of the Dakota aquifer in southwest Kansas, in Jorgensen, D.G., and Signor, D.C., eds., Geohydrology of the Dakota Aquifer	National Water Well Association C.V. Theis Conferences on Geohydrology, 1st, Lincoln, Nebraska, October 5-6, 1982, Proceedings, p. 209-220.
10.07	Dugan, J.T.	1986	Hydrologic properties of soils in parts of Arkansas, Colorado, Kansas, Missouri, Nebraska, New Mexico, Oklahoma, South Dakota, and Texas	U.S. Geological Survey Hydrologic Investigations Atlas HA-678, scale 1:1,500,000.
10.08	Dugan, J.T., and Peckenpaugh, J.M.	1985	Effects of climate, vegetation, and soils on consumptive water use and ground-water recharge to the Central Midwest regional aquifer system, mid-continent United States	U.S. Geological Survey Water-Resources Investigations Report 85-4236, 78 p.
10.09	Ellis, M.J.	1984	Overview of the Dakota aquifer system in Nebraska, in Jorgensen, D.G., and Signor, D.C., eds., Geohydrology of the Dakota Aquifer	National Water Well Association C.V. Theis Conferences on Geohydrology, 1st, Lincoln, Nebraska, October 5-6, 1982, Proceedings, p. 48-55.
10.10	Ellis, M.J.	1986	Hydrogeologic data for the Dakota aquifer system in Nebraska	U.S. Geological Survey Open-File Report 86-526, 100 p.
10.11	Freiwald, D.A.	1985	Average annual precipitation and runoff for Arkansas, 1951-80	U.S. Geological Survey Water-Resources Investigations Report 84-4363, map, scale 1:1,000,000.
10.12	Freiwald, D.A.	1987	Streamflow gain and loss of selected streams in northern Arkansas	U.S. Geological Survey Water-Resources Investigations Report 86-4185, map, scale 1:125,000, 4 sheets.
10.13	Hansen, C.V., Spinazola, J.M., and Wolf, R.J.	1994	Geohydrologic systems in Kansas--physical framework of the lower aquifer unit in the Western Interior Plains aquifer system	U.S. Geological Survey Hydrologic Investigations Atlas HA-722-F, scale 1:1,000,000, 2 sheets.
10.14	Hansen, C.V., Underwood, E.J., Wolf, R.J., and Spinazola, J.M.	1992	Geohydrologic systems in Kansas--physical framework of the upper aquifer unit in the Western Interior Plains aquifer system	U.S. Geological Survey Hydrologic Investigations Atlas HA-722-D, scale 1:1,000,000, 2 sheets.
10.15	Hansen, C.V., Wolf, R.J., and Spinazola, J.M.	1992	Geohydrologic systems in Kansas--physical framework of the confining unit in the Western Interior Plains aquifer system	U.S. Geological Survey Hydrologic Investigations Atlas HA-722-E, scale 1:1,000,000, 2 sheets.
10.16	Hedman, E.R., and Engel, G.B.	1989	Flow characteristics for selected streams in the Great Plains subregion of the Central Midwest aquifer system and selected adjacent areas--Kansas and Nebraska, and parts of Colorado, Iowa, Missouri, New Mexico, Oklahoma, South Dakota, Texas, and Wyoming	U.S. Geological Survey Hydrologic Investigations Atlas HA-708, scale 1:1,000,000, 3 sheets.
10.17	Hedman, E.R., and Jorgensen, D.G.	1990	Surface- and ground-water interaction and hydrologic budget of the Missouri River Valley aquifer between Yankton, South Dakota, and St. Louis, Missouri	U.S. Geological Survey Hydrologic Investigations Atlas HA-721, scale 1:1,500,000.
10.18	Hedman, E.R., Skelton, John, and Freiwald, D.A.	1987	Flow characteristics for selected springs and streams in the Ozark subregion, Arkansas, Kansas, Missouri, and Oklahoma: U.S. Geological Survey Hydrologic Investigations Atlas HA-688, scale 1	750,000, 4 sheets.
10.19	Helgesen, J.O., and Hansen, C.V.	1989	Description of data files compiled for the Central Midwest regional aquifer-system analysis	U.S. Geological Survey Open-File Report 89-42, 37 p.
10.20	Helgesen, J.O., Jorgensen, D.G., Leonard, R.B., and Signor, D.C.	1982	Regional study of the Dakota aquifer (Darton's Dakota revisited)	Ground Water, v. 20, no. 4, p. 410-414.
10.21	Helgesen, J.O., and Leonard, R.B.	1989	Geohydrology of the Great Plains aquifer system, central United States, in Swain, L.A., and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Midwestern Area	American Water Resources Association Monograph Series, no. 13, p. 179-190.
10.22	Helgesen, J.O., Leonard, R.B., and Wolf, R.J.	1993	Hydrology of the Great Plains aquifer system in Nebraska, Colorado, Kansas, and adjacent areas	U.S. Geological Survey Professional Paper 1414-E, 80 p.
10.23	Imes, J.L.	1989a	Major geohydrologic units in and adjacent to the Ozark Plateaus Province, Missouri, Arkansas, Kansas, and Oklahoma--basement confining unit	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-B, scale 1:750,000.
10.24	Imes, J.L.	1989b	Geohydrology and hydrochemistry of the Ozark Plateaus aquifer system, in Swain, L.A., and Johnson, A.I., eds., Regional Aquifer Systems of the United States, Aquifers of the Midwestern Area	American Water Resources Association Monograph Series, no. 13, p. 165-178.
10.25	Imes, J.L.	1990a	Major geohydrologic units in and adjacent to the Ozark Plateaus Province, Missouri, Arkansas, Kansas, and Oklahoma	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-A, scale 1:750,000.
10.26	Imes, J.L.	1990b	Major geohydrologic units in and adjacent to the Ozark Plateaus Province, Missouri, Arkansas, Kansas, and Oklahoma--St. Francois aquifer	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-C, scale 1:750,000, 2 sheets.
10.27	Imes, J.L.	1990c	Major geohydrologic units in and adjacent to the Ozark Plateaus Province, Missouri, Arkansas, Kansas, and Oklahoma--St. Francois confining layer	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-D, scale 1:750,000, 3 sheets.
10.28	Imes, J.L.	1990d	Major geohydrologic units in and adjacent to the Ozark Plateaus Province, Missouri, Arkansas, Kansas, and Oklahoma--Ozark aquifer	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-E, scale 1:750,000, 3 sheets.
10.29	Imes, J.L.	1990e	Major geohydrologic units in and adjacent to the Ozark Plateaus Province, Missouri, Arkansas, Kansas, and Oklahoma--Ozark confining unit	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-F, scale 1:750,000, 3 sheets.
10.30	Imes, J.L.	1990f	Major geohydrologic units in and adjacent to the Ozark Plateaus Province, Missouri, Arkansas, Kansas, and Oklahoma--Springfield Plateau aquifer	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-G, scale 1:750,000, 3 sheets.
10.31	Imes, J.L.	1990g	Major geohydrologic units in and adjacent to the Ozark Plateaus Province, Missouri, Arkansas, Kansas, and Oklahoma--Western Interior Plains confining system	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-H, scale 1:750,000, 3 sheets.
10.32	Imes, J.L, and Davis, J.V.	1990a	Water type and concentration of dissolved solids, chloride, and sulfate in ground water from the St. Francois aquifer in Missouri	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-J, scale 1:750,000.
10.33	Imes, J.L, and Davis, J.V.	1990b	Water type and concentration of dissolved solids, chloride, and sulfate in ground water from the Springfield Plateau aquifer in Missouri, Arkansas, Kansas, and Oklahoma	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-L, scale 1:750,000, 2 sheets.
10.34	Imes, J.L, and Davis, J.V.	1991	Water type and concentration of dissolved solids, chloride, and sulfate in ground water from the Ozark aquifer in Missouri, Arkansas, Kansas, and Oklahoma	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-K, scale 1:750,000, 4 sheets.
10.35	Imes, J.L., and Emmett, L.F.	1994	Geohydrology of the Ozark Plateaus aquifer system in parts of Missouri, Arkansas, Oklahoma, and Kansas	U.S. Geological Survey Professional Paper 1414-D, 127 p.
10.36	Imes, J.L., and Smith, B.J.	1990	Areal extent, stratigraphic relation, and geohydrologic properties of regional geohydrologic units in southern Missouri	U.S. Geological Survey Hydrologic Investigations Atlas HA-711-I, scale 1:750,000, 3 sheets.
10.37	Jorgensen, D.G.	1984	Aquifer names, in Jorgensen, D.G., and Signor, D.C., eds., Geohydrology of the Dakota Aquifer	National Water Well Association C.V. Theis Conferences on Geohydrology, 1st, Lincoln, Nebraska, October 5-6, 1982, Proceedings, p. 4-7.
10.38	Jorgensen, D.G.	1988a	Estimating permeability in water-saturated formations	The Log Analyst, November-December 1988, p. 401-409.
10.39	Jorgensen, D.G.	1988b	Using geophysical logs to estimate porosity, water resistivity, and intrinsic permeability	U.S. Geological Survey Water-Supply Paper 2321, 24 p.
10.40	Jorgensen, D.G.	1989	Paleohydrology of the Anadarko Basin, central United States, in Johnson, K.S., ed., Anadarko Basin Symposium, 1988	Oklahoma State Geological Survey Circular 90, p. 176-193.
10.41	Jorgensen, D.G.	1993	Paleohydrology of the Central United States	U.S. Geological Survey Bulletin 1989-D, 32 p.
10.42	Jorgensen, D.G., Downey, Joe, Dutton, A.R., and Maclay, R.W.	1988	Region 16, Central nonglaciated plains, in Back, William, Rosenshein, J.S., and Seaber, P.R., eds., Hydrogeology	Boulder, Colorado, Geological Society of America, Geology of North America, v. O-2, p. 141-156.
10.43	Jorgensen, D.G., Gogel, Tony, and Signor, D.C.	1982	Determination of flow in aquifers containing variable density water	Ground Water Monitoring Review, v. 2, no. 2, p. 40-45.
10.44	Jorgensen, D.G., Helgesen, J.O., and Imes, J.L.	1993	Regional aquifers in Kansas, Nebraska, and parts of Arkansas, Colorado, Missouri, New Mexico, Oklahoma, South Dakota, Texas, and Wyoming--geohydrologic framework	U.S. Geological Survey Professional Paper 1414-B, 72 p.
10.45	Jorgensen, D.G., Helgesen, J.O., Leonard, R.B., and Signor, D.C.	1985	Equivalent freshwater head and dissolved-solids concentration of water in rocks of Cambrian, Ordovician, and Mississippian age in northern Midcontinent, U.S.A.	U.S. Geological Survey Miscellaneous Field Studies Map MF-1835-B, scale 1:1,000,000, 2 sheets.
10.46	Jorgensen, D.G., Helgesen, J.O., Signor, D.C., Leonard, R.B., Imes, J.L., and Christenson, S.C.	1997	Analysis of regional aquifers in the central Midwest of the United States in Kansas, Nebraska, and parts of Arkansas, Colorado, Missouri, New Mexico, Oklahoma, South Dakota, Texas, and Wyoming	U.S. Geological Survey Professional Paper 1414-A, 67 p.
10.47	Jorgensen, D.G., Leonard, R.B., Signor, D.C., and Helgesen, J.O.	1986	Central Midwest regional aquifer-system study, in Sun, R.J., ed., Regional Aquifer-System Analysis Program of the U.S. Geological Survey--summary of projects, 1978-84	U.S. Geological Survey Circular 1002, p. 132-140.
10.48	Jorgensen, D.G., and Signor, D.C.	1981	Plan of study for the Central Midwest regional aquifer-system analysis in parts of Arkansas, Colorado, Kansas, Missouri, Nebraska, New Mexico, South Dakota, and Texas	U.S. Geological Survey Water-Resources Investigations Report 81-206, 28 p.
