"TBLID","PROFLN","STUB","cest_07","cest_06","pub_sig90"
"DP02",90.0,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","0.3%","0.5%","*"
"DP02",91.0,"Foreign born","2.1%","2.3%",
"DP02",91.3,,,,
"DP02",91.5,"U.S. CITIZENSHIP STATUS",,,
"DP02",92.0,"Foreign-born population","11,929","13,120",
"DP02",93.0,"Naturalized U.S. citizen","39.0%","34.7%",
"DP02",94.0,"Not a U.S. citizen","61.0%","65.3%",
"DP02",94.3,,,,
"DP02",94.5,"YEAR OF ENTRY",,,
"DP02",95.0,"Population born outside the United States","13,556","15,653",
"DP02",95.3,,,,
"DP02",96.0,"Native","1,627","2,533","*"
"DP02",97.0,"Entered 2000 or later","2.3%","13.9%","*"
"DP02",98.0,"Entered before 2000","97.7%","86.1%","*"
"DP02",98.3,,,,
"DP02",99.0,"Foreign born","11,929","13,120",
"DP02",100.0,"Entered 2000 or later","29.1%","32.7%",
"DP02",101.0,"Entered before 2000","70.9%","67.3%",
"DP02",101.3,,,,
"DP02",101.5,"WORLD REGION OF BIRTH OF FOREIGN BORN",,,
"DP02",102.0,"Foreign-born population, excluding population born at sea","11,929","13,120",
"DP02",103.0,"Europe","6.4%","12.8%",
"DP02",104.0,"Asia","11.0%","12.3%",
"DP02",105.0,"Africa","0.4%","4.5%",
"DP02",106.0,"Oceania","0.0%","0.4%",
"DP02",107.0,"Latin America","80.1%","66.8%",
"DP02",108.0,"Northern America","2.0%","3.1%",
"DP02",108.3,,,,
"DP02",108.5,"LANGUAGE SPOKEN AT HOME",,,
"DP02",109.0,"Population 5 years and over","522,046","526,151",
"DP02",110.0,"English only","94.4%","94.1%",
"DP02",111.0,"Language other than English","5.6%","5.9%",
"DP02",112.0,"Speak English less than ""very well""","2.1%","2.0%",
"DP02",113.0,"Spanish","3.4%","3.6%",
"DP02",114.0,"Speak English less than ""very well""","1.7%","1.5%",
"DP02",115.0,"Other Indo-European languages","0.4%","0.5%",
"DP02",116.0,"Speak English less than ""very well""","0.1%","0.1%",
"DP02",117.0,"Asian and Pacific Islander languages","0.4%","0.3%",
"DP02",118.0,"Speak English less than ""very well""","0.1%","0.2%",
"DP02",119.0,"Other languages","1.3%","1.5%",
"DP02",120.0,"Speak English less than ""very well""","0.2%","0.3%",
"DP02",120.3,,,,
"DP02",120.5,"ANCESTRY",,,
"DP02",121.0,"Total population","557,689","560,730",
"DP02",122.0,"American","10.8%","12.3%","*"
"DP02",123.0,"Arab","0.1%","0.1%",
"DP02",124.0,"Czech","0.3%","0.3%",
"DP02",125.0,"Danish","0.3%","0.1%","*"
"DP02",126.0,"Dutch","2.5%","2.7%",
"DP02",127.0,"English","7.4%","7.6%",
"DP02",128.0,"French (except Basque)","2.3%","2.1%",
"DP02",129.0,"French Canadian","0.1%","0.1%",
"DP02",130.0,"German","16.1%","15.3%",
"DP02",131.0,"Greek","0.0%","0.1%",
"DP02",132.0,"Hungarian","0.0%","0.1%",
"DP02",133.0,"Irish","14.8%","13.2%","*"
"DP02",134.0,"Italian","1.2%","0.8%","*"
"DP02",135.0,"Lithuanian","0.0%","0.0%",
"DP02",136.0,"Norwegian","0.6%","0.5%",
"DP02",137.0,"Polish","0.6%","0.3%","*"
"DP02",138.0,"Portuguese","0.1%","0.1%",
"DP02",139.0,"Russian","0.2%","0.2%",
"DP02",140.0,"Scotch-Irish","1.9%","1.6%",
"DP02",141.0,"Scottish","1.4%","1.9%","*"
"DP02",142.0,"Slovak","0.0%","0.0%",
"DP02",143.0,"Subsaharan African","0.4%","0.3%",
"DP02",144.0,"Swedish","0.5%","0.8%",
"DP02",145.0,"Swiss","0.4%","0.1%","*"
"DP02",146.0,"Ukrainian","0.1%","0.0%","*"
"DP02",147.0,"Welsh","0.4%","0.5%",
"DP02",148.0,"West Indian (excluding Hispanic origin groups)","0.9%","1.0%",
"DP03",0.0,,,,
"DP03",0.5,,,,
"DP03",0.8,,,,
"DP03",1.0,"Population 16 years and over","439,966","443,744",
"DP03",2.0,"In labor force","57.1%","57.1%",
"DP03",3.0,"Civilian labor force","57.0%","57.0%",
"DP03",4.0,"Employed","53.8%","53.3%",
"DP03",5.0,"Unemployed","3.2%","3.7%",
"DP03",6.0,"Armed Forces","0.1%","0.1%",
"DP03",7.0,"Not in labor force","42.9%","42.9%",
"DP03",7.3,,,,
"DP03",8.0,"Civilian labor force","250,834","252,853",
"DP03",9.0,"Unemployed","5.6","6.4",
"DP03",9.3,,,,
"DP03",10.0,"Females 16 years and over","222,634","225,648","*"
"DP03",11.0,"In labor force","51.0%","51.5%",
"DP03",12.0,"Civilian labor force","51.0%","51.5%",
"DP03",13.0,"Employed","48.4%","47.6%",
"DP03",13.3,,,,
"DP03",14.0,"Own children under 6 years","40,176","37,321","*"
"DP03",15.0,"All parents in family in labor force","60.4%","62.2%",
"DP03",15.3,,,,
"DP03",16.0,"Own children 6 to 17 years","82,104","81,455",
"DP03",17.0,"All parents in family in labor force","68.2%","67.7%",
"DP03",17.3,,,,
"DP03",17.5,"COMMUTING TO WORK",,,
"DP03",18.0,"Workers 16 years and over","229,226","229,501",
"DP03",19.0,"Car, truck, or van -- drove alone","78.9%","78.4%",
"DP03",20.0,"Car, truck, or van -- carpooled","12.8%","12.9%",
"DP03",21.0,"Public transportation (excluding taxicab)","0.1%","0.3%",
"DP03",22.0,"Walked","2.6%","2.7%",
"DP03",23.0,"Other means","1.1%","1.4%",
"DP03",24.0,"Worked at home","4.5%","4.2%",
"DP03",24.3,,,,
"DP03",25.0,"Mean travel time to work (minutes)","21.7","21.0",
"DP03",25.3,,,,
"DP03",25.5,"OCCUPATION",,,
"DP03",26.0,"Civilian employed population 16 years and over","236,706","236,557",
"DP03",27.0,"Management, professional, and related occupations","28.3%","27.6%",
"DP03",28.0,"Service occupations","18.0%","17.3%",
"DP03",29.0,"Sales and office occupations","20.3%","22.2%","*"
"DP03",30.0,"Farming, fishing, and forestry occupations","2.5%","2.6%",
"DP03",31.0,"Construction, extraction, maintenance and repair occupations","13.4%","14.1%",
"DP03",32.0,"Production, transportation, and material moving occupations","17.5%","16.2%",
"DP03",32.3,,,,
"DP03",32.5,"INDUSTRY",,,
"DP03",33.0,"Civilian employed population 16 years and over","236,706","236,557",
"DP03",34.0,"Agriculture, forestry, fishing and hunting, and mining","11.8%","10.8%",
"DP03",35.0,"Construction","7.7%","8.2%",
"DP03",36.0,"Manufacturing","11.7%","11.5%",
"DP03",37.0,"Wholesale trade","2.9%","2.7%",
"DP03",38.0,"Retail trade","10.4%","10.6%",
"DP03",39.0,"Transportation and warehousing, and utilities","5.5%","5.8%",
"DP03",40.0,"Information","1.0%","1.7%","*"
"DP03",41.0,"Finance and insurance, and real estate and rental and leasing","4.1%","3.7%",
"DP03",42.0,"Professional, scientific, and management, and administrative and waste management services","5.4%","4.6%",
"DP03",43.0,"Educational services, and health care and social assistance","21.9%","22.2%",
"DP03",44.0,"Arts, entertainment, and recreation, and accommodation, and food services","7.8%","7.8%",
"DP03",45.0,"Other services, except public administration","4.6%","4.7%",
"DP03",46.0,"Public administration","5.4%","5.6%",
"DP03",46.3,,,,
"DP03",46.5,"CLASS OF WORKER",,,
"DP03",47.0,"Civilian employed population 16 years and over","236,706","236,557",
"DP03",48.0,"Private wage and salary workers","68.8%","67.4%",
"DP03",49.0,"Government workers","20.0%","20.1%",
"DP03",50.0,"Self-employed workers in own not incorporated business","10.7%","11.7%",
"DP03",51.0,"Unpaid family workers","0.4%","0.8%","*"
"DP03",51.3,,,,
"DP03",51.5,"INCOME AND BENEFITS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,
"DP03",52.0,"Total households","215,212","214,622",
"DP03",53.0,"Less than $10,000","11.7%","12.4%",
"DP03",54.0,"$10,000 to $14,999","8.8%","9.2%",
"DP03",55.0,"$15,000 to $24,999","16.1%","16.0%",
"DP03",56.0,"$25,000 to $34,999","12.8%","14.6%","*"
"DP03",57.0,"$35,000 to $49,999","16.7%","16.4%",
"DP03",58.0,"$50,000 to $74,999","16.7%","16.9%",
"DP03",59.0,"$75,000 to $99,999","9.9%","7.8%","*"
"DP03",60.0,"$100,000 to $149,999","4.9%","4.9%",
"DP03",61.0,"$150,000 to $199,999","1.5%","0.8%","*"
"DP03",62.0,"$200,000 or more","1.0%","1.1%",
"DP03",63.0,"Median household income (dollars)","35,498","33,422","*"
"DP03",64.0,"Mean household income (dollars)","46,661","43,940","*"
"DP03",64.3,,,,
"DP03",65.0,"With earnings","72.8%","73.0%",
"DP03",66.0,"Mean earnings (dollars)","48,232","44,630","*"
"DP03",67.0,"With Social Security","35.3%","36.5%",
"DP03",68.0,"Mean Social Security income (dollars)","13,016","12,975",
"DP03",69.0,"With retirement income","18.6%","17.5%",
"DP03",70.0,"Mean retirement income (dollars)","15,198","14,224",
"DP03",70.3,,,,
"DP03",71.0,"With Supplemental Security Income","5.1%","5.5%",
"DP03",72.0,"Mean Supplemental Security Income (dollars)","6,224","6,301",
"DP03",73.0,"With cash public assistance income","4.2%","4.8%",
"DP03",74.0,"Mean cash public assistance income (dollars)","818","1,445","*"
"DP03",75.0,"With Food Stamp benefits in the past 12 months","11.6%","12.6%",
"DP03",75.3,,,,
"DP03",76.0,"Families","148,460","149,507",
"DP03",77.0,"Less than $10,000","7.0%","7.7%",
"DP03",78.0,"$10,000 to $14,999","5.5%","5.8%",
"DP03",79.0,"$15,000 to $24,999","14.4%","14.4%",
"DP03",80.0,"$25,000 to $34,999","12.4%","13.8%",
"DP03",81.0,"$35,000 to $49,999","18.7%","18.4%",
"DP03",82.0,"$50,000 to $74,999","19.9%","20.7%",
"DP03",83.0,"$75,000 to $99,999","12.1%","10.3%","*"
"DP03",84.0,"$100,000 to $149,999","6.6%","6.4%",
"DP03",85.0,"$150,000 to $199,999","1.9%","1.1%","*"
"DP03",86.0,"$200,000 or more","1.3%","1.3%",
"DP03",87.0,"Median family income (dollars)","42,703","41,482",
"DP03",88.0,"Mean family income (dollars)","54,594","51,408","*"
"DP03",88.3,,,,
"DP03",89.0,"Per capita income (dollars)","18,576","17,648","*"
"DP03",89.3,,,,
"DP03",90.0,"Nonfamily households","66,752","65,115",
"DP03",91.0,"Median nonfamily income (dollars)","19,142","17,896",
"DP03",92.0,"Mean nonfamily income (dollars)","27,113","25,310",
"DP03",92.3,,,,
"DP03",93.0,"Median earnings for workers (dollars)","21,940","20,226","*"
"DP03",93.5,"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL",,,
"DP03",94.0,"Median earnings for male full-time, year-round workers (dollars)","33,727","32,283",
"DP03",95.0,"Median earnings for female full-time, year-round workers (dollars)","24,730","23,551",
"DP03",95.3,,,,
"DP03",96.0,"All families","15.3","15.3",
"DP03",97.0,"With related children under 18 years","24.3","23.5",
"DP03",98.0,"With related children under 5 years only","32.2","30.3",
"DP03",99.0,"Married couple families","9.4","9.0",
"DP03",100.0,"With related children under 18 years","14.9","12.4",
"DP03",101.0,"With related children under 5 years only","13.0","15.1",
"DP03",102.0,"Families with female householder, no husband present","43.3","42.7",
"DP03",103.0,"With related children under 18 years","53.2","51.4",
"DP03",104.0,"With related children under 5 years only","78.4","67.9",
"DP03",104.2,,,,
"DP03",105.0,"All people","19.6","19.6",
"DP03",106.0,"Under 18 years","27.3","28.5",
"DP03",107.0,"Related children under 18 years","26.7","27.9",
"DP03",108.0,"Related children under 5 years","34.8","35.5",
"DP03",109.0,"Related children 5 to 17 years","23.8","25.3",
"DP03",110.0,"18 years and over","17.1","16.8",
"DP03",111.0,"18 to 64 years","17.6","17.8",
"DP03",112.0,"65 years and over","15.4","13.1","*"
"DP03",113.0,"People in families","17.0","16.9",
"DP03",114.0,"Unrelated individuals 15 years and over","33.1","33.8",
"DP04",0.0,,,,
"DP04",0.5,,,,
"DP04",0.8,,,,
"DP04",1.0,"Total housing units","275,646","274,746",
"DP04",2.0,"Occupied housing units","78.1%","78.1%",
"DP04",3.0,"Vacant housing units","21.9%","21.9%",
"DP04",3.3,,,,
"DP04",4.0,"Homeowner vacancy rate","2.5","2.8",
"DP04",5.0,"Rental vacancy rate","10.0","10.0",
"DP04",5.3,,,,
"DP04",5.5,"UNITS IN STRUCTURE",,,
"DP04",6.0,"Total housing units","275,646","274,746",
"DP04",7.0,"1-unit, detached","77.5%","76.9%",
"DP04",8.0,"1-unit, attached","1.2%","1.5%",
"DP04",9.0,"2 units","1.8%","1.4%",
"DP04",10.0,"3 or 4 units","1.4%","1.7%",
"DP04",11.0,"5 to 9 units","1.1%","1.0%",
"DP04",12.0,"10 to 19 units","0.5%","0.5%",
"DP04",13.0,"20 or more units","0.4%","0.7%",
"DP04",14.0,"Mobile home","16.0%","16.3%",
"DP04",15.0,"Boat, RV, van, etc.","0.1%","0.0%",
"DP04",15.3,,,,
"DP04",15.5,"YEAR STRUCTURE BUILT",,,
"DP04",16.0,"Total housing units","275,646","274,746",
"DP04",17.0,"Built 2005 or later","1.8%","0.9%","*"
"DP04",18.0,"Built 2000 to 2004","4.5%","3.9%",
"DP04",19.0,"Built 1990 to 1999","12.0%","11.6%",
"DP04",20.0,"Built 1980 to 1989","15.4%","16.8%","*"
"DP04",21.0,"Built 1970 to 1979","22.2%","22.8%",
"DP04",22.0,"Built 1960 to 1969","12.2%","12.4%",
"DP04",23.0,"Built 1950 to 1959","11.3%","10.4%",
"DP04",24.0,"Built 1940 to 1949","6.9%","7.5%",
"DP04",25.0,"Built 1939 or earlier","13.9%","13.7%",
"DP04",25.3,,,,
"DP04",25.5,"ROOMS",,,
"DP04",26.0,"Total housing units","275,646","274,746",
"DP04",27.0,"1 room","0.2%","0.7%","*"
"DP04",28.0,"2 rooms","1.7%","1.5%",
"DP04",29.0,"3 rooms","5.5%","6.6%","*"
"DP04",30.0,"4 rooms","20.4%","20.6%",
"DP04",31.0,"5 rooms","33.0%","32.2%",
"DP04",32.0,"6 rooms","21.9%","21.9%",
"DP04",33.0,"7 rooms","9.7%","9.2%",
"DP04",34.0,"8 rooms","4.6%","4.0%",
"DP04",35.0,"9 rooms or more","3.0%","3.3%",
"DP04",36.0,"Median (rooms)","5.2","5.1",
"DP04",36.3,,,,
"DP04",36.5,"BEDROOMS",,,
"DP04",37.0,"Total housing units","275,646","274,746",
"DP04",38.0,"No bedroom","0.4%","0.8%","*"
"DP04",39.0,"1 bedroom","5.8%","6.8%","*"
"DP04",40.0,"2 bedrooms","32.7%","32.0%",
"DP04",41.0,"3 bedrooms","50.4%","49.0%",
"DP04",42.0,"4 bedrooms","8.9%","9.9%",
"DP04",43.0,"5 or more bedrooms","1.9%","1.4%",
"DP04",43.3,,,,
"DP04",43.5,"HOUSING TENURE",,,
"DP04",44.0,"Occupied housing units","215,212","214,622",
"DP04",45.0,"Owner-occupied","73.5%","72.7%",
"DP04",46.0,"Renter-occupied","26.5%","27.3%",
"DP04",46.3,,,,
"DP04",47.0,"Average household size of owner-occupied unit","2.51","2.51",
"DP04",48.0,"Average household size of renter-occupied unit","2.41","2.49",
"DP04",48.3,,,,
"DP04",48.5,"YEAR HOUSEHOLDER MOVED INTO UNIT",,,
"DP04",49.0,"Occupied housing units","215,212","214,622",
"DP04",50.0,"Moved in 2005 or later","25.5%","18.6%","*"
"DP04",51.0,"Moved in 2000 to 2004","23.7%","26.9%","*"
"DP04",52.0,"Moved in 1990 to 1999","24.2%","25.9%",
"DP04",53.0,"Moved in 1980 to 1989","11.9%","12.4%",
"DP04",54.0,"Moved in 1970 to 1979","8.5%","9.2%",
"DP04",55.0,"Moved in 1969 or earlier","6.2%","7.0%","*"
"DP04",55.3,,,,
"DP04",55.5,"VEHICLES AVAILABLE",,,
"DP04",56.0,"Occupied housing units","215,212","214,622",
"DP04",57.0,"No vehicles available","4.9%","6.0%","*"
"DP04",58.0,"1 vehicle available","30.7%","31.5%",
"DP04",59.0,"2 vehicles available","38.9%","38.3%",
"DP04",60.0,"3 or more vehicles available","25.5%","24.2%",
"DP04",60.3,,,,
"DP04",60.5,"HOUSE HEATING FUEL",,,
"DP04",61.0,"Occupied housing units","215,212","214,622",
"DP04",62.0,"Utility gas","39.3%","42.0%","*"
"DP04",63.0,"Bottled, tank, or LP gas","20.2%","20.6%",
"DP04",64.0,"Electricity","33.2%","30.4%","*"
"DP04",65.0,"Fuel oil, kerosene, etc.","0.4%","0.3%",
"DP04",66.0,"Coal or coke","0.0%","0.0%",
"DP04",67.0,"Wood","5.3%","5.3%",
"DP04",68.0,"Solar energy","0.0%","0.0%",
"DP04",69.0,"Other fuel","1.3%","1.3%",
"DP04",70.0,"No fuel used","0.2%","0.1%",
"DP04",70.3,,,,
"DP04",70.5,"SELECTED CHARACTERISTICS",,,
"DP04",71.0,"Occupied housing units","215,212","214,622",
"DP04",72.0,"Lacking complete plumbing facilities","0.5%","0.6%",
"DP04",73.0,"Lacking complete kitchen facilities","0.7%","0.7%",
"DP04",74.0,"No telephone service available","7.9%","9.2%","*"
"DP04",74.3,,,,
"DP04",74.5,"OCCUPANTS PER ROOM",,,
"DP04",75.0,"Occupied housing units","215,212","214,622",
"DP04",76.0,"1.00 or less","97.4%","97.5%",
"DP04",77.0,"1.01 to 1.50","2.3%","2.0%",
"DP04",78.0,"1.51 or more","0.3%","0.5%",
"DP04",78.3,,,,
"DP04",78.5,"VALUE",,,
"DP04",79.0,"Owner-occupied units","158,213","156,013",
"DP04",80.0,"Less than $50,000","31.1%","34.0%","*"
"DP04",81.0,"$50,000 to $99,999","35.0%","36.3%",
"DP04",82.0,"$100,000 to $149,999","16.5%","14.2%","*"
"DP04",83.0,"$150,000 to $199,999","7.9%","6.9%",
"DP04",84.0,"$200,000 to $299,999","5.7%","5.9%",
"DP04",85.0,"$300,000 to $499,999","2.4%","1.9%",
"DP04",86.0,"$500,000 to $999,999","1.1%","0.8%",
"DP04",87.0,"$1,000,000 or more","0.2%","0.2%",
"DP04",88.0,"Median (dollars)","75,300","71,700","*"
"DP04",88.3,,,,
"DP04",88.5,"MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS",,,
"DP04",89.0,"Owner-occupied units","158,213","156,013",
"DP04",90.0,"Housing units with a mortgage","73,812","71,354",
"DP04",91.0,"Less than $300","0.3%","0.3%",
"DP04",92.0,"$300 to $499","5.7%","5.6%",
"DP04",93.0,"$500 to $699","11.7%","12.2%",
"DP04",94.0,"$700 to $999","14.9%","15.0%",
"DP04",95.0,"$1,000 to $1,499","10.4%","9.1%","*"
"DP04",96.0,"$1,500 to $1,999","2.3%","2.1%",
"DP04",97.0,"$2,000 or more","1.3%","1.5%",
"DP04",98.0,"Median (dollars)","795","773",
"DP04",99.0,"Housing units without a mortgage","84,401","84,659",
"DP04",100.0,"Less than $100","1.7%","1.4%",
"DP04",101.0,"$100 to $199","11.2%","9.9%",
"DP04",102.0,"$200 to $299","17.7%","17.1%",
"DP04",103.0,"$300 to $399","12.4%","13.2%",
"DP04",104.0,"$400 or more","10.4%","12.7%","*"
"DP04",105.0,"Median (dollars)","277","292","*"
"DP04",105.3,,,,
"DP04",105.5,"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME",,,
"DP04",106.0,"Owner-occupied units","158,213","156,013",
"DP04",107.0,"Housing unit with a mortgage","73,812","71,354",
"DP04",108.0,"Less than 20.0 percent","22.6%","23.0%",
"DP04",109.0,"20.0 to 24.9 percent","6.8%","5.9%",
"DP04",110.0,"25.0 to 29.9 percent","4.3%","3.9%",
"DP04",111.0,"30.0 to 34.9 percent","3.6%","3.4%",
"DP04",112.0,"35.0 percent or more","9.0%","9.2%",
"DP04",113.0,"Not computed","544","504",
"DP04",114.0,"Housing unit without a mortgage","84,401","84,659",
"DP04",115.0,"Less than 10.0 percent","24.8%","21.9%","*"
"DP04",116.0,"10.0 to 14.9 percent","10.3%","11.6%",
"DP04",117.0,"15.0 to 19.9 percent","6.5%","6.5%",
"DP04",118.0,"20.0 to 24.9 percent","3.1%","4.0%","*"
"DP04",119.0,"25.0 to 29.9 percent","2.0%","2.6%",
"DP04",120.0,"30.0 to 34.9 percent","2.0%","1.7%",
"DP04",121.0,"35.0 percent or more","4.2%","5.3%","*"
"DP04",122.0,"Not computed","812","1,112",
"DP04",122.3,,,,
"DP04",122.5,"GROSS RENT",,,
"DP04",123.0,"Renter-occupied units","56,999","58,609",
"DP04",124.0,"Less than $200","4.0%","4.4%",
"DP04",125.0,"$200 to $299","5.4%","11.3%","*"
"DP04",126.0,"$300 to $499","26.7%","28.7%",
"DP04",127.0,"$500 to $749","32.2%","28.1%",
"DP04",128.0,"$750 to $999","7.2%","7.7%",
"DP04",129.0,"$1,000 to $1,499","0.8%","0.6%",
"DP04",130.0,"$1,500 or more","0.1%","0.3%",
"DP04",131.0,"No cash rent","13,443","11,110","*"
"DP04",132.0,"Median (dollars)","511","477","*"
"DP04",132.3,,,,
"DP04",132.5,"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME",,,
"DP04",133.0,"Renter-occupied units","56,999","58,609",
"DP04",134.0,"Less than 15.0 percent","18.0%","14.6%","*"
"DP04",135.0,"15.0 to 19.9 percent","9.4%","13.3%","*"
"DP04",136.0,"20.0 to 24.9 percent","7.5%","9.8%",
"DP04",137.0,"25.0 to 29.9 percent","8.1%","8.0%",
