"TBLID","PROFLN","STUB","cest_06","cest_07","pub_sig90"
"DP02",90.0,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","0.7%","0.6%",
"DP02",91.0,"Foreign born","4.0%","4.2%",
"DP02",91.3,,,,
"DP02",91.5,"U.S. CITIZENSHIP STATUS",,,
"DP02",92.0,"Foreign-born population","60,769","64,777",
"DP02",93.0,"Naturalized U.S. citizen","29.4%","27.9%",
"DP02",94.0,"Not a U.S. citizen","70.6%","72.1%",
"DP02",94.3,,,,
"DP02",94.5,"YEAR OF ENTRY",,,
"DP02",95.0,"Population born outside the United States","71,117","74,247",
"DP02",95.3,,,,
"DP02",96.0,"Native","10,348","9,470",
"DP02",97.0,"Entered 2000 or later","15.3%","8.6%",
"DP02",98.0,"Entered before 2000","84.7%","91.4%",
"DP02",98.3,,,,
"DP02",99.0,"Foreign born","60,769","64,777",
"DP02",100.0,"Entered 2000 or later","31.0%","33.4%",
"DP02",101.0,"Entered before 2000","69.0%","66.6%",
"DP02",101.3,,,,
"DP02",101.5,"WORLD REGION OF BIRTH OF FOREIGN BORN",,,
"DP02",102.0,"Foreign-born population, excluding population born at sea","60,769","64,777",
"DP02",103.0,"Europe","14.7%","14.2%",
"DP02",104.0,"Asia","7.3%","9.7%",
"DP02",105.0,"Africa","1.2%","1.1%",
"DP02",106.0,"Oceania","1.0%","1.5%",
"DP02",107.0,"Latin America","70.0%","66.5%",
"DP02",108.0,"Northern America","5.7%","7.1%",
"DP02",108.3,,,,
"DP02",108.5,"LANGUAGE SPOKEN AT HOME",,,
"DP02",109.0,"Population 5 years and over","1,434,262","1,438,394",
"DP02",110.0,"English only","84.5%","84.5%",
"DP02",111.0,"Language other than English","15.5%","15.5%",
"DP02",112.0,"Speak English less than ""very well""","3.8%","4.8%","*"
"DP02",113.0,"Spanish","7.9%","7.7%",
"DP02",114.0,"Speak English less than ""very well""","2.9%","2.8%",
"DP02",115.0,"Other Indo-European languages","1.2%","1.1%",
"DP02",116.0,"Speak English less than ""very well""","0.1%","0.2%","*"
"DP02",117.0,"Asian and Pacific Islander languages","0.3%","0.4%",
"DP02",118.0,"Speak English less than ""very well""","0.1%","0.3%","*"
"DP02",119.0,"Other languages","6.0%","6.2%",
"DP02",120.0,"Speak English less than ""very well""","0.7%","1.5%","*"
"DP02",120.3,,,,
"DP02",120.5,"ANCESTRY",,,
"DP02",121.0,"Total population","1,534,656","1,537,907",
"DP02",122.0,"American","5.5%","4.9%",
"DP02",123.0,"Arab","0.1%","0.1%",
"DP02",124.0,"Czech","0.6%","0.6%",
"DP02",125.0,"Danish","2.5%","2.1%","*"
"DP02",126.0,"Dutch","2.6%","2.5%",
"DP02",127.0,"English","15.6%","15.3%",
"DP02",128.0,"French (except Basque)","3.3%","3.3%",
"DP02",129.0,"French Canadian","0.6%","0.6%",
"DP02",130.0,"German","22.4%","22.9%",
"DP02",131.0,"Greek","0.4%","0.2%",
"DP02",132.0,"Hungarian","0.4%","0.2%","*"
"DP02",133.0,"Irish","12.2%","12.3%",
"DP02",134.0,"Italian","2.7%","3.4%","*"
"DP02",135.0,"Lithuanian","0.1%","0.1%",
"DP02",136.0,"Norwegian","4.2%","4.3%",
"DP02",137.0,"Polish","1.5%","1.5%",
"DP02",138.0,"Portuguese","0.3%","0.4%",
"DP02",139.0,"Russian","0.6%","0.9%","*"
"DP02",140.0,"Scotch-Irish","2.5%","2.5%",
"DP02",141.0,"Scottish","3.1%","3.7%","*"
"DP02",142.0,"Slovak","0.1%","0.1%",
"DP02",143.0,"Subsaharan African","0.0%","0.1%",
"DP02",144.0,"Swedish","3.2%","3.1%",
"DP02",145.0,"Swiss","0.6%","0.6%",
"DP02",146.0,"Ukrainian","0.1%","0.2%",
"DP02",147.0,"Welsh","1.3%","1.2%",
"DP02",148.0,"West Indian (excluding Hispanic origin groups)","0.0%","0.0%",
"DP03",0.0,,,,
"DP03",0.5,,,,
"DP03",0.8,,,,
"DP03",1.0,"Population 16 years and over","1,204,309","1,211,425",
"DP03",2.0,"In labor force","61.4%","61.4%",
"DP03",3.0,"Civilian labor force","61.3%","61.4%",
"DP03",4.0,"Employed","58.2%","57.7%",
"DP03",5.0,"Unemployed","3.1%","3.7%","*"
"DP03",6.0,"Armed Forces","0.1%","0.1%",
"DP03",7.0,"Not in labor force","38.6%","38.6%",
"DP03",7.3,,,,
"DP03",8.0,"Civilian labor force","738,712","743,589",
"DP03",9.0,"Unemployed","5.0","6.1","*"
"DP03",9.3,,,,
"DP03",10.0,"Females 16 years and over","598,046","599,458",
"DP03",11.0,"In labor force","56.5%","55.9%",
"DP03",12.0,"Civilian labor force","56.5%","55.9%",
"DP03",13.0,"Employed","53.6%","52.7%",
"DP03",13.3,,,,
"DP03",14.0,"Own children under 6 years","112,392","112,957",
"DP03",15.0,"All parents in family in labor force","61.3%","57.5%",
"DP03",15.3,,,,
"DP03",16.0,"Own children 6 to 17 years","242,593","237,650",
"DP03",17.0,"All parents in family in labor force","70.2%","70.4%",
"DP03",17.3,,,,
"DP03",17.5,"COMMUTING TO WORK",,,
"DP03",18.0,"Workers 16 years and over","678,690","678,383",
"DP03",19.0,"Car, truck, or van -- drove alone","71.2%","70.4%",
"DP03",20.0,"Car, truck, or van -- carpooled","13.4%","13.0%",
"DP03",21.0,"Public transportation (excluding taxicab)","1.0%","1.2%",
"DP03",22.0,"Walked","5.3%","5.7%",
"DP03",23.0,"Other means","1.8%","2.1%",
"DP03",24.0,"Worked at home","7.3%","7.6%",
"DP03",24.3,,,,
"DP03",25.0,"Mean travel time to work (minutes)","19.5","19.7",
"DP03",25.3,,,,
"DP03",25.5,"OCCUPATION",,,
"DP03",26.0,"Civilian employed population 16 years and over","701,466","698,565",
"DP03",27.0,"Management, professional, and related occupations","29.8%","29.9%",
"DP03",28.0,"Service occupations","18.1%","19.4%","*"
"DP03",29.0,"Sales and office occupations","20.9%","20.9%",
"DP03",30.0,"Farming, fishing, and forestry occupations","3.0%","3.0%",
"DP03",31.0,"Construction, extraction, maintenance and repair occupations","16.6%","15.0%","*"
"DP03",32.0,"Production, transportation, and material moving occupations","11.6%","11.9%",
"DP03",32.3,,,,
"DP03",32.5,"INDUSTRY",,,
"DP03",33.0,"Civilian employed population 16 years and over","701,466","698,565",
"DP03",34.0,"Agriculture, forestry, fishing and hunting, and mining","11.7%","11.7%",
"DP03",35.0,"Construction","12.3%","10.7%","*"
"DP03",36.0,"Manufacturing","5.3%","4.7%","*"
"DP03",37.0,"Wholesale trade","1.9%","2.0%",
"DP03",38.0,"Retail trade","11.0%","11.9%","*"
"DP03",39.0,"Transportation and warehousing, and utilities","5.1%","5.6%",
"DP03",40.0,"Information","1.4%","1.5%",
"DP03",41.0,"Finance and insurance, and real estate and rental and leasing","4.3%","4.2%",
"DP03",42.0,"Professional, scientific, and management, and administrative and waste management services","5.7%","6.0%",
"DP03",43.0,"Educational services, and health care and social assistance","19.4%","20.6%","*"
"DP03",44.0,"Arts, entertainment, and recreation, and accommodation, and food services","10.6%","10.6%",
"DP03",45.0,"Other services, except public administration","4.5%","4.4%",
"DP03",46.0,"Public administration","6.7%","5.9%","*"
"DP03",46.3,,,,
"DP03",46.5,"CLASS OF WORKER",,,
"DP03",47.0,"Civilian employed population 16 years and over","701,466","698,565",
"DP03",48.0,"Private wage and salary workers","66.2%","66.9%",
"DP03",49.0,"Government workers","21.4%","20.7%",
"DP03",50.0,"Self-employed workers in own not incorporated business","11.7%","11.7%",
"DP03",51.0,"Unpaid family workers","0.8%","0.7%",
"DP03",51.3,,,,
"DP03",51.5,"INCOME AND BENEFITS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,
"DP03",52.0,"Total households","583,441","577,755",
"DP03",53.0,"Less than $10,000","9.6%","8.9%",
"DP03",54.0,"$10,000 to $14,999","6.9%","7.1%",
"DP03",55.0,"$15,000 to $24,999","13.9%","14.1%",
"DP03",56.0,"$25,000 to $34,999","13.6%","12.1%","*"
"DP03",57.0,"$35,000 to $49,999","17.2%","16.0%","*"
"DP03",58.0,"$50,000 to $74,999","18.6%","19.0%",
"DP03",59.0,"$75,000 to $99,999","10.4%","11.3%","*"
"DP03",60.0,"$100,000 to $149,999","6.6%","8.1%","*"
"DP03",61.0,"$150,000 to $199,999","1.8%","1.6%",
"DP03",62.0,"$200,000 or more","1.5%","1.7%",
"DP03",63.0,"Median household income (dollars)","39,901","41,578","*"
"DP03",64.0,"Mean household income (dollars)","51,572","54,310","*"
"DP03",64.3,,,,
"DP03",65.0,"With earnings","76.3%","77.6%","*"
"DP03",66.0,"Mean earnings (dollars)","51,274","52,800",
"DP03",67.0,"With Social Security","31.3%","31.4%",
"DP03",68.0,"Mean Social Security income (dollars)","13,753","13,701",
"DP03",69.0,"With retirement income","18.5%","18.0%",
"DP03",70.0,"Mean retirement income (dollars)","17,880","18,012",
"DP03",70.3,,,,
"DP03",71.0,"With Supplemental Security Income","4.0%","4.5%",
"DP03",72.0,"Mean Supplemental Security Income (dollars)","6,922","7,528","*"
"DP03",73.0,"With cash public assistance income","2.9%","2.4%","*"
"DP03",74.0,"Mean cash public assistance income (dollars)","2,261","2,457",
"DP03",75.0,"With Food Stamp benefits in the past 12 months","8.3%","8.5%",
"DP03",75.3,,,,
"DP03",76.0,"Families","395,126","398,128",
"DP03",77.0,"Less than $10,000","4.9%","5.4%",
"DP03",78.0,"$10,000 to $14,999","4.1%","4.1%",
"DP03",79.0,"$15,000 to $24,999","11.5%","11.2%",
"DP03",80.0,"$25,000 to $34,999","12.9%","11.7%","*"
"DP03",81.0,"$35,000 to $49,999","18.9%","16.7%","*"
"DP03",82.0,"$50,000 to $74,999","22.2%","22.2%",
"DP03",83.0,"$75,000 to $99,999","13.0%","14.2%","*"
"DP03",84.0,"$100,000 to $149,999","8.4%","10.5%","*"
"DP03",85.0,"$150,000 to $199,999","2.3%","2.0%",
"DP03",86.0,"$200,000 or more","1.8%","2.1%",
"DP03",87.0,"Median family income (dollars)","48,290","50,765","*"
"DP03",88.0,"Mean family income (dollars)","59,814","62,410","*"
"DP03",88.3,,,,
"DP03",89.0,"Per capita income (dollars)","20,247","21,333","*"
"DP03",89.3,,,,
"DP03",90.0,"Nonfamily households","188,315","179,627","*"
"DP03",91.0,"Median nonfamily income (dollars)","22,920","22,958",
"DP03",92.0,"Mean nonfamily income (dollars)","31,916","33,829",
"DP03",92.3,,,,
"DP03",93.0,"Median earnings for workers (dollars)","21,886","22,350",
"DP03",93.5,"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL",,,
"DP03",94.0,"Median earnings for male full-time, year-round workers (dollars)","36,557","38,266","*"
"DP03",95.0,"Median earnings for female full-time, year-round workers (dollars)","26,833","26,340",
"DP03",95.3,,,,
"DP03",96.0,"All families","11.2","11.5",
"DP03",97.0,"With related children under 18 years","18.3","18.9",
"DP03",98.0,"With related children under 5 years only","21.1","19.6",
"DP03",99.0,"Married couple families","6.9","6.7",
"DP03",100.0,"With related children under 18 years","10.8","10.4",
"DP03",101.0,"With related children under 5 years only","11.3","8.7",
"DP03",102.0,"Families with female householder, no husband present","35.2","37.2",
"DP03",103.0,"With related children under 18 years","43.9","45.5",
"DP03",104.0,"With related children under 5 years only","57.5","54.3",
"DP03",104.2,,,,
"DP03",105.0,"All people","16.2","16.3",
"DP03",106.0,"Under 18 years","22.3","23.1",
"DP03",107.0,"Related children under 18 years","21.9","22.6",
"DP03",108.0,"Related children under 5 years","25.9","24.4",
"DP03",109.0,"Related children 5 to 17 years","20.5","22.0",
"DP03",110.0,"18 years and over","14.1","14.0",
"DP03",111.0,"18 to 64 years","14.9","14.3",
"DP03",112.0,"65 years and over","11.0","12.9","*"
"DP03",113.0,"People in families","13.6","13.8",
"DP03",114.0,"Unrelated individuals 15 years and over","28.6","28.2",
"DP04",0.0,,,,
"DP04",0.5,,,,
"DP04",0.8,,,,
"DP04",1.0,"Total housing units","783,996","788,579",
"DP04",2.0,"Occupied housing units","74.4%","73.3%",
"DP04",3.0,"Vacant housing units","25.6%","26.7%",
"DP04",3.3,,,,
"DP04",4.0,"Homeowner vacancy rate","2.3","2.7",
"DP04",5.0,"Rental vacancy rate","7.8","8.5",
"DP04",5.3,,,,
"DP04",5.5,"UNITS IN STRUCTURE",,,
"DP04",6.0,"Total housing units","783,996","788,579",
"DP04",7.0,"1-unit, detached","70.2%","70.4%",
"DP04",8.0,"1-unit, attached","1.9%","1.8%",
"DP04",9.0,"2 units","2.4%","1.9%","*"
"DP04",10.0,"3 or 4 units","2.9%","3.0%",
"DP04",11.0,"5 to 9 units","2.1%","2.5%","*"
"DP04",12.0,"10 to 19 units","1.5%","1.4%",
"DP04",13.0,"20 or more units","1.7%","1.9%",
"DP04",14.0,"Mobile home","17.1%","16.7%",
"DP04",15.0,"Boat, RV, van, etc.","0.3%","0.3%",
"DP04",15.3,,,,
"DP04",15.5,"YEAR STRUCTURE BUILT",,,
"DP04",16.0,"Total housing units","783,996","788,579",
"DP04",17.0,"Built 2005 or later","0.9%","1.7%","*"
"DP04",18.0,"Built 2000 to 2004","5.0%","5.6%","*"
"DP04",19.0,"Built 1990 to 1999","16.8%","17.0%",
"DP04",20.0,"Built 1980 to 1989","16.2%","16.3%",
"DP04",21.0,"Built 1970 to 1979","22.2%","20.9%","*"
"DP04",22.0,"Built 1960 to 1969","9.3%","9.4%",
"DP04",23.0,"Built 1950 to 1959","8.1%","7.5%",
"DP04",24.0,"Built 1940 to 1949","5.9%","5.6%",
"DP04",25.0,"Built 1939 or earlier","15.7%","16.0%",
"DP04",25.3,,,,
"DP04",25.5,"ROOMS",,,
"DP04",26.0,"Total housing units","783,996","788,579",
"DP04",27.0,"1 room","3.0%","2.7%",
"DP04",28.0,"2 rooms","3.5%","3.3%",
"DP04",29.0,"3 rooms","9.0%","8.7%",
"DP04",30.0,"4 rooms","19.1%","19.7%",
"DP04",31.0,"5 rooms","24.2%","24.6%",
"DP04",32.0,"6 rooms","17.1%","17.0%",
"DP04",33.0,"7 rooms","10.6%","10.3%",
"DP04",34.0,"8 rooms","6.4%","6.5%",
"DP04",35.0,"9 rooms or more","7.2%","7.3%",
"DP04",36.0,"Median (rooms)","5.1","5.1",
"DP04",36.3,,,,
"DP04",36.5,"BEDROOMS",,,
"DP04",37.0,"Total housing units","783,996","788,579",
"DP04",38.0,"No bedroom","3.3%","3.0%",
"DP04",39.0,"1 bedroom","9.6%","9.0%",
"DP04",40.0,"2 bedrooms","28.6%","29.7%","*"
"DP04",41.0,"3 bedrooms","39.5%","39.0%",
"DP04",42.0,"4 bedrooms","13.8%","14.4%",
"DP04",43.0,"5 or more bedrooms","5.2%","4.9%",
"DP04",43.3,,,,
"DP04",43.5,"HOUSING TENURE",,,
"DP04",44.0,"Occupied housing units","583,441","577,755",
"DP04",45.0,"Owner-occupied","72.4%","72.9%",
"DP04",46.0,"Renter-occupied","27.6%","27.1%",
"DP04",46.3,,,,
"DP04",47.0,"Average household size of owner-occupied unit","2.60","2.62",
"DP04",48.0,"Average household size of renter-occupied unit","2.45","2.49",
"DP04",48.3,,,,
"DP04",48.5,"YEAR HOUSEHOLDER MOVED INTO UNIT",,,
"DP04",49.0,"Occupied housing units","583,441","577,755",
"DP04",50.0,"Moved in 2005 or later","19.3%","27.2%","*"
"DP04",51.0,"Moved in 2000 to 2004","26.4%","23.0%","*"
"DP04",52.0,"Moved in 1990 to 1999","27.8%","24.7%","*"
"DP04",53.0,"Moved in 1980 to 1989","12.2%","11.8%",
"DP04",54.0,"Moved in 1970 to 1979","7.9%","7.5%",
"DP04",55.0,"Moved in 1969 or earlier","6.4%","5.7%","*"
"DP04",55.3,,,,
"DP04",55.5,"VEHICLES AVAILABLE",,,
"DP04",56.0,"Occupied housing units","583,441","577,755",
"DP04",57.0,"No vehicles available","5.2%","5.2%",
"DP04",58.0,"1 vehicle available","27.8%","27.5%",
"DP04",59.0,"2 vehicles available","36.7%","37.6%",
"DP04",60.0,"3 or more vehicles available","30.3%","29.6%",
"DP04",60.3,,,,
"DP04",60.5,"HOUSE HEATING FUEL",,,
"DP04",61.0,"Occupied housing units","583,441","577,755",
"DP04",62.0,"Utility gas","41.4%","42.2%",
"DP04",63.0,"Bottled, tank, or LP gas","19.6%","19.1%",
"DP04",64.0,"Electricity","17.9%","18.6%",
"DP04",65.0,"Fuel oil, kerosene, etc.","2.7%","2.4%",
"DP04",66.0,"Coal or coke","1.0%","0.6%","*"
"DP04",67.0,"Wood","15.1%","15.2%",
"DP04",68.0,"Solar energy","0.2%","0.2%",
"DP04",69.0,"Other fuel","1.8%","1.6%",
"DP04",70.0,"No fuel used","0.3%","0.1%","*"
"DP04",70.3,,,,
"DP04",70.5,"SELECTED CHARACTERISTICS",,,
"DP04",71.0,"Occupied housing units","583,441","577,755",
"DP04",72.0,"Lacking complete plumbing facilities","1.6%","1.6%",
"DP04",73.0,"Lacking complete kitchen facilities","1.8%","1.7%",
"DP04",74.0,"No telephone service available","7.2%","6.3%","*"
"DP04",74.3,,,,
"DP04",74.5,"OCCUPANTS PER ROOM",,,
"DP04",75.0,"Occupied housing units","583,441","577,755",
"DP04",76.0,"1.00 or less","96.4%","96.3%",
"DP04",77.0,"1.01 to 1.50","2.8%","2.7%",
"DP04",78.0,"1.51 or more","0.9%","1.1%",
"DP04",78.3,,,,
"DP04",78.5,"VALUE",,,
"DP04",79.0,"Owner-occupied units","422,328","420,950",
"DP04",80.0,"Less than $50,000","14.6%","13.3%","*"
"DP04",81.0,"$50,000 to $99,999","23.5%","20.8%","*"
"DP04",82.0,"$100,000 to $149,999","18.2%","17.4%",
"DP04",83.0,"$150,000 to $199,999","13.2%","14.2%",
"DP04",84.0,"$200,000 to $299,999","13.0%","14.5%","*"
"DP04",85.0,"$300,000 to $499,999","9.4%","11.0%","*"
"DP04",86.0,"$500,000 to $999,999","5.3%","5.7%",
"DP04",87.0,"$1,000,000 or more","2.7%","3.1%",
"DP04",88.0,"Median (dollars)","134,700","144,900","*"
"DP04",88.3,,,,
"DP04",88.5,"MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS",,,
"DP04",89.0,"Owner-occupied units","422,328","420,950",
"DP04",90.0,"Housing units with a mortgage","224,835","228,042",
"DP04",91.0,"Less than $300","0.5%","0.4%",
"DP04",92.0,"$300 to $499","3.1%","2.9%",
"DP04",93.0,"$500 to $699","7.7%","8.3%",
"DP04",94.0,"$700 to $999","14.9%","14.5%",
"DP04",95.0,"$1,000 to $1,499","15.3%","15.5%",
"DP04",96.0,"$1,500 to $1,999","6.2%","6.8%",
"DP04",97.0,"$2,000 or more","5.5%","5.7%",
"DP04",98.0,"Median (dollars)","1,010","1,023",
"DP04",99.0,"Housing units without a mortgage","197,493","192,908",
"DP04",100.0,"Less than $100","2.4%","2.5%",
"DP04",101.0,"$100 to $199","7.7%","9.0%","*"
"DP04",102.0,"$200 to $299","13.9%","13.5%",
"DP04",103.0,"$300 to $399","10.9%","9.7%","*"
"DP04",104.0,"$400 or more","11.9%","11.1%",
"DP04",105.0,"Median (dollars)","296","285","*"
"DP04",105.3,,,,
"DP04",105.5,"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME",,,
"DP04",106.0,"Owner-occupied units","422,328","420,950",
"DP04",107.0,"Housing unit with a mortgage","224,835","228,042",
"DP04",108.0,"Less than 20.0 percent","20.4%","22.5%","*"
"DP04",109.0,"20.0 to 24.9 percent","8.7%","7.7%","*"
"DP04",110.0,"25.0 to 29.9 percent","6.2%","5.9%",
"DP04",111.0,"30.0 to 34.9 percent","3.9%","4.0%",
"DP04",112.0,"35.0 percent or more","14.0%","13.9%",
"DP04",113.0,"Not computed","653","1,070",
"DP04",114.0,"Housing unit without a mortgage","197,493","192,908",
"DP04",115.0,"Less than 10.0 percent","21.4%","22.5%",
"DP04",116.0,"10.0 to 14.9 percent","8.1%","8.1%",
"DP04",117.0,"15.0 to 19.9 percent","5.5%","4.7%","*"
"DP04",118.0,"20.0 to 24.9 percent","3.0%","2.9%",
"DP04",119.0,"25.0 to 29.9 percent","2.4%","2.0%",
"DP04",120.0,"30.0 to 34.9 percent","1.3%","1.2%",
"DP04",121.0,"35.0 percent or more","4.2%","4.0%",
"DP04",122.0,"Not computed","3,674","1,956","*"
"DP04",122.3,,,,
"DP04",122.5,"GROSS RENT",,,
"DP04",123.0,"Renter-occupied units","161,113","156,805",
"DP04",124.0,"Less than $200","3.9%","5.4%","*"
"DP04",125.0,"$200 to $299","6.0%","5.3%",
"DP04",126.0,"$300 to $499","22.0%","20.8%",
"DP04",127.0,"$500 to $749","29.3%","28.9%",
"DP04",128.0,"$750 to $999","12.8%","13.5%",
"DP04",129.0,"$1,000 to $1,499","6.6%","6.9%",
"DP04",130.0,"$1,500 or more","1.5%","2.2%",
"DP04",131.0,"No cash rent","29,031","26,432",
"DP04",132.0,"Median (dollars)","560","580",
"DP04",132.3,,,,
"DP04",132.5,"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME",,,
"DP04",133.0,"Renter-occupied units","161,113","156,805",
"DP04",134.0,"Less than 15.0 percent","18.7%","18.4%",
"DP04",135.0,"15.0 to 19.9 percent","11.7%","12.2%",
