SUMLEV,STATE,COUNTY,CTYNAME,HUCENSUS2000,HUESTBASE2000,HUEST_2000,HUEST_2001,HUEST_2002,HUEST_2003,HUEST_2004,HUEST_2005,HUEST_2006
050,27,109,Olmsted County,49422,49422,49808,51350,53027,54542,56120,57304,58344
050,27,111,Otter Tail County,33862,33862,33942,34203,34471,34752,35078,35364,35493
050,27,113,Pennington County,6033,6033,6048,6102,6154,6189,6226,6251,6265
050,27,115,Pine County,15353,15353,15401,15561,15747,15969,16149,16405,16552
050,27,117,Pipestone County,4434,4434,4441,4466,4472,4480,4489,4497,4506
050,27,119,Polk County,14008,14008,14031,14117,14191,14287,14427,14519,14630
050,27,121,Pope County,5827,5827,5851,5943,6020,6135,6221,6312,6377
050,27,123,Ramsey County,206448,206448,206630,207341,208345,209444,210830,213126,213814
050,27,125,Red Lake County,1883,1883,1887,1898,1910,1922,1935,1943,1940
050,27,127,Redwood County,7230,7230,7237,7263,7297,7308,7311,7316,7335
050,27,129,Renville County,7413,7413,7418,7438,7457,7461,7471,7477,7482
050,27,131,Rice County,20061,20061,20140,20544,20957,21591,22142,22696,23221
050,27,133,Rock County,4137,4137,4144,4170,4181,4195,4218,4230,4257
050,27,135,Roseau County,7101,7101,7123,7196,7273,7332,7412,7465,7491
050,27,137,St. Louis County,95800,95800,95921,96374,96770,97209,97818,98761,99411
050,27,139,Scott County,31609,31609,32140,34269,36160,38112,40621,42575,44172
050,27,141,Sherburne County,22827,22827,23119,24390,25543,26818,28403,29872,31013
050,27,143,Sibley County,6024,6024,6039,6097,6147,6215,6281,6365,6437
050,27,145,Stearns County,50291,50293,50481,51301,52440,54630,56284,57639,58836
050,27,147,Steele County,13306,13306,13352,13532,13698,13942,14265,14511,14730
050,27,149,Stevens County,4074,4074,4080,4102,4121,4135,4145,4184,4205
050,27,151,Swift County,4821,4821,4826,4851,4869,4895,4901,4903,4917
050,27,153,Todd County,11900,11900,11939,12087,12137,12298,12471,12649,12799
050,27,155,Traverse County,2199,2199,2202,2212,2221,2233,2239,2249,2254
050,27,157,Wabasha County,9066,9066,9097,9213,9369,9560,9776,9970,10148
050,27,159,Wadena County,6334,6334,6353,6423,6488,6547,6644,6711,6759
050,27,161,Waseca County,7427,7427,7449,7534,7574,7641,7715,7779,7836
050,27,163,Washington County,73635,73635,74171,76306,78221,79820,81988,84554,87078
050,27,165,Watonwan County,5036,5037,5040,5049,5059,5069,5091,5114,5136
050,27,167,Wilkin County,3105,3105,3109,3124,3139,3157,3169,3189,3248
050,27,169,Winona County,19551,19551,19590,19740,19915,20221,20552,20769,20909
050,27,171,Wright County,34355,34357,34766,36427,38510,40752,42583,44665,46747
050,27,173,Yellow Medicine County,4873,4873,4877,4892,4910,4919,4954,4963,4970
