gene_oid	Start Coord	End Coord	Strand	GC	Locus Tag	Gene Symbol	Description	Scaffold Name	MyIMG_Annotation
633210470	15604	16728	-	.35	Saci_0024	sufS	selenocysteine lyase	Sulfolobus acidocaldarius DSM 639 chromosome	
633210475	16715	18421	-	.36	Saci_0025		acetyl-coenzyme A synthetase( EC:6.2.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210480	18433	18909	-	.27	Saci_0026		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210485	18899	19645	-	.35	Saci_0027		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210490	19654	19953	-	.31	Saci_0028		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210495	20102	21088	+	.38	Saci_0029	trxR	thioredoxin reductase( EC:1.6.4.5 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210500	21085	21975	+	.32	Saci_0030		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210505	21901	22383	-	.35	Saci_0031		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210510	22370	22633	-	.36	Saci_0032		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210515	22557	22913	-	.34	Saci_0033		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210520	22932	23591	+	.36	Saci_0034		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210525	23574	24155	-	.35	Saci_0035		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210530	24221	24367	-	.21	Saci_0036		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210535	24505	25560	-	.32	Saci_0037		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210540	25618	26484	-	.36	Saci_0038		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210545	26513	27022	+	.38	Saci_0039		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210550	27019	27600	-	.35	Saci_0040		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210555	27676	28014	-	.37	Saci_0041		thioredoxin	Sulfolobus acidocaldarius DSM 639 chromosome	
633210560	28098	28811	+	.37	Saci_0042		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210565	28791	29417	-	.31	Saci_0043		phosphoglycerate mutase	Sulfolobus acidocaldarius DSM 639 chromosome	
633210570	29614	30108	+	.37	Saci_0044		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210575	30140	30481	+	.38	Saci_0045		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210580	30432	32177	-	.33	Saci_0046		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210585	32386	33312	+	.38	Saci_0047		nucleoside hydrolase( EC:3.2.2.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210590	33275	33697	-	.36	Saci_0048		ferric uptake regulation protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210595	34242	34703	+	.33	Saci_0049		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210600	34784	35782	-	.31	Saci_0050	nurA	putative 5'-3' nuclease	Sulfolobus acidocaldarius DSM 639 chromosome	
633210605	35772	38432	-	.32	Saci_0051	rad50	DNA double-strand break repair rad50 ATPase	Sulfolobus acidocaldarius DSM 639 chromosome	
633210610	38429	39577	-	.33	Saci_0052	mre11	DNA double-strand break repair Mre11 nuclease	Sulfolobus acidocaldarius DSM 639 chromosome	
633210615	39583	41070	-	.36	Saci_0053		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210620	41173	41589	-	.37	Saci_0054		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210625	41687	42094	-	.32	Saci_0055		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210630	42224	43735	+	.38	Saci_0057		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210635	43732	44193	-	.34	Saci_0058	bas1	conserved Archaeal 2-cys peroxiredoxin	Sulfolobus acidocaldarius DSM 639 chromosome	
633210640	44222	45793	+	.36	Saci_0059		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210645	45790	46605	+	.35	Saci_0060		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210650	46630	47589	-	.35	Saci_0061		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210655	47573	47995	-	.37	Saci_0062		methylmalonyl-CoA mutase C-terminal domain/subunit	Sulfolobus acidocaldarius DSM 639 chromosome	
633210660	48037	48109	-	.67	Saci_0063		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633210665	48401	48601	+	.38	Saci_0064		conserved DNA-binding protein 7e	Sulfolobus acidocaldarius DSM 639 chromosome	
633210670	48720	49055	+	.35	Saci_0065		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210675	49164	49294	-	.61	Saci_0066		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633210680	49384	50886	+	.35	Saci_0067	lysS	lysyl-tRNA synthetase type II( EC:6.1.1.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210685	50870	51946	-	.37	Saci_0068		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210690	51981	52646	+	.33	Saci_0069		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210695	52633	53166	+	.37	Saci_0070		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210700	53147	54160	+	.39	Saci_0071		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210705	54137	55165	-	.34	Saci_0072		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210710	55188	55652	+	.31	Saci_0073		acetyltransferase	Sulfolobus acidocaldarius DSM 639 chromosome	
633210715	55685	58033	+	.35	Saci_0074		DNA polymerase B3( EC:2.7.7.7 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210720	58023	59261	-	.35	Saci_0075		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210725	59271	60356	-	.36	Saci_0076	tys1	tyrosyl-tRNA synthetase( EC:6.1.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210730	60401	60751	-	.32	Saci_0077		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210735	60797	61201	-	.35	Saci_0078		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210740	61236	62510	+	.38	Saci_0079		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210745	62537	63049	+	.41	Saci_0080		30S ribosomal protein S13P	Sulfolobus acidocaldarius DSM 639 chromosome	
633210750	63067	63597	+	.39	Saci_0081		30S ribosomal protein S4P	Sulfolobus acidocaldarius DSM 639 chromosome	
633210755	63581	63979	+	.42	Saci_0082		30S ribosomal protein S11P	Sulfolobus acidocaldarius DSM 639 chromosome	
633210760	63991	64785	+	.36	Saci_0083	rpoD	DNA-directed RNA polymerase subunit D( EC:2.7.7.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210765	64809	65141	+	.37	Saci_0084		50S ribosomal protein L18E	Sulfolobus acidocaldarius DSM 639 chromosome	
633210770	65138	65584	+	.36	Saci_0085		50S ribosomal protein L13P	Sulfolobus acidocaldarius DSM 639 chromosome	
633210775	65581	65997	+	.4	Saci_0086		30S ribosomal protein S9P	Sulfolobus acidocaldarius DSM 639 chromosome	
633210780	66004	66204	+	.37	Saci_0087		DNA-directed RNA polymerase subunit N( EC:2.7.7.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210785	66214	66891	+	.39	Saci_0088		30S ribosomal protein S2P	Sulfolobus acidocaldarius DSM 639 chromosome	
633210790	66888	67742	+	.37	Saci_0089		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210795	67735	68421	+	.37	Saci_0090		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210800	68588	69499	+	.4	Saci_0091		isopentenyl-diphosphate delta-isomerase( EC:5.3.3.2 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210805	69496	70488	+	.36	Saci_0092	gds	geranylgeranyl pyrophosphate synthetase( EC:2.5.1.1,EC:2.5.1.10 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210810	70488	71474	+	.36	Saci_0093		UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase( EC:2.7.8.15 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210815	71498	72148	+	.36	Saci_0094	pgmB	beta-phosphoglucomutase( EC:5.4.2.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210820	72573	72657	-	.75	Saci_0096		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633210825	72935	74701	+	.39	Saci_0097	cbaA	cytochrome c oxidase polypeptide I( EC:1.9.3.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210830	74714	75799	+	.38	Saci_0098		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210835	75808	75993	+	.35	Saci_0099		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210840	76005	76736	-	.33	Saci_0100		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210845	76782	76943	-	.34	Saci_0101		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210850	77181	77561	+	.37	Saci_0102	lrs14	Lrs14	Sulfolobus acidocaldarius DSM 639 chromosome	
633210855	77583	78254	-	.38	Saci_0103		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210860	78251	78718	-	.38	Saci_0104		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210865	78712	79299	-	.35	Saci_0105		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210870	79274	80443	-	.38	Saci_0106	moeA	molybdopterin biosynthesis protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210875	80478	80978	+	.37	Saci_0107		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210880	81151	81846	+	.35	Saci_0108		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210885	81827	82237	-	.34	Saci_0109		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210890	82213	82614	-	.36	Saci_0110		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210895	82751	83005	+	.33	Saci_0111		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210900	83009	83653	+	.36	Saci_0112		iron dependent repressor	Sulfolobus acidocaldarius DSM 639 chromosome	
633210905	83676	84857	+	.34	Saci_0113		MOFRL family protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210910	85309	86070	+	.34	Saci_0114	cysT	sulfate transport system permease	Sulfolobus acidocaldarius DSM 639 chromosome	
633210915	86173	86481	+	.35	Saci_0116		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210920	86487	87179	-	.39	Saci_0117	tpiA	triosephosphate isomerase P( EC:5.3.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210925	87208	87738	+	.36	Saci_0118		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210930	87713	89284	-	.32	Saci_0119		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210935	89667	90632	+	.35	Saci_0120		conserved Archaeal esterase	Sulfolobus acidocaldarius DSM 639 chromosome	
633210940	90953	91414	-	.38	Saci_0121	nudT	7,8-dihydro-8-oxoguanine triphosphatase( EC:3.1.6.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210945	91411	92727	-	.39	Saci_0122	fumC	fumarate hydratase class II( EC:4.2.1.2 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633210950	92849	93445	+	.36	Saci_0123		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210955	93482	94768	+	.35	Saci_0124		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210960	94860	97319	+	.34	Saci_0125		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210965	97409	99625	+	.36	Saci_0127		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210970	99663	100643	+	.36	Saci_0128		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210975	100629	101354	-	.35	Saci_0129		exonuclease	Sulfolobus acidocaldarius DSM 639 chromosome	
633210980	101617	101877	+	.35	Saci_0130		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210985	101944	103017	-	.36	Saci_0131		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210990	103217	103675	-	.33	Saci_0132		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633210995	103892	104302	+	.36	Saci_0133	lrs14	Lrs14	Sulfolobus acidocaldarius DSM 639 chromosome	
633211000	104311	105249	+	.35	Saci_0134		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211005	105251	106054	-	.36	Saci_0135	dkgA	2,5-diketo-D-gluconic acid reductase A( EC:1.1.1.274 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211010	106051	107295	-	.38	Saci_0136	lpdV	dihydrolipoamide dehydrogenase( EC:1.8.1.4 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211015	107432	108718	+	.39	Saci_0137	thiC	thiamine biosynthesis protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211020	108774	109628	+	.38	Saci_0138		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211025	110154	110435	+	.33	Saci_0139		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211030	110503	111342	+	.36	Saci_0140		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211035	111332	112000	-	.34	Saci_0141		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211040	113660	114820	+	.34	Saci_0144		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211045	114813	115748	-	.37	Saci_0145		thioesterase( EC:3.1.2.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211050	115735	116127	-	.31	Saci_0146		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211055	116128	117945	-	.37	Saci_0147		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211060	117938	119026	-	.35	Saci_0148		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211065	119093	120415	-	.39	Saci_0149	npx	NADH peroxidase( EC:1.11.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211070	120774	121208	+	.37	Saci_0150		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211075	121201	122121	+	.38	Saci_0151		bifunctional phosphoglucose isomerase/phosphomannose isomerase	Sulfolobus acidocaldarius DSM 639 chromosome	
633211080	122124	123533	+	.38	Saci_0152	cysRS	cysteinyl-tRNA synthetase( EC:6.1.1.16 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211085	123514	123954	-	.41	Saci_0153		ADP-ribose pyrophosphatase( EC:3.6.1.13 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211090	124009	125265	+	.33	Saci_0154		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211095	125386	126657	+	.39	Saci_0155	gdhA	glutamate dehydrogenase( EC:1.4.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211100	126658	126939	-	.32	Saci_0156		conserved Archaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211105	126944	128431	-	.34	Saci_0157		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211110	128542	129330	-	.37	Saci_0158		short chain dehydrogenase( EC:1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211115	129299	129940	-	.37	Saci_0159		uracil DNA glycosylase superfamily protein( EC:3.2.2.3 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211120	130142	130450	+	.31	Saci_0160		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211125	130496	130894	-	.4	Saci_0161		iron dependent repressor	Sulfolobus acidocaldarius DSM 639 chromosome	
633211130	130936	131793	+	.37	Saci_0162		dihydrodipicolinate synthetase	Sulfolobus acidocaldarius DSM 639 chromosome	
633211135	131846	132274	-	.35	Saci_0164		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211140	132333	135062	-	.32	Saci_0165		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211145	135347	136912	+	.39	Saci_0166		aldehyde dehydrogenase( EC:1.2.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211150	136962	137603	-	.35	Saci_0167		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211155	137735	138160	-	.36	Saci_0168		CoA-binding protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211160	138313	138495	+	.36	Saci_0169		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211165	138716	138804	-	.67	Saci_0170		 ( tRNA ) 	Sulfolobus acidocaldarius DSM 639 chromosome	
633211170	138856	139158	-	.38	Saci_0171	rpoM	DNA-directed RNA polymerase subunit M( EC:2.7.7.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211175	139218	139466	-	.31	Saci_0172		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211180	139463	139735	-	.34	Saci_0173	rpoL	DNA-directed RNA polymerase subunit L( EC:2.7.7.6 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211185	139725	140267	-	.38	Saci_0174		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211190	140298	141302	-	.36	Saci_0175		diphthamide synthesis protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211195	141299	141829	-	.39	Saci_0176		50S ribosomal protein L10E	Sulfolobus acidocaldarius DSM 639 chromosome	
633211200	142098	143135	-	.35	Saci_0177		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211205	143120	144031	-	.35	Saci_0178		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211210	144039	144911	-	.37	Saci_0179		dinucleotide-utilizing enzymes	Sulfolobus acidocaldarius DSM 639 chromosome	
633211215	144979	145794	+	.39	Saci_0180		thiamine diphosphate-binding domain transketolase( EC:2.2.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211220	145766	146704	+	.41	Saci_0181		pyridine-binding domain transketolase( EC:2.2.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211225	146701	147726	+	.36	Saci_0182		chorismate mutase/prephenate dehydrogenase( EC:5.4.99.5 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211230	147730	148722	+	.4	Saci_0183	aroA	2-dehydro-3-deoxyphosphooctonate aldolase( EC:4.1.2.16 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211235	148719	149780	+	.39	Saci_0184	aroB	3-dehydroquinate synthase( EC:4.2.3.4 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211240	149768	150559	+	.34	Saci_0185	aroE	shikimate/quinate 5-dehydrogenase( EC:1.1.1.25 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211245	150537	151712	+	.42	Saci_0186	aroC	chorismate synthase( EC:4.2.3.5 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211250	151664	152470	+	.39	Saci_0187	aroK	shikimate kinase( EC:2.7.1.71 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211255	152608	153684	+	.4	Saci_0188	aroA	3-phosphoshikimate 1-carboxyvinyltransferase( EC:2.5.1.19 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211260	153665	154324	+	.34	Saci_0189	aroD	3-dehydroquinate dehydratase( EC:4.2.1.10 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211265	154288	154590	-	.4	Saci_0190		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211270	154751	155041	+	.3	Saci_0191		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211275	155041	156696	+	.35	Saci_0192		XPD/Rad3 related DNA helicase( EC:3.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211280	156693	157496	+	.37	Saci_0193		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211285	157512	157739	+	.39	Saci_0194		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211290	157840	158475	+	.39	Saci_0195	sodF	[Fe] superoxide dismutase( EC:1.15.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211295	158508	159587	+	.37	Saci_0196	mpg1	mannose-1-phosphate guanyltransferase( EC:2.7.7.13 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211300	159925	160275	+	.36	Saci_0197		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211305	160314	162212	+	.37	Saci_0198		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211310	162209	162913	+	.41	Saci_0199		short chain dehydrogenase( EC:1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211315	162967	163719	+	.39	Saci_0200		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211320	163640	164668	+	.37	Saci_0201		conserved Archaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211325	164665	165033	+	.33	Saci_0202		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211330	165123	165578	-	.38	Saci_0203		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211335	165575	166237	-	.39	Saci_0204		parA ATPase	Sulfolobus acidocaldarius DSM 639 chromosome	
633211340	166310	167278	-	.38	Saci_0205		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211345	167263	168639	-	.41	Saci_0206	glcD	glycolate oxidase subunit( EC:1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211350	168792	169754	+	.38	Saci_0207		FAD-binding domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211355	169751	170665	-	.41	Saci_0208	korB	2-oxoglutarate synthase subunit B( EC:1.2.7.3 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211360	170652	172520	-	.4	Saci_0209	korA	2-oxoacid-ferredoxin oxidoreductase, alfa domain( EC:1.2.7.3 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211365	172652	173464	-	.34	Saci_0210		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211370	173496	174212	-	.38	Saci_0211		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211375	174209	175342	-	.39	Saci_0212		CBS domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211380	175393	176433	+	.39	Saci_0213		histone deacetylase	Sulfolobus acidocaldarius DSM 639 chromosome	
633211385	176428	177624	-	.41	Saci_0214	purT	phosphoribosylglycinamide formyltransferase 2( EC:2.1.2.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633211390	177638	178252	-	.35	Saci_0215		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211395	178302	178952	+	.39	Saci_0216		conserved Archaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211400	178908	179534	-	.36	Saci_0217		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211405	179632	180072	+	.36	Saci_0218		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211410	180060	181058	-	.39	Saci_0219		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211415	181095	181892	+	.38	Saci_0220		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211420	181889	182425	+	.4	Saci_0221	moaB	molybdopterin-binding domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211425	182422	182907	+	.4	Saci_0222		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211430	183419	183790	-	.35	Saci_0223		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211435	183747	184130	-	.37	Saci_0224		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633211440	186300	187166	+	.38	Saci_0225		2-keto-3-deoxygluconate/2-keto-3-deoxy-6-phospho gluconate aldolase	Sulfolobus acidocaldarius DSM 639 chromosome	
633211445	187177	188112	+	.4	Saci_0226	kdgK	2-keto-3-deoxygluconate kinase	Sulfolobus acidocaldarius DSM 639 chromosome	
