-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
ATL1        49718.000    1995     1     1     0
ATL1        52274.750    2001    12    31    18
ATL1       505865.080 -5273284.628  3540689.627
49760.25     0.165370    -0.609352     1.320042
49760.50     0.121125    -0.560173     0.040755
49760.75     0.143685    -0.460003    -1.711916
49761.00     0.094233    -0.264067    -1.195738
49761.25     0.097649    -0.226265    -1.777642
49761.50     0.017019    -0.167933    -1.840894
49761.75    -0.014857    -0.145482    -2.681773
49762.00    -0.107168     0.004962    -1.024021
49762.25    -0.136201     0.049225    -1.302998
49762.50    -0.130259     0.138422    -1.283800
49762.75    -0.174415     0.392062    -1.697717
49763.00    -0.260848     0.662531     0.174274
49763.25    -0.391058     0.748723     0.766774
49763.50    -0.483105     0.711905     1.407430
49763.75    -0.571660     0.507093     1.202517
49764.00    -0.564590     0.314959     2.239839
49764.25    -0.396458     0.099014     1.480445
49764.50    -0.304090     0.046283     1.677536
49764.75    -0.125836    -0.101490     0.175773
49765.00     0.017839    -0.156330    -0.457775
49765.25     0.108612    -0.275263    -1.623149
49765.50     0.208223    -0.270683    -2.271603
49765.75     0.275647    -0.195098    -3.824147
49766.00     0.216369    -0.036722    -3.005127
49766.25     0.201431    -0.016824    -2.643548
49766.50     0.280864    -0.060727    -2.147164
49766.75     0.332444    -0.046419    -3.220082
49767.00     0.244718     0.042091    -2.187237
49767.25     0.198635    -0.097337    -2.586176
49767.50     0.053513    -0.175337    -2.309023
49767.75     0.031010    -0.312077    -2.481739
49768.00    -0.001141    -0.263082    -0.870083
49768.25    -0.057302    -0.346291    -0.343505
49768.50    -0.143821    -0.427263     0.875953
49768.75    -0.270824    -0.482394     1.264866
49769.00    -0.245098    -0.500369     2.774534
49769.25    -0.296732    -0.630172     2.861538
49769.50    -0.180467    -0.773058     2.715615
49769.75     0.016858    -0.691408     0.313464
49770.00    -0.026644    -0.332330     0.064941
49770.25    -0.116409    -0.220039    -0.833510
49770.50    -0.142847    -0.055355    -0.901757
49770.75    -0.175721     0.002786    -1.402505
49771.00    -0.252876     0.123842    -0.096209
49771.25    -0.200192     0.027859    -0.429232
49771.50    -0.167443    -0.028384    -0.352215
49771.75    -0.134639    -0.182099    -0.917713
49772.00    -0.027640    -0.236416     0.182051
49772.25     0.117231    -0.546557    -0.657466
49772.50     0.299298    -0.656813    -1.381830
49772.75     0.401221    -0.717226    -3.318982
49773.00     0.358205    -0.424246    -2.861163
49773.25     0.234950    -0.296855    -3.435502
49773.50     0.158619    -0.117669    -3.220243
49773.75     0.155440    -0.031098    -3.850061
49774.00     0.082365     0.141932    -2.020057
49774.25     0.153876     0.104589    -2.403170
49774.50     0.288293     0.135513    -2.608868
49774.75     0.468229     0.120857    -3.574669
49775.00     0.561019     0.282663    -2.264365
49775.25     0.574124     0.250083    -2.518169
49775.50     0.604097     0.225793    -2.042020
49775.75     0.613700     0.139977    -2.268309
49776.00     0.623661     0.127766    -0.914460
49776.25     0.673969    -0.075017    -0.974907
49776.50     0.734452    -0.158530    -0.118143
49776.75     0.919183    -0.317702    -1.424509
49777.00     1.022051    -0.305574    -0.450164
49777.25     1.015030    -0.468787    -0.509647
49777.50     1.029068    -0.574264    -0.387884
49777.75     1.038771    -0.668301    -1.825490
49778.00     0.936212    -0.477993    -1.585053
49778.25     0.868785    -0.474331    -2.609669
49778.50     0.783283    -0.333866    -2.634109
49778.75     0.773812    -0.321584    -3.988788
49779.00     0.682069    -0.178621    -2.958979
49779.25     0.649881    -0.223866    -3.515359
49779.50     0.650026    -0.201032    -3.210345
49779.75     0.647712    -0.174040    -4.088975
49780.00     0.617355    -0.107158    -3.201051
49780.25     0.697346    -0.129437    -3.535922
49780.50     0.781614    -0.068961    -3.189389
49780.75     0.850860     0.051067    -4.072524
49781.00     0.826040     0.271177    -2.811294
49781.25     0.732159     0.392024    -3.080028
49781.50     0.601606     0.515860    -2.064509
49781.75     0.558472     0.519172    -2.153412
49782.00     0.490007     0.541478    -0.764037
49782.25     0.483478     0.449513    -0.839319
49782.50     0.506137     0.409827    -0.310247
49782.75     0.605104     0.418176    -1.329969
49783.00     0.641156     0.510451    -0.279188
49783.25     0.591879     0.510263    -0.180328
49783.50     0.546734     0.433743     0.775461
49783.75     0.529677     0.250382     0.294731
49784.00     0.488649     0.055887     1.709689
49784.25     0.537138    -0.300538     1.667225
49784.50     0.643740    -0.679883     1.792946
49784.75     0.719398    -1.042155    -0.524701
49785.00     0.659112    -0.802342    -1.313828
49785.25     0.599609    -0.662004    -3.304024
49785.50     0.468513    -0.507989    -3.760225
49785.75     0.524984    -0.361409    -5.187524
49786.00     0.399389    -0.071516    -4.166732
49786.25     0.246105    -0.007867    -4.944924
49786.50     0.210799     0.120623    -4.887984
49786.75     0.099941     0.146576    -5.647133
49787.00    -0.036782     0.312099    -4.291472
49787.25    -0.146920     0.309043    -4.283856
49787.50    -0.170484     0.326185    -4.184383
49787.75    -0.183937     0.368613    -4.833072
49788.00    -0.238254     0.471031    -2.879682
49788.25    -0.207369     0.461370    -3.322870
49788.50    -0.166107     0.459209    -3.295502
49788.75     0.009831     0.412576    -4.226777
49789.00     0.047951     0.460175    -2.759801
49789.25     0.206870     0.354211    -3.545988
49789.50     0.359818     0.297157    -3.476547
49789.75     0.493603     0.207313    -4.543857
49790.00     0.599913     0.303603    -2.860576
49790.25     0.703642     0.127072    -3.560461
49790.50     0.793034     0.148970    -3.261064
49790.75     0.929655     0.090148    -4.192009
49791.00     0.860355     0.172535    -2.645803
49791.25     0.783394     0.092580    -2.374984
49791.50     0.717412     0.090237    -1.730792
49791.75     0.695014     0.056088    -2.266009
49792.00     0.576131     0.111753    -0.774608
49792.25     0.531034     0.041918    -0.909785
49792.50     0.544519     0.016102    -0.463508
49792.75     0.579454    -0.056766    -1.290563
49793.00     0.476598     0.027405    -0.583233
49793.25     0.492006    -0.069701    -1.368054
49793.50     0.488325    -0.129392    -1.069778
49793.75     0.475786    -0.195149    -1.601941
49794.00     0.432812    -0.102565    -0.576335
49794.25     0.447142    -0.132162    -0.879467
49794.50     0.408166    -0.115771    -0.294255
49794.75     0.338098    -0.038607    -1.037440
49795.00     0.085356     0.157998     0.516213
49795.25    -0.098286     0.220063     0.244547
49795.50    -0.254928     0.306728     0.589663
49795.75    -0.379123     0.376150     0.308737
49796.00    -0.501806     0.548104     2.130928
49796.25    -0.677165     0.531651     2.115909
49796.50    -0.870503     0.568836     2.776289
49796.75    -1.025216     0.490660     3.078491
49797.00    -1.086341     0.461635     5.017914
49797.25    -1.162940     0.253364     4.937717
49797.50    -1.093882     0.165572     4.747717
49797.75    -1.056546     0.129314     3.962026
49798.00    -1.038533     0.337646     5.131129
49798.25    -1.066993     0.332543     5.568819
49798.50    -1.029165     0.309587     5.741151
49798.75    -0.866502     0.185029     5.363112
49799.00    -0.697109     0.318830     6.303710
49799.25    -0.640171     0.238507     6.019796
49799.50    -0.523330     0.057474     5.929753
49799.75    -0.250895    -0.108110     5.065428
49800.00    -0.014270    -0.006809     5.396049
49800.25     0.197803    -0.011078     3.684138
49800.50     0.295955     0.067699     2.592428
49800.75     0.327795     0.102917     1.334264
49801.00     0.359816     0.272271     1.876933
49801.25     0.488243     0.203698     0.509899
49801.50     0.493996     0.226935    -0.044702
49801.75     0.537106     0.231596    -1.023238
49802.00     0.516040     0.321857     0.306506
49802.25     0.557667     0.240207    -0.471774
49802.50     0.516936     0.244653    -1.169333
49802.75     0.541125     0.165767    -1.747949
49803.00     0.542013     0.168780    -0.382230
49803.25     0.489519     0.074341    -0.497600
49803.50     0.498316     0.017022     0.064054
49803.75     0.502437    -0.175928    -0.607421
49804.00     0.548911    -0.191517     0.116035
49804.25     0.678724    -0.384115    -1.010654
49804.50     0.649733    -0.384566    -1.062869
49804.75     0.632732    -0.372070    -1.732475
49805.00     0.580619    -0.215161    -0.476120
49805.25     0.573772    -0.258661    -0.988847
49805.50     0.393403    -0.176648    -0.781698
49805.75     0.340293    -0.188943    -1.076744
49806.00     0.227799    -0.118449     0.124401
49806.25     0.186767    -0.207347     0.141898
49806.50     0.084328    -0.190726     0.212915
49806.75     0.086886    -0.278879    -0.268449
49807.00     0.029883    -0.152248     1.048114
49807.25     0.047678    -0.218156     0.514975
49807.50     0.000562    -0.197193     0.599069
49807.75    -0.009389    -0.247037     0.110248
49808.00    -0.127722    -0.104891     1.656093
49808.25    -0.117007    -0.213755     1.164600
49808.50    -0.168728    -0.143599     1.156882
49808.75    -0.240877    -0.135032     0.680718
49809.00    -0.260280    -0.020642     1.822395
49809.25    -0.320427    -0.057950     0.638301
49809.50    -0.333775    -0.005820     0.336527
49809.75    -0.193321     0.008586    -0.805885
49810.00    -0.153365     0.175190     0.445044
49810.25    -0.186624     0.157297    -0.612725
49810.50    -0.170034     0.155881    -0.874463
49810.75    -0.196660     0.061666    -1.622309
49811.00    -0.256815     0.040278     0.173064
49811.25    -0.329820    -0.114518    -0.045543
49811.50    -0.306723    -0.221005     0.488284
49811.75    -0.222757    -0.293875    -0.189622
49812.00    -0.106168    -0.174395     0.916306
49812.25     0.002100    -0.159454     0.164131
49812.50    -0.011453     0.058970     0.454126
49812.75    -0.087850     0.168984     0.321434
49813.00    -0.103666     0.347477     2.148712
49813.25    -0.115944     0.332382     1.945945
49813.50    -0.056006     0.279613     2.434338
49813.75    -0.080176     0.204237     1.894167
49814.00    -0.142163     0.295473     2.811443
49814.25    -0.125238     0.201698     1.953376
49814.50    -0.092372     0.213093     1.646083
49814.75    -0.126661     0.297899     1.116050
49815.00    -0.179093     0.447484     2.455203
49815.25    -0.301191     0.418922     2.058948
49815.50    -0.324016     0.430970     1.952143
49815.75    -0.377273     0.447784     1.863730
49816.00    -0.375836     0.578519     3.942544
49816.25    -0.351206     0.568689     3.518372
49816.50    -0.367337     0.577851     3.894644
49816.75    -0.247024     0.547020     3.284141
49817.00    -0.099042     0.600812     4.202673
49817.25     0.125754     0.523054     2.673836
49817.50     0.280946     0.579343     1.809237
49817.75     0.397070     0.571764     0.623855
49818.00     0.386211     0.778412     1.915236
49818.25     0.339682     0.641947     0.623007
49818.50     0.250017     0.757795     0.839201
49818.75     0.091879     0.693871     0.546531
49819.00    -0.046461     0.632737     1.230032
49819.25    -0.117383     0.353604     0.798493
49819.50    -0.104882     0.139739     0.544760
49819.75    -0.153462    -0.000744     0.056707
49820.00    -0.187794    -0.087100     1.198686
49820.25    -0.175900    -0.357125     0.681776
49820.50    -0.228297    -0.424056     1.174160
49820.75    -0.141609    -0.489158     0.751796
49821.00    -0.059107    -0.298612     1.965614
49821.25     0.025746    -0.198403     1.031536
49821.50     0.068263    -0.031119     1.110184
49821.75     0.206025     0.057750     0.742620
49822.00     0.260205     0.280163     2.320166
49822.25     0.378802     0.234296     1.569755
49822.50     0.368351     0.292035     1.021964
49822.75     0.340583     0.279593     0.492724
49823.00     0.261751     0.352243     1.752421
49823.25     0.250223     0.273840     1.092920
49823.50     0.214959     0.250923     0.548028
49823.75     0.254605     0.223255    -0.245394
49824.00     0.261599     0.321050     0.873729
49824.25     0.250343     0.289066     0.348904
49824.50     0.274631     0.329598     0.286111
49824.75     0.251905     0.396562     0.352404
49825.00     0.229529     0.516697     1.496219
49825.25     0.120925     0.634880     1.631329
49825.50    -0.004435     0.609855     1.725841
49825.75    -0.170118     0.628575     1.305514
49826.00    -0.247981     0.586331     2.896315
49826.25    -0.265938     0.401523     2.408571
49826.50    -0.216644     0.310469     2.371098
49826.75    -0.084386     0.285053     1.842466
49827.00    -0.012551     0.396538     3.026690
49827.25     0.037065     0.489317     2.692977
49827.50     0.012559     0.580761     3.064875
49827.75     0.040220     0.604518     2.324879
49828.00     0.061054     0.650392     3.747533
49828.25    -0.003057     0.547744     3.996008
49828.50    -0.041481     0.324269     3.865088
49828.75     0.092156     0.101187     2.620790
49829.00     0.193336     0.052889     2.805355
49829.25     0.297422    -0.123189     1.725222
49829.50     0.385269    -0.171125     1.360267
49829.75     0.556018    -0.304066     0.794956
49830.00     0.572973    -0.206054     1.547089
49830.25     0.658254    -0.145996     1.703082
49830.50     0.563636    -0.043192     2.486975
49830.75     0.412446     0.096737     3.220390
49831.00     0.236910    -0.034222     4.481528
49831.25     0.262863    -0.316576     4.151513
49831.50     0.212605    -0.400953     4.092999
49831.75     0.274299    -0.424587     2.480477
49832.00     0.315919    -0.208888     2.371805
49832.25     0.287698    -0.204991     0.540448
49832.50     0.241823    -0.123175    -0.155055
49832.75     0.309550    -0.077073    -0.705379
49833.00     0.336997     0.110547    -0.043244
49833.25     0.391179     0.126467    -0.672372
49833.50     0.416667     0.221166    -0.938253
49833.75     0.460761     0.266458    -1.258627
49834.00     0.394498     0.368698     0.095841
49834.25     0.351755     0.256561    -0.103670
49834.50     0.364897     0.180632    -0.348802
49834.75     0.351466     0.036145    -0.570421
49835.00     0.446862    -0.000186     0.387137
49835.25     0.450890    -0.095936     0.259590
49835.50     0.448385    -0.081579     0.394985
49835.75     0.488287    -0.029818     0.162332
49836.00     0.459630     0.130570     1.633921
49836.25     0.490721     0.100107     1.106589
49836.50     0.458006     0.163541     1.205298
49836.75     0.431907     0.222795     0.937931
49837.00     0.321295     0.268975     2.138999
49837.25     0.228295     0.151794     1.907154
49837.50     0.162781     0.122594     2.109671
49837.75     0.248302     0.017337     1.993532
49838.00     0.334051     0.077667     2.732778
49838.25     0.342538     0.102795     2.486703
49838.50     0.233566     0.201004     3.023129
49838.75     0.103736     0.247569     3.551044
49839.00    -0.086251     0.178462     5.007717
49839.25    -0.160637    -0.162713     4.454769
49839.50    -0.090489    -0.205910     3.872136
49839.75     0.022643    -0.155040     2.581771
49840.00     0.095115     0.038291     2.799023
49840.25     0.126211     0.012177     1.490370
49840.50     0.221143     0.094743     1.004688
49840.75     0.286427     0.130163     0.064202
49841.00     0.253608     0.213244     0.842016
49841.25     0.246526     0.121318     0.013554
49841.50     0.281063     0.104588    -0.147889
49841.75     0.287661    -0.025289    -1.029889
49842.00     0.209484    -0.009027     0.342793
49842.25     0.199203    -0.192097    -0.036326
49842.50     0.243029    -0.284306    -0.399309
49842.75     0.319299    -0.298628    -0.967018
49843.00     0.278893    -0.124552     0.130834
49843.25     0.267624    -0.093795    -0.710733
49843.50     0.265718     0.043963    -1.171965
49843.75     0.279201     0.139835    -1.313313
49844.00     0.227318     0.279470     0.046558
49844.25     0.232105     0.257242    -0.371520
49844.50     0.307314     0.296237    -0.486460
49844.75     0.323970     0.332087    -0.669089
49845.00     0.323012     0.435120     0.987892
49845.25     0.352393     0.496108     0.866292
49845.50     0.355656     0.567498     1.289769
49845.75     0.397543     0.619333     1.099897
49846.00     0.274925     0.703432     2.344359
49846.25     0.200398     0.602183     1.959288
49846.50     0.171971     0.644166     1.905426
49846.75     0.084231     0.507730     1.931414
49847.00    -0.001148     0.499873     2.843672
49847.25    -0.058996     0.329480     2.675645
49847.50    -0.104091     0.338282     3.024013
49847.75    -0.178222     0.229859     2.681483
49848.00    -0.198879     0.281031     3.890889
49848.25    -0.259960     0.156821     3.662140
49848.50    -0.291658     0.183226     3.780810
49848.75    -0.275733     0.158852     3.466331
49849.00    -0.285277     0.329167     4.584818
49849.25    -0.295295     0.299814     4.427939
49849.50    -0.253171     0.393518     4.292667
49849.75    -0.212305     0.457296     3.982974
49850.00    -0.235170     0.678417     5.074798
49850.25    -0.195207     0.708052     4.722494
49850.50    -0.191034     0.852248     4.532451
49850.75    -0.224751     0.876448     4.037543
49851.00    -0.231542     0.804353     4.294435
49851.25    -0.273851     0.540791     3.156820
49851.50    -0.276404     0.290283     2.525680
49851.75    -0.195160     0.109933     1.141965
49852.00    -0.160601     0.123955     2.092568
49852.25    -0.140427    -0.003545     1.775271
49852.50    -0.149192    -0.034880     1.431399
49852.75    -0.037896    -0.041078     1.057258
49853.00    -0.096654     0.158209     2.429971
49853.25    -0.102268     0.213782     2.213917
49853.50    -0.131464     0.346153     2.179322
49853.75    -0.180528     0.414070     1.990774
49854.00    -0.372832     0.552652     3.800582
49854.25    -0.476168     0.553899     4.448688
49854.50    -0.486997     0.504821     4.890018
49854.75    -0.495169     0.439494     4.353305
49855.00    -0.434676     0.461189     5.334538
49855.25    -0.409098     0.396340     4.957842
49855.50    -0.421362     0.329839     4.885621
49855.75    -0.316529     0.206153     4.233165
49856.00    -0.293914     0.195377     5.248500
49856.25    -0.275081    -0.040387     4.906666
49856.50    -0.107982    -0.149763     4.583359
49856.75     0.046407    -0.262458     3.911513
49857.00     0.139577    -0.167350     4.537771
49857.25     0.173920    -0.275631     3.390771
49857.50     0.218134    -0.235077     2.957652
49857.75     0.181464    -0.163274     2.284001
49858.00     0.117569    -0.016173     3.191143
49858.25     0.126035    -0.074162     2.161772
49858.50     0.174738    -0.076072     1.706752
49858.75     0.248165    -0.107161     0.946317
49859.00     0.280589    -0.018279     1.623512
49859.25     0.361587    -0.081545     0.870596
49859.50     0.430301    -0.050107     0.302508
49859.75     0.508030    -0.030523    -0.529985
49860.00     0.522689     0.118241     0.142407
49860.25     0.487257     0.123672    -0.401756
49860.50     0.495096     0.160856    -0.866441
49860.75     0.486764     0.193146    -1.441744
49861.00     0.411060     0.272199    -0.174987
49861.25     0.385776     0.130104    -0.602043
49861.50     0.443211     0.094388    -0.877529
49861.75     0.516105     0.006208    -1.280808
49862.00     0.515134     0.088710     0.123137
49862.25     0.538586     0.017287    -0.403209
49862.50     0.579592    -0.023217    -0.586108
49862.75     0.624874    -0.043508    -0.843606
49863.00     0.629412     0.042197     0.200334
49863.25     0.625904    -0.047970    -0.646950
49863.50     0.626627    -0.005590    -0.663438
49863.75     0.664533     0.014494    -1.030132
49864.00     0.637011     0.143955     0.392003
49864.25     0.594309     0.170398     0.043132
49864.50     0.568254     0.265217     0.380032
49864.75     0.502475     0.342786     0.251423
49865.00     0.420684     0.450834     1.267475
49865.25     0.288541     0.392597     0.688020
49865.50     0.240417     0.338462     0.349300
49865.75     0.200007     0.236996    -0.214910
49866.00     0.154095     0.223737     0.681336
49866.25     0.051295     0.029471     0.382774
49866.50     0.071713    -0.051769     0.277352
49866.75     0.087448    -0.145304    -0.191744
49867.00     0.092781    -0.106145     0.731948
49867.25     0.132695    -0.208919     0.109728
49867.50     0.173567    -0.157907     0.206803
49867.75     0.186727    -0.179622    -0.070424
49868.00     0.103385    -0.003385     1.227126
49868.25     0.129233     0.006687     0.909006
49868.50     0.133095     0.095012     0.881258
49868.75     0.141135     0.143545     0.469816
49869.00     0.094717     0.288396     1.712043
49869.25     0.064554     0.231244     1.157622
49869.50     0.103441     0.254525     1.366124
49869.75     0.178920     0.212387     0.648730
49870.00     0.175915     0.314024     1.369929
49870.25     0.186103     0.295707     1.054082
49870.50     0.210998     0.266883     0.986410
49870.75     0.189590     0.235832     0.387846
49871.00     0.178318     0.326709     1.137374
49871.25     0.169582     0.263974     0.890075
49871.50     0.283528     0.173351     0.602313
49871.75     0.313341     0.142777     0.125830
49872.00     0.309154     0.187093     0.706527
49872.25     0.298824     0.097685     0.387250
49872.50     0.365420     0.072025     0.386326
49872.75     0.373015     0.090723    -0.089537
49873.00     0.277193     0.241818     1.511698
49873.25     0.250535     0.246109     2.042235
49873.50     0.301621     0.260654     2.804019
49873.75     0.195215     0.266035     4.088517
49874.00    -0.003163     0.254065     5.487989
49874.25    -0.241542     0.183255     5.862359
49874.50    -0.385412     0.186862     5.895158
49874.75    -0.477244     0.238253     5.156520
