Time,Speed,Location,County,State,Lat,Lon,Comments
2150,UNK,5 ESE RIDGELAND,JASPER,SC,32.45,-80.9,SEVERAL TREES WERE BLOWN DOWN ON STRAWBERRY HILL ROAD. ONE TREE FELL ON A VEHICLE. (CHS)
2150,85,13 E HOOVER,BUTTE,SD,45.11,-103,(UNR)
2151,60,6 N BIG SANDY,CHOUTEAU,MT,48.26,-110.12,(TFX)
2200,UNK,10 NW BLACKSHEAR,PIERCE,GA,31.4,-82.36,STRUCTURAL DAMAGE,TREES AND POWER LINES DOWNED BY HIGH WINDS 10 MILES NORTHWEST OF BLACKSHEAR. TIME ESTIMATED BY RADAR DATA. (JAX)
2245,UNK,9 WSW JACKSON,BUTTS,GA,33.24,-84.11,10 TO 12 TREES DOWNED NEAR I-75 IN FAR SW JACKSON COUNTY. (FFC)
2250,70,10 E MAURINE,PERKINS,SD,45.04,-102.39,(UNR)
2300,UNK,PERRY,HOUSTON,GA,32.46,-83.74,2 TREES DOWN. (FFC)
2326,UNK,ISLANDTON,COLLETON,SC,32.91,-80.94,TREE DOWN ON A POWER LINE AT INTERSECTION OF SNYDERS HWY AND FORKS RD. (CHS)
2335,UNK,HAWKINSVILLE,PULASKI,GA,32.28,-83.47,1 TREE DOWN. (FFC)
2340,UNK,2 SW COLEY,BLECKLEY,GA,32.41,-83.41,5 TREES DOWN ALONG PORTER ROAD. (FFC)
2340,65,11 WNW RED SCAFFOLD,MEADE,SD,44.85,-102.04,(UNR)
0000,70,13 SSW ILIAD,CHOUTEAU,MT,47.61,-109.86,(TFX)
0015,UNK,TULLAHOMA,COFFEE,TN,35.37,-86.22,TREES AND POWER LINES DOWN LINCOLN ST (OHX)
0035,74,UNION CENTER,MEADE,SD,44.56,-102.67,(UNR)
0120,UNK,6 NW DENMARK,BULLOCH,GA,32.35,-81.8,TELEPHONE POLE BLOWN DOWN AT THE EAGLE CREEK GOLF CLUB. (CHS)
0205,76,PHILIP,HAAKON,SD,44.05,-101.67,(UNR)
0429,UNK,5 NNW WAYCROSS,WARE,GA,31.27,-82.4,THUNDERSTORM WIND GUSTS DOWNED SEVERAL TREES ALONG THE ALMA HIGHWAY NEAR JAMESTOWN. A VEHICLE COLLIDED WITH ONE OF THE DOWNED TREES AND EMERGENCY RESPONSE OFFICIALS WER (JAX)
0430,70,12 NNW WHITE RIVER,MELLETTE,SD,43.73,-100.84,ESTIMATED 60 TO 70 MPH GUSTS. (UNR)
0530,60,12 N BONESTEEL,GREGORY,SD,43.25,-98.95,(FSD)
0552,70,S STICKNEY,AURORA,SD,43.58,-98.44,SEMI-TRAILER TIPPED OVER,FEED BUNKS BLOWN 100 YARDS,SEVERAL DOWNED TREE (FSD)
0650,60,SUNDANCE,CROOK,WY,44.4,-104.37,(UNR)
0710,UNK,SPRINGFIELD,SANGAMON,IL,39.78,-89.64,TREE DAMAGE ON THE NORTHEAST SIDE OF SPRINGFIELD. TIME ESTIMATED. (ILX)
0715,UNK,HARRISONVILLE,CASS,MO,38.66,-94.35,SEVERAL TREES UP TO 15 INCHES IN DIAMETER WERE REPORTED DOWN IN HARRISONVILLE. (EAX)
0725,UNK,BERRY,SANGAMON,IL,39.72,-89.48,SIGNIFICANT DAMAGE TO A HOUSE IN BERRY. TIME ESTIMATED. (ILX)
0735,UNK,EDINBURG,CHRISTIAN,IL,39.66,-89.39,BARN AND HOUSE DAMAGED NEAR EDINBURG. PRELIMINARY REPORT. (ILX)
0745,UNK,WARRENSBURG,JOHNSON,MO,38.76,-93.73,TREE DOWN AND POWER POLE DOWN DUE TO HIGH WIND. (EAX)
0800,UNK,ROSALIE,THURSTON,NE,42.06,-96.51,LARGE TREE BLOWN DOWN. DAMAGED 2 CARS. (OAX)
0900,UNK,ROSALIE,THURSTON,NE,42.06,-96.51,LARGE TREE BLOWN DOWN. DAMAGED 2 CARS. (OAX)
0901,60,MONDAMIN,HARRISON,IA,41.71,-96.02,ESTIMATED AT 40 TO 60 MPH. (OAX)
0938,UNK,ALSEY,SCOTT,IL,39.56,-90.43,LARGE TREE DOWN WITH DAMAGE TO A HOME AND CAR. RELAYED FROM SCOTT CO SHERIFF DEPT. (ILX)
1017,UNK,4 S GUTHRIE CENTER,GUTHRIE,IA,41.62,-94.51,TREE DAMAGE 10 TO 12 INCH TREE LIMBS (DMX)
1043,60,OGDEN,BOONE,IA,42.04,-94.03,EM REPORTS 60 MPH WINDS FROM ODGEN TO BERKLY (DMX)
1054,UNK,2 SE ADEL,DALLAS,IA,41.59,-94,50 TO 60 MPH WINDS AND SMALL TREE LIMBS BROKEN,1 INCH. (DMX)
1100,UNK,3 NW NEBRASKA CITY,OTOE,NE,40.71,-95.9,NEAR INTERSECTION OF HWY 75 AND BUS 75. 5 POWER POLES AND 2 STOP SIGNS KNOCKED DOWN. BUS 75 CLOSED UNTIL POWER POLES ARE REPAIRED. (OAX)
1100,60,WAUKEE,DALLAS,IA,41.61,-93.86,60 MPH ESTIMATED WINDS (DMX)
1115,UNK,4 W LEXINGTON,FAYETTE,KY,38.04,-84.53,POWER LINES REPORTED DOWNED NEAR LEES TOWN AND WEST HAMPTON. (LMK)
1115,UNK,MINGO,JASPER,IA,41.77,-93.28,LARGE TREE DOWN IN MINGO AT 615 AM CDT AS REPORTED BY KCCI-TV. (DMX)
1116,60,1 S DALLAS CENTER,DALLAS,IA,41.67,-93.98,60 MPH WIND GUST,SMALL BRANCHES BROKEN (DMX)
1127,60,HARTFORD,WARREN,IA,41.46,-93.4,HARTFORD LAW REPORTS WINDS TO 60 MPH WITH HEAVY RAIN. (DMX)
1141,UNK,LEXINGTON,FAYETTE,KY,38.04,-84.46,LINES AND TREES DOWN IN MANY PARTS OF CITY (LMK)
1157,64,GRINNELL,POWESHIEK,IA,41.74,-92.72,(DMX)
