 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"BAR-ILAN UNIVERSITY","1R34MH071660-01","6817095","Gilboaschechtman, Eva ","Treating Terror-Related PTSD in Adolescents","","","$ 145,584","RAMAT GAN","ISRAEL","0","","","","  "
"BAVARIAN NORDIC A/S","N01AO400072","","","","","","$ 80,000,000","COPENHAGEN","DENMARK","0","","","","  "
"BEATSON INSTITUTE FOR CANCER RESEARCH","7R01CA030721-02","6807564","Olson, Michael F","Regulation of p21waf1/cip1 by Rho and Ras signaling","","","$ 192,240","GLASGOW","UNITED KINGDOM","0","","","","  "
"BERNARD QUARITCH, LTD","N01LM445546","","","","","","$ 40,278","LONDON","UNITED KINGDOM","0","","","","  "
"BIOMEDICAL CENTER","1U2RTW006877-01","6762062","Kozlov, Andrei P","TB-AIDS Clinical Training and Research Unit, Russia","","","$ 297,563","ST. PETERSBURG","RUSSIA","00001-9711","","","","  "
"BIONIC EAR INSTITUTE","N01DC031005","","Shepherd, Robert","PROTECT & PLASTIC EFF OF PATTERNED ELEC STIM OF DEAFENED AUDITORY SYS","","","$ 413,067","VICTORIA","AUSTRALIA","0","","","","  "
"BIOTA SCIENTIFIC MANAGEMENT","1UC1AI062373-01","6844233","Ryan, Jane ","Novel Influenza Biodefense Therapeutic and Prophylactic","","","$ 5,628,310","NOTTING HILL","AUSTRALIA","0","","","","  "
"BISPEBJERG HOSPITAL","1F32AR050889-01","6737902","Miller, Benjamin F","Turnover of Musculotendinous Collagen Following Exercise","","","$ 6,246","COPENHAGEN","DENMARK","0","","","","  "
"BISPEBJERG HOSPITAL","1F32AR050889-01X1","6880300","Miller, Benjamin F","Turnover of Musculotendinous Collagen Following Exercise","","","$ 2,750","COPENHAGEN","DENMARK","0","","","","  "
"BRITISH COLUMBIA CANCER AGENCY","1R01CA105304-01","6719486","Sadar, Marianne D","Genomic and proteomic analysis of prostate cancer","","","$ 221,400","VANCOUVER","CANADA","000V5-Z 1L","","","","  "
"BRITISH COLUMBIA CANCER AGENCY","1R01DE015965-01","6796963","Lam, Wan L","Whole genome array CGH of progressing oral dysplasia","","","$ 270,000","VANCOUVER","CANADA","000V5-Z 1L","","","","  "
"BRITISH COLUMBIA CANCER AGENCY","5U01CA096109-03","6798203","Lam, Stephen C","A Phase II Trial of ACAPHA in Former Smokers with IEN.","","","$ 989,903","VANCOUVER","CANADA","000V5-Z 1L","","","","  "
"BRITISH COLUMBIA CANCER RESEARCH CENTRE","5R01AI029524-12","6787180","Lansdorp, Peter M","Activation & Proliferation of Hematopoietic Stem Cells","","","$ 150,000","VANCOUVER","CANADA","0","","","","  "
"BRITISH COLUMBIA CANCER RESEARCH CENTRE","5R01DE013124-05","6708059","Rosin, Miriam P","Clonal Changes in Oral Lesions of High-Risk Patients","","","$ 385,230","VANCOUVER","CANADA","0","","","","  "
"BRITISH COLUMBIA CANCER RESEARCH CENTRE","5U01HG002743-02","6733577","Marra, Marco A","Improvements in BAC fingerprinting and end sequencing","","","$ 1,404,834","VANCOUVER","CANADA","0","","","","  "
"BULGARIA NTL CTR HYGIENE/MED ECOL/NUTR","5R01TW006192-03","6776393","Dimitrov, Plamen S","Balkan Nephropathy: Environmental/Clinical Epidemiology","","","$ 54,000","SOFIA","BULGARIA","0","","","","  "
"CAMBODIAN HEALTH COMMITTEE","1U01AI061736-01","6825374","Thim, Sok ","A Cambodian Clinical Research Network for HIV & TB","","","$ 441,819","PHNOM PENH","CAMBODIA","0","","","","  "
"CANCER CARE ONTARIO","5U01CA069467-10","6791173","Andrulis, Irene L","ONTARIO FAMILY REGISTRY FOR STUDIY OF BREAST CANCER RISK","","","$ 1,137,619","TORONTO","CANADA","0","","","","  "
"CANCER CARE ONTARIO","5U01CA074783-07","6787318","Gallinger, Steven ","Ontario Registry for Studies of Familial Colon Cancer","","","$ 1,933,455","TORONTO","CANADA","0","","","","  "
"CANCER CARE ONTARIO","N01CP031157","","Holowaty, Eric","RAD DOSE-RESP & SEC PRIM CNCRS OF STOM, ESOPH & PANC:  CNCR SURV","","","$ 88,276","TORONTO","CANADA","0","","","","  "
"CANCER RESEARCH - UNITED KINGDOM","1F32AR051676-01","6837834","Giangreco, Adam M","Microenvironment Regulation of Epidermal Stem Cells","","","$ 35,568","LONDON","UNITED KINGDOM","0","","","","  "
"CANCER RESEARCH - UNITED KINGDOM","1F32AR051676-01X1","6944565","Giangreco, Adam M","Microenvironment Regulation of Epidermal Stem Cells","","","$ 5,500","LONDON","UNITED KINGDOM","0","","","","  "
"CANGENE CORPORATION","5U01AI056383-02","6799209","Stewart, Donald I","Antibodies to Burkholderia type III secretion system","","","$ 415,395","MISSISSAUGA","CANADA","0","","","","  "
"CAPRION PHARMACEUTICALS, INC.","N01AI400056","","Paramithioits, Eustache","IDING TARGETS FOR THERAPUTEIC INTERVENTIONS USING PROTEOMICS TECH","","","$ 5,655,074","MONTREAL","CANADA","0","","","","  "
"CARLETON UNIVERSITY","5R01DA004874-17","6775649","Fried, Peter A","Prenatal Cannabis & Cigarette Exposure - Outcome","","","$ 214,679","OTTAWA","CANADA","0","","","","  "
"CATHOLIC UNIVERSITY OF CHILE","1R01TW006977-01","6796547","Cianelli, Rosina ","An HIV/AIDS prevention Intervention for Chilean women","","","$ 54,000","SANTIAGO","CHILE","0","","","","  "
"CATHOLIC UNIVERSITY OF LOUVAIN","5R21DE015360-02","6730620","Quirynen, Marc ","Guided Pocket Recolonization (GPR) in Periodontitis","","","$ 150,000","LOUVAIN","BELGIUM","0","","","","  "
"CATHOLIC UNIVERSITY OF MOZAMBIQUE","5R03AI056325-02","6800330","Gomes, Aureliodacruz ","AIDS Control Within A Research Endeavor-A.W.A.R.E","","","$ 52,004","BEIRA","MOZAMBIQUE","0","","","","  "
"CELLARTIS AB","5R24RR019514-02","6804045","Hyllner, Johan S","Propagation/Distribution of human embryonic stem cells","","","$ 361,718","GOTHENBURG","SWEDEN","0","","","","  "
"CENTRAL INSTITUTE FOR TUBERCULOSIS","5R01HL068532-04","6801428","Apt, Alexander S","Identification of genes controlling TB in murine lungs","","","$ 150,000","MOSCOW","RUSSIA","0","","","","  "
"CENTRE FOR ADDICTION AND MENTAL HEALTH","1R01MH066992-01A2","6779441","Segal, Zindel V","Prevention of Relapse in Recurrent Depression with MBCT","","","$ 446,631","TORONTO","CANADA","000M5-S 2S","","","","  "
"CENTRE FOR ADDICTION AND MENTAL HEALTH","5R01AA013108-03","6727465","Le, Dzung A","Role of Serotonin in Stress-Induced Relapse to Alcohol","","","$ 140,400","TORONTO","CANADA","000M5-S 2S","","","","  "
"CENTRE FOR ADDICTION AND MENTAL HEALTH","5U01MH066134-02","6752974","Addington, Jean M","Enhancing the Prospective Prediction of Psychosis","","","$ 182,600","TORONTO","CANADA","000M5-S 2S","","","","  "
"CENTRE FOR APPLIED MICROBIOLOGY/RESEARCH","5R01AI055578-02","6796242","Shone, Clifford C","Sensitive Assays for the Botulinum Neurotoxins","","","$ 270,000","SALISBURY","UNITED KINGDOM","0","","","","  "
"CENTRE FOR APPLIED MICROBIOLOGY/RESEARCH","N01AI030062","","Penn, Charles","IN VITRO & ANIMAL MODS FOR EMERGING DISEASES & BIODEFENSE (IDIQ)","","","$ 8,419,196","SALISBURY","UNITED KINGDOM","0","","","","  "
"CENTRO DE ESTUDOS LUIS GUEDES","5R03AI054140-02","6799204","Pechansky, Flavio ","Evidence-based interventions for HIV/AIDS at-risk groups","","","$ 53,039","PORTO ALEGRE","BRAZIL","0","","","","  "
"CENTRO INTERNACIONAL DE VACUNAS","5R21AI055687-02","6760020","Mendez, Fabian ","SP resistance markers & falciparum malaria transmission","","","$ 162,000","CALI","COLOMBIA","0","","","","  "
"CHIANG MAI UNIVERSITY","5R01TW006187-03","6766810","Puthanakit, Thanyawee ","Effect of the HIV epidemic on children in Thailand","","","$ 54,000","CHIANG MAI","THAILAND","0","","","","  "
"CHINESE ACADEMY OF MEDICAL SCIENCES","N01LM445600","","","","","","$ 162,600","BEIJING","CHINA","0","","","","  "
"CHINESE ACADEMY OF MEDICAL SCIENCES","N01RC477001","","Dong, Zhi-Wei","NUTRITIONAL INTERVENTION TRIALS IN LINXIAN CHINA-CONTINUED FOL-UP","","","$ 58,949","BEIJING","CHINA","0","","","","  "
"CHINESE ACADEMY OF MEDICAL SCIENCES","N01RC477002","","Dong, Zhi-Wei","EARLY DETECT OF ESOPHAGEAL CNCR","","","$ 200,000","BEIJING","CHINA","0","","","","  "
"CHINESE CTR-DISEASE CONTROL/PREVENTION","5R01TW006207-03","6765956","Du, Shufa ","China Childhood Obesity Survey","","","$ 41,988","BEIJING","CHINA","0","","","","  "
"CHINESE UNIVERSITY OF HONG KONG","5R01AR049439-02","6795451","Leung, Ping C","Osteoporotic fractures in Chinese men: MrOs Hong Kong","","","$ 410,827","HONG KONG","HONG KONG","0","","","","  "
"CHIRON S.P.A.","5U01AI056513-02","6782622","Grandi, Guido ","Novel vaccine candidates for Y. pestis from genomics","","","$ 1,209,134","SIENA","ITALY","0","","","","  "
"CHRISTIAN MEDICAL COLLEGE","1D43TW007121-01","6848200","Kang, Gagandeep ","Planning enteric infection research in south India","","","$ 24,514","VELLORE","INDIA","0","","","","  "
"CINVESTAV-IPN","1R01TW006664-01","6720198","Vazquezprado, Jose ","MOLECULAR MECHANISMS IN POLARIZED CELL MIGRATION","","","$ 50,000","MEXICO CITY","MEXICO","0","","","","  "
"CINVESTAV-IPN","5R01NS009196-30","6687765","Rudomin, Pedro N","DISCHARGE PATTERNS OF MOTONEURONS","","","$ 153,500","MEXICO CITY","MEXICO","0","","","","  "
"CINVESTAV-IPN","5R01TW006622-02","6805281","Terron, Jose A","Brain serotonin and angiotensin II systems in migraine","","","$ 54,000","MEXICO CITY","MEXICO","0","","","","  "
"CLINICAL RESEARCH INSTITUTE OF MONTREAL","5R01HL069122-04","6798684","Deschepper, Christian F","GENETICS OF HEART AND KIDNEY DAMAGE IN HYPERTENSION","","","$ 261,109","MONTREAL","CANADA","000H2-W 1R","","","","  "
"COORDINACION DE INVESTIGACION EN SALUD","5R01TW006189-03","6767751","Diazcueto, Laura ","Acrogranin Function in the Ovary","","","$ 50,000","MEXICO CITY","MEXICO","0","","","","  "
"CRUCELL HOLLAND, BV","N01AO032757","","Rijnsoever, Richard Van","PROD NON-REPLICATING ADENOVIRAL (AD) VECTORS","","","$ 840,500","LEIDEN","NETHERLANDS","0","","","","  "
"CTR FOR DNA FINGERPRINTING/DIAGNOSTICS","5R01TW006185-03","6767789","Sen, Ranjan ","Transcription termination and antitermination in E.coli","","","$ 54,000","HYDERABAD","INDIA","0","","","","  "
"CTR FOR DNA FINGERPRINTING/DIAGNOSTICS","5R01TW006195-03","6765952","Ramakrishna, Gayatri ","Functioning of K-ras in lung type II epithelial cells","","","$ 54,000","HYDERABAD","INDIA","0","","","","  "
"DALHOUSIE UNIVERSITY","5R01EY003592-24","6710068","Meinertzhagen, Ian A","VISUAL SYSTEM DEVELOPMENT AND SYNAPTOGENESIS","","","$ 200,000","HALIFAX, NOVA SCOTIA","CANADA","000B3-H 4H","","","","  "
"DANISH CANCER SOCIETY","N01CP031019","","Storm, Hans","RAD DOSE-RESP & SEC PRIM CNCRS OF STOM, ESOPH & PANC:  CNCR SURV","","","$ 92,524","COPENHAGEN","DENMARK","0","","","","  "
"DECODE GENETICS","N01AI400064","","Gulcher, Jeffrey","POPULATION GENETICS ANAL PRGM IMMUNITY TO VACCINES/INFECTION","","","$ 4,263,943","REYKJAVIK","ICELAND","0000I-S-10","","","","  "
"DIABETES RESEARCH INSTITUTE","5U01DK063836-02","6722868","Ziegler, Anetteg ","Type 1 Diabetes triggers: diet modification in neonates","","","$ 1,000,000","MUNICH","GERMANY","0","","","","  "
"DON GNOCCHI FOUNDATION","5R21MH068360-02","6743137","Ferrante, Pasquale ","Leukoencephalopathy in HAART-treated HIV-1+ Patients","","","$ 125,000","MILAN","ITALY","0","","","","  "
"EGYPTIAN MINISTRY OF HEALTH & POPULATION","3R03AI054279-01S1","6954419","Mohamed, Mostafa K","Comprehensive HIV/AIDS Prevention in Egypt","","","$ 54,000","CAIRO","EGYPT","0","","","","  "
"ERASMUS UNIVERSITY OF ROTTERDAM","3U01CA088202-04S1","6949322","Habbema, J D","SURVEILLANCE OF BREAST CANCER TRENDS BIJ MISCAN","","","$ 53,449","ROTTERDAM","NETHERLANDS","0","","","","  "
"ERASMUS UNIVERSITY OF ROTTERDAM","5R01DK054077-07","6753650","Dzierzak, Elaine A","Characterization of the First HSCs During Mouse Ontogeny","","","$ 150,245","ROTTERDAM","NETHERLANDS","0","","","","  "
"ERASMUS UNIVERSITY OF ROTTERDAM","5R01HL073455-02","6781791","Grosveld, Franklin G","Molecular basis of human gamma-globin gene activation.","","","$ 216,000","ROTTERDAM","NETHERLANDS","0","","","","  "
"ERASMUS UNIVERSITY OF ROTTERDAM","5R01NS042691-02","6704187","Maas, Andrew I","Clinical trial design/analysis in traumatic brain injury","","","$ 474,148","ROTTERDAM","NETHERLANDS","0","","","","  "
"ES CELL INTERNATIONAL PTE LTD","2R24RR017499-03","6841492","Colman, Alan ","ES Cell International HESC Production and Development","","","$ 316,254","MELBOURNE","AUSTRALIA","0","","","","  "
"EUROPEAN BIOINFORMATICS INSTITUTE","5U01HG002712-03","6797186","Apweiler, Rolf ","The UniProt protein sequence and function knowledgebase","","","$ 5,259,159","CAMBRIDGE","UNITED KINGDOM","0","","","","  "
"EUROPEAN MOLECULAR BIOLOGY LABORATORY","1F33GM070191-01","6739861","Brodsky, Barbara M","Analysis of collagen and coiled coil mutations","","","$ 51,228","HEIDELBERG","GERMANY","0","","","","  "
"EUROPEAN MOLECULAR BIOLOGY LABORATORY","1F33GM070191-01X1","6843060","Brodsky, Barbara M","Analysis of collagen and coiled coil mutations","","","$ 5,500","HEIDELBERG","GERMANY","0","","","","  "
"EUROPEAN MOLECULAR BIOLOGY LABORATORY","5R01GM062612-03","6766951","Lamzin, Victor S","Automatic model building & refinement in crystallography","","","$ 180,432","HEIDELBERG","GERMANY","0","","","","  "
"EUROPEAN ORG RES ON TREATMENT OF CANCER","5U10CA011488-34","6710637","Therasse, Patrick ","EORTC DATA CENTER","","","$ 438,762","BRUSSELS","BELGIUM","0","","","","  "
"FEDERAL UNIVERSITY OF BAHIA","1D43TW007127-01","6849148","Carvalho, Edgar M","TROPICAL INFECTIOUS DISEASE TRAINING GRANT","","","$ 140,877","SALVADOR","BRAZIL","0","","","","  "
"FEDERAL UNIVERSITY OF BAHIA","5P50AI030639-13","6770145","Carvalho, Edgar M","Pathogenesis of Leishmaniasis:Host,Parasite and Vector","","","$ 651,695","SALVADOR","BRAZIL","0","","","","  "
"FEDERAL UNIVERSITY OF BAHIA","5R01TW006216-03","6772565","Araujo, Maria L","Association Between Asthma and Helminthic Infections","","","$ 54,000","SALVADOR","BRAZIL","0","","","","  "
"FEDERAL UNIVERSITY OF SAO PAULO","5R01TW006215-03","6787217","Ribeirofilho, Leopoldo A","Biomarkers for detection of bladder cancer","","","$ 54,000","SAO PAULO","BRAZIL","0","","","","  "
"FINNISH CANCER REGISTRY","N01CP031154","","Pukkala, Eero","RAD DOSE-RESP & SEC PRIM CNCRS OF STOM, ESOPH & PANC:  CNCR SURV","","","$ 46,188","HELSINKI","FINLAND","0","","","","  "
"FLANDERS INTERUNIV INST  BIOTECHNOLOGY","5R01HL067846-02","6797201","Conway, Edward M","Thrombomodulin Links Coagulation to Inflammation","","","$ 175,000","LEUVEN","BELGIUM","0","","","","  "
"FLINDERS UNIVERSITY OF SOUTH AUSTRALIA","1R01DK064050-01A1","6775503","Ryall, Rosemary L","PROTEIN-MINERAL INTERACTIONS AND CALCIUM OXALATE STONES","","","$ 185,884","ADELAIDE","AUSTRALIA","0","","","","  "
"FLINDERS UNIVERSITY OF SOUTH AUSTRALIA","5R01DK056986-05","6778331","Brookes, Simon J","NEURAL MECHANISMS OF MOTILITY AND MOTILITY-RELATED PAIN","","","$ 216,920","ADELAIDE","AUSTRALIA","0","","","","  "
"FONDAZIONE TELETHON","5R01EY015136-02","6801545","Ballabio, Andrea ","OA1: from molecular bases to gene delivery","","","$ 388,673","ROME","ITALY","0","","","","  "
"FREE UNIVERSITY OF BRUSSELS","5R01HL075025-02","6802751","Spiegel, Karine ","Predictors of Adverse metabolic effects of sleep loss","","","$ 297,000","BRUSSELS","BELGIUM","0","","","","  "
"FUNDACIO CLINIC","5R21AA014135-03","6795964","Fernandezcheca, Jose C","Mitochondrial GSH /SAM in alcohol induced liver damage","","","$ 108,000","BARCELONA","SPAIN","0","","","","  "
"FUNDACION COSTARRICENSE PARA LA DOCENCIA","N01CP011005","","Herrero, Rolando","HPV TYPE 16 VACCINE TRIAL IN COSTA RICA","","","$ 3,534,450","SAN JOSE","COSTA RICA","0","","","","  "
"FUNDACION INST DE INVESTIGACIONES BIOTEC","1R01AI060645-01","6801631","Frasch, Alberto Carlos","RNA-protein complexes in trypanosomes","","","$ 81,000","BUENOS AIRES","ARGENTINA","0","","","","  "
"FUNDACION MEXICANA PARA LA SALUD, A.C.","5R01TW006193-02","6804031","Wongchew, Rosa M","Evaluation of the aerosol measles vaccine in children","","","$ 54,000","MEXICO CITY","MEXICO","0","","","","  "
"FUNDACION SANTA FE DE BOGOTA","5R01TW006218-02","6803967","Burbano, Ximena L","IMPACT OF DELIVERY MODELS IN HIV HEALTH CARE IN BOGOTA","","","$ 54,000","BOGOTA","COLOMBIA","0","","","","  "
"GENOME INSTITUTE OF SINGAPORE","1R01HG003521-01","6878687","Ruan, Yijun ","Ditag technologies for complete transcriptome annotation","","","$ 324,000","SINGAPORE","SINGAPORE","0","","","","  "
"GHESKIO CENTERS","1U01AI058257-01","6732428","Pape, Jean W","Haitian Program for Research and Training in HIV/AIDS","","","$ 533,973","PORT-AU-PRINCE","HAITI","0","","","","  "
"GHESKIO CENTERS","1U2RTW006896-01","6762162","Pape, Jean W","Haiti AIDS Research Training: Models to Implementation","","","$ 343,980","PORT-AU-PRINCE","HAITI","0","","","","  "
"GHESKIO CENTERS","3U01AI058257-01S1","6859969","Pape, Jean W","Haitian Program for Research and Training in HIV/AIDS","","","$ 996,000","PORT-AU-PRINCE","HAITI","0","","","","  "
"GOTEBORG UNIVERSITY","5R01DA010765-06","6784502","Engel, Jorgen A","Ethanol and Nicotine: Neurobiological Interactions","","","$ 135,000","G«TEBORG","SWEDEN","00SE--4053","","","","  "
"GOTEBORG UNIVERSITY","5R01NS040863-04","6692677","Jankowska, Elzbieta ","SPINAL INTERNEURONS: 5HT-NA RECEPTORS, ACTIONS, CIRCUITS","","","$ 175,000","G«TEBORG","SWEDEN","00SE--4053","","","","  "
"GRIFFITH UNIVERSITY","5R21RR017026-02","6795346","Agranovski, Igor E","Sampler for viable ariborne bacteria, fungi and virus.","","","$ 108,000","NATHAN  Qld","AUSTRALIA","04111","","","","  "
"HADASSAH-HEBREW UNIVERSITY MEDICAL CTR","5R01NS046559-02","6805007","Reubinoff, Benjamin E","Functional dopamine neurons from ES cells","","","$ 256,500","JERUSALEM","ISRAEL","91120","","","","  "
"HADASSAH-HEBREW UNIVERSITY MEDICAL CTR","5R21EB002982-02","6802211","Beeri, Ronen ","SV40 as a cardiac gene therapy vector","","","$ 135,000","JERUSALEM","ISRAEL","91120","","","","  "
"HANOVER SCHOOL OF VETERINARY MEDICINE","1R21NS049592-01","6829366","Loscher, Wolfgang ","Validation of rat models for resistant epilepsy therapy","","","$ 99,900","HANNOVER","GERMANY","0","","","","  "
"HEALTH PROTECTION AGENCY/ENGLAND & WALES","N01AI400092","","Brooks, Timothy","IN VITRO & ANIMAL MODS FOR EMERGING DISEASES & BIODEFENSE","","","$ 1,628,916","LONDON","UNITED KINGDOM","0","","","","  "
"HEALTH RESEARCH BOARD","N01HD033348","","Kirke, Peadar","FOLATE & NEURAL TUBE DEFECTS","","","$ 1,990,893","DUBLIN","IRELAND","0","","","","  "
"HEBREW UNIVERSITY OF JERUSALEM","1R21AG025169-01","6848913","Litwin, Howard ","DEVELOPING AN ISRAELI VERSION OF THE HRS/SHARE PROJECT","","","$ 170,100","JERUSALEM","ISRAEL","91904","","","","  "
"HEBREW UNIVERSITY OF JERUSALEM","3R01HD040681-03S1","6848550","Cedar, Howard ","Gene Repression in Fragile X Syndrome","","","$ 25,000","JERUSALEM","ISRAEL","91904","","","","  "
"HEBREW UNIVERSITY OF JERUSALEM","5R01EY003529-24","6797844","Minke, Baruch ","Genetic dissection of phototransduction","","","$ 162,000","JERUSALEM","ISRAEL","91904","","","","  "
"HEBREW UNIVERSITY OF JERUSALEM","5R01GM020483-30","6770003","Cedar, Howard ","Transcription and Modification of Chromatin DNA","","","$ 216,000","JERUSALEM","ISRAEL","91904","","","","  "
"HEBREW UNIVERSITY OF JERUSALEM","5R01GM062275-04","6699377","Cedar, Howard ","DNA REPLICATION IN ANIMAL CELLS","","","$ 140,000","JERUSALEM","ISRAEL","91904","","","","  "
"HEBREW UNIVERSITY OF JERUSALEM","5R01HD040681-04","6743797","Cedar, Howard ","Gene Repression in Fragile X Syndrome","","","$ 75,000","JERUSALEM","ISRAEL","91904","","","","  "
"HEBREW UNIVERSITY OF JERUSALEM","5R01NS016708-22","6795468","Schuldiner, Shimon ","MECHANISMS OF ACTIVE NEUROTRANSMITTER TRANSPORT","","","$ 200,000","JERUSALEM","ISRAEL","91904","","","","  "
"HOPITAL GENERAL de GRAND YOFF","5R03CA103359-02","6791372","Gueye, Serigne M","Prostate Cancer in Senegalese Men","","","$ 27,000","DAKAR","SENEGAL","0","","","","  "
"HOPITAL MARIE LANNELONGUE","5R01NS039869-04","6796790","Berrihaknin, Sonia ","AUTOREACTIVITY TO AChR IN THE THYMUS OF MG PATIENTS","","","$ 125,000","LE PLESSIS ROBINSON","FRANCE","92350","","","","  "
"HOSPITAL DE PEDIATRIA J.P. GARRAHAN","5R01TW006644-03","6804060","Rosenzweig, Sergio ","Recycling of IFNgR2 modulates IFNg responsiveness","","","$ 54,000","BUENOS AIRES","ARGENTINA","0","","","","  "
"HOSPITAL FOR SICK CHLDRN (TORONTO)","1F32HL077047-01","6791005","Small, Eric M","Iroquois transcription factors in heart development","","","$ 35,568","TORONTO","CANADA","0","","","","  "
"HOSPITAL FOR SICK CHLDRN (TORONTO)","1F32HL077047-01X1","6870633","Small, Eric M","Iroquois transcription factors in heart development","","","$ 5,500","TORONTO","CANADA","0","","","","  "
"HOSPITAL FOR SICK CHLDRN (TORONTO)","1R01HL079573-01","6876848","Rommens, Johanna M","Molecular genetics, SBDS function, and deficiency in SDS","","","$ 270,000","TORONTO","CANADA","0","","","","  "
"HOSPITAL FOR SICK CHLDRN (TORONTO)","3P50DK049096-10S1","6931381","Durie, Peter R","MOLECULAR BASIS OF THE CYSTIC FIBROSIS PHENOTYPE","","","$ 595,681","TORONTO","CANADA","0","","","","  "
"HOSPITAL FOR SICK CHLDRN (TORONTO)","5R01EB001846-02","6802008","Henkelman, R Mark","Multiple Mouse MR Imaging (MMMRI)","","","$ 339,503","TORONTO","CANADA","0","","","","  "
"HOSPITAL FOR SICK CHLDRN (TORONTO)","5R21MH062958-03","6802725","Tannock, Rosemary ","Intervention for ADHD plus dyslexia: development project","","","$ 20,000","TORONTO","CANADA","0","","","","  "
"HOSPITAL FOR SICK CHLDRN (TORONTO)","5U01DK061029-04","6798773","Wherrett, Diane K","The Impact of GAD on Preservation on B Cell Function","","","$ 166,564","TORONTO","CANADA","0","","","","  "
"HOSPITAL FOR SICK CHLDRN (TORONTO)","5U01HL068288-04","6797829","Mccrindle, Brian W","Anticoagulation Post-Fontan/Closure of ASDs","","","$ 351,330","TORONTO","CANADA","0","","","","  "
"HOSPITAL FOR SICK CHLDRN (TORONTO)","5U01HL075407-02","6803929","Maclusky, Ian B","CAMP Continuation Study / Phase 2 (CAMPCS2)","","","$ 118,542","TORONTO","CANADA","0","","","","  "
"HOWARD FLOREY INSTITUTE","1R01HL074942-01A1","6827086","Inder, Terrie E","Ventilation Model and CNS Injury in Baboons with BPD","","","$ 408,881","PARKVILLE","AUSTRALIA","0","","","","  "
"HUBRECHT LABORATORY","1F32GM072367-01","6835449","Ason, Brandon L","In vitro RNAi & RISC characterization in C. elegans","","","$ 35,568","UTRECHT","NETHERLANDS","0","","","","  "
