-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
CME1        49718.000    1995     1     1     0
CME1        52274.750    2001    12    31    18
CME1     -2746197.164 -4011270.648  4115639.284
49741.50     0.205873    -0.287727     1.511572
49741.75     0.184527    -0.187460     1.085435
49742.00     0.159240    -0.288268     1.392177
49742.25     0.169446    -0.230247     1.261776
49742.50     0.122495    -0.284111     1.772726
49742.75     0.081267    -0.231937     1.317377
49743.00     0.016743    -0.396722     1.562540
49743.25     0.041127    -0.298031     1.192528
49743.50    -0.006119    -0.276777     1.382107
49743.75    -0.026896    -0.130418     0.617526
49744.00     0.031358    -0.237030     0.787362
49744.25     0.137422    -0.108312     0.387461
49744.50     0.175545    -0.123324     0.630022
49744.75     0.191729     0.044901    -0.115877
49745.00     0.285511     0.029353    -0.220485
49745.25     0.329759     0.249765    -0.636618
49745.50     0.225208     0.338573    -0.437959
49745.75     0.144347     0.544293    -0.999025
49746.00     0.082916     0.466322    -0.756596
49746.25    -0.036648     0.547475    -0.634091
49746.50    -0.218320     0.523668    -0.212057
49746.75    -0.370160     0.585559    -0.625382
49747.00    -0.366052     0.417791    -0.446761
49747.25    -0.404955     0.401084    -0.480615
49747.50    -0.524623     0.213833     0.231396
49747.75    -0.595407     0.274414    -0.325612
49748.00    -0.560187     0.091087     0.000627
49748.25    -0.588053     0.052095     0.220553
49748.50    -0.682069    -0.112855     1.000135
49748.75    -0.733478    -0.029327     0.490825
49749.00    -0.684069    -0.178754     0.744483
49749.25    -0.582050    -0.059238     0.371169
49749.50    -0.538770    -0.051555     0.570388
49749.75    -0.501070     0.057229    -0.005800
49750.00    -0.392267    -0.027106     0.091566
49750.25    -0.201936     0.138616    -0.395186
49750.50    -0.067234     0.215441    -0.468902
49750.75     0.033964     0.356432    -1.135349
49751.00     0.159753     0.329814    -1.119381
49751.25     0.245806     0.564115    -1.562262
49751.50     0.210884     0.712551    -1.595995
49751.75     0.139817     0.820326    -2.241157
49752.00     0.170646     0.686501    -2.061854
49752.25     0.205896     0.734221    -2.213234
49752.50     0.220264     0.699802    -2.080300
49752.75     0.234010     0.731318    -2.537697
49753.00     0.275497     0.479849    -1.942761
49753.25     0.274837     0.539915    -2.003166
49753.50     0.177957     0.494631    -1.598106
49753.75     0.113787     0.635721    -2.211422
49754.00     0.148120     0.484888    -1.875721
49754.25     0.156059     0.477749    -1.818564
49754.50     0.138200     0.423951    -1.571258
49754.75     0.171636     0.378148    -1.858106
49755.00     0.249259     0.142626    -1.512063
49755.25     0.335359     0.173818    -1.539374
49755.50     0.342413     0.157564    -1.439888
49755.75     0.293771     0.190338    -1.742379
49756.00     0.256219    -0.025502    -1.178237
49756.25     0.242486     0.034870    -0.999910
49756.50     0.223093     0.026884    -0.732325
49756.75     0.201527     0.223142    -1.550204
49757.00     0.222544     0.022247    -1.223921
49757.25     0.227143     0.100947    -1.440015
49757.50     0.150698     0.001083    -1.041848
49757.75     0.195371     0.088872    -1.715873
49758.00     0.246205    -0.109032    -1.396429
49758.25     0.326297    -0.055757    -1.427765
49758.50     0.372007    -0.076604    -1.175871
49758.75     0.364709    -0.044465    -1.425567
49759.00     0.417030    -0.300420    -0.847521
49759.25     0.421384    -0.365941    -0.377018
49759.50     0.377689    -0.354226    -0.175298
49759.75     0.366159    -0.376916    -0.212509
49760.00     0.399976    -0.520112     0.199349
49760.25     0.415092    -0.562016     0.726337
49760.50     0.335763    -0.585266     1.193525
49760.75     0.210936    -0.552382     1.153131
49761.00     0.098089    -0.799182     1.952427
49761.25    -0.011505    -0.792741     2.353803
49761.50    -0.138734    -0.850702     2.906871
49761.75    -0.256499    -0.817135     2.736134
49762.00    -0.270059    -1.069555     3.342852
49762.25    -0.267554    -1.045104     3.373988
49762.50    -0.283611    -1.071068     3.625428
49762.75    -0.339605    -0.900855     2.840436
49763.00    -0.329501    -1.012418     2.991704
49763.25    -0.304002    -0.826877     2.726407
49763.50    -0.345660    -0.742385     2.677288
49763.75    -0.332626    -0.497876     1.611240
49764.00    -0.201220    -0.503262     1.185911
49764.25    -0.083680    -0.244815     0.523939
49764.50    -0.151576    -0.107661     0.341171
49764.75    -0.251824     0.171808    -0.465372
49765.00    -0.339477     0.128574    -0.202372
49765.25    -0.403663     0.291496    -0.239732
49765.50    -0.515938     0.273117     0.237490
49765.75    -0.517334     0.460967    -0.394772
49766.00    -0.407455     0.258086    -0.117108
49766.25    -0.175438     0.405818    -0.548082
49766.50    -0.039326     0.494609    -0.708490
49766.75     0.029447     0.767670    -1.576062
49767.00    -0.024956     0.667923    -1.199217
49767.25    -0.074740     0.799673    -1.348451
49767.50    -0.165308     0.776022    -1.220048
49767.75    -0.128183     0.818427    -1.811431
49768.00    -0.028932     0.583704    -1.392759
49768.25     0.033326     0.627743    -1.402170
49768.50    -0.040991     0.610485    -0.986957
49768.75    -0.150044     0.627689    -1.085193
49769.00    -0.130015     0.386190    -0.583779
49769.25    -0.167969     0.354483    -0.340455
49769.50    -0.172442     0.306246    -0.021998
49769.75    -0.177206     0.333446    -0.364576
49770.00    -0.106741     0.092435    -0.007660
49770.25    -0.001904     0.133258    -0.108337
49770.50     0.087198     0.104779     0.016119
49770.75     0.145829     0.210130    -0.615758
49771.00     0.252139     0.049297    -0.452243
49771.25     0.358743     0.245020    -0.951072
49771.50     0.336892     0.314936    -0.913577
49771.75     0.311284     0.551753    -1.763020
49772.00     0.311107     0.391964    -1.347484
49772.25     0.319608     0.551775    -1.544418
49772.50     0.239286     0.519163    -1.180212
49772.75     0.193080     0.590282    -1.645809
49773.00     0.220898     0.305585    -1.040299
49773.25     0.273730     0.245610    -0.879308
49773.50     0.292448     0.165604    -0.618203
49773.75     0.365933     0.208803    -1.079522
49774.00     0.441401     0.016699    -0.765063
49774.25     0.483421     0.104805    -0.856060
49774.50     0.507363     0.155733    -0.641528
49774.75     0.567900     0.336883    -1.355386
49775.00     0.652228     0.222171    -1.199013
49775.25     0.788923     0.374885    -1.564681
49775.50     0.783766     0.387036    -1.418977
49775.75     0.828583     0.545023    -2.216873
49776.00     0.881195     0.401215    -1.973260
49776.25     0.925547     0.523137    -2.202163
49776.50     0.865879     0.447136    -1.659604
49776.75     0.848836     0.595755    -2.360798
49777.00     0.814017     0.384467    -1.778186
49777.25     0.741826     0.369296    -1.423831
49777.50     0.683899     0.256874    -0.760803
49777.75     0.561471     0.258697    -0.805597
49778.00     0.500356    -0.022842    -0.026012
49778.25     0.442536    -0.040912     0.277586
49778.50     0.357882    -0.125484     0.785482
49778.75     0.306581    -0.077947     0.428881
49779.00     0.316404    -0.295413     0.790224
49779.25     0.321725    -0.172124     0.627320
49779.50     0.317760    -0.169417     0.780206
49779.75     0.278750    -0.026271     0.027030
49780.00     0.330015    -0.127322     0.079651
49780.25     0.419812     0.042625    -0.241794
49780.50     0.441285     0.014404     0.048999
49780.75     0.434329     0.137104    -0.571204
49781.00     0.468235    -0.088361     0.024912
49781.25     0.433183    -0.115270     0.267546
49781.50     0.366810    -0.225291     0.791077
49781.75     0.391838    -0.159302     0.264125
49782.00     0.455046    -0.368759     0.602724
49782.25     0.606164    -0.207489     0.228910
49782.50     0.648324    -0.143860     0.227367
49782.75     0.702701     0.119724    -0.752573
49783.00     0.673480    -0.021764    -0.356186
49783.25     0.706723     0.135781    -0.527379
49783.50     0.602202     0.175832    -0.256419
49783.75     0.509192     0.370404    -0.884919
49784.00     0.404928     0.121132    -0.165599
49784.25     0.293278     0.201467     0.063088
49784.50     0.115227     0.076192     0.962502
49784.75    -0.079361     0.131524     0.974610
49785.00    -0.243989    -0.163226     1.901852
49785.25    -0.404728    -0.250384     2.763695
49785.50    -0.567535    -0.451833     3.688877
49785.75    -0.730212    -0.503049     3.755500
49786.00    -0.768401    -0.699893     4.109415
49786.25    -0.725204    -0.574797     3.937873
49786.50    -0.804493    -0.776975     4.899490
49786.75    -0.905494    -0.847136     5.052574
49787.00    -0.922683    -1.123113     5.536394
49787.25    -0.935345    -1.023433     5.400159
49787.50    -0.919324    -1.054668     5.578860
49787.75    -0.934884    -0.918344     4.783864
49788.00    -0.874453    -1.002877     4.663243
49788.25    -0.756752    -0.724802     3.661136
49788.50    -0.645288    -0.632321     3.308771
49788.75    -0.492861    -0.305968     1.794194
49789.00    -0.358287    -0.348421     1.648244
49789.25    -0.202133    -0.109805     1.175539
49789.50    -0.147864    -0.033451     1.274840
49789.75    -0.080501     0.258349     0.196365
49790.00     0.057016     0.225564     0.125686
49790.25     0.164489     0.387144    -0.101794
49790.50     0.100983     0.328365     0.361912
49790.75     0.077762     0.509169    -0.365432
49791.00     0.155076     0.374810    -0.351332
49791.25     0.185201     0.385598    -0.592789
49791.50     0.221427     0.363492    -0.576360
49791.75     0.305834     0.506997    -1.513681
49792.00     0.397355     0.303091    -1.184563
49792.25     0.483953     0.357048    -1.269131
49792.50     0.451431     0.299004    -0.728486
49792.75     0.436811     0.345189    -1.083810
49793.00     0.386890     0.176646    -0.579651
49793.25     0.339272     0.301360    -0.703115
49793.50     0.198501     0.294562    -0.303447
49793.75     0.033587     0.370344    -0.785582
49794.00    -0.033409     0.190031    -0.455650
49794.25    -0.117162     0.278364    -0.748463
49794.50    -0.248455     0.206104    -0.237870
49794.75    -0.355690     0.275939    -0.875204
49795.00    -0.309482     0.059841    -0.585064
49795.25    -0.315707     0.075441    -0.713309
49795.50    -0.299338    -0.025784    -0.317090
49795.75    -0.343431    -0.051871    -0.576853
49796.00    -0.450554    -0.475477     0.649008
49796.25    -0.580668    -0.634022     1.645637
49796.50    -0.782810    -0.923428     3.012851
49796.75    -0.916732    -0.949051     2.958404
49797.00    -0.979458    -1.261351     3.746043
49797.25    -0.943967    -1.165195     3.731093
49797.50    -0.961304    -1.258302     4.223978
49797.75    -0.898198    -1.184351     3.568968
49798.00    -0.796572    -1.369666     3.835328
49798.25    -0.688810    -1.312179     3.717277
49798.50    -0.715836    -1.340117     3.968146
49798.75    -0.592674    -1.106486     3.088486
49799.00    -0.489902    -1.211767     3.360274
49799.25    -0.385117    -1.105856     3.218295
49799.50    -0.343278    -1.039116     3.183416
49799.75    -0.256601    -0.845838     2.364020
49800.00    -0.180510    -0.931890     2.421059
49800.25    -0.039484    -0.666867     1.527314
49800.50     0.027136    -0.526313     1.111659
49800.75     0.144066    -0.329712    -0.031551
49801.00     0.287761    -0.359340    -0.182475
49801.25     0.475904    -0.097667    -0.941322
49801.50     0.494129    -0.006974    -0.927141
49801.75     0.580744     0.172912    -1.765230
49802.00     0.674444     0.102384    -1.615869
49802.25     0.788924     0.328849    -2.177116
49802.50     0.800549     0.440760    -2.361258
49802.75     0.865725     0.657313    -3.263769
49803.00     0.932154     0.524799    -2.984408
49803.25     0.997163     0.625963    -3.279336
49803.50     1.016461     0.664477    -3.240272
49803.75     1.051383     0.801382    -4.011503
49804.00     1.043559     0.618525    -3.514213
49804.25     1.059974     0.697815    -3.519699
49804.50     0.982332     0.667404    -3.107081
49804.75     0.850590     0.656787    -3.175410
49805.00     0.679597     0.446390    -2.364104
49805.25     0.571595     0.489150    -2.104335
49805.50     0.401692     0.395059    -1.361911
49805.75     0.293103     0.432179    -1.539425
49806.00     0.215537     0.205830    -0.801061
49806.25     0.171620     0.229797    -0.688782
49806.50     0.060614     0.162339    -0.182879
49806.75    -0.016004     0.230370    -0.598301
49807.00    -0.049810    -0.009092    -0.038165
49807.25    -0.066536     0.085140    -0.203772
49807.50    -0.126997     0.057439    -0.004347
49807.75    -0.178859     0.135178    -0.509778
49808.00    -0.200531    -0.060981    -0.094486
49808.25    -0.213694    -0.006512    -0.095872
49808.50    -0.241023    -0.043282     0.171518
49808.75    -0.275786    -0.018259    -0.158424
49809.00    -0.208326    -0.189811     0.119520
49809.25    -0.122632    -0.123141    -0.001455
49809.50    -0.067127    -0.035243    -0.169038
49809.75    -0.014162     0.061782    -0.699355
49810.00     0.096869    -0.126375    -0.476172
49810.25     0.169561    -0.001640    -0.790198
49810.50     0.185479     0.119830    -0.922274
49810.75     0.146374     0.299524    -1.563090
49811.00     0.128396     0.180914    -1.133721
49811.25     0.032395     0.202807    -0.889688
49811.50    -0.126593     0.154150    -0.429149
49811.75    -0.281122     0.125617    -0.406030
49812.00    -0.314770    -0.200644     0.515015
49812.25    -0.279573    -0.247509     0.749982
49812.50    -0.321277    -0.425328     1.431864
49812.75    -0.347061    -0.415971     1.124647
49813.00    -0.314194    -0.622737     1.668928
49813.25    -0.300788    -0.574280     1.720691
49813.50    -0.318039    -0.596799     2.011173
49813.75    -0.336663    -0.473006     1.395044
49814.00    -0.294899    -0.627089     1.766080
49814.25    -0.289735    -0.503298     1.637452
49814.50    -0.319675    -0.488661     1.930083
49814.75    -0.366495    -0.362372     1.175406
49815.00    -0.337074    -0.507157     1.506318
49815.25    -0.294344    -0.353623     1.032605
49815.50    -0.303174    -0.291232     0.955939
49815.75    -0.328042    -0.246014     0.368129
49816.00    -0.226525    -0.383805     0.529535
49816.25    -0.066784    -0.212149    -0.014266
49816.50    -0.016562    -0.223456     0.139398
49816.75     0.061685    -0.080824    -0.578183
49817.00     0.149685    -0.222374    -0.137108
49817.25     0.195429    -0.060545    -0.303579
49817.50     0.118453    -0.035240     0.118005
49817.75     0.085524     0.089577    -0.332201
49818.00     0.032293    -0.101614     0.359329
49818.25     0.014055    -0.029942     0.316670
49818.50    -0.027973    -0.137322     0.996874
49818.75    -0.000161    -0.083315     0.439630
49819.00     0.038128    -0.248318     0.822477
49819.25     0.081476    -0.162542     0.667403
49819.50     0.012191    -0.207455     1.155846
49819.75    -0.081677    -0.078819     0.687334
49820.00    -0.076428    -0.198530     1.061722
49820.25    -0.115757    -0.172026     1.158263
49820.50    -0.151506    -0.238301     1.495009
49820.75    -0.140169    -0.096738     0.668246
49821.00    -0.046892    -0.292758     1.032064
49821.25     0.056496    -0.220961     0.700098
49821.50     0.121712    -0.193122     0.754005
49821.75     0.226250    -0.072772     0.047812
49822.00     0.351550    -0.258601     0.481701
49822.25     0.440985    -0.243103     0.628558
49822.50     0.368351    -0.344329     1.287433
49822.75     0.327047    -0.363145     1.179796
49823.00     0.342120    -0.551963     1.689891
49823.25     0.381747    -0.460326     1.502511
49823.50     0.338107    -0.381784     1.523655
49823.75     0.292761    -0.274127     1.068948
49824.00     0.235726    -0.383769     1.363778
49824.25     0.209341    -0.254678     0.930357
49824.50     0.125426    -0.214913     1.130709
49824.75     0.048730    -0.153585     0.560390
49825.00     0.058042    -0.287936     0.657889
49825.25     0.150604    -0.281225     0.554753
49825.50     0.143228    -0.378577     0.899065
49825.75     0.137981    -0.381112     0.509934
49826.00     0.124142    -0.608113     1.082328
49826.25     0.107903    -0.520019     0.964559
49826.50     0.032237    -0.553848     1.469716
49826.75    -0.026053    -0.434386     1.004322
49827.00    -0.085240    -0.625957     1.674425
49827.25    -0.141345    -0.628660     1.956310
49827.50    -0.131667    -0.737524     2.466911
49827.75    -0.003752    -0.508111     1.441161
49828.00     0.229271    -0.488747     1.108101
49828.25     0.416767    -0.289725     0.529495
49828.50     0.528743    -0.170689     0.225752
49828.75     0.622879     0.048878    -0.773430
49829.00     0.657786     0.033379    -0.735294
49829.25     0.719838     0.188147    -0.992646
49829.50     0.737159     0.311738    -1.167002
49829.75     0.746168     0.415816    -1.721828
49830.00     0.741718     0.306148    -1.434158
49830.25     0.719425     0.352000    -1.447266
49830.50     0.650071     0.332861    -1.083887
49830.75     0.596826     0.327058    -1.357340
49831.00     0.556807     0.068646    -0.726400
49831.25     0.524727     0.079721    -0.662388
49831.50     0.475701     0.008338    -0.269758
49831.75     0.457412     0.016743    -0.580216
49832.00     0.499009    -0.209991    -0.008441
49832.25     0.528344    -0.100810    -0.203340
49832.50     0.500836    -0.117540     0.087880
49832.75     0.499343    -0.022329    -0.468345
49833.00     0.468140    -0.150317    -0.057056
49833.25     0.499874    -0.050253    -0.096730
49833.50     0.433380    -0.056274     0.202857
49833.75     0.407845    -0.021677    -0.160012
49834.00     0.402286    -0.236875     0.399034
49834.25     0.401409    -0.219582     0.428759
49834.50     0.360553    -0.281728     0.842791
49834.75     0.307170    -0.202186     0.323248
49835.00     0.349745    -0.299398     0.460904
49835.25     0.387145    -0.175050     0.108572
49835.50     0.390593    -0.185109     0.338439
49835.75     0.351747    -0.128695    -0.152386
49836.00     0.399392    -0.292954     0.316554
49836.25     0.394768    -0.246821     0.449836
49836.50     0.295892    -0.377548     1.133533
49836.75     0.256623    -0.250303     0.448587
49837.00     0.275966    -0.306247     0.571666
49837.25     0.320492    -0.098148     0.100461
49837.50     0.339586    -0.016765     0.051757
49837.75     0.352789     0.121285    -0.599371
49838.00     0.347452    -0.051475    -0.053181
49838.25     0.248607    -0.084488     0.353417
49838.50     0.055496    -0.302559     1.297908
49838.75    -0.074754    -0.269321     0.954777
49839.00    -0.077144    -0.485695     1.436770
49839.25    -0.091518    -0.423826     1.240799
49839.50    -0.039425    -0.416905     1.233825
49839.75     0.068812    -0.264670     0.435707
49840.00     0.160612    -0.406795     0.607999
49840.25     0.292944    -0.240767     0.261904
49840.50     0.301935    -0.203726     0.322270
49840.75     0.321499    -0.139074    -0.185632
49841.00     0.336491    -0.292898     0.126569
49841.25     0.340936    -0.237030     0.125081
49841.50     0.304949    -0.233938     0.441780
49841.75     0.288252    -0.130867    -0.077612
49842.00     0.285922    -0.300855     0.399080
49842.25     0.250862    -0.272597     0.445387
49842.50     0.172347    -0.284620     0.797598
49842.75     0.078966    -0.303484     0.609523
49843.00     0.004344    -0.475293     1.017687
49843.25     0.016254    -0.421882     0.996680
49843.50    -0.027730    -0.430417     1.279345
49843.75    -0.052927    -0.444462     1.036682
49844.00    -0.027655    -0.565222     1.415347
49844.25     0.047071    -0.462781     1.284631
49844.50     0.036230    -0.487254     1.611621
49844.75     0.082011    -0.406423     1.133005
49845.00     0.106863    -0.493189     1.339732
49845.25     0.193875    -0.346615     0.925961
49845.50     0.228586    -0.340150     1.074887
49845.75     0.271007    -0.159017     0.216291
49846.00     0.329877    -0.256218     0.461264
49846.25     0.392349    -0.053263    -0.163030
49846.50     0.371273    -0.072448     0.077261
49846.75     0.350457     0.121570    -0.856072
49847.00     0.359113    -0.048803    -0.461893
49847.25     0.351442     0.121024    -0.924536
49847.50     0.286623     0.046424    -0.422774
49847.75     0.205566     0.106382    -0.856404
49848.00     0.104590    -0.135242    -0.043477
49848.25     0.012235    -0.154789     0.164742
49848.50    -0.130463    -0.361299     1.056433
49848.75    -0.132082    -0.350793     0.617752
49849.00    -0.127196    -0.647263     1.371613
49849.25    -0.078934    -0.645348     1.310031
49849.50    -0.095123    -0.782425     1.885903
49849.75    -0.061222    -0.801442     1.651200
49850.00    -0.019759    -1.070443     2.508795
49850.25     0.033771    -1.158080     3.006392
49850.50     0.057761    -1.208728     3.360901
49850.75     0.099879    -1.018969     2.671145
49851.00     0.105133    -0.971064     2.596382
49851.25     0.132587    -0.637446     1.850144
49851.50     0.057979    -0.488320     1.703257
49851.75    -0.021313    -0.268682     0.930572
49852.00    -0.063653    -0.368272     1.191740
49852.25    -0.056265    -0.274891     1.043847
49852.50    -0.136653    -0.363970     1.419696
49852.75    -0.156587    -0.245954     0.732767
49853.00    -0.170459    -0.460401     1.094122
49853.25    -0.084440    -0.368846     0.886785
49853.50    -0.095542    -0.459859     1.244339
49853.75    -0.072308    -0.430249     0.896689
49854.00    -0.076157    -0.662064     1.486515
49854.25    -0.019076    -0.577034     1.306295
49854.50     0.006268    -0.561630     1.429760
49854.75     0.053799    -0.391540     0.775995
49855.00     0.132876    -0.485528     1.017358
49855.25     0.243590    -0.332523     0.746733
49855.50     0.287022    -0.233939     0.561728
49855.75     0.362638    -0.083266    -0.126466
49856.00     0.425010    -0.175353     0.035296
49856.25     0.495105    -0.110502    -0.021850
49856.50     0.495128    -0.111676     0.143034
49856.75     0.480994    -0.072965    -0.148948
49857.00     0.440983    -0.249761     0.432390
49857.25     0.398596    -0.201671     0.497698
49857.50     0.341769    -0.217283     0.764824
49857.75     0.302839    -0.142796     0.324736
49858.00     0.301094    -0.299208     0.784930
49858.25     0.371237    -0.185128     0.609983
49858.50     0.369748    -0.193971     0.836292
49858.75     0.399228    -0.078145     0.216966
49859.00     0.418660    -0.251216     0.710357
49859.25     0.501081    -0.105869     0.395808
49859.50     0.480584    -0.105130     0.616240
49859.75     0.492061    -0.019946     0.126787
49860.00     0.518874    -0.166162     0.512434
49860.25     0.559527    -0.089261     0.245077
49860.50     0.572929    -0.046906     0.285879
49860.75     0.590581    -0.001651    -0.167706
49861.00     0.582191    -0.138404     0.158691
49861.25     0.635882    -0.102990     0.109251
49861.50     0.606567    -0.055393     0.261474
49861.75     0.585658    -0.013118    -0.014273
49862.00     0.551197    -0.085164     0.331954
49862.25     0.570054     0.014842     0.232884
49862.50     0.526368     0.025963     0.544054
49862.75     0.491023     0.096008     0.155483
49863.00     0.459451    -0.030901     0.485383
49863.25     0.461576     0.104775     0.219081
49863.50     0.367510     0.046250     0.578268
49863.75     0.348715     0.130200     0.093484
49864.00     0.307547    -0.029915     0.493603
49864.25     0.366220     0.094878     0.194717
49864.50     0.352938     0.039395     0.557058
49864.75     0.362132     0.131281     0.033285
49865.00     0.353730    -0.044831     0.508043
49865.25     0.401576     0.065286     0.217369
49865.50     0.370930     0.077269     0.308681
49865.75     0.345040     0.176038    -0.164657
49866.00     0.287924    -0.036079     0.447642
49866.25     0.257761     0.048626     0.264441
49866.50     0.227719     0.062762     0.435995
49866.75     0.178974     0.142074    -0.028785
49867.00     0.139711    -0.028598     0.439890
49867.25     0.109402     0.059506     0.272884
49867.50     0.048499     0.041479     0.472418
49867.75     0.020804     0.129387    -0.104127
49868.00     0.011672    -0.077487     0.429255
49868.25     0.056731    -0.005326     0.302116
49868.50     0.069140    -0.030255     0.417759
49868.75     0.089556     0.052231    -0.049287
49869.00     0.142071    -0.120881     0.385923
49869.25     0.176081    -0.080766     0.377914
49869.50     0.171258    -0.150302     0.782245
49869.75     0.154428    -0.133891     0.565201
49870.00     0.147910    -0.298161     1.002802
49870.25     0.193670    -0.236373     0.949922
49870.50     0.185890    -0.224538     1.098190
49870.75     0.185187    -0.164088     0.652828
49871.00     0.199457    -0.322779     0.949523
49871.25     0.291305    -0.184119     0.545794
49871.50     0.298975    -0.107621     0.524205
49871.75     0.281305    -0.035989     0.128622
49872.00     0.236882    -0.121942     0.396219
49872.25     0.247179    -0.004841     0.215798
49872.50     0.182601    -0.012972     0.398448
49872.75     0.119642     0.075200    -0.108139
49873.00     0.052656    -0.189381     0.475575
49873.25     0.031170    -0.134747     0.298247
49873.50     0.009932    -0.243264     0.669595
