-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
NANO        49718.000    1995     1     1     0
NANO        52274.750    2001    12    31    18
NANO     -2335726.738 -3451608.345  4812009.996
49739.25    -1.521735     0.622900    -0.160801
49739.50    -1.203295     0.346011    -0.055971
49739.75    -1.059025     0.524591    -0.682743
49740.00    -0.789613     0.508386    -0.214685
49740.25    -1.055989     0.431149    -0.099048
49740.50    -0.734214     0.101708     0.163401
49740.75    -0.663902     0.312410    -0.529073
49741.00    -0.609047     0.272118    -0.066907
49741.25    -0.825885     0.316660    -0.193054
49741.50    -0.631461     0.004232     0.301726
49741.75    -0.796878     0.368178    -0.283966
49742.00    -0.703523     0.425551     0.484102
49742.25    -0.998360     0.428927     0.772455
49742.50    -0.805208     0.127933     1.320294
49742.75    -0.907026     0.419140     0.896647
49743.00    -0.769283     0.422620     1.777234
49743.25    -1.141157     0.466809     1.941932
49743.50    -0.978880     0.217144     1.939537
49743.75    -0.975182     0.555099     0.681936
49744.00    -0.755598     0.582548     0.626443
49744.25    -1.173277     0.666041    -0.068302
49744.50    -0.970857     0.437075    -0.467538
49744.75    -0.990932     0.886066    -1.703561
49745.00    -0.902868     1.088625    -2.039705
49745.25    -1.229030     1.238359    -2.334681
49745.50    -0.966610     1.065608    -1.842679
49745.75    -1.123699     1.456457    -2.092007
49746.00    -1.157766     1.572911    -0.943668
49746.25    -1.614925     1.623323     0.124110
49746.50    -1.539974     1.336251     1.303989
49746.75    -1.495814     1.534641     1.082322
49747.00    -1.311074     1.478157     0.828659
49747.25    -1.434670     1.535116     0.331173
49747.50    -1.192149     1.385640     1.461991
49747.75    -1.408525     1.611725     2.386190
49748.00    -1.479261     1.605777     2.341300
49748.25    -1.694279     1.641450     2.207249
49748.50    -1.595382     1.428585     3.901005
49748.75    -1.772545     1.626636     4.248215
49749.00    -1.738871     1.662401     4.320080
49749.25    -1.953884     1.624203     3.525055
49749.50    -1.680066     1.240513     2.844336
49749.75    -1.449519     1.438824     1.745967
49750.00    -1.157002     1.251259     2.086468
49750.25    -1.240070     1.140172     0.770215
49750.50    -0.834094     0.872219    -0.834043
49750.75    -0.683627     1.153679    -2.568253
49751.00    -0.457644     1.263418    -2.940332
49751.25    -0.879487     1.258824    -2.657698
49751.50    -0.777640     0.849114    -2.484133
49751.75    -0.612241     0.934307    -3.553136
49752.00    -0.267460     0.903733    -3.351795
49752.25    -0.317502     0.734669    -3.240193
49752.50     0.186026     0.365780    -3.005488
49752.75     0.353344     0.584179    -3.353120
49753.00     0.514941     0.601355    -2.554857
49753.25     0.284246     0.624155    -2.094491
49753.50     0.729827     0.327871    -1.377788
49753.75     0.821801     0.627827    -1.648189
49754.00     1.006697     0.630256    -1.176039
49754.25     1.039852     0.509415    -1.031709
49754.50     1.458552     0.024195    -0.933772
49754.75     1.662371     0.151058    -1.909549
49755.00     2.072150     0.090575    -1.767900
49755.25     2.015004     0.045465    -2.130602
49755.50     2.380160    -0.417299    -2.030958
49755.75     2.359560    -0.198105    -2.546226
49756.00     2.485652    -0.137364    -1.796535
49756.25     2.137850    -0.213722    -1.784162
49756.50     2.361605    -0.519862    -1.587474
49756.75     2.273793    -0.259390    -2.345386
49757.00     2.278436    -0.318898    -1.676525
49757.25     1.957813    -0.498803    -1.164814
49757.50     2.223743    -0.892019    -0.535213
49757.75     2.275681    -0.529173    -1.652691
49758.00     2.383719    -0.395807    -1.438286
49758.25     1.956817    -0.314344    -1.679891
49758.50     2.057009    -0.600824    -1.476771
49758.75     1.793608    -0.237033    -2.070685
49759.00     1.674666    -0.182816    -1.270686
49759.25     1.127382    -0.157991    -0.712639
49759.50     1.198292    -0.445666    -0.338083
49759.75     1.078141    -0.116440    -0.960750
49760.00     0.926050    -0.068466    -0.263930
49760.25     0.238575     0.065448     0.051751
49760.50     0.178832    -0.154470     0.807168
49760.75    -0.113094     0.291841     0.512472
49761.00    -0.422366     0.284237     1.305675
49761.25    -0.965665     0.206617     1.939592
49761.50    -0.912852    -0.276296     2.943751
49761.75    -1.112245    -0.174566     3.058005
49762.00    -1.156461    -0.294554     4.352011
49762.25    -1.386961    -0.388288     4.609177
49762.50    -1.212055    -0.702492     5.093235
49762.75    -1.163471    -0.424082     4.795846
49763.00    -1.157122    -0.230331     5.578179
49763.25    -1.502699    -0.129763     6.329024
49763.50    -1.289008    -0.562147     7.475938
49763.75    -1.004509    -0.363463     5.597346
49764.00    -0.663126    -0.154137     4.125235
49764.25    -0.794814     0.036860     2.536192
49764.50    -0.352220    -0.163658     2.446063
49764.75    -0.392149     0.225894     2.023800
49765.00    -0.570076     0.260562     3.722941
49765.25    -1.016173     0.110554     4.532980
49765.50    -0.801910    -0.262206     6.244368
49765.75    -1.024569    -0.111387     5.616528
49766.00    -0.717447    -0.153494     4.458868
49766.25    -0.856335     0.013937     2.132923
49766.50    -0.694707     0.023873     0.746752
49766.75    -0.982136     0.604240    -0.268115
49767.00    -1.170263     0.772894     1.070777
49767.25    -1.509440     0.771565     1.145095
49767.50    -1.261451     0.579791     0.615611
49767.75    -0.959366     0.917376    -1.477985
49768.00    -0.781946     1.111728    -1.661552
49768.25    -1.259138     1.232881    -1.617768
49768.50    -1.268305     0.929735    -0.465852
49768.75    -1.169071     1.116371    -0.724276
49769.00    -0.910022     0.986155    -0.041797
49769.25    -0.982823     0.767546     0.352301
49769.50    -0.780209     0.268805     0.478791
49769.75    -0.767371     0.429781    -0.472850
49770.00    -0.434383     0.373169    -0.472557
49770.25    -0.482884     0.219224    -1.007051
49770.50    -0.228114    -0.087826    -1.239997
49770.75    -0.122641     0.143670    -2.628199
49771.00     0.209176     0.223047    -2.529840
49771.25    -0.064526     0.290449    -2.775540
49771.50     0.196678     0.107961    -2.473453
49771.75     0.251521     0.379515    -2.734058
49772.00     0.314893     0.389074    -1.899438
49772.25     0.017287     0.284582    -1.586436
49772.50     0.253756    -0.170992    -0.863402
49772.75     0.357280     0.030708    -1.436104
49773.00     0.587641    -0.073535    -0.670827
49773.25     0.602059    -0.351112    -0.786075
49773.50     1.142219    -0.733741    -1.035946
49773.75     1.153513    -0.427217    -2.367923
49774.00     1.287735    -0.362257    -1.948196
49774.25     1.036936    -0.400246    -2.054404
49774.50     1.145377    -0.739134    -2.213945
49774.75     1.072791    -0.363340    -3.675004
49775.00     1.136463    -0.320266    -3.618534
49775.25     0.676330    -0.245446    -4.433126
49775.50     0.902598    -0.528986    -4.634801
49775.75     0.882035    -0.115008    -5.975267
49776.00     0.934454    -0.044839    -5.626908
49776.25     0.616331    -0.045965    -5.637133
49776.50     0.914865    -0.408540    -5.072130
49776.75     0.764462    -0.032980    -6.037256
49777.00     0.766347    -0.000648    -4.932655
49777.25     0.422068    -0.049274    -4.285484
49777.50     0.503518    -0.397704    -3.741063
49777.75     0.296111    -0.077353    -4.305893
49778.00     0.213548    -0.010174    -3.079667
49778.25    -0.344238    -0.047419    -2.453555
49778.50    -0.315751    -0.376861    -1.598885
49778.75    -0.397951    -0.134891    -1.755468
49779.00    -0.270135    -0.120516    -0.578011
49779.25    -0.584300    -0.173442     0.193909
49779.50    -0.212407    -0.512696     0.964429
49779.75    -0.067395    -0.364364     0.979378
49780.00     0.009809    -0.420339     1.597442
49780.25    -0.389825    -0.442759     1.382968
49780.50    -0.177031    -0.742600     1.489428
49780.75    -0.192760    -0.360159     0.455677
49781.00    -0.152879    -0.305034     0.792082
49781.25    -0.349931    -0.376960     0.593664
49781.50    -0.131847    -0.780233     0.750696
49781.75    -0.035345    -0.548147    -0.214918
49782.00     0.201548    -0.474085     0.028480
49782.25    -0.009672    -0.466205    -0.648711
49782.50     0.207262    -0.702125    -1.319570
49782.75     0.204404    -0.193078    -3.140308
49783.00     0.074962     0.017026    -3.094447
49783.25    -0.580035     0.123057    -3.171831
49783.50    -0.576395    -0.091721    -2.780446
49783.75    -0.843794     0.292592    -3.341898
49784.00    -0.927129     0.347156    -1.721632
49784.25    -1.458734     0.331517    -0.452316
49784.50    -1.431506     0.012021     1.373234
49784.75    -1.725018     0.288770     2.019877
49785.00    -1.602370     0.276059     4.171172
49785.25    -2.068869     0.134228     5.283040
49785.50    -1.919228    -0.279461     6.952691
49785.75    -1.934882    -0.077306     7.930616
49786.00    -2.206006    -0.091882    10.332895
49786.25    -2.795654    -0.103766     8.525729
49786.50    -2.400645    -0.335404     8.202580
49786.75    -2.288832    -0.086547     7.837555
49787.00    -2.147847    -0.106659     9.026885
49787.25    -2.613065    -0.172287     9.880067
49787.50    -2.425792    -0.441949    10.125911
49787.75    -2.284576    -0.128592     8.742427
49788.00    -2.091422    -0.105427     8.836557
49788.25    -2.292002    -0.041403     7.302898
49788.50    -1.897708    -0.234877     6.051011
49788.75    -1.751704     0.211125     3.432709
49789.00    -1.620628     0.381514     2.562721
49789.25    -2.024935     0.559792     1.594591
49789.50    -2.003451     0.394303     1.706649
49789.75    -1.996970     0.792687     0.314677
49790.00    -2.013075     0.988458    -0.128564
49790.25    -2.371152     1.158627    -1.551823
49790.50    -1.963155     0.825898    -1.066151
49790.75    -1.919874     1.204515    -0.784609
49791.00    -1.685484     1.125216    -0.739800
49791.25    -1.522104     1.007139    -1.285769
49791.50    -0.953155     0.547071    -1.373199
49791.75    -0.565072     0.731129    -3.302269
49792.00    -0.092964     0.633323    -3.428129
49792.25    -0.208439     0.673990    -4.064560
49792.50     0.062296     0.333344    -3.677715
49792.75     0.164178     0.646632    -3.847340
49793.00     0.313648     0.698275    -2.753424
49793.25    -0.123411     0.742390    -2.177825
49793.50     0.177724     0.373210    -0.887307
49793.75     0.401772     0.566345    -0.364849
49794.00     0.661068     0.511810     0.952534
49794.25     0.539843     0.342412     1.839789
49794.50     0.954370    -0.212179     3.216922
49794.75     1.070390    -0.043866     3.075509
49795.00     1.218652    -0.034414     3.854669
49795.25     1.062839    -0.016275     3.460295
49795.50     1.378437    -0.350854     3.350730
49795.75     1.543609     0.014031     2.382019
49796.00     1.663622     0.025408     4.344473
49796.25     1.066337    -0.015237     6.620349
49796.50     0.831909    -0.360081     9.005416
49796.75     0.560236    -0.134104     9.197384
49797.00     0.423290    -0.079829    10.543707
49797.25    -0.503936     0.016903    10.582131
49797.50    -0.481871    -0.360833    10.993422
49797.75    -0.506855    -0.144957     8.776173
49798.00    -0.400645    -0.067217     8.443802
49798.25    -0.578472    -0.109329     7.437194
49798.50    -0.130375    -0.411711     7.192341
49798.75    -0.053216    -0.049254     5.498151
49799.00     0.036566    -0.064687     5.203470
49799.25    -0.336237    -0.030921     4.682343
49799.50    -0.245634    -0.289903     4.756887
49799.75    -0.384547     0.061879     3.683762
49800.00    -0.190192    -0.027015     3.999933
49800.25    -0.480971    -0.028262     2.872669
49800.50     0.015953    -0.355859     2.144999
49800.75     0.456255    -0.067784     0.325931
49801.00     0.946936    -0.027784    -0.202894
49801.25     0.862979    -0.079118    -1.647322
49801.50     1.520942    -0.631272    -1.908302
49801.75     1.793229    -0.420355    -3.155993
49802.00     2.009484    -0.416391    -3.156849
49802.25     1.958882    -0.428503    -4.031825
49802.50     2.581174    -0.864518    -4.365587
49802.75     2.763218    -0.587476    -6.037133
49803.00     3.029558    -0.533561    -5.881692
49803.25     2.735133    -0.451612    -6.443825
49803.50     3.076692    -0.708021    -6.514134
49803.75     3.030140    -0.214772    -7.830013
49804.00     3.167330    -0.129625    -7.311828
49804.25     2.613342     0.065391    -7.368368
49804.50     2.754994    -0.153342    -6.717798
49804.75     2.652358     0.201875    -6.630836
49805.00     2.636221     0.156357    -4.922798
49805.25     1.994108     0.156277    -4.044167
49805.50     2.052897    -0.209446    -2.711997
49805.75     1.641982     0.072658    -2.791855
49806.00     1.356972     0.179879    -1.773867
49806.25     0.745292     0.252335    -1.358484
49806.50     0.769992    -0.082184    -0.582697
49806.75     0.486839     0.368247    -1.118742
49807.00     0.413631     0.498140    -0.104730
49807.25    -0.120532     0.614156     0.197354
49807.50     0.048647     0.321605     0.841234
49807.75    -0.002941     0.632649     0.343326
49808.00     0.051638     0.532932     1.226295
49808.25    -0.212959     0.414877     1.353077
49808.50     0.244473     0.016595     1.699027
49808.75     0.524031     0.250546     0.804411
49809.00     0.865912     0.199673     1.163349
49809.25     0.784351     0.136873     0.768018
49809.50     1.245965    -0.317736     0.885850
49809.75     1.435611    -0.039740    -0.340971
49810.00     1.710746     0.038985    -0.338656
49810.25     1.407022     0.204102    -0.946816
49810.50     1.600802     0.028966    -0.736041
49810.75     1.337775     0.426018    -1.208301
49811.00     1.223968     0.293201    -0.767380
49811.25     0.530006     0.387666    -0.168867
49811.50     0.650989     0.013476     1.036544
49811.75    -3.860985     3.626229   -13.250312
49812.00     0.416285     0.260268     1.378532
49812.25    -0.062222     0.244383     1.342288
49812.50     0.182760    -0.147447     2.026334
49812.75     0.055995     0.192019     1.940986
49813.00     0.008586     0.149216     3.046795
49813.25    -0.365273     0.031871     3.470502
49813.50    -0.038296    -0.415635     4.043855
49813.75    -0.006091    -0.181019     3.378794
49814.00     0.133444    -0.232872     3.690563
49814.25    -0.102367    -0.340760     3.861579
49814.50     0.292548    -0.766009     4.591101
49814.75     0.345488    -0.465800     4.043514
49815.00     0.631814    -0.457940     3.965520
49815.25     0.434177    -0.502967     3.486531
49815.50     0.911628    -0.765534     2.935733
49815.75     1.074028    -0.329899     1.507957
49816.00     1.147474    -0.156907     0.988653
49816.25     0.803263    -0.052334    -0.215936
49816.50     1.162023    -0.226984    -0.986414
49816.75     1.160078     0.299690    -2.474932
49817.00     1.088448     0.500822    -2.136508
49817.25     0.444212     0.642814    -2.400835
49817.50     0.474791     0.324676    -1.588361
49817.75     0.050117     0.680605    -1.363143
49818.00    -0.149628     0.558787     0.149779
49818.25    -0.661690     0.268944     0.301579
49818.50    -0.367582    -0.372958     0.034194
49818.75    -0.334841    -0.193638    -1.078688
49819.00    -0.188361    -0.284208    -0.603266
49819.25    -0.551427    -0.368021    -0.729383
49819.50    -0.201372    -0.726106    -0.153990
49819.75    -0.275527    -0.365732    -0.339147
49820.00    -0.396748    -0.349555     0.992493
49820.25    -0.898944    -0.365629     1.614367
49820.50    -0.755159    -0.666931     2.174469
49820.75    -0.845077    -0.292119     0.790683
49821.00    -0.772000    -0.220675     0.329085
49821.25    -1.034007    -0.238132    -0.571992
49821.50    -0.614718    -0.647548    -0.961357
49821.75    -0.555830    -0.372910    -2.342110
49822.00    -0.416632    -0.329202    -2.154596
49822.25    -0.557024    -0.368708    -2.376035
49822.50    -0.075374    -0.825710    -1.958071
49822.75     0.089847    -0.528910    -2.598781
49823.00     0.226655    -0.471122    -1.878893
49823.25     0.092900    -0.411993    -2.112547
49823.50     0.482783    -0.696352    -1.912744
49823.75     0.405547    -0.357210    -2.281592
49824.00     0.337333    -0.365600    -0.881987
49824.25    -0.116941    -0.411147    -0.298201
49824.50     0.083843    -0.808504     0.504367
49824.75     0.205701    -0.522612    -0.090434
49825.00     0.447946    -0.465711     0.038079
49825.25     0.273616    -0.473121    -0.796014
49825.50     0.729692    -0.763924    -1.082948
49825.75     0.801493    -0.416102    -1.810574
49826.00     0.860528    -0.443609    -0.746097
49826.25     0.476157    -0.533416    -0.512805
49826.50     0.596976    -1.009155     0.434270
49826.75     0.346754    -0.858663     0.568729
49827.00     0.092680    -0.847065     1.991314
49827.25    -0.236048    -0.946921     2.582801
49827.50     0.167996    -1.317655     2.408271
49827.75     0.319022    -0.986204     0.432159
49828.00     0.403498    -0.843683    -0.627402
49828.25    -0.009404    -0.732556    -2.412713
49828.50     0.355121    -0.970847    -3.469388
49828.75     0.318726    -0.533053    -5.296836
49829.00     0.388315    -0.476523    -5.232276
49829.25    -0.190729    -0.391507    -5.783100
49829.50     0.007269    -0.637679    -6.150429
49829.75    -0.146447    -0.146857    -7.240580
49830.00    -0.136084    -0.097521    -6.501658
49830.25    -0.699204    -0.075696    -6.375173
49830.50    -0.282871    -0.519156    -5.874711
49830.75    -0.255085    -0.274589    -6.052034
49831.00    -0.022924    -0.448980    -4.657387
49831.25    -0.224620    -0.721655    -3.835413
49831.50     0.435898    -1.228127    -3.040283
49831.75     0.765311    -0.997599    -3.471407
49832.00     1.130756    -1.033596    -2.570373
49832.25     0.895421    -1.010171    -3.097208
49832.50     1.342603    -1.234193    -3.156912
49832.75     1.325184    -0.789886    -3.997553
49833.00     1.391100    -0.669545    -2.859797
49833.25     0.961211    -0.642759    -2.468547
49833.50     1.321548    -1.040165    -2.127528
49833.75     1.297156    -0.750071    -2.562379
49834.00     1.368493    -0.694022    -1.728657
49834.25     1.125804    -0.638092    -1.680430
49834.50     1.460992    -1.012792    -1.430418
49834.75     1.462244    -0.620359    -2.085640
49835.00     1.424077    -0.576084    -1.475392
49835.25     0.976916    -0.410661    -1.628995
49835.50     1.062213    -0.669211    -1.809044
49835.75     1.016254    -0.353700    -2.315681
49836.00     1.070970    -0.393645    -1.540141
49836.25     0.570364    -0.414086    -1.293745
49836.50     0.801574    -0.749436    -0.831818
49836.75     0.882064    -0.405000    -1.372591
49837.00     0.972806    -0.394224    -1.002125
49837.25     0.729542    -0.432166    -1.415266
49837.50     1.058372    -0.807784    -1.692128
49837.75     1.110231    -0.418037    -3.013471
49838.00     1.187379    -0.377037    -2.464931
49838.25     1.000822    -0.376072    -1.848052
49838.50     1.353908    -0.797146    -0.164592
49838.75     1.158284    -0.497748     0.331380
49839.00     1.058868    -0.503632     1.816523
49839.25     0.554949    -0.470830     1.820502
49839.50     0.776565    -0.707287     1.604117
49839.75     0.597752    -0.248235     0.089890
49840.00     0.524546    -0.137840    -0.228929
49840.25     0.021262    -0.115263    -1.167623
49840.50     0.400163    -0.475446    -1.308895
49840.75     0.507403    -0.192380    -2.318626
49841.00     0.633508    -0.235865    -1.780832
49841.25     0.435931    -0.390193    -1.696660
49841.50     1.005734    -0.972893    -1.268504
49841.75     1.046876    -0.812949    -1.974794
49842.00     1.199675    -0.879794    -0.918920
49842.25     1.012069    -0.899864    -0.821447
49842.50     1.427530    -1.259089    -0.481520
49842.75     1.579561    -0.948183    -0.897296
49843.00     1.667024    -0.849355     0.114849
49843.25     1.372599    -0.780947     0.087237
49843.50     1.734452    -1.088305     0.498379
49843.75     1.718632    -0.684772     0.077978
49844.00     1.455023    -0.584539     0.789121
49844.25     0.821753    -0.448849     0.387565
49844.50     1.124876    -0.731377     0.500899
49844.75     1.123356    -0.436380    -0.264681
49845.00     1.070788    -0.378781     0.286570
49845.25     0.613002    -0.443654    -0.074913
49845.50     1.061867    -0.916195     0.070486
49845.75     1.087404    -0.624793    -0.893416
49846.00     1.185662    -0.719010    -0.287542
49846.25     0.850203    -0.798150    -0.592032
49846.50     1.408998    -1.176923    -0.649113
49846.75     1.589055    -0.966332    -1.503781
49847.00     1.694756    -1.110540    -0.662287
49847.25     1.219400    -1.114579    -0.544286
49847.50     1.493554    -1.477556    -0.027950
49847.75     1.476592    -1.065487    -0.563919
49848.00     1.505935    -1.059185     0.637508
49848.25     0.991315    -1.028752     1.681572
49848.50     1.310979    -1.398969     2.627491
49848.75     1.260560    -0.997501     1.937523
49849.00     1.194494    -0.839209     2.296296
49849.25     0.761769    -0.747858     2.251583
49849.50     1.054881    -1.029512     2.225482
49849.75     1.130268    -0.664040     1.250246
49850.00     1.102669    -0.635649     1.705533
49850.25     0.731963    -0.619094     1.286158
49850.50     1.047150    -0.986954     0.808637
49850.75     1.096613    -0.665366    -0.361627
49851.00     1.003084    -0.711798     0.402103
49851.25     0.612120    -0.815174     0.196592
49851.50     0.952661    -1.219718     0.578097
49851.75     0.937659    -0.905256    -0.136235
49852.00     0.987216    -1.026067     1.141976
49852.25     0.756484    -1.132675     1.409714
49852.50     1.138498    -1.492462     1.540041
49852.75     1.229306    -1.058587     0.976325
49853.00     1.339223    -0.981824     2.273917
49853.25     0.961271    -0.863015     2.160050
49853.50     1.241946    -1.109526     2.188128
49853.75     1.263540    -0.802214     1.186859
49854.00     1.161088    -0.821699     1.996065
49854.25     0.617508    -0.860321     1.553799
49854.50     0.798501    -1.206306     1.352138
49854.75     0.695747    -0.942745    -0.138919
49855.00     0.533765    -0.899094    -0.216734
49855.25     0.129042    -0.876491    -1.312972
49855.50     0.428102    -1.089197    -1.968793
49855.75     0.288986    -0.723955    -3.700735
49856.00     0.167955    -0.581075    -3.717913
49856.25    -0.292047    -0.437278    -4.406560
49856.50    -0.006168    -0.604889    -4.501017
49856.75    -0.156543    -0.147398    -5.080317
49857.00    -0.330200    -0.112513    -3.746008
49857.25    -0.840001    -0.119512    -3.127931
49857.50    -0.614972    -0.483605    -2.594559
49857.75    -0.568727    -0.331150    -2.876538
49858.00    -0.349584    -0.486129    -1.942365
49858.25    -0.569714    -0.622059    -2.274155
49858.50    -0.199351    -0.985794    -2.506527
49858.75    -0.096603    -0.668645    -3.589311
49859.00     0.051974    -0.646781    -2.619520
49859.25    -0.220929    -0.596665    -3.102868
49859.50     0.328202    -0.919952    -3.128327
49859.75     0.311311    -0.568175    -4.153206
49860.00     0.323342    -0.548078    -3.218725
49860.25    -0.033371    -0.510421    -3.390027
49860.50     0.341187    -0.839257    -3.448095
49860.75     0.320402    -0.427600    -4.516984
49861.00     0.328903    -0.382274    -3.738829
49861.25    -0.120973    -0.339538    -3.911378
49861.50     0.302153    -0.675104    -3.995018
49861.75     0.246884    -0.352238    -4.618689
49862.00     0.164548    -0.353131    -3.319661
49862.25    -0.206078    -0.401769    -2.883814
49862.50     0.074086    -0.751760    -2.414212
49862.75     0.001930    -0.315788    -3.050132
49863.00    -0.047139    -0.185983    -1.976134
49863.25    -0.571810    -0.101471    -2.089326
49863.50    -0.321565    -0.395788    -1.721665
49863.75    -0.368224    -0.059186    -2.360848
49864.00    -0.506768    -0.055054    -1.351081
49864.25    -0.998645    -0.121170    -1.628172
49864.50    -0.714469    -0.485713    -1.766748
49864.75    -0.725568    -0.176108    -3.050785
49865.00    -0.764872    -0.166498    -2.295281
49865.25    -1.076570    -0.224715    -2.350412
49865.50    -0.616118    -0.576604    -2.264998
49865.75    -0.541860    -0.335713    -3.051900
49866.00    -0.471114    -0.434877    -1.597935
49866.25    -0.726670    -0.539997    -1.149782
49866.50    -0.258505    -0.962790    -0.814837
49866.75    -0.151666    -0.617940    -1.478214
49867.00    -0.127738    -0.543632    -0.525166
49867.25    -0.492417    -0.562961    -0.371302
49867.50    -0.124345    -0.895418    -0.343349
49867.75    -0.060413    -0.576996    -1.188192
49868.00    -0.107909    -0.503985    -0.578538
49868.25    -0.369346    -0.498334    -0.889045
49868.50     0.029743    -0.793078    -1.015347
49868.75     0.057382    -0.515501    -1.933912
49869.00     0.048329    -0.460605    -1.474459
49869.25    -0.241234    -0.521171    -1.448327
49869.50     0.298188    -0.900461    -1.037512
49869.75     0.446934    -0.679560    -1.371357
49870.00     0.425417    -0.733371    -0.053223
49870.25     0.040547    -0.904570     0.038381
49870.50     0.408629    -1.264923     0.225707
49870.75     0.535368    -0.988997    -0.659748
49871.00     0.529624    -0.886140    -0.122503
49871.25     0.303599    -0.908063    -0.664716
49871.50     0.668997    -1.183553    -0.793014
