table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,
"Annual Estimates of the Population by Sex and Age for Wyoming: April 1, 2000 to July 1, 2003",,,,,,
Sex and age,Population estimates,,,,"April 1, 2000",
.80 to 84 years,"3,425","3,361","3,222","3,133","3,116","3,116"
.85 years or more,"2,286","2,203","2,107","2,044","2,017","2,017"
,,,,,,
.Under 18 years,"62,374","63,392","63,907","65,690","66,236","66,236"
..Under 5 years,"16,193","16,006","15,655","15,822","15,893","15,893"
..5 to 13 years,"30,397","31,146","31,611","32,729","33,070","33,070"
..14 to 17 years,"15,784","16,240","16,641","17,139","17,273","17,273"
.18 to 64 years,"163,372","161,476","158,734","157,417","156,761","156,761"
..18 to 24 years,"29,130","28,494","27,480","26,525","26,188","26,188"
..25 to 44 years,"66,059","66,946","67,922","69,682","70,041","70,041"
..45 to 64 years,"68,183","66,036","63,332","61,210","60,532","60,532"
.65 years and over,"26,596","26,197","25,830","25,476","25,377","25,377"
,,,,,,
.16 years and over,"198,116","196,137","193,185","191,613","190,881","190,881"
.18 years and over,"189,968","187,673","184,564","182,893","182,138","182,138"
.15 to 44 years,"107,153","107,858","108,117","109,213","109,316","109,316"
,,,,,,
.Median age(years),36.2,36.0,35.8,35.4,35.3,35.3
FEMALE,"248,900","247,765","245,249","245,495","245,408","245,408"
.Under 5 years,"14,825","14,858","14,749","14,978","15,047","15,047"
.5 to 9 years,"15,296","15,506","15,742","16,402","16,603","16,603"
.10 to 14 years,"17,152","17,561","17,865","18,475","18,644","18,644"
.15 to 19 years,"19,536","20,043","20,003","20,099","20,142","20,142"
.20 to 24 years,"18,638","17,893","16,999","16,195","15,941","15,941"
.25 to 29 years,"14,166","13,950","14,026","14,358","14,470","14,470"
.30 to 34 years,"14,481","14,609","14,464","14,605","14,585","14,585"
.35 to 39 years,"15,387","16,126","17,092","18,193","18,450","18,450"
.40 to 44 years,"19,942","20,471","20,704","21,011","21,073","21,073"
.45 to 49 years,"21,375","21,157","20,596","20,195","20,050","20,050"
.50 to 54 years,"18,766","18,082","17,341","16,383","16,079","16,079"
.55 to 59 years,"14,693","13,801","12,817","12,319","12,224","12,224"
.60 to 64 years,"11,276","10,678","10,111","9,873","9,784","9,784"
.65 to 69 years,"8,885","8,719","8,720","8,603","8,589","8,589"
.70 to 74 years,"7,937","7,895","7,770","7,743","7,735","7,735"
.75 to 79 years,"6,448","6,483","6,499","6,580","6,583","6,583"
.80 to 84 years,"4,977","4,928","4,863","4,715","4,691","4,691"
.85 years or more,"5,120","5,005","4,888","4,768","4,718","4,718"
,,,,,,
.Under 18 years,"58,699","59,775","60,327","62,138","62,637","62,637"
..Under 5 years,"14,825","14,858","14,749","14,978","15,047","15,047"
..5 to 13 years,"28,934","29,438","29,778","30,978","31,302","31,302"
..14 to 17 years,"14,940","15,479","15,800","16,182","16,288","16,288"
.18 to 64 years,"156,834","154,960","152,182","150,948","150,455","150,455"
..18 to 24 years,"26,748","26,086","25,031","24,011","23,740","23,740"
..25 to 44 years,"63,976","65,156","66,286","68,167","68,578","68,578"
..45 to 64 years,"66,110","63,718","60,865","58,770","58,137","58,137"
.65 years and over,"33,367","33,030","32,740","32,409","32,316","32,316"
,,,,,,
.16 years and over,"198,004","195,984","193,031","191,580","191,001","191,001"
.18 years and over,"190,201","187,990","184,922","183,357","182,771","182,771"
.15 to 44 years,"102,150","103,092","103,288","104,461","104,661","104,661"
,,,,,,
.Median age(years),38.5,38.1,37.7,37.3,37.1,37.1
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.",,,,,,
Suggested Citation:,,,,,,
"Table 2:  Annual Estimates of the Population by Sex and Age for Wyoming: April 1, 2000 to July 1, 2003 (SC-EST2003-02-56)",,,,,,
"Source:  Population Division, U.S. Census Bureau",,,,,,
"Release Date:  September 30, 2004",,,,,,
