-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
WES2        49718.000    1995     1     1     0
WES2        52274.750    2001    12    31    18
WES2      1492233.369 -4458089.483  4296046.010
49764.25    -0.989226     0.116699     3.591753
49764.50    -0.608136    -0.078256     2.898615
49764.75    -0.457515    -0.418824     1.150476
49765.00     0.038895    -0.503226     0.167382
49765.25     0.241481    -0.577921    -0.961345
49765.50     0.507291    -0.462274    -1.284427
49765.75     0.153025    -0.653780    -2.147825
49766.00     0.268282    -0.635435    -1.935969
49766.25     0.005322    -0.678164    -2.296893
49766.50    -0.099844    -0.566453    -2.633094
49766.75    -0.474521    -0.729591    -3.604942
49767.00    -0.308555    -0.688141    -3.185018
49767.25    -0.547073    -0.680690    -2.608460
49767.50    -0.769736    -0.551565    -1.410749
49767.75    -1.075650    -0.699884    -0.720998
49768.00    -0.871627    -0.665677    -0.117661
49768.25    -0.980722    -0.517149    -0.118602
49768.50    -0.779323    -0.129088     0.449376
49768.75    -0.812623    -0.010979     1.240841
49769.00    -0.494900     0.137507     2.284097
49769.25    -0.414231     0.313270     3.342242
49769.50    -0.468064     0.545686     3.873231
49769.75    -0.727997     0.280915     3.133688
49770.00    -0.485855     0.129536     2.748615
49770.25    -0.621284     0.050460     1.959012
49770.50    -0.628375     0.106556     1.236812
49770.75    -0.942649     0.018084     0.527229
49771.00    -0.713678     0.063159     0.669148
49771.25    -0.808464     0.053657     0.282462
49771.50    -0.720806     0.255324     0.619662
49771.75    -0.713792     0.189184     0.662161
49772.00    -0.458112     0.260634     1.302323
49772.25    -0.554729     0.322667     2.052266
49772.50    -0.467286     0.514935     3.099962
49772.75    -0.749116     0.193599     2.859428
49773.00    -0.405269    -0.100043     2.092200
49773.25    -0.275073    -0.157912     1.350313
49773.50    -0.058329    -0.018256     0.871361
49773.75    -0.275170    -0.121638     0.040134
49774.00     0.094719    -0.150961    -0.258299
49774.25     0.258905    -0.261409    -1.588725
49774.50     0.350174    -0.195712    -2.587370
49774.75     0.194323    -0.444762    -3.991213
49775.00     0.503375    -0.452113    -4.662785
49775.25     0.395892    -0.460203    -5.434061
49775.50     0.476010    -0.184332    -5.062530
49775.75     0.198468    -0.214752    -4.609383
49776.00     0.258157    -0.134118    -3.451625
49776.25     0.144094    -0.080728    -2.733143
49776.50     0.325038     0.144071    -1.982493
49776.75     0.028652    -0.002136    -2.202898
49777.00     0.234745    -0.106003    -2.114809
49777.25     0.118316    -0.163659    -2.336230
49777.50     0.011865    -0.018320    -2.165037
49777.75    -0.438998    -0.233911    -2.455552
49778.00    -0.363991    -0.354197    -2.077256
49778.25    -0.567948    -0.500594    -2.542640
49778.50    -0.570622    -0.483650    -2.929005
49778.75    -0.670268    -0.639888    -3.749904
49779.00    -0.275352    -0.588972    -3.760233
49779.25    -0.151959    -0.625587    -4.202859
49779.50     0.087284    -0.468957    -4.181120
49779.75     0.047092    -0.546062    -4.419382
49780.00     0.328398    -0.473846    -4.136489
49780.25     0.283010    -0.518908    -4.717845
49780.50     0.329636    -0.394424    -4.833053
49780.75     0.120668    -0.600616    -5.547119
49781.00     0.326809    -0.592680    -5.494538
49781.25     0.420274    -0.565196    -5.750076
49781.50     0.629380    -0.313445    -5.604670
49781.75     0.516411    -0.213301    -5.434660
49782.00     0.709566    -0.005968    -4.232084
49782.25     0.428412     0.145882    -3.448058
49782.50     0.095507     0.358495    -2.562308
49782.75    -0.372949     0.041132    -2.968747
49783.00    -0.306238    -0.125641    -3.172102
49783.25    -0.552563    -0.209247    -3.923226
49783.50    -0.630569    -0.013404    -3.875428
49783.75    -1.158959    -0.110609    -3.862790
49784.00    -1.107929    -0.056062    -2.680565
49784.25    -1.346318    -0.069261    -1.630389
49784.50    -1.355620     0.002721    -0.829290
49784.75    -1.489156    -0.292979    -1.349479
49785.00    -0.946404    -0.293345    -0.588505
49785.25    -0.963124    -0.331250    -0.523585
49785.50    -0.937302    -0.296933    -0.493101
49785.75    -1.016474    -0.527982    -1.203195
49786.00    -0.702581    -0.649470    -1.896597
49786.25    -0.914739    -0.777037    -2.550759
49786.50    -0.881748    -0.712221    -3.063960
49786.75    -1.111703    -0.823928    -3.562558
49787.00    -0.835022    -0.776222    -3.531155
49787.25    -0.882801    -0.774927    -3.796773
49787.50    -0.631462    -0.596983    -3.886419
49787.75    -0.748036    -0.672868    -4.145603
49788.00    -0.305537    -0.599538    -3.793344
49788.25    -0.285244    -0.688056    -4.342861
49788.50    -0.265940    -0.642122    -4.559994
49788.75    -0.723230    -0.831192    -4.988618
49789.00    -0.866560    -0.843453    -4.553730
49789.25    -1.318660    -0.959279    -5.071498
49789.50    -1.515231    -0.875806    -5.111769
49789.75    -1.729693    -0.975164    -5.278627
49790.00    -1.519635    -0.979412    -5.231391
49790.25    -1.789497    -1.047924    -5.819830
49790.50    -1.736699    -0.904719    -5.967256
49790.75    -1.872689    -1.030122    -6.322846
49791.00    -1.299779    -0.956557    -5.320954
49791.25    -1.147714    -0.838208    -4.441936
49791.50    -0.905564    -0.549690    -3.458772
49791.75    -0.949711    -0.525870    -3.005780
49792.00    -0.498316    -0.340971    -2.014563
49792.25    -0.553734    -0.304561    -1.977684
49792.50    -0.496169    -0.099106    -1.679754
49792.75    -0.524882    -0.180074    -1.819343
49793.00    -0.123926    -0.162291    -1.508870
49793.25    -0.142073    -0.217075    -1.742669
49793.50     0.230962    -0.004361    -0.992048
49793.75     0.468236    -0.120993    -0.699820
49794.00     1.055562    -0.191832    -0.327107
49794.25     1.254837    -0.245890    -0.491926
49794.50     1.658641    -0.048925    -0.159442
49794.75     1.712411    -0.174185    -0.361984
49795.00     2.055450    -0.098878     0.423181
49795.25     2.106216    -0.121408     0.302787
49795.50     2.230415     0.067388     0.555783
49795.75     1.864545    -0.010508     0.487657
49796.00     1.891959     0.087798     1.521223
49796.25     1.491492     0.086599     1.604919
49796.50     1.222536     0.353940     2.486493
49796.75     0.777472     0.378730     3.431997
49797.00     0.691275     0.506283     4.908076
49797.25     0.020690     0.544033     5.155412
49797.50    -0.131606     0.848967     6.223562
49797.75    -0.643117     0.786290     6.539532
49798.00    -0.657024     0.717044     7.053974
49798.25    -0.973070     0.660912     6.774967
49798.50    -1.005286     0.851888     7.051732
49798.75    -1.238398     0.688275     6.498538
49799.00    -0.984993     0.588243     5.961739
49799.25    -1.074720     0.470062     5.180653
49799.50    -1.012723     0.537506     4.607591
49799.75    -1.172585     0.350301     3.671024
49800.00    -0.643264     0.357376     3.498031
49800.25    -0.640460     0.214470     2.631968
49800.50    -0.338116     0.327970     2.505140
49800.75    -0.178668     0.187943     2.060129
49801.00     0.352444     0.148511     1.909824
49801.25     0.444866     0.073138     1.315243
49801.50     0.900230     0.355948     1.641019
49801.75     1.037456     0.396852     1.901159
49802.00     1.416267     0.413549     1.679756
49802.25     1.445199     0.347178     1.098797
49802.50     1.692118     0.500426     0.788331
49802.75     1.458448     0.464937     0.442440
49803.00     1.762264     0.462226     0.381342
49803.25     1.654376     0.376119    -0.223173
49803.50     1.715501     0.534921    -0.311824
49803.75     1.353804     0.372178    -0.878515
49804.00     1.512787     0.356437    -0.656595
49804.25     1.186510     0.183368    -0.896805
49804.50     1.224375     0.266995    -0.493498
49804.75     1.007874     0.146031    -0.095167
49805.00     1.240149     0.119812     0.505357
49805.25     1.052261     0.011771     0.147413
49805.50     1.065589     0.125942     0.220964
49805.75     0.605287     0.025184    -0.056079
49806.00     0.445954    -0.006358     0.302170
49806.25     0.068323    -0.041350     0.317221
49806.50    -0.060000     0.164979     0.894567
49806.75    -0.443539    -0.016682     0.817346
49807.00    -0.267169    -0.053793     1.386520
49807.25    -0.383398    -0.101637     1.595010
49807.50    -0.288754     0.058728     2.222772
49807.75    -0.402199    -0.063429     2.282970
49808.00    -0.036550    -0.049989     2.532745
49808.25     0.044706    -0.100434     2.228149
49808.50     0.376726     0.096493     2.359634
49808.75     0.460808     0.077175     2.281103
49809.00     0.895171     0.139969     2.487114
49809.25     1.022981     0.109777     1.913927
49809.50     1.323960     0.309500     1.910243
49809.75     1.249903     0.168950     1.491072
49810.00     1.440360     0.134477     1.578035
49810.25     1.185482     0.012492     0.795101
49810.50     1.142848     0.113328     0.616356
49810.75     0.794159     0.064350     0.671440
49811.00     0.738297     0.189027     1.721541
49811.25     0.397318     0.211596     2.322914
49811.50     0.258023     0.547379     4.208638
49811.75    -3.604341    -2.002374    -1.259753
49812.00    -0.150967    -0.071835     4.300405
49812.25    -0.381291    -0.317104     2.873372
49812.50    -0.417965    -0.196417     2.647925
49812.75    -0.660918    -0.337528     2.477843
49813.00    -0.290269    -0.350857     2.071829
49813.25    -0.057928    -0.360327     0.824341
49813.50     0.201671    -0.027307     0.704403
49813.75     0.086129     0.056173     1.027693
49814.00     0.295612     0.224539     1.486980
49814.25     0.153464     0.307067     1.227599
49814.50     0.241037     0.473315     1.236634
49814.75     0.129372     0.308813     0.883132
49815.00     0.310424     0.322125     1.014490
49815.25     0.243287     0.312750     0.789563
49815.50     0.208870     0.499442     1.053942
49815.75    -0.031210     0.452427     1.530407
49816.00    -0.086734     0.473578     2.228398
49816.25    -0.290683     0.435862     2.324892
49816.50    -0.269279     0.573860     2.981191
49816.75    -0.482450     0.326525     2.878675
49817.00    -0.116846     0.039334     2.334049
49817.25    -0.220616    -0.403122     0.095013
49817.50    -0.023649    -0.480933    -1.573476
49817.75    -0.114684    -0.720315    -2.805809
49818.00     0.106210    -0.675587    -2.882834
49818.25     0.123849    -0.709918    -3.695587
49818.50     0.280154    -0.425959    -3.939019
49818.75     0.061934    -0.409072    -4.024744
49819.00     0.151816    -0.212651    -3.276917
49819.25    -0.176949    -0.110932    -3.078325
49819.50    -0.298839     0.172641    -2.297838
49819.75    -0.713191     0.140656    -1.711828
49820.00    -0.868716     0.275831    -0.216165
49820.25    -1.311088     0.379565     1.038932
49820.50    -1.397975     0.530171     2.315780
49820.75    -1.648396     0.361283     2.336568
49821.00    -1.450178     0.329573     2.451895
49821.25    -1.500833     0.274188     1.880816
49821.50    -1.334975     0.475301     1.892102
49821.75    -1.484648     0.395072     1.344796
49822.00    -1.300799     0.343521     0.981760
49822.25    -1.443210     0.327927     0.626417
49822.50    -1.386619     0.538008     0.814145
49822.75    -1.484172     0.512012     0.937141
49823.00    -1.170637     0.518362     0.998988
49823.25    -1.082723     0.523795     0.742535
49823.50    -0.795355     0.685304     0.654924
49823.75    -0.751282     0.542987    -0.136224
49824.00    -0.439347     0.445582    -0.604912
49824.25    -0.573435     0.311698    -1.386253
49824.50    -0.481039     0.431592    -1.462710
49824.75    -0.597830     0.367504    -1.437148
49825.00    -0.349766     0.375189    -0.980038
49825.25    -0.298343     0.331584    -1.428577
49825.50    -0.087584     0.485206    -1.395150
49825.75    -0.195980     0.457656    -1.304974
49826.00    -0.079693     0.652948    -0.126031
49826.25    -0.311743     0.798457     0.486903
49826.50    -0.419862     1.103147     1.500775
49826.75    -0.787933     1.075816     2.125598
49827.00    -0.811236     0.896777     2.208485
49827.25    -0.889958     0.632325     1.285618
49827.50    -0.654767     0.648906     0.744369
49827.75    -0.657085     0.481041    -0.038884
49828.00    -0.416475     0.516725    -0.146341
49828.25    -0.535593     0.511547    -0.758735
49828.50    -0.463068     0.797990    -0.428672
49828.75    -0.900034     0.838309     0.279890
49829.00    -0.912375     0.832551     1.236767
49829.25    -1.287972     0.688155     1.202532
49829.50    -1.424597     0.717045     1.419365
49829.75    -1.648000     0.463314     1.233931
49830.00    -1.393025     0.276711     0.843727
49830.25    -1.568317     0.122345     0.000890
49830.50    -1.352620     0.328494     0.100694
49830.75    -1.400289     0.274286     0.058927
49831.00    -1.096914     0.400592     0.518692
49831.25    -1.090245     0.499297     0.355628
49831.50    -0.846546     0.805184     1.009972
49831.75    -0.902949     0.849727     1.349186
49832.00    -0.485709     0.908168     1.738069
49832.25    -0.479654     0.854050     1.145568
49832.50    -0.235294     0.872696     0.680407
49832.75    -0.315548     0.736333     0.292222
49833.00     0.012533     0.668974     0.474961
49833.25     0.008503     0.526023    -0.347698
49833.50     0.184289     0.633301    -0.683132
49833.75    -0.006793     0.443213    -1.394479
49834.00     0.115853     0.397480    -1.435435
49834.25     0.062691     0.287485    -2.092111
49834.50     0.123227     0.500878    -1.888337
49834.75    -0.144809     0.468759    -1.503818
49835.00    -0.057014     0.530822    -0.739426
49835.25    -0.128210     0.473488    -0.542560
49835.50    -0.197232     0.607937    -0.275709
49835.75    -0.291003     0.448459    -0.403377
49836.00     0.018194     0.436871    -0.247695
49836.25    -0.130157     0.334048    -0.642129
49836.50    -0.065196     0.434746    -0.754520
49836.75    -0.162289     0.266737    -0.920331
49837.00     0.113098     0.234661    -0.752693
49837.25     0.155736     0.219680    -0.728088
49837.50     0.326740     0.420085    -0.503929
49837.75     0.111052     0.331274    -0.572844
49838.00     0.195796     0.325486    -0.154038
49838.25     0.156563     0.292644    -0.011939
49838.50     0.208376     0.460023     0.573815
49838.75    -0.080560     0.307705     0.653449
49839.00     0.097820     0.326158     1.347637
49839.25     0.007423     0.292531     1.075893
49839.50     0.084516     0.454545     1.282636
49839.75    -0.242900     0.308894     1.041047
49840.00    -0.201363     0.282008     1.348951
49840.25    -0.358174     0.193103     0.798905
49840.50    -0.180559     0.274468     0.566833
49840.75    -0.310393     0.117074     0.114605
49841.00    -0.065439     0.087574     0.197068
49841.25     0.057432     0.050720    -0.347755
49841.50     0.448614     0.278803    -0.508446
49841.75     0.336582     0.280615    -0.604252
49842.00     0.529431     0.371143     0.138643
49842.25     0.470763     0.412642     0.451119
49842.50     0.472433     0.605763     0.870308
49842.75     0.275068     0.526605     1.048681
49843.00     0.418503     0.520521     1.809193
49843.25     0.320080     0.403302     1.765838
49843.50     0.491484     0.447757     1.771052
49843.75     0.451735     0.253839     1.261646
49844.00     0.468366     0.174505     0.675278
49844.25     0.289501     0.038075    -0.208631
49844.50     0.475173     0.141379    -0.212786
49844.75     0.346000     0.120931    -0.083739
49845.00     0.682798     0.127402     0.039019
49845.25     0.618661     0.121121    -0.449449
49845.50     0.975635     0.370720    -0.630699
49845.75     0.846732     0.294784    -1.183140
49846.00     1.140180     0.390048    -1.019491
49846.25     1.062604     0.403282    -1.327552
49846.50     1.363036     0.612911    -1.226264
49846.75     1.283961     0.671345    -0.761766
49847.00     1.512037     0.852126     0.221140
49847.25     1.386247     0.907072     0.244294
49847.50     1.530405     1.170739     0.726094
49847.75     1.227526     1.033504     0.729580
49848.00     1.247757     1.069279     1.476924
49848.25     1.007619     1.099657     1.907789
49848.50     1.003022     1.332866     2.725409
49848.75     0.642013     1.130525     2.813999
49849.00     0.572990     1.028750     3.410212
49849.25     0.324839     0.904340     3.412419
49849.50     0.310576     1.006923     3.459272
49849.75     0.142191     0.827676     3.086759
49850.00     0.303106     0.773894     3.025572
49850.25     0.281780     0.684061     2.156290
49850.50     0.426342     0.821314     1.430276
49850.75     0.387711     0.663520     0.275476
49851.00     0.607807     0.682496     0.200835
49851.25     0.578948     0.669889    -0.179828
49851.50     0.725587     0.935025     0.285951
49851.75     0.426871     0.878992     0.727043
49852.00     0.484617     0.928791     1.706494
49852.25     0.419748     0.907469     1.870787
49852.50     0.427521     1.073011     2.217973
49852.75     0.343072     0.842096     1.857865
49853.00     0.754465     0.784420     2.224347
49853.25     0.731288     0.651789     1.706155
49853.50     0.883454     0.772092     1.767918
49853.75     0.719745     0.741175     1.780163
49854.00     0.828904     0.844180     2.439837
49854.25     0.557427     0.888605     2.314300
49854.50     0.544982     1.191082     2.834390
49854.75     0.069034     1.228454     3.312688
49855.00    -0.138345     1.249824     4.348982
49855.25    -0.524727     1.116272     4.191098
49855.50    -0.624228     1.140651     4.050549
49855.75    -1.166569     0.972072     3.476465
49856.00    -1.353857     0.899132     3.498950
49856.25    -1.667402     0.812535     3.105731
49856.50    -1.671776     0.910495     3.115321
49856.75    -2.036835     0.652997     2.793466
49857.00    -2.059915     0.553864     2.769223
49857.25    -2.218936     0.408699     2.274749
49857.50    -2.089607     0.505044     2.063676
49857.75    -2.119403     0.411965     1.545768
49858.00    -1.748046     0.504755     1.591815
49858.25    -1.626553     0.530210     0.882511
49858.50    -1.448635     0.721812     0.766381
49858.75    -1.556182     0.620575     0.668027
49859.00    -1.256762     0.578405     0.934307
49859.25    -1.241612     0.369258    -0.044271
49859.50    -0.958437     0.380042    -0.581202
49859.75    -1.073379     0.122222    -1.466846
49860.00    -0.890631     0.046266    -1.771755
49860.25    -0.877938    -0.053120    -2.421896
49860.50    -0.670127     0.064828    -2.754260
49860.75    -0.958922    -0.000632    -2.699151
49861.00    -0.874980     0.111826    -1.819225
49861.25    -1.070937     0.130451    -1.584116
49861.50    -1.030951     0.307353    -0.880498
49861.75    -1.095057     0.157953    -0.837697
49862.00    -0.723340     0.143684    -0.718532
49862.25    -0.503115     0.027905    -1.460515
49862.50    -0.202268     0.109164    -2.165957
49862.75    -0.348947    -0.089018    -2.953884
49863.00    -0.153728    -0.081181    -2.633150
49863.25    -0.231306    -0.153871    -3.251380
49863.50    -0.052460    -0.025000    -3.127093
49863.75    -0.233032    -0.195021    -3.463804
49864.00    -0.137757    -0.176276    -3.040283
49864.25    -0.302820    -0.226363    -3.657838
49864.50    -0.125087    -0.072093    -3.744168
49864.75    -0.371157    -0.157837    -4.079565
49865.00    -0.282296    -0.131774    -3.807976
49865.25    -0.299860    -0.137280    -4.231797
49865.50    -0.091404     0.082061    -3.966412
49865.75    -0.373960     0.039441    -3.708620
49866.00    -0.180173     0.198918    -2.316103
49866.25    -0.212855     0.370697    -1.380293
49866.50    -0.112010     0.699732     0.051325
49866.75    -0.446899     0.620989     1.057588
49867.00    -0.386248     0.529541     1.890486
49867.25    -0.506148     0.397442     1.661389
49867.50    -0.387713     0.542350     1.804440
49867.75    -0.541085     0.397847     1.547810
49868.00    -0.493520     0.347452     1.438938
49868.25    -0.664967     0.262591     0.722842
49868.50    -0.600910     0.406748     0.657567
49868.75    -0.878589     0.307128     0.321284
49869.00    -0.795537     0.316502     0.466038
49869.25    -0.694717     0.235055    -0.251526
49869.50    -0.315325     0.366876    -0.409488
49869.75    -0.363200     0.265390    -0.650091
49870.00    -0.120990     0.298861    -0.321017
49870.25    -0.043930     0.332325    -0.986622
49870.50     0.204567     0.519687    -1.005439
49870.75     0.085219     0.460537    -0.976143
49871.00     0.223601     0.457642    -0.390597
49871.25     0.152520     0.518297    -0.295049
49871.50     0.278719     0.675143     0.044614
49871.75     0.040722     0.596099     0.183438
49872.00     0.198847     0.562505     0.548909
49872.25     0.379910     0.528368     0.386848
49872.50     0.605480     0.618678     0.128127
49872.75     0.534039     0.441758    -0.303268
49873.00     0.810568     0.493258     0.172618
49873.25     0.952181     0.532246     0.198934
