-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
DUBO        49718.000    1995     1     1     0
DUBO        52274.750    2001    12    31    18
DUBO      -417603.554 -4064529.811  4881432.198
49753.00     0.208386    -0.540721    -4.962155
49753.25     0.085465    -0.552960    -4.709444
49753.50    -0.003952    -0.518022    -4.661814
49753.75    -0.184114    -0.582385    -4.609895
49754.00    -0.154075    -0.599681    -3.511286
49754.25    -0.169223    -0.661140    -2.308968
49754.50    -0.014950    -0.762784    -1.306356
49754.75     0.072749    -0.948801    -1.663036
49755.00     0.298932    -1.063096    -2.100023
49755.25     0.289857    -1.166565    -3.182579
49755.50     0.191398    -1.110429    -3.964510
49755.75    -0.143801    -1.095393    -4.959624
49756.00    -0.288433    -0.859519    -3.948456
49756.25    -0.504031    -0.633815    -2.565658
49756.50    -0.598140    -0.550434    -0.506764
49756.75    -0.686654    -0.674130     0.626544
49757.00    -0.411601    -0.711842     2.293011
49757.25    -0.312113    -0.770798     2.758616
49757.50    -0.251752    -0.622423     3.827837
49757.75    -0.097779    -0.491424     4.924943
49758.00     0.414009    -0.659659     6.456241
49758.25     0.504795    -1.062269     5.724475
49758.50     0.496835    -1.079221     5.604682
49758.75     0.475957    -1.107860     3.901425
49759.00     0.601581    -1.024041     3.506586
49759.25     0.429906    -1.123266     2.527852
49759.50     0.307392    -1.126340     1.773321
49759.75     0.130881    -1.097279     0.507872
49760.00     0.152889    -0.961531     0.332220
49760.25    -0.023518    -0.904995     0.015539
49760.50    -0.149543    -0.834825     0.064157
49760.75    -0.409333    -0.760157    -0.109199
49761.00    -0.406059    -0.600062     0.498010
49761.25    -0.674961    -0.512246     0.822260
49761.50    -0.746477    -0.428679     1.297058
49761.75    -0.978518    -0.273213     1.197092
49762.00    -0.880089    -0.026869     2.135493
49762.25    -0.862621     0.190422     2.685723
49762.50    -0.755117     0.416077     3.788905
49762.75    -0.574062     0.541673     4.526773
49763.00    -0.190498     0.527550     5.929813
49763.25    -0.051211     0.342659     6.052219
49763.50    -0.014494     0.064212     6.050808
49763.75    -0.171367    -0.106219     4.489749
49764.00    -0.193038    -0.119827     3.656065
49764.25    -0.336816    -0.126379     1.950034
49764.50    -0.352880    -0.059501     0.851115
49764.75    -0.586232     0.046583    -0.700067
49765.00    -0.674782     0.200094    -0.270946
49765.25    -0.808272     0.288759     0.131675
49765.50    -0.821719     0.314645     0.182280
49765.75    -0.833712     0.508757    -1.307969
49766.00    -0.652641     0.711495    -0.074742
49766.25    -0.483695     0.774999     1.321678
49766.50    -0.278121     0.449946     2.665530
49766.75    -0.319322    -0.090860     0.742502
49767.00    -0.380325    -0.272950    -1.338780
49767.25    -0.618923    -0.108343    -2.736048
49767.50    -0.722097     0.262097    -1.820625
49767.75    -0.727029     0.386684     0.080770
49768.00    -0.459226    -0.009648     2.557093
49768.25    -0.236024    -0.529523     1.569210
49768.50    -0.129118    -0.663293    -0.059380
49768.75    -0.311050    -0.567625    -2.479392
49769.00    -0.296224    -0.120188    -2.903699
49769.25    -0.499305     0.276669    -2.177147
49769.50    -0.516335     0.532242     0.203357
49769.75    -0.588097     0.456245     1.920017
49770.00    -0.437977     0.160272     3.274578
49770.25    -0.369948    -0.057103     3.464755
49770.50    -0.175020    -0.156542     3.276927
49770.75    -0.116316    -0.281704     2.549174
49771.00     0.134636    -0.426634     3.092552
49771.25     0.232808    -0.690005     1.607710
49771.50     0.323907    -0.758879    -0.410847
49771.75     0.124501    -0.694068    -3.111677
49772.00     0.133534    -0.449716    -4.034214
49772.25     0.010950    -0.256126    -4.564490
49772.50     0.059211    -0.075215    -4.065899
49772.75     0.223928     0.014849    -4.736690
49773.00     0.469294     0.134579    -4.262228
49773.25     0.513947     0.253231    -3.834544
49773.50     0.686387     0.363820    -3.519400
49773.75     0.755557     0.404959    -4.116231
49774.00     0.830604     0.369914    -3.610475
49774.25     0.679855     0.366512    -3.984255
49774.50     0.577120     0.322948    -3.749671
49774.75     0.439638     0.156221    -4.944533
49775.00     0.594335    -0.005435    -5.100761
49775.25     0.638084    -0.229753    -6.192601
49775.50     0.706278    -0.385912    -7.046134
49775.75     0.646312    -0.418997    -8.829317
49776.00     0.695214    -0.380180    -9.127950
49776.25     0.523169    -0.302522    -9.834631
49776.50     0.545162    -0.277702    -9.241484
49776.75     0.390295    -0.353105    -9.923266
49777.00     0.368405    -0.362126    -9.261992
49777.25     0.154025    -0.323338    -8.835564
49777.50     0.032040    -0.263043    -8.461499
49777.75    -0.279336    -0.173900    -8.677416
49778.00    -0.423709     0.050186    -6.587635
49778.25    -0.648550     0.220834    -4.800570
49778.50    -0.664021     0.247653    -2.317969
49778.75    -0.548473     0.195103    -1.870884
49779.00    -0.174569     0.246730    -0.703644
49779.25     0.046051     0.071764    -0.508766
49779.50     0.250325    -0.151885    -1.382229
49779.75     0.316232    -0.173412    -4.287341
49780.00     0.515781    -0.032395    -5.444982
49780.25     0.557092     0.153652    -6.704721
49780.50     0.720860     0.261682    -7.756950
49780.75     0.813655     0.372056    -8.880187
49781.00     0.960853     0.478927    -8.224205
49781.25     1.002072     0.594189    -8.219457
49781.50     1.102093     0.693714    -7.049136
49781.75     1.086819     0.683818    -6.426767
49782.00     1.159260     0.620369    -5.167235
49782.25     1.094652     0.507110    -5.058132
49782.50     1.172827     0.385777    -5.018425
49782.75     1.103612     0.237742    -6.158137
49783.00     1.119941     0.135592    -5.950355
49783.25     0.973807     0.029270    -6.104187
49783.50     0.934361    -0.058868    -5.837131
49783.75     0.722428    -0.183342    -6.783643
49784.00     0.608940    -0.155756    -6.198242
49784.25     0.303358    -0.112941    -6.388305
49784.50     0.145737     0.108905    -6.524258
49784.75    -0.107554     0.362086    -7.596688
49785.00    -0.185036     0.733295    -6.537571
49785.25    -0.303769     1.075522    -5.386488
49785.50    -0.298029     1.468742    -3.351602
49785.75    -0.372368     1.594153    -1.413498
49786.00    -0.282223     1.533637     1.276853
49786.25    -0.323221     1.451422     2.366701
49786.50    -0.266723     1.486942     3.642066
49786.75    -0.528984     1.436998     4.456895
49787.00    -0.630273     1.304319     5.712001
49787.25    -0.684975     1.138458     6.023814
49787.50    -0.503023     1.205494     5.881011
49787.75    -0.456879     1.307238     5.713220
49788.00    -0.356022     1.382687     7.154287
49788.25    -0.479252     1.299162     7.508171
49788.50    -0.536673     1.155424     7.516058
49788.75    -0.530770     0.907214     6.219509
49789.00    -0.255343     0.712788     5.313748
49789.25    -0.124935     0.601186     3.861802
49789.50     0.030340     0.549553     3.112445
49789.75     0.014654     0.491823     1.401858
49790.00     0.082651     0.352500     0.821781
49790.25    -0.026315     0.170790    -1.115258
49790.50     0.035522     0.170824    -2.974415
49790.75     0.016102     0.208137    -5.361962
49791.00     0.104123     0.282625    -5.550830
49791.25     0.092326     0.270935    -5.903496
49791.50     0.213054     0.304666    -5.695527
49791.75     0.224089     0.271082    -6.286510
49792.00     0.439863     0.272026    -5.421949
49792.25     0.484048     0.231137    -5.366990
49792.50     0.592113     0.273967    -4.762543
49792.75     0.558069     0.295946    -4.954449
49793.00     0.570850     0.323648    -3.473331
49793.25     0.380913     0.302065    -3.499912
49793.50     0.166495     0.306939    -3.312595
49793.75    -0.085130     0.382318    -4.358247
49794.00    -0.013211     0.463140    -3.814243
49794.25    -0.089768     0.575964    -3.458538
49794.50    -0.147061     0.640010    -2.136141
49794.75    -0.243996     0.607336    -1.611326
49795.00    -0.116731     0.566944     0.523918
49795.25    -0.130445     0.512568     1.587974
49795.50    -0.057342     0.450654     2.911720
49795.75    -0.054881     0.272972     3.197942
49796.00     0.061462     0.167473     4.580537
49796.25     0.027525     0.061500     5.263548
49796.50     0.026522    -0.029834     6.489550
49796.75    -0.123018    -0.089568     6.672004
49797.00    -0.107380    -0.039107     7.643587
49797.25    -0.102903    -0.028111     7.699586
49797.50    -0.057605     0.032977     7.716136
49797.75    -0.054364     0.110512     6.263893
49798.00     0.123791     0.260003     6.144352
49798.25     0.206770     0.270849     5.469232
49798.50     0.368606     0.360655     5.327014
49798.75     0.403857     0.309207     4.083905
49799.00     0.464679     0.244825     3.811383
49799.25     0.395009     0.187914     2.716059
49799.50     0.387761     0.267098     1.776666
49799.75     0.236930     0.291661     0.009170
49800.00     0.384462     0.406316     0.027858
49800.25     0.417536     0.445701    -1.170604
49800.50     0.566885     0.559643    -1.694406
49800.75     0.700474     0.574877    -2.557397
49801.00     0.947438     0.583707    -2.252212
49801.25     0.915895     0.562997    -3.418422
49801.50     0.994047     0.640257    -3.429833
49801.75     0.907775     0.552493    -4.299603
49802.00     1.010804     0.400091    -4.197711
49802.25     1.074931     0.239504    -5.426891
49802.50     1.247301     0.178519    -5.841813
49802.75     1.298499     0.047948    -6.748237
49803.00     1.425335    -0.054619    -6.662703
49803.25     1.497365    -0.150867    -6.943978
49803.50     1.591769    -0.212899    -7.007390
49803.75     1.525514    -0.337217    -7.978793
49804.00     1.498811    -0.406089    -8.048111
49804.25     1.304439    -0.426513    -9.213928
49804.50     1.236787    -0.405545    -9.397035
49804.75     0.972445    -0.381574    -9.820356
49805.00     0.812282    -0.318175    -8.591950
49805.25     0.549382    -0.228915    -8.247013
49805.50     0.395230    -0.135797    -6.692347
49805.75     0.172434    -0.192173    -5.883862
49806.00     0.085028    -0.220353    -4.100268
49806.25    -0.117926    -0.225145    -3.618765
49806.50    -0.152970    -0.196075    -2.503465
49806.75    -0.361228    -0.178981    -2.463113
49807.00    -0.310001    -0.117804    -1.299661
49807.25    -0.429232    -0.061317    -0.882565
49807.50    -0.409481    -0.010310     0.158031
49807.75    -0.389455    -0.074011     0.209293
49808.00    -0.221342    -0.124244     1.350520
49808.25    -0.260413    -0.120639     1.415902
49808.50    -0.294095    -0.026679     1.985210
49808.75    -0.387112     0.069218     1.518267
49809.00    -0.275767     0.225270     2.629833
49809.25    -0.326716     0.369911     2.890442
49809.50    -0.220929     0.442598     4.502156
49809.75    -0.280088     0.126116     5.487730
49810.00    -0.004804    -0.324119     5.856274
49810.25     0.145598    -0.628438     3.968240
49810.50     0.495991    -0.715919     1.865742
49810.75     0.204502    -1.004619    -1.374592
49811.00     0.072299    -0.784679    -2.840155
49811.25    -0.284196    -0.663816    -3.322691
49811.50    -0.531947    -0.471704    -2.739687
49811.75    -0.698758    -1.244380    -3.553842
49812.00    -0.491430     0.080551    -0.140460
49812.25    -0.364022     0.408297     0.895643
49812.50    -0.027895     0.637830     2.895024
49812.75     0.205360     0.541736     3.667583
49813.00     0.460853     0.359972     3.895091
49813.25     0.337149     0.215829     2.558389
49813.50     0.239037     0.294243     1.678291
49813.75     0.080174     0.397858     0.605921
49814.00     0.200577     0.476832     1.247166
49814.25     0.242470     0.441095     0.778418
49814.50     0.374621     0.415678     0.627749
49814.75     0.425357     0.305420    -0.145486
49815.00     0.624217     0.253308    -0.151657
49815.25     0.587915     0.200406    -0.912131
49815.50     0.627637     0.203148    -1.151214
49815.75     0.561732     0.141460    -1.825785
49816.00     0.737740     0.203467    -1.227117
49816.25     0.668115     0.209252    -1.971065
49816.50     0.694429     0.187394    -2.373254
49816.75     0.622291     0.169884    -3.671107
49817.00     0.560613     0.177684    -3.724463
49817.25     0.326264     0.239579    -5.027030
49817.50     0.264062     0.364240    -5.310731
49817.75     0.124017     0.429250    -5.423839
49818.00     0.151039     0.495800    -3.657523
49818.25     0.087865     0.579926    -2.951335
49818.50     0.279241     0.618463    -1.539883
49818.75     0.311033     0.527456    -0.621970
49819.00     0.428132     0.390676     1.381726
49819.25     0.466670     0.150099     2.060199
49819.50     0.445286    -0.048109     2.738414
49819.75     0.198100    -0.214664     2.115773
49820.00     0.112491    -0.217639     2.065228
49820.25     0.008576    -0.296485     1.349766
49820.50     0.088632    -0.216575     0.758671
49820.75     0.119201    -0.046828    -0.475412
49821.00     0.334160     0.217586    -0.311301
49821.25     0.432540     0.443046    -0.878440
49821.50     0.684003     0.734871    -0.722845
49821.75     0.884292     0.834645    -0.831996
49822.00     1.157543     0.851274    -0.472829
49822.25     1.236911     0.826253    -1.534381
49822.50     1.454911     0.878722    -1.502114
49822.75     1.384183     0.776934    -1.943384
49823.00     1.398250     0.645806    -1.470435
49823.25     1.308913     0.555466    -2.419068
49823.50     1.305812     0.577257    -2.968463
49823.75     1.113434     0.535951    -3.630585
49824.00     1.074023     0.581752    -3.062483
49824.25     0.935266     0.591829    -2.887462
49824.50     0.930391     0.653901    -2.388772
49824.75     0.883388     0.658971    -2.624852
49825.00     1.058360     0.666574    -1.813659
49825.25     1.116463     0.585408    -1.596962
49825.50     1.367167     0.511434    -0.925726
49825.75     1.372947     0.265729     0.179781
49826.00     1.186407     0.065031     1.400293
49826.25     0.808823    -0.025762     0.805246
49826.50     0.598056     0.054204     0.858232
49826.75     0.409089     0.180744     0.312281
49827.00     0.520999     0.389028     1.352949
49827.25     0.488591     0.481942     1.038042
49827.50     0.703920     0.569148     1.219980
49827.75     0.821074     0.491752     0.593335
49828.00     1.054478     0.336382     1.051157
49828.25     1.115231     0.081450     0.048334
49828.50     1.184890    -0.158224    -0.293249
49828.75     1.020084    -0.402240    -1.440388
49829.00     0.898296    -0.476387    -1.973627
49829.25     0.601463    -0.476805    -3.107554
49829.50     0.494274    -0.442002    -3.507985
49829.75     0.425943    -0.382486    -3.837141
49830.00     0.580407    -0.323968    -3.113187
49830.25     0.581753    -0.326014    -3.154368
49830.50     0.690283    -0.335823    -2.648488
49830.75     0.709210    -0.338552    -2.784133
49831.00     0.837294    -0.272987    -1.843950
49831.25     0.786814    -0.222939    -1.936865
49831.50     0.886795    -0.144169    -1.459716
49831.75     0.968116    -0.109665    -1.801275
49832.00     1.167279    -0.068771    -1.311309
49832.25     1.136328    -0.112432    -1.911940
49832.50     1.154029    -0.136003    -2.016623
49832.75     1.067063    -0.193657    -2.541954
49833.00     1.047754    -0.194558    -2.072489
49833.25     0.803872    -0.166594    -2.320220
49833.50     0.772637    -0.113475    -2.000097
49833.75     0.763906    -0.026625    -2.207078
49834.00     0.927904     0.107463    -1.710372
49834.25     0.866136     0.161712    -1.938205
49834.50     0.956573     0.226347    -1.942840
49834.75     0.934068     0.197152    -2.932498
49835.00     1.044181     0.208908    -2.954722
49835.25     0.976784     0.152515    -3.258845
49835.50     1.022213     0.137348    -3.335751
49835.75     1.006093     0.085243    -3.875494
49836.00     1.127592     0.075261    -3.696066
49836.25     1.058520     0.079763    -4.377515
49836.50     1.118677     0.116382    -4.537955
49836.75     0.994280     0.116471    -5.437191
49837.00     0.982264     0.149666    -5.004894
49837.25     0.806005     0.132686    -5.490819
49837.50     0.830040     0.146538    -5.270117
49837.75     0.736128     0.061695    -5.771227
49838.00     0.744031     0.024397    -5.192648
49838.25     0.531391    -0.003330    -5.449727
49838.50     0.421041     0.098689    -4.556096
49838.75     0.327852     0.158739    -3.701144
49839.00     0.366831     0.254735    -1.870365
49839.25     0.322153     0.277851    -1.177905
49839.50     0.367869     0.304480    -0.656285
49839.75     0.379093     0.233509    -0.630682
49840.00     0.504287     0.185815     0.203439
49840.25     0.434409     0.097698    -0.558007
49840.50     0.442265     0.055632    -0.771663
49840.75     0.442534    -0.019615    -1.670839
49841.00     0.523470    -0.016730    -1.481153
49841.25     0.442833    -0.053210    -2.399710
49841.50     0.452413    -0.062265    -2.836081
49841.75     0.289826    -0.126042    -3.774849
49842.00     0.281304    -0.120109    -2.961435
49842.25     0.122687    -0.168342    -3.531289
49842.50     0.061387    -0.139788    -3.870193
49842.75     0.055159    -0.038533    -4.177139
49843.00     0.241489     0.185493    -2.825515
49843.25     0.214828     0.321915    -3.185037
49843.50     0.291621     0.497896    -2.763773
49843.75     0.399378     0.663038    -2.394453
49844.00     0.559856     0.727609    -1.055679
49844.25     0.563673     0.776919    -1.336224
49844.50     0.693040     0.892686    -0.962448
49844.75     0.750536     0.873544    -1.366222
49845.00     0.926800     0.804402    -0.798122
49845.25     1.061952     0.763913    -1.507772
49845.50     1.233554     0.748765    -1.501261
49845.75     1.286197     0.653067    -2.293202
49846.00     1.302443     0.557070    -1.523168
49846.25     1.264905     0.425265    -2.025743
49846.50     1.346461     0.355339    -1.847440
49846.75     1.194020     0.170710    -2.007969
49847.00     1.078048     0.111222    -1.368376
49847.25     0.917737     0.059346    -1.583400
49847.50     0.828845     0.054799    -1.210368
49847.75     0.605124     0.017145    -0.842936
49848.00     0.550285     0.127755     0.852098
49848.25     0.444011     0.129161     1.681059
49848.50     0.495863     0.176226     2.448877
49848.75     0.581230     0.185207     2.621626
49849.00     0.770929     0.316169     3.781684
49849.25     0.820770     0.348562     3.840373
49849.50     1.043707     0.424015     4.011392
49849.75     1.127496     0.435709     3.251527
49850.00     1.247589     0.459001     3.653404
49850.25     1.213474     0.447802     3.263985
49850.50     1.350140     0.447778     3.667508
49850.75     1.305163     0.342746     3.610847
49851.00     1.234662     0.217388     4.418812
49851.25     0.848156    -0.050689     3.894089
49851.50     0.514553    -0.141848     3.575077
49851.75     0.219381    -0.156388     2.328555
49852.00     0.238289    -0.101337     2.322639
49852.25     0.116541     0.003389     1.099039
49852.50     0.217990     0.243683     0.795667
49852.75     0.330611     0.475235     0.780375
49853.00     0.605989     0.567959     2.572882
49853.25     0.740018     0.452357     3.163263
49853.50     0.809286     0.215876     3.539457
49853.75     0.656734     0.046145     2.670554
49854.00     0.623996     0.046894     3.458400
49854.25     0.520112    -0.054218     3.274982
49854.50     0.488872    -0.076449     3.488546
49854.75     0.437506    -0.136241     3.079090
49855.00     0.523998    -0.083305     3.770725
49855.25     0.517395    -0.133782     3.392161
49855.50     0.531991    -0.161148     3.113685
49855.75     0.509734    -0.238184     2.458745
49856.00     0.638304    -0.235687     3.156440
49856.25     0.610501    -0.291759     2.549132
49856.50     0.640498    -0.310631     2.459898
49856.75     0.554572    -0.487085     1.929721
49857.00     0.594733    -0.550355     2.385467
49857.25     0.397419    -0.665762     2.076130
49857.50     0.374142    -0.690325     2.380277
49857.75     0.434886    -0.621109     1.784706
49858.00     0.591029    -0.403759     1.730216
49858.25     0.544168    -0.334447     0.655714
49858.50     0.598661    -0.227084    -0.126498
49858.75     0.577599    -0.093222    -1.031355
49859.00     0.751266     0.062572    -0.381817
49859.25     0.774141     0.092096    -0.785256
49859.50     0.874714     0.072171    -0.382067
49859.75     0.803127    -0.132550    -1.031609
49860.00     0.795362    -0.162592    -1.244046
49860.25     0.747281    -0.218584    -1.812387
49860.50     0.823935    -0.190457    -2.427748
49860.75     0.814266    -0.154503    -3.541604
49861.00     0.849711    -0.073577    -3.336616
49861.25     0.763866    -0.117260    -3.925464
49861.50     0.759122    -0.075447    -4.523442
49861.75     0.626816    -0.018587    -5.240594
49862.00     0.626147     0.082725    -4.397655
49862.25     0.496883     0.127821    -4.616357
49862.50     0.512689     0.222293    -4.741956
49862.75     0.461619     0.268208    -5.198362
49863.00     0.500582     0.335951    -4.531274
49863.25     0.400997     0.387112    -5.217533
49863.50     0.398191     0.515677    -5.245239
49863.75     0.381547     0.541897    -5.171594
49864.00     0.458247     0.561265    -3.363167
49864.25     0.428126     0.559588    -3.422025
49864.50     0.543662     0.558536    -3.080632
49864.75     0.593688     0.428259    -2.741940
49865.00     0.669903     0.341831    -1.219512
49865.25     0.630855     0.221546    -1.143331
49865.50     0.591782     0.112306    -0.711002
49865.75     0.401269    -0.025958    -0.744844
49866.00     0.294688    -0.052480     0.670430
49866.25     0.104367    -0.092002     0.475694
49866.50     0.015061    -0.080993     0.282225
49866.75    -0.154895    -0.065075    -0.200154
49867.00    -0.238458     0.058542     0.916303
49867.25    -0.402182     0.095301     1.067141
49867.50    -0.456937     0.085532     1.416438
49867.75    -0.487813     0.031221     1.589303
49868.00    -0.371248     0.097005     2.901343
49868.25    -0.386787     0.094035     2.814809
49868.50    -0.292206     0.094657     2.941046
49868.75    -0.198907     0.017629     2.491681
49869.00     0.077154    -0.017390     3.159628
49869.25     0.171578    -0.002995     1.994573
49869.50     0.356458     0.092597     1.157408
49869.75     0.393609     0.180925     0.197810
49870.00     0.492321     0.317969     0.584478
49870.25     0.502454     0.389124    -0.083396
49870.50     0.571185     0.472260    -0.510477
49870.75     0.495920     0.454873    -1.101517
49871.00     0.595743     0.486338    -0.274361
49871.25     0.520028     0.457532    -1.015358
49871.50     0.553165     0.473732    -1.758182
49871.75     0.479621     0.414646    -2.236538
49872.00     0.537851     0.465245    -1.633763
49872.25     0.350987     0.473285    -1.925751
49872.50     0.298100     0.533361    -2.069931
49872.75     0.229256     0.521392    -1.958628
49873.00     0.381458     0.506157     0.243580
49873.25     0.324816     0.472971     0.677800
49873.50     0.393641     0.523414     1.458361
49873.75     0.474467     0.431522     2.345840
49874.00     0.671668     0.388450     4.443254
