"Table 6-A
"General Fund, total", 225 , 152 , 99 , 90 , 90 , 87 , 105 , 235 , 375 , 288 , 201 , 266 , 110 , 189 , 57 , 432 , 268 , 518 
Beautification Fund, 4 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Territorial Highways, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Interstate Substitution, 176 , 85 , 38 , 31 , 17 , 16 , 11 , - , - , - , - , - , - , - , - , - , - , - 
Railroad Crossing Demonstration, - , - , 18 , 12 , 10 , 11 , 14 , - , - , - , - , - , - , - , - , - , - , - 
General Support Federal Funds, 46 , 63 , 43 , 47 , 64 , 60 , 79 , - , - , - , - , - , - , - , - , - , - , - 
"National Highway Traffic Safety Administration (NHTSA), total", 203 , 212 , 208 , 206 , 225 , 248 , 238 , 242 , 242 , 261 , 278 , 264 , 286 , 304 , 331 , 329 , 369 , 414 
Operations and Research, 60 , 55 , 59 , 90 , 23 , 77 , 72 , 81 , 58 , 72 , 111 , 21 , 52 , 52 , 66 , 65 , 76 , 100 
Highway Traffic Safety Grants, 120 , 136 , 115 , 118 , 142 , 140 , 134 , 130 , 137 , 147 , 161 , 146 , 148 , 152 , 190 , 191 , 207 , 229 
Trust Fund Share of Operations & Research, 21 , 24 , 33 , (3), 60 , 32 , 32 , 28 , 42 , 41 , 6 , 97 , 86 , 100 , 75 , 73 , 86 , 85 
Miscellaneous Safety Programs, 1 , (2), 1 , 0 , 0 , 0 , 0 , 2 , 5 , 0 , - , - , - , - , - , - , - , - 
Gifts and Donations, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,,,,,,,,,,,,,,,,,,
Federal Transit Administration, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Federal Railroad Administration, 4 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Federal Motor Carriers Safety Administration, total", 9 , 14 , 26 , 47 , 54 , 65 , 62 , 64 , 63 , 60 , 66 , 73 , 78 , 73 , 87 , 155 , 199 , 275 
Motor Carriers Safety, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 56 , 77 , 104 
National Motor Carrier Saftey Program, 9 , 14 , 26 , 47 , 54 , 65 , 62 , 64 , 63 , 60 , 66 , 73 , 78 , 73 , 87 , 99 , 122 , 164 
Border Enforcement Program, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 7 
"Agencies Outside DOT, total"," 1,940 "," 1,682 "," 1,455 "," 1,328 "," 1,224 ", 910 ," 1,082 ", 930 ," 1,203 "," 1,022 ", 739 , 876 ," 1,046 "," 1,110 "," 1,052 "," 1,123 "," 1,252 "," 1,409 "
Forest Service, 405 , 362 , 434 , 421 , 441 , 187 , 230 , 217 , 208 , 260 , 187 , 176 , 181 , 216 , 205 , 302 , 493 , 481 
National Park Service, 62 , 59 , 64 , 77 , 84 , 78 , 91 , 61 , 105 , 87 , 66 , 55 , 64 , 58 , 58 , 59 , 38 , 38 
Bureau of Indian Affairs, 118 , 18 , 23 , 22 , 22 , 33 , 44 , 48 , 36 , 38 , 55 , 29 , 57 , 201 , 199 , 250 , 231 , 228 
Appalachian Development, 129 , 107 , 99 , 87 , 64 , 98 , 115 , 84 , 98 , 146 , 124 , 151 , 165 , 114 , 114 , 55 , 24 , 18 
Bureau of Reclamation, 13 , 14 , 19 , 79 , 123 , 58 , 35 , 30 , 8 , 12 , 6 , 6 , 3 , 4 , 4 , 2 , 2 , 2 
U.S. Army Corps of Engineers, 63 , 57 , 43 , 17 , 20 , 26 , 53 , 41 , 83 , 53 , 44 , 44 , 38 , 66 , 39 , 24 , 24 , 22 
Bureau of Land Management, 82 , 65 , 61 , 75 , 73 , 88 , 27 , 15 , 15 , 18 , 17 , 27 , 27 , 5 , 5 , 19 , 19 , 18 
Department of Interior, - , - , - , - , - , - , - , - , - , 5 , 5 , - , - , - , - , - , - , - 
Department of Agriculture, - , - , - , - , - , - , - , - , - , 0 , - , - , - , - , - , - , - , - 
Housing and Urban Development, 266 , 307 , 270 , 203 , 168 , 171 , 173 , 184 , 208 , 31 , 16 , 20 , 20 , 19 , 19 , 26 , 26 , 35 
"Department of Treasury, revenue sharing", 697 , 580 , 231 , 100 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Water and Power Resources Service, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Economic Development Administration, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Mineral Management Service, - , - , - , - , - , - , - , - , - , 71 , 65 , 72 , 81 , 81 , 65 , 80 , 81 , 53 
Federal Emergency Management Agency, - , - , - , - , - , - , - , - , - , 81 , 32 , 101 , 129 , 109 , 119 , 69 , 68 , 159 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Defense, 22 , 25 , 18 , 23 , 18 , 28 , 25 , 18 , 13 , 48 , 21 , 32 , 20 , 18 , 18 , 12 , 10 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Energy, - , - , - , - , - , - , - , - , 8 , 43 , 2 , 0 , 1 , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others, 84 , 91 , 192 , 223 , 209 , 142 , 289 , 232 , 420 , 130 , 99 , 165 , 260 , 219 , 206 , 225 , 237 , 344 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KEY:  ""–"" = Data not available, or no activity, or a value of zero; ""0"" = Value too small to report.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES: 
Numbers may not add to totals due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Numbers in parenthesis are negative values. The negative expenditure values are a result of offsetting collections. Offsetting collections are federal receipts from the public resulting from business-type activities, or transfers from other federal accounts. Such receipts are deducted from gross outlays of a receiving program in the budget of the U.S. Government, instead of combining them with federal receipts. Thus, the Office of Management and Budget (OMB) reports negative expenditures for some federal programs whenever offsetting collections exceed their eventual budget. This should be taken into consideration when examining total expenditures for specific federal programs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Border Enforcement Program is a new addition to this table. Some of the data in this table may be different from those in the earlier report, because of revisions made to the historical data series.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCES: 
Executive Office of the President of the United States, Office of Management and Budget, Budget of the United States Government – Appendix   (Washington, D.C.: Annual publication), and U.S. Department of Transportation, Federal Highway Administration, Highway Statistics (Washington, D.C.:  Annual publication), Table FA-5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
