tbl	quart	CityName	Origin	Total_CountOfMarket	Totalfaredpax	Total_%LFMkts	Total_Average Hub Fare	Total_%Premium	ShHaul_CountOfMarket	SHPax	ShHaul_%LFMkts	ShHaul_Average Hub Fare	ShHaul_%Premium	LgHaul_CountOfMarket	LHPax	LgHaul_%LFMkts	LgHaul_Average Hub Fare	LgHaul_%Premium
Table 7	200201	"Dayton, OH"	DAY	54	360050	0.53	160.72	-5.77	29	201050	0.49	153.01	-2.09	25	159000	0.58	170.47	-9.62
Table 7	200201	"Washington, DC"	DCA	146	1932690	0.07	196.98	26.32	66	1054120	0.02	174.17	38.59	80	878570	0.12	224.34	16.7
Table 7	200201	"Denver, CO"	DEN	145	3274690	0.51	202.84	22.99	31	823970	0.73	170.32	22.57	114	2450720	0.44	213.77	23.1
Table 7	200201	"Dallas/Ft. Worth, TX"	DFW	156	3515290	0.16	215.03	32.94	60	1036850	0.21	147.56	4.79	96	2478440	0.15	243.26	42.67
Table 7	200201	"Des Moines, IA"	DSM	46	240840	0.15	189.67	5.98	15	75800	0.16	209.54	38.79	31	165040	0.15	180.54	-5.88
Table 7	200201	"Detroit, MI"	DTW	121	2564640	0.51	178.8	10.02	60	1133190	0.42	183.44	38.61	61	1431450	0.58	175.12	-6.04
Table 7	200201	"Houston, TX"	EFD	97	15050	0	190.87	15.79	32	4220	0	137.11	4.53	65	10830	0	211.82	19.02
Table 7	200201	"Eagle, CO"	EGE	36	158100	0	221.04	16.81	3	16060	0	198.15	-0.02	33	142040	0	223.63	18.82
Table 7	200201	"El Paso, TX"	ELP	57	462560	0.79	142.25	-15.4	23	315300	0.88	113.69	-26.29	34	147260	0.58	203.4	2.77
Table 7	200201	"New York, NY"	EWR	157	3397290	0.07	220.41	21.37	60	1076340	0.06	186.97	36.17	97	2320950	0.08	235.92	16.71
Table 7	200201	"Ft. Lauderdale, FL"	FLL	122	3602970	0.72	140.45	-19.59	23	496040	0.89	111.67	-13.2	99	3106930	0.69	145.05	-20.32
Table 7	200201	"Flint, MI"	FNT	22	98960	0.79	142.87	-15.55	9	30420	0.59	148.37	-16.74	13	68540	0.88	140.42	-14.97
Table 7	200201	"Spokane, WA"	GEG	46	456080	0.85	116.13	-23.02	9	270860	0.97	77.53	-32.66	37	185220	0.67	172.57	-15.02
Table 7	200201	"Gulfport/Biloxi, MS"	GPT	22	97220	0.82	117.94	-29.14	10	69390	0.89	98.87	-38.79	12	27830	0.63	165.49	-7.37
Table 7	200201	"Grand Rapids, MI"	GRR	50	295730	0.33	187.48	6.1	25	102420	0.22	213.14	32.8	25	193310	0.38	173.88	-6.15
Table 7	200201	"Greensboro/High Point, NC"	GSO	51	360580	0.26	163.71	-0.58	34	288910	0.26	144.72	-4.84	17	71670	0.28	240.27	11.53
Table 7	200201	"Greenville/Spartanburg, SC"	GSP	46	149420	0	261	44.2	27	95800	0	242.61	41.72	19	53620	0	293.86	48.02
Table 7	200201	"Houston, TX"	HOU	130	1229610	0.95	127.4	-7.57	34	791760	0.96	99.94	-12.95	96	437850	0.94	177.06	-1.34
Table 7	200201	"White Plains, NY"	HPN	22	95530	0	305.73	77.33	11	63760	0	299.45	76.62	11	31770	0	318.32	78.67
Table 7	200201	"Harlingen, TX"	HRL	22	142510	0.94	115.68	-25.93	11	105990	0.96	98.47	-31.94	11	36520	0.88	165.63	-12.61
Table 7	200201	"Huntsville/Decatur, AL"	HSV	36	114410	0	238.46	28.07	20	69420	0	226.15	34.14	16	44990	0	257.46	20.66
Table 7	200201	"Washington, DC"	IAD	147	1249470	0.24	255.28	39.99	68	365970	0.45	161.51	21.22	79	883500	0.16	294.12	45.09
Table 7	200201	"Houston, TX"	IAH	135	2072600	0.04	206.06	25.58	38	540310	0.15	127.41	-0.75	97	1532290	0	233.8	32.33
Table 7	200201	"Indianapolis, IN"	IND	88	1234670	0.66	156.56	-10.67	47	448170	0.38	178.45	10.38	41	786500	0.82	144.08	-21.27
Table 7	200201	"Islip/Long Island, NY"	ISP	34	355380	0.95	121.44	-26.38	11	90070	0.89	88.76	-31.36	23	265310	0.98	132.53	-25.14
Table 7	200201	"Jackson/Vicksburg, MS"	JAN	42	181160	0.64	157.39	-12.18	21	110530	0.61	140.16	-17.73	21	70630	0.68	184.36	-4.5
Table 7	200201	"Jacksonville, FL"	JAX	82	880610	0.57	139.03	-16.32	29	418360	0.75	115.58	-19.69	53	462250	0.4	160.24	-13.96
Table 7	200201	"New York, NY"	JFK	151	1960280	0.66	208.9	2.44	53	209840	0.76	93.83	3.32	98	1750440	0.65	222.69	2.4
Table 7	200201	"Las Vegas, NV"	LAS	157	5496320	0.82	124.78	-28.69	29	2148190	0.97	78.69	-24.68	128	3348130	0.72	154.35	-29.91
Table 7	200201	"Los Angeles, CA"	LAX	149	5055830	0.56	186.89	2.08	27	1758500	0.86	85.73	-18.64	122	3297330	0.4	240.84	7.27
Table 7	200201	"Lubbock, TX"	LBB	21	159160	0.91	102.75	-21.93	13	135630	0.93	93.14	-24.83	8	23530	0.74	158.17	-10.17
Table 7	200201	"New York, NY"	LGA	159	3819420	0.35	177.66	19.69	59	1592440	0.12	157.99	39.1	100	2226980	0.52	191.74	10.6
Table 7	200201	"Long Beach, CA"	LGB	11	147010	0.49	174.9	-22.69	2	24490	0	72.92	-46.82	9	122520	0.58	195.29	-19.98
Table 7	200201	"Little Rock, AR"	LIT	59	349700	0.68	149.7	-10.04	26	200440	0.7	123.27	-16.23	33	149260	0.65	185.18	-3.67
Table 7	200201	"Midland/Odessa, TX"	MAF	16	122760	0.95	104.52	-30.59	13	107650	0.95	100.18	-32.67	3	15110	1	135.39	-17.1
Table 7	200201	"Kansas City, MO"	MCI	102	1692170	0.78	141.15	-13.85	41	793800	0.78	122.74	-14.67	61	898370	0.79	157.42	-13.27
Table 7	200201	"Orlando/Kissimmee, FL"	MCO	159	4803830	0.68	140.46	-19.75	38	690710	0.75	123.57	-16.23	121	4113120	0.66	143.29	-20.24
Table 7	200201	"Harrisburg, PA"	MDT	38	154710	0	215.11	16.38	15	57820	0	233.55	47.18	23	96890	0	204.11	1.83
Table 7	200201	"Chicago, IL"	MDW	144	2283250	0.99	117.33	-20.35	72	1050420	0.99	97.33	-14.4	72	1232830	0.99	134.37	-23.63
Table 7	200201	"Memphis, TN"	MEM	75	598230	0.29	200.43	20.37	42	357470	0.41	182.93	17.9	33	240760	0.12	226.41	23.47
Table 7	200201	"Mission/Mcallen, TX"	MFE	22	73000	0	182.6	1.02	6	31210	0	134.99	-17.09	16	41790	0	218.16	12.37
Table 7	200201	"Manchester, NH"	MHT	56	618550	0.77	151.44	-14.17	15	187720	0.74	134.82	3.51	41	430830	0.79	158.68	-19.28
Table 7	200201	"Miami, FL"	MIA	112	1878550	0.19	186.65	2.59	19	308750	0.63	131.93	-9.83	93	1569800	0.1	197.41	4.48
Table 7	200201	"Milwaukee, WI"	MKE	74	809420	8.17E-03	197.72	13.36	36	303820	0.01	216.72	42.24	38	505600	4.81E-03	186.3	-0.72
Table 7	200201	"Madison, WI"	MSN	44	206890	0.27	186.52	3.26	15	48170	9.55E-03	201.47	19.28	29	158720	0.36	181.98	-1.19
Table 7	200201	"Minneapolis/St.Paul, MN"	MSP	134	2511660	0.1	217.32	30.2	45	703970	0.2	212.39	62.8	89	1807690	0.06	219.24	21.05
Table 7	200201	"New Orleans, LA"	MSY	109	1767330	0.63	146.59	-10.64	40	790380	0.78	116.58	-15.38	69	976950	0.5	170.86	-7.78
Table 7	200201	"Myrtle Beach, SC"	MYR	31	159940	0.51	108.87	-39.03	23	132600	0.59	105.27	-42.21	8	27340	0.11	126.33	-21.55
Table 7	200201	"Oakland/Berkeley, CA"	OAK	66	2193360	0.93	114.01	-19.78	14	1681270	1	83.92	-24.28	52	512090	0.73	212.81	-13.08
Table 7	200201	"Oklahoma City, OK"	OKC	69	490280	0.69	153.07	-11.7	27	217030	0.73	121.43	-22.64	42	273250	0.66	178.21	-4.39
Table 7	200201	"Omaha, NE"	OMA	66	605220	0.68	149.76	-11.39	20	192420	0.67	135.69	-3.88	46	412800	0.68	156.32	-14.11
Table 7	200201	"Ontario, CA"	ONT	69	1211540	0.86	121.05	-17.06	12	696530	0.99	77.66	-24.31	57	515010	0.68	179.74	-12.14
Table 7	200201	"Chicago, IL"	ORD	153	4460080	0.14	188.49	23.33	74	1964350	0	171.14	35.75	79	2495730	0.26	202.15	16.24
Table 7	200201	"Norfolk, VA"	ORF	76	537920	0.5	157.3	-14.46	37	290900	0.56	138.48	-16.71	39	247020	0.43	179.46	-12.31
Table 7	200201	"West Palm Beach, FL"	PBI	79	1387860	0.47	156.91	-6.85	12	117130	0.4	138.91	-3.73	67	1270730	0.47	158.57	-7.09
Table 7	200201	"Portland, OR"	PDX	99	1711390	0.65	148.43	-10.02	24	612490	0.75	94.72	-22.09	75	1098900	0.6	178.36	-5.7
Table 7	200201	"Newport News/Hampton/Wmsburg, VA"	PHF	15	61840	0.93	109.32	-36.19	8	47170	0.93	100.37	-39.81	7	14670	0.94	138.1	-25.76
Table 7	200201	"Philadelphia, PA"	PHL	123	2516590	0.32	202.39	17.11	54	994930	0.27	192.02	45.34	69	1521660	0.35	209.18	4.89
Table 7	200201	"Phoenix, AZ"	PHX	152	4317380	0.71	142.4	-13.05	32	1782540	0.91	90.97	-18.2	120	2534840	0.57	178.57	-11.04
Table 7	200201	"Tampa/St. Petersburg/Lakeland, FL"	PIE	25	120070	0.88	113.14	-30.77						25	120070	0.88	113.14	-30.77
Table 7	200201	"Pittsburgh, PA"	PIT	91	1141570	0.2	187.17	25.73	52	622620	0.3	177.33	41.57	39	518950	0.08	198.99	12.29
Table 7	200201	"Pensacola, FL"	PNS	42	186490	0.52	152.7	-11.67	19	75210	0.43	146.2	-12.77	23	111280	0.58	157.1	-10.97
Table 7	200201	"Pasco, WA"	PSC	10	37220	0	163.72	-11.71	5	27290	0	125.57	-26.33	5	9930	0	268.57	18.53
Table 7	200201	"Indio/Palm Springs, CA"	PSP	35	233550	0	193.65	3.88	5	53590	0	118.35	-18.8	30	179960	0	216.08	8.84
Table 7	200201	"Providence, RI"	PVD	70	978150	0.75	151.16	-11.63	19	275400	0.71	139.3	13.33	51	702750	0.76	155.81	-17.96
Table 7	200201	"Portland, ME"	PWM	32	125590	0	207.67	13.1	10	35460	0	210.72	65.42	22	90130	0	206.47	0.35
Table 7	200201	"Raleigh/Durham, NC"	RDU	95	1407850	0.59	131.26	-18.18	56	980920	0.56	110.97	-21.37	39	426930	0.66	177.86	-13.12
Table 7	200201	"Richmond, VA"	RIC	51	312910	0	242.72	37.48	27	189650	0	236.48	46.89	24	123260	0	252.32	25.85
Table 7	200201	"Reno, NV"	RNO	67	831610	0.83	118.72	-25.63	16	537400	0.98	84.34	-33.35	51	294210	0.57	181.51	-17.52
Table 7	200201	"Rochester, NY"	ROC	46	336390	0.53	164.55	10.66	20	171240	0.41	151.54	42.98	26	165150	0.66	178.04	-7.73
Table 7	200201	"Ft. Myers, FL"	RSW	92	1382590	0.45	160.47	-8.84	9	69550	0.6	148.98	-3.87	83	1313040	0.44	161.08	-9.07
Table 7	200201	"San Diego, CA"	SAN	116	2620670	0.7	155.48	-7.04	18	1165870	0.92	84.35	-24.64	98	1454800	0.53	212.5	0.41
Table 7	200201	"San Antonio, TX"	SAT	97	1175790	0.65	159.06	-5.66	24	378480	0.81	107.07	-21.6	73	797310	0.57	183.74	-0.04
Table 7	200201	"Savannah, GA"	SAV	44	217520	0.29	139.83	-19.36	24	134970	0.34	116.66	-29.2	20	82550	0.2	177.71	-5.23
Table 7	200201	"Louisville, KY"	SDF	71	604910	0.65	145.02	-15.56	41	394600	0.67	137.01	-12.61	30	210310	0.6	160.04	-19.91
Table 7	200201	"Seattle/Tacoma, WA"	SEA	128	2981000	0.53	161.53	-11.54	31	941980	0.68	100.94	-25.84	97	2039020	0.46	189.52	-7.13
Table 7	200201	"San Francisco, CA"	SFO	108	2581040	0.15	246.98	31.18	19	921440	0.17	117.11	-1.19	89	1659600	0.15	319.09	40.56
Table 7	200201	"San Jose/Palo Alto, CA"	SJC	74	1903950	0.75	140.27	-3.67	15	1274030	0.96	85.31	-22.09	59	629920	0.33	251.42	14.99
Table 7	200201	"Salt Lake City, UT"	SLC	92	1693390	0.63	162.93	-4.7	25	903790	0.84	112.33	-15.14	67	789600	0.4	220.85	2.65
Table 7	200201	"Sacramento, CA"	SMF	72	1560830	0.86	122.4	-16.39	13	1109550	0.95	85.36	-26.33	59	451280	0.64	213.46	-3.6
Table 7	200201	"Santa Ana, CA"	SNA	83	1419150	0.38	168.5	9.07	15	705560	0.76	94.8	-9.32	68	713590	0.01	241.38	18.41
Table 7	200201	"Sarasota/Bradenton, FL"	SRQ	41	240540	0.2	155.8	-8.24	2	17020	0	147.54	-14.24	39	223520	0.21	156.43	-7.78
Table 7	200201	"St. Louis, MO"	STL	100	1713900	0.58	161.73	6.43	52	892550	0.54	134.43	0.03	48	821350	0.62	191.4	11.89
Table 7	200201	"Syracuse, NY"	SYR	49	281590	0.45	180.51	8.52	20	103580	0.23	178.26	40.36	29	178010	0.58	181.82	-3.91
Table 7	200201	"Tallahassee, FL"	TLH	27	157140	0.72	123.02	-24.23	13	119340	0.73	108.12	-30.09	14	37800	0.69	170.04	-8.92
Table 7	200201	"Toledo, OH"	TOL	27	100740	0.65	132.74	-24.36	13	42750	0.4	125.45	-26.81	14	57990	0.83	138.12	-22.63
Table 7	200201	"Tampa/St. Petersburg/Lakeland, FL"	TPA	136	3171220	0.66	137.46	-17.96	34	686390	0.83	109.57	-18.99	102	2484830	0.62	145.17	-17.75
Table 7	200201	"Tulsa, OK"	TUL	61	456370	0.71	149.5	-8.31	24	250700	0.65	122.18	-13.51	37	205670	0.79	182.8	-3.59
Table 7	200201	"Tucson, AZ"	TUS	70	633200	0.47	149.71	-12.57	15	272500	0.88	92.68	-31.2	55	360700	0.17	192.8	-3.04
