-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
HART        49718.000    1995     1     1     0
HART        52274.750    2001    12    31    18
HART      5084625.444  2670366.597 -2768493.928
49738.50    -2.952951    -0.320672     1.699530
49738.75    -2.797819    -0.777419     2.111762
49739.00    -2.385835    -1.211473     1.372754
49739.25    -2.499984    -1.172238     0.841619
49739.50    -2.355117    -0.655625     2.381212
49739.75    -2.211641    -0.954956     2.393595
49740.00    -1.660480    -1.175032     1.737209
49740.25    -1.929000    -0.987678     0.681572
49740.50    -1.854003    -0.479192     2.263337
49740.75    -1.781620    -0.641399     2.446062
49741.00    -1.704818    -0.926089     1.857999
49741.25    -1.967285    -0.710243     0.680216
49741.50    -1.758053    -0.099650     2.348497
49741.75    -1.741696    -0.500315     2.895712
49742.00    -1.622714    -0.907239     2.644148
49742.25    -1.835273    -0.915534     2.102633
49742.50    -1.694062    -0.395388     3.738208
49742.75    -1.887840    -0.849425     4.231329
49743.00    -1.422932    -1.318541     3.290048
49743.25    -1.893565    -1.314944     2.315512
49743.50    -1.833606    -0.913630     4.037536
49743.75    -1.962499    -1.309649     4.563105
49744.00    -1.809397    -1.588105     3.680897
49744.25    -2.309605    -1.411839     2.826188
49744.50    -2.161568    -1.018532     3.922620
49744.75    -2.127251    -1.370783     4.566668
49745.00    -2.034942    -1.877417     3.655683
49745.25    -2.346902    -1.675983     2.561715
49745.50    -2.011830    -1.147227     3.739397
49745.75    -2.098621    -1.541716     4.270294
49746.00    -1.771833    -1.849358     3.466986
49746.25    -1.986580    -1.785694     2.693349
49746.50    -1.628061    -1.369588     4.163935
49746.75    -1.500133    -1.880810     4.685339
49747.00    -1.269836    -2.436809     3.682812
49747.25    -1.499640    -2.484257     2.986516
49747.50    -1.383055    -2.227398     4.902301
49747.75    -1.246556    -2.656339     4.848418
49748.00    -1.245427    -3.242951     4.832271
49748.25    -1.725197    -3.266863     4.143763
49748.50    -1.565546    -2.888819     5.386818
49748.75    -1.553057    -3.389731     5.637817
49749.00    -1.343168    -3.738610     4.726785
49749.25    -1.579362    -3.482151     3.798343
49749.50    -1.392236    -2.741253     4.601824
49749.75    -1.368096    -2.815586     4.377939
49750.00    -1.192127    -2.789380     2.972218
49750.25    -1.378364    -2.297985     1.135146
49750.50    -1.252059    -1.441202     1.953799
49750.75    -1.438307    -1.574017     2.313603
49751.00    -1.240601    -1.582027     1.159698
49751.25    -1.588561    -1.164823    -0.243606
49751.50    -1.342276    -0.320988     0.934363
49751.75    -1.143204    -0.702096     1.382152
49752.00    -0.695560    -0.857642     0.598275
49752.25    -0.821933    -0.484737    -0.448267
49752.50    -0.509750     0.108756     0.727644
49752.75    -0.266651    -0.157345     1.371069
49753.00    -0.050361    -0.489570     0.302850
49753.25    -0.158069    -0.337708    -0.577699
49753.50     0.284316     0.166004     0.947673
49753.75     0.509876    -0.220351     1.865147
49754.00     0.815732    -0.570103     0.398977
49754.25     0.772663    -0.326439    -0.069089
49754.50     1.202988     0.342064     1.144666
49754.75     1.350208     0.043983     1.820021
49755.00     1.761193    -0.228933     0.547661
49755.25     1.510534     0.156526    -0.348913
49755.50     1.750750     0.613538     0.521577
49755.75     1.690578     0.350714     0.849331
49756.00     1.920875     0.087268    -0.134236
49756.25     1.428584     0.330162    -0.541707
49756.50     1.733869     1.038689     0.015220
49756.75     1.812567     0.788733     0.376918
49757.00     1.874254     0.267972    -1.048822
49757.25     1.626432     0.397292    -1.995226
49757.50     1.866892     0.894391    -0.639322
49757.75     1.816498     0.451038     0.390364
49758.00     1.797269    -0.087882    -0.207479
49758.25     1.167083    -0.072698    -0.699089
49758.50     1.117077     0.385388     0.878574
49758.75     0.778822    -0.045061     2.010752
49759.00     0.658671    -0.557849     1.132039
49759.25     0.002640    -0.459069     0.274778
49759.50     0.047306    -0.020613     1.690811
49759.75    -0.260951    -0.440310     2.306005
49760.00    -0.544930    -0.883337     1.201410
49760.25    -1.335497    -0.813376     0.189476
49760.50    -1.466400    -0.377763     1.495684
49760.75    -1.799715    -0.922655     2.139409
49761.00    -1.820691    -1.468245     0.795194
49761.25    -2.215803    -1.294834     0.343277
49761.50    -1.853334    -0.615561     1.378196
49761.75    -1.887102    -0.926018     2.325227
49762.00    -1.780858    -1.289415     1.131098
49762.25    -1.923188    -1.148000     0.540058
49762.50    -1.656852    -0.550839     1.909546
49762.75    -1.396542    -0.958589     3.067062
49763.00    -1.125749    -1.380724     2.069405
49763.25    -1.528327    -1.277513     1.596178
49763.50    -1.221348    -0.643950     2.676625
49763.75    -1.088651    -0.974903     3.077354
49764.00    -0.762331    -1.383585     1.280178
49764.25    -1.022302    -1.078578     0.922039
49764.50    -0.630279    -0.553024     1.776201
49764.75    -0.498727    -0.715124     2.488282
49765.00    -0.330463    -1.004465     1.001013
49765.25    -0.547499    -0.571855    -0.010986
49765.50    -0.328383     0.056161     0.835976
49765.75    -0.418188    -0.135793     1.971075
49766.00    -0.407814    -0.617990     1.087818
49766.25    -1.074814    -0.480205     1.197634
49766.50    -1.051467     0.153972     2.414925
49766.75    -1.172980    -0.256237     3.412469
49767.00    -1.042606    -0.782749     2.641506
49767.25    -1.517358    -0.844291     2.534533
49767.50    -1.099177    -0.582679     3.696631
49767.75    -1.087103    -1.098315     4.361085
49768.00    -1.131167    -1.546880     3.743293
49768.25    -1.734554    -1.411289     3.141662
49768.50    -1.424207    -0.735888     3.779254
49768.75    -1.321451    -1.090918     4.168210
49769.00    -1.068529    -1.456141     2.767824
49769.25    -1.261684    -1.049905     2.123405
49769.50    -0.924778    -0.271690     2.968774
49769.75    -0.856871    -0.430366     3.394124
49770.00    -0.548395    -0.804305     1.891450
49770.25    -0.955051    -0.425809     1.445960
49770.50    -0.901402     0.212818     2.397227
49770.75    -0.873057    -0.151951     2.910073
49771.00    -0.586659    -0.515107     1.518402
49771.25    -1.155001    -0.331004     0.676229
49771.50    -0.701708     0.344531     1.484207
49771.75    -0.535531    -0.037791     1.787829
49772.00    -0.263201    -0.319329     0.830689
49772.25    -0.619692    -0.057258     0.063484
49772.50    -0.209939     0.630027     0.880346
49772.75    -0.084862     0.298959     1.677380
49773.00     0.145792    -0.037510     0.557956
49773.25     0.018971     0.237179    -0.136095
49773.50     0.379520     0.903542     0.887114
49773.75     0.203078     0.557125     2.192307
49774.00     0.363613     0.165073     0.862109
49774.25    -0.136604     0.359742     0.793118
49774.50    -0.161138     1.239879     2.045660
49774.75    -0.488680     0.992723     3.162261
49775.00    -0.407437     0.615518     2.000287
49775.25    -1.053953     0.752147     1.293156
49775.50    -0.879386     1.414162     2.084560
49775.75    -0.901785     1.073877     2.887197
49776.00    -0.952450     0.647316     1.477380
49776.25    -1.271005     0.797334     0.750165
49776.50    -0.919768     1.523632     1.284286
49776.75    -0.929814     1.075637     1.817607
49777.00    -0.851584     0.593252     0.553586
49777.25    -1.129576     0.668288    -0.318580
49777.50    -1.046445     1.143806     0.634518
49777.75    -1.262148     0.649541     2.165044
49778.00    -1.204404     0.090080     1.012975
49778.25    -1.773250    -0.000947     0.466356
49778.50    -1.699187     0.502031     1.484713
49778.75    -1.733259     0.124915     2.080247
49779.00    -1.388639    -0.374996     0.374612
49779.25    -1.759268    -0.051615    -0.245801
49779.50    -1.325091     0.658825     0.475329
49779.75    -1.018392     0.482751     1.068432
49780.00    -0.812933     0.125526    -0.368962
49780.25    -1.311962     0.478736    -1.404807
49780.50    -1.224037     1.003364    -0.615556
49780.75    -1.188246     0.641815     0.423120
49781.00    -1.351180     0.114436    -0.544230
49781.25    -1.603336     0.289035    -1.144618
49781.50    -1.330765     0.880189     0.067137
49781.75    -1.298160     0.438633     1.406877
49782.00    -0.944779     0.094335     0.131862
49782.25    -1.380987     0.451130     0.164502
49782.50    -1.438703     0.936191     1.518228
49782.75    -1.571754     0.645194     2.743439
49783.00    -1.670349     0.067050     1.482937
49783.25    -2.350994     0.142574     1.229988
49783.50    -2.349151     0.587060     2.295680
49783.75    -2.578136     0.098654     3.417708
49784.00    -2.332211    -0.390264     1.925323
49784.25    -2.837666    -0.343299     1.266759
49784.50    -2.525727     0.124891     2.332980
49784.75    -2.611079    -0.387697     2.838475
49785.00    -2.272901    -0.874142     1.814220
49785.25    -2.613532    -0.579415     1.119009
49785.50    -2.400504     0.020841     1.788953
49785.75    -2.333762    -0.404226     2.058494
49786.00    -1.935452    -0.895760     0.473374
49786.25    -2.418508    -0.851355    -0.165934
49786.50    -2.103695    -0.174402     0.925791
49786.75    -2.160794    -0.630248     1.981675
49787.00    -1.981503    -1.180014     1.001695
49787.25    -2.528569    -1.187179     0.844712
49787.50    -2.103379    -0.602567     1.768950
49787.75    -2.076313    -1.026979     3.043549
49788.00    -1.798220    -1.397911     1.823989
49788.25    -2.090138    -1.269526     1.212662
49788.50    -1.854176    -0.782087     2.276338
49788.75    -2.179817    -1.323689     3.491907
49789.00    -2.149337    -1.635936     2.652777
49789.25    -2.927999    -1.354513     2.662392
49789.50    -3.062626    -0.708632     3.645520
49789.75    -3.052136    -1.049845     4.155023
49790.00    -3.095864    -1.515623     3.134001
49790.25    -3.581725    -1.266784     2.975361
49790.50    -3.228285    -0.632708     3.586168
49790.75    -2.954352    -0.772875     4.270376
49791.00    -2.411687    -1.177927     2.719662
49791.25    -2.311034    -1.043389     1.311381
49791.50    -1.833980    -0.372359     1.993828
49791.75    -1.474798    -0.592246     2.580874
49792.00    -0.945918    -0.734023     0.962228
49792.25    -1.196919    -0.537704    -0.050490
49792.50    -1.076472     0.041823     1.272654
49792.75    -0.952249    -0.244122     1.917287
49793.00    -0.579264    -0.576981     0.563547
49793.25    -0.867943    -0.498566    -0.048722
49793.50    -0.361005     0.145003     0.744051
49793.75     0.009452    -0.297706     1.092932
49794.00     0.608882    -0.526211     0.027502
49794.25     0.529742    -0.438665    -0.423817
49794.50     1.281943     0.462035     0.227350
49794.75     1.513009     0.061236     0.795762
49795.00     1.706552    -0.486600    -0.218899
49795.25     1.749108    -0.406479    -0.975898
49795.50     2.047103     0.092267     0.077909
49795.75     1.981003    -0.476839     1.320021
49796.00     2.107055    -1.053951     0.341469
49796.25     1.480240    -0.942124    -0.147662
49796.50     1.301996    -0.657434     0.947420
49796.75     1.157096    -1.209800     1.737335
49797.00     1.178065    -1.796905     0.833132
49797.25     0.238771    -1.763712     0.683640
49797.50     0.397155    -1.154509     1.409265
49797.75     0.050037    -1.600176     1.953512
49798.00     0.025035    -1.947487     0.809869
49798.25    -0.514519    -1.761337     0.852777
49798.50    -0.274135    -1.155822     2.502139
49798.75    -0.617874    -1.362415     3.700086
49799.00    -0.550068    -1.465673     2.782156
49799.25    -1.032050    -1.251625     2.314446
49799.50    -0.935782    -0.765862     3.199991
49799.75    -1.252468    -1.231089     4.269814
49800.00    -0.960021    -1.384852     3.073495
49800.25    -1.316904    -1.006266     1.986552
49800.50    -0.740372    -0.358995     2.300802
49800.75    -0.488206    -0.768102     2.225198
49801.00     0.064613    -0.788131     1.007403
49801.25    -0.091424    -0.219956     0.057688
49801.50     0.715048     1.010646     0.521322
49801.75     0.948122     0.879735     0.780321
49802.00     1.148908     0.775271     0.469182
49802.25     0.955700     1.168501     0.145761
49802.50     1.693552     2.104119     1.009446
49802.75     1.562873     1.824961     1.760731
49803.00     1.703498     1.542022     0.998243
49803.25     1.212492     1.563350     0.086172
49803.50     1.465751     2.204434     0.735237
49803.75     1.301378     1.600781     1.039099
49804.00     1.393556     1.275313    -0.555928
49804.25     0.875503     1.267542    -1.584554
49804.50     1.177860     1.790514    -0.845272
49804.75     1.284947     1.117511    -0.511131
49805.00     1.528353     0.650176    -1.056081
49805.25     1.105701     0.689840    -1.334669
49805.50     1.452206     1.298765    -0.085358
49805.75     1.025821     0.640924     1.053964
49806.00     0.899307     0.031737     1.482771
49806.25     0.190947    -0.151471     1.375693
49806.50     0.400020     0.243886     2.665970
49806.75    -0.076731    -0.599941     3.401741
49807.00     0.012890    -1.059696     1.944375
49807.25    -0.539785    -1.147067     0.497993
49807.50    -0.221646    -0.625524     0.680180
49807.75    -0.291867    -1.139772     0.530312
49808.00     0.039000    -1.361631    -1.068596
49808.25    -0.264834    -1.138291    -2.278696
49808.50     0.345899    -0.373269    -1.672419
49808.75     0.526087    -0.740717    -1.017258
49809.00     0.945053    -0.973460    -1.387927
49809.25     0.757752    -0.636979    -1.846791
49809.50     1.336004     0.193115    -0.986531
49809.75     1.310521    -0.099082    -0.154631
49810.00     1.375526    -0.516286    -0.706597
49810.25     0.880624    -0.455533    -0.982850
49810.50     1.144524     0.123190    -0.067250
49810.75     0.934735    -0.387555     0.908237
49811.00     0.864322    -0.824787    -0.049299
49811.25     0.222996    -0.958878    -0.322113
49811.50     0.460534    -0.499754     0.734116
49811.75     0.435997    -0.958454     1.112831
49812.00     0.275030    -1.400534     0.128229
49812.25    -0.276618    -1.299649    -0.823747
49812.50    -0.143898    -0.843523     0.242882
49812.75    -0.308901    -1.274083     0.761071
49813.00    -0.195934    -1.488661    -0.353098
49813.25    -0.543695    -1.186779    -1.574840
49813.50    -0.207264    -0.391731    -0.966142
49813.75    -0.275081    -0.681125    -0.369472
49814.00    -0.059632    -0.739730    -1.307030
49814.25    -0.411741    -0.397192    -2.128904
49814.50    -0.094726     0.314929    -0.579973
49814.75     0.276403    -0.033139     0.310703
49815.00     0.490557    -0.337054    -0.397387
49815.25     0.247802    -0.320544    -0.626060
49815.50     0.684689     0.255291     1.125819
49815.75     0.702033    -0.500216     1.873289
49816.00     0.658963    -0.896898     1.441036
49816.25     0.140691    -0.885191     0.865630
49816.50     0.430779    -0.395576     1.730433
49816.75     0.249445    -0.988218     1.580906
49817.00     0.181387    -1.471664     0.628799
49817.25    -0.460288    -1.441102    -0.932878
49817.50    -0.388840    -0.634119    -0.238132
49817.75    -0.629633    -1.044250    -0.663285
49818.00    -0.697358    -1.382406    -1.606907
49818.25    -1.128334    -1.188661    -2.846752
49818.50    -0.909547    -0.089827    -1.848116
49818.75    -1.036044    -0.430890    -1.160275
49819.00    -0.867594    -0.521696    -1.404417
49819.25    -1.303479    -0.346575    -1.803054
49819.50    -1.059704     0.426261    -0.121618
49819.75    -1.267992    -0.098955     0.754236
49820.00    -1.174736    -0.236271     0.455103
49820.25    -1.673839    -0.183969     0.218821
49820.50    -1.329602     0.154654     1.303430
49820.75    -1.457889    -0.398453     1.917403
49821.00    -1.432120    -0.696015     1.453575
49821.25    -1.796393    -0.670341     0.612669
49821.50    -1.522928     0.010756     1.631750
49821.75    -1.715189    -0.239730     2.045690
49822.00    -1.850297    -0.507839     1.749292
49822.25    -2.249975    -0.183474     1.295269
49822.50    -1.826840     0.664909     1.869132
49822.75    -1.747939     0.232024     2.330103
49823.00    -1.720547    -0.089499     1.625640
49823.25    -1.864541    -0.000946     0.696497
49823.50    -1.232075     0.869325     1.040314
49823.75    -1.126529     0.546426     0.922800
49824.00    -1.050590     0.247475    -0.406915
49824.25    -0.890500     0.544300    -1.436460
49824.50    -0.755477     0.874884    -0.456103
49824.75    -0.561888     0.352262     0.373338
49825.00    -0.449095    -0.179799    -0.045045
49825.25    -0.703528     0.016166    -0.222691
49825.50    -0.334541     0.502332     0.780976
49825.75    -0.135262    -0.019558     1.779112
49826.00    -0.129754    -0.503786     1.156263
49826.25    -0.349415    -0.147030     0.935811
49826.50    -0.235112     0.610311     2.220084
49826.75    -0.529502     0.260480     2.959830
49827.00    -0.692123    -0.068526     2.347304
49827.25    -1.178225     0.052015     2.265708
49827.50    -0.980811     0.698121     3.260277
49827.75    -1.050281     0.480121     3.745470
49828.00    -1.181458     0.233474     2.900033
49828.25    -1.736071     0.619904     2.096641
49828.50    -1.484961     1.209376     2.677200
49828.75    -1.601112     0.738416     3.156960
49829.00    -1.533776     0.496948     2.506948
49829.25    -2.239303     0.643021     1.989540
49829.50    -1.999315     1.183685     2.848542
49829.75    -2.293744     0.610026     3.285989
49830.00    -2.388868     0.252287     2.973372
49830.25    -2.776766     0.320502     2.814937
49830.50    -2.225755     1.133437     3.930594
49830.75    -2.118395     0.503321     4.441461
49831.00    -1.848563     0.234783     3.372059
49831.25    -1.983306     0.470068     3.173955
49831.50    -1.364287     1.284929     3.848209
49831.75    -1.190017     0.936311     3.871489
49832.00    -1.001723     0.681956     3.183374
49832.25    -1.209150     0.938584     2.173056
49832.50    -0.712054     1.608684     2.853861
49832.75    -0.679496     1.064614     2.545406
49833.00    -0.480221     0.674254     1.942904
49833.25    -0.890858     0.860628     0.852658
49833.50    -0.353187     1.529909     1.944199
49833.75    -0.369876     0.929597     2.120373
49834.00    -0.307906     0.536532     1.678593
49834.25    -0.876694     0.466242     1.186863
49834.50    -0.400092     1.229536     2.187123
49834.75    -0.433733     0.740348     2.649364
49835.00    -0.483538     0.399552     2.214483
49835.25    -0.983225     0.308369     1.183690
49835.50    -0.799184     0.791403     1.899767
49835.75    -0.790475     0.252348     1.746445
49836.00    -0.770702     0.009368     0.872594
49836.25    -1.184053     0.276147    -0.126917
49836.50    -0.806759     0.853709     0.415662
49836.75    -0.859468     0.352659     1.014313
49837.00    -0.644372     0.195673     0.427272
49837.25    -0.828142     0.549893     0.069609
49837.50    -0.305077     1.267350     0.811397
49837.75    -0.309967     0.760529     1.595879
49838.00    -0.205299     0.463350     1.309352
49838.25    -0.456093     0.419183     0.578813
49838.50     0.103842     0.908561     1.541544
49838.75     0.111902     0.252712     1.768275
49839.00     0.097373    -0.300832     1.282244
49839.25    -0.240870    -0.431796     0.346325
49839.50    -0.013647     0.008291     0.785119
49839.75    -0.403937    -0.531942     0.980828
49840.00    -0.449241    -0.883874     0.365093
49840.25    -1.082121    -0.605892    -0.608032
49840.50    -0.728201     0.118202    -0.136674
49840.75    -0.694190    -0.205620    -0.007346
49841.00    -0.466627    -0.330317    -0.579204
49841.25    -0.709556     0.037173    -0.894773
49841.50    -0.208712     1.048004    -0.122496
49841.75    -0.102725     0.942251     0.463188
49842.00    -0.007034     0.701214     0.514237
49842.25    -0.172113     0.881322     0.331442
49842.50     0.307540     1.526572     1.982992
49842.75     0.504589     0.991746     2.894099
49843.00     0.728913     0.503772     2.768647
49843.25     0.404130     0.399990     2.249816
49843.50     0.786019     0.817735     3.508350
49843.75     0.769914     0.185157     3.674561
49844.00     0.668773    -0.189101     2.627143
49844.25     0.038080    -0.165192     1.613762
49844.50     0.299005     0.425533     1.844562
49844.75     0.093617    -0.001195     1.591435
49845.00    -0.064860    -0.247679     0.721584
49845.25    -0.513361    -0.095500    -0.710592
49845.50    -0.096896     0.684252    -0.624412
49845.75    -0.269801     0.393873    -0.888199
49846.00    -0.089089     0.394819    -1.786178
49846.25    -0.331562     0.605467    -3.056109
49846.50     0.205561     1.469223    -2.581112
49846.75     0.461023     1.190866    -2.596087
49847.00     0.726869     1.098047    -3.237628
49847.25     0.533462     1.220042    -4.169358
49847.50     0.895782     1.823159    -3.179831
49847.75     1.010249     1.196267    -3.107339
49848.00     0.959572     0.825122    -2.835066
49848.25     0.630277     0.587320    -3.597389
49848.50     0.943398     0.942160    -2.287543
49848.75     0.820191     0.237741    -1.830158
49849.00     0.660409    -0.275809    -1.803700
49849.25     0.275375    -0.419487    -2.880932
49849.50     0.317798    -0.039001    -1.525929
49849.75     0.099337    -0.474389    -1.594006
49850.00    -0.078684    -0.761739    -2.063407
49850.25    -0.570485    -0.533898    -3.401068
49850.50    -0.309245     0.149417    -2.615887
49850.75    -0.271243    -0.096477    -2.420518
49851.00    -0.165395    -0.193576    -3.197831
49851.25    -0.407468     0.208576    -3.861410
49851.50     0.178264     1.055927    -3.034712
49851.75     0.369520     0.764242    -2.530821
49852.00     0.461804     0.530600    -2.654544
49852.25     0.144900     0.680671    -3.738090
49852.50     0.691262     1.269210    -2.635905
49852.75     0.757843     0.640226    -2.374292
49853.00     0.977183     0.234444    -2.706103
49853.25     0.601649     0.122673    -3.622569
49853.50     0.910762     0.549758    -2.518206
49853.75     0.865361     0.233267    -2.267678
49854.00     0.728451    -0.218003    -2.835127
49854.25     0.144646    -0.034303    -3.639144
49854.50     0.165097     0.540571    -2.863182
49854.75    -0.026305     0.324815    -2.372048
49855.00    -0.228829     0.005536    -3.126078
49855.25    -0.805844     0.323120    -3.439389
49855.50    -0.608100     0.812328    -2.257329
49855.75    -0.924903     0.403868    -1.268296
49856.00    -1.045462    -0.014911    -0.881198
49856.25    -1.592912     0.106962    -1.355176
49856.50    -1.667734     0.374785     0.342907
49856.75    -1.962313    -0.211699     1.217385
49857.00    -2.114301    -0.521706     2.108855
49857.25    -2.477034    -0.404576     1.519895
49857.50    -2.288504     0.063530     3.683882
49857.75    -2.232344    -0.227520     4.242247
49858.00    -2.143200    -0.179293     4.518295
49858.25    -2.540139     0.085148     3.581621
49858.50    -2.236903     0.759870     3.834506
49858.75    -2.196550     0.466513     2.961882
49859.00    -2.195007     0.307834     2.115042
49859.25    -2.348410     0.474959     0.934163
49859.50    -1.664290     1.179652     1.320271
49859.75    -1.669108     0.707771     1.220325
49860.00    -1.808320     0.311121     0.898005
49860.25    -2.086522     0.281017    -0.415962
49860.50    -1.696984     0.926202    -0.479866
49860.75    -1.893507     0.459153    -0.677240
49861.00    -1.739208     0.229618    -1.332665
49861.25    -2.146613     0.280251    -2.801814
49861.50    -1.683034     0.990011    -1.846688
49861.75    -1.669332     0.624532    -1.793455
49862.00    -1.520525     0.459802    -1.906720
49862.25    -1.907930     0.556238    -3.116446
49862.50    -1.574389     1.160463    -2.146043
49862.75    -1.710000     0.573531    -1.572417
49863.00    -1.598669     0.282554    -1.662532
49863.25    -1.940760     0.275554    -2.720141
49863.50    -1.508194     0.680941    -1.567212
49863.75    -1.603486     0.137547    -1.270186
49864.00    -1.574826    -0.183559    -1.602200
49864.25    -2.083014    -0.036651    -2.896160
49864.50    -1.887911     0.660368    -2.239212
49864.75    -2.016710     0.278347    -2.449249
49865.00    -1.992317    -0.032794    -2.931389
49865.25    -2.364330     0.024586    -4.280909
49865.50    -1.794047     0.788379    -3.605820
49865.75    -1.713470     0.488146    -3.261047
49866.00    -1.316336     0.353354    -3.630780
49866.25    -1.486960     0.406352    -4.557245
49866.50    -0.886208     1.066973    -3.645346
49866.75    -0.794626     0.547684    -2.853910
49867.00    -0.800204     0.192634    -2.524590
49867.25    -1.080822     0.135578    -2.983138
49867.50    -0.703140     0.652960    -1.647016
49867.75    -0.655916     0.141806    -1.223740
49868.00    -0.739288    -0.258317    -1.509869
49868.25    -1.248083    -0.091582    -1.582414
49868.50    -0.969485     0.413102    -0.787043
49868.75    -0.983096     0.158362     0.043208
49869.00    -0.932096    -0.066859    -0.703827
49869.25    -1.121605     0.202458    -1.816770
49869.50    -0.774953     0.785057    -1.189622
49869.75    -0.753091     0.498520    -1.120735
49870.00    -0.676306     0.301418    -1.708833
49870.25    -0.907876     0.660694    -3.040019
49870.50    -0.624633     1.111208    -2.790625
49870.75    -0.388457     0.824728    -2.685696
49871.00    -0.247845     0.404945    -2.694087
49871.25    -0.468767     0.689205    -3.944557
49871.50    -0.281067     1.238771    -2.837173
49871.75    -0.201846     0.970298    -1.945795
49872.00    -0.200273     0.618054    -2.012957
