_LRT_EF_COVERAGE_SRC_SIC_EZ.REGISTRY_ID,V_LRT_EF_COVERAGE_SRC_SIC_EZ.SIC_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.STATE_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.POSTAL_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.BVFLAG,V_LRT_EF_COVERAGE_SRC_SIC_EZ.LATITUDE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.LONGITUDE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.COLLECT_MTH_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.SOURCE_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.REF_POINT_CODE,V_LRT_EF_COVERAGE_SRC_SIC_EZ.HDATUM_CODE
110013966949,4953,OR,97828,Y,45.5401,-117.22435,021,,003,
110014009982,4953,OR,97527,Y,42.389549,-123.613525,021,,003,
110013969768,4953,OR,97820,Y,44.478325,-118.947525,021,,003,
110013966832,4953,OR,,Y,45.498627,-118.702599,021,,003,
110013966841,4953,OR,,Y,45.498627,-118.702599,021,,003,
110014195067,4953,OR,97470,N,43.182527,-123.374852,021,,003,
110013970220,4953,OR,97459,Y,43.139099,-124.089851,021,,003,
110013970131,4953,OR,97064,N,45.859634,-123.203948,002,,003,
110014027490,4953,OR,97444,Y,42.475101,-124.150146,021,,003,
110002149005,3069,OR,97128,N,45.214163,-123.188229,,,,
110000486590,3369,OR,97015,N,45.424029,-122.571917,027,,003,
110000486787,3537,OR,97024,N,45.538568,-122.456624,027,,003,
110000487143,5169,OR,972030158,N,45.607038,-122.766652,027,,003,
110000487223,2851,OR,972036123,N,45.622704,-122.7314,027,,003,
110000487394,3325,OR,972102578,N,45.537347,-122.702915,001,,003,
110000487438,5171,OR,97210,N,45.563765,-122.740704,027,,003,
110000487731,3421,OR,97224,N,45.417195,-122.749085,027,,003,
110024423925,5171,OR,97231,N,45.591612,-122.778491,001,,003,
110000487857,3499,OR,97267,N,45.42167,-122.6367,001,,003,
110001654530,4961,OR,97415,N,42.051679,-124.286837,001,,003,
110014009839,2436,OR,97442,N,42.748373,-123.419573,001,,003,
110000901374,4491,OR,97210,N,45.564147,-122.746452,001,,003,
110014212324,2869,OR,97503,N,42.427361,-122.86483,027,,003,
110001133540,9999,OR,97321,N,44.624993,-123.108441,001,,003,
110014108465,2431,OR,97754,N,44.319276,-120.84694,001,,003,
110018494903,2439,OR,97402-5311,N,44.063716,-123.163099,027,,003,
110014149386,7211,OR,97030,N,45.514761,-122.454089,001,,003,
110013966510,7211,OR,97007,N,45.440873,-122.827288,001,,003,
110013968117,7211,OR,97205,Y,45.512199,-122.6763,001,,003,
110014151808,7211,OR,97005,Y,45.4883,-122.809097,001,,003,
110014016876,7211,OR,97206,N,45.496643,-122.610438,001,,003,
110013960829,7211,OR,97045,N,45.342363,-122.594984,001,,003,
110014020870,7211,OR,97229,N,45.554718,-122.836744,001,,003,
110013970346,7211,OR,97034,N,45.419646,-122.664188,001,,003,
110013966903,7211,OR,97850-2517,N,45.326584,-118.095643,001,,003,
110004809155,7211,OR,97914,N,44.024516,-116.981613,001,,003,
110004800065,7211,OR,97301,N,44.943279,-123.037201,001,,003,
110013970168,7211,OR,97420-3110,N,43.39173,-124.270316,001,,003,
110014016965,7211,OR,97116,N,45.519826,-123.10473,001,,003,
110013967608,7211,OR,97219-1019,N,45.47623,-122.722048,001,,003,
110013967751,7211,OR,97080,Y,45.469299,-122.397797,001,,003,
110004804203,7211,OR,97030,N,45.504811,-122.415315,001,,003,
110004799077,7211,OR,97303,N,44.989402,-123.026635,001,,003,
110014010499,7211,OR,97801-1844,N,45.665504,-118.803041,001,,003,
110013967886,7211,OR,97223-0802,N,45.442349,-122.805401,001,,003,
110004799086,7211,OR,97068,N,45.387888,-122.642178,001,,003,
110004804944,7211,OR,97035,N,45.397626,-122.741062,001,,003,
110004797961,7211,OR,97035,N,45.397278,-122.733435,001,,003,
110014010177,7211,OR,97302-5022,Y,44.891701,-123.058998,001,,003,
110014010676,7211,OR,97070-9211,N,45.303889,-122.771601,001,,003,
110014009688,7211,OR,97045-9539,Y,45.331902,-122.575302,001,,003,
110004805809,7211,OR,97221,N,45.510432,-122.735557,001,,003,
110013967038,7211,OR,97210-2521,N,45.53548,-122.699784,001,,003,
110013969330,7211,OR,97503-1668,N,42.426405,-122.850182,001,,003,
110006431405,7211,OR,97351,N,44.852195,-123.183823,001,,003,
110008062194,2439,OR,97402,N,44.045004,-123.148015,027,,003,
110006114329,5511,OR,97520,Y,42.218499,-122.7383,,,,
110004811268,7549,OR,97202,N,45.493377,-122.640452,,,,
110004811286,7319,OR,97303,N,44.974875,-123.002481,,,,
110004811428,1731,OR,97230,N,45.563298,-122.529147,,,,
110004811455,3829,OR,97005,N,45.481166,-122.779607,,,,
110004811473,5999,OR,97217,N,45.584103,-122.675973,,,,
110004811507,3993,OR,97015,N,45.407016,-122.561758,,,,
110004780675,7539,OR,97005,N,45.48653,-122.791737,,,,
110006464940,8744,OR,97638,Y,43.1233,-121.0613,,,,
110014267694,5399,OR,97470,N,43.232634,-123.372359,,,,
110000486821,3444,OR,97062,N,45.371676,-122.789353,,,,
110004811981,8734,OR,97229,N,45.525565,-122.805935,,,,
110014089182,5541,OR,97420,N,43.39176,-124.251858,,,,
110014267667,2429,OR,97128,Y,45.185499,-123.217,,,,
110014267667,2421,OR,97128,Y,45.185499,-123.217,,,,
110004812640,8734,OR,97203,N,45.585422,-122.75787,,,,
110004780880,7538,OR,97401,N,44.072177,-123.108081,,,,
110016655225,2421,OR,97477,Y,44.055,-122.9748,,,,
110018493646,2435,OR,97402-9656,N,44.117105,-123.183556,,,,
110001655673,1429,OR,97477,N,44.037782,-122.998678,,,,
110000488552,2421,OR,97478,N,44.052667,-122.963262,,,,
110004780906,4231,OR,97401,N,44.072177,-123.108081,,,,
110004812757,3679,OR,97302,N,44.91063,-123.021082,,,,
110004812800,1622,OR,97495,Y,43.2642,-123.4184,,,,
110014224222,2752,OR,97402,N,44.049152,-123.134062,,,,
110004812971,5541,OR,97030,N,45.518985,-122.397644,,,,
110004812980,5541,OR,97266,N,45.497384,-122.568224,,,,
110004780979,5511,OR,97403,N,44.045034,-123.062973,,,,
110014189298,9999,OR,97818,Y,45.8444,-119.67829,,,,
110004813122,1611,OR,97368,N,45.023137,-123.852972,,,,
110004780988,7549,OR,97116,N,45.520149,-123.072368,,,,
110020517635,2436,OR,97470,N,43.164249,-123.370316,,,,
110007741248,3845,OR,97128,Y,45.220199,-123.1611,,,,
110014267346,1611,OR,97217,Y,45.574199,-122.6841,,,,
110004813514,8211,OR,97202,N,45.466466,-122.650664,,,,
110001656823,1442,OR,97007,N,45.454428,-122.90444,,,,
110000488277,3695,OR,97402,N,44.055575,-123.154188,,,,
110000488543,3083,OR,97478,N,44.06667,-123.0353,,,,
110000488543,3732,OR,97478,N,44.06667,-123.0353,,,,
110000487349,4961,OR,972101526,N,45.545511,-122.707382,,,,
110000487982,3369,OR,97321,N,44.623887,-123.109301,,,,
110007741275,1044,OR,97814,Y,44.780099,-117.82859,,,,
110007741284,1721,OR,97123,N,45.51634,-122.994693,,,,
110007741337,0179,OR,97504,N,42.319299,-122.887,,,,
110001658000,4953,OR,975019544,N,42.310867,-122.958927,,,,
110004814345,0851,OR,97055,N,45.405835,-122.294398,,,,
110000901356,2879,OR,972184023,N,45.56264,-122.582761,,,,
110004814416,5411,OR,97402,N,44.048003,-123.142615,,,,
110014188315,7532,OR,97062,N,45.381517,-122.783173,,,,
110006115863,5511,OR,97439,Y,43.985399,-124.0993,,,,
110004814728,5113,OR,97217,N,45.570671,-122.702992,,,,
110000544929,2034,OR,97321,N,44.617276,-123.105358,,,,
110014256232,3271,OR,97502,N,42.411677,-122.946225,,,,
110004814906,5511,OR,97420,N,43.389289,-124.262864,,,,
110004779730,5082,OR,97214,N,45.507684,-122.657758,,,,
110004779730,7699,OR,97214,N,45.507684,-122.657758,,,,
110004815004,4911,OR,97141,N,45.426822,-123.801012,,,,
110014187968,5531,OR,97401,N,44.05861,-123.083363,,,,
110001658064,3624,OR,97124,N,45.558444,-122.926202,,,,
110004815193,8399,OR,97214,N,45.522185,-122.649157,,,,
110014187655,3273,OR,97302,N,44.919142,-123.097285,,,,
110005969657,3699,OR,97224,N,45.402558,-122.751952,,,,
110004815512,8021,OR,97202,N,45.497564,-122.62621,,,,
110004815638,5075,OR,97224,N,45.39983,-122.751241,,,,
110014187566,1721,OR,97103,N,46.189158,-123.828492,,,,
110014266310,1623,OR,97470,N,43.153859,-123.369988,,,,
110001658331,2819,OR,97503,N,42.427309,-122.881226,,,,
110001658331,5169,OR,97503,N,42.427309,-122.881226,,,,
110004815807,3553,OR,97266,N,45.476128,-122.559837,,,,
110004815825,4911,OR,97006,N,45.50617,-122.835709,,,,
110014224017,4231,OR,97420,N,43.386145,-124.221594,,,,
110002148827,3714,OR,97015,N,45.416129,-122.556729,,,,
110014187352,1429,OR,97496,N,43.07364,-123.452493,,,,
110004816085,9199,OR,97321,N,44.631718,-123.048173,,,,
110004816263,3495,OR,97220,N,45.567525,-122.566645,,,,
110007741453,8011,OR,97227,N,45.547811,-122.680929,,,,
110014186941,3273,OR,97103-5530,Y,46.1736,-123.8315,,,,
110014187021,1442,OR,97016,Y,46.1114,-123.3111,,,,
110016629264,5311,OR,97006-4944,N,45.517344,-122.841386,,,,
110004816851,5311,OR,97420,N,43.357701,-124.212462,,,,
110000487857,3499,OR,97267,N,45.42167,-122.6367,,,,
110004817084,5541,OR,97056,N,45.744158,-122.876863,,,,
110004817093,5311,OR,97501,N,42.313222,-122.855935,,,,
110004817100,5311,OR,97302,N,44.905606,-123.042346,,,,
110004817119,5311,OR,97477,N,44.062196,-123.017158,,,,
110004817137,5311,OR,97141,N,45.473259,-123.844054,,,,
110000486803,1542,OR,97062,N,45.386044,-122.791861,,,,
110001659704,5051,OR,972101706,N,45.543612,-122.710965,,,,
110004817217,3827,OR,97015,N,45.409706,-122.569532,,,,
110004817351,2741,OR,97071,N,45.140473,-122.855293,,,,
110004817397,5511,OR,97006,N,45.489792,-122.829448,,,,
110004780185,4911,OR,97304,N,44.948714,-123.051761,,,,
110004818092,3713,OR,972173927,N,45.572836,-122.716624,,,,
110014107885,9199,OR,97141,N,45.457024,-123.814208,,,,
110004817663,5311,OR,97213,N,45.526456,-122.595488,,,,
110004778900,3423,OR,97005,Y,45.4697,-122.7894,,,,
110014186335,2421,OR,97415,Y,42.0506,-124.2861,,,,
110006661273,0723,OR,97501,N,42.312872,-122.861814,,,,
110014266686,5541,OR,97501,N,42.315754,-122.860859,,,,
110016655421,3273,OR,97502-9301,N,42.419541,-122.955226,,,,
110000487269,2819,OR,97210,N,45.565006,-122.740374,,,,
110000487269,2812,OR,97210,N,45.565006,-122.740374,,,,
110000487269,4961,OR,97210,N,45.565006,-122.740374,,,,
110014185880,5541,OR,97526,Y,42.442999,-123.3235,,,,
110006802987,8211,OR,97532,N,42.541446,-123.387142,,,,
110014186004,0921,OR,97624,Y,42.539999,-121.73999,,,,
110014186031,7999,OR,97604,Y,42.93,-122.15,,,,
110014185103,4151,OR,97420,N,43.393673,-124.27455,,,,
110004779044,3541,OR,97209,N,45.537962,-122.694855,,,,
110002149390,5013,OR,97304,N,44.94629,-123.056459,,,,
110014184658,4212,OR,97325,N,44.840347,-122.864811,,,,
110000488053,2611,OR,97321,N,44.672121,-123.062589,,,,
110014183720,7999,OR,97385,N,44.8536,-122.661724,,,,
110014183999,4952,OR,97362-9724,N,45.0994,-122.748511,,,,
110014184220,5093,OR,97071,N,45.154052,-122.842165,,,,
110000602553,2621,OR,974410047,N,43.744301,-124.1166,,,,
110014265981,4581,OR,97042,N,45.219242,-122.589273,,,,
110004812383,4953,OR,97045,N,45.352327,-122.582394,,,,
110014128657,0921,OR,97014,Y,45.676499,-121.858,,,,
110004789131,7539,OR,97222,N,45.452217,-122.641019,,,,
110000488491,2819,OR,974775308,N,44.042778,-123.02416,,,,
110016655653,4952,OR,97146,Y,46.1156,-123.9247,,,,
110016655653,5812,OR,97146,Y,46.1156,-123.9247,,,,
110016655653,7992,OR,97146,Y,46.1156,-123.9247,,,,
110012554994,2491,OR,97378,N,45.096527,-123.427468,,,,
110016655635,4214,OR,97058-3501,N,45.611821,-121.199348,,,,
110014181722,4111,OR,97211,Y,45.596899,-122.6678,,,,
110014181722,5813,OR,97211,Y,45.596899,-122.6678,,,,
110006698154,3221,OR,97220,N,45.565461,-122.568336,,,,
110006698154,4961,OR,97220,N,45.565461,-122.568336,,,,
110016651504,5012,OR,97203-0177,N,45.602447,-122.763934,,,,
110006661246,5171,OR,97458,N,43.055152,-124.131194,,,,
110000816957,2511,OR,97310,N,44.932075,-123.00887,,,,
110004779286,3441,OR,97302,N,44.903935,-123.008587,,,,
110004792564,2086,OR,97232,N,45.527954,-122.643428,,,,
110000487483,2051,OR,97211,N,45.581852,-122.663932,,,,
110000486769,4011,OR,97058,N,45.6038,-121.1384,,,,
110006696030,7011,OR,97408-9210,N,44.137106,-123.048642,,,,
110016655706,1799,OR,97220,Y,45.558799,-122.5098,,,,
110004818733,4212,OR,97034,N,45.399999,-122.7416,,,,
110014264544,2084,OR,97115,Y,45.2653,-123.0556,,,,
110014177345,7532,OR,97058,N,45.615193,-121.206786,,,,
110004779455,7538,OR,97205,N,45.521927,-122.689243,,,,
110014176738,4953,OR,97128,Y,45.153599,-123.2444,,,,
110014176934,4952,OR,97759,Y,44.1728,-121.3253,,,,
110014264287,4952,OR,97524,N,42.545413,-122.822175,,,,
110014264287,8811,OR,97524,N,42.545413,-122.822175,,,,
110014177274,4953,OR,97411,Y,43.2083,-124.34999,,,,
110007737627,2099,OR,97886,Y,45.807299,-118.3732,,,,
110014176060,4952,OR,97459,N,43.48742,-124.217017,,,,
110014176186,4952,OR,97882,Y,45.549999,-119.2,,,,
110004778349,3321,OR,97223,N,45.429188,-122.762007,,,,
110014176211,2037,OR,97060,Y,45.549999,-122.4375,,,,
110004778358,2891,OR,97231,N,45.601851,-122.786325,,,,
110000549648,2033,OR,97304,N,44.945125,-123.053537,,,,
110000771200,2439,OR,97477,N,44.045845,-122.989744,,,,
110004778553,2652,OR,97211,N,45.572376,-122.65724,,,,
110004778553,2657,OR,97211,N,45.572376,-122.65724,,,,
110004778624,3321,OR,97402,N,44.127703,-123.182716,,,,
110014176408,9229,OR,97457,Y,43.0625,-123.3478,,,,
110000487394,3321,OR,972102578,N,45.537347,-122.702915,,,,
110014264125,4952,OR,975XX,Y,42.079999,-122.7,,,,
110014175533,5812,OR,97435,Y,43.6764,-123.3036,,,,
110014175613,4952,OR,97415,N,42.024265,-124.232469,,,,
110014175150,6515,OR,97459,N,43.603925,-124.182202,,,,
110014175212,4952,OR,97520,Y,42.071399,-122.5986,,,,
110014175249,9512,OR,97365,Y,44.726399,-124.0583,,,,
110014175267,4952,OR,97149,Y,45.0961,-123.9799,,,,
110014175285,4941,OR,97401,Y,44.0722,-122.97,,,,
110014263741,4952,OR,97391,N,44.612889,-123.931083,,,,
110014175365,0182,OR,97918,Y,44.0039,-117.26739,,,,
110014175374,4952,OR,97392,N,44.839428,-123.007551,,,,
110014175445,7032,OR,97859,Y,45.479999,-118.4,,,,
110009817225,4952,OR,97107,N,45.5,-123.87,,,,
110014174838,7699,OR,97850,N,45.329433,-118.094111,,,,
110009156171,4952,OR,97465,N,42.75,-124.49,,,,
110009156171,8211,OR,97465,N,42.75,-124.49,,,,
110016655779,5148,OR,97044,Y,45.619999,-121.44,,,,
110006696165,4952,OR,97149,N,45.097778,-123.977583,,,,
110006696165,7011,OR,97149,N,45.097778,-123.977583,,,,
110009155895,3295,OR,972820249,N,45.483889,-122.651944,,,,
110009155109,4941,OR,97435,N,43.660693,-123.338105,,,,
110000579133,4952,OR,97459,N,43.415387,-124.246901,,,,
110009817591,4952,OR,97116,N,45.510503,-123.091305,,,,
110000901338,4226,OR,97231,N,45.604026,-122.789742,,,,
110006697903,2092,OR,97420,N,43.34,-124.170833,,,,
110016655804,1442,OR,97114,N,45.22397,-123.078971,,,,
110014263395,2092,OR,97420,N,43.306613,-124.397796,,,,
110014174311,1442,OR,97701,N,44.075188,-121.360194,,,,
110009818876,4941,OR,97470,N,43.166944,-123.371388,,,,
110009818965,4941,OR,97465,N,42.752778,-124.5,,,,
110009155118,4941,OR,97447,N,43.263889,-122.441388,,,,
110006661353,4941,OR,97449,N,43.576124,-124.172573,,,,
110000488473,3313,OR,97469,N,42.973326,-123.341582,,,,
110001655879,2421,OR,97355,N,44.50801,-122.879012,,,,
110014173401,0921,OR,97037,N,45.2154,-121.11884,,,,
110006661950,2092,OR,97045,N,45.332579,-122.437144,,,,
110014172634,5812,OR,97103,Y,46.1685,-123.5813,,,,
110000487250,2992,OR,97208,N,45.562976,-122.740188,,,,
110000487250,4961,OR,97208,N,45.562976,-122.740188,,,,
110006430594,5171,OR,97828,Y,45.436999,-117.28879,,,,
110014172769,7032,OR,97439,N,43.954946,-124.106934,,,,
110000817046,4911,OR,97501,N,42.315369,-122.866562,,,,
110014223517,7699,OR,97210,N,45.54155,-122.710993,,,,
110014223517,7694,OR,97210,N,45.54155,-122.710993,,,,
110014262920,4952,OR,97601,N,42.176794,-121.903269,,,,
110016655911,4952,OR,97501,Y,42.1597,-122.6125,,,,
110014172858,4952,OR,97122,Y,45.2308,-123.8627,,,,
110014263028,4952,OR,97056,Y,45.7295,-122.86069,,,,
110006696192,4952,OR,97002,N,45.265681,-122.824176,,,,
110013844563,2611,OR,970168264,N,46.155556,-123.40777,,,,
110014172493,7033,OR,97537,Y,42.414999,-123.1558,,,,
110014172527,9512,OR,97484,Y,42.9232,-122.9426,,,,
110016656046,4952,OR,97498,Y,44.3639,-124.0861,,,,
110004792699,9224,OR,97330,N,44.566703,-123.260826,,,,
110014171760,4952,OR,97756,Y,44.276699,-121.1896,,,,
110000816797,1542,OR,97203,N,45.57944,-122.73944,,,,
110009817305,5148,OR,97031,Y,45.42,-121.31,,,,
110014171065,4952,OR,97056,N,45.730507,-122.863655,,,,
110014262396,4952,OR,97111,Y,45.2905,-123.1939,,,,
110006618106,4952,OR,97013,N,45.280905,-122.67163,,,,
110014171458,4952,OR,97040,N,45.661976,-121.376766,,,,
110016656000,1442,OR,97141,Y,45.517299,-123.8279,,,,
110006696129,4952,OR,97467,N,43.7,-124.100583,,,,
110016656028,8211,OR,97236,N,45.456448,-122.477392,,,,
110014170770,4952,OR,97523,Y,42.175699,-123.6508,,,,
110009816985,4952,OR,97028,N,45.302278,-121.776277,,,,
110020517626,4952,OR,97408,N,44.149199,-123.070878,,,,
110014170823,4952,OR,97138,Y,46.037599,-123.924,,,,
110004778161,5082,OR,97218,N,45.57113,-122.617576,,,,
110004778161,7699,OR,97218,N,45.57113,-122.617576,,,,
110014262323,0723,OR,97031,N,45.653169,-121.507346,,,,
110012566712,3471,OR,97031,N,45.660835,-121.590183,,,,
110009155868,4952,OR,97633,Y,42.02,-121.59,,,,
110014170440,8211,OR,97533,Y,42.3286,-123.3355,,,,
110014262172,4952,OR,97348,N,44.388278,-123.116694,,,,
110014170690,7999,OR,97541,Y,42.6875,-122.6042,,,,
110016653405,7999,OR,97411,Y,43.150599,-124.40309,,,,
110009816994,4952,OR,97040,N,45.66,-121.32,,,,
110009816921,7011,OR,97388,Y,44.869999,-124.03,,,,
110014170057,2037,OR,97838,Y,45.84,-119.28,,,,
110014262074,4952,OR,97462,Y,43.5392,-123.28789,,,,
110014170182,7997,OR,97001,Y,44.894599,-120.45529,,,,
110014170182,8661,OR,97001,Y,44.894599,-120.45529,,,,
110006696227,4952,OR,97041,N,45.48917,-121.596689,,,,
110004776582,4911,OR,97303,N,45.013464,-122.999544,,,,
110014261770,0851,OR,977XX,Y,43.1878,-122.1409,,,,
110004792742,5511,OR,97603,N,42.196516,-121.757149,,,,
110014169489,4952,OR,97470,N,43.2704,-123.443232,,,,
110014261814,4952,OR,97063,Y,45.21,-121.39,,,,
110014261618,4952,OR,97901,Y,43.649999,-117.06,,,,
110009817047,4952,OR,97499,N,43.546889,-123.288583,,,,
110000841037,9999,OR,97420,Y,43.3449,-124.3233,,,,
110014168998,4952,OR,97103,Y,46.1755,-123.7569,,,,
110014169050,4952,OR,97453,N,44.027,-123.855277,,,,
110016651693,4225,OR,97918,N,43.986725,-117.24031,,,,
110006376732,9199,OR,97452,Y,43.9133,-122.7505,,,,
110014168541,7033,OR,97128,Y,45.1593,-123.2572,,,,
110004776895,4911,OR,97632,N,42.01308,-121.403341,,,,
110014262715,9711,OR,97838,N,45.83611,-119.45,,,,
110014167944,7033,OR,97070,Y,45.2986,-122.7699,,,,
110004776911,9999,OR,975419607,N,42.663408,-122.679125,,,,
110016656402,3273,OR,97131,N,45.750203,-123.652385,,,,
110014167132,4952,OR,97128,N,45.186164,-123.269835,,,,
110014167212,7033,OR,97141,N,45.47174,-123.736697,,,,
110016656331,3273,OR,97131,N,45.750203,-123.652385,,,,
110014260977,4952,OR,97016,Y,46.168599,-123.5821,,,,
110007736959,3577,OR,97070,N,45.327739,-122.768854,,,,
110014261011,4952,OR,97801,Y,45.659999,-118.78,,,,
110014261011,5813,OR,97801,Y,45.659999,-118.78,,,,
110014278469,4952,OR,97425,Y,43.5944,-122.0583,,,,
110004791128,9999,OR,97217,N,45.593947,-122.665894,,,,
110014166525,5812,OR,97498,Y,44.2304,-124.1102,,,,
110001656315,4226,OR,97231,N,45.589109,-122.776358,,,,
110000488268,2436,OR,97402,N,44.10131,-123.161993,,,,
110006697789,4941,OR,97367,N,44.933846,-123.974955,,,,
110014260478,1442,OR,97470,Y,43.090299,-123.3764,,,,
110016651746,0851,OR,97452,N,43.92602,-122.780145,,,,
110014165722,4952,OR,97103,Y,46.162999,-123.6255,,,,
110014260520,8221,OR,97132,N,45.367929,-123.101584,,,,
110014147805,4311,OR,97208,N,45.527322,-122.677834,,,,
110014166044,4952,OR,97759,Y,44.1728,-121.3253,,,,
110014166044,6515,OR,97759,Y,44.1728,-121.3253,,,,
110006479916,9199,OR,97882,Y,45.924399,-119.3125,,,,
110014165367,2084,OR,97132,Y,45.2916,-123,,,,
110004805630,4213,OR,97211,N,45.598799,-122.664061,,,,
110004794740,5122,OR,97070,N,45.306111,-122.769816,,,,
110014260030,3273,OR,97339,Y,44.498899,-123.2564,,,,
110014164572,1429,OR,97415,Y,42.061399,-124.22499,,,,
110001656556,4961,OR,97202,N,45.50327,-122.65982,,,,
110010680879,3272,OR,97304,N,44.931005,-123.116904,,,,
110014163751,4491,OR,97459,Y,43.39,-124.2189,,,,
110014085382,2026,OR,97470-3414,N,43.2039,-123.35298,,,,
