Time,Speed,Location,County,State,Lat,Lon,Comments
2048,UNK,3 W HUNTSVILLE,MADISON,AL,34.74,-86.65,THUNDERSTORM WINDS BLEW DOWN A TREE BLOCKING THE TURN LANE AT THE INTERSECTION OF SPARKMAN DRIVE AND EXECUTIVE DRIVE. (HUN)
2058,UNK,5 NE OWENS CROSSROADS,MADISON,AL,34.62,-86.39,THUNDERSTORM WINDS BLEW TREES ONTO POWERLINES ON CHERRY TREE ROAD. LOCATION AND TIME ESTIMATED. (HUN)
2058,UNK,1 SSW ESTILLFORK,JACKSON,AL,34.89,-86.18,THUNDERSTORM WINDS BLEW A ROOF OFF OF A HOME. TREES WERE ALSO BLOWN DOWN. TIME ESTIMATED AND EXACT LOCATION STILL BE VERIFIED. (HUN)
2110,UNK,NATICK,MIDDLESEX,MA,42.28,-71.35,THUNDERSTORM GUST FRONT DOWNED TWO TREES IN THE VICINITY OF APPLETON ROAD AND CENTRE STREET. SPOTTER OBSERVED A POSSIBLE GUSTNADO IN THE VICINITY OF LAKE COCHITUATE. (BOX)
2115,UNK,PINK HILL,LENOIR,NC,35.06,-77.74,LARGE TREE BLOWN OVER NEAR THE INTERSECTION OF HWY 11 AND BROADWAY ST IN PINK HILL (MHX)
2116,UNK,3 NE DORCHESTER,DORCHESTER,SC,33.17,-80.35,A TREE WAS REPORTED DOWN AND BLOCKING BEIBLER FOREST ROAD. TIME ESTIMATED BASED ON RADAR (CHS)
2121,UNK,1 SW LEESBURG,LOUDOUN,VA,39.09,-77.57,TREE DOWN ON DAVIS AVE. (LWX)
2124,UNK,5 W MCFARLAN,ANSON,NC,34.81,-80.06,STRUCTURAL DAMAGE TO THE ROOF OF A BARN IN SOUTHERN ANSON COUNTY. RADAR ESTIMATED TIME. (RAH)
2151,UNK,5 E FOREST OAKS,GUILFORD,NC,35.99,-79.62,FIRE DEPARTMENT REPORTED A TREE DOWN ACROSS SCYTHE ROAD. RADAR ESTIMATED TIME. (RAH)
2157,58,7 ENE TUCUMCARI,QUAY,NM,35.21,-103.61,(ABQ)
2205,UNK,1 N MAYSVILLE,JONES,NC,34.92,-77.23,TREE DOWN ON SOUTHBOUND SIDE OF HIGHWAY 17 ONE MILE NORTH OF MAYSVILLE. (MHX)
2205,UNK,4 S BURLINGTON,ALAMANCE,NC,36.02,-79.45,TREES DOWN ALONG HIGHWAY 49. (RAH)
2215,UNK,PORT SAINT JOHN,BREVARD,FL,28.48,-80.79,FENCE AND SEVERAL SMALL TREES BLOWN DOWN AT INTERSECTION OF GILLETTE AVE. AND FAY BLVD. (MLB)
2220,UNK,3 N CHATTANOOGA,HAMILTON,TN,35.11,-85.26,NUMEROUS POWER LINES DOWN CAUSED BY HIGH THUNDERSTORM WINDS IN CENTRAL HAMILTON COUNTY. (MRX)
2225,60,1 NNW LONGS,HORRY,SC,33.94,-78.73,PUBLIC ESTIMATED WIND GUSTS TO 60 MPH (ILM)
2229,UNK,1 W MURRELLS INLET,GEORGETOWN,SC,33.55,-79.07,TREE DOWN ON PENDERGRASS ROAD. (ILM)
2230,UNK,WEST COLUMBIA,LEXINGTON,SC,33.99,-81.08,LARGE PINE TREE FELL ALONG KNOX ABBOTT DRIVE JUST WEST OF THE CONGAREE RIVER. KNOCKED OUT POWER LINES. PART OF ROAD WAS BLOCKED OFF. (CAE)
2230,UNK,COLUMBIA,RICHLAND,SC,34.04,-80.89,EIGHT FOOT FENCING BLOWN DOWN ON A CONSTRUCTION SITE NEAR THE OLD COLISEUM IN COLUMBIA. (CAE)
2230,UNK,1 S SOCIETY HILL,DARLINGTON,SC,34.49,-79.85,TREES WERE BLOWN DOWN. (ILM)
2235,UNK,BOWIE,PRINCE GEORGES,MD,38.96,-76.74,TREES DOWN. (LWX)
2240,61,4 S KENNEDY SPACE CENTE,BREVARD,FL,28.47,-80.68,53 KNOT / 61 MPH WIND GUST AT CAPE WIND TOWER 803 AT HEIGHT OF 54 FEET. (MLB)
2240,UNK,3 E ORANGE GROVE,ORANGE,NC,35.98,-79.15,ONE TREE DOWN ACROSS DAIRYLAND ROAD... IN BETWEEN DODSONS CROSSROADS AND ROCKY RIDGE ROAD. (RAH)
2245,UNK,1 S HUGHESVILLE,CHARLES,MD,38.53,-76.78,LARGE TREE LIMB DOWN ON CARRICO MILL RD. (LWX)
2250,UNK,3 SW CROWNSVILLE,ANNE ARUNDEL,MD,38.99,-76.64,2 TREES DOWN NEAR CHESTERFIELD AND ST. STEPHENS CHURCH ROADS. (LWX)
2300,UNK,SOUTH WHEELOCK,CALEDONIA,VT,44.55,-72.12,MULTIPLE TREES DOWN ON SOUTH WHEELOCK ROAD. (BTV)
2302,UNK,4 S KNIGHTSVILLE,DORCHESTER,SC,32.95,-80.24,A 20 FOOT TALL TREE OF 4 INCH DIAMETER WAS BLOWN OVER. REPORT FROM A GOLF COURSE EMPLOYEE. (CHS)
2305,UNK,3 WSW NORTH MYRTLE BEAC,HORRY,SC,33.81,-78.72,LARGE TREE LIMBS DOWN 14 TO 16 INCHES IN DIAMETER CAUSING ROOF DAMAGE AT PINEWOOD ACRES ON WATSON DR. JUST EAST OF CRE-NORTH MYRTLE AIRPORT. (ILM)
2328,69,ELKHART,MORTON,KS,37,-101.89,(DDC)
2331,UNK,GRASONVILLE,QUEEN ANNE'S,MD,38.96,-76.19,TREES AND WIRES DOWN (PHI)
2335,UNK,HOLLYWOOD,CHARLESTON,SC,32.73,-80.24,TREE DOWN ON HIGHWAY 162. (CHS)
2335,UNK,4 SE ASHTON,COLLETON,SC,32.97,-80.92,A COUPLE OF TREES WERE BLOWN DOWN AND WERE PARTIALLY BLOCKING WILLOW SWAMP ROAD NEAR THE CAYCE ROAD INTERSECTION. (CHS)
2343,UNK,SMITHSBURG,WASHINGTON,MD,39.66,-77.58,CONSIDERABLE TENT DAMAGE AT THE SMITHSBURG FIRE STATION CARNIVAL. (LWX)
2348,74,ELKHART,MORTON,KS,37,-101.89,(DDC)
2350,60,15 WNW LAKIN,KEARNY,KS,38.02,-101.51,(DDC)
2350,UNK,GRASONVILLE,QUEEN ANNE'S,MD,38.96,-76.19,TREES AND WIRES DOWN (PHI)
0005,65,1 SW BOVINA,PARMER,TX,34.51,-102.9,ESTIMATED BY BOVINA PD ALONG U.S. HWY 60 SOUTHWEST OF CITY (LUB)
0008,64,ELKHART,MORTON,KS,37,-101.89,(DDC)
0010,UNK,BOVINA,PARMER,TX,34.52,-102.89,ROOF BLOWN OFF OF TIN STORAGE SHED IN BOVINA (LUB)
0015,UNK,KIAWAH ISLAND,CHARLESTON,SC,32.61,-80.08,TREE DOWN ON BETSY KERRISON PARKWAY. (CHS)
0030,UNK,BLUFFTON,BEAUFORT,SC,32.24,-80.86,2 TREES DOWN IN BLUFFTON. TIME ESTIMATED FROM RADAR. (CHS)
0030,UNK,WEST COLUMBIA,LEXINGTON,SC,33.99,-81.08,LARGE PINE TREE FELL ALONG KNOX ABBOTT DRIVE JUST WEST OF THE CONGAREE RIVER. KNOCKED OUT POWER LINES. PART OF ROAD WAS BLOCKED OFF. (CAE)
0030,60,5 E HARTLEY,HARTLEY,TX,35.89,-102.31,(AMA)
0030,UNK,ITHACA,TOMPKINS,NY,42.44,-76.5,TREES ON A CAR. (BGM)
0036,UNK,4 S LEXINGTON PARK,ST. MARYS,MD,38.2,-76.44,TREES DOWN ON SNOW HILL MANOR RD (LWX)
0058,UNK,8 N LODGEPOLE,CHEYENNE,NE,41.26,-102.64,STRONG WINDS BLEW DOWN LARGE TREE BRANCHES. ALSO PEA TO MARBLE SIZED HAIL WITH HEAVY RAIN. (CYS)
0100,UNK,3 NNE EDISTO BEACH,CHARLESTON,SC,32.52,-80.3,SEVERAL 6 INCH DIAMETER TREE LIMBS DOWN ON HIGHWAY 174. (CHS)
0100,65,4 W SYRACUSE,HAMILTON,KS,37.98,-101.82,(DDC)
0105,UNK,ARENDTSVILLE,ADAMS,PA,39.92,-77.3,TREES AND WIRES DOWN. (CTP)
0130,UNK,HILTON HEAD ISLAND,BEAUFORT,SC,32.22,-80.75,4 TREES DOWN CAUSING ROOF DAMAGE TO HOMES IN THE SEA PINES SUBDIVISION ON THE SOUTHERN END OF HILTON HEAD ISLAND. 10 TREES DOWN ACROSS THE ISLAND. (CHS)
0150,60,15 WNW LAKIN,KEARNY,KS,38.02,-101.51,(DDC)
0220,UNK,SPADE,LAMB,TX,33.93,-102.15,TREE LIMBS DOWN IN SPADE. WINDS ESTIMATED AT 60 MPH. (LUB)
0220,62,3 WNW GALLUP,MCKINLEY,NM,35.54,-108.78,(ABQ)
0230,UNK,WEST OCEAN CITY,WORCESTER,MD,38.35,-75.11,FIRE SIREN IN WEST OCEAN CITY BLOWN DOWN. (AKQ)
0231,60,6 S SPADE,LAMB,TX,33.84,-102.15,(LUB)
0240,UNK,ANTON,HOCKLEY,TX,33.81,-102.16,TX DOT HIGHWAY SIGNS DOWN AROUND ANTON. (LUB)
0245,74,6 SSW ANTON,HOCKLEY,TX,33.73,-102.2,ADDITIONAL SEVERE GUST TO 69MPH AT 950 PM. AVG SPEED FOR 10 MINUTES 50 MPH. (LUB)
0252,62,3 NW SHALLOWATER,LUBBOCK,TX,33.72,-102.03,(LUB)
0300,UNK,5 E READING,BERKS,PA,40.34,-75.83,TREE DOWN IN LOWER ALSACE TOWNSHIP (PHI)
0315,UNK,4 W SMYER,HOCKLEY,TX,33.59,-102.23,ROOF OF A BARN BLOW OFF ALONG HWY 114 WEST OF SMYER. WIND ESTIMATED AT 60MPH (LUB)
0325,UNK,POTTSTOWN,MONTGOMERY,PA,40.25,-75.64,TREES DOWN AROUND THE POTTSTOWN AREA. (PHI)
0350,UNK,VALLEY FORGE,CHESTER,PA,40.1,-75.47,TREES AND WIRES DOWN IN SCHUYLKILL TOWNSHIP. (PHI)
0350,UNK,SPRING CITY,MONTGOMERY,PA,40.18,-75.55,TREES AND WIRES DOWN. (PHI)
0500,66,5 SSW GRAHAM,GARZA,TX,33.08,-101.5,(LUB)
0558,UNK,2 S COZAD,DAWSON,NE,40.83,-99.99,CONSIDERABLE OUTBUILDING AND GRAIN BIN DAMAGE ON FARMSTEAD ALONG HIGHWAY 21...INCLUDING BARN ROOF BLOWN OFF. TIME ESTIMATED FROM RADAR DATA. (GID)
0900,UNK,3 WNW MIDDLEBURG,CLAY,FL,30.07,-81.96,PUBLIC REPORTED A METAL SHED WHICH COVERS NURSERY PLANTS WAS BLOWN AWAY FROM ITS SUPPORTS AND DAMAGED. (JAX)
