-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
MATH        49718.000    1995     1     1     0
MATH        52274.750    2001    12    31    18
MATH     -2443215.352 -4706037.477  3533477.600
49737.25    -2.243217     0.323653     0.288052
49737.50    -2.185362    -0.007040     0.963813
49737.75    -2.236267     0.355348    -0.228172
49738.00    -2.125596     0.307866     0.639081
49738.25    -2.111874     0.344738     0.416469
49738.50    -1.929050     0.040218     0.984471
49738.75    -1.838957     0.371057    -0.305240
49739.00    -1.649244     0.357971     0.442255
49739.25    -1.772170     0.460981     0.091316
49739.50    -1.486604     0.226916     0.188247
49739.75    -1.325857     0.541602    -1.007030
49740.00    -1.090051     0.484014    -0.121038
49740.25    -1.257024     0.549791    -0.307354
49740.50    -1.067145     0.256557     0.424797
49740.75    -1.034997     0.516557    -0.592326
49741.00    -1.107943     0.362611     0.719463
49741.25    -1.306241     0.470459     0.282157
49741.50    -1.228617     0.200297     1.010224
49741.75    -1.385741     0.567911    -0.132005
49742.00    -1.300188     0.555016     0.635824
49742.25    -1.484952     0.643280     0.784347
49742.50    -1.358358     0.331328     1.850273
49742.75    -1.548578     0.580858     1.013278
49743.00    -1.491838     0.496328     1.669784
49743.25    -1.699568     0.669701     0.588523
49743.50    -1.554173     0.414637     0.441822
49743.75    -1.515251     0.757086    -1.230627
49744.00    -1.323492     0.663251    -0.671155
49744.25    -1.638908     0.717012    -1.152191
49744.50    -1.514811     0.396686    -0.749396
49744.75    -1.480826     0.759909    -1.919428
49745.00    -1.376424     0.780992    -1.743045
49745.25    -1.507634     0.935091    -2.468591
49745.50    -1.112303     0.679309    -2.215842
49745.75    -1.018779     1.087042    -3.421527
49746.00    -0.858637     1.093368    -2.579300
49746.25    -0.955755     1.244678    -2.797391
49746.50    -0.749230     1.077726    -2.240106
49746.75    -0.662999     1.538127    -3.395075
49747.00    -0.510751     1.552335    -2.548435
49747.25    -0.759899     1.721908    -3.006123
49747.50    -0.708821     1.551887    -2.439172
49747.75    -0.818294     1.853021    -3.264164
49748.00    -0.792316     1.795178    -2.248606
49748.25    -1.128072     1.833561    -2.200405
49748.50    -1.132718     1.582737    -1.387818
49748.75    -1.110375     1.802432    -2.257280
49749.00    -0.980340     1.774341    -1.501754
49749.25    -1.080474     1.762266    -1.799029
49749.50    -0.951029     1.313176    -1.034193
49749.75    -0.806630     1.547287    -2.147546
49750.00    -0.614896     1.302024    -1.085073
49750.25    -0.578773     1.197354    -1.400229
49750.50    -0.427342     0.820668    -1.181573
49750.75    -0.387218     1.009677    -2.746660
49751.00    -0.219777     0.887859    -2.374391
49751.25    -0.320330     0.867720    -2.970595
49751.50    -0.062463     0.573383    -2.911499
49751.75     0.107902     0.882148    -4.277402
49752.00     0.351600     0.825471    -3.500162
49752.25     0.293698     0.765212    -3.750237
49752.50     0.618651     0.342364    -3.078588
49752.75     0.749741     0.500552    -3.717856
49753.00     0.905326     0.369996    -2.507731
49753.25     0.799847     0.430278    -2.420015
49753.50     1.269816     0.131397    -1.662973
49753.75     1.495817     0.474231    -2.773950
49754.00     1.670640     0.385670    -1.589639
49754.25     1.780333     0.384984    -1.616635
49754.50     1.996781    -0.043032    -0.675556
49754.75     2.054582     0.139822    -1.501036
49755.00     2.296592    -0.029081    -0.257192
49755.25     2.155495    -0.021904    -0.348566
49755.50     2.334392    -0.420796     0.392999
49755.75     2.211847    -0.086474    -0.636538
49756.00     2.178188    -0.123973     0.285917
49756.25     1.794999    -0.089339     0.159725
49756.50     1.973060    -0.414051     0.810424
49756.75     1.983346    -0.142926    -0.371289
49757.00     2.030603    -0.221753     0.457181
49757.25     1.888415    -0.196893     0.226314
49757.50     2.017941    -0.485644     0.676521
49757.75     1.936984    -0.170202    -0.843954
49758.00     1.928204    -0.265427     0.172006
49758.25     1.514794    -0.217938    -0.247168
49758.50     1.455701    -0.548006     0.600567
49758.75     1.170596    -0.236813    -0.411606
49759.00     1.018129    -0.322803     0.801721
49759.25     0.510548    -0.216630     0.669610
49759.50     0.361557    -0.409025     1.243918
49759.75     0.022312    -0.006058     0.093748
49760.00    -0.300683    -0.070188     1.426317
49760.25    -0.957816     0.089034     1.379592
49760.50    -1.126737    -0.143795     2.028350
49760.75    -1.383823     0.366778     0.907051
49761.00    -1.676440     0.321279     2.071218
49761.25    -1.934586     0.456524     1.937771
49761.50    -1.810053     0.155761     2.680929
49761.75    -1.830329     0.400404     1.752504
49762.00    -1.909688     0.249605     3.192830
49762.25    -1.953569     0.248984     3.340668
49762.50    -1.863192    -0.149704     4.674744
49762.75    -1.650593    -0.015136     4.083774
49763.00    -1.483162    -0.060246     4.800644
49763.25    -1.508930     0.057988     3.989794
49763.50    -1.246091    -0.168327     4.117658
49763.75    -0.947663     0.169132     2.315036
49764.00    -0.595013     0.201686     2.207262
49764.25    -0.577215     0.413023     0.626056
49764.50    -0.089446     0.161404     0.656994
49764.75     0.122132     0.672467    -1.514569
49765.00     0.215845     0.618385    -0.702249
49765.25     0.118684     0.696884    -1.095824
49765.50     0.365880     0.356748    -0.234809
49765.75     0.289165     0.634346    -1.706067
49766.00     0.310477     0.517284    -0.731973
49766.25    -0.014311     0.524298    -1.331527
49766.50    -0.049891     0.210565    -0.954151
49766.75    -0.243465     0.628767    -2.898848
49767.00    -0.133269     0.687425    -2.269901
49767.25    -0.291132     0.965241    -3.011673
49767.50    -0.161053     0.836119    -2.691502
49767.75    -0.096615     1.212782    -4.055808
49768.00    -0.160250     1.148992    -3.052874
49768.25    -0.562023     1.135276    -3.245359
49768.50    -0.431868     0.783085    -2.307114
49768.75    -0.260127     1.068354    -3.101151
49769.00    -0.136224     0.914880    -1.563820
49769.25    -0.239333     0.847215    -1.163178
49769.50    -0.215956     0.399427    -0.441794
49769.75    -0.249716     0.639146    -1.647581
49770.00    -0.148607     0.482444    -0.505791
49770.25    -0.334682     0.349269    -0.753453
49770.50    -0.309358    -0.019545    -0.139901
49770.75    -0.335122     0.176097    -1.398404
49771.00    -0.151327     0.125438    -0.777214
49771.25    -0.298412     0.183005    -1.528213
49771.50    -0.010812    -0.072845    -1.194339
49771.75     0.290538     0.298406    -2.868995
49772.00     0.400050     0.308171    -2.080646
49772.25     0.257553     0.370516    -2.411940
49772.50     0.503986     0.037644    -1.631823
49772.75     0.637072     0.317192    -2.892511
49773.00     0.740626     0.139948    -1.255190
49773.25     0.611679    -0.001891    -0.945736
49773.50     0.810479    -0.389653    -0.069600
49773.75     0.658267    -0.129100    -1.470234
49774.00     0.667784    -0.245647    -0.343027
49774.25     0.499300    -0.235983    -0.613604
49774.50     0.467604    -0.582737    -0.188745
49774.75     0.393818    -0.211913    -1.932203
49775.00     0.365717    -0.352122    -0.803029
49775.25     0.007681    -0.315954    -1.289034
49775.50     0.199503    -0.622081    -0.957771
49775.75     0.266050    -0.260689    -2.480711
49776.00     0.229669    -0.344610    -1.572704
49776.25     0.064745    -0.258860    -2.061336
49776.50     0.295805    -0.581390    -1.266006
49776.75     0.170309    -0.212627    -2.659671
49777.00     0.092815    -0.257607    -1.321865
49777.25    -0.192676    -0.209182    -1.155802
49777.50    -0.263266    -0.499579    -0.140811
49777.75    -0.480109    -0.134105    -1.128106
49778.00    -0.603742    -0.136375     0.264011
49778.25    -0.972047    -0.039561     0.119931
49778.50    -1.024373    -0.239507     0.570015
49778.75    -1.046635     0.141792    -0.804875
49779.00    -0.969975     0.061565     0.181247
49779.25    -1.094547     0.110921    -0.212910
49779.50    -0.745892    -0.190941     0.418057
49779.75    -0.526723     0.028680    -0.887523
49780.00    -0.416541    -0.153406     0.043798
49780.25    -0.754988    -0.209800    -0.066280
49780.50    -0.651058    -0.530872     0.351744
49780.75    -0.667060    -0.200826    -0.958937
49781.00    -0.738844    -0.245059     0.028762
49781.25    -0.956140    -0.212386     0.114566
49781.50    -0.832548    -0.511357     0.968865
49781.75    -0.759329    -0.312738     0.270410
49782.00    -0.623303    -0.475663     1.728407
49782.25    -0.787698    -0.551053     1.717278
49782.50    -0.659240    -0.946633     2.125747
49782.75    -0.551993    -0.461477    -0.372068
49783.00    -0.698876    -0.356833    -0.012138
49783.25    -1.175917    -0.083834    -1.068862
49783.50    -1.212949    -0.226038    -0.941542
49783.75    -1.304646     0.320675    -2.975020
49784.00    -1.369673     0.322393    -1.770196
49784.25    -1.663135     0.471359    -1.975809
49784.50    -1.632010     0.287067    -1.057474
49784.75    -1.751471     0.719136    -2.317375
49785.00    -1.515349     0.636674    -0.829193
49785.25    -1.791095     0.683986    -0.534567
49785.50    -1.825686     0.366321     0.698328
49785.75    -1.792494     0.694751    -0.090786
49786.00    -1.828744     0.510115     1.450170
49786.25    -2.172568     0.601865     1.135210
49786.50    -2.226356     0.347821     2.176290
49786.75    -2.325288     0.673674     1.308104
49787.00    -2.367506     0.633208     2.717065
49787.25    -2.710864     0.612849     3.367747
49787.50    -2.505616     0.226167     4.664804
49787.75    -2.399711     0.452732     3.282591
49788.00    -2.099644     0.333189     3.913596
49788.25    -2.035297     0.418653     2.986149
49788.50    -1.723618     0.166752     2.921618
49788.75    -1.654369     0.556110     0.316970
49789.00    -1.711698     0.517477     0.351833
49789.25    -2.149857     0.727131    -1.252659
49789.50    -2.205792     0.562292    -1.455599
49789.75    -2.070658     0.905319    -3.280042
49790.00    -1.989823     0.838037    -2.666479
49790.25    -2.291308     1.023175    -3.716717
49790.50    -2.153859     0.670990    -3.045649
49790.75    -1.962382     0.998360    -4.436787
49791.00    -1.489266     0.854036    -2.961913
49791.25    -1.360757     0.832452    -2.875700
49791.50    -0.949684     0.396242    -1.832822
49791.75    -0.628537     0.601823    -2.912029
49792.00    -0.260845     0.321410    -1.480748
49792.25    -0.418331     0.332497    -1.647226
49792.50    -0.305793    -0.008491    -0.873339
49792.75    -0.167575     0.257305    -1.794857
49793.00     0.003407     0.172231    -0.613450
49793.25    -0.191278     0.302109    -1.120161
49793.50     0.206846     0.013009    -0.343651
49793.75     0.691768     0.342000    -1.531824
49794.00     1.069419     0.280166    -0.434351
49794.25     1.181011     0.333761    -0.932754
49794.50     1.648473    -0.014437    -0.390448
49794.75     1.918917     0.281912    -1.574341
49795.00     2.057017     0.144714     0.086008
49795.25     2.019894     0.131252     0.197333
49795.50     2.179684    -0.189082     1.305061
49795.75     2.186186     0.139413     0.250303
49796.00     2.062714     0.041470     2.053610
49796.25     1.434034     0.173290     2.188551
49796.50     1.141094    -0.042810     3.199682
49796.75     0.931615     0.347579     2.368068
49797.00     0.708073     0.330154     3.829523
49797.25    -0.162254     0.467627     3.488334
49797.50    -0.229132     0.118954     4.537227
49797.75    -0.490463     0.380958     3.270173
49798.00    -0.664863     0.317755     3.765346
49798.25    -0.936219     0.379392     2.573010
49798.50    -0.731713     0.165935     2.673178
49798.75    -0.694639     0.540419     0.732845
49799.00    -0.706794     0.347858     1.955999
49799.25    -1.111556     0.399499     1.885962
49799.50    -1.160684     0.105709     2.723253
49799.75    -1.236164     0.335890     1.683603
49800.00    -0.920960     0.052709     2.472081
49800.25    -1.010282     0.168403     1.199745
49800.50    -0.562907    -0.201795     1.766039
49800.75    -0.108531    -0.042367     0.597786
49801.00     0.332814    -0.286197     1.827218
49801.25     0.453244    -0.301894     0.804321
49801.50     1.042638    -0.907115     1.785052
49801.75     1.477274    -0.669535     0.149792
49802.00     1.667123    -0.811465     0.947077
49802.25     1.755637    -0.733869    -0.246013
49802.50     2.211611    -1.143316     0.122673
49802.75     2.340384    -0.807327    -1.893861
49803.00     2.529710    -0.890668    -1.079038
49803.25     2.306482    -0.736637    -1.825216
49803.50     2.472600    -1.042656    -1.065740
49803.75     2.384656    -0.640665    -2.604239
49804.00     2.436289    -0.718001    -1.472489
49804.25     1.997481    -0.511420    -1.951219
49804.50     2.068507    -0.782561    -0.909683
49804.75     2.043268    -0.363600    -1.762165
49805.00     2.089003    -0.414884    -0.374703
49805.25     1.708568    -0.224761    -0.670417
49805.50     1.754466    -0.492923     0.438925
49805.75     1.431409    -0.084307    -0.873365
49806.00     1.104469    -0.074368     0.266475
49806.25     0.690098     0.110981    -0.284558
49806.50     0.641067    -0.175935     0.525617
49806.75     0.488341     0.317309    -1.065656
49807.00     0.380178     0.283709     0.245256
49807.25     0.078491     0.500545    -0.487644
49807.50     0.249569     0.232581     0.236182
49807.75     0.317080     0.593311    -1.228790
49808.00     0.349619     0.440845     0.174526
49808.25     0.205982     0.500892     0.029323
49808.50     0.580708     0.122593     1.139069
49808.75     0.864034     0.391371     0.072869
49809.00     1.047894     0.121745     1.856369
49809.25     1.057572     0.041052     1.845948
49809.50     1.455988    -0.458704     2.794872
49809.75     1.705781    -0.218632     1.305752
49810.00     1.812712    -0.292602     2.054756
49810.25     1.516065    -0.127834     0.997958
49810.50     1.676070    -0.341646     0.904929
49810.75     1.614469     0.093553    -0.885256
49811.00     1.536641     0.067228     0.706137
49811.25     1.057455     0.356117     0.168259
49811.50     1.164389     0.156094     1.040518
49811.75    -3.131877     3.512551   -15.263930
49812.00     0.634062     0.483191     1.575655
49812.25     0.039470     0.512554     1.490579
49812.50     0.030377     0.113136     2.461943
49812.75    -0.124452     0.419766     1.601118
49813.00    -0.213735     0.226764     2.919564
49813.25    -0.392689     0.180276     2.821228
49813.50    -0.118507    -0.235003     3.465275
49813.75    -0.070279     0.048958     2.206089
49814.00    -0.066745    -0.141626     3.234150
49814.25    -0.296221    -0.138188     2.258719
49814.50     0.009365    -0.473320     2.486817
49814.75     0.181885    -0.113497     1.209775
49815.00     0.338262    -0.258730     2.184543
49815.25     0.241976    -0.217623     1.745656
49815.50     0.543630    -0.514891     2.226846
49815.75     0.708258    -0.138654     0.951809
49816.00     0.611012    -0.253328     2.106493
49816.25     0.334713    -0.195130     1.716639
49816.50     0.565511    -0.530719     2.617221
49816.75     0.581844    -0.167061     1.629027
49817.00     0.612702    -0.135684     2.514536
49817.25     0.260729     0.099818     1.208309
49817.50     0.340596    -0.152575     1.305192
49817.75     0.117037     0.284322     0.050458
49818.00    -0.040631     0.215646     1.242179
49818.25    -0.404241     0.302765     0.653372
49818.50    -0.379360    -0.203336     1.632032
49818.75    -0.450797     0.048960     0.459742
49819.00    -0.470487    -0.125301     1.590258
49819.25    -0.839135    -0.047002     0.869142
49819.50    -0.643695    -0.309332     1.047008
49819.75    -0.656502     0.154307    -0.586631
49820.00    -0.842702     0.136656     0.237340
49820.25    -1.216903     0.251400    -0.284937
49820.50    -1.014892    -0.026880     0.535394
49820.75    -1.125079     0.310102    -0.545569
49821.00    -1.253305     0.066165     0.858459
49821.25    -1.519879     0.006224     0.535980
49821.50    -1.250129    -0.390512     1.050499
49821.75    -1.234458    -0.197789    -0.040478
49822.00    -1.300655    -0.412264     1.372360
49822.25    -1.552920    -0.463159     1.320431
49822.50    -1.385465    -0.877663     2.057266
49822.75    -1.320978    -0.543097     1.058248
49823.00    -1.260215    -0.631021     2.354946
49823.25    -1.238088    -0.563953     2.212466
49823.50    -0.856506    -0.876864     3.039960
49823.75    -0.809858    -0.594414     2.226524
49824.00    -0.735950    -0.640334     2.498652
49824.25    -0.952953    -0.482692     1.320376
49824.50    -0.735159    -0.742482     1.321403
49824.75    -0.563017    -0.334856    -0.284829
49825.00    -0.414134    -0.324819     0.355552
49825.25    -0.569078    -0.301780     0.354553
49825.50    -0.302022    -0.671635     1.577522
49825.75    -0.304344    -0.396619     1.484090
49826.00    -0.240174    -0.589335     3.169911
49826.25    -0.419474    -0.597192     2.762260
49826.50    -0.304959    -0.970675     3.217422
49826.75    -0.450150    -0.683286     1.795554
49827.00    -0.712881    -0.646351     2.336232
49827.25    -1.010332    -0.544509     1.684362
49827.50    -0.796678    -0.883075     2.316569
49827.75    -0.735053    -0.696242     1.448881
49828.00    -0.712759    -0.898139     2.533432
49828.25    -0.944952    -0.880150     1.757373
49828.50    -0.635095    -1.176272     1.849717
49828.75    -0.574783    -0.800869     0.194156
49829.00    -0.434383    -0.774150     0.550076
49829.25    -0.837256    -0.586125    -0.584925
49829.50    -0.706103    -0.785365    -0.787067
49829.75    -0.828994    -0.329796    -2.303053
49830.00    -0.855373    -0.417985    -1.049742
49830.25    -1.248720    -0.254752    -1.793310
49830.50    -0.864757    -0.625383    -1.206382
49830.75    -0.820974    -0.297633    -2.053748
49831.00    -0.729018    -0.486082    -0.561712
49831.25    -0.854315    -0.518485    -0.843399
49831.50    -0.370329    -0.915045     0.004831
49831.75    -0.230046    -0.657028    -0.860636
49832.00    -0.038663    -0.872063     0.752112
49832.25    -0.224336    -0.872547     0.404531
49832.50     0.145736    -1.173106     1.114706
49832.75     0.206936    -0.868380     0.199734
49833.00     0.367912    -0.955158     1.538890
49833.25     0.166560    -0.852103     1.299189
49833.50     0.482261    -1.113958     1.506192
49833.75     0.382442    -0.734241     0.449068
49834.00     0.234252    -0.761561     1.475765
49834.25    -0.028149    -0.577074     1.006453
49834.50     0.122167    -0.896075     1.534798
49834.75     0.054900    -0.470966     0.192939
49835.00     0.007279    -0.547262     1.089354
49835.25    -0.171704    -0.378340     0.701050
49835.50    -0.109576    -0.622561     0.886232
49835.75    -0.032379    -0.357630     0.106925
49836.00     0.037671    -0.564960     1.438379
49836.25    -0.295680    -0.460081     0.906624
49836.50    -0.175581    -0.728947     1.532315
49836.75    -0.101333    -0.379955     0.599026
49837.00     0.023381    -0.486846     1.307829
49837.25     0.041973    -0.441576     0.741793
49837.50     0.354726    -0.825208     1.414528
49837.75     0.490129    -0.560474     0.206538
49838.00     0.520605    -0.582208     0.942025
49838.25     0.402666    -0.403571     0.561656
49838.50     0.521586    -0.615466     1.520242
49838.75     0.311841    -0.247014     1.003352
49839.00     0.280306    -0.279174     2.312502
49839.25    -0.101555    -0.223299     2.106486
49839.50     0.125417    -0.485493     2.530676
49839.75    -0.027189    -0.172463     1.428570
49840.00    -0.123422    -0.272847     2.339326
49840.25    -0.441926    -0.195278     1.470480
49840.50    -0.120090    -0.488518     1.814554
49840.75    -0.032612    -0.202079     0.690745
49841.00     0.030722    -0.331672     1.707175
49841.25    -0.049045    -0.353584     1.351369
49841.50     0.442863    -0.835417     2.092229
49841.75     0.476119    -0.640286     0.996976
49842.00     0.526257    -0.808847     2.332059
49842.25     0.387504    -0.762046     2.029134
49842.50     0.595475    -0.965788     2.162055
49842.75     0.697430    -0.600404     1.009064
49843.00     0.797471    -0.613032     1.991830
49843.25     0.623923    -0.463746     1.773816
49843.50     0.860685    -0.788557     2.831474
49843.75     0.788786    -0.452080     2.232968
49844.00     0.506214    -0.510124     3.101073
49844.25     0.041183    -0.430101     2.572889
49844.50     0.251448    -0.741117     3.224723
49844.75     0.201980    -0.488162     2.191180
49845.00     0.250000    -0.552294     2.825709
49845.25    -0.030519    -0.544441     2.056184
49845.50     0.375521    -0.981734     2.489277
49845.75     0.362908    -0.692264     1.393594
49846.00     0.526849    -0.863145     2.183782
49846.25     0.438497    -0.801542     1.330177
49846.50     0.986549    -1.095903     1.479773
49846.75     1.209230    -0.867503     0.387873
49847.00     1.398634    -1.066568     1.548761
49847.25     1.135004    -0.980930     1.134566
49847.50     1.446907    -1.327593     1.971998
49847.75     1.397993    -0.906077     1.034678
49848.00     1.328951    -0.943807     2.282645
49848.25     0.939052    -0.774190     2.065603
49848.50     1.067308    -1.044658     3.073997
49848.75     0.885540    -0.663828     2.460273
49849.00     0.603251    -0.696614     3.925523
49849.25     0.156493    -0.620553     3.985820
49849.50     0.248236    -0.915289     4.472954
49849.75     0.174664    -0.618374     3.706094
49850.00    -0.043791    -0.748611     4.991540
49850.25    -0.482127    -0.690867     4.845035
49850.50    -0.447603    -1.076728     5.660175
49850.75    -0.388208    -0.815834     4.704374
49851.00    -0.268880    -0.919485     5.165440
49851.25    -0.242107    -0.803602     3.995105
49851.50     0.297007    -1.033606     3.669512
49851.75     0.467063    -0.614687     1.934966
49852.00     0.564274    -0.707167     2.838431
49852.25     0.443701    -0.618756     2.240785
49852.50     0.642331    -0.857016     2.323435
49852.75     0.757733    -0.505382     1.231130
49853.00     0.906946    -0.690458     2.972970
49853.25     0.683086    -0.642465     2.983477
49853.50     0.857328    -0.938038     3.847282
49853.75     0.787178    -0.707265     3.172916
49854.00     0.635281    -0.793621     4.263031
49854.25     0.184680    -0.701653     3.437117
49854.50     0.270197    -0.999819     3.686487
49854.75     0.181093    -0.705356     2.188808
49855.00    -0.052006    -0.734866     2.760302
49855.25    -0.435131    -0.629776     1.808952
49855.50    -0.272304    -0.815633     1.727890
49855.75    -0.544595    -0.464751     0.159604
49856.00    -0.807494    -0.490571     0.812410
49856.25    -1.227619    -0.356398     0.035732
49856.50    -1.050430    -0.509023     0.199963
49856.75    -1.223311    -0.092908    -0.752270
49857.00    -1.482427    -0.134014     0.279742
49857.25    -1.853483    -0.028203    -0.154079
49857.50    -1.688220    -0.300901     0.417595
49857.75    -1.667485    -0.105153    -0.302456
49858.00    -1.508480    -0.363351     0.906360
49858.25    -1.626030    -0.444779     0.623525
49858.50    -1.322923    -0.786908     1.034195
49858.75    -1.224799    -0.537958     0.046115
49859.00    -1.141518    -0.644188     1.362672
49859.25    -1.308147    -0.630473     1.040916
49859.50    -0.874756    -0.939101     1.484692
49859.75    -0.921781    -0.648704     0.444038
49860.00    -0.952598    -0.689411     1.270095
49860.25    -1.110079    -0.592482     0.798112
49860.50    -0.821110    -0.879603     1.276902
49860.75    -0.904995    -0.542966     0.118218
49861.00    -0.941709    -0.598847     1.105851
49861.25    -1.241562    -0.496809     0.564328
49861.50    -0.916194    -0.802338     1.013786
49861.75    -0.958402    -0.492328     0.165696
49862.00    -0.942650    -0.582955     1.282850
49862.25    -1.040876    -0.558899     1.139540
49862.50    -0.816789    -0.873710     1.828950
49862.75    -0.879948    -0.500958     0.737423
49863.00    -0.821507    -0.506700     1.670069
49863.25    -1.068462    -0.359152     0.822334
49863.50    -0.796153    -0.623936     1.439324
49863.75    -0.818873    -0.288908     0.471694
49864.00    -0.933662    -0.315846     1.328286
49864.25    -1.309434    -0.254058     0.595348
49864.50    -1.106385    -0.577508     1.094909
49864.75    -1.228479    -0.310038     0.297964
49865.00    -1.286036    -0.343619     1.180633
49865.25    -1.400471    -0.347524     0.794935
49865.50    -0.991907    -0.652489     1.323986
49865.75    -0.910723    -0.386623     0.463698
49866.00    -0.734542    -0.508998     1.636639
49866.25    -0.772639    -0.467285     1.154234
49866.50    -0.295212    -0.802593     1.653886
49866.75    -0.223949    -0.443471     0.571160
49867.00    -0.245804    -0.384556     1.379461
49867.25    -0.455580    -0.269481     0.744982
49867.50    -0.127383    -0.531441     0.898755
49867.75    -0.089791    -0.202752    -0.155985
49868.00    -0.249577    -0.209398     0.837883
49868.25    -0.485562    -0.193116     0.391103
49868.50    -0.255725    -0.497611     0.813508
49868.75    -0.286378    -0.232740    -0.343405
49869.00    -0.396162    -0.318573     0.774156
49869.25    -0.603014    -0.320067     0.667091
49869.50    -0.201014    -0.701145     1.636697
49869.75    -0.128133    -0.489394     0.976969
49870.00    -0.222242    -0.620455     2.256642
49870.25    -0.457928    -0.745163     1.978221
49870.50    -0.170425    -1.067475     2.528527
49870.75    -0.082740    -0.800271     1.542700
49871.00    -0.106957    -0.819628     2.515719
49871.25    -0.178136    -0.841896     1.975525
49871.50     0.117351    -1.102896     2.362596
49871.75     0.099779    -0.792344     1.261813
49872.00     0.142439    -0.801632     1.998467
49872.25     0.165266    -0.791032     1.695713
49872.50     0.539532    -1.088943     1.999675
49872.75     0.704015    -0.816860     1.016272
