OS TB 12/05/95 C&D: Source x Race-Cases '94



 Table R56.  Number of nonfatal occupational injuries and illnesses involving days away from work(1) by source of
 injury or illness and race or ethnic origin of worker, 1994
 __________________________________________________________________________________________________________________
                                 |           |         |                                                           
                                 |           |         |                   Race or ethnic origin                   
                                 |           |         |___________________________________________________________
                                 |   Source  | Private |         |         |         |         |         |         
       Sulfuric acid.............|     0134  |    1,078|      766|       47|      110|       14|    -    |      138
       Inorganic acids, n.e.c. ..|     0139  |       71|       49|    -    |    -    |    -    |    -    |       16
     Organic acids...............|      014  |       85|       57|       11|    -    |    -    |    -    |    -    
       Organic acids, unspecified|     0140  |       11|    -    |    -    |    -    |    -    |    -    |    -    
       Organic acids, n.e.c. ....|     0149  |       37|    -    |       11|    -    |    -    |    -    |    -    
     Acids, n.e.c. ..............|      019  |       91|       42|    -    |    -    |    -    |    -    |       32
   Alkalies......................|       02  |    2,355|    1,298|      326|      175|       33|    -    |      520
     Alkalies, unspecified.......|      020  |      189|       80|       16|    -    |       12|    -    |       68
     Calcium hydroxides, calcium |           |         |         |         |         |         |         |         
      oxides.....................|      021  |    1,316|      896|       48|      110|    -    |    -    |      260
       Calcium hydroxide, calcium|           |         |         |         |         |         |         |         
        oxides,                  |           |         |         |         |         |         |         |         
        unspecified..............|     0210  |       59|       42|    -    |    -    |    -    |    -    |       12
       Cement, mortar mix--dry...|     0211  |      172|      107|    -    |       25|    -    |    -    |       32
       Cement, mortar--wet.......|     0212  |      705|      520|    -    |       59|    -    |    -    |      103
       Lime......................|     0213  |      338|      190|       19|    -    |    -    |    -    |      108
       Calcium hydroxide, calcium|           |         |         |         |         |         |         |         
        oxides, n.e.c. ..........|     0219  |       42|       37|    -    |    -    |    -    |    -    |    -    
     Carbonates--calcium, sodium.|      022  |       86|       32|       18|    -    |    -    |    -    |       27
       Limestone, calcium        |           |         |         |         |         |         |         |         
        carbonate................|     0221  |       20|       16|    -    |    -    |    -    |    -    |    -    
       Sodium bicarbonate, baking|           |         |         |         |         |         |         |         
        soda.....................|     0222  |       30|    -    |       18|    -    |    -    |    -    |       12
       Sodium carbonate, soda ash|     0223  |       24|    -    |    -    |    -    |    -    |    -    |    -    
     Lithium hydroxide...........|      023  |       13|       13|    -    |    -    |    -    |    -    |    -    
     Sodium and potassium        |           |         |         |         |         |         |         |         
      hydroxide, potassium       |           |         |         |         |         |         |         |         
      carbonate..................|      024  |      704|      252|      239|       45|       19|    -    |      148
     Alkalies, n.e.c. ...........|      029  |       46|       26|    -    |    -    |    -    |    -    |       16
   Aromatics and hydrocarbon     |           |         |         |         |         |         |         |         
    derivatives, except          |           |         |         |         |         |         |         |         
    halogenated..................|       03  |    1,801|      988|      183|      128|       67|    -    |      431
     Aromatics and hydrocarbon   |           |         |         |         |         |         |         |         
      derivatives, except        |           |         |         |         |         |         |         |         
      halogenated, unspecified...|      030  |       52|       32|    -    |       18|    -    |    -    |    -    
     Alcohols....................|      031  |    1,105|      704|       61|       46|       55|    -    |      236
       Alcohols,  ...............|     0310  |      118|       53|    -    |       11|    -    |    -    |       50
       Antifreeze................|     0311  |      819|      552|       34|       29|       53|    -    |      148
       Ethylene glycol...........|     0313  |       11|    -    |    -    |    -    |    -    |    -    |    -    
       Fusel oil.................|     0314  |       49|       26|       14|    -    |    -    |    -    |    -    
       Methanol..................|     0315  |       38|       24|    -    |    -    |    -    |    -    |    -    
       Propanol..................|     0316  |       34|    -    |    -    |    -    |    -    |    -    |       20
       Alcohols, n.e.c. .........|     0319  |       15|       15|    -    |    -    |    -    |    -    |    -    
     Aldehydes...................|      032  |      116|       52|    -    |    -    |    -    |    -    |       56
       Formaldehyde..............|     0323  |       58|       35|    -    |    -    |    -    |    -    |       16
       Formalin..................|     0324  |       47|    -    |    -    |    -    |    -    |    -    |       38
     Aromatics...................|      034  |      254|       48|       80|       36|       11|    -    |       80
       Aromatics, unspecified....|     0340  |       39|    -    |       35|    -    |    -    |    -    |    -    
       Aniline and other aromatic|           |         |         |         |         |         |         |         
        amines...................|     0341  |       40|    -    |       35|    -    |    -    |    -    |    -    
       Benzene...................|     0342  |       43|    -    |    -    |       28|    -    |    -    |    -    
       Toluene...................|     0343  |       66|    -    |    -    |    -    |    -    |    -    |       47
       Xylene....................|     0344  |       35|       24|    -    |    -    |    -    |    -    |    -    
       Aromatics, n.e.c. ........|     0349  |       31|    -    |    -    |    -    |    -    |    -    |       30
     Ketones.....................|      036  |      162|      102|    -    |       20|    -    |    -    |       37
       Acetone...................|     0361  |       58|       40|    -    |    -    |    -    |    -    |    -    
       Methyl ethyl ketone.......|     0363  |       65|       28|    -    |    -    |    -    |    -    |       30
       Methyl N-butyl ketone.....|     0364  |       26|       26|    -    |    -    |    -    |    -    |    -    
     Peroxides...................|      037  |       36|       26|    -    |    -    |    -    |    -    |    -    
       Peroxides, unspecified....|     0370  |       17|    -    |    -    |    -    |    -    |    -    |    -    
       Hydrogen peroxide.........|     0372  |       16|       14|    -    |    -    |    -    |    -    |    -    
     Aromatics and hydrocarbon   |           |         |         |         |         |         |         |         
      derivatives, except        |           |         |         |         |         |         |         |         
      halogenated, n.e.c. .......|      039  |       58|       12|       32|    -    |    -    |    -    |       11
       Nitro hydrocarbons........|     0391  |       32|    -    |       27|    -    |    -    |    -    |    -    
       Other aromatics and       |           |         |         |         |         |         |         |         
        hydrocarbon derivatives, |           |         |         |         |         |         |         |         
        except halogenated,      |           |         |         |         |         |         |         |         
        n.e.c. ..................|     0399  |       26|       11|    -    |    -    |    -    |    -    |       11
   Halogens and halogen compounds|       04  |    1,581|      713|      179|      277|       44|    -    |      367
     Halogens and halogen        |           |         |         |         |         |         |         |         
      compounds,                 |           |         |         |         |         |         |         |         
      unspecified................|      040  |       16|       14|    -    |    -    |    -    |    -    |    -    
     Bromine and bromine         |           |         |         |         |         |         |         |         
      compounds..................|      041  |       50|    -    |    -    |       40|    -    |    -    |    -    
       Methyl bromide............|     0413  |       48|    -    |    -    |       40|    -    |    -    |    -    
     Chlorine and chlorine       |           |         |         |         |         |         |         |         
      compounds..................|      042  |    1,255|      548|      163|      220|       37|    -    |      288
       Chlorine compounds,       |           |         |         |         |         |         |         |         
        unspecified..............|     0420  |      346|      126|       29|      125|    -    |    -    |       46
       Chlorine, chlorine bleach.|     0422  |      705|      301|      104|       78|    -    |    -    |      213
       Perchloroethylene.........|     0425  |       14|    -    |    -    |    -    |    -    |    -    |    -    
       Trichloroethylene.........|     0427  |       40|    -    |    -    |    -    |    -    |    -    |    -    
       Chlorine compounds, n.e.c.|           |         |         |         |         |         |         |         
        .........................|     0429  |      144|       86|       20|    -    |    -    |    -    |    -    
     Fluorine and fluorine       |           |         |         |         |         |         |         |         
      compounds..................|      043  |      225|      120|    -    |       16|    -    |    -    |       74
       Fluorotrichloromethane....|     0432  |      212|      120|    -    |       16|    -    |    -    |       61
       Fluorocarbons, n.e.c. ....|     0433  |       13|    -    |    -    |    -    |    -    |    -    |       13
     Halogens and halogen        |           |         |         |         |         |         |         |         
      compounds, n.e.c. .........|      049  |       13|    -    |    -    |    -    |    -    |    -    |    -    
   Metallic particulates, trace  |           |         |         |         |         |         |         |         
    elements, dusts, powders,    |           |         |         |         |         |         |         |         
    fumes........................|       05  |    1,977|    1,117|      223|      159|       48|    -    |      425
     Metallic particulates, trace|           |         |         |         |         |         |         |         
      elements, dusts, powders,  |           |         |         |         |         |         |         |         
      fumes, unspecified.........|      050  |      793|      400|      108|       85|       40|    -    |      160
     Arsenic, arsenic compounds..|      051  |       11|    -    |    -    |    -    |    -    |    -    |    -    
     Lead and lead compounds.....|      054  |       60|       52|    -    |    -    |    -    |    -    |    -    
       Lead and lead compounds,  |           |         |         |         |         |         |         |         
        unspecified..............|     0540  |       35|       33|    -    |    -    |    -    |    -    |    -    
     Mercury and compounds.......|      055  |       17|    -    |    -    |    -    |    -    |    -    |       13
     Other metallics and         |           |         |         |         |         |         |         |         
      compounds..................|      056  |      226|      140|    -    |       18|    -    |    -    |       58
       Aluminum and aluminum     |           |         |         |         |         |         |         |         
        compounds................|     0561  |       52|       17|    -    |    -    |    -    |    -    |       35
       Iron and iron compounds...|     0564  |       15|    -    |    -    |    -    |    -    |    -    |    -    
       Zinc and zinc compounds...|     0568  |       96|       84|    -    |    -    |    -    |    -    |    -    
       Other metallics and       |           |         |         |         |         |         |         |         
        compounds, n.e.c. .......|     0569  |       45|       34|    -    |    -    |    -    |    -    |    -    
     Welding or soldering fumes, |           |         |         |         |         |         |         |         
      unspecified or n.e.c. .....|      057  |      359|      223|       27|       27|    -    |    -    |       80
     Metallic particulates, trace|           |         |         |         |         |         |         |         
      elements, dusts, powders,  |           |         |         |         |         |         |         |         
      fumes, n.e.c. .............|      059  |      498|      286|       74|       28|    -    |    -    |      102
   Agricultural chemicals and    |           |         |         |         |         |         |         |         
    other pesticides.............|       06  |    1,233|      802|      102|      164|    -    |    -    |      163
     Agricultural chemicals and  |           |         |         |         |         |         |         |         
      other pesticides,          |           |         |         |         |         |         |         |         
      unspecified................|      060  |      195|      128|       11|       24|    -    |    -    |       32
     Fertilizers, plant food,    |           |         |         |         |         |         |         |         
      n.e.c. ....................|      061  |       73|       46|    -    |       13|    -    |    -    |    -    
     Fumigants, n.e.c. ..........|      062  |      280|      158|       43|       59|    -    |    -    |    -    
     Herbicides..................|      064  |      133|      100|    -    |    -    |    -    |    -    |       19
       Herbicides, unspecified...|     0640  |       83|       70|    -    |    -    |    -    |    -    |       13
       Phenols...................|     0645  |       16|       15|    -    |    -    |    -    |    -    |    -    
     Insecticides................|      065  |      493|      334|       28|       61|    -    |    -    |       70
       Insecticides, unspecified.|     0650  |      440|      310|    -    |       42|    -    |    -    |       63
       Carbamate insecticides....|     0651  |       20|       15|    -    |    -    |    -    |    -    |    -    
       Insecticides, n.e.c. .....|     0659  |       24|    -    |    -    |       14|    -    |    -    |    -    
     Agricultural and            |           |         |         |         |         |         |         |         
      horticultural chemicals,   |           |         |         |         |         |         |         |         
      n.e.c. ....................|      069  |       39|       27|    -    |    -    |    -    |    -    |    -    
   Chemical products--general....|       07  |   15,427|    7,478|    1,661|    2,286|      244|       61|    3,697
     Chemical products,          |           |         |         |         |         |         |         |         
      unspecified................|      070  |    1,920|    1,006|      177|      284|       29|    -    |      421
     Adhesives, glues, n.e.c. ...|      071  |      947|      471|       78|       75|       15|    -    |      308
     Beauty preparations,        |           |         |         |         |         |         |         |         
      cosmetics, n.e.c. .........|      072  |      190|      128|    -    |    -    |    -    |    -    |       41
       Beauty preparations,      |           |         |         |         |         |         |         |         
        cosmetics, unspecified...|     0720  |       25|       15|    -    |    -    |    -    |    -    |    -    
       Hair preparations.........|     0721  |       41|    -    |    -    |    -    |    -    |    -    |       13
       Other beauty preparations,|           |         |         |         |         |         |         |         
        cosmetics................|     0729  |      125|       91|    -    |    -    |    -    |    -    |       28
     Cleaning and polishing      |           |         |         |         |         |         |         |         
      agents, disinfectants,     |           |         |         |         |         |         |         |         
      n.e.c. ....................|      073  |    7,863|    3,484|      882|    1,543|      149|       28|    1,776
       Cleaning and polishing    |           |         |         |         |         |         |         |         
        agents,                  |           |         |         |         |         |         |         |         
        unspecified..............|     0730  |    3,955|    1,690|      398|      787|       98|    -    |      961
       Bleach--nonchlorine,      |           |         |         |         |         |         |         |         
        nonperoxide..............|     0731  |      176|       90|       34|       18|    -    |    -    |       29
       Disinfectants.............|     0732  |      306|      148|    -    |       83|       17|    -    |       37
       Drain and oven cleaners...|     0733  |      464|      151|       32|      238|    -    |    -    |       43
       Polishes..................|     0734  |       51|    -    |    -    |       25|    -    |    -    |    -    
       Scouring powders..........|     0735  |       35|       30|    -    |    -    |    -    |    -    |    -    
       Soap products.............|     0736  |    1,162|      471|      178|      194|       18|    -    |      301
       Synthetic detergents and  |           |         |         |         |         |         |         |         
        shampoos.................|     0737  |      435|      199|       44|       92|    -    |    -    |       99
       Multiple cleaning and     |           |         |         |         |         |         |         |         
        polishing agents.........|     0738  |      122|       24|       37|       40|    -    |    -    |       18
       Other cleaning and        |           |         |         |         |         |         |         |         
        polishing agents.........|     0739  |    1,156|      658|      136|       62|    -    |    -    |      286
     Drugs, alcohol, medicines...|      074  |      420|      184|       81|       24|    -    |    -    |      127
       Drugs and medicines,      |           |         |         |         |         |         |         |         
        unspecified..............|     0740  |       26|       24|    -    |    -    |    -    |    -    |    -    
       Medicines.................|     0743  |      184|       68|       30|       13|    -    |    -    |       74
       Drugs and medicines,      |           |         |         |         |         |         |         |         
        n.e.c. ..................|     0749  |      199|       90|       47|    -    |    -    |    -    |       48
     Explosives, blasting agents,|           |         |         |         |         |         |         |         
      n.e.c. ....................|      075  |      152|       41|       25|    -    |    -    |    -    |       82
       Flammable gas, unspecified|     0752  |       84|       34|    -    |    -    |    -    |    -    |       26
       Other explosives, blasting|           |         |         |         |         |         |         |         
        agents...................|     0759  |       52|    -    |    -    |    -    |    -    |    -    |       47
     Paint, lacquer, shellac,    |           |         |         |         |         |         |         |         
      varnish, n.e.c. ...........|      076  |    1,743|    1,040|      142|      104|       12|       29|      416
       Paint, lacquer, shellac,  |           |         |         |         |         |         |         |         
        varnish, unspecified.....|     0760  |      512|      298|       53|       59|    -    |    -    |       99
       Lacquer, shellac, varnish.|     0761  |      104|       49|       11|    -    |    -    |    -    |       43
       Paint.....................|     0762  |      830|      507|       66|       33|       12|    -    |      205
       Multiple paint, lacquer,  |           |         |         |         |         |         |         |         
        shellac, or varnish......|     0768  |      184|      116|    -    |    -    |    -    |    -    |       55
       Other paint, lacquer,     |           |         |         |         |         |         |         |         
        shellac, varnish.........|     0769  |      112|       69|    -    |    -    |    -    |       20|       14
     Solvents, degreasers, n.e.c.|           |         |         |         |         |         |         |         
      ...........................|      077  |    1,225|      628|      148|      136|       26|    -    |      285
       Solvents, degreasers,     |           |         |         |         |         |         |         |         
        unspecified..............|     0770  |      531|      233|       52|       44|    -    |    -    |      194
       Naphtha solvents..........|     0771  |      163|       95|       17|       16|    -    |    -    |       36
       Paint removers, thinners..|     0772  |      374|      195|       65|       65|    -    |    -    |       39
       Multiple solvents,        |           |         |         |         |         |         |         |         
        degreasers...............|     0778  |       34|       16|    -    |    -    |    -    |    -    |    -    
       Other solvents, degreasers|     0779  |      118|       86|    -    |    -    |    -    |    -    |       12
     Other chemical products.....|      079  |      968|      497|      116|      109|    -    |    -    |      241
       Other chemical products,  |           |         |         |         |         |         |         |         
        unspecified..............|     0790  |       45|       26|    -    |    -    |    -    |    -    |       14
       Dyes, inks................|     0791  |      225|      110|       34|       18|    -    |    -    |       62
       Tear gas, mace............|     0792  |      136|       67|    -    |       12|    -    |    -    |       55
       Photographic and copying  |           |         |         |         |         |         |         |         
        solutions................|     0793  |       94|       40|    -    |    -    |    -    |    -    |       27
       Chemical products, n.e.c. |     0799  |      468|      255|       70|       58|    -    |    -    |       82
   Coal, natural gas, petroleum  |           |         |         |         |         |         |         |         
    fuels and products, n.e.c. ..|       08  |    4,666|    2,096|      297|      286|       31|    -    |    1,948
     Coal, natural gas, petroleum|           |         |         |         |         |         |         |         
      fuels and products,        |           |         |         |         |         |         |         |         
      unspecified................|      080  |      102|       48|    -    |    -    |    -    |    -    |       48
     Coal and coal products......|      081  |    1,341|    -    |    -    |    -    |    -    |    -    |    1,329
       Coal products, unspecified|     0810  |       41|    -    |    -    |    -    |    -    |    -    |       41
       Coal......................|     0811  |    1,298|    -    |    -    |    -    |    -    |    -    |    1,286
     Natural gas.................|      082  |      128|       88|       27|    -    |    -    |    -    |    -    
     Petroleum, crude oil........|      083  |       70|       48|    -    |    -    |    -    |    -    |    -    
     Petroleum fuels,            |           |         |         |         |         |         |         |         
      distillates, and products, |           |         |         |         |         |         |         |         
      n.e.c. ....................|      084  |    2,966|    1,859|      262|      277|       25|    -    |      535
       Petroleum fuels,          |           |         |         |         |         |         |         |         
        distillates, and         |           |         |         |         |         |         |         |         
        products, unspecified....|     0840  |      162|       76|    -    |    -    |    -    |    -    |       69
       Gasoline, diesel fuel, jet|           |         |         |         |         |         |         |         
        fuel.....................|     0842  |      646|      381|       43|      152|    -    |    -    |       65
       Kerosene, heating oil.....|     0843  |      106|       82|    -    |    -    |    -    |    -    |       18
       Lubricating greases,      |           |         |         |         |         |         |         |         
        cutting oils.............|     0844  |    1,303|      894|      169|       35|    -    |    -    |      193
       Propane...................|     0845  |      554|      284|       32|       70|       14|    -    |      154
       Other petroleum fuels,    |           |         |         |         |         |         |         |         
        distillates, and products|     0849  |      190|      140|    -    |    -    |    -    |    -    |       35
     Other coal, natural gas,    |           |         |         |         |         |         |         |         
      petroleum fuels and        |           |         |         |         |         |         |         |         
      products...................|      089  |       58|       44|    -    |    -    |    -    |    -    |    -    
   Other chemicals...............|       09  |    5,563|    3,044|      599|      590|      150|       48|    1,131
     Ammonia and ammonium        |           |         |         |         |         |         |         |         
      compounds..................|      091  |      640|      386|       69|       84|    -    |    -    |      101
       Ammonia and ammonium      |           |         |         |         |         |         |         |         
        compounds, unspecified...|     0910  |      366|      205|       50|       48|    -    |    -    |       65
       Ammonia, anhydrous ammonia|     0911  |      181|      145|       17|       18|    -    |    -    |    -    
       Ammonium sulfate..........|     0914  |       19|    -    |    -    |    -    |    -    |    -    |       14
       Ammonia and ammonium      |           |         |         |         |         |         |         |         
        compounds,               |           |         |         |         |         |         |         |         
        n.e.c. ..................|     0919  |       43|    -    |    -    |    -    |    -    |    -    |       16
     Cyanide and cyanide         |           |         |         |         |         |         |         |         
      compounds, n.e.c. .........|      093  |       73|       60|    -    |    -    |    -    |    -    |    -    
       Cyanide and cyanide       |           |         |         |         |         |         |         |         
        compounds,               |           |         |         |         |         |         |         |         
        unspecified..............|     0930  |       12|    -    |    -    |    -    |    -    |    -    |    -    
       Multiple cyanides.........|     0938  |       50|       50|    -    |    -    |    -    |    -    |    -    
     Oxygen and oxygen compounds,|           |         |         |         |         |         |         |         
      n.e.c. ....................|      094  |    1,569|      907|      215|      130|       39|       42|      234
       Oxygen and oxygen         |           |         |         |         |         |         |         |         
        compounds,               |           |         |         |         |         |         |         |         
        unspecified..............|     0940  |       13|    -    |    -    |    -    |    -    |    -    |    -    
       Carbon monoxide...........|     0941  |    1,392|      808|      196|      118|       17|       42|      210
       Carbon dioxide, dry ice...|     0942  |       81|       54|    -    |    -    |       18|    -    |    -    
       Nitrogen oxides...........|     0943  |       45|       16|       14|    -    |    -    |    -    |    -    
       Other oxygen and oxygen   |           |         |         |         |         |         |         |         
        compounds................|     0949  |       39|    -    |    -    |    -    |    -    |    -    |       13
     Plastics, resins............|      095  |      846|      458|       84|      135|       39|    -    |      130
       Plastics, unspecified.....|     0950  |      308|      138|       38|       83|    -    |    -    |       43
       Cyanates..................|     0951  |       13|    -    |    -    |    -    |    -    |    -    |    -    
       Resins....................|     0952  |      328|      181|       25|       49|       32|    -    |       41
       Urethanes.................|     0953  |       39|       27|    -    |    -    |    -    |    -    |    -    
       Vinyl chloride, polyvinyl |           |         |         |         |         |         |         |         
        chloride.................|     0954  |       36|       36|    -    |    -    |    -    |    -    |    -    
       Plastics, n.e.c. .........|     0959  |      122|       70|       13|    -    |    -    |    -    |       35
     Sewer gas, mine gas, methane|      096  |       25|    -    |    -    |    -    |    -    |    -    |       11
       Sewer gas, mine gas,      |           |         |         |         |         |         |         |         
        unspecified..............|     0960  |       14|    -    |    -    |    -    |    -    |    -    |       11
     Sulfur and sulfur compounds.|      097  |      105|       53|       11|       16|    -    |    -    |       25
       Sulfur and sulfur         |           |         |         |         |         |         |         |         
        compounds, unspecified...|     0970  |       19|       12|    -    |    -    |    -    |    -    |    -    
       Hydrogen sulfide..........|     0972  |       25|    -    |    -    |    -    |    -    |    -    |       17
       Sulfur dioxide............|     0973  |       24|       18|    -    |    -    |    -    |    -    |    -    
       Multiple sulfur and sulfur|           |         |         |         |         |         |         |         
        compounds................|     0978  |       12|       11|    -    |    -    |    -    |    -    |    -    
       Sulfur and sulfur         |           |         |         |         |         |         |         |         
        compounds n.e.c. ........|     0979  |       15|    -    |    -    |    -    |    -    |    -    |    -    
     Multiple chemicals or       |           |         |         |         |         |         |         |         
      chemical mixtures, n.e.c. .|      098  |      579|      403|    -    |       63|       12|    -    |       75
       Multiple chemicals or     |           |         |         |         |         |         |         |         
        chemical mixtures,       |           |         |         |         |         |         |         |         
        unspecified..............|     0980  |       90|       59|    -    |    -    |    -    |    -    |       24
       Ammonia and chlorine......|     0981  |       16|       14|    -    |    -    |    -    |    -    |    -    
       Chlorine and cleaning     |           |         |         |         |         |         |         |         
        agent, n.e.c. ...........|     0983  |      157|      122|       12|    -    |    -    |    -    |       17
       Other multiple chemicals  |           |         |         |         |         |         |         |         
        or chemical              |           |         |         |         |         |         |         |         
        mixtures.................|     0989  |      311|      204|    -    |       54|    -    |    -    |       32
     Chemicals and chemical      |           |         |         |         |         |         |         |         
      products, n.e.c. ..........|      099  |    1,707|      760|      186|      150|       60|    -    |      551
                                 |           |         |         |         |         |         |         |         
 Containers......................|       1   |  328,994|  168,685|   29,362|   29,813|    4,723|      946|   95,465
   Containers, unspecified.......|      10   |   11,149|    5,760|      755|      832|      119|       48|    3,635
   Containers--nonpressurized....|      11   |  233,674|  120,906|   21,243|   21,478|    3,535|      629|   65,883
     Containers--nonpressurized, |           |         |         |         |         |         |         |         
      unspecified................|     110   |    5,177|    2,003|      401|      233|      145|       17|    2,378
     Bags, sacks, totes..........|     111   |   25,004|   12,751|    2,137|    2,362|      275|       66|    7,414
     Barrels, kegs, drums........|     112   |   11,330|    6,713|    1,056|    1,401|       89|       28|    2,043
     Bottles, jugs, flasks.......|     113   |    4,410|    2,548|      262|      485|       33|       18|    1,064
     Boxes, crates, cartons......|     114   |  130,269|   67,492|   11,461|   11,065|    1,963|      367|   37,921
     Buckets, baskets, pails.....|     115   |   12,503|    6,655|    1,081|    1,225|      181|       49|    3,312
     Cans........................|     116   |    9,644|    4,223|    1,347|    1,607|      261|    -    |    2,196
     Pots, pans, trays...........|     117   |   16,779|    8,242|    1,663|    1,416|      302|    -    |    5,134
     Tanks, bins, vats...........|     118   |   14,177|    8,373|    1,415|    1,183|      159|       26|    3,020
     Containers--nonpressurized, |           |         |         |         |         |         |         |         
      n.e.c. ....................|     119   |    4,382|    1,907|      421|      500|      127|       27|    1,400
   Containers--pressurized.......|      12   |    9,695|    5,809|      540|      704|      244|       55|    2,343
     Containers--pressurized,    |           |         |         |         |         |         |         |         
      unspecified................|     120   |      262|       55|       19|    -    |    -    |    -    |      180
     Boilers.....................|     121   |      489|      368|    -    |       28|    -    |    -    |       74
     Hoses.......................|     122   |    4,646|    2,909|      214|      357|       30|    -    |    1,114
     Oxygen tanks................|     123   |      543|      254|       49|       33|      113|    -    |       93
     Pressure lines, except hoses|     124   |      209|      120|       17|       34|    -    |    -    |       34
     Propane tanks...............|     125   |      557|      350|       41|       41|    -    |       17|      108
     Containers--pressurized,    |           |         |         |         |         |         |         |         
      n.e.c. ....................|     129   |    2,991|    1,753|      192|      209|       91|    -    |      741
   Containers--variable restraint|      13   |   37,882|   17,084|    3,843|    3,895|      297|      100|   12,661
     Containers--variable        |           |         |         |         |         |         |         |         
      restraint, unspecified.....|     130   |       64|       44|    -    |    -    |    -    |    -    |    -    
     Bundles, bales..............|     131   |    9,131|    4,450|    1,129|      734|       90|    -    |    2,707
     Packages, parcels...........|     132   |   11,474|    2,787|    1,321|      339|       25|    -    |    7,001
     Reels, rolls................|     133   |   16,558|    9,428|    1,322|    2,770|      175|       71|    2,791
     Containers--variable        |           |         |         |         |         |         |         |         
      restraint, n.e.c. .........|     139   |      655|      375|       69|       44|    -    |    -    |      155
   Dishes, drinking cups,        |           |         |         |         |         |         |         |         
    beverage glasses.............|      14   |    4,793|    2,742|      306|      570|       88|    -    |    1,083
     Dishes, drinking cups,      |           |         |         |         |         |         |         |         
      beverage glasses,          |           |         |         |         |         |         |         |         
      unspecified................|     140   |      861|      502|       51|       37|    -    |    -    |      261
     Dishes, bowls...............|     141   |    1,726|      806|      173|      290|       61|    -    |      392
     Drinking cups, beverage     |           |         |         |         |         |         |         |         
      glasses....................|     142   |    1,840|    1,228|       70|      211|       17|    -    |      313
     Dishes, drinking cups,      |           |         |         |         |         |         |         |         
      beverage glasses,          |           |         |         |         |         |         |         |         
      n.e.c. ....................|     149   |      366|      205|       13|       33|    -    |    -    |      116
   Luggage, handbags.............|      15   |    5,109|    1,963|      444|      321|      135|    -    |    2,222
     Luggage, unspecified........|     150   |    3,642|    1,359|      311|      166|      120|    -    |    1,680
     Briefcases..................|     151   |       73|    -    |    -    |    -    |    -    |    -    |       40
     Handbags, pocketbooks,      |           |         |         |         |         |         |         |         
      wallets....................|     152   |       70|    -    |    -    |       50|    -    |    -    |    -    
     Suitcases...................|     153   |      628|      230|       40|       49|    -    |    -    |      303
     Luggage, n.e.c. ............|     159   |      696|      342|       93|       46|    -    |       14|      194
   Skids, pallets................|      16   |   24,877|   13,264|    2,098|    1,829|      275|       78|    7,334
   Containers, n.e.c. ...........|      19   |    1,814|    1,157|      133|      183|       29|    -    |      304
                                 |           |         |         |         |         |         |         |         
 Furniture and fixtures..........|       2   |   81,126|   43,442|    8,781|    6,891|    1,649|      259|   20,104
   Furniture and fixtures,       |           |         |         |         |         |         |         |         
    unspecified..................|      20   |    2,444|    1,190|      578|      163|       27|    -    |      484
