Start times of TOPEX/Poseidon Cycles							
Cycle	Year	Yearday	Month	Day	Hour	Minute	Second
87	1995	23	1	23	21	31	16.5055
88	1995	33	2	2	19	29	47.9270
89	1995	43	2	12	17	28	19.8622
90	1995	53	2	22	15	26	51.5543
91	1995	63	3	4	13	27	57.9680
92	1995	73	3	14	11	23	53.9040
93	1995	83	3	24	9	22	25.8756
94	1995	93	4	3	7	20	56.3208
95	1995	103	4	13	5	19	27.7294
96	1995	113	4	23	3	17	58.8814
97	1995	123	5	3	1	18	9.9710
98	1995	132	5	12	23	16	23.3571
99	1995	142	5	22	22	32	5.4242
100	1995	152	6	1	19	14	38.0723
101	1995	162	6	11	17	14	24.8243
102	1995	172	6	21	15	13	40.9969
103	1995	182	7	1	13	13	41.6191
104	1995	192	7	11	11	11	0.4479
105	1995	202	7	21	9	10	37.3489
106	1995	212	7	31	7	9	7.4592
107	1995	222	8	10	5	8	11.5404
108	1995	232	8	20	3	6	57.0867
109	1995	242	8	30	1	5	21.9373
110	1995	251	9	8	23	4	6.8811
111	1995	261	9	18	21	2	30.0170
112	1995	271	9	28	19	1	23.5115
113	1995	281	10	8	17	0	9.8578
114	1995	291	10	18	14	58	0.1066
115	1995	301	10	28	12	56	16.6651
116	1995	311	11	7	10	54	27.7588
117	1995	321	11	17	8	53	6.4521
119	1995	341	12	7	4	46	53.6368
120	1995	351	12	17	2	45	11.6309
121	1995	361	12	27	3	38	17.2089
122	1996	5	1	5	22	39	35.6530
123	1996	15	1	15	20	38	7.0199
124	1996	25	1	25	18	36	39.5691
125	1996	35	2	4	16	35	11.7141
126	1996	45	2	14	14	33	43.2913
127	1996	55	2	24	12	32	16.0050
128	1996	65	3	5	10	30	48.1162
129	1996	75	3	15	8	29	19.0742
130	1996	85	3	25	6	27	50.7573
131	1996	95	4	4	4	26	22.4262
132	1996	105	4	14	2	24	54.5499
133	1996	115	4	24	0	23	25.3059
134	1996	124	5	3	22	21	57.6512
135	1996	134	5	13	20	23	13.2547
136	1996	144	5	23	18	21	52.0671
137	1996	154	6	2	16	20	22.5432
138	1996	164	6	12	14	18	47.1318
139	1996	174	6	22	12	17	45.1627
140	1996	184	7	2	10	16	14.2120
141	1996	194	7	12	8	14	43.1017
142	1996	204	7	22	6	14	43.4225
143	1996	214	8	1	4	12	28.0648
144	1996	224	8	11	2	11	44.0456
145	1996	234	8	21	0	10	34.8456
146	1996	243	8	30	22	10	1.8685
147	1996	253	9	9	20	7	42.3458
148	1996	264	9	20	5	26	28.5186
149	1996	273	9	29	16	4	58.3201
150	1996	283	10	9	14	3	31.7831
151	1996	293	10	19	12	1	47.4932
152	1996	303	10	29	10	0	15.6674
153	1996	313	11	8	7	58	50.0681
154	1996	323	11	18	5	58	2.1308
155	1996	333	11	28	3	53	25.8453
156	1996	343	12	8	1	51	11.7369
157	1996	352	12	17	23	48	17.2587
158	1996	362	12	27	21	46	31.7594
159	1997	6	1	6	19	45	2.7920
160	1997	16	1	16	17	43	35.2239
161	1997	26	1	26	15	42	7.0924
162	1997	36	2	5	13	40	38.1458
163	1997	46	2	15	11	39	10.9367
164	1997	56	2	25	9	37	42.2400
165	1997	66	3	7	7	36	13.3140
166	1997	76	3	17	5	34	44.9839
167	1997	86	3	27	3	33	20.6029
168	1997	96	4	6	1	31	48.8298
169	1997	105	4	15	23	30	20.2274
170	1997	115	4	25	21	28	51.8950
171	1997	125	5	5	19	27	24.0686
172	1997	135	5	15	17	26	22.4477
173	1997	145	5	25	15	24	27.5874
174	1997	158	6	7	0	26	0.7358
175	1997	165	6	14	11	21	33.3302
176	1997	175	6	24	9	21	46.8943
177	1997	185	7	4	7	21	39.4435
178	1997	195	7	14	5	20	7.2881
179	1997	205	7	24	3	20	15.0496
180	1997	215	8	3	1	18	50.2725
181	1997	224	8	12	23	17	11.8762
182	1997	234	8	22	21	16	51.0666
183	1997	244	9	1	19	15	42.3007
184	1997	254	9	11	17	14	29.0683
185	1997	264	9	21	15	13	45.1340
186	1997	274	10	1	13	12	7.8001
187	1997	284	10	11	11	10	31.3371
188	1997	294	10	21	9	9	5.4648
189	1997	304	10	31	7	7	16.1734
190	1997	314	11	10	5	5	46.8724
191	1997	324	11	20	3	4	28.8106
192	1997	334	11	30	1	2	29.7373
193	1997	343	12	9	22	58	32.1744
194	1997	353	12	19	20	54	4.3101
195	1997	363	12	29	18	51	58.2662
196	1998	8	1	8	16	50	29.3520
197	1998	18	1	18	14	49	5.1349
198	1998	28	1	28	12	47	34.1633
199	1998	38	2	7	10	46	5.4272
200	1998	48	2	17	8	44	37.3229
201	1998	58	2	27	6	43	9.8166
202	1998	68	3	9	4	41	41.2905
203	1998	78	3	19	2	40	14.5220
204	1998	88	3	29	0	38	44.6944
205	1998	97	4	7	22	37	16.6441
206	1998	107	4	17	20	35	46.8750
207	1998	117	4	27	18	34	18.8032
208	1998	127	5	7	16	33	57.6410
209	1998	137	5	17	14	33	8.9079
210	1998	147	5	27	12	31	31.0142
211	1998	157	6	6	10	30	17.6805
212	1998	167	6	16	8	29	28.3627
213	1998	177	6	26	6	29	56.9253
214	1998	187	7	6	4	28	27.5751
215	1998	197	7	16	2	27	14.0867
216	1998	207	7	26	0	26	26.1250
217	1998	216	8	4	22	25	23.3787
218	1998	226	8	14	20	24	1.2037
219	1998	236	8	24	18	23	29.1187
220	1998	246	9	3	16	21	35.9707
221	1998	256	9	13	14	20	21.2611
222	1998	266	9	23	12	18	30.1912
223	1998	276	10	3	10	16	50.9371
224	1998	286	10	13	8	15	43.2004
225	1998	296	10	23	7	30	39.4480
226	1998	306	11	2	4	12	40.5377
227	1998	316	11	12	2	10	57.1357
228	1998	326	11	22	0	9	25.0760
229	1998	335	12	1	22	7	16.6085
230	1998	345	12	11	20	4	57.0206
231	1998	355	12	21	18	2	39.2763
232	1998	365	12	31	15	57	25.1288
233	1999	10	1	10	13	55	56.2995
234	1999	20	1	20	11	54	27.5046
235	1999	30	1	30	9	52	59.4971
236	1999	42	2	11	17	16	33.6310
237	1999	50	2	19	5	50	2.9459
238	1999	60	3	1	3	48	34.0979
239	1999	70	3	11	1	47	6.0203
240	1999	79	3	20	23	45	36.8882
241	1999	89	3	30	21	44	8.8061
242	1999	99	4	9	19	42	39.9872
243	1999	109	4	19	17	41	10.3944
244	1999	119	4	29	15	39	43.7926
245	1999	129	5	9	13	39	24.2099
246	1999	139	5	19	11	39	18.1851
247	1999	149	5	29	9	38	6.4792
248	1999	159	6	8	8	52	24.5778
249	1999	169	6	18	5	35	4.1636
250	1999	179	6	28	3	35	26.8617
251	1999	189	7	8	1	34	2.2688
252	1999	198	7	17	23	54	58.8626
253	1999	208	7	27	21	31	28.6049
254	1999	218	8	6	19	31	36.4768
255	1999	228	8	16	17	29	1.2465
256	1999	238	8	26	15	28	57.1411
257	1999	248	9	5	13	26	56.2354
258	1999	258	9	15	11	26	0.7202
259	1999	268	9	25	9	24	24.4924
260	1999	278	10	5	7	23	17.4828
261	1999	288	10	15	5	21	33.0972
262	1999	298	10	25	3	20	24.5335
263	1999	308	11	4	1	18	18.4306
264	1999	317	11	13	23	16	24.0350
265	1999	327	11	23	21	14	17.2347
266	1999	337	12	3	19	12	23.2545
267	1999	347	12	13	17	9	20.6456
268	1999	357	12	23	15	6	46.5614
269	2000	2	1	2	13	3	26.0399
270	2000	12	1	12	12	19	58.6725
271	2000	22	1	22	8	59	51.8974
272	2000	32	2	1	6	58	23.8498
273	2000	42	2	11	4	56	56.3170
274	2000	52	2	21	2	55	27.3174
275	2000	62	3	2	0	53	59.0264
276	2000	71	3	11	22	52	29.3276
277	2000	81	3	21	20	51	1.1800
278	2000	91	3	31	18	49	31.0839
279	2000	101	4	10	16	48	2.2179
280	2000	111	4	20	16	39	30.9137
281	2000	121	4	30	12	45	58.5763
282	2000	131	5	10	10	45	8.9088
283	2000	141	5	20	8	45	9.5342
284	2000	151	5	30	6	44	21.6200
285	2000	161	6	9	4	42	57.8661
286	2000	171	6	19	2	41	44.3438
287	2000	181	6	29	0	40	45.6459
288	2000	191	7	9	0	32	23.5471
289	2000	200	7	18	20	38	9.6882
290	2000	210	7	28	18	36	23.9198
291	2000	220	8	7	16	35	26.1135
292	2000	230	8	17	14	35	23.9507
293	2000	240	8	27	12	33	28.8562
294	2000	250	9	6	10	31	41.4656
295	2000	260	9	16	8	30	22.7752
296	2000	270	9	26	6	29	6.2553
297	2000	280	10	6	4	28	12.0097
298	2000	290	10	16	2	26	37.3963
299	2000	300	10	26	0	25	14.1799
300	2000	309	11	4	22	23	40.0572
301	2000	319	11	14	20	21	57.4870
302	2000	330	11	25	9	17	17.2329
303	2000	339	12	4	16	16	59.4434
304	2000	349	12	14	14	13	25.2679
305	2000	359	12	24	12	11	26.2257
306	2001	3	1	3	10	8	10.4295
307	2001	13	1	13	10	59	24.2531
308	2001	23	1	23	6	5	13.6586
309	2001	33	2	2	4	3	45.8794
310	2001	43	2	12	2	2	17.2462
311	2001	53	2	22	0	0	48.9584
312	2001	62	3	3	21	59	20.2819
313	2001	72	3	13	19	57	51.4016
314	2001	82	3	23	17	56	23.1978
315	2001	92	4	2	15	54	54.1640
316	2001	102	4	12	13	53	26.0507
317	2001	112	4	22	11	51	55.9208
318	2001	122	5	2	11	8	59.7842
319	2001	132	5	12	7	49	47.8707
320	2001	142	5	22	5	48	25.4028
321	2001	152	6	1	3	47	7.5781
322	2001	162	6	11	1	46	2.8379
323	2001	171	6	20	23	44	45.8790
324	2001	181	6	30	21	45	56.0313
325	2001	191	7	10	19	44	45.3572
326	2001	201	7	20	17	44	59.5594
327	2001	211	7	30	15	43	1.8056
328	2001	221	8	9	13	41	27.0332
329	2001	231	8	19	11	39	58.4027
330	2001	241	8	29	9	38	27.8531
331	2001	251	9	8	7	36	52.8703
332	2001	261	9	18	5	36	4.5493
333	2001	271	9	28	3	34	33.3970
334	2001	281	10	8	1	33	16.4978
335	2001	290	10	17	23	31	59.5669
336	2001	300	10	27	21	30	32.8883
337	2001	310	11	6	19	29	11.7032
338	2001	320	11	16	17	27	29.8878
339	2001	330	11	26	15	25	15.9872
340	2001	340	12	6	13	23	1.8833
341	2001	350	12	16	11	20	50.0183
342	2001	360	12	26	9	15	24.0870
343	2002	5	1	5	7	13	37.6273
344	2002	15	1	15	5	12	4.2599
345	2002	25	1	25	3	10	34.4640
346	2002	35	2	4	1	9	4.5892
347	2002	44	2	13	23	7	37.3210
348	2002	54	2	23	21	6	9.6922
349	2002	64	3	5	19	4	41.8890
350	2002	74	3	15	17	3	13.6494
351	2002	84	3	25	15	1	44.8468
352	2002	94	4	4	13	0	16.3935
353	2002	104	4	14	10	58	46.8055
354	2002	114	4	24	8	57	17.1024
355	2002	124	5	4	8	14	24.9101
356	2002	134	5	14	4	54	19.2634
357	2002	144	5	24	2	52	51.0836
358	2002	154	6	3	0	51	23.0483
359	2002	163	6	12	22	49	55.1653
360	2002	173	6	22	20	50	4.0998
361	2002	183	7	2	18	49	4.9740
362	2002	193	7	12	16	50	14.6099
363	2002	203	7	22	14	47	57.0886
364	2002	213	8	1	12	46	44.7285
365	2002	223	8	11	10	45	38.5509
366	2002	236	8	24	0	27	32.6280
367	2002	243	8	31	6	46	1.0589
368	2002	253	9	10	21	36	56.4006
369	2002	263	9	20	2	46	46.1138
370	2002	273	9	30	0	45	15.2584
371	2002	282	10	9	22	44	2.7053
372	2002	292	10	19	20	42	9.8311
373	2002	302	10	29	18	41	22.4712
374	2002	312	11	8	16	39	11.9190
375	2002	322	11	18	14	32	55.8450
376	2002	332	11	28	12	33	33.6358
377	2002	342	12	8	10	31	53.0393
378	2002	352	12	18	8	29	25.1573
379	2002	362	12	28	6	26	21.6251
380	2003	7	1	7	4	24	39.9098
381	2003	17	1	17	2	23	9.1263
382	2003	27	1	27	0	21	39.8653
383	2003	36	2	5	22	20	11.6806
384	2003	46	2	15	20	18	42.0741
385	2003	56	2	25	18	17	14.6367
386	2003	66	3	7	16	15	45.4185
387	2003	76	3	17	14	14	16.8536
388	2003	86	3	27	12	12	47.9404
389	2003	96	4	6	10	11	18.7117
390	2003	106	4	16	8	9	49.5997
391	2003	116	4	26	6	8	20.4180
392	2003	126	5	6	4	6	52.6477
393	2003	136	5	16	2	5	37.0303
394	2003	146	5	26	0	3	56.9178
395	2003	155	6	4	22	4	33.6037
396	2003	165	6	14	20	3	1.7011
397	2003	175	6	24	18	2	42.5359
398	2003	185	7	4	16	1	46.9662
399	2003	195	7	14	14	0	28.1430
400	2003	205	7	24	12	0	20.4269
401	2003	215	8	3	9	58	21.5016
402	2003	225	8	13	7	57	25.1960
403	2003	235	8	23	5	56	4.1595
404	2003	245	9	2	3	54	58.3999
405	2003	255	9	12	1	53	13.2239
406	2003	264	9	21	23	51	51.7648
407	2003	274	10	1	21	50	36.9584
408	2003	284	10	11	19	50	32.9282
409	2003	294	10	21	17	48	44.2358
410	2003	304	10	31	15	46	55.4596
411	2003	314	11	10	13	45	21.6643
412	2003	324	11	20	11	44	42.9030
413	2003	334	11	30	9	42	53.3167
414	2003	344	12	10	7	39	8.5317
415	2003	354	12	20	5	35	54.1514
416	2003	364	12	30	3	31	26.6015
417	2004	9	1	9	1	29	57.7161
418	2004	19	1	19	0	46	45.4521
419	2004	28	1	28	21	27	1.0015
420	2004	38	2	7	19	25	32.9406
421	2004	48	2	17	17	24	4.6163
422	2004	58	2	27	15	22	37.0674
423	2004	68	3	8	13	21	9.6677
424	2004	78	3	18	11	19	41.4610
425	2004	88	3	28	9	18	12.0708
426	2004	98	4	7	7	16	43.7262
427	2004	108	4	17	5	15	15.1371
428	2004	118	4	27	3	13	46.8260
429	2004	128	5	7	1	15	39.5965
430	2004	137	5	16	23	10	58.2903
433	2004	169	6	17	16	15	55.2504
434	2004	177	6	25	15	9	19.6078
435	2004	187	7	5	13	8	17.1272
436	2004	197	7	15	11	8	39.3428
437	2004	207	7	25	9	8	45.2040
438	2004	217	8	4	7	19	21.3469
439	2004	227	8	14	5	3	49.4537
440	2004	237	8	24	3	2	40.1985
441	2004	247	9	3	1	1	28.3808
442	2004	256	9	12	22	59	43.1583
443	2004	266	9	22	20	58	28.3929
444	2004	276	10	2	19	14	38.8761
445	2004	286	10	12	16	55	37.5007
446	2004	296	10	22	15	12	54.5220
447	2004	306	11	1	12	52	56.2041
448	2004	316	11	11	10	51	1.1443
449	2004	326	11	21	8	56	31.5209
450	2004	336	12	1	6	46	46.9843
451	2004	346	12	11	5	4	47.0843
452	2004	356	12	21	2	38	22.1634
453	2004	366	12	31	0	37	44.8066
454	2005	9	1	9	22	37	33.9918
455	2005	19	1	19	20	33	57.5361
456	2005	29	1	29	18	32	29.6228
457	2005	39	2	8	16	31	2.5192
458	2005	49	2	18	14	34	31.4663
459	2005	59	2	28	12	28	4.5293
460	2005	69	3	10	10	26	36.5224
461	2005	79	3	20	8	25	7.5924
462	2005	89	3	30	6	23	38.3040
463	2005	99	4	9	4	22	9.1458
464	2005	109	4	19	2	20	40.0733
465	2005	119	4	29	0	19	11.3568
466	2005	128	5	8	22	17	48.6529
467	2005	138	5	18	20	26	57.1513
468	2005	148	5	28	18	19	57.2045
469	2005	158	6	7	16	20	2.8875
470	2005	168	6	17	14	15	50.3058
471	2005	178	6	27	13	28	36.1281
472	2005	188	7	7	10	9	2.6975
473	2005	198	7	17	8	15	37.8793
474	2005	208	7	27	6	11	20.0630
475	2005	218	8	6	4	9	55.9124
476	2005	228	8	16	2	9	13.5315
477	2005	238	8	26	0	9	18.9480
478	2005	247	9	4	22	6	21.5825
479	2005	257	9	14	21	16	49.5755
480	2005	267	9	24	17	57	7.2812
481	2005	277	10	4	15	55	38.6426
