-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
CHAT        49718.000    1995     1     1     0
CHAT        52274.750    2001    12    31    18
CHAT     -4590670.912  -275482.993 -4404596.777
49735.00    -0.064142    -0.218555    -0.561979
49735.25    -0.111714    -0.199748    -0.555435
49735.50    -0.104389    -0.132205    -0.573061
49735.75    -0.085501    -0.139289    -0.608552
49736.00    -0.139352    -0.131499    -0.699300
49736.25    -0.167377    -0.130264    -0.753251
49736.50    -0.153111    -0.069410    -0.752180
49736.75    -0.108966    -0.084845    -0.724370
49737.00    -0.101547    -0.094150    -0.764295
49737.25    -0.106820    -0.099317    -0.722282
49737.50    -0.058039    -0.059336    -0.652697
49737.75    -0.005611    -0.120386    -0.588071
49738.00    -0.011401    -0.157841    -0.596493
49738.25    -0.038750    -0.166712    -0.531571
49738.50    -0.004448    -0.125775    -0.464352
49738.75     0.018213    -0.163579    -0.396524
49739.00    -0.006636    -0.184904    -0.409659
49739.25    -0.032043    -0.187769    -0.434440
49739.50    -0.005509    -0.136024    -0.408415
49739.75     0.022429    -0.155918    -0.396184
49740.00    -0.001843    -0.162064    -0.396843
49740.25    -0.029206    -0.157555    -0.338933
49740.50    -0.002097    -0.097730    -0.231279
49740.75     0.033167    -0.114372    -0.162496
49741.00     0.019516    -0.103473    -0.129248
49741.25    -0.003898    -0.093761    -0.037911
49741.50     0.023796    -0.023676     0.087661
49741.75     0.059951    -0.061758     0.152345
49742.00     0.044622    -0.079630     0.168705
49742.25     0.023905    -0.077927     0.212345
49742.50     0.033535    -0.020732     0.276237
49742.75     0.060908    -0.060503     0.250052
49743.00     0.025807    -0.088728     0.190114
49743.25    -0.002787    -0.106048     0.182400
49743.50     0.023854    -0.062382     0.239191
49743.75     0.074174    -0.100444     0.257577
49744.00     0.050746    -0.113842     0.263137
49744.25     0.043200    -0.122187     0.294588
49744.50     0.080319    -0.078804     0.329403
49744.75     0.117178    -0.135125     0.324918
49745.00     0.116208    -0.163230     0.301036
49745.25     0.100279    -0.170611     0.309243
49745.50     0.112038    -0.117081     0.382506
49745.75     0.129519    -0.160656     0.396482
49746.00     0.084361    -0.193412     0.361084
49746.25     0.030538    -0.212301     0.356313
49746.50     0.033042    -0.182076     0.402221
49746.75     0.053812    -0.241653     0.421739
49747.00     0.007534    -0.287493     0.422354
49747.25    -0.018760    -0.324144     0.404477
49747.50     0.002842    -0.313592     0.403648
49747.75     0.031906    -0.363320     0.350243
49748.00    -0.002326    -0.411988     0.297239
49748.25    -0.037576    -0.425863     0.232412
49748.50    -0.015915    -0.395311     0.233095
49748.75    -0.006332    -0.415183     0.204290
49749.00    -0.037666    -0.438803     0.178674
49749.25    -0.075997    -0.418373     0.216427
49749.50    -0.052580    -0.326387     0.270447
49749.75    -0.045904    -0.317401     0.308890
49750.00    -0.075021    -0.279255     0.346829
49750.25    -0.117426    -0.217343     0.427491
49750.50    -0.081344    -0.116189     0.528161
49750.75    -0.038399    -0.096830     0.562492
49751.00    -0.056612    -0.082261     0.488102
49751.25    -0.092425    -0.043733     0.433389
49751.50    -0.070572     0.038210     0.437739
49751.75    -0.054313     0.022805     0.387297
49752.00    -0.101488     0.000924     0.373660
49752.25    -0.139683     0.024049     0.382425
49752.50    -0.123154     0.098464     0.458114
49752.75    -0.094671     0.076563     0.485148
49753.00    -0.127921     0.045632     0.456856
49753.25    -0.161469     0.021686     0.435796
49753.50    -0.161862     0.045150     0.463183
49753.75    -0.150956    -0.008242     0.448650
49754.00    -0.196054    -0.048848     0.394550
49754.25    -0.250176    -0.045222     0.413180
49754.50    -0.237078     0.014671     0.404200
49754.75    -0.216494     0.005411     0.400532
49755.00    -0.270556     0.003258     0.352250
49755.25    -0.312319     0.025537     0.351973
49755.50    -0.305869     0.103151     0.390278
49755.75    -0.277000     0.073423     0.363703
49756.00    -0.299397     0.047953     0.327385
49756.25    -0.313097     0.070010     0.370316
49756.50    -0.296252     0.132531     0.446034
49756.75    -0.259465     0.111935     0.499042
49757.00    -0.261765     0.088414     0.531180
49757.25    -0.278617     0.086095     0.571932
49757.50    -0.241098     0.123361     0.587733
49757.75    -0.176291     0.072476     0.520538
49758.00    -0.183265     0.029844     0.444928
49758.25    -0.170192     0.016674     0.364891
49758.50    -0.124527     0.049768     0.316552
49758.75    -0.066111     0.007182     0.246835
49759.00    -0.078564    -0.037180     0.158541
49759.25    -0.078534    -0.055671     0.117692
49759.50    -0.023807    -0.028422     0.137188
49759.75     0.027472    -0.078557     0.112984
49760.00     0.007996    -0.124242     0.053163
49760.25    -0.009510    -0.154831    -0.011658
49760.50     0.020660    -0.125855    -0.029153
49760.75     0.059334    -0.194254    -0.119647
49761.00     0.040244    -0.241360    -0.212789
49761.25     0.005793    -0.244225    -0.248770
49761.50     0.022916    -0.183992    -0.252007
49761.75     0.050473    -0.195189    -0.300496
49762.00     0.027055    -0.208488    -0.354783
49762.25    -0.020481    -0.192770    -0.355769
49762.50     0.002174    -0.137790    -0.355666
49762.75     0.009866    -0.162359    -0.344324
49763.00    -0.029895    -0.200653    -0.373825
49763.25    -0.051344    -0.196532    -0.306098
49763.50    -0.040169    -0.151319    -0.215145
49763.75    -0.013633    -0.171709    -0.148184
49764.00    -0.048168    -0.198133    -0.125575
49764.25    -0.071955    -0.183467    -0.082262
49764.50    -0.084370    -0.120412    -0.040263
49764.75    -0.052044    -0.132144    -0.009505
49765.00    -0.096421    -0.139165     0.002830
49765.25    -0.136551    -0.114368     0.068041
49765.50    -0.135765    -0.053043     0.164636
49765.75    -0.067815    -0.072480     0.206359
49766.00    -0.091688    -0.096064     0.240648
49766.25    -0.082805    -0.091436     0.258313
49766.50    -0.027833    -0.046412     0.284480
49766.75     0.043300    -0.076722     0.280311
49767.00     0.001920    -0.111645     0.234733
49767.25    -0.038965    -0.132980     0.225285
49767.50    -0.020525    -0.116683     0.212490
49767.75     0.019242    -0.149032     0.259185
49768.00     0.006784    -0.175461     0.239373
49768.25     0.015042    -0.161627     0.205598
49768.50     0.038601    -0.104816     0.199835
49768.75     0.059447    -0.137690     0.181873
49769.00     0.024085    -0.161011     0.107253
49769.25    -0.029693    -0.141152     0.107311
49769.50     0.010484    -0.054513     0.133890
49769.75     0.047071    -0.058972     0.137694
49770.00     0.008014    -0.077844     0.102229
49770.25     0.004742    -0.045578     0.110384
49770.50     0.025940     0.009364     0.135050
49770.75     0.088193    -0.001931     0.173079
49771.00     0.058014    -0.025402     0.164968
49771.25     0.045279    -0.018802     0.176281
49771.50     0.073907     0.030695     0.217463
49771.75     0.100684     0.005330     0.280798
49772.00     0.063313    -0.019458     0.253432
49772.25     0.024981     0.006324     0.296614
49772.50     0.034311     0.070807     0.348938
49772.75     0.069207     0.054371     0.387177
49773.00     0.013532     0.018801     0.339649
49773.25    -0.021716     0.048655     0.338637
49773.50    -0.000571     0.114252     0.359246
49773.75     0.059338     0.102817     0.382633
49774.00     0.031565     0.072207     0.321472
49774.25     0.007904     0.104669     0.394387
49774.50     0.046923     0.189038     0.421035
49774.75     0.099274     0.183093     0.455735
49775.00     0.070269     0.175764     0.387509
49775.25     0.051572     0.186828     0.389691
49775.50     0.061385     0.241109     0.370660
49775.75     0.101059     0.199819     0.356036
49776.00     0.063847     0.165935     0.233569
49776.25     0.036904     0.176845     0.258899
49776.50     0.038238     0.231243     0.278418
49776.75     0.093431     0.206931     0.294858
49777.00     0.040877     0.166726     0.249422
49777.25     0.011970     0.152528     0.248392
49777.50     0.043498     0.177383     0.214754
49777.75     0.100136     0.127093     0.211572
49778.00     0.052912     0.056618     0.072799
49778.25     0.045791     0.046152     0.065456
49778.50     0.068813     0.078754     0.044516
49778.75     0.103105     0.047961    -0.005012
49779.00     0.043858     0.011863    -0.071780
49779.25    -0.005242     0.021982    -0.030955
49779.50    -0.007947     0.078644     0.009006
49779.75     0.017421     0.073906     0.053805
49780.00    -0.028659     0.063451    -0.028157
49780.25    -0.047079     0.083276    -0.046067
49780.50    -0.011832     0.135610    -0.115477
49780.75     0.054354     0.109247    -0.102171
49781.00     0.034542     0.079988    -0.187680
49781.25     0.017408     0.101454    -0.149770
49781.50     0.042963     0.157143    -0.152804
49781.75     0.094414     0.135151    -0.110377
49782.00     0.060442     0.105699    -0.090314
49782.25     0.051730     0.117315    -0.033470
49782.50     0.109509     0.168037    -0.028626
49782.75     0.179005     0.142369     0.036580
49783.00     0.161401     0.103298     0.029484
49783.25     0.164239     0.092158     0.031724
49783.50     0.197239     0.115431     0.031429
49783.75     0.258612     0.077839     0.078012
49784.00     0.212898     0.029403     0.062359
49784.25     0.157417     0.013931     0.046885
49784.50     0.177061     0.036752     0.028373
49784.75     0.210971    -0.005603     0.013336
49785.00     0.142998    -0.050105    -0.053015
49785.25     0.094757    -0.053390    -0.102031
49785.50     0.102213    -0.025542    -0.141391
49785.75     0.122240    -0.065505    -0.141796
49786.00     0.096597    -0.092537    -0.223465
49786.25     0.082351    -0.103111    -0.230420
49786.50     0.120890    -0.084390    -0.259228
49786.75     0.186884    -0.132138    -0.264894
49787.00     0.154505    -0.179019    -0.323735
49787.25     0.125034    -0.195563    -0.324875
49787.50     0.136641    -0.163197    -0.298163
49787.75     0.165676    -0.194173    -0.272279
49788.00     0.095718    -0.222841    -0.308706
49788.25     0.058616    -0.224552    -0.257985
49788.50     0.081625    -0.178543    -0.182283
49788.75     0.152569    -0.189627    -0.043027
49789.00     0.165339    -0.189951    -0.011541
49789.25     0.213435    -0.167023     0.045099
49789.50     0.281583    -0.107669     0.047163
49789.75     0.344773    -0.127310     0.059634
49790.00     0.322050    -0.156140     0.039006
49790.25     0.337574    -0.149190     0.038495
49790.50     0.385161    -0.080587     0.034478
49790.75     0.426410    -0.075422     0.103460
49791.00     0.331106    -0.088412     0.146751
49791.25     0.252667    -0.062882     0.163573
49791.50     0.238133    -0.006466     0.156031
49791.75     0.249470    -0.014252     0.180698
49792.00     0.172072    -0.020906     0.142905
49792.25     0.129337    -0.013638     0.132001
49792.50     0.146766     0.032327     0.146861
49792.75     0.168792     0.007381     0.175630
49793.00     0.122270    -0.023008     0.119416
49793.25     0.083934    -0.013533     0.136363
49793.50     0.049143     0.049955     0.195943
49793.75     0.010084     0.031705     0.246518
49794.00    -0.092544     0.005286     0.179488
49794.25    -0.164802     0.030549     0.203053
49794.50    -0.194792     0.099631     0.240145
49794.75    -0.201383     0.069696     0.316899
49795.00    -0.283951     0.019136     0.284381
49795.25    -0.337808    -0.012526     0.238805
49795.50    -0.338407     0.006641     0.199211
49795.75    -0.271703    -0.055891     0.215625
49796.00    -0.294345    -0.108989     0.145708
49796.25    -0.281211    -0.121641     0.137860
49796.50    -0.235167    -0.084299     0.162293
49796.75    -0.176762    -0.132262     0.207224
49797.00    -0.198639    -0.184421     0.152664
49797.25    -0.147561    -0.186998     0.092626
49797.50    -0.105717    -0.130645     0.103288
49797.75    -0.027700    -0.164183     0.070587
49798.00    -0.051694    -0.201367    -0.035499
49798.25    -0.044082    -0.192370    -0.104471
49798.50     0.006127    -0.148520    -0.140677
49798.75     0.063969    -0.169800    -0.151474
49799.00     0.035295    -0.161202    -0.203292
49799.25     0.013576    -0.148771    -0.281620
49799.50     0.060435    -0.097680    -0.302835
49799.75     0.116427    -0.123966    -0.356447
49800.00     0.060103    -0.121692    -0.365660
49800.25     0.029386    -0.092252    -0.389775
49800.50     0.037941    -0.014738    -0.265055
49800.75     0.047102    -0.022005    -0.162976
49801.00    -0.005431    -0.012577    -0.069799
49801.25    -0.060216     0.052538     0.005150
49801.50    -0.085416     0.181591     0.121014
49801.75    -0.091656     0.186630     0.163506
49802.00    -0.142978     0.180058     0.145306
49802.25    -0.181473     0.216241     0.174091
49802.50    -0.165704     0.304596     0.258682
49802.75    -0.104301     0.302150     0.309192
49803.00    -0.145943     0.281866     0.323130
49803.25    -0.173473     0.284846     0.293469
49803.50    -0.130550     0.338008     0.345720
49803.75    -0.060928     0.297846     0.308704
49804.00    -0.091931     0.264998     0.268551
49804.25    -0.090620     0.248459     0.270066
49804.50    -0.072240     0.266125     0.332455
49804.75    -0.029478     0.205266     0.396734
49805.00    -0.081944     0.163271     0.461893
49805.25    -0.107723     0.150470     0.503899
49805.50    -0.086598     0.169850     0.563276
49805.75    -0.030960     0.111305     0.550140
49806.00    -0.058890     0.039646     0.429135
49806.25    -0.072690     0.009314     0.315233
49806.50    -0.043839     0.031199     0.241021
49806.75    -0.004996    -0.045428     0.149837
49807.00    -0.058107    -0.112033     0.044032
49807.25    -0.091695    -0.120547     0.013111
49807.50    -0.081662    -0.076229     0.073408
49807.75    -0.034009    -0.099292     0.126508
49808.00    -0.073060    -0.117347     0.121003
49808.25    -0.108003    -0.100129     0.132621
49808.50    -0.097326    -0.051302     0.160821
49808.75    -0.065500    -0.072654     0.194179
49809.00    -0.113835    -0.096817     0.207903
49809.25    -0.155431    -0.082814     0.209253
49809.50    -0.152708    -0.012665     0.251559
49809.75    -0.121871    -0.032397     0.310026
49810.00    -0.160639    -0.073681     0.250295
49810.25    -0.163279    -0.074423     0.238850
49810.50    -0.137291    -0.026181     0.277456
49810.75    -0.097496    -0.054883     0.295989
49811.00    -0.146751    -0.014922     0.160357
49811.25    -0.171661    -0.031820     0.076360
49811.50    -0.151467    -0.001993     0.084666
49811.75     0.179204    -0.843748     1.831000
49812.00    -0.134995    -0.109832    -0.079903
49812.25    -0.140916    -0.108687    -0.190425
49812.50    -0.096433    -0.057109    -0.200332
49812.75    -0.049435    -0.092608    -0.241488
49813.00    -0.089642    -0.098628    -0.335371
49813.25    -0.132210    -0.044535    -0.379792
49813.50    -0.113162     0.051795    -0.351540
49813.75    -0.093291     0.040428    -0.342620
49814.00    -0.117140     0.040239    -0.402684
49814.25    -0.096667     0.100587    -0.377810
49814.50    -0.032055     0.186558    -0.244136
49814.75     0.012548     0.162819    -0.177538
49815.00     0.015050     0.138241    -0.101716
49815.25    -0.003632     0.152118    -0.029100
49815.50     0.059389     0.193614     0.083582
49815.75     0.100424     0.125180     0.099489
49816.00     0.106406     0.071443     0.139112
49816.25     0.090329     0.078975     0.172139
49816.50     0.121500     0.109580     0.243275
49816.75     0.163418     0.037757     0.251881
49817.00     0.120745    -0.022312     0.282837
49817.25     0.101544    -0.028334     0.191979
49817.50     0.142422     0.022662     0.191202
49817.75     0.167399    -0.028901     0.101157
49818.00     0.131141    -0.062563     0.023306
49818.25     0.087955    -0.048523    -0.038432
49818.50     0.121206     0.035415    -0.057449
49818.75     0.154127     0.007808    -0.094555
49819.00     0.115303    -0.008019    -0.151020
49819.25     0.098955     0.018349    -0.185734
49819.50     0.140432     0.075058    -0.144611
49819.75     0.177013     0.027236    -0.179859
49820.00     0.154201    -0.013223    -0.271247
49820.25     0.130341    -0.012420    -0.359153
49820.50     0.149253     0.006092    -0.359624
49820.75     0.192271    -0.046980    -0.415546
49821.00     0.166288    -0.084796    -0.493970
49821.25     0.155098    -0.054483    -0.589519
49821.50     0.205359     0.022909    -0.555398
49821.75     0.263685     0.023901    -0.548583
49822.00     0.254796     0.024680    -0.586238
49822.25     0.246116     0.075172    -0.602138
49822.50     0.281786     0.154366    -0.578501
49822.75     0.308721     0.130025    -0.571769
49823.00     0.258604     0.101383    -0.596688
49823.25     0.215509     0.121919    -0.596680
49823.50     0.234447     0.184068    -0.542254
49823.75     0.261895     0.162007    -0.562462
49824.00     0.228138     0.134766    -0.613264
49824.25     0.214438     0.148696    -0.657239
49824.50     0.249696     0.199166    -0.604765
49824.75     0.283225     0.160639    -0.558330
49825.00     0.252551     0.117766    -0.555887
49825.25     0.222686     0.134082    -0.554189
49825.50     0.237639     0.190500    -0.480570
49825.75     0.262392     0.137695    -0.477541
49826.00     0.219258     0.095993    -0.488919
49826.25     0.194055     0.109702    -0.534015
49826.50     0.223102     0.164440    -0.507169
49826.75     0.267209     0.146030    -0.524824
49827.00     0.262724     0.092830    -0.606773
49827.25     0.236874     0.089532    -0.633621
49827.50     0.271222     0.125743    -0.588432
49827.75     0.312081     0.092674    -0.558253
49828.00     0.285624     0.060338    -0.582640
49828.25     0.256756     0.086132    -0.593904
49828.50     0.274171     0.152932    -0.548432
49828.75     0.303927     0.118647    -0.552651
49829.00     0.247944     0.087143    -0.554894
49829.25     0.217887     0.096742    -0.626524
49829.50     0.253818     0.147680    -0.655213
49829.75     0.296792     0.097006    -0.700783
49830.00     0.260400     0.065409    -0.725302
49830.25     0.249053     0.084463    -0.763388
49830.50     0.270702     0.164148    -0.676810
49830.75     0.302368     0.133503    -0.641176
49831.00     0.263825     0.121719    -0.609367
49831.25     0.250422     0.176847    -0.580819
49831.50     0.280683     0.260865    -0.450546
49831.75     0.311948     0.256790    -0.390855
49832.00     0.237892     0.247399    -0.354263
49832.25     0.201108     0.285425    -0.385848
49832.50     0.213541     0.341416    -0.301718
49832.75     0.264719     0.305856    -0.237273
49833.00     0.211120     0.255891    -0.191229
49833.25     0.166983     0.256989    -0.210785
49833.50     0.198288     0.321135    -0.114714
49833.75     0.238747     0.272650    -0.108382
49834.00     0.210521     0.216235    -0.154544
49834.25     0.177431     0.201484    -0.217081
49834.50     0.213485     0.254531    -0.160577
49834.75     0.245831     0.200781    -0.159659
49835.00     0.213537     0.152470    -0.174160
49835.25     0.152934     0.127437    -0.207287
49835.50     0.189596     0.174118    -0.214643
49835.75     0.211583     0.132331    -0.199188
49836.00     0.165225     0.109228    -0.203324
49836.25     0.135136     0.132109    -0.227308
49836.50     0.146602     0.185608    -0.201674
49836.75     0.170541     0.153218    -0.182876
49837.00     0.126811     0.129003    -0.160542
49837.25     0.079506     0.155718    -0.108199
49837.50     0.098019     0.227798    -0.029964
49837.75     0.136609     0.199978    -0.015931
49838.00     0.105824     0.155351    -0.067430
49838.25     0.063790     0.138002    -0.105040
49838.50     0.087512     0.157845    -0.058945
49838.75     0.116924     0.075585    -0.097149
49839.00     0.061966     0.009962    -0.109093
49839.25     0.041629     0.004234    -0.148172
49839.50     0.060489     0.050118    -0.111629
49839.75     0.095542    -0.001539    -0.166072
49840.00     0.085865    -0.039463    -0.207208
49840.25     0.075292    -0.007384    -0.248432
49840.50     0.073228     0.075849    -0.203619
49840.75     0.103510     0.067154    -0.235350
49841.00     0.067725     0.058383    -0.265628
49841.25     0.021105     0.101575    -0.311708
49841.50     0.028679     0.208717    -0.260915
49841.75     0.066237     0.209792    -0.255680
49842.00     0.039318     0.181829    -0.260749
49842.25     0.004167     0.180041    -0.308900
49842.50     0.056067     0.231431    -0.232577
49842.75     0.091201     0.184166    -0.244898
49843.00     0.065136     0.118336    -0.248426
49843.25     0.034441     0.103106    -0.259119
49843.50     0.054192     0.130871    -0.232118
49843.75     0.075624     0.064477    -0.315167
49844.00     0.063514     0.026427    -0.430485
49844.25     0.027589     0.036425    -0.549443
49844.50     0.029421     0.092018    -0.507286
49844.75     0.054325     0.063160    -0.513996
49845.00    -0.014004     0.040273    -0.512707
49845.25    -0.040183     0.093253    -0.537350
49845.50    -0.040526     0.196315    -0.403936
49845.75    -0.019106     0.189561    -0.380317
49846.00    -0.067396     0.190126    -0.349547
49846.25    -0.091091     0.219107    -0.403305
49846.50    -0.064536     0.283967    -0.343946
49846.75    -0.038077     0.262871    -0.319080
49847.00    -0.081136     0.245798    -0.323223
49847.25    -0.099719     0.249890    -0.424543
49847.50    -0.072930     0.307110    -0.384535
49847.75    -0.026342     0.245622    -0.407176
49848.00    -0.039145     0.189740    -0.380554
49848.25    -0.059947     0.169130    -0.446818
49848.50    -0.032362     0.202748    -0.392902
49848.75     0.004076     0.128667    -0.386590
49849.00    -0.013371     0.061751    -0.431961
49849.25    -0.046457     0.044121    -0.461550
49849.50    -0.006736     0.086252    -0.472385
49849.75     0.016181     0.034867    -0.497809
49850.00    -0.004921    -0.000081    -0.543875
49850.25    -0.028677     0.023211    -0.596177
49850.50     0.016292     0.101946    -0.608213
49850.75     0.059721     0.083976    -0.577713
49851.00     0.025944     0.080594    -0.578745
49851.25    -0.012363     0.135170    -0.533667
49851.50    -0.005100     0.211400    -0.470972
49851.75     0.023378     0.177799    -0.401636
49852.00    -0.007514     0.152948    -0.430006
49852.25    -0.042982     0.167928    -0.457878
49852.50    -0.002339     0.235886    -0.449634
49852.75     0.027886     0.174193    -0.474735
49853.00    -0.038135     0.106421    -0.522782
49853.25    -0.063619     0.085854    -0.559059
49853.50    -0.038852     0.124906    -0.508364
49853.75     0.011335     0.087237    -0.422754
49854.00    -0.012922     0.039539    -0.393799
49854.25    -0.016369     0.048130    -0.407406
49854.50     0.022355     0.107480    -0.290734
49854.75     0.090638     0.092373    -0.219464
49855.00     0.098575     0.055332    -0.222583
49855.25     0.096098     0.071570    -0.241802
49855.50     0.138854     0.110162    -0.212782
49855.75     0.217807     0.075454    -0.248401
49856.00     0.223478     0.026588    -0.340665
49856.25     0.218083     0.024834    -0.439708
49856.50     0.260956     0.048234    -0.389820
49856.75     0.315811    -0.023337    -0.437897
49857.00     0.335971    -0.077683    -0.485449
49857.25     0.326031    -0.075624    -0.555646
49857.50     0.364507    -0.018069    -0.525831
49857.75     0.398578    -0.038332    -0.538532
49858.00     0.357715    -0.038974    -0.541228
49858.25     0.316932     0.015685    -0.545666
49858.50     0.344619     0.099789    -0.480668
49858.75     0.372966     0.075044    -0.473246
49859.00     0.320690     0.038160    -0.444630
49859.25     0.291331     0.065623    -0.436614
49859.50     0.310522     0.131242    -0.317095
49859.75     0.344218     0.099273    -0.294491
49860.00     0.321493     0.059256    -0.327635
49860.25     0.298215     0.066891    -0.329858
49860.50     0.322091     0.131516    -0.243988
49860.75     0.382250     0.104300    -0.215988
49861.00     0.357939     0.081421    -0.185202
49861.25     0.334703     0.102915    -0.198731
49861.50     0.355695     0.181124    -0.110560
49861.75     0.374672     0.153289    -0.098637
49862.00     0.314416     0.120879    -0.113174
49862.25     0.234931     0.133430    -0.143121
49862.50     0.229134     0.187533    -0.104332
49862.75     0.251831     0.134819    -0.150398
49863.00     0.191192     0.074040    -0.243911
49863.25     0.164944     0.086345    -0.335755
49863.50     0.171464     0.131726    -0.277899
49863.75     0.206447     0.095275    -0.240457
49864.00     0.177451     0.054150    -0.284506
49864.25     0.172456     0.086111    -0.367360
49864.50     0.188683     0.153462    -0.329877
49864.75     0.225090     0.126556    -0.304600
49865.00     0.187281     0.082718    -0.363115
49865.25     0.144945     0.109081    -0.381466
49865.50     0.148897     0.172595    -0.330568
49865.75     0.185217     0.161820    -0.272814
49866.00     0.111837     0.136069    -0.275330
49866.25     0.061193     0.162510    -0.285654
49866.50     0.060298     0.237661    -0.154924
49866.75     0.087898     0.198581    -0.108330
49867.00     0.049196     0.140956    -0.201506
49867.25     0.029974     0.150674    -0.225168
49867.50     0.062186     0.205854    -0.188778
49867.75     0.107712     0.157607    -0.155611
49868.00     0.090319     0.096899    -0.229236
49868.25     0.074889     0.106630    -0.299201
49868.50     0.118781     0.159756    -0.293723
49868.75     0.189468     0.137533    -0.298157
49869.00     0.186903     0.098157    -0.371771
49869.25     0.143225     0.122127    -0.432644
49869.50     0.146582     0.185837    -0.356816
49869.75     0.168226     0.173562    -0.298943
49870.00     0.127158     0.140681    -0.337223
49870.25     0.103709     0.186238    -0.376968
49870.50     0.129616     0.248095    -0.342532
49870.75     0.162559     0.218609    -0.277265
49871.00     0.125043     0.150698    -0.327343
49871.25     0.102753     0.182794    -0.345939
49871.50     0.126115     0.241572    -0.278413
49871.75     0.168399     0.214373    -0.288799
49872.00     0.136526     0.179954    -0.313290
49872.25     0.093482     0.216720    -0.268225
49872.50     0.120741     0.291273    -0.234798
49872.75     0.123591     0.267322    -0.228831
