Start times of Jason-1 Cycles
Cycle		Year	Yearday		Month		Day	Hour		Minute		Second	
154		2006	71		3		12	7		25		41.911
155		2006	81		3		22	5		24		13.719
156		2006	91		4		1	3		22		45.383
157		2006	101		4		11	1		21		16.65
158		2006	110		4		20	23		19		47.496
159		2006	120		4		30	21		18		19.418
160		2006	130		5		10	19		16		51.15
161		2006	140		5		20	17		15		22.72
162		2006	150		5		30	15		13		54.118
163		2006	160		6		9	13		12		25.37
164		2006	170		6		19	11		10		56.498
165		2006	180		6		29	9		9		27.627
166		2006	190		7		9	7		7		59.952
167		2006	200		7		19	5		6		32.35
168		2006	210		7		29	3		5		4.693
169		2006	220		8		8	1		3		36.722
170		2006	229		8		17	23		2		8.484
171		2006	239		8		27	21		0		40.07
172		2006	249		9		6	18		59		11.585
173		2006	259		9		16	16		57		42.995
174		2006	269		9		26	14		56		14.23
175		2006	279		10		6	12		54		46.659
176		2006	289		10		16	10		53		18.903
177		2006	299		10		26	8		51		51.059
178		2006	309		11		5	6		50		23.253
179		2006	319		11		15	4		48		55.539
180		2006	329		11		25	2		47		27.095
181		2006	339		12		5	0		45		58.554
182		2006	348		12		14	22		44		29.64
183		2006	358		12		24	20		43		1.564
184		2007	3		1		3	18		41		33.33
185		2007	13		1		13	16		40		4.98
186		2007	23		1		23	14		38		36.446
187		2007	33		2		2	12		37		8.939
188		2007	43		2		12	10		35		41.381
189		2007	53		2		22	8		34		13.904
190		2007	63		3		4	6		32		46.128
191		2007	73		3		14	4		31		18.337
192		2007	83		3		24	2		29		50.193
193		2007	93		4		3	0		28		21.653
194		2007	102		4		12	22		26		52.745
195		2007	112		4		22	20		25		23.55
196		2007	122		5		2	18		23		54.18
197		2007	132		5		12	16		22		26.279
198		2007	142		5		22	14		20		58.277
199		2007	152		6		1	12		19		30.166
200		2007	162		6		11	10		18		1.97
201		2007	172		6		21	8		16		33.78
202		2007	182		7		1	6		15		5.652
203		2007	192		7		11	4		13		37.569
204		2007	202		7		21	2		12		9.297
205		2007	212		7		31	0		10		40.762
206		2007	221		8		9	22		9		11.993
207		2007	231		8		19	20		7		43.086
208		2007	241		8		29	18		6		15.487
209		2007	251		9		8	16		4		47.698
210		2007	261		9		18	14		3		19.74
211		2007	271		9		28	12		1		51.615
212		2007	281		10		8	10		0		23.39
213		2007	291		10		18	7		58		55.16
214		2007	301		10		28	5		57		26.954
215		2007	311		11		7	3		55		58.675
216		2007	321		11		17	1		54		30.109
217		2007	330		11		26	23		53		1.213
218		2007	340		12		6	21		51		33.175
219		2007	350		12		16	19		50		4.952
220		2007	360		12		26	17		48		36.581
221		2008	5		1		5	15		47		8.882
222		2008	15		1		15	13		45		41.066
223		2008	25		1		25	11		44		13.182
224		2008	35		2		4	9		42		45.311
225		2008	45		2		14	7		41		17.512
226		2008	55		2		24	5		39		49.761
227		2008	65		3		5	3		38		21.811
228		2008	75		3		15	1		36		53.449
229		2008	84		3		24	23		35		24.69
230		2008	94		4		3	21		33		55.643
231		2008	104		4		13	19		32		26.383
232		2008	114		4		23	17		30		56.994
233		2008	124		5		3	15		29		28.946
234		2008	134		5		13	13		28		0.771
235		2008	144		5		23	11		26		32.505
236		2008	154		6		2	9		25		4.247
237		2008	164		6		12	7		23		36.036
238		2008	174		6		22	5		22		7.887
239		2008	184		7		2	3		20		39.673
240		2008	194		7		12	1		19		11.186
241		2008	203		7		21	23		17		42.481
242		2008	213		7		31	21		16		13.608
243		2008	223		8		10	19		14		45.764
244		2008	233		8		20	17		13		17.77
245		2008	243		8		30	15		11		50.338 
244		2008	233		8		20	17		13		17.77
245		2008	243		8		30	15		11		49.553
246		2008	253		9		9	13		10		21.153
247		2008	263		9		19	11		8		52.596
248		2008	273		9		29	9		7		24.011
249		2008	283		10		9	7		5		55.509
250		2008	293		10		19	5		4		27.042
251		2008	303		10		29	3		2		58.373
252		2008	313		11		8	1		1		30.437
253		2008	322		11		17	23		0		2.187
254		2008	332		11		27	20		58		33.732
255		2008	342		12		7	18		57		5.171
256		2008	352		12		17	16		55		36.486
257		2008	362		12		27	14		54		8.388
258		2009	6		1		6	12		52		39.2
259		2009	16		1		16	10		51		10.959
