-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
NOUM        49718.000    1995     1     1     0
NOUM        52274.750    2001    12    31    18
NOUM     -5739971.535  1387563.663 -2402123.551
49737.75     0.331716     0.082904     0.279113
49738.00     0.283444    -0.069160     0.127953
49738.25     0.265111     0.013249     0.263046
49738.50     0.228660     0.003953     0.149721
49738.75     0.239612    -0.040814     0.379926
49739.00     0.186237    -0.161491     0.274223
49739.25     0.182366    -0.059163     0.417768
49739.50     0.148869    -0.039779     0.215005
49739.75     0.154588    -0.050533     0.348386
49740.00     0.091110    -0.130543     0.210556
49740.25     0.094354    -0.013774     0.374677
49740.50     0.092157     0.011043     0.241870
49740.75     0.113743    -0.004263     0.427596
49741.00     0.084637    -0.078379     0.338583
49741.25     0.090003     0.037545     0.559530
49741.50     0.078563     0.070075     0.509928
49741.75     0.107199     0.051375     0.809385
49742.00     0.064333    -0.047583     0.717316
49742.25     0.064124     0.054910     0.928255
49742.50     0.066046     0.083285     0.802851
49742.75     0.109818     0.056311     1.037003
49743.00     0.059522    -0.057866     0.885579
49743.25     0.077030     0.044812     1.066147
49743.50     0.083459     0.069901     0.983837
49743.75     0.124256     0.041220     1.218661
49744.00     0.091944    -0.055869     1.056729
49744.25     0.122368     0.057293     1.272983
49744.50     0.110331     0.052649     1.137080
49744.75     0.152092     0.021918     1.366327
49745.00     0.116348    -0.102758     1.238291
49745.25     0.137595     0.033196     1.443944
49745.50     0.125602     0.057086     1.334353
49745.75     0.167099     0.035222     1.593981
49746.00     0.128829    -0.065605     1.477255
49746.25     0.141140     0.022531     1.647226
49746.50     0.127350     0.044692     1.576682
49746.75     0.157449    -0.005919     1.811813
49747.00     0.104381    -0.122815     1.734738
49747.25     0.108417    -0.059443     1.903552
49747.50     0.105779    -0.086755     1.804803
49747.75     0.110662    -0.146438     1.864232
49748.00     0.080400    -0.288113     1.726682
49748.25     0.095357    -0.222815     1.834965
49748.50     0.082170    -0.222798     1.608738
49748.75     0.098956    -0.272554     1.699855
49749.00     0.048264    -0.364867     1.507699
49749.25     0.047591    -0.247317     1.602670
49749.50     0.041117    -0.173505     1.453587
49749.75     0.062286    -0.162757     1.528894
49750.00     0.016314    -0.212524     1.328855
49750.25     0.026231    -0.047123     1.466974
49750.50     0.045418     0.022856     1.300813
49750.75     0.096637     0.024256     1.431584
49751.00     0.059821    -0.041314     1.175603
49751.25     0.076600     0.099005     1.154563
49751.50     0.066622     0.166350     0.942338
49751.75     0.088462     0.124139     0.988798
49752.00     0.027876     0.048671     0.854178
49752.25     0.017891     0.173225     0.915407
49752.50     0.004538     0.199920     0.722320
49752.75     0.006997     0.173763     0.872378
49753.00    -0.042976     0.059632     0.655185
49753.25    -0.050304     0.135223     0.704355
49753.50    -0.083959     0.094429     0.423254
49753.75    -0.071924     0.040663     0.563195
49754.00    -0.138943    -0.090017     0.287995
49754.25    -0.160345    -0.004703     0.312344
49754.50    -0.201548    -0.012648    -0.031740
49754.75    -0.199274    -0.036580     0.099483
49755.00    -0.263293    -0.144062    -0.144092
49755.25    -0.263839    -0.001907    -0.057095
49755.50    -0.280721    -0.000932    -0.286461
49755.75    -0.248038     0.013931    -0.070711
49756.00    -0.307358    -0.069975    -0.218533
49756.25    -0.290842     0.068933     0.086596
49756.50    -0.295458     0.103543    -0.089504
49756.75    -0.271740     0.126760     0.256798
49757.00    -0.302689     0.011765     0.137989
49757.25    -0.285258     0.135712     0.373477
49757.50    -0.285207     0.144477     0.222100
49757.75    -0.228911     0.150261     0.551572
49758.00    -0.245475     0.022380     0.333942
49758.25    -0.205584     0.118822     0.487767
49758.50    -0.191406     0.104221     0.190129
49758.75    -0.124850     0.088600     0.481985
49759.00    -0.142176    -0.042166     0.261531
49759.25    -0.111086     0.061726     0.455346
49759.50    -0.094736     0.047819     0.318428
49759.75    -0.036409     0.032417     0.642017
49760.00    -0.046013    -0.090656     0.499277
49760.25    -0.009472     0.015129     0.709062
49760.50     0.011039     0.004635     0.474790
49760.75     0.058929    -0.018324     0.750731
49761.00     0.036886    -0.131807     0.562013
49761.25     0.055939    -0.014419     0.726020
49761.50     0.041080     0.019528     0.437433
49761.75     0.081434     0.019495     0.586364
49762.00     0.040539    -0.076893     0.342799
49762.25     0.051695     0.033217     0.521026
49762.50     0.049169     0.055839     0.249723
49762.75     0.080918     0.043950     0.531418
49763.00     0.037774    -0.069106     0.389318
49763.25     0.065687     0.036645     0.755449
49763.50     0.054653     0.045375     0.623142
49763.75     0.085000     0.030410     0.945330
49764.00     0.024562    -0.102105     0.728820
49764.25     0.041260     0.014194     0.893767
49764.50     0.018952    -0.009189     0.541613
49764.75     0.045750    -0.004004     0.742340
49765.00    -0.001680    -0.100398     0.470049
49765.25    -0.008111     0.040057     0.606765
49765.50    -0.023449     0.036675     0.355731
49765.75     0.037566     0.051460     0.716844
49766.00    -0.006591    -0.065190     0.580298
49766.25     0.044561     0.051551     0.917532
49766.50     0.063315     0.049081     0.711939
49766.75     0.123022     0.049981     1.084129
49767.00     0.084180    -0.071445     0.871633
49767.25     0.111136     0.018420     1.107075
49767.50     0.091809    -0.014475     0.907573
49767.75     0.125050    -0.057341     1.169795
49768.00     0.094847    -0.166005     0.974857
49768.25     0.133388    -0.061516     1.095813
49768.50     0.119192    -0.038152     0.787326
49768.75     0.142579    -0.045380     0.944275
49769.00     0.086306    -0.161613     0.641041
49769.25     0.092844    -0.017519     0.766899
49769.50     0.080683     0.010669     0.527298
49769.75     0.116837     0.011164     0.716033
49770.00     0.054104    -0.100836     0.525145
49770.25     0.072458     0.023229     0.647992
49770.50     0.076755     0.028908     0.400707
49770.75     0.093873    -0.002533     0.619788
49771.00     0.019695    -0.129943     0.337708
49771.25     0.044337    -0.021194     0.474625
49771.50     0.018601    -0.006032     0.218243
49771.75     0.030413    -0.022865     0.491435
49772.00    -0.019407    -0.119940     0.255650
49772.25    -0.010843     0.010611     0.471539
49772.50    -0.028993     0.049165     0.229191
49772.75    -0.003458     0.052082     0.534262
49773.00    -0.057348    -0.042903     0.322447
49773.25    -0.052976     0.085683     0.484667
49773.50    -0.066810     0.123946     0.301668
49773.75    -0.011864     0.135398     0.625207
49774.00    -0.045355     0.032185     0.379971
49774.25    -0.005683     0.153356     0.612546
49774.50     0.015025     0.212390     0.293746
49774.75     0.093318     0.242583     0.652774
49775.00     0.066618     0.142327     0.448472
49775.25     0.108227     0.252455     0.658339
49775.50     0.122180     0.270603     0.383645
49775.75     0.162943     0.253019     0.634672
49776.00     0.129895     0.148515     0.386133
49776.25     0.142165     0.270907     0.627245
49776.50     0.100512     0.286120     0.257939
49776.75     0.133709     0.278869     0.580845
49777.00     0.085688     0.170455     0.437145
49777.25     0.080813     0.278929     0.658702
49777.50     0.063094     0.285708     0.382244
49777.75     0.115874     0.278855     0.720281
49778.00     0.061615     0.144659     0.457446
49778.25     0.081742     0.216639     0.685268
49778.50     0.084615     0.215357     0.396742
49778.75     0.135862     0.205283     0.677899
49779.00     0.089498     0.089692     0.450266
49779.25     0.118143     0.224840     0.700560
49779.50     0.097495     0.241425     0.414855
49779.75     0.126729     0.253295     0.680279
49780.00     0.095028     0.159353     0.489478
49780.25     0.123269     0.297876     0.647028
49780.50     0.128338     0.301028     0.324674
49780.75     0.172217     0.298147     0.611691
49781.00     0.148078     0.184829     0.352254
49781.25     0.169864     0.310696     0.539878
49781.50     0.153582     0.312807     0.196951
49781.75     0.198575     0.287890     0.496183
49782.00     0.152374     0.188576     0.325828
49782.25     0.192574     0.326700     0.619903
49782.50     0.204740     0.329950     0.404693
49782.75     0.269705     0.348680     0.845353
49783.00     0.247793     0.223147     0.776027
49783.25     0.303722     0.344774     1.073564
49783.50     0.306902     0.317615     0.785542
49783.75     0.377019     0.296468     1.137959
49784.00     0.325263     0.172829     0.930759
49784.25     0.344324     0.262527     1.126267
49784.50     0.301330     0.224398     0.753620
49784.75     0.329700     0.177891     0.962015
49785.00     0.268166     0.023913     0.600658
49785.25     0.268404     0.128866     0.689603
49785.50     0.228939     0.088416     0.209479
49785.75     0.250739     0.051842     0.469974
49786.00     0.171659    -0.102294     0.096465
49786.25     0.195979    -0.000408     0.289563
49786.50     0.167181    -0.012376    -0.085261
49786.75     0.213725    -0.009238     0.264089
49787.00     0.170132    -0.124741     0.081126
49787.25     0.219471    -0.000380     0.420988
49787.50     0.203684    -0.007916     0.162946
49787.75     0.261825     0.004249     0.549018
49788.00     0.199477    -0.121095     0.286516
49788.25     0.208016    -0.025635     0.525834
49788.50     0.187848    -0.071747     0.177429
49788.75     0.252729    -0.125614     0.550994
49789.00     0.225523    -0.258106     0.360197
49789.25     0.293409    -0.136326     0.661815
49789.50     0.308123    -0.153827     0.307934
49789.75     0.352144    -0.151647     0.674699
49790.00     0.320713    -0.264972     0.472778
49790.25     0.366863    -0.113550     0.785820
49790.50     0.333181    -0.114776     0.421276
49790.75     0.351556    -0.059414     0.704009
49791.00     0.268285    -0.177470     0.465743
49791.25     0.248764    -0.041549     0.673285
49791.50     0.209980    -0.061455     0.308779
49791.75     0.223982    -0.049726     0.597919
49792.00     0.151823    -0.136570     0.296494
49792.25     0.152477    -0.005726     0.510016
49792.50     0.129774    -0.008571     0.188958
49792.75     0.135622    -0.008398     0.349627
49793.00     0.072546    -0.116025     0.037451
49793.25     0.079826     0.018310     0.282924
49793.50     0.043106     0.050836     0.030536
49793.75     0.040331     0.041335     0.273680
49794.00    -0.032927    -0.053587     0.046743
49794.25    -0.028979     0.049848     0.223801
49794.50    -0.093886     0.074794    -0.158184
49794.75    -0.089567     0.056894     0.099927
49795.00    -0.153805    -0.083392    -0.082366
49795.25    -0.171276    -0.001214     0.088525
49795.50    -0.200946    -0.019938    -0.181132
49795.75    -0.165463    -0.064713     0.167584
49796.00    -0.217190    -0.202795     0.015081
49796.25    -0.187311    -0.094545     0.216191
49796.50    -0.174740    -0.121871    -0.023645
49796.75    -0.139592    -0.153160     0.243604
49797.00    -0.180978    -0.272356     0.100035
49797.25    -0.109875    -0.149182     0.441264
49797.50    -0.107095    -0.140884     0.185234
49797.75    -0.030010    -0.147529     0.464035
49798.00    -0.051748    -0.264499     0.289594
49798.25     0.001776    -0.143944     0.521126
49798.50     0.007562    -0.154749     0.198185
49798.75     0.087250    -0.148283     0.491436
49799.00     0.054633    -0.218898     0.260804
49799.25     0.086558    -0.089179     0.446740
49799.50     0.086175    -0.099780     0.110722
49799.75     0.147921    -0.103865     0.366161
49800.00     0.076875    -0.200498     0.016824
49800.25     0.097829    -0.048065     0.193114
49800.50     0.057369    -0.036363    -0.098385
49800.75     0.067556    -0.056234     0.214077
49801.00    -0.010735    -0.140274    -0.006232
49801.25     0.004291     0.026516     0.217538
49801.50    -0.048227     0.093231    -0.165741
49801.75    -0.028068     0.126525     0.136700
49802.00    -0.071305     0.048914    -0.078459
49802.25    -0.032450     0.208867     0.205082
49802.50    -0.075025     0.234476    -0.117827
49802.75    -0.029276     0.255743     0.187534
49803.00    -0.087722     0.141596    -0.012585
49803.25    -0.065878     0.264527     0.231878
49803.50    -0.086382     0.240170    -0.147968
49803.75    -0.039603     0.217216     0.165620
49804.00    -0.090981     0.111136    -0.086190
49804.25    -0.048339     0.219774     0.236263
49804.50    -0.062064     0.202705     0.006854
49804.75    -0.026831     0.173769     0.427641
49805.00    -0.075554     0.067070     0.382883
49805.25    -0.033931     0.194841     0.785989
49805.50    -0.052368     0.190861     0.588861
49805.75     0.016614     0.143155     0.908168
49806.00     0.001108     0.013607     0.782475
49806.25     0.060782     0.088998     0.982173
49806.50     0.048576     0.068979     0.652520
49806.75     0.116313     0.017763     0.924670
49807.00     0.051270    -0.120134     0.668541
49807.25     0.082804    -0.026860     0.853015
49807.50     0.060466    -0.050846     0.553285
49807.75     0.094450    -0.083079     0.817183
49808.00     0.025704    -0.173507     0.549304
49808.25     0.047687    -0.039511     0.726313
49808.50     0.002516    -0.014666     0.376286
49808.75     0.026694    -0.011455     0.638650
49809.00    -0.044196    -0.108339     0.448994
49809.25    -0.039304     0.010259     0.559865
49809.50    -0.083881     0.012096     0.181888
49809.75    -0.054054     0.009766     0.450111
49810.00    -0.102716    -0.118142     0.209365
49810.25    -0.058055    -0.015742     0.453893
49810.50    -0.061160    -0.016643     0.224803
49810.75    -0.004040    -0.025225     0.539565
49811.00    -0.041390    -0.137691     0.374514
49811.25     0.012544    -0.038171     0.637556
49811.50     0.003655    -0.050678     0.396383
49811.75     0.036320    -0.062884     0.700873
49812.00     0.001782    -0.177083     0.451673
49812.25     0.038240    -0.053924     0.632869
49812.50     0.026861    -0.073918     0.271854
49812.75     0.075807    -0.070630     0.507659
49813.00     0.036443    -0.145500     0.229885
49813.25     0.073103     0.018883     0.447332
49813.50     0.059165     0.053846     0.050440
49813.75     0.115276     0.080242     0.347229
49814.00     0.067413     0.009493     0.066228
49814.25     0.093513     0.158341     0.225253
49814.50     0.073438     0.156610    -0.086790
49814.75     0.101108     0.145324     0.192846
49815.00     0.051062     0.019156     0.032696
49815.25     0.063865     0.111310     0.296797
49815.50     0.050851     0.096955     0.117874
49815.75     0.079068     0.034729     0.454893
49816.00     0.046968    -0.071093     0.390738
49816.25     0.075494     0.023815     0.623730
49816.50     0.056020     0.005212     0.421870
49816.75     0.094590    -0.021365     0.799140
49817.00     0.046170    -0.146709     0.619278
49817.25     0.073503    -0.047790     0.800079
49817.50     0.054694    -0.073844     0.345220
49817.75     0.088527    -0.095108     0.488586
49818.00     0.029990    -0.216478     0.101548
49818.25     0.053404    -0.123970     0.162792
49818.50     0.030570    -0.109165    -0.382572
49818.75     0.078310    -0.131673    -0.188587
49819.00     0.045500    -0.216683    -0.392219
49819.25     0.092029    -0.097927    -0.195983
49819.50     0.079274    -0.102695    -0.513932
49819.75     0.143907    -0.116942    -0.156423
49820.00     0.110474    -0.189626    -0.322242
49820.25     0.145212    -0.099804    -0.141359
49820.50     0.120182    -0.126344    -0.391056
49820.75     0.167669    -0.135757    -0.049189
49821.00     0.124228    -0.212372    -0.299724
49821.25     0.163130    -0.085130    -0.093542
49821.50     0.145189    -0.054444    -0.436159
49821.75     0.197120    -0.004652    -0.146887
49822.00     0.178086    -0.077267    -0.344581
49822.25     0.222160     0.083937    -0.151313
49822.50     0.190472     0.126265    -0.512190
49822.75     0.219173     0.144001    -0.208769
49823.00     0.170188     0.049365    -0.442845
49823.25     0.187487     0.141315    -0.211987
49823.50     0.128304     0.159669    -0.566415
49823.75     0.145969     0.156623    -0.357358
49824.00     0.086035     0.050681    -0.653554
49824.25     0.072210     0.169888    -0.532362
49824.50     0.063649     0.144364    -0.712966
49824.75     0.094726     0.125934    -0.423181
49825.00     0.058534    -0.000080    -0.530315
49825.25     0.094301     0.114903    -0.351867
49825.50     0.082397     0.107029    -0.601936
49825.75     0.113907     0.063291    -0.302728
49826.00     0.051917    -0.070376    -0.559081
49826.25     0.070454     0.056122    -0.417949
49826.50     0.044847     0.052274    -0.860679
49826.75     0.095140     0.052075    -0.601409
49827.00     0.054556    -0.066823    -0.908093
49827.25     0.097502     0.040208    -0.666588
49827.50     0.075288     0.023736    -0.971103
49827.75     0.120716     0.017167    -0.695185
49828.00     0.084416    -0.094556    -0.944623
49828.25     0.134948     0.034207    -0.723843
49828.50     0.126705     0.020162    -1.028769
49828.75     0.181070    -0.015795    -0.686583
49829.00     0.146852    -0.110269    -0.876377
49829.25     0.202202     0.013365    -0.656511
49829.50     0.186559     0.000231    -0.997039
49829.75     0.239272    -0.005584    -0.741573
49830.00     0.218467    -0.106444    -0.948756
49830.25     0.274115     0.005881    -0.675754
49830.50     0.238433     0.043288    -0.905346
49830.75     0.268659     0.029433    -0.570646
49831.00     0.196517    -0.065827    -0.791878
49831.25     0.208760     0.058759    -0.617145
49831.50     0.157783     0.071194    -0.959440
49831.75     0.166645     0.070487    -0.714914
49832.00     0.100634    -0.023262    -0.970561
49832.25     0.122913     0.097960    -0.826344
49832.50     0.079191     0.099545    -1.189049
49832.75     0.113058     0.089788    -0.853100
49833.00     0.067687    -0.020952    -0.955490
49833.25     0.092626     0.088078    -0.716100
49833.50     0.068900     0.071180    -0.952425
49833.75     0.102975     0.045592    -0.532316
49834.00     0.064998    -0.071505    -0.650547
49834.25     0.109818     0.015591    -0.366359
49834.50     0.084317     0.025184    -0.605607
49834.75     0.131956     0.025936    -0.198775
49835.00     0.106947    -0.063485    -0.340529
49835.25     0.150216     0.026126    -0.027247
49835.50     0.137037     0.028244    -0.303298
49835.75     0.176938     0.011004    -0.018608
49836.00     0.124169    -0.069784    -0.201863
49836.25     0.157410     0.082069     0.053818
49836.50     0.133733     0.076282    -0.202663
49836.75     0.179945     0.062346     0.115266
49837.00     0.133100    -0.018161    -0.060292
49837.25     0.162819     0.115170     0.229009
49837.50     0.138233     0.120369    -0.045665
49837.75     0.177895     0.100843     0.286164
49838.00     0.124580    -0.009885     0.086488
49838.25     0.137526     0.058455     0.301726
49838.50     0.084801     0.040934     0.034543
49838.75     0.099528     0.003744     0.344048
49839.00     0.047212    -0.126153     0.188897
49839.25     0.062039    -0.062438     0.352449
49839.50     0.036179    -0.082446    -0.018047
49839.75     0.081408    -0.093248     0.252189
49840.00     0.025052    -0.219244    -0.108071
49840.25     0.061574    -0.110730    -0.030474
49840.50     0.036656    -0.098382    -0.448255
49840.75     0.063736    -0.106960    -0.258486
49841.00     0.007379    -0.190739    -0.561117
49841.25     0.029909    -0.072177    -0.494917
49841.50    -0.012927    -0.049802    -1.029839
49841.75     0.018371    -0.026319    -0.813617
49842.00    -0.028696    -0.118657    -1.045030
49842.25    -0.009752    -0.027067    -0.895616
49842.50    -0.031002    -0.046632    -1.196755
49842.75     0.002649    -0.076074    -0.829206
49843.00    -0.055123    -0.202732    -0.967746
49843.25    -0.031185    -0.125196    -0.677455
49843.50    -0.067993    -0.160757    -0.974605
49843.75    -0.037406    -0.176206    -0.644385
49844.00    -0.084507    -0.281068    -0.877683
49844.25    -0.037344    -0.163666    -0.661936
49844.50    -0.059020    -0.163220    -1.007578
49844.75    -0.024104    -0.148577    -0.720200
49845.00    -0.061800    -0.228789    -0.907725
49845.25    -0.025427    -0.087489    -0.672841
49845.50    -0.061748    -0.062212    -1.027630
49845.75    -0.014569    -0.026967    -0.685507
49846.00    -0.079644    -0.079973    -0.916957
49846.25    -0.055705     0.018852    -0.788619
49846.50    -0.085767     0.056972    -1.119843
49846.75    -0.065116     0.065270    -0.826925
49847.00    -0.113201     0.002548    -1.009924
49847.25    -0.089477     0.097114    -0.850297
49847.50    -0.105966     0.103351    -1.164193
49847.75    -0.078686     0.090090    -0.793933
49848.00    -0.102514    -0.004842    -0.865144
49848.25    -0.082809     0.056867    -0.639473
49848.50    -0.096261     0.030777    -0.853572
49848.75    -0.053841    -0.001963    -0.483075
49849.00    -0.064046    -0.106965    -0.573452
49849.25    -0.027467    -0.009669    -0.268206
49849.50    -0.014171    -0.017755    -0.449099
49849.75     0.032001    -0.026328    -0.160146
49850.00     0.015840    -0.115247    -0.301529
49850.25     0.050092     0.007489    -0.187892
49850.50     0.034813     0.005368    -0.551773
49850.75     0.057347    -0.001506    -0.336800
49851.00     0.007018    -0.089126    -0.638436
49851.25     0.020899     0.019148    -0.551187
49851.50    -0.027178     0.015127    -0.963124
49851.75    -0.016254    -0.006592    -0.721369
49852.00    -0.073371    -0.117932    -1.028135
49852.25    -0.062995    -0.050100    -0.968428
49852.50    -0.102129    -0.064069    -1.321113
49852.75    -0.076871    -0.102295    -1.013809
49853.00    -0.124425    -0.213720    -1.214312
49853.25    -0.100280    -0.144099    -0.994471
49853.50    -0.116511    -0.153779    -1.222234
49853.75    -0.061741    -0.135617    -0.829723
49854.00    -0.090033    -0.232521    -0.911979
49854.25    -0.053749    -0.124687    -0.730274
49854.50    -0.058782    -0.114704    -0.932290
49854.75    -0.002763    -0.083497    -0.578806
49855.00    -0.017828    -0.157221    -0.652152
49855.25     0.021415    -0.027157    -0.420786
49855.50    -0.002993    -0.033089    -0.697546
49855.75     0.051610    -0.040385    -0.410403
49856.00     0.039949    -0.140827    -0.485292
49856.25     0.071603    -0.050714    -0.344298
49856.50     0.076397    -0.094324    -0.618027
49856.75     0.129357    -0.149236    -0.387443
49857.00     0.115203    -0.236129    -0.605617
49857.25     0.142868    -0.142138    -0.462090
49857.50     0.136740    -0.156600    -0.825399
49857.75     0.172360    -0.166340    -0.640485
49858.00     0.137379    -0.215904    -0.865675
49858.25     0.164226    -0.097285    -0.774400
49858.50     0.134845    -0.085617    -1.119748
49858.75     0.162397    -0.097624    -0.873141
49859.00     0.129718    -0.190005    -1.019362
49859.25     0.150142    -0.095867    -0.772794
49859.50     0.104607    -0.096535    -1.050103
49859.75     0.145720    -0.082928    -0.643819
49860.00     0.110381    -0.165069    -0.799793
49860.25     0.134946    -0.044550    -0.525272
49860.50     0.104279    -0.027349    -0.814463
49860.75     0.160496    -0.002096    -0.418528
49861.00     0.121577    -0.076123    -0.550349
49861.25     0.171438     0.043021    -0.298934
49861.50     0.164077     0.072240    -0.523161
49861.75     0.199621     0.079921    -0.221486
49862.00     0.158026     0.025505    -0.293469
49862.25     0.179223     0.117876    -0.122623
49862.50     0.151726     0.108860    -0.435711
49862.75     0.188075     0.059861    -0.187654
49863.00     0.134391    -0.057464    -0.483240
49863.25     0.149431    -0.003718    -0.419679
49863.50     0.115011    -0.042005    -0.759115
49863.75     0.143254    -0.092090    -0.523408
49864.00     0.094120    -0.206114    -0.776354
49864.25     0.122274    -0.107351    -0.654362
49864.50     0.103239    -0.098422    -0.999101
49864.75     0.140863    -0.108438    -0.700431
49865.00     0.098569    -0.183536    -0.879780
49865.25     0.110333    -0.100764    -0.741111
49865.50     0.064165    -0.073422    -1.085807
49865.75     0.084571    -0.062302    -0.789497
49866.00     0.020100    -0.124649    -0.998317
49866.25     0.027430    -0.040636    -0.819879
49866.50    -0.012430    -0.036995    -1.123440
49866.75     0.012334    -0.056548    -0.777021
49867.00    -0.020500    -0.152782    -0.984870
49867.25     0.005097    -0.069695    -0.800529
49867.50    -0.016816    -0.079440    -1.097867
49867.75     0.003050    -0.104631    -0.767589
49868.00    -0.022973    -0.196240    -0.863456
49868.25     0.000735    -0.109129    -0.781780
49868.50    -0.016982    -0.120253    -1.096168
49868.75     0.028152    -0.117263    -0.808203
49869.00    -0.007547    -0.193272    -0.992978
49869.25    -0.001232    -0.096890    -0.935989
49869.50    -0.024450    -0.096212    -1.249580
49869.75    -0.007376    -0.111436    -1.056418
49870.00    -0.038874    -0.175264    -1.225643
49870.25    -0.038025    -0.062116    -1.185146
49870.50    -0.059346    -0.083396    -1.477832
49870.75    -0.037806    -0.088729    -1.188519
49871.00    -0.076549    -0.193465    -1.306704
49871.25    -0.066201    -0.071738    -1.147106
49871.50    -0.072085    -0.083506    -1.460128
49871.75    -0.046027    -0.067390    -1.201571
49872.00    -0.069655    -0.144635    -1.291530
49872.25    -0.059679    -0.024897    -1.119992
49872.50    -0.074516    -0.031495    -1.376071
49872.75    -0.044594    -0.012792    -1.049143
49873.00    -0.095503    -0.086230    -1.206099
49873.25    -0.090798     0.022548    -0.989457
49873.50    -0.103821     0.005079    -1.243109
49873.75    -0.076858    -0.003123    -0.856250
49874.00    -0.106958    -0.106485    -0.922362
49874.25    -0.079595    -0.014667    -0.664450
49874.50    -0.101321    -0.032184    -0.826293
