

"tblid","profln","totcest","totcme","cest","cme"
"S0201","          36","      4.6","               +/-0.4","               2.5","               +/-1.1"
"S0201","          37","      3.6","               +/-0.3","               2.2","               +/-0.7"
"S0201","          38","      1.5","               +/-0.2","               0.9","               +/-0.4"
" ","          38"," "," "," "," "
" ","          39"," "," "," "," "
"S0201","          39","  478,527","             +/-4,703","            27,445","             +/-2,459"
"S0201","          40","     65.8","               +/-0.9","              68.6","               +/-4.3"
"S0201","          41","     30.7","               +/-0.7","              36.0","               +/-3.8"
"S0201","          42","     52.3","               +/-1.0","              58.2","               +/-4.2"
"S0201","          43","     23.7","               +/-0.7","              30.2","               +/-3.3"
"S0201","          44","      9.7","               +/-0.6","               8.5","               +/-3.1"
"S0201","          45","      5.2","               +/-0.5","               4.8","               +/-2.4"
"S0201","          46","     34.2","               +/-0.9","              31.4","               +/-4.3"
"S0201","          47","     15.9","               +/-0.8","              14.9","               +/-3.3"
"S0201","          48","     13.3","               +/-0.8","              11.4","               +/-3.0"
"S0201","          49","      2.6","               +/-0.3","               3.5","               +/-2.2"
"S0201","          50","     18.3","               +/-0.7","              16.5","               +/-3.2"
"S0201","          51","     16.1","               +/-0.7","              13.1","               +/-2.9"
"S0201","          52","      2.2","               +/-0.3","               3.4","               +/-1.6"
" ","          52"," "," "," "," "
"S0201","          53","     2.51","              +/-0.02","              2.64","              +/-0.11"
"S0201","          54","     3.16","              +/-0.04","              3.23","              +/-0.12"
" ","          54"," "," "," "," "
" ","          55"," "," "," "," "
"S0201","          55","  972,381","               +/-135","            55,969","             +/-3,827"
"S0201","          56","     54.0","               +/-1.0","              52.5","               +/-3.1"
"S0201","          57","      5.6","               +/-0.3","               3.4","               +/-1.1"
"S0201","          58","     11.0","               +/-0.5","              10.2","               +/-2.0"
"S0201","          59","      1.0","               +/-0.2","               1.0","               +/-0.7"
"S0201","          60","     28.3","               +/-0.7","              32.9","               +/-2.6"
" ","          60"," "," "," "," "
"S0201","          61","  473,712","               +/-433","            28,165","             +/-2,301"
"S0201","          62","     56.4","               +/-1.2","              55.2","               +/-4.0"
"S0201","          63","      2.0","               +/-0.3","               0.6","               +/-0.6"
"S0201","          64","      9.3","               +/-0.6","               7.1","               +/-2.7"
"S0201","          65","      0.9","               +/-0.2","               0.7","               +/-0.8"
"S0201","          66","     31.5","               +/-0.9","              36.3","               +/-3.9"
" ","          66"," "," "," "," "
"S0201","          67","  498,669","               +/-438","            27,804","             +/-2,580"
"S0201","          68","     51.7","               +/-1.1","              49.7","               +/-4.4"
"S0201","          69","      9.0","               +/-0.5","               6.2","               +/-2.0"
"S0201","          70","     12.7","               +/-0.6","              13.3","               +/-3.1"
"S0201","          71","      1.2","               +/-0.3","               1.3","               +/-1.3"
"S0201","          72","     25.4","               +/-0.8","              29.5","               +/-3.4"
" ","          72"," "," "," "," "
" ","          73"," "," "," "," "
"S0201","          73","  327,691","             +/-4,696","            26,105","             +/-3,040"
"S0201","          74","      7.3","               +/-0.6","               6.4","               +/-1.9"
"S0201","          75","      4.8","               +/-0.6","               3.4","               +/-1.6"
"S0201","          76","     39.7","               +/-0.8","              39.6","               +/-4.0"
"S0201","          77","     22.3","               +/-0.7","              22.1","               +/-3.6"
"S0201","          78","     25.9","               +/-0.9","              28.5","               +/-3.9"
" ","          78"," "," "," "," "
"S0201","          79","  161,646","             +/-2,939","            13,233","             +/-1,871"
"S0201","          80","     69.1","               +/-1.5","              69.0","               +/-5.6"
"S0201","          81","     22.7","               +/-1.2","              23.3","               +/-5.0"
"S0201","          82","  166,045","             +/-3,240","            12,872","             +/-1,831"
"S0201","          83","     64.6","               +/-1.3","              61.0","               +/-6.0"
"S0201","          84","     29.0","               +/-1.2","              33.9","               +/-6.2"
" ","          84"," "," "," "," "
" ","          85"," "," "," "," "
"S0201","          85","  821,603","               +/-164","            43,237","             +/-2,762"
"S0201","          86","      8.3","               +/-0.5","               6.6","               +/-2.1"
"S0201","          87","     22.1","               +/-0.8","              20.1","               +/-2.4"
"S0201","          88","     27.3","               +/-0.7","              30.1","               +/-3.1"
"S0201","          89","     24.7","               +/-0.7","              25.0","               +/-2.9"
"S0201","          90","     17.6","               +/-0.7","              18.3","               +/-2.6"
" ","          90"," "," "," "," "
"S0201","          91","     91.7","               +/-0.5","              93.4","               +/-2.1"
"S0201","          92","     91.5","               +/-0.6","              93.4","               +/-2.5"
"S0201","          93","     92.0","               +/-0.6","              93.4","               +/-2.9"
"S0201","          94","     42.3","               +/-0.9","              43.3","               +/-3.1"
"S0201","          95","     45.0","               +/-1.0","              46.1","               +/-4.7"
"S0201","          96","     39.8","               +/-1.1","              40.5","               +/-4.0"
" ","          96"," "," "," "," "
" ","          97"," "," "," "," "
"S0201","          97","  302,760","             +/-1,465","            19,687","             +/-2,278"
"S0201","          98","   14,181","             +/-1,712","             1,004","               +/-504"
"S0201","          99","    2,889","               +/-899","N","N"
"S0201","         100","     20.4","               +/-5.6","N","N"
" ","         100"," "," "," "," "
" ","         101"," "," "," "," "
"S0201","         101","  767,854","               +/-135","            40,451","             +/-2,715"
"S0201","         102","      2.2","               +/-0.3","               0.9","               +/-0.8"
"S0201","         103","     37.4","               +/-6.4","              56.2","              +/-41.6"
" ","         103"," "," "," "," "
" ","         104"," "," "," "," "
"S0201","         104","  918,687","               +/-177","            51,767","             +/-3,395"
"S0201","         105","      8.4","               +/-0.4","               6.7","               +/-1.7"
" ","         105"," "," "," "," "
" ","         106"," "," "," "," "
"S0201","         106","1,131,170","               +/-310","            68,720","             +/-4,890"
"S0201","         107","     12.4","               +/-0.5","               9.0","               +/-1.7"
"S0201","         108","  183,359","             +/-1,667","            14,436","             +/-2,265"
"S0201","         109","      5.7","               +/-1.0","               4.6","               +/-2.6"
"S0201","         110","  808,912","             +/-1,723","            48,557","             +/-3,729"
"S0201","         111","      9.6","               +/-0.6","               7.9","               +/-1.9"
"S0201","         112","     90.4","               +/-0.6","              92.1","               +/-1.9"
"S0201","         113","  138,899","               +/-293","             5,727","             +/-1,028"
"S0201","         114","     37.2","               +/-1.9","              29.7","               +/-8.4"
" ","         114"," "," "," "," "
" ","         115"," "," "," "," "
"S0201","         115","1,198,524","             +/-1,684","            73,049","             +/-5,218"
"S0201","         116","     87.4","               +/-0.8","              88.9","               +/-2.7"
"S0201","         117","     11.8","               +/-0.8","              11.1","               +/-2.7"
"S0201","         118","      7.4","               +/-0.7","               6.9","               +/-2.2"
"S0201","         119","      4.4","               +/-0.4","               4.2","               +/-1.7"
"S0201","         120","      3.3","               +/-0.4","               3.2","               +/-1.5"
"S0201","         121","      1.2","               +/-0.2","               1.0","               +/-0.6"
"S0201","         122","      0.7","               +/-0.2","               0.0","               +/-0.2"
" ","         122"," "," "," "," "
" ","         123"," "," "," "," "
"S0201","         123","1,214,255","*****","            74,211","             +/-5,253"
"S0201","         124","1,072,048","             +/-6,474","            71,104","             +/-5,238"
"S0201","         125","     49.3","               +/-0.2","              51.8","               +/-2.3"
"S0201","         126","     50.7","               +/-0.2","              48.2","               +/-2.3"
"S0201","         127","  142,207","             +/-6,474","             3,107","               +/-844"
"S0201","         128","     49.1","               +/-1.1","              56.1","              +/-11.1"
"S0201","         129","     50.9","               +/-1.1","              43.9","              +/-11.1"
"S0201","         130","   70,995","             +/-4,287","             2,430","               +/-754"
"S0201","         131","     48.7","               +/-1.8","              52.3","              +/-12.5"
"S0201","         132","     51.3","               +/-1.8","              47.7","              +/-12.5"
"S0201","         133","   71,212","             +/-5,434","               677","               +/-388"
"S0201","         134","     49.5","               +/-1.9","              69.6","              +/-23.2"
"S0201","         135","     50.5","               +/-1.9","              30.4","              +/-23.2"
" ","         136"," "," "," "," "
"S0201","         136","     32.0","               +/-2.7","               8.8","               +/-7.3"
"S0201","         137","     28.1","               +/-2.2","              10.1","               +/-9.3"
"S0201","         138","     39.9","               +/-2.4","              81.1","              +/-10.3"
" ","         138"," "," "," "," "
" ","         139"," "," "," "," "
"S0201","         139","  142,207","             +/-6,474","             3,107","               +/-844"
"S0201","         140","     27.4","               +/-2.1","N","N"
"S0201","         141","     51.6","               +/-2.6","N","N"
"S0201","         142","      3.1","               +/-1.2","N","N"
"S0201","         143","      0.4","               +/-0.2","N","N"
"S0201","         144","     10.1","               +/-1.3","N","N"
"S0201","         145","      7.5","               +/-1.3","N","N"
" ","         145"," "," "," "," "
" ","         146"," "," "," "," "
"S0201","         146","1,138,570","               +/-121","            69,002","             +/-4,901"
"S0201","         147","     85.5","               +/-0.7","              92.1","               +/-1.8"
"S0201","         148","     14.5","               +/-0.7","               7.9","               +/-1.8"
"S0201","         149","      5.5","               +/-0.4","               1.9","               +/-0.7"
" ","         149"," "," "," "," "
" ","         150"," "," "," "," "
"S0201","         150","  954,882","             +/-1,671","            54,566","             +/-3,732"
"S0201","         151","     68.5","               +/-0.6","              76.1","               +/-2.4"
"S0201","         152","     68.5","               +/-0.6","              76.1","               +/-2.4"
"S0201","         153","     63.3","               +/-0.7","              71.1","               +/-2.4"
"S0201","         154","      5.1","               +/-0.4","               5.0","               +/-1.5"
"S0201","         155","      7.5","               +/-0.6","               6.5","               +/-1.9"
"S0201","         156","      0.0","               +/-0.1","               0.0","               +/-0.2"
"S0201","         157","     31.5","               +/-0.6","              23.9","               +/-2.4"
" ","         157"," "," "," "," "
"S0201","         158","  489,411","             +/-1,284","            27,275","             +/-2,566"
"S0201","         159","     60.6","               +/-0.9","              70.9","               +/-3.9"
"S0201","         160","     60.6","               +/-0.9","              70.9","               +/-3.9"
"S0201","         161","     56.7","               +/-0.8","              67.6","               +/-4.2"
"S0201","         162","      4.0","               +/-0.4","               3.3","               +/-1.5"
"S0201","         163","      6.5","               +/-0.7","               4.7","               +/-2.2"
" ","         163"," "," "," "," "
" ","         164"," "," "," "," "
"S0201","         164","  584,987","             +/-6,880","            37,451","             +/-2,937"
"S0201","         165","     86.4","               +/-0.8","              88.1","               +/-2.8"
"S0201","         166","      7.5","               +/-0.7","               6.2","               +/-2.1"
"S0201","         167","      0.5","               +/-0.2","               0.2","               +/-0.3"
"S0201","         168","      1.3","               +/-0.3","               1.5","               +/-1.0"
"S0201","         169","      0.7","               +/-0.2","               0.1","               +/-0.2"
"S0201","         170","      3.6","               +/-0.4","               3.8","               +/-1.3"
"S0201","         171","     25.8","               +/-0.4","              25.5","               +/-1.6"
" ","         171"," "," "," "," "
"S0201","         172","  604,750","             +/-6,743","            38,805","             +/-3,069"
" ","         173"," "," "," "," "
"S0201","         173","     45.4","               +/-0.9","              46.0","               +/-3.7"
"S0201","         174","     13.0","               +/-0.7","              15.5","               +/-3.0"
"S0201","         175","     25.3","               +/-0.8","              26.0","               +/-2.9"
"S0201","         176","      0.1","               +/-0.1","               0.0","               +/-0.3"
"S0201","         177","      6.1","               +/-0.5","               5.2","               +/-1.7"
"S0201","         178","     10.1","               +/-0.6","               7.2","               +/-1.9"
" ","         178"," "," "," "," "
"S0201","         179","  327,417","             +/-5,100","            20,372","             +/-1,854"
"S0201","         180","     46.2","               +/-1.1","              46.7","               +/-4.6"
"S0201","         181","      9.7","               +/-0.8","              10.2","               +/-3.9"
"S0201","         182","     19.0","               +/-1.0","              22.6","               +/-3.9"
"S0201","         183","      0.2","               +/-0.1","               0.0","               +/-0.6"
"S0201","         184","     10.9","               +/-0.9","               9.7","               +/-3.1"
"S0201","         185","     14.0","               +/-0.9","              10.8","               +/-2.9"
" ","         185"," "," "," "," "
"S0201","         186","  277,333","             +/-3,903","            18,433","             +/-2,268"
"S0201","         187","     44.5","               +/-1.3","              45.3","               +/-6.0"
"S0201","         188","     16.8","               +/-1.2","              21.3","               +/-5.0"
"S0201","         189","     32.7","               +/-1.2","              29.9","               +/-5.1"
"S0201","         190","      0.0","               +/-0.1","               0.0","               +/-0.7"
"S0201","         191","      0.5","               +/-0.2","               0.3","               +/-0.4"
"S0201","         192","      5.5","               +/-0.6","               3.3","               +/-2.2"
" ","         192"," "," "," "," "
" ","         193"," "," "," "," "
"S0201","         193","      0.3","               +/-0.1","               0.1","               +/-0.2"
"S0201","         194","      5.3","               +/-0.5","               6.5","               +/-1.9"
"S0201","         195","     18.9","               +/-0.7","              17.0","               +/-2.8"
"S0201","         196","      3.7","               +/-0.4","               4.4","               +/-1.5"
"S0201","         197","     11.0","               +/-0.6","              11.2","               +/-2.5"
"S0201","         198","      3.0","               +/-0.4","               1.9","               +/-1.3"
"S0201","         199","      2.6","               +/-0.3","               3.4","               +/-1.3"
"S0201","         200","      7.9","               +/-0.5","               8.7","               +/-1.9"
"S0201","         201","     13.7","               +/-0.7","              14.3","               +/-2.6"
"S0201","         202","     19.8","               +/-0.7","              16.5","               +/-2.5"
"S0201","         203","      7.8","               +/-0.6","              10.4","               +/-2.3"
"S0201","         204","      3.9","               +/-0.4","               3.7","               +/-1.2"
"S0201","         205","      2.3","               +/-0.3","               2.0","               +/-1.1"
" ","         205"," "," "," "," "
" ","         206"," "," "," "," "
"S0201","         206","     85.5","               +/-0.7","              86.5","               +/-2.5"
"S0201","         207","      8.9","               +/-0.5","               8.3","               +/-1.9"
"S0201","         208","      5.4","               +/-0.5","               5.0","               +/-2.0"
"S0201","         209","      0.2","               +/-0.1","               0.3","               +/-0.3"
" ","         209"," "," "," "," "
" ","         210"," "," "," "," "
"S0201","         210","  478,527","             +/-4,703","            27,445","             +/-2,459"
"S0201","         211","   66,483","             +/-1,299","            81,455","             +/-5,109"
" ","         211"," "," "," "," "
"S0201","         212","     83.2","               +/-0.5","              88.4","               +/-2.6"
"S0201","         213","   90,201","             +/-2,216","           100,901","             +/-8,384"
"S0201","         214","     24.3","               +/-0.5","              18.9","               +/-3.2"
"S0201","         215","   15,824","               +/-323","            15,754","             +/-1,330"
"S0201","         216","      2.6","               +/-0.3","               2.1","               +/-1.3"
"S0201","         217","    8,125","               +/-692","            11,463","             +/-3,466"
"S0201","         218","      1.5","               +/-0.3","               1.6","               +/-0.9"
"S0201","         219","    2,360","               +/-566","             3,343","             +/-1,946"
"S0201","         220","     19.0","               +/-0.7","              15.2","               +/-2.6"
"S0201","         221","   21,757","             +/-1,039","            28,117","             +/-9,551"
"S0201","         222","      4.5","               +/-0.5","               1.5","               +/-0.9"
" ","         222"," "," "," "," "
"S0201","         223","  314,936","             +/-4,936","            18,823","             +/-1,925"
"S0201","         224","   84,846","             +/-1,709","            96,854","             +/-5,178"
"S0201","         225","     79.5","               +/-1.1","              84.8","               +/-4.5"
"S0201","         226","   95,917","             +/-2,042","           103,732","             +/-6,593"
"S0201","         227","      5.7","               +/-0.5","               2.8","               +/-2.3"
"S0201","         228","   59,766","             +/-5,724","            73,409","            +/-69,389"
"S0201","         229","     14.8","               +/-0.9","              12.4","               +/-4.2"
"S0201","         230","   42,095","             +/-1,956","            47,468","            +/-27,336"
" ","         230"," "," "," "," "
"S0201","         231","1,214,255","*****","            74,211","             +/-5,253"
"S0201","         232","   35,883","               +/-781","            38,050","             +/-3,086"
" ","         232"," "," "," "," "
" ","         233"," "," "," "," "
"S0201","         233","  238,654","             +/-4,718","            14,708","             +/-1,657"
"S0201","         234","  152,488","             +/-4,047","             8,241","             +/-1,284"
" ","         235"," "," "," "," "
"S0201","         235","   87,425","             +/-2,907","            98,698","            +/-12,221"
"S0201","         236","   52,658","             +/-1,562","            54,585","             +/-5,691"
" ","         237"," "," "," "," "
"S0201","         237","   65,966","             +/-1,575","            74,251","             +/-6,252"
"S0201","         238","   42,753","             +/-1,944","            48,743","             +/-5,044"
" ","         238"," "," "," "," "
" ","         239"," "," "," "," "
"S0201","         239","      4.4","               +/-0.6","               1.5","               +/-1.5"
"S0201","         240","      6.5","               +/-1.0","N","N"
"S0201","         241","      5.4","               +/-2.4","N","N"
"S0201","         242","      2.1","               +/-0.4","N","N"
"S0201","         243","      2.6","               +/-0.7","N","N"
"S0201","         244","      2.3","               +/-1.9","N","N"
"S0201","         245","     15.4","               +/-2.5","N","N"
"S0201","         246","     20.9","               +/-3.8","N","N"
"S0201","         247","     18.9","              +/-12.2","N","N"
" ","         247"," "," "," "," "
"S0201","         248","      6.7","               +/-0.6","               2.3","               +/-1.1"
"S0201","         249","      7.9","               +/-1.4","               1.3","               +/-1.3"
"S0201","         250","      7.5","               +/-1.4","N","N"
"S0201","         251","      7.7","               +/-2.2","N","N"
"S0201","         252","      7.5","               +/-1.4","N","N"
"S0201","         253","      6.3","               +/-0.5","               2.7","               +/-1.2"
"S0201","         254","      6.2","               +/-0.5","               2.7","               +/-1.3"
"S0201","         255","      7.1","               +/-1.0","               2.8","               +/-2.5"
"S0201","         256","      4.6","               +/-0.6","               1.2","               +/-1.1"
"S0201","         257","     16.5","               +/-1.6","               8.8","               +/-3.8"
" ","         257"," "," "," "," "
"S0201","         258","  478,527","             +/-4,703","            27,445","             +/-2,459"
" ","         259"," "," "," "," "
"S0201","         259","     76.8","               +/-0.8","              82.0","               +/-3.6"
"S0201","         260","     23.2","               +/-0.8","              18.0","               +/-3.6"
" ","         260"," "," "," "," "
"S0201","         261","     2.67","              +/-0.03","              2.80","              +/-0.12"
"S0201","         262","     2.00","              +/-0.07","              1.91","              +/-0.34"
" ","         262"," "," "," "," "
" ","         263"," "," "," "," "
"S0201","         263","     77.4","               +/-0.8","              83.2","               +/-3.4"
"S0201","         264","      3.9","               +/-0.5","               1.7","               +/-1.0"
"S0201","         265","     15.9","               +/-0.7","              13.4","               +/-3.2"
"S0201","         266","      2.8","               +/-0.3","               1.7","               +/-1.1"
" ","         266"," "," "," "," "
" ","         267"," "," "," "," "
"S0201","         267","      7.8","               +/-0.6","              11.6","               +/-2.8"
"S0201","         268","     14.8","               +/-0.7","              17.4","               +/-3.0"
"S0201","         269","     13.2","               +/-0.6","              16.0","               +/-3.3"
"S0201","         270","     32.6","               +/-0.8","              28.3","               +/-3.8"
"S0201","         271","     24.1","               +/-0.8","              20.3","               +/-3.5"
"S0201","         272","      7.5","               +/-0.6","               6.4","               +/-2.2"
" ","         272"," "," "," "," "
" ","         273"," "," "," "," "
"S0201","         273","      4.8","               +/-0.5","               3.1","               +/-1.5"
"S0201","         274","     95.2","               +/-0.5","              96.9","               +/-1.5"
" ","         274"," "," "," "," "
" ","         275"," "," "," "," "
"S0201","         275","     92.8","               +/-0.4","              94.1","               +/-2.0"
"S0201","         276","      5.9","               +/-0.4","               5.3","               +/-1.9"
"S0201","         277","      1.2","               +/-0.2","               0.4","               +/-0.5"
"S0201","         278","      0.1","               +/-0.1","               0.2","               +/-0.3"
" ","         278"," "," "," "," "
" ","         279"," "," "," "," "
"S0201","         279","      5.1","               +/-0.4","               4.9","               +/-2.0"
"S0201","         280","      1.4","               +/-0.2","               1.0","               +/-0.7"
" ","         280"," "," "," "," "
"S0201","         281","  367,702","             +/-4,456","            22,512","             +/-1,981"
" ","         282"," "," "," "," "
"S0201","         282","     69.5","               +/-1.1","              71.6","               +/-4.0"
"S0201","         283","     30.5","               +/-1.1","              28.4","               +/-4.0"
" ","         283"," "," "," "," "
" ","         284"," "," "," "," "
"S0201","         284","  232,100","             +/-2,412","           265,700","            +/-23,873"
"S0201","         285","    1,706","                +/-20","             1,834","               +/-114"
"S0201","         286","      551","                +/-13","               598","                +/-73"
" ","         286"," "," "," "," "
"S0201","         287","  110,825","             +/-4,541","             4,933","             +/-1,196"
" ","         288"," "," "," "," "
"S0201","         288","     56.8","               +/-2.3","              49.6","              +/-13.0"
"S0201","         289","     43.2","               +/-2.3","              50.4","              +/-13.0"
" ","         289"," "," "," "," "
" ","         290"," "," "," "," "
"S0201","         290","      827","                +/-20","               867","               +/-173"
