"Table with row headers in column A and column headers in row 8, repeated in row 64. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 2: Educational Attainment of the Population 15 Years and Over by Age, Nativity, and Year of Immigration: 2000",,,,,,,,,,,,,,,,,
Geographic area: Texas,,,,,,,,,,,,,,,,,
"All race and ethnic groups, male",,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Age,Total,No schooling completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",,,,,,,,
.65 to 74 years ,"47,560","9,952","6,369","7,480","2,328","1,352",804,387,"2,394",,,,,,,
.75 and over ,"26,456","7,484","3,901","3,507","1,601",626,499,243,"1,043",,,,,,,
,,,,,,,,,,,,,,,,
Immigrated before 1990 ,"786,765","75,093","47,782","113,485","51,828","54,832","28,446","23,981","43,422",,,,,,,
.15 to 24 years ,"63,398","1,160",456,"1,954","3,904","7,842","7,465","6,620","5,014",,,,,,,
.25 to 34 years ,"176,857","9,518","4,857","22,728","12,841","17,303","7,996","7,324","12,292",,,,,,,
.35 to 44 years ,"246,828","20,979","13,111","41,806","17,523","17,857","7,448","6,226","13,437",,,,,,,
.45 to 54 years ,"159,762","16,920","12,089","25,343","9,892","7,700","3,309","2,409","6,763",,,,,,,,
.55 to 64 years ,"76,971","11,394","8,309","12,210","4,259","2,490","1,244",886,"3,121",,,,,,,,
.65 to 74 years ,"39,603","8,390","5,478","6,263","1,977","1,116",589,293,"1,905",,,,,,,,
.75 and over ,"23,346","6,732","3,482","3,181","1,432",524,395,223,890,,,,,,,,
,,,,,,,,,,,,,,,,,
Immigrated 1990-2000 ,"578,446","39,299","21,098","83,746","45,509","64,237","28,209","24,391","37,700",,,,,,,,
.15 to 24 years ,"207,377","10,548","5,236","30,503","22,588","33,314","17,431","15,585","15,613",,,,,,,,
.25 to 34 years ,"210,603","12,963","7,001","31,174","14,875","22,444","6,854","5,972","13,673",,,,,,,,
.35 to 44 years ,"94,696","6,946","3,783","12,943","5,119","5,857","2,395","1,820","5,041",,,,,,,,
.45 to 54 years ,"38,400","3,873","2,290","5,263","1,800","1,741",873,707,"1,906",,,,,,,,
.55 to 64 years ,"16,303","2,655","1,478","2,320",607,543,337,193,825,,,,,,,,
.65 to 74 years ,"7,957","1,562",891,"1,217",351,236,215,94,489,,,,,,,,
.75 and over ,"3,110",752,419,326,169,102,104,20,153,,,,,,,,
Note: - Represents zero or rounds to zero.,,,,,,,,,,,,,,,,,
"Internet release date: October, 2006",,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 2: Educational Attainment of the Population 15 Years and Over by Age, Nativity, and Year of Immigration: 2000 (Continued)",,,,,,,,,,,,,,,,,
Geographic area: Texas,,,,,,,,,,,,,,,,,
"All race and ethnic groups, male",,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Age,High school graduate,Less than 1 year college,College 1 year or more,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,,,,,,,,
..Total ,"1,804,855","528,541","1,145,573","340,813","1,057,613","342,428","137,227","73,431",,,,,,,,,
,,,,,,,,,,,,,,,,,
Native ,"1,610,904","487,496","1,050,171","305,152","942,579","284,846","112,345","54,835",,,,,,,,,
.15 to 24 years ,"297,800","102,512","200,029","22,177","43,303","1,788",528,190,,,,,,,,,
.25 to 34 years ,"331,944","104,087","221,241","73,384","225,282","43,024","17,905","4,832",,,,,,,,,
.35 to 44 years ,"387,179","113,190","221,051","92,425","245,267","68,267","27,784","9,412",,,,,,,,,
.45 to 54 years ,"245,976","77,619","199,407","69,948","216,165","81,812","30,745","15,437",,,,,,,,,
.55 to 64 years ,"166,941","45,115","106,727","29,571","109,426","50,093","17,032","13,899",,,,,,,,,
.65 to 74 years ,"111,912","28,801","64,360","13,302","68,935","26,295","10,921","7,256",,,,,,,,,
.75 and over ,"69,152","16,172","37,356","4,345","34,201","13,567","7,430","3,809",,,,,,,,,
,,,,,,,,,,,,,,,,,
Foreign Born ,"193,951","41,045","95,402","35,661","115,034","57,582","24,882","18,596",,,,,,,,,
.15 to 24 years ,"45,843","8,575","19,412","2,895","7,178","1,249",318,72,,,,,,,,,
.25 to 34 years ,"63,220","12,697","27,396","11,024","36,547","18,129","5,726","2,906",,,,,,,,,
.35 to 44 years ,"44,395","10,461","23,951","11,457","35,019","18,657","8,475","6,818",,,,,,,,,
.45 to 54 years ,"24,136","5,660","14,477","6,602","22,064","12,319","5,427","4,599",,,,,,,,,
.55 to 64 years ,"9,776","2,237","6,095","2,369","9,358","5,080","2,846","2,642",,,,,,,,,
.65 to 74 years ,"4,251","1,019","2,703",992,"3,315","1,601","1,441","1,172",,,,,,,,,
.75 and over ,"2,330",396,"1,368",322,"1,553",547,649,387,,,,,,,,,
,,,,,,,,,,,,,,,,,
Immigrated before 1990 ,"111,279","25,988","61,105","24,355","67,710","30,750","15,028","11,681",,,,,,,,,
.15 to 24 years ,"13,891","3,262","8,122","1,207","2,202",171,74,54,,,,,,,,,
.25 to 34 years ,"32,248","7,184","14,672","6,002","15,192","3,647","2,403",650,,,,,,,,,
.35 to 44 years ,"32,950","7,923","17,593","8,596","22,370","10,936","4,360","3,713",,,,,,,,,
.45 to 54 years ,"19,187","4,581","12,035","5,530","16,780","9,673","4,036","3,515",,,,,,,,,
.55 to 64 years ,"7,566","1,896","5,098","1,980","7,285","4,462","2,393","2,378",,,,,,,,,
.65 to 74 years ,"3,399",830,"2,325",790,"2,613","1,396","1,232","1,007",,,,,,,,,
.75 and over ,"2,038",312,"1,260",250,"1,268",465,530,364,,,,,,,,,
,,,,,,,,,,,,,,,,,
Immigrated 1990-2000 ,"82,672","15,057","34,297","11,306","47,324","26,832","9,854","6,915",,,,,,,,,
.15 to 24 years ,"31,952","5,313","11,290","1,688","4,976","1,078",244,18,,,,,,,,,
.25 to 34 years ,"30,972","5,513","12,724","5,022","21,355","14,482","3,323","2,256",,,,,,,,,
.35 to 44 years ,"11,445","2,538","6,358","2,861","12,649","7,721","4,115","3,105",,,,,,,,,
.45 to 54 years ,"4,949","1,079","2,442","1,072","5,284","2,646","1,391","1,084",,,,,,,,,
.55 to 64 years ,"2,210",341,997,389,"2,073",618,453,264,,,,,,,,,
.65 to 74 years ,852,189,378,202,702,205,209,165,,,,,,,,,
.75 and over ,292,84,108,72,285,82,119,23,,,,,,,,,
Note: - Represents zero or rounds to zero.,,,,,,,,,,,,,,,,,
"Internet release date: October, 2006",,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
