-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
ROCK        49718.000    1995     1     1     0
ROCK        52274.750    2001    12    31    18
ROCK     -2533219.884 -4631543.705  3568400.368
49731.00    -1.131299     0.334734     0.090892
49731.25    -1.532203     0.515448     0.030452
49731.50    -1.600188     0.233997     1.004843
49731.75    -1.795157     0.503326     0.519104
49732.00    -1.913840     0.463164     1.715343
49732.25    -2.278013     0.511629     1.925970
49732.50    -2.185399     0.234830     2.521384
49732.75    -2.157511     0.515973     1.619127
49733.00    -2.116637     0.419182     2.399053
49733.25    -2.462293     0.518905     1.937103
49733.50    -2.394155     0.190103     2.480046
49733.75    -2.290842     0.489545     1.397101
49734.00    -2.186946     0.396441     2.083877
49734.25    -2.310869     0.483686     1.749218
49734.50    -2.068384     0.222314     2.161337
49734.75    -1.953048     0.617486     0.593271
49735.00    -1.884761     0.595272     1.304411
49735.25    -1.939324     0.784422     0.415612
49735.50    -1.904164     0.487685     0.682561
49735.75    -1.764521     0.802063    -0.810418
49736.00    -1.657627     0.633970    -0.039519
49736.25    -1.879634     0.653747    -0.334121
49736.50    -1.769317     0.228954     0.365521
49736.75    -1.873932     0.410052    -0.368266
49737.00    -2.083931     0.298450     0.421984
49737.25    -2.302150     0.319826     0.409854
49737.50    -2.255615    -0.032976     1.000059
49737.75    -2.266927     0.334025    -0.000694
49738.00    -2.166668     0.296870     0.690353
49738.25    -2.133594     0.326298     0.548185
49738.50    -1.938901     0.017614     0.960317
49738.75    -1.806931     0.366899    -0.205558
49739.00    -1.642237     0.357590     0.424885
49739.25    -1.771036     0.446392     0.168623
49739.50    -1.493149     0.217375     0.271339
49739.75    -1.321396     0.524098    -0.768702
49740.00    -1.117429     0.462738    -0.009857
49740.25    -1.296672     0.522644    -0.089263
49740.50    -1.111663     0.199141     0.533695
49740.75    -1.067131     0.467463    -0.379418
49741.00    -1.171695     0.297799     0.701780
49741.25    -1.372595     0.411348     0.413682
49741.50    -1.310916     0.114391     1.059228
49741.75    -1.452611     0.493000    -0.016983
49742.00    -1.382797     0.479015     0.601452
49742.25    -1.588352     0.539348     0.750951
49742.50    -1.475985     0.196998     1.601619
49742.75    -1.625162     0.489935     0.789168
49743.00    -1.534360     0.424471     1.352587
49743.25    -1.678776     0.604806     0.484156
49743.50    -1.493596     0.373095     0.369104
49743.75    -1.408435     0.739991    -1.129140
49744.00    -1.225564     0.670288    -0.608352
49744.25    -1.530638     0.740620    -1.036369
49744.50    -1.407840     0.416762    -0.714304
49744.75    -1.372516     0.778555    -1.745276
49745.00    -1.284158     0.813525    -1.598813
49745.25    -1.413594     0.962963    -2.231302
49745.50    -1.028872     0.716277    -2.035900
49745.75    -0.940425     1.120806    -3.029623
49746.00    -0.799985     1.141221    -2.315256
49746.25    -0.901138     1.295072    -2.393132
49746.50    -0.698743     1.114684    -1.871213
49746.75    -0.589416     1.573798    -2.892568
49747.00    -0.457265     1.599809    -2.142003
49747.25    -0.704397     1.779634    -2.494966
49747.50    -0.658661     1.590050    -2.009293
49747.75    -0.739615     1.901299    -2.769585
49748.00    -0.725091     1.856100    -1.904229
49748.25    -1.061015     1.895202    -1.809379
49748.50    -1.083468     1.647497    -1.110027
49748.75    -1.028925     1.883084    -1.936337
49749.00    -0.926808     1.865828    -1.266252
49749.25    -1.031310     1.851325    -1.444436
49749.50    -0.912707     1.400228    -0.835311
49749.75    -0.749266     1.627892    -1.819824
49750.00    -0.585566     1.378711    -0.903472
49750.25    -0.538187     1.266064    -1.194383
49750.50    -0.407378     0.888252    -0.998462
49750.75    -0.338686     1.085141    -2.422846
49751.00    -0.196666     0.965710    -2.104195
49751.25    -0.291330     0.935864    -2.578729
49751.50    -0.036725     0.630423    -2.532226
49751.75     0.152691     0.925059    -3.708290
49752.00     0.375520     0.866183    -3.017049
49752.25     0.338463     0.804649    -3.222157
49752.50     0.661345     0.365904    -2.630127
49752.75     0.814243     0.525778    -3.227564
49753.00     0.942144     0.407183    -2.164314
49753.25     0.834356     0.459515    -2.026762
49753.50     1.295215     0.161070    -1.345318
49753.75     1.551774     0.507652    -2.327214
49754.00     1.693126     0.427381    -1.296321
49754.25     1.804661     0.416841    -1.225013
49754.50     2.015349    -0.025230    -0.420303
49754.75     2.085883     0.149493    -1.174309
49755.00     2.293152    -0.018993    -0.108347
49755.25     2.144274    -0.020252    -0.130310
49755.50     2.322571    -0.437017     0.497204
49755.75     2.207819    -0.133787    -0.388387
49756.00     2.162007    -0.163198     0.380497
49756.25     1.802106    -0.145967     0.258667
49756.50     1.977811    -0.468513     0.835990
49756.75     2.030467    -0.191061    -0.237991
49757.00     2.064446    -0.254915     0.475805
49757.25     1.933210    -0.228212     0.278646
49757.50     2.062327    -0.520971     0.670629
49757.75     2.030528    -0.183605    -0.719766
49758.00     1.999369    -0.262551     0.112749
49758.25     1.606869    -0.214981    -0.273669
49758.50     1.537525    -0.560093     0.433379
49758.75     1.264227    -0.237941    -0.449882
49759.00     1.074397    -0.309338     0.608768
49759.25     0.554676    -0.195249     0.507600
49759.50     0.392709    -0.424474     1.012500
49759.75     0.079661    -0.031791    -0.014580
49760.00    -0.268055    -0.098283     1.105888
49760.25    -0.934638     0.058047     1.085830
49760.50    -1.110902    -0.183041     1.638659
49760.75    -1.368751     0.315641     0.669045
49761.00    -1.684510     0.288773     1.687703
49761.25    -1.960548     0.401048     1.684311
49761.50    -1.857541     0.074377     2.421888
49761.75    -1.858558     0.326421     1.643118
49762.00    -1.960635     0.171077     3.000691
49762.25    -2.024950     0.145899     3.210904
49762.50    -1.940470    -0.274323     4.297118
49762.75    -1.686136    -0.109030     3.628254
49763.00    -1.527152    -0.112111     4.264538
49763.25    -1.549121     0.017145     3.536943
49763.50    -1.289534    -0.215761     3.657925
49763.75    -0.957847     0.131429     2.027876
49764.00    -0.617671     0.199664     1.895145
49764.25    -0.575526     0.408673     0.611904
49764.50    -0.074080     0.158163     0.611561
49764.75     0.145597     0.661074    -1.145079
49765.00     0.242167     0.607212    -0.497528
49765.25     0.149677     0.668263    -0.721854
49765.50     0.383839     0.323695     0.040041
49765.75     0.342420     0.617156    -1.339026
49766.00     0.354663     0.506578    -0.514807
49766.25     0.041521     0.522357    -1.038814
49766.50    -0.008716     0.216853    -0.812990
49766.75    -0.179077     0.650023    -2.545819
49767.00    -0.097925     0.733599    -2.009413
49767.25    -0.254066     1.006445    -2.601351
49767.50    -0.130163     0.872034    -2.324169
49767.75    -0.049213     1.236707    -3.536520
49768.00    -0.137816     1.181669    -2.686788
49768.25    -0.542088     1.174241    -2.884009
49768.50    -0.434476     0.811390    -2.008018
49768.75    -0.252172     1.104618    -2.737319
49769.00    -0.147525     0.948935    -1.419743
49769.25    -0.241256     0.858075    -0.955093
49769.50    -0.218216     0.397546    -0.325353
49769.75    -0.229437     0.633737    -1.376620
49770.00    -0.151080     0.490421    -0.397772
49770.25    -0.299713     0.356607    -0.666950
49770.50    -0.276544    -0.018433    -0.155384
49770.75    -0.279714     0.182308    -1.345994
49771.00    -0.115300     0.135089    -0.750930
49771.25    -0.241408     0.203257    -1.454859
49771.50     0.028764    -0.062791    -1.165257
49771.75     0.345838     0.312867    -2.618036
49772.00     0.430302     0.312862    -1.905187
49772.25     0.294298     0.363609    -2.155002
49772.50     0.518008     0.017817    -1.420172
49772.75     0.683497     0.299646    -2.567882
49773.00     0.754223     0.133177    -1.134885
49773.25     0.645217    -0.023974    -0.860233
49773.50     0.832114    -0.426580    -0.096438
49773.75     0.710897    -0.159251    -1.342920
49774.00     0.701056    -0.261206    -0.390840
49774.25     0.530178    -0.264110    -0.607018
49774.50     0.491731    -0.623093    -0.214547
49774.75     0.438537    -0.247598    -1.768151
49775.00     0.377310    -0.387787    -0.785469
49775.25     0.039355    -0.347830    -1.259317
49775.50     0.224679    -0.661436    -0.938879
49775.75     0.320397    -0.295090    -2.343284
49776.00     0.270690    -0.357930    -1.590174
49776.25     0.107699    -0.284155    -1.977777
49776.50     0.323022    -0.622610    -1.263755
49776.75     0.226623    -0.251033    -2.556552
49777.00     0.118247    -0.296634    -1.348539
49777.25    -0.163734    -0.253619    -1.191486
49777.50    -0.259298    -0.556986    -0.292789
49777.75    -0.454841    -0.192409    -1.172566
49778.00    -0.607109    -0.177047     0.055471
49778.25    -0.981470    -0.084013    -0.048390
49778.50    -1.044500    -0.289855     0.439608
49778.75    -1.056022     0.078750    -0.705384
49779.00    -0.984575     0.011196     0.186812
49779.25    -1.091411     0.051587    -0.100511
49779.50    -0.761244    -0.270735     0.478570
49779.75    -0.496237    -0.047436    -0.661522
49780.00    -0.397668    -0.206966     0.123038
49780.25    -0.697819    -0.270324    -0.037439
49780.50    -0.608969    -0.583706     0.293270
49780.75    -0.612414    -0.238621    -0.880837
49781.00    -0.712587    -0.272659     0.023041
49781.25    -0.935528    -0.266984     0.176521
49781.50    -0.829642    -0.593563     0.981855
49781.75    -0.731600    -0.392386     0.276342
49782.00    -0.613870    -0.533709     1.508174
49782.25    -0.767023    -0.611145     1.367667
49782.50    -0.663271    -0.975982     1.542765
49782.75    -0.536932    -0.462859    -0.596890
49783.00    -0.698646    -0.354830    -0.248211
49783.25    -1.165695    -0.091343    -1.102547
49783.50    -1.199703    -0.247943    -0.947999
49783.75    -1.273760     0.293969    -2.701590
49784.00    -1.357834     0.299738    -1.641251
49784.25    -1.653968     0.442141    -1.717304
49784.50    -1.651703     0.228314    -0.861199
49784.75    -1.755418     0.656628    -1.915136
49785.00    -1.545183     0.610355    -0.629510
49785.25    -1.835716     0.629215    -0.232781
49785.50    -1.891445     0.303786     0.902422
49785.75    -1.849577     0.622759     0.306123
49786.00    -1.899224     0.470109     1.639911
49786.25    -2.248116     0.561331     1.417218
49786.50    -2.331883     0.279074     2.437733
49786.75    -2.430026     0.594343     1.731728
49787.00    -2.510259     0.550148     2.999076
49787.25    -2.833596     0.489979     3.463961
49787.50    -2.629195     0.100817     4.416382
49787.75    -2.451937     0.360226     3.202337
49788.00    -2.140161     0.269278     3.770385
49788.25    -2.056504     0.377369     2.867425
49788.50    -1.735445     0.121065     2.743541
49788.75    -1.606651     0.547392     0.398226
49789.00    -1.666701     0.524390     0.388463
49789.25    -2.088557     0.733301    -1.011740
49789.50    -2.163142     0.547087    -1.149316
49789.75    -1.995529     0.894753    -2.851099
49790.00    -1.922432     0.855900    -2.433251
49790.25    -2.240699     1.042241    -3.318665
49790.50    -2.118004     0.685236    -2.795404
49790.75    -1.903486     1.008674    -4.093532
49791.00    -1.446473     0.882432    -2.859970
49791.25    -1.330215     0.851717    -2.711179
49791.50    -0.927724     0.401556    -1.806521
49791.75    -0.584913     0.604081    -2.791113
49792.00    -0.252992     0.345485    -1.538815
49792.25    -0.412298     0.352116    -1.675958
49792.50    -0.318401    -0.005461    -0.980156
49792.75    -0.162879     0.257185    -1.788532
49793.00    -0.014083     0.179999    -0.751015
49793.25    -0.198270     0.304446    -1.145240
49793.50     0.185096    -0.000373    -0.390667
49793.75     0.700181     0.336375    -1.372379
49794.00     1.058848     0.284988    -0.376173
49794.25     1.193686     0.319285    -0.714648
49794.50     1.667303    -0.031430    -0.139797
49794.75     1.984010     0.274807    -1.179120
49795.00     2.112145     0.154199     0.247611
49795.25     2.086131     0.157297     0.337221
49795.50     2.225682    -0.175877     1.311344
49795.75     2.247310     0.162302     0.329323
49796.00     2.080428     0.059580     1.952673
49796.25     1.429440     0.179418     2.172973
49796.50     1.122687    -0.051848     3.123200
49796.75     0.919909     0.329806     2.415127
49797.00     0.665530     0.333753     3.695252
49797.25    -0.210055     0.454751     3.418603
49797.50    -0.275794     0.052190     4.343189
49797.75    -0.486596     0.325297     3.069383
49798.00    -0.651989     0.310870     3.522687
49798.25    -0.892550     0.375475     2.495611
49798.50    -0.714956     0.133985     2.615461
49798.75    -0.671933     0.521255     0.937374
49799.00    -0.730271     0.335381     1.952385
49799.25    -1.152406     0.372774     1.892561
49799.50    -1.204088     0.029052     2.558829
49799.75    -1.226352     0.252826     1.399378
49800.00    -0.891283     0.029425     2.060427
49800.25    -0.971191     0.148620     1.001374
49800.50    -0.524340    -0.242264     1.477462
49800.75    -0.015814    -0.059094     0.303799
49801.00     0.393375    -0.283099     1.329538
49801.25     0.515196    -0.305453     0.477375
49801.50     1.091313    -0.939135     1.332801
49801.75     1.541310    -0.694928     0.017505
49802.00     1.703364    -0.832170     0.734300
49802.25     1.803523    -0.751576    -0.251155
49802.50     2.260530    -1.189143     0.042138
49802.75     2.419629    -0.853415    -1.730257
49803.00     2.588161    -0.918935    -1.066152
49803.25     2.368428    -0.772017    -1.715758
49803.50     2.514262    -1.091899    -1.125089
49803.75     2.452992    -0.668955    -2.582883
49804.00     2.473678    -0.730192    -1.652716
49804.25     2.040319    -0.534000    -2.069541
49804.50     2.101574    -0.801861    -1.161919
49804.75     2.088188    -0.387822    -1.842629
49805.00     2.118179    -0.436931    -0.545287
49805.25     1.724973    -0.246608    -0.729584
49805.50     1.750446    -0.528165     0.251855
49805.75     1.451280    -0.111989    -0.857992
49806.00     1.101123    -0.087428     0.119185
49806.25     0.690701     0.102150    -0.350791
49806.50     0.626774    -0.188572     0.363100
49806.75     0.500573     0.318589    -1.039327
49807.00     0.374366     0.305445     0.069442
49807.25     0.086059     0.516177    -0.493215
49807.50     0.247168     0.242472     0.170119
49807.75     0.347288     0.617649    -1.101183
49808.00     0.358992     0.474128     0.164009
49808.25     0.225370     0.511661     0.104782
49808.50     0.583792     0.115947     1.060019
49808.75     0.888355     0.382428     0.145680
49809.00     1.052845     0.125033     1.693391
49809.25     1.070058     0.039426     1.620645
49809.50     1.462043    -0.464945     2.344521
49809.75     1.733293    -0.191546     0.987008
49810.00     1.808405    -0.246228     1.661682
49810.25     1.518744    -0.078251     0.776162
49810.50     1.676833    -0.291497     0.697970
49810.75     1.644530     0.136053    -0.812187
49811.00     1.605898    -0.177436     0.066090
49811.25     1.126831     0.096694    -0.338645
49811.50     1.215516    -0.123021     0.459715
49811.75    -2.797826     3.609867   -12.441892
49812.00     0.684141     0.216737     0.925285
49812.25     0.093331     0.237585     0.895624
49812.50     0.080682    -0.186687     1.746276
49812.75    -0.057594     0.122798     0.933054
49813.00    -0.174483    -0.047183     2.063310
49813.25    -0.356973    -0.113058     2.005356
49813.50    -0.089278    -0.555131     2.584164
49813.75    -0.010504    -0.263347     1.449501
49814.00    -0.022299    -0.431581     2.289332
49814.25    -0.221041    -0.443037     1.506864
49814.50     0.091607    -0.792845     1.678181
49814.75     0.286222    -0.429135     0.535827
49815.00     0.447811    -0.551649     1.349390
49815.25     0.367481    -0.521750     1.017527
49815.50     0.681532    -0.834729     1.360485
49815.75     0.873386    -0.436932     0.155184
49816.00     0.765107    -0.515134     1.063305
49816.25     0.502871    -0.456760     0.659144
49816.50     0.718952    -0.796359     1.338798
49816.75     0.723112    -0.419103     0.465776
49817.00     0.702379    -0.375596     1.263645
49817.25     0.344080    -0.137421     0.227829
49817.50     0.416338    -0.393719     0.377536
49817.75     0.203879     0.038183    -0.666202
49818.00     0.017105    -0.035207     0.441983
49818.25    -0.334101     0.028345     0.031208
49818.50    -0.324927    -0.508422     0.917298
49818.75    -0.376649    -0.258474    -0.069417
49819.00    -0.412981    -0.426126     0.893117
49819.25    -0.779963    -0.358567     0.322755
49819.50    -0.595326    -0.634038     0.494082
49819.75    -0.585262    -0.176310    -0.973626
49820.00    -0.788457    -0.175740    -0.242601
49820.25    -1.147295    -0.073144    -0.670080
49820.50    -0.936387    -0.360366    -0.021243
49820.75    -1.011043    -0.025753    -0.984610
49821.00    -1.122218    -0.229912     0.136554
49821.25    -1.359112    -0.288399    -0.216113
49821.50    -1.105848    -0.704461     0.223256
49821.75    -1.094978    -0.500087    -0.758540
49822.00    -1.195299    -0.699397     0.418010
49822.25    -1.464937    -0.769484     0.375175
49822.50    -1.296559    -1.201910     1.005033
49822.75    -1.213778    -0.873674     0.145454
49823.00    -1.190139    -0.953772     1.332850
49823.25    -1.196286    -0.911711     1.312215
49823.50    -0.841262    -1.265453     1.997964
49823.75    -0.763861    -0.989019     1.169471
49824.00    -0.662775    -0.985988     1.393571
49824.25    -0.845926    -0.835924     0.465731
49824.50    -0.605844    -1.091277     0.515598
49824.75    -0.401797    -0.672623    -0.856159
49825.00    -0.261024    -0.644733    -0.275186
49825.25    -0.438301    -0.634379    -0.260368
49825.50    -0.206395    -1.013682     0.764550
49825.75    -0.210939    -0.767211     0.558236
49826.00    -0.170581    -0.936120     1.961955
49826.25    -0.337515    -0.945697     1.590040
49826.50    -0.214180    -1.317622     2.043891
49826.75    -0.324846    -1.031831     0.859116
49827.00    -0.605549    -0.980467     1.404342
49827.25    -0.895790    -0.884564     0.943800
49827.50    -0.682016    -1.235291     1.493807
49827.75    -0.583121    -1.043696     0.670283
49828.00    -0.562208    -1.216827     1.471395
49828.25    -0.801793    -1.186120     0.715054
49828.50    -0.503828    -1.494928     0.782838
49828.75    -0.436622    -1.100298    -0.708254
49829.00    -0.335755    -1.066312    -0.360397
49829.25    -0.729163    -0.875392    -1.324463
49829.50    -0.612323    -1.078174    -1.500651
49829.75    -0.713269    -0.619075    -2.785345
49830.00    -0.771047    -0.695001    -1.739285
49830.25    -1.164392    -0.537881    -2.306037
49830.50    -0.795746    -0.915244    -1.785817
49830.75    -0.739765    -0.590205    -2.535282
49831.00    -0.669571    -0.768976    -1.259349
49831.25    -0.788013    -0.812456    -1.475998
49831.50    -0.321817    -1.225645    -0.750285
49831.75    -0.165584    -0.974171    -1.499733
49832.00     0.008811    -1.183806    -0.097300
49832.25    -0.158197    -1.197680    -0.375332
49832.50     0.211356    -1.525657     0.242974
49832.75     0.304021    -1.204749    -0.589158
49833.00     0.449997    -1.254503     0.557537
49833.25     0.240174    -1.154676     0.351560
49833.50     0.543530    -1.442230     0.569814
49833.75     0.448204    -1.073005    -0.356832
49834.00     0.286048    -1.074264     0.527773
49834.25     0.024115    -0.907289     0.147801
49834.50     0.182750    -1.247853     0.571414
49834.75     0.141679    -0.820827    -0.568770
49835.00     0.095158    -0.862500     0.185045
49835.25    -0.064526    -0.693902    -0.135718
49835.50    -0.001088    -0.941660     0.055704
49835.75     0.086849    -0.664963    -0.646962
49836.00     0.134037    -0.837278     0.500252
49836.25    -0.199224    -0.743851     0.104772
49836.50    -0.089833    -1.045649     0.688554
49836.75    -0.008015    -0.697040    -0.156092
49837.00     0.118115    -0.761920     0.469227
49837.25     0.154226    -0.729747     0.005917
49837.50     0.461342    -1.151630     0.610556
49837.75     0.610437    -0.850741    -0.553729
49838.00     0.604295    -0.839132     0.143948
49838.25     0.473952    -0.686143    -0.090300
49838.50     0.581107    -0.939546     0.851558
49838.75     0.386633    -0.556984     0.325137
49839.00     0.340519    -0.574102     1.498168
49839.25    -0.015024    -0.521127     1.296006
49839.50     0.213892    -0.793380     1.586404
49839.75     0.084928    -0.466565     0.561053
49840.00    -0.029119    -0.535494     1.295086
49840.25    -0.352316    -0.465730     0.578333
49840.50    -0.049459    -0.789140     0.934134
49840.75     0.045820    -0.506939    -0.090152
49841.00     0.077520    -0.616453     0.805882
49841.25     0.002964    -0.663140     0.576764
49841.50     0.485602    -1.186093     1.227645
49841.75     0.546981    -0.990610     0.258849
49842.00     0.590237    -1.141516     1.422367
49842.25     0.470323    -1.109566     1.201815
49842.50     0.692392    -1.356801     1.402320
49842.75     0.814678    -0.989989     0.439985
49843.00     0.909340    -0.962440     1.280871
49843.25     0.719746    -0.834388     1.130599
49843.50     0.945232    -1.173842     1.976786
49843.75     0.878064    -0.821267     1.380932
49844.00     0.567118    -0.842033     2.135543
49844.25     0.110114    -0.754093     1.675288
49844.50     0.317137    -1.086847     2.260030
49844.75     0.294027    -0.829593     1.361294
49845.00     0.331621    -0.866193     1.981688
49845.25     0.059462    -0.859095     1.324216
49845.50     0.470881    -1.295748     1.668172
49845.75     0.465527    -1.021120     0.698355
49846.00     0.622700    -1.163507     1.398029
49846.25     0.538047    -1.116765     0.689065
49846.50     1.077414    -1.427508     0.843020
49846.75     1.325907    -1.193356    -0.141801
49847.00     1.498823    -1.372530     0.837549
49847.25     1.234356    -1.292487     0.503955
49847.50     1.533930    -1.662135     1.182257
49847.75     1.505460    -1.240053     0.294825
49848.00     1.416683    -1.256891     1.410460
49848.25     1.029743    -1.091509     1.237699
49848.50     1.143358    -1.384143     2.112894
49848.75     0.981679    -0.997691     1.542681
49849.00     0.694691    -1.006530     2.777538
49849.25     0.255383    -0.931432     2.832445
49849.50     0.342962    -1.224626     3.230997
49849.75     0.267719    -0.908776     2.531962
49850.00     0.032308    -1.019034     3.687051
49850.25    -0.424343    -0.990189     3.669561
49850.50    -0.409188    -1.411808     4.391120
49850.75    -0.342644    -1.155966     3.535528
49851.00    -0.249538    -1.233358     3.961124
49851.25    -0.228930    -1.148908     3.040315
49851.50     0.311092    -1.391900     2.795021
49851.75     0.508604    -0.969654     1.276165
49852.00     0.596705    -1.042273     2.038712
49852.25     0.489233    -0.967368     1.571927
49852.50     0.685199    -1.234987     1.700579
49852.75     0.812825    -0.846639     0.675351
49853.00     0.964459    -0.990023     2.039736
49853.25     0.736521    -0.950022     2.046676
49853.50     0.906905    -1.266977     2.781566
49853.75     0.864551    -1.020833     2.124500
49854.00     0.712253    -1.071781     3.076944
49854.25     0.276272    -0.996793     2.491602
49854.50     0.368875    -1.305278     2.755265
49854.75     0.294000    -1.005434     1.405904
49855.00     0.042637    -1.011693     1.878713
49855.25    -0.341739    -0.922658     1.076556
49855.50    -0.185217    -1.130392     0.970262
49855.75    -0.437010    -0.783359    -0.474963
49856.00    -0.731261    -0.776993     0.003790
49856.25    -1.151477    -0.640399    -0.703311
49856.50    -0.987679    -0.807788    -0.553955
49856.75    -1.151322    -0.385554    -1.464708
49857.00    -1.412252    -0.404484    -0.570122
49857.25    -1.773614    -0.298620    -0.895204
49857.50    -1.621464    -0.602319    -0.393086
49857.75    -1.577974    -0.413533    -1.017503
49858.00    -1.424424    -0.645922     0.034054
49858.25    -1.542790    -0.742780    -0.140767
49858.50    -1.243375    -1.116893     0.217242
49858.75    -1.129680    -0.866907    -0.686994
49859.00    -1.067550    -0.954569     0.478189
49859.25    -1.229767    -0.948945     0.165350
49859.50    -0.788616    -1.284204     0.569005
49859.75    -0.807573    -0.980218    -0.388709
49860.00    -0.846213    -0.999094     0.351097
49860.25    -1.013206    -0.900824    -0.066083
49860.50    -0.732325    -1.217997     0.352597
49860.75    -0.792694    -0.866484    -0.715673
49861.00    -0.859440    -0.895606     0.191158
49861.25    -1.156793    -0.801803    -0.266318
49861.50    -0.845416    -1.139762     0.147513
49861.75    -0.879611    -0.835178    -0.583591
49862.00    -0.881640    -0.903425     0.393394
49862.25    -0.992198    -0.879003     0.300421
49862.50    -0.770473    -1.214621     0.894926
49862.75    -0.810093    -0.826340    -0.084692
49863.00    -0.762039    -0.805186     0.743167
49863.25    -1.005303    -0.654473     0.033729
49863.50    -0.735009    -0.934960     0.543998
49863.75    -0.738301    -0.597471    -0.276408
49864.00    -0.872119    -0.595758     0.500414
49864.25    -1.237209    -0.540056    -0.067565
49864.50    -1.040493    -0.888742     0.345481
49864.75    -1.150581    -0.622763    -0.382815
49865.00    -1.231505    -0.624720     0.400673
49865.25    -1.343885    -0.628697     0.046415
49865.50    -0.950348    -0.958235     0.494908
49865.75    -0.863038    -0.701149    -0.313124
49866.00    -0.712938    -0.795722     0.778548
49866.25    -0.746853    -0.753837     0.424560
49866.50    -0.281586    -1.115436     0.865025
49866.75    -0.189492    -0.749379    -0.060031
49867.00    -0.218076    -0.675456     0.641953
49867.25    -0.411697    -0.567878     0.141440
49867.50    -0.083642    -0.842170     0.284358
49867.75    -0.024574    -0.499783    -0.679823
49868.00    -0.196499    -0.489072     0.173633
49868.25    -0.422963    -0.469754    -0.210980
49868.50    -0.207062    -0.786645     0.146189
49868.75    -0.217093    -0.522282    -0.890062
49869.00    -0.348667    -0.591118     0.033415
49869.25    -0.565367    -0.611353    -0.020516
49869.50    -0.179594    -1.021874     0.840693
49869.75    -0.080945    -0.816268     0.213741
49870.00    -0.171698    -0.931692     1.327267
49870.25    -0.381145    -1.050318     1.065655
49870.50    -0.093197    -1.394452     1.535760
49870.75     0.010366    -1.126793     0.685747
49871.00    -0.026870    -1.120794     1.566753
49871.25    -0.094101    -1.148888     1.068936
49871.50     0.186951    -1.440999     1.400828
49871.75     0.170714    -1.123508     0.444320
49872.00     0.198357    -1.105489     1.083959
49872.25     0.213134    -1.105996     0.880854
