"table with row headers in columns A through B, column headers in row 3",,,,,,
" Population Estimates for the 100 Largest U.S. Counties: April 1, 2000 to July 1, 2002 ",,,,,,
County,State," July 1, 2002 Population "," July 1, 2001 Population "," July 1, 2000 Population "," April 1, 2000 Population Estimates Base ", Census 2000 Population 
San Mateo,California," 703,202 "," 708,710 "," 708,574 "," 707,161 "," 707,161 "
Jefferson,Kentucky," 698,080 "," 696,001 "," 693,932 "," 693,604 "," 693,604 "
El Paso,Texas," 697,562 "," 689,543 "," 681,898 "," 679,622 "," 679,622 "
Kern,California," 694,059 "," 677,221 "," 663,854 "," 661,653 "," 661,645 "
Suffolk,Massachusetts," 689,925 "," 692,912 "," 690,121 "," 689,807 "," 689,807 "
Multnomah,Oregon," 677,626 "," 669,762 "," 661,568 "," 660,486 "," 660,486 "
DeKalb,Georgia," 676,996 "," 674,035 "," 668,677 "," 666,072 "," 665,865 "
Wake,North Carolina," 675,518 "," 656,282 "," 633,229 "," 627,846 "," 627,846 "
Lake,Illinois," 674,850 "," 661,789 "," 648,499 "," 644,356 "," 644,356 "
Oklahoma,Oklahoma," 672,487 "," 665,551 "," 661,682 "," 660,448 "," 660,448 "
Jefferson,Alabama," 661,153 "," 661,565 "," 662,115 "," 662,047 "," 662,047 "
Jackson,Missouri," 660,773 "," 658,038 "," 655,686 "," 654,880 "," 654,880 "
Norfolk,Massachusetts," 656,486 "," 654,586 "," 651,185 "," 650,308 "," 650,308 "
Cobb,Georgia," 651,485 "," 635,830 "," 615,191 "," 607,751 "," 607,751 "
Gwinnett,Georgia," 650,771 "," 624,742 "," 596,652 "," 588,448 "," 588,448 "
Baltimore city,Maryland," 638,614 "," 645,305 "," 648,756 "," 651,154 "," 651,154 "
Providence,Rhode Island," 634,827 "," 628,411 "," 622,770 "," 621,602 "," 621,602 "
Snohomish,Washington," 633,947 "," 623,890 "," 609,250 "," 606,024 "," 606,024 "
Monmouth,New Jersey," 629,836 "," 623,212 "," 617,205 "," 615,301 "," 615,301 "
Hidalgo,Texas," 614,474 "," 592,525 "," 574,163 "," 569,463 "," 569,463 "
San Joaquin,California," 614,302 "," 593,958 "," 568,355 "," 563,598 "," 563,598 "
Hudson,New Jersey," 611,439 "," 614,061 "," 609,585 "," 608,975 "," 608,975 "
Bucks,Pennsylvania," 610,440 "," 604,385 "," 599,417 "," 597,632 "," 597,635 "
Kent,Michigan," 587,951 "," 582,487 "," 576,330 "," 574,335 "," 574,335 "
Bernalillo,New Mexico," 573,675 "," 562,760 "," 557,621 "," 556,678 "," 556,678 "
Tulsa,Oklahoma," 571,348 "," 567,140 "," 563,821 "," 563,299 "," 563,299 "
District of Columbia,District of Columbia," 570,898 "," 573,822 "," 571,641 "," 572,059 "," 572,059 "
Davidson,Tennessee," 570,785 "," 571,119 "," 570,053 "," 569,891 "," 569,891 "
Collin,Texas," 566,798 "," 536,850 "," 499,992 "," 491,675 "," 491,675 "
"Note: The April 1, 2000 Population Estimates Base reflects modifications to the Census 2000 Population as documented in the Count Question Resolution program, updates from the Boundary and Annexation Survey, and geographic program revisions. Dash (-) represents zero or rounds to zero.",,,,,,
Suggested Citation:,,,,,,
"Table CO-EST2002-09 - Population Estimates for the 100 Largest U.S. Counties: April 1, 2000 to July 1, 2002",,,,,,
"Source: Population Division, U.S. Census Bureau",,,,,,
"Release Date: April 17, 2003",,,,,,
