-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
SOL1        49718.000    1995     1     1     0
SOL1        52274.750    2001    12    31    18
SOL1      1173608.863 -4871160.862  3933263.105
49726.50     0.140943    -0.413825    -1.422750
49726.75    -0.012605    -0.496457    -1.930327
49727.00     0.430301    -0.432691    -2.164025
49727.25     0.483534    -0.400616    -2.931128
49727.50     0.663154    -0.265875    -3.410691
49727.75     0.596849    -0.281481    -3.627971
49728.00     1.031007    -0.127097    -3.162053
49728.25     1.077635    -0.020102    -2.961222
49728.50     1.186010     0.165525    -2.608139
49728.75     0.989145     0.161898    -2.188050
49729.00     1.127702     0.235691    -1.581012
49729.25     0.698923     0.232935    -1.265736
49729.50     0.533500     0.374642    -0.600687
49729.75     0.081896     0.240224    -0.349516
49730.00     0.069018     0.201714    -0.026302
49730.25    -0.221164     0.078375    -0.447738
49730.50    -0.221825     0.113731    -0.706106
49730.75    -0.442369    -0.018843    -1.380890
49731.00    -0.264270     0.023550    -1.265951
49731.25    -0.402517     0.025890    -1.364994
49731.50    -0.389116     0.223402    -0.879196
49731.75    -0.670078     0.210059    -0.605185
49732.00    -0.571095     0.238200     0.080972
49732.25    -0.822242     0.246510     0.676666
49732.50    -0.897799     0.339358     1.611733
49732.75    -1.107710     0.211307     1.951783
49733.00    -1.024963     0.165208     2.209551
49733.25    -1.273492     0.025966     1.713315
49733.50    -1.157194     0.103587     1.618741
49733.75    -1.168464    -0.103257     0.724485
49734.00    -0.857818    -0.137761     0.381596
49734.25    -0.908427    -0.223913    -0.150451
49734.50    -0.712009    -0.129939    -0.227036
49734.75    -0.821725    -0.250011    -0.918189
49735.00    -0.501211    -0.255055    -1.270161
49735.25    -0.484426    -0.281374    -1.718221
49735.50    -0.423166    -0.216017    -2.027028
49735.75    -0.503630    -0.360786    -2.652108
49736.00    -0.238158    -0.311966    -2.394726
49736.25    -0.409249    -0.277347    -1.905485
49736.50    -0.382447    -0.025426    -0.818229
49736.75    -0.715004     0.016229    -0.107262
49737.00    -0.818411     0.149895     1.063207
49737.25    -1.070982     0.399844     3.257523
49737.50    -1.369834     0.660787     5.390025
49737.75    -1.820534     0.484542     5.590213
49738.00    -1.726060     0.372650     5.285119
49738.25    -1.686389     0.319168     5.022995
49738.50    -1.635539     0.358391     4.630108
49738.75    -1.717835     0.205621     4.127891
49739.00    -1.432519     0.126586     3.397498
49739.25    -1.478817     0.064589     2.656462
49739.50    -1.357762     0.098193     2.234165
49739.75    -1.376805    -0.010495     1.787097
49740.00    -1.004312    -0.012692     1.644145
49740.25    -1.012533    -0.059701     1.336455
49740.50    -0.855878     0.030643     1.332106
49740.75    -0.993365    -0.033107     1.212829
49741.00    -0.857440     0.003879     1.475452
49741.25    -1.046492    -0.126182     1.154176
49741.50    -1.060930    -0.126220     0.874449
49741.75    -1.359011    -0.412824     0.031557
49742.00    -1.178655    -0.541632    -0.615031
49742.25    -1.279416    -0.649400    -1.306219
49742.50    -1.163507    -0.573594    -1.573057
49742.75    -1.433692    -0.648360    -1.502088
49743.00    -1.189442    -0.559241    -0.965187
49743.25    -1.316001    -0.602402    -1.068474
49743.50    -1.358442    -0.515244    -0.963890
49743.75    -1.609631    -0.621334    -1.097147
49744.00    -1.360634    -0.501685    -0.627598
49744.25    -1.597824    -0.498296    -0.863255
49744.50    -1.570887    -0.288527    -0.501361
49744.75    -1.712406    -0.368237    -0.555635
49745.00    -1.550617    -0.298731    -0.239030
49745.25    -1.572686    -0.274967    -0.421100
49745.50    -1.227042    -0.104578    -0.092474
49745.75    -1.276982    -0.204531    -0.206320
49746.00    -0.953545    -0.266145     0.032615
49746.25    -0.899208    -0.426291    -0.539045
49746.50    -0.723667    -0.426507    -0.845859
49746.75    -0.899877    -0.679406    -1.480893
49747.00    -0.769627    -0.693922    -0.956563
49747.25    -1.085318    -0.693481    -0.288342
49747.50    -1.224399    -0.508492     0.996472
49747.75    -1.591958    -0.547223     1.804991
49748.00    -1.630854    -0.506013     2.739940
49748.25    -1.947084    -0.532730     2.847368
49748.50    -2.055224    -0.430315     3.031202
49748.75    -2.247137    -0.478510     3.169395
49749.00    -2.086777    -0.423212     3.937023
49749.25    -2.078759    -0.356536     4.274737
49749.50    -1.945493    -0.144686     4.576772
49749.75    -1.841423    -0.171030     4.498578
49750.00    -1.403284    -0.105125     4.512065
49750.25    -1.186216    -0.081287     4.144799
49750.50    -1.051587     0.039918     3.733472
49750.75    -1.108484    -0.094433     2.684575
49751.00    -0.775002    -0.140477     1.907036
49751.25    -0.672542    -0.227793     0.708567
49751.50    -0.482863    -0.174516    -0.197558
49751.75    -0.513745    -0.166289    -0.150565
49752.00    -0.226271    -0.016901     1.026282
49752.25    -0.213539     0.243909     2.826302
49752.50    -0.198738     0.564836     5.747576
49752.75    -0.459884     0.408461     6.521722
49753.00    -0.256135     0.272836     6.307296
49753.25    -0.281111     0.094367     5.648013
49753.50     0.126368     0.081782     5.230783
49753.75     0.224507    -0.135901     4.679463
49754.00     0.624417    -0.245624     3.939516
49754.25     0.797338    -0.300287     3.130266
49754.50     0.921549    -0.116687     3.224065
49754.75     0.851957    -0.102931     3.323943
49755.00     1.309383    -0.009302     3.370576
49755.25     1.369216    -0.017028     2.741734
49755.50     1.532720     0.173189     2.788906
49755.75     1.307481     0.143347     2.897207
49756.00     1.452730     0.196934     3.545898
49756.25     1.268425     0.154386     3.488735
49756.50     1.288794     0.168531     3.375992
49756.75     1.109640    -0.106896     2.346422
49757.00     1.146323    -0.160495     2.010283
49757.25     0.969518    -0.206342     1.340008
49757.50     0.873958     0.017113     1.868434
49757.75     0.477076     0.067387     2.349185
49758.00     0.579965     0.259966     3.537666
49758.25     0.403573     0.341286     3.396854
49758.50     0.347030     0.622264     3.883414
49758.75    -0.057451     0.659375     4.390268
49759.00    -0.063764     0.689469     5.278014
49759.25    -0.337226     0.514612     4.804997
49759.50    -0.403141     0.545201     4.864947
49759.75    -0.789887     0.251208     4.259286
49760.00    -0.788962     0.141799     4.103615
49760.25    -1.085791    -0.156849     2.627413
49760.50    -1.163832    -0.310688     1.119926
49760.75    -1.489219    -0.696458    -0.502413
49761.00    -1.417036    -0.739131    -1.056123
49761.25    -1.424613    -0.811316    -1.915711
49761.50    -1.276097    -0.676925    -1.976279
49761.75    -1.406629    -0.712823    -2.107585
49762.00    -1.193980    -0.554126    -1.324371
49762.25    -1.063918    -0.520270    -1.420829
49762.50    -0.848462    -0.390869    -1.608399
49762.75    -0.757125    -0.425032    -2.124942
49763.00    -0.484227    -0.257844    -1.562638
49763.25    -0.535252    -0.122069    -1.669906
49763.50    -0.474234     0.086864    -1.085634
49763.75    -0.744166     0.084778    -0.199380
49764.00    -0.746600     0.085057     1.675255
49764.25    -0.827429    -0.133278     1.909274
49764.50    -0.303144    -0.107387     1.688771
49764.75    -0.134883    -0.330337     0.297853
49765.00     0.283733    -0.383829    -0.361401
49765.25     0.395082    -0.479104    -1.337297
49765.50     0.698335    -0.444083    -1.861416
49765.75     0.389256    -0.670348    -3.247910
49766.00     0.476616    -0.611270    -2.956340
49766.25     0.199051    -0.573249    -3.135519
49766.50     0.030052    -0.432231    -3.121963
49766.75    -0.419319    -0.555095    -3.720607
49767.00    -0.298371    -0.530371    -3.060594
49767.25    -0.502932    -0.627818    -2.806271
49767.50    -0.608534    -0.576265    -2.026199
49767.75    -0.848067    -0.677635    -1.661294
49768.00    -0.788274    -0.549246    -0.613154
49768.25    -1.065463    -0.412973    -0.207978
49768.50    -0.942650    -0.070540     1.150224
49768.75    -0.984920    -0.003597     2.190776
49769.00    -0.689884     0.170985     3.679143
49769.25    -0.585112     0.264366     4.571277
49769.50    -0.579845     0.388297     4.782401
49769.75    -0.689542     0.048329     3.092646
49770.00    -0.451568    -0.100848     2.157447
49770.25    -0.587352    -0.136754     0.978340
49770.50    -0.605765    -0.054754     0.207837
49770.75    -0.943952    -0.083368    -0.328887
49771.00    -0.733460     0.036626     0.250663
49771.25    -0.867166     0.037425     0.093109
49771.50    -0.773017     0.172154     0.538116
49771.75    -0.774630     0.100141     0.901042
49772.00    -0.529769     0.112438     1.695851
49772.25    -0.554452     0.051198     1.954353
49772.50    -0.311557    -0.016247     1.685891
49772.75    -0.309310    -0.332290     0.105044
49773.00     0.123171    -0.389411    -0.617203
49773.25     0.202061    -0.350204    -1.323297
49773.50     0.341656    -0.202862    -1.553130
49773.75     0.028935    -0.219912    -1.834874
49774.00     0.279595    -0.037986    -1.057147
49774.25     0.353704     0.001300    -1.605977
49774.50     0.414347     0.121074    -1.936500
49774.75     0.306364    -0.057112    -3.230613
49775.00     0.558386    -0.011374    -3.558358
49775.25     0.318754    -0.089596    -4.295022
49775.50     0.353378     0.056000    -3.751785
49775.75     0.083061    -0.061053    -3.573839
49776.00     0.173385    -0.017074    -2.635885
49776.25     0.053015     0.029379    -2.103124
49776.50     0.204624     0.196558    -1.095510
49776.75    -0.059130    -0.020593    -1.559068
49777.00     0.195437    -0.041910    -1.331324
49777.25     0.145831    -0.090098    -1.583342
49777.50     0.103896    -0.018046    -1.514007
49777.75    -0.274235    -0.240842    -2.208763
49778.00    -0.192809    -0.334188    -2.139947
49778.25    -0.402826    -0.443733    -2.903144
49778.50    -0.379154    -0.432949    -3.556639
49778.75    -0.552892    -0.564682    -4.255009
49779.00    -0.258596    -0.463051    -3.801047
49779.25    -0.191705    -0.495163    -4.201544
49779.50     0.098937    -0.374931    -4.174477
49779.75     0.105177    -0.454225    -4.577409
49780.00     0.339767    -0.376715    -4.099599
49780.25     0.252347    -0.377934    -4.425850
49780.50     0.304212    -0.256869    -4.333952
49780.75     0.134370    -0.401296    -5.197967
49781.00     0.260119    -0.298732    -4.841733
49781.25     0.251235    -0.253141    -5.045168
49781.50     0.366673    -0.001464    -4.663850
49781.75     0.172085     0.073966    -4.186661
49782.00     0.323605     0.241974    -2.777643
49782.25     0.068108     0.235524    -2.531771
49782.50    -0.170298     0.340649    -1.920500
49782.75    -0.450706     0.121821    -2.543492
49783.00    -0.430210     0.129127    -2.405537
49783.25    -0.810585     0.090626    -2.880750
49783.50    -0.962039     0.241860    -2.413817
49783.75    -1.388071     0.066713    -2.621104
49784.00    -1.345302     0.090834    -1.313006
49784.25    -1.486893    -0.046902    -0.998848
49784.50    -1.404272     0.024819    -0.201145
49784.75    -1.476253    -0.213979    -0.415227
49785.00    -0.959569    -0.317703     0.080581
49785.25    -1.042175    -0.568526    -1.566347
49785.50    -0.945669    -0.553169    -2.320710
49785.75    -0.922338    -0.765547    -3.376476
49786.00    -0.619653    -0.720842    -3.802819
49786.25    -0.861323    -0.767183    -4.568715
49786.50    -0.852290    -0.710549    -5.092486
49786.75    -1.093833    -0.780877    -5.369251
49787.00    -0.968325    -0.642660    -4.587941
49787.25    -1.088761    -0.600773    -4.471777
49787.50    -0.903190    -0.484638    -4.186129
49787.75    -1.000420    -0.534978    -4.236286
49788.00    -0.615474    -0.381969    -3.227706
49788.25    -0.592783    -0.459321    -3.622027
49788.50    -0.487132    -0.455737    -4.008921
49788.75    -0.856820    -0.619551    -4.621555
49789.00    -0.977858    -0.596939    -4.195232
49789.25    -1.426446    -0.743823    -5.102924
49789.50    -1.593276    -0.739320    -5.487774
49789.75    -1.812119    -0.834953    -5.744986
49790.00    -1.687582    -0.765387    -5.075154
49790.25    -1.971991    -0.829332    -5.550455
49790.50    -1.882340    -0.689247    -5.453591
49790.75    -1.935617    -0.785163    -5.914523
49791.00    -1.347542    -0.653319    -4.787850
49791.25    -1.177328    -0.615156    -4.343600
49791.50    -0.923354    -0.417520    -3.471182
49791.75    -0.952296    -0.416097    -2.981971
49792.00    -0.537250    -0.213929    -1.549870
49792.25    -0.607938    -0.215271    -1.540466
49792.50    -0.522610    -0.051976    -1.152759
49792.75    -0.513588    -0.129325    -1.331412
49793.00    -0.159617    -0.050455    -0.616674
49793.25    -0.212629    -0.177966    -1.145934
49793.50     0.173002    -0.061609    -0.641446
49793.75     0.507832    -0.172362    -0.584320
49794.00     1.152114    -0.106479     0.095369
49794.25     1.426393    -0.185080    -0.825503
49794.50     1.839298    -0.011473    -0.529035
49794.75     1.874487    -0.065591    -0.524896
49795.00     2.147393     0.094499     0.700058
49795.25     2.154168     0.108058     0.729901
49795.50     2.253829     0.278261     1.153980
49795.75     1.907412     0.245865     1.179012
49796.00     1.948967     0.369213     2.198839
49796.25     1.531391     0.334820     2.035814
49796.50     1.229640     0.510827     2.895222
49796.75     0.796684     0.507582     3.686704
49797.00     0.666418     0.640219     5.540729
49797.25    -0.078757     0.585098     5.702017
49797.50    -0.239189     0.741248     6.863522
49797.75    -0.689503     0.537521     6.391053
49798.00    -0.640005     0.553240     6.633102
49798.25    -0.937545     0.561695     6.335327
49798.50    -0.958285     0.709946     6.714156
49798.75    -1.096870     0.580843     6.269723
49799.00    -0.820733     0.561326     5.618481
49799.25    -0.984226     0.447946     4.563888
49799.50    -0.964668     0.547608     4.358170
49799.75    -1.117015     0.418414     3.881206
49800.00    -0.604031     0.447668     3.953136
49800.25    -0.627193     0.210306     2.518056
49800.50    -0.314480     0.242393     2.120462
49800.75    -0.124612     0.140263     1.779929
49801.00     0.446980     0.227951     2.020619
49801.25     0.615843     0.038961     0.498555
49801.50     1.101291     0.184257     0.410985
49801.75     1.256634     0.120149     0.461496
49802.00     1.560278     0.250559     0.962682
49802.25     1.613101     0.183483     0.125671
49802.50     1.923081     0.302599    -0.360385
49802.75     1.652128     0.285471    -0.389950
49803.00     1.919765     0.401243     0.297935
49803.25     1.795177     0.385197    -0.122252
49803.50     1.843390     0.576445     0.184336
49803.75     1.460712     0.467034    -0.210062
49804.00     1.578185     0.500590     0.319877
49804.25     1.301493     0.296419    -0.341595
49804.50     1.340048     0.350611     0.167503
49804.75     1.205394     0.197017     0.195299
49805.00     1.456578     0.175976     0.740914
49805.25     1.221214     0.037853     0.113844
49805.50     1.242314     0.143909     0.273662
49805.75     0.758011     0.063363     0.140041
49806.00     0.584353     0.050718     0.639187
49806.25     0.225457    -0.033318     0.479585
49806.50     0.085956     0.088828     1.014002
49806.75    -0.271392    -0.065048     0.862836
49807.00    -0.108209    -0.055322     1.635324
49807.25    -0.260622    -0.217160     1.037310
49807.50    -0.146088    -0.119334     1.278590
49807.75    -0.217277    -0.184549     1.301032
49808.00     0.134717    -0.053108     2.093708
49808.25     0.225266    -0.114124     1.428254
49808.50     0.534461     0.069289     1.671598
49808.75     0.597567     0.069095     1.777566
49809.00     0.984412     0.204173     2.513094
49809.25     1.095104     0.163588     2.000822
49809.50     1.389109     0.311988     2.135038
49809.75     1.355192     0.149352     1.374257
49810.00     1.524306     0.153981     1.472165
49810.25     1.228153     0.026906     0.469704
49810.50     1.209560     0.081857     0.132426
49810.75     0.831183    -0.007993     0.248141
49811.00     0.870553     0.046271     1.195194
49811.25     0.447393    -0.025938     1.636667
49811.50     0.337147     0.055105     2.999772
49811.75    -4.129618    -2.018384    -1.718392
49812.00     0.331434    -0.206398     2.644591
49812.25     0.170552    -0.406846     0.649760
49812.50     0.187495    -0.297046     0.168954
49812.75    -0.080549    -0.367248    -0.048774
49813.00     0.154314    -0.176620     0.435200
49813.25     0.266217    -0.090554    -0.103103
49813.50     0.483178     0.184678     0.198996
49813.75     0.249581     0.213803     0.726492
49814.00     0.304379     0.344798     1.699515
49814.25     0.144264     0.327198     1.338449
49814.50     0.280684     0.462125     1.361495
49814.75     0.259771     0.379152     1.020709
49815.00     0.463223     0.487534     1.464301
49815.25     0.406754     0.479408     1.056464
49815.50     0.401811     0.622172     1.425064
49815.75     0.097335     0.593099     2.220468
49816.00     0.027864     0.680689     3.314163
49816.25    -0.179381     0.501942     2.652129
49816.50    -0.092456     0.605451     2.988591
49816.75    -0.287266     0.477313     2.971798
49817.00     0.003471     0.391288     3.196605
49817.25     0.114189     0.071522     0.699036
49817.50     0.372077     0.025777    -1.044776
49817.75     0.236546    -0.212882    -2.409854
49818.00     0.400801    -0.136363    -2.249359
49818.25     0.276739    -0.236617    -3.041537
49818.50     0.360663    -0.005861    -3.004418
49818.75     0.132539    -0.032855    -3.217637
49819.00     0.112501     0.085417    -2.311671
49819.25    -0.251436     0.100087    -2.108116
49819.50    -0.364230     0.223669    -1.429878
49819.75    -0.790152     0.134486    -0.844304
49820.00    -1.025977     0.184139     0.547675
49820.25    -1.366341     0.075119     0.758686
49820.50    -1.313618     0.175975     1.594981
49820.75    -1.541248     0.058329     1.570671
49821.00    -1.358538     0.083074     1.756744
49821.25    -1.466624    -0.007167     0.738460
49821.50    -1.274290     0.192094     0.757593
49821.75    -1.383104     0.165394     0.249667
49822.00    -1.173139     0.226790     0.101371
49822.25    -1.277651     0.136419    -0.792518
49822.50    -1.163963     0.263202    -0.819608
49822.75    -1.305610     0.215298    -0.615359
49823.00    -1.032199     0.334283     0.065049
49823.25    -0.893077     0.296756    -0.473846
49823.50    -0.611625     0.429014    -0.490337
49823.75    -0.678443     0.382115    -0.650875
49824.00    -0.435760     0.453521    -0.330816
49824.25    -0.506395     0.415831    -1.032177
49824.50    -0.370734     0.522915    -1.189517
49824.75    -0.485669     0.471967    -1.177072
49825.00    -0.289019     0.501025    -0.617746
49825.25    -0.289428     0.509965    -0.874759
49825.50    -0.078368     0.663209    -0.722850
49825.75    -0.263222     0.658157    -0.500412
49826.00    -0.208820     0.810132     0.880752
49826.25    -0.442904     0.774151     1.259933
49826.50    -0.519916     0.863191     2.142291
49826.75    -0.808341     0.743787     2.302298
49827.00    -0.792303     0.707516     2.509800
49827.25    -0.757459     0.556664     1.261369
49827.50    -0.479990     0.643949     0.682432
49827.75    -0.522400     0.577269     0.121043
49828.00    -0.419229     0.699915     0.638489
49828.25    -0.662885     0.715402     0.428449
49828.50    -0.689924     0.922619     1.147418
49828.75    -1.142539     0.776435     1.696755
49829.00    -1.050500     0.615297     2.104987
49829.25    -1.318667     0.316151     1.034645
49829.50    -1.323438     0.290938     0.541650
49829.75    -1.515222     0.102755     0.237199
49830.00    -1.195429     0.074597     0.171082
49830.25    -1.308976    -0.065205    -1.107027
49830.50    -1.093897     0.122177    -1.064313
49830.75    -1.211482     0.168522    -0.814022
49831.00    -1.014079     0.416549     0.533539
49831.25    -1.023686     0.561912     0.904626
49831.50    -0.773396     0.804857     1.844353
49831.75    -0.868716     0.694500     1.757736
49832.00    -0.528703     0.675778     2.010369
49832.25    -0.542704     0.537218     0.998318
49832.50    -0.168067     0.557197     0.285275
49832.75    -0.218807     0.434363    -0.287999
49833.00     0.127095     0.411783    -0.061569
49833.25     0.164065     0.231353    -1.181088
49833.50     0.391302     0.344802    -1.629308
49833.75     0.175482     0.293470    -2.015382
49834.00     0.184766     0.376842    -1.436881
49834.25     0.059627     0.339833    -1.701283
49834.50     0.066622     0.481069    -1.367405
49834.75    -0.274324     0.404527    -0.942826
49835.00    -0.234938     0.430674    -0.022245
49835.25    -0.256228     0.298760    -0.045324
49835.50    -0.235533     0.336065    -0.156204
49835.75    -0.279192     0.250254    -0.376332
49836.00     0.007580     0.342772     0.208085
49836.25    -0.098636     0.232671    -0.551256
49836.50     0.008371     0.306260    -0.720779
49836.75    -0.076405     0.211041    -0.853534
49837.00     0.152572     0.296459    -0.201186
49837.25     0.215614     0.309476    -0.141497
49837.50     0.378842     0.527695     0.521224
49837.75     0.204636     0.491241     0.749172
49838.00     0.287160     0.447469     1.291006
49838.25     0.236747     0.334754     0.895285
49838.50     0.357683     0.435951     1.013628
49838.75     0.100726     0.357509     0.824075
49839.00     0.248793     0.462596     1.782943
49839.25     0.042577     0.511445     2.026083
49839.50     0.107397     0.659441     2.790837
49839.75    -0.215412     0.427124     2.224761
49840.00    -0.208760     0.282519     1.881503
49840.25    -0.367430     0.094337     0.685811
49840.50    -0.100625     0.114442     0.139148
49840.75    -0.162583    -0.025500    -0.557680
49841.00     0.056862     0.013578    -0.304650
49841.25     0.207938    -0.037983    -1.003847
49841.50     0.617131     0.161384    -0.937298
49841.75     0.502444     0.147865    -0.990138
49842.00     0.688469     0.249204    -0.108521
49842.25     0.594437     0.260266     0.352906
49842.50     0.630629     0.365467     0.871901
49842.75     0.496897     0.227193     0.663756
49843.00     0.647364     0.212992     1.234206
49843.25     0.581345     0.047994     0.520791
49843.50     0.819066     0.114910     0.279766
49843.75     0.732708     0.055129     0.089925
49844.00     0.695106     0.128646     0.070897
49844.25     0.513695     0.025050    -0.948773
49844.50     0.736514     0.123051    -1.034770
49844.75     0.554910     0.095560    -0.985451
49845.00     0.807623     0.232819    -0.212969
49845.25     0.766702     0.216460    -1.025942
49845.50     1.075753     0.400366    -1.023796
49845.75     0.912325     0.365602    -1.156460
49846.00     1.137503     0.522360    -0.557905
49846.25     1.041775     0.518692    -0.870729
49846.50     1.372302     0.715483    -0.671744
49846.75     1.274608     0.730985    -0.237940
49847.00     1.463349     0.895785     0.918963
49847.25     1.268904     0.947849     1.300966
49847.50     1.367212     1.140002     2.218172
49847.75     1.079279     1.041755     2.334856
49848.00     1.092688     1.103451     3.248910
49848.25     0.778126     1.027801     3.465955
49848.50     0.773801     1.116004     4.051101
49848.75     0.511531     0.938500     3.851764
49849.00     0.487986     0.891029     4.207217
49849.25     0.291771     0.740017     3.662025
49849.50     0.300833     0.831502     3.609311
49849.75     0.145303     0.729880     3.195032
49850.00     0.244423     0.765009     3.328901
49850.25     0.169727     0.706988     2.522020
49850.50     0.280311     0.835773     1.998091
49850.75     0.203252     0.785410     1.439224
49851.00     0.384438     0.868533     1.731424
49851.25     0.413488     0.818350     1.024459
49851.50     0.614751     0.895047     1.299140
49851.75     0.392441     0.705149     1.433708
49852.00     0.486043     0.742724     2.337841
49852.25     0.448483     0.600411     2.092108
49852.50     0.525263     0.656697     2.137250
49852.75     0.483221     0.515598     1.715552
49853.00     0.862756     0.612109     2.380404
49853.25     0.852245     0.511856     1.575593
49853.50     1.014275     0.613836     1.531592
49853.75     0.744615     0.590565     1.563439
49854.00     0.699935     0.779003     2.851793
49854.25     0.344103     0.846654     3.067468
49854.50     0.263437     1.052736     3.864372
49854.75    -0.209465     0.967302     4.171693
49855.00    -0.378327     0.900289     4.627022
49855.25    -0.667877     0.804859     3.949765
49855.50    -0.715371     0.900701     3.952686
49855.75    -1.286678     0.769909     3.410876
49856.00    -1.503447     0.740853     3.727007
49856.25    -1.848463     0.666048     3.312642
49856.50    -1.889313     0.700797     3.615009
49856.75    -2.113901     0.433215     2.916545
49857.00    -2.075109     0.342841     2.390008
49857.25    -2.226081     0.161737     1.441713
49857.50    -2.094990     0.239949     1.281679
49857.75    -2.127778     0.204415     0.983309
49858.00    -1.825788     0.340767     1.461684
49858.25    -1.738447     0.292312     0.710737
49858.50    -1.508318     0.399108     0.494625
49858.75    -1.554595     0.275656     0.072732
49859.00    -1.260920     0.297393     0.487224
49859.25    -1.185359     0.142848    -0.596402
49859.50    -0.774125     0.185321    -1.106737
49859.75    -0.854296     0.033616    -1.996473
49860.00    -0.740829     0.064255    -1.939569
49860.25    -0.747473     0.005706    -2.511384
49860.50    -0.545393     0.078366    -2.840706
49860.75    -0.831597    -0.003684    -2.990471
49861.00    -0.792477     0.065158    -2.133307
49861.25    -0.978825    -0.007142    -2.166577
49861.50    -0.839909     0.077061    -1.958718
49861.75    -0.940744    -0.021025    -1.934520
49862.00    -0.703251     0.069127    -1.183865
49862.25    -0.560197    -0.001878    -1.636214
49862.50    -0.289320     0.132113    -1.648234
49862.75    -0.392678     0.028852    -2.096420
49863.00    -0.220011     0.085247    -1.545928
49863.25    -0.336686    -0.041179    -2.279603
49863.50    -0.126091     0.035470    -2.187999
49863.75    -0.224219    -0.054097    -2.526812
49864.00    -0.169815     0.014119    -2.091687
49864.25    -0.353965    -0.043019    -2.865181
49864.50    -0.175572     0.107822    -2.915843
49864.75    -0.458623     0.064202    -3.227821
49865.00    -0.435860     0.119840    -2.753501
49865.25    -0.481089     0.113284    -3.113427
49865.50    -0.251579     0.259825    -2.831288
49865.75    -0.450741     0.156947    -2.938370
49866.00    -0.277798     0.258878    -1.602384
49866.25    -0.370453     0.239208    -0.944348
49866.50    -0.209641     0.345202    -0.141592
49866.75    -0.404292     0.193040     0.146661
49867.00    -0.336185     0.168121     0.961086
49867.25    -0.393495     0.069430     0.483902
49867.50    -0.214719     0.171967     0.460402
49867.75    -0.340806     0.082317     0.249259
49868.00    -0.332844     0.092667     0.448716
49868.25    -0.457138     0.028261    -0.292050
49868.50    -0.352589     0.151617    -0.419246
49868.75    -0.583325     0.096567    -0.803785
49869.00    -0.568520     0.202407    -0.258336
49869.25    -0.512106     0.157176    -0.866438
49869.50    -0.115453     0.315509    -0.761936
49869.75    -0.123339     0.251302    -1.030370
49870.00     0.050177     0.311496    -0.473568
49870.25     0.023897     0.348539    -0.860776
49870.50     0.258548     0.508281    -0.712450
49870.75     0.140855     0.428845    -0.773542
49871.00     0.230713     0.456478    -0.103628
49871.25     0.122919     0.425791    -0.169250
49871.50     0.303514     0.493950    -0.125103
49871.75     0.056742     0.403071    -0.132141
49872.00     0.200457     0.405276     0.316122
49872.25     0.371287     0.340998     0.069326
49872.50     0.670811     0.436307    -0.069110
49872.75     0.728470     0.364021    -0.418524
49873.00     0.968399     0.469700     0.244847
