-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
SCIP        49718.000    1995     1     1     0
SCIP        52274.750    2001    12    31    18
SCIP     -2556587.402 -4711014.066  3446241.381
49779.00     0.113516     0.115109     0.218059
49779.25     0.279656     0.280986    -0.246382
49779.50     0.214564     0.259228     0.131948
49779.75     0.305592     0.393380    -0.792945
49780.00     0.237858     0.166681    -0.213950
49780.25     0.368299     0.258522    -0.403837
49780.50     0.324575     0.173704     0.148952
49780.75     0.440178     0.291532    -0.683549
49781.00     0.352742     0.057928     0.009742
49781.25     0.307869     0.143633     0.044626
49781.50     0.103544     0.086390     0.741791
49781.75     0.096017     0.151460     0.206585
49782.00    -0.036691    -0.183936     1.099899
49782.25     0.054265    -0.167695     1.147051
49782.50     0.200067    -0.253165     1.357628
49782.75     0.434963    -0.078384     0.294046
49783.00     0.449638    -0.173082     0.493963
49783.25     0.579221     0.050828     0.053689
49783.50     0.574023     0.129907     0.076201
49783.75     0.650227     0.388047    -0.946609
49784.00     0.485030     0.175653    -0.307059
49784.25     0.504171     0.405405    -0.670411
49784.50     0.286036     0.398008    -0.009369
49784.75     0.318161     0.581385    -0.798366
49785.00     0.019293     0.325432     0.211119
49785.25    -0.011149     0.433273     0.247589
49785.50    -0.269502     0.343875     1.208102
49785.75    -0.313607     0.405383     0.806936
49786.00    -0.555258     0.074754     1.795518
49786.25    -0.494428     0.195619     1.519560
49786.50    -0.716294     0.154096     2.327914
49786.75    -0.751368     0.253289     1.934782
49787.00    -0.959546    -0.041071     2.797300
49787.25    -0.981700     0.026386     2.910227
49787.50    -1.085683    -0.167717     3.537284
49787.75    -0.986044    -0.074217     2.637596
49788.00    -0.974111    -0.295751     2.961390
49788.25    -0.703430    -0.172740     2.165362
49788.50    -0.640766    -0.255270     2.324425
49788.75    -0.292858    -0.034512     0.777473
49789.00    -0.198688    -0.149043     0.879685
49789.25     0.120677     0.119477     0.039824
49789.50     0.149906     0.207103     0.228812
49789.75     0.355815     0.375366    -0.794154
49790.00     0.400676     0.184314    -0.410354
49790.25     0.585068     0.386155    -0.931983
49790.50     0.506271     0.379891    -0.443864
49790.75     0.606835     0.540527    -1.281573
49791.00     0.481272     0.227091    -0.589923
49791.25     0.476341     0.310032    -0.899106
49791.50     0.362582     0.211524    -0.326818
49791.75     0.448875     0.299794    -1.155599
49792.00     0.324392     0.001212    -0.305866
49792.25     0.434045     0.113465    -0.633963
49792.50     0.378051     0.098309    -0.126210
49792.75     0.423305     0.188538    -0.745950
49793.00     0.282336    -0.049183    -0.056418
49793.25     0.311074     0.157990    -0.499965
49793.50     0.218143     0.180770    -0.207330
49793.75     0.237444     0.336608    -1.222937
49794.00     0.118293     0.103170    -0.692649
49794.25     0.192256     0.311799    -1.464261
49794.50     0.064845     0.287859    -0.989774
49794.75     0.095791     0.377427    -1.864351
49795.00    -0.100617    -0.007822    -0.812223
49795.25    -0.117961     0.000134    -0.932346
49795.50    -0.250119    -0.109817    -0.179091
49795.75    -0.203783    -0.067275    -0.799496
49796.00    -0.458598    -0.400029     0.417335
49796.25    -0.503489    -0.312342     0.593854
49796.50    -0.722327    -0.334065     1.382756
49796.75    -0.770071    -0.250919     0.902953
49797.00    -1.023438    -0.563607     2.028073
49797.25    -0.967271    -0.459304     1.957992
49797.50    -1.140813    -0.514568     2.682965
49797.75    -1.030218    -0.465523     1.962156
49798.00    -0.976056    -0.661015     2.294254
49798.25    -0.766170    -0.558719     1.830768
49798.50    -0.783338    -0.480533     1.961101
49798.75    -0.549834    -0.247824     0.875473
49799.00    -0.615148    -0.441018     1.631969
49799.25    -0.567968    -0.282710     1.563128
49799.50    -0.644992    -0.310222     1.986537
49799.75    -0.484834    -0.240832     1.175660
49800.00    -0.444082    -0.477125     1.532829
49800.25    -0.212717    -0.282994     0.824623
49800.50    -0.204953    -0.294629     1.034899
49800.75    -0.062633    -0.292098     0.254172
49801.00    -0.035957    -0.495163     0.692016
49801.25     0.181724    -0.297681     0.080861
49801.50     0.155484    -0.231818     0.328617
49801.75     0.342107    -0.092119    -0.601960
49802.00     0.328539    -0.252999    -0.093129
49802.25     0.549697     0.029742    -0.934874
49802.50     0.569362     0.106550    -0.881530
49802.75     0.741119     0.344369    -1.965744
49803.00     0.692110     0.130720    -1.363713
49803.25     0.799919     0.288577    -1.841615
49803.50     0.749168     0.274879    -1.519098
49803.75     0.846200     0.383881    -2.395784
49804.00     0.744266     0.157327    -1.751294
49804.25     0.782982     0.295228    -1.974079
49804.50     0.666039     0.251450    -1.430039
49804.75     0.590049     0.328642    -1.878798
49805.00     0.427755     0.112041    -1.109690
49805.25     0.425672     0.253721    -1.194309
49805.50     0.207969     0.182284    -0.345915
49805.75     0.271236     0.260623    -0.916819
49806.00     0.117807     0.020340    -0.064010
49806.25     0.178174     0.103632    -0.282722
49806.50     0.050815     0.047201     0.237628
49806.75     0.115630     0.105274    -0.459841
49807.00    -0.030195    -0.135674     0.237127
49807.25     0.069041     0.060512    -0.370322
49807.50    -0.012774     0.056859    -0.109364
49807.75     0.041065     0.127254    -0.832478
49808.00    -0.102637    -0.130133    -0.126770
49808.25    -0.083448    -0.000071    -0.372779
49808.50    -0.206259    -0.041990     0.108594
49808.75    -0.235363     0.033748    -0.369936
49809.00    -0.314070    -0.282605     0.428778
49809.25    -0.312938    -0.183455     0.411082
49809.50    -0.315196    -0.211220     0.686232
49809.75    -0.134565    -0.127034    -0.077330
49810.00    -0.143468    -0.418946     0.546768
49810.25     0.077221    -0.197392    -0.230430
49810.50     0.134571    -0.137634    -0.196552
49810.75     0.260995     0.037012    -1.145708
49811.00     0.187687    -0.149273    -0.563072
49811.25     0.161678     0.044312    -0.804657
49811.50     0.027629     0.012627    -0.336606
49811.75    -0.065013     0.098618    -0.738477
49812.00    -0.227906    -0.205857     0.267030
49812.25    -0.230348    -0.137764     0.301324
49812.50    -0.366831    -0.241467     1.003449
49812.75    -0.340974    -0.203864     0.542554
49813.00    -0.394793    -0.462888     1.248149
49813.25    -0.363424    -0.336876     1.094441
49813.50    -0.439531    -0.326657     1.447199
49813.75    -0.349232    -0.190269     0.629596
49814.00    -0.379716    -0.403475     1.202856
49814.25    -0.271232    -0.201617     0.721641
49814.50    -0.349802    -0.148756     1.085849
49814.75    -0.298353    -0.071882     0.322107
49815.00    -0.359331    -0.305231     0.962522
49815.25    -0.328943    -0.216952     0.714404
49815.50    -0.397146    -0.214289     0.990204
49815.75    -0.323882    -0.229883     0.334723
49816.00    -0.358412    -0.506787     1.018862
49816.25    -0.221038    -0.482992     0.780527
49816.50    -0.297660    -0.583146     1.382565
49816.75    -0.171471    -0.534072     0.738519
49817.00    -0.119390    -0.722613     1.289762
49817.25     0.082324    -0.463518     0.626563
49817.50     0.059408    -0.366826     0.789215
49817.75     0.142840    -0.212602     0.073473
49818.00     0.019513    -0.407838     0.854636
49818.25     0.065165    -0.152422     0.362423
49818.50    -0.058023    -0.177700     1.038443
49818.75     0.031970    -0.056082     0.261961
49819.00    -0.022795    -0.303825     0.962610
49819.25     0.057396    -0.074941     0.509007
49819.50    -0.004368    -0.024331     0.813881
49819.75     0.117317     0.199128    -0.204587
49820.00     0.038442     0.038292     0.389790
49820.25     0.062738     0.220559     0.016166
49820.50    -0.084902     0.115890     0.621511
49820.75    -0.029252     0.160127    -0.025720
49821.00    -0.146286    -0.209024     0.969748
49821.25    -0.085470    -0.150094     0.740897
49821.50    -0.099475    -0.251777     1.296806
49821.75     0.087644    -0.181271     0.575079
49822.00     0.056911    -0.430038     1.346584
49822.25     0.082208    -0.326962     1.334466
49822.50    -0.013451    -0.331513     1.856109
49822.75    -0.014641    -0.238295     1.289877
49823.00    -0.120811    -0.416803     1.890701
49823.25    -0.103631    -0.266928     1.629410
49823.50    -0.234036    -0.268205     2.111438
49823.75    -0.187045    -0.192683     1.448901
49824.00    -0.211446    -0.327645     1.677380
49824.25    -0.100779    -0.156335     0.945532
49824.50    -0.099657    -0.097628     1.045453
49824.75    -0.024843    -0.042075     0.228819
49825.00    -0.060946    -0.219408     0.527307
49825.25    -0.039909    -0.194927     0.452932
49825.50    -0.239316    -0.259418     1.109555
49825.75    -0.311186    -0.291158     0.904033
49826.00    -0.427600    -0.591907     1.749676
49826.25    -0.362967    -0.502464     1.518624
49826.50    -0.418717    -0.499026     1.966100
49826.75    -0.274857    -0.303766     1.046623
49827.00    -0.316150    -0.491849     1.683581
49827.25    -0.213897    -0.362465     1.362777
49827.50    -0.324326    -0.401725     1.953160
49827.75    -0.207913    -0.290578     1.262300
49828.00    -0.143376    -0.577976     1.841615
49828.25     0.049291    -0.438830     1.366120
49828.50     0.131608    -0.437837     1.484776
49828.75     0.356614    -0.295639     0.425043
49829.00     0.426533    -0.353604     0.515597
49829.25     0.636062    -0.113106    -0.154755
49829.50     0.680966    -0.040001    -0.152167
49829.75     0.788980     0.082774    -0.988376
49830.00     0.706417    -0.124321    -0.376690
49830.25     0.739356     0.054445    -0.777701
49830.50     0.662969     0.049998    -0.312906
49830.75     0.654122     0.074695    -0.787536
49831.00     0.479815    -0.191480     0.096678
49831.25     0.488181    -0.037630    -0.209397
49831.50     0.372119    -0.092887     0.335934
49831.75     0.403149    -0.016588    -0.206620
49832.00     0.280931    -0.303267     0.698666
49832.25     0.306664    -0.111532     0.288875
49832.50     0.199475    -0.120472     0.722518
49832.75     0.225917    -0.067087     0.137569
49833.00     0.134595    -0.316223     0.837469
49833.25     0.210758    -0.152011     0.590123
49833.50     0.144427    -0.130790     0.898042
49833.75     0.210865     0.001415     0.200331
49834.00     0.131391    -0.234202     0.880213
49834.25     0.165324    -0.091519     0.577807
49834.50     0.049409    -0.070993     0.962725
49834.75     0.148940     0.051685     0.065180
49835.00     0.101757    -0.146579     0.587650
49835.25     0.188600    -0.059594     0.240879
49835.50     0.117168    -0.057274     0.617339
49835.75     0.186010    -0.069435     0.027344
49836.00     0.124420    -0.321520     0.791811
49836.25     0.216890    -0.147937     0.425434
49836.50     0.099632    -0.140715     0.884502
49836.75     0.150826    -0.042682     0.204720
49837.00     0.120236    -0.219482     0.647380
49837.25     0.189482    -0.038594     0.255294
49837.50     0.133212    -0.085113     0.658700
49837.75     0.256055     0.015411    -0.121030
49838.00     0.222148    -0.211721     0.508892
49838.25     0.210998     0.002018     0.164857
49838.50    -0.004145    -0.070917     0.908438
49838.75    -0.069232    -0.041780     0.560157
49839.00    -0.230224    -0.335336     1.413257
49839.25    -0.222950    -0.225883     1.058107
49839.50    -0.270200    -0.334188     1.465204
49839.75    -0.127175    -0.288010     0.809565
49840.00    -0.124680    -0.531697     1.300632
49840.25     0.039951    -0.358023     0.875987
49840.50     0.047027    -0.301998     0.965319
49840.75     0.154798    -0.167674     0.154358
49841.00     0.092670    -0.369187     0.635351
49841.25     0.119091    -0.148643     0.223097
49841.50     0.037894    -0.080000     0.575028
49841.75     0.115887     0.040156    -0.151003
49842.00    -0.015925    -0.188121     0.625843
49842.25    -0.040372    -0.038322     0.388818
49842.50    -0.146922    -0.020302     0.730004
49842.75    -0.166756     0.039340     0.205863
49843.00    -0.233044    -0.172108     0.657897
49843.25    -0.237815    -0.107209     0.653951
49843.50    -0.373327    -0.207989     1.350338
49843.75    -0.350024    -0.225177     0.966242
49844.00    -0.400598    -0.423204     1.558950
49844.25    -0.281814    -0.305487     1.292134
49844.50    -0.352713    -0.326936     1.723566
49844.75    -0.226340    -0.268898     1.128955
49845.00    -0.162093    -0.408282     1.386451
49845.25     0.002293    -0.272182     0.917953
49845.50    -0.036408    -0.302501     1.361821
49845.75     0.117337    -0.151563     0.462648
49846.00     0.105437    -0.351745     0.996860
49846.25     0.263325    -0.136068     0.213949
49846.50     0.183863    -0.116924     0.533384
49846.75     0.324962     0.039000    -0.549002
49847.00     0.219029    -0.219976     0.258407
49847.25     0.282581    -0.033199    -0.308071
49847.50     0.113197    -0.091880     0.372839
49847.75     0.126814     0.008486    -0.305721
49848.00    -0.014958    -0.259128     0.599108
49848.25    -0.060185    -0.174034     0.435742
49848.50    -0.264271    -0.267439     1.159946
49848.75    -0.275035    -0.266345     0.735147
49849.00    -0.438907    -0.610492     1.750360
49849.25    -0.452661    -0.567389     1.659363
49849.50    -0.547038    -0.667461     2.269103
49849.75    -0.476423    -0.683141     1.846526
49850.00    -0.544656    -0.916690     2.665362
49850.25    -0.548326    -0.780722     2.705651
49850.50    -0.626546    -0.814987     3.266381
49850.75    -0.557754    -0.674934     2.621961
49851.00    -0.513760    -0.787972     2.928784
49851.25    -0.309852    -0.458713     1.944239
49851.50    -0.330056    -0.303351     1.835486
49851.75    -0.172197    -0.072830     0.682092
49852.00    -0.251452    -0.236935     1.157627
49852.25    -0.169172    -0.075597     0.738102
49852.50    -0.311105    -0.048689     1.025118
49852.75    -0.214721    -0.029660     0.433323
49853.00    -0.330292    -0.364623     1.147293
49853.25    -0.284476    -0.342540     1.076221
49853.50    -0.433681    -0.410554     1.609308
49853.75    -0.384409    -0.393660     1.215637
49854.00    -0.475998    -0.658578     1.940956
49854.25    -0.331415    -0.511587     1.549087
49854.50    -0.307602    -0.528003     1.820340
49854.75    -0.166909    -0.400329     1.116176
49855.00    -0.124630    -0.557348     1.567890
49855.25     0.029508    -0.332198     1.126298
49855.50     0.066690    -0.261289     1.112894
49855.75     0.237947    -0.126724     0.289266
49856.00     0.220457    -0.317079     0.741735
49856.25     0.314547    -0.164694     0.447427
49856.50     0.281730    -0.128214     0.607745
49856.75     0.359394    -0.070750     0.081100
49857.00     0.250613    -0.311225     0.823052
49857.25     0.272662    -0.144434     0.535429
49857.50     0.197503    -0.138806     0.814147
49857.75     0.244772    -0.105021     0.335014
49858.00     0.174071    -0.306370     1.000560
49858.25     0.252484    -0.148993     0.746183
49858.50     0.202694    -0.110431     0.983004
49858.75     0.287074    -0.027949     0.332074
49859.00     0.178552    -0.241653     1.078493
49859.25     0.265629    -0.107311     0.762578
49859.50     0.144793    -0.119873     1.228018
49859.75     0.242140    -0.005362     0.490263
49860.00     0.203388    -0.220098     1.073665
49860.25     0.255254    -0.111039     0.755294
49860.50     0.216917    -0.085044     0.987021
49860.75     0.332525    -0.040721     0.332524
49861.00     0.295289    -0.240389     0.791352
49861.25     0.344327    -0.106350     0.516955
49861.50     0.300778    -0.036011     0.700679
49861.75     0.364781     0.053702     0.120793
49862.00     0.278256    -0.185567     0.889985
49862.25     0.358012    -0.022247     0.595414
49862.50     0.285574    -0.028393     1.038443
49862.75     0.330804     0.026550     0.515387
49863.00     0.284062    -0.190184     1.007812
49863.25     0.377167    -0.009786     0.474197
49863.50     0.249400    -0.084251     0.955629
49863.75     0.314627     0.014798     0.259797
49864.00     0.261117    -0.219492     0.823500
49864.25     0.334445    -0.048284     0.409834
49864.50     0.282815    -0.067527     0.790727
49864.75     0.315695     0.000701     0.258385
49865.00     0.273190    -0.235180     0.884840
49865.25     0.343328    -0.097913     0.510467
49865.50     0.274308    -0.082998     0.737890
49865.75     0.314864     0.016530     0.170075
49866.00     0.219031    -0.209189     0.853823
49866.25     0.275629    -0.021608     0.337566
49866.50     0.217256    -0.065894     0.717301
49866.75     0.248331     0.062061     0.007335
49867.00     0.141643    -0.151848     0.602898
49867.25     0.158713     0.046538     0.129760
49867.50     0.085825     0.032909     0.409461
49867.75     0.159623     0.128720    -0.361090
49868.00     0.060989    -0.158825     0.434145
49868.25     0.116115    -0.014626     0.180103
49868.50     0.062014    -0.040940     0.461180
49868.75     0.144238     0.048108    -0.163511
49869.00     0.099110    -0.226763     0.604597
49869.25     0.134956    -0.048112     0.284625
49869.50     0.032449    -0.097384     0.811857
49869.75     0.071086    -0.020619     0.329073
49870.00    -0.005488    -0.263899     1.022568
49870.25     0.011210    -0.171760     0.948881
49870.50    -0.022160    -0.179924     1.207642
49870.75    -0.005512    -0.118411     0.726542
49871.00    -0.035621    -0.373564     1.301257
49871.25     0.036498    -0.236855     0.976608
49871.50     0.068778    -0.151622     0.986981
49871.75     0.105945    -0.089382     0.499539
49872.00     0.102240    -0.257126     0.856358
49872.25     0.137825    -0.080845     0.540379
49872.50     0.069141    -0.063757     0.758430
49872.75     0.094168     0.033796     0.118655
49873.00    -0.028410    -0.225400     0.803514
49873.25    -0.073308    -0.148994     0.676248
49873.50    -0.198578    -0.237769     1.162946
49873.75    -0.232298    -0.245757     0.751973
49874.00    -0.321328    -0.596237     1.534546
