"Period","All banks","Negative income","0-4 percent","5-9 percent","10-4 percent","15-19 percent","20-24 percent","25 percent and over","Return on equity - Agricultural banks","Return on equity - Other Small Banks","Return to assets - Agricultural banks","Return to assets - Other small banks","Net charge-offs - Agriculturalbanks","Net charge-offs - Other small banks","Average capital ratio - Agricultural banks","Average capital ratio - Other small banks"
"2001",100,3.1,12.6,37.6,28.6,13.1,3.7,1.3,10.8,10.4,1.1,1,0.3,0.3,10.7,10.4
"2002",100,3,10.7,35.1,31.4,13.5,4.6,1.7,11.5,10.6,1.2,1.1,0.4,0.3,11,10.6
"2003",100,2.7,12.2,36.6,29.3,12.9,4.4,1.8,11.2,10.7,1.2,1.1,0.4,0.3,10.8,10.6
"1988Q1",.,.,.,.,.,.,.,.,3,2,0.3,0.2,0.1,0.2,10,8.9
"1988Q2",.,.,.,.,.,.,.,.,5,5,0.5,0.4,0.3,0.5,10.1,8.8
"1988Q3",.,.,.,.,.,.,.,.,8,7,0.8,0.6,0.5,0.5,10.3,8.9
"1988Q4",.,.,.,.,.,.,.,.,10,9,0.9,0.7,0.7,0.7,9.9,8.8
"1989Q1",.,.,.,.,.,.,.,.,3,3,0.3,0.3,0.1,0.1,10.2,8.9
"1989Q2",.,.,.,.,.,.,.,.,6,6,0.6,0.4,0.2,0.3,10.4,9.1
"1989Q3",.,.,.,.,.,.,.,.,9,8,0.9,0.7,0.3,0.4,10.4,9.1
"1989Q4",.,.,.,.,.,.,.,.,11,10,1,0.8,0.6,0.7,10.1,9
"1990Q1",.,.,.,.,.,.,.,.,3,3,0.3,0.2,0.1,0.1,10.2,9
"1990Q2",.,.,.,.,.,.,.,.,5.6,5,0.5,0.4,0.2,0.3,10.2,9
"1990Q3",.,.,.,.,.,.,.,.,8.5,7.2,0.8,0.6,0.3,0.5,10.3,9.1
"1990Q4",.,.,.,.,.,.,.,.,10.8,8.5,1,0.7,0.4,0.7,9.9,9
"1991Q1",.,.,.,.,.,.,.,.,2.9,2.4,0.3,0.2,0.1,0.2,10.1,9.1
"1991Q2",.,.,.,.,.,.,.,.,5.7,5.2,0.5,0.4,0.2,0.4,10.2,9.1
"1991Q3",.,.,.,.,.,.,.,.,8.5,7.4,0.8,0.6,0.2,0.5,10.3,9.2
"1991Q4",.,.,.,.,.,.,.,.,10.9,8.8,1,0.7,0.4,0.8,10.1,9.2
"1992Q1",.,.,.,.,.,.,.,.,3.4,3,0.3,0.2,0.1,0.1,10.3,9.3
"1992Q2",.,.,.,.,.,.,.,.,6.6,6,0.6,0.5,0.2,0.3,10.5,9.5
"1992Q3",.,.,.,.,.,.,.,.,9.9,8.8,1,0.8,0.2,0.4,10.7,9.6
"1992Q4",.,.,.,.,.,.,.,.,12.5,11.3,1.2,1,0.4,0.7,10.4,9.5
"1993Q1",.,.,.,.,.,.,.,.,3.5,3.6,0.3,0.3,0,0.1,10.7,9.8
"1993Q2",.,.,.,.,.,.,.,.,6.8,6.8,0.7,0.6,0.1,0.2,10.9,9.9
"1993Q3",.,.,.,.,.,.,.,.,9.9,9.8,1,0.9,0.1,0.3,11,10
"1993Q4",.,.,.,.,.,.,.,.,12.3,12.3,1.2,1.1,0.2,0.4,10.8,9.9
"1994Q1",.,.,.,.,.,.,.,.,3,3.1,0.3,0.3,0,0,11,10
"1994Q2",.,.,.,.,.,.,.,.,6.2,6.2,0.6,0.6,0.1,0.1,11,10
"1994Q3",.,.,.,.,.,.,.,.,9.2,9.5,0.9,0.9,0.1,0.2,11,10.1
"1994Q4",.,.,.,.,.,.,.,.,11.8,12.5,1.2,1.1,0.2,0.3,10.7,9.9
"1995Q1",.,.,.,.,.,.,.,.,2.9,3.1,0.3,0.3,0,0.1,11.1,10.3
"1995Q2",.,.,.,.,.,.,.,.,5.8,6.1,0.6,0.6,0.1,0.1,11.3,10.4
"1995Q3",.,.,.,.,.,.,.,.,8.8,9.4,0.9,0.9,0.1,0.2,11.4,10.4
"1995Q4",.,.,.,.,.,.,.,.,11.2,12.1,1.2,1.2,0.2,0.3,11.2,10.4
"1996Q1",.,.,.,.,.,.,.,.,3.1,3.3,0.3,0.3,0,0.1,11.1,10.4
"1996Q2",.,.,.,.,.,.,.,.,6.1,6.5,0.6,0.6,0.1,0.1,11,10.4
"1996Q3",.,.,.,.,.,.,.,.,9.2,9.5,0.9,0.9,0.2,0.2,11.1,10.4
"1996Q4",.,.,.,.,.,.,.,.,11.4,12.3,1.2,1.2,0.2,0.3,10.9,10.4
"1997Q1",.,.,.,.,.,.,.,.,3,3.2,0.3,0.3,0,0.1,11,10.5
"1997Q2",.,.,.,.,.,.,.,.,6,6.4,0.6,0.6,0.1,0.1,11.2,10.6
"1997Q3",.,.,.,.,.,.,.,.,9,9.6,1,1,0.2,0.2,11.3,10.7
"1997Q4",.,.,.,.,.,.,.,.,11.4,12.3,1.2,1.2,0.2,0.3,11,10.5
"1998Q1",.,.,.,.,.,.,.,.,3,3.3,0.3,0.3,0,0.1,11.2,10.5
"1998Q2",.,.,.,.,.,.,.,.,6.1,6.4,0.6,0.6,0.1,0.1,11.2,10.7
"1998Q3",.,.,.,.,.,.,.,.,8.9,9.1,1,0.9,0.1,0.2,11.4,10.8
"1998Q4",.,.,.,.,.,.,.,.,11.3,11.7,1.2,1.2,0.2,0.3,10.9,10.5
"1999Q1",.,.,.,.,.,.,.,.,2.9,3,0.3,0.3,0,0.1,11,10.5
"1999Q2",.,.,.,.,.,.,.,.,6,6.1,0.6,0.6,0.1,0.1,10.8,10.4
"1999Q3",.,.,.,.,.,.,.,.,9.1,8.9,0.9,0.9,0.2,0.2,10.8,10.4
"1999Q4",.,.,.,.,.,.,.,.,11.8,11.9,1.2,1.1,0.3,0.3,10.5,10.3
"2000Q1",.,.,.,.,.,.,.,.,3.2,3.1,0.3,0.3,0,0.1,10.5,10.2
"2000Q2",.,.,.,.,.,.,.,.,6.5,6.1,0.6,0.6,0.1,0.1,10.6,10.3
"2000Q3",.,.,.,.,.,.,.,.,9.3,8.9,0.9,0.9,0.1,0.2,10.7,10.4
"2000Q4",.,.,.,.,.,.,.,.,11.7,11.4,1.2,1.1,0.3,0.3,10.7,10.4
"2001Q1",.,.,.,.,.,.,.,.,2.8,2.8,0.3,0.3,0,0.1,11,10.5
"2001Q2",.,.,.,.,.,.,.,.,5.6,5.4,0.6,0.5,0.1,0.1,11,10.5
"2001Q3",.,.,.,.,.,.,.,.,8.2,7.9,0.9,0.8,0.2,0.2,11.2,10.6
"2001Q4",.,.,.,.,.,.,.,.,10.8,10.4,1.1,1,0.3,0.3,10.7,10.4
"2002Q1",.,.,.,.,.,.,.,.,3,2.9,0.3,0.3,0.1,0.1,10.8,10.4
"2002Q2",.,.,.,.,.,.,.,.,6,5.6,0.6,0.6,0.1,0.1,11.1,10.6
"2002Q3",.,.,.,.,.,.,.,.,8.9,8.3,0.9,0.8,0.2,0.2,11.2,10.7
"2002Q4",.,.,.,.,.,.,.,.,11.5,10.6,1.2,1.1,0.4,0.3,11,10.6
"2003Q1",.,.,.,.,.,.,.,.,3,2.9,0.3,0.3,0.1,0.1,11,10.6
"2003Q2",.,.,.,.,.,.,.,.,6,5.6,0.6,0.6,0.1,0.1,11.1,10.6
"2003Q3",.,.,.,.,.,.,.,.,8.9,8.5,0.9,0.8,0.2,0.2,11,10.7
"2003Q4",.,.,.,.,.,.,.,.,11.2,10.7,1.2,1.1,0.4,0.3,10.8,10.6
"2004Q1",.,.,.,.,.,.,.,.,2.9,2.7,0.3,0.3,0.1,0.1,11,10.7
