-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
DUCK        49718.000    1995     1     1     0
DUCK        52274.750    2001    12    31    18
DUCK      1268587.191 -4995511.561  3744508.588
49770.75    -0.134561    -0.101009     0.004443
49771.00    -0.143333     0.019965     0.279635
49771.25    -0.141731    -0.032422     0.243547
49771.50    -0.147042    -0.032722     0.350379
49771.75    -0.124654    -0.039367     0.185598
49772.00    -0.123928     0.043890     0.474446
49772.25    -0.143305    -0.013860     0.573635
49772.50    -0.098552    -0.115838     0.491658
49772.75     0.004151    -0.341554    -0.477227
49773.00     0.030027    -0.381616    -0.757536
49773.25    -0.000307    -0.462227    -0.983619
49773.50     0.005170    -0.504001    -1.166481
49773.75     0.070523    -0.476013    -1.432130
49774.00     0.112278    -0.234241    -0.978353
49774.25     0.194210    -0.266828    -1.179190
49774.50     0.303955    -0.314945    -1.274718
49774.75     0.493471    -0.379913    -1.909230
49775.00     0.598568    -0.301990    -1.829622
49775.25     0.624957    -0.427363    -2.023387
49775.50     0.588461    -0.438042    -1.790313
49775.75     0.580806    -0.464176    -1.919016
49776.00     0.557158    -0.334970    -1.365343
49776.25     0.523035    -0.316782    -1.058825
49776.50     0.489163    -0.267532    -0.683964
49776.75     0.593417    -0.315562    -1.058101
49777.00     0.615966    -0.227296    -0.806978
49777.25     0.598106    -0.230377    -0.675726
49777.50     0.603935    -0.208735    -0.418986
49777.75     0.594643    -0.322276    -0.905445
49778.00     0.510229    -0.309267    -0.864527
49778.25     0.461369    -0.424643    -1.120090
49778.50     0.478883    -0.498647    -1.270616
49778.75     0.497604    -0.593694    -1.920062
49779.00     0.465919    -0.462191    -1.664022
49779.25     0.464161    -0.546122    -1.792182
49779.50     0.467674    -0.575414    -1.833488
49779.75     0.491272    -0.641873    -2.319115
49780.00     0.498575    -0.551784    -2.035555
49780.25     0.541299    -0.585583    -2.065022
49780.50     0.620133    -0.565778    -1.987481
49780.75     0.730000    -0.604157    -2.557117
49781.00     0.734585    -0.449511    -2.288670
49781.25     0.726820    -0.451404    -2.357843
49781.50     0.716120    -0.362547    -2.166292
49781.75     0.693404    -0.228677    -2.134205
49782.00     0.582407    -0.009763    -1.440882
49782.25     0.526955    -0.019939    -1.158893
49782.50     0.497255    -0.020198    -0.766977
49782.75     0.581395    -0.093952    -1.200629
49783.00     0.614324     0.014238    -0.871897
49783.25     0.610706    -0.039749    -0.833258
49783.50     0.550761    -0.010143    -0.481432
49783.75     0.519700    -0.081083    -0.672823
49784.00     0.355338     0.016340    -0.044347
49784.25     0.237008    -0.062873     0.282458
49784.50     0.200251    -0.030177     0.649901
49784.75     0.282508    -0.078588     0.258355
49785.00     0.255115    -0.009270     0.307972
49785.25     0.260575    -0.300387    -0.420356
49785.50     0.220665    -0.460578    -0.873904
49785.75     0.246302    -0.568131    -1.597943
49786.00     0.242809    -0.496447    -1.673184
49786.25     0.183387    -0.602603    -1.853938
49786.50     0.169729    -0.676636    -2.054104
49786.75     0.149580    -0.668866    -2.329384
49787.00     0.048049    -0.500439    -1.899350
49787.25    -0.030731    -0.472551    -1.678020
49787.50    -0.047456    -0.456680    -1.627744
49787.75    -0.060912    -0.417335    -1.842746
49788.00    -0.104327    -0.215861    -1.287786
49788.25    -0.088177    -0.282278    -1.397321
49788.50    -0.044798    -0.363961    -1.574322
49788.75     0.027023    -0.422851    -1.895793
49789.00     0.073488    -0.351796    -1.505611
49789.25     0.188988    -0.512573    -1.736295
49789.50     0.311205    -0.614026    -1.842431
49789.75     0.405247    -0.638242    -2.244694
49790.00     0.462989    -0.492196    -1.851537
49790.25     0.569260    -0.550229    -1.972880
49790.50     0.655785    -0.550869    -2.030951
49790.75     0.752682    -0.558216    -2.541218
49791.00     0.684377    -0.372880    -2.071662
49791.25     0.604752    -0.339245    -1.862116
49791.50     0.521267    -0.286032    -1.561620
49791.75     0.475791    -0.239785    -1.624532
49792.00     0.381193    -0.055344    -0.940500
49792.25     0.354849    -0.092160    -0.852216
49792.50     0.360382    -0.082888    -0.626956
49792.75     0.381050    -0.090399    -0.997609
49793.00     0.347133     0.033743    -0.714863
49793.25     0.335957    -0.103235    -1.016626
49793.50     0.291727    -0.110220    -0.865501
49793.75     0.271864    -0.105770    -1.225191
49794.00     0.245793     0.043347    -0.940439
49794.25     0.277733    -0.051090    -1.262505
49794.50     0.227520    -0.057865    -1.224958
49794.75     0.165758    -0.063661    -1.563143
49795.00     0.005494     0.162366    -0.868721
49795.25    -0.098344     0.164032    -0.799611
49795.50    -0.169267     0.222804    -0.469020
49795.75    -0.231033     0.294340    -0.525452
49796.00    -0.357611     0.495448     0.195271
49796.25    -0.447005     0.463263     0.440502
49796.50    -0.598425     0.544034     1.047570
49796.75    -0.746936     0.652135     1.347260
49797.00    -0.917727     0.918526     2.409807
49797.25    -0.979813     0.915839     2.824671
49797.50    -1.075005     0.983512     3.427509
49797.75    -1.014247     0.950319     3.206195
49798.00    -0.978568     1.068207     3.596733
49798.25    -0.952982     1.025469     3.683024
49798.50    -0.933377     1.044132     3.838963
49798.75    -0.774399     1.053237     3.548967
49799.00    -0.604966     1.048296     3.433932
49799.25    -0.520664     0.863677     2.948219
49799.50    -0.399458     0.842407     2.823214
49799.75    -0.224399     0.836891     2.393901
49800.00    -0.142602     0.887998     2.382794
49800.25    -0.047272     0.602608     1.619817
49800.50     0.007893     0.456738     1.191133
49800.75     0.057480     0.396265     0.592156
49801.00     0.117281     0.474897     0.687877
49801.25     0.221281     0.168980    -0.001618
49801.50     0.235436     0.012976    -0.262767
49801.75     0.253983    -0.037737    -0.580052
49802.00     0.283704     0.068399    -0.256306
49802.25     0.345244    -0.100675    -0.660484
49802.50     0.424314    -0.212855    -1.027117
49802.75     0.458652    -0.213952    -1.343954
49803.00     0.475744    -0.067944    -0.974298
49803.25     0.509105    -0.076055    -1.015865
49803.50     0.529031    -0.006247    -0.858441
49803.75     0.568454     0.011598    -1.235535
49804.00     0.547838     0.109629    -0.985036
49804.25     0.541320    -0.027502    -1.143934
49804.50     0.475092    -0.055562    -0.920555
49804.75     0.418014    -0.046766    -1.058984
49805.00     0.323429     0.019549    -0.690138
49805.25     0.264075    -0.123078    -0.848839
49805.50     0.176380    -0.138664    -0.694132
49805.75     0.113727    -0.106010    -0.671323
49806.00     0.023433     0.009036    -0.125984
49806.25    -0.044605    -0.012782     0.033594
49806.50    -0.127247     0.021494     0.420697
49806.75    -0.150442     0.045970     0.250439
49807.00    -0.183265     0.209901     0.785799
49807.25    -0.198509     0.091258     0.620442
49807.50    -0.274260     0.047066     0.609385
49807.75    -0.256689     0.098676     0.442519
49808.00    -0.283300     0.291613     0.997332
49808.25    -0.270377     0.211214     0.756430
49808.50    -0.299803     0.228307     0.710856
49808.75    -0.309544     0.258657     0.377983
49809.00    -0.322592     0.413531     0.742850
49809.25    -0.303012     0.312404     0.474447
49809.50    -0.287324     0.255803     0.407502
49809.75    -0.214962     0.156791    -0.189710
49810.00    -0.204569     0.219882    -0.018343
49810.25    -0.197956     0.054869    -0.367640
49810.50    -0.193735    -0.064739    -0.530323
49810.75    -0.246062    -0.116248    -0.677507
49811.00    -0.285105    -0.024045    -0.232716
49811.25    -0.398372    -0.025047     0.124169
49811.50    -0.533801     0.051910     0.729608
49811.75     0.087743    -0.756435     1.628255
49812.00    -0.365243     0.228999     0.963875
49812.25    -0.246331     0.007738     0.357587
49812.50    -0.238253    -0.072712     0.157814
49812.75    -0.237133    -0.038854    -0.090835
49813.00    -0.192878     0.149711     0.315608
49813.25    -0.131732     0.128997     0.170401
49813.50    -0.120606     0.175592     0.280832
49813.75    -0.155608     0.259366     0.337777
49814.00    -0.173461     0.407416     0.765036
49814.25    -0.109508     0.343334     0.619303
49814.50    -0.061180     0.331764     0.512622
49814.75    -0.017653     0.373311     0.172789
49815.00    -0.039848     0.508693     0.432107
49815.25    -0.101414     0.432913     0.333913
49815.50    -0.135859     0.437879     0.401026
49815.75    -0.212649     0.542160     0.524040
49816.00    -0.253084     0.759023     1.232956
49816.25    -0.233442     0.616041     1.082718
49816.50    -0.222050     0.628658     1.280398
49816.75    -0.171924     0.655784     1.101955
49817.00    -0.062624     0.705648     1.269123
49817.25     0.178487     0.408558     0.394575
49817.50     0.377994     0.197239    -0.353313
49817.75     0.481693     0.037610    -1.181867
49818.00     0.449614     0.104555    -0.974917
49818.25     0.416264    -0.104718    -1.346967
49818.50     0.410457    -0.129882    -1.244706
49818.75     0.369235    -0.130616    -1.382230
49819.00     0.229266    -0.035724    -0.838311
49819.25     0.134499    -0.083160    -0.554164
49819.50     0.060420    -0.107428    -0.265537
49819.75    -0.011276    -0.071149    -0.169103
49820.00    -0.125595     0.073784     0.590620
49820.25    -0.200424     0.016158     0.874109
49820.50    -0.249443     0.085794     1.301064
49820.75    -0.187330     0.152970     1.218315
49821.00    -0.105830     0.307643     1.536966
49821.25    -0.043472     0.137195     1.004439
49821.50     0.025835     0.146754     0.899588
49821.75     0.162482     0.210680     0.644267
49822.00     0.282650     0.319773     0.759463
49822.25     0.330363     0.126716     0.309732
49822.50     0.346584     0.050805     0.166216
49822.75     0.319012     0.099897    -0.026521
49823.00     0.303661     0.267335     0.380159
49823.25     0.301899     0.169912     0.072062
49823.50     0.336679     0.128990    -0.154759
49823.75     0.382681     0.178989    -0.518386
49824.00     0.416500     0.311928    -0.294504
49824.25     0.458115     0.247172    -0.466664
49824.50     0.468404     0.223938    -0.554375
49824.75     0.462181     0.312570    -0.697849
49825.00     0.424775     0.440561    -0.411328
49825.25     0.403781     0.407938    -0.464335
49825.50     0.360976     0.422844    -0.477901
49825.75     0.263640     0.484317    -0.509123
49826.00     0.088779     0.665769     0.325236
49826.25    -0.024532     0.568172     0.558681
49826.50    -0.114954     0.531461     0.961353
49826.75    -0.085125     0.551564     1.034876
49827.00    -0.016308     0.651953     1.406750
49827.25     0.083985     0.495832     1.093906
49827.50     0.174304     0.432341     0.825348
49827.75     0.246719     0.390778     0.359416
49828.00     0.262903     0.523374     0.797703
49828.25     0.267874     0.452613     0.908993
49828.50     0.208709     0.453990     1.164250
49828.75     0.152282     0.436498     1.229671
49829.00     0.122501     0.386628     1.481438
49829.25     0.149694     0.106368     1.130187
49829.50     0.205185    -0.042989     0.879932
49829.75     0.273557    -0.045152     0.576367
49830.00     0.354571     0.039410     0.759186
49830.25     0.444222    -0.089703     0.484401
49830.50     0.424529    -0.129152     0.352655
49830.75     0.396511    -0.012905     0.294301
49831.00     0.339109     0.270747     1.087901
49831.25     0.342426     0.372865     1.449820
49831.50     0.321263     0.450316     1.662098
49831.75     0.338744     0.435665     1.292946
49832.00     0.297542     0.431194     1.223840
49832.25     0.286094     0.180681     0.528658
49832.50     0.316546     0.025548    -0.056625
49832.75     0.346357     0.014870    -0.555234
49833.00     0.324733     0.075975    -0.445804
49833.25     0.387710    -0.097029    -0.877655
49833.50     0.452261    -0.174982    -1.179941
49833.75     0.520651    -0.132005    -1.459290
49834.00     0.508771     0.021638    -1.067170
49834.25     0.496028    -0.022081    -1.160459
49834.50     0.469288    -0.036623    -1.056744
49834.75     0.413345     0.020252    -1.030578
49835.00     0.354913     0.168564    -0.453329
49835.25     0.305771     0.142347    -0.316527
49835.50     0.355399     0.121819    -0.226587
49835.75     0.363487     0.158255    -0.401497
49836.00     0.366437     0.281601     0.062584
49836.25     0.376140     0.140763    -0.143810
49836.50     0.377807     0.071247    -0.272229
49836.75     0.367255     0.071066    -0.601690
49837.00     0.316328     0.179526    -0.206206
49837.25     0.265828     0.130151    -0.109331
49837.50     0.246349     0.162179     0.192367
49837.75     0.283068     0.259197     0.279125
49838.00     0.289849     0.342371     0.658748
49838.25     0.271172     0.237600     0.507481
49838.50     0.225261     0.213329     0.452573
49838.75     0.190792     0.280480     0.345647
49839.00     0.094681     0.495212     1.007018
49839.25     0.044340     0.547719     1.313135
49839.50     0.047260     0.650263     1.716720
49839.75     0.067943     0.562968     1.249191
49840.00     0.062779     0.490069     1.107484
49840.25     0.096358     0.228928     0.591334
49840.50     0.127896     0.056827     0.140257
49840.75     0.186461    -0.021590    -0.440404
49841.00     0.173997     0.014252    -0.306424
49841.25     0.193454    -0.156107    -0.671199
49841.50     0.212775    -0.236863    -0.876144
49841.75     0.229291    -0.221989    -1.041656
49842.00     0.176368    -0.079063    -0.550583
49842.25     0.125328    -0.082518    -0.307571
49842.50     0.123878    -0.062117    -0.189265
49842.75     0.147484    -0.032386    -0.456037
49843.00     0.100540     0.093300    -0.151445
49843.25     0.086473    -0.074773    -0.535920
49843.50     0.119115    -0.118068    -0.762436
49843.75     0.182728    -0.009488    -0.954814
49844.00     0.225577     0.125953    -0.679764
49844.25     0.286687    -0.004253    -0.912730
49844.50     0.330580    -0.036955    -1.017427
49844.75     0.355263     0.031571    -1.081826
49845.00     0.352258     0.199598    -0.532010
49845.25     0.449726     0.122849    -0.614071
49845.50     0.496359     0.097486    -0.670174
49845.75     0.529009     0.117245    -0.865350
49846.00     0.475509     0.231696    -0.486929
49846.25     0.435229     0.128004    -0.571319
49846.50     0.432183     0.118104    -0.660753
49846.75     0.369727     0.174057    -0.645168
49847.00     0.253544     0.332310     0.011864
49847.25     0.189771     0.365528     0.303903
49847.50     0.122203     0.410597     0.588495
49847.75     0.082992     0.498717     0.528553
49848.00    -0.001517     0.676432     1.131727
49848.25    -0.103985     0.649772     1.356122
49848.50    -0.187623     0.680811     1.582925
49848.75    -0.185570     0.750298     1.479034
49849.00    -0.217954     0.886456     1.891627
49849.25    -0.240806     0.803639     1.890595
49849.50    -0.216023     0.779196     1.829129
49849.75    -0.158374     0.820161     1.580105
49850.00    -0.132129     0.902238     1.852631
49850.25    -0.051243     0.785837     1.627425
49850.50     0.054680     0.715264     1.349139
49850.75     0.117650     0.695927     0.892585
49851.00     0.098294     0.728010     1.150633
49851.25     0.073073     0.510707     0.794811
49851.50     0.018762     0.411231     0.717810
49851.75    -0.009794     0.343216     0.527460
49852.00    -0.096634     0.440503     0.987267
49852.25    -0.108243     0.309395     0.813280
49852.50    -0.077042     0.268495     0.698792
49852.75    -0.008701     0.306077     0.322577
49853.00    -0.052315     0.489475     0.730998
49853.25    -0.032367     0.379004     0.413031
49853.50    -0.025403     0.368623     0.375222
49853.75    -0.067307     0.416728     0.270914
49854.00    -0.198470     0.655580     1.188341
49854.25    -0.262722     0.660392     1.634952
49854.50    -0.317916     0.711285     2.127941
49854.75    -0.340091     0.715668     2.243643
49855.00    -0.336954     0.772613     2.735425
49855.25    -0.293810     0.630169     2.680400
49855.50    -0.265727     0.596913     2.656153
49855.75    -0.190266     0.544220     2.331393
49856.00    -0.162710     0.642067     2.663468
49856.25    -0.138182     0.556906     2.675902
49856.50    -0.143851     0.517663     2.654822
49856.75    -0.053494     0.492774     2.302169
49857.00    -0.011604     0.527694     2.357856
49857.25    -0.018302     0.313399     1.938221
49857.50    -0.005410     0.232991     1.726992
49857.75     0.007255     0.237538     1.430077
49858.00    -0.023754     0.333071     1.675496
49858.25    -0.000124     0.154654     1.313580
49858.50     0.047600     0.072294     1.057922
49858.75     0.111520     0.034588     0.647663
49859.00     0.121173     0.132125     0.871827
49859.25     0.227620    -0.053439     0.371521
49859.50     0.319128    -0.154983    -0.079340
49859.75     0.420444    -0.204815    -0.638012
49860.00     0.426103    -0.131292    -0.571101
49860.25     0.447076    -0.216395    -0.741978
49860.50     0.469027    -0.321667    -1.062055
49860.75     0.465930    -0.297323    -1.242872
49861.00     0.385400    -0.172917    -0.736811
49861.25     0.351823    -0.244902    -0.577106
49861.50     0.345638    -0.334599    -0.669612
49861.75     0.395166    -0.314072    -0.792659
49862.00     0.400116    -0.159470    -0.315735
49862.25     0.438022    -0.273273    -0.489103
49862.50     0.513281    -0.281173    -0.582519
49862.75     0.606612    -0.208270    -0.835056
49863.00     0.562124    -0.062423    -0.526485
49863.25     0.599053    -0.198872    -0.852348
49863.50     0.604720    -0.214905    -0.923330
49863.75     0.653242    -0.152778    -1.113287
49864.00     0.617436     0.003366    -0.641571
49864.25     0.647761    -0.112566    -0.852402
49864.50     0.677530    -0.123432    -0.874297
49864.75     0.662037    -0.109005    -1.090333
49865.00     0.569416    -0.009852    -0.700432
49865.25     0.521592    -0.100752    -0.791438
49865.50     0.488000    -0.130933    -0.794005
49865.75     0.447743    -0.170927    -1.014957
49866.00     0.270093    -0.047464    -0.322619
49866.25     0.140822    -0.109961    -0.047624
49866.50     0.036982    -0.159205     0.143890
49866.75     0.004623    -0.128448     0.097658
49867.00    -0.066124    -0.008121     0.505596
49867.25    -0.052479    -0.087183     0.359493
49867.50    -0.009663    -0.089893     0.298773
49867.75     0.028748    -0.031674     0.143164
49868.00     0.003696     0.093262     0.462482
49868.25     0.019731    -0.019676     0.177121
49868.50     0.028887    -0.052696     0.015500
49868.75     0.074058    -0.033564    -0.265566
49869.00     0.061368     0.115289     0.145810
49869.25     0.103446    -0.004111    -0.075226
49869.50     0.161757    -0.019103    -0.178014
49869.75     0.216134    -0.016564    -0.508957
49870.00     0.208148     0.095112    -0.170690
49870.25     0.245374     0.024215    -0.293265
49870.50     0.287993     0.019886    -0.342929
49870.75     0.303972     0.043052    -0.527387
49871.00     0.237242     0.168228    -0.083459
49871.25     0.218351     0.062113    -0.126978
49871.50     0.249468     0.007928    -0.203575
49871.75     0.259328     0.021340    -0.376526
49872.00     0.223381     0.115389    -0.100587
49872.25     0.220883     0.007913    -0.197439
49872.50     0.289904    -0.038205    -0.368818
49872.75     0.304118    -0.013320    -0.674694
49873.00     0.217896     0.135217    -0.212183
49873.25     0.156342     0.150485    -0.063297
49873.50     0.120263     0.221282     0.135731
