-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
lbch        49718.000    1995     1     1     0
lbch        52274.750    2001    12    31    18
lbch     -2507798.449 -4676370.054  3526890.666
49736.50    -1.751834     0.235511     0.342919
49736.75    -1.855784     0.416341    -0.407187
49737.00    -2.060815     0.285957     0.381283
49737.25    -2.270807     0.312190     0.315490
49737.50    -2.222815    -0.040640     0.901697
49737.75    -2.235499     0.345050    -0.143578
49738.00    -2.137602     0.298157     0.560192
49738.25    -2.106840     0.340464     0.412530
49738.50    -1.927136     0.030521     0.868066
49738.75    -1.803630     0.391437    -0.285318
49739.00    -1.636385     0.367803     0.353404
49739.25    -1.759138     0.460971     0.089106
49739.50    -1.479410     0.224471     0.202014
49739.75    -1.303211     0.541365    -0.866169
49740.00    -1.092004     0.465032    -0.122424
49740.25    -1.260017     0.527625    -0.247496
49740.50    -1.081384     0.205568     0.368692
49740.75    -1.035577     0.477622    -0.561394
49741.00    -1.140916     0.293619     0.519287
49741.25    -1.331244     0.412409     0.204670
49741.50    -1.268255     0.111561     0.831981
49741.75    -1.412905     0.492950    -0.229968
49742.00    -1.345163     0.468399     0.397149
49742.25    -1.547934     0.527613     0.513715
49742.50    -1.442806     0.179025     1.396364
49742.75    -1.599382     0.477981     0.581750
49743.00    -1.519515     0.419828     1.165506
49743.25    -1.675806     0.631198     0.322184
49743.50    -1.502187     0.409650     0.260784
49743.75    -1.428981     0.789606    -1.197167
49744.00    -1.246914     0.708093    -0.655040
49744.25    -1.553454     0.780431    -1.047439
49744.50    -1.439290     0.451055    -0.683426
49744.75    -1.404826     0.814377    -1.727865
49745.00    -1.314926     0.838884    -1.575928
49745.25    -1.445960     0.989276    -2.186928
49745.50    -1.058363     0.733542    -1.960568
49745.75    -0.961258     1.141891    -2.984981
49746.00    -0.818005     1.148760    -2.256026
49746.25    -0.908624     1.306784    -2.359494
49746.50    -0.705224     1.128942    -1.842260
49746.75    -0.599113     1.598184    -2.874376
49747.00    -0.462016     1.613258    -2.123732
49747.25    -0.702938     1.792727    -2.474556
49747.50    -0.659980     1.603851    -1.986413
49747.75    -0.747171     1.921003    -2.745814
49748.00    -0.737397     1.863397    -1.861037
49748.25    -1.071098     1.903224    -1.783789
49748.50    -1.092700     1.642999    -1.068776
49748.75    -1.047029     1.888114    -1.882346
49749.00    -0.941424     1.855503    -1.214810
49749.25    -1.039471     1.844297    -1.392534
49749.50    -0.923349     1.384597    -0.765096
49749.75    -0.762518     1.624339    -1.762466
49750.00    -0.593047     1.365566    -0.848584
49750.25    -0.553992     1.256184    -1.110599
49750.50    -0.418343     0.869281    -0.917678
49750.75    -0.356093     1.076206    -2.337007
49751.00    -0.208985     0.945865    -2.016445
49751.25    -0.299750     0.926951    -2.497116
49751.50    -0.045814     0.623511    -2.430447
49751.75     0.144916     0.934107    -3.624002
49752.00     0.373339     0.868507    -2.941490
49752.25     0.333834     0.817573    -3.142540
49752.50     0.653191     0.381157    -2.544418
49752.75     0.801156     0.549413    -3.148673
49753.00     0.933932     0.415359    -2.083559
49753.25     0.830032     0.471992    -1.970074
49753.50     1.292220     0.167420    -1.290772
49753.75     1.544602     0.527257    -2.274823
49754.00     1.692633     0.429983    -1.243618
49754.25     1.810569     0.427517    -1.195804
49754.50     2.018556    -0.017124    -0.396285
49754.75     2.088771     0.166541    -1.165154
49755.00     2.302117    -0.018198    -0.109935
49755.25     2.163785    -0.015716    -0.171815
49755.50     2.340536    -0.429578     0.441518
49755.75     2.229421    -0.108117    -0.501828
49756.00     2.188982    -0.144115     0.263250
49756.25     1.825504    -0.112297     0.130740
49756.50     1.998803    -0.437899     0.701873
49756.75     2.041457    -0.145400    -0.361889
49757.00     2.069752    -0.224638     0.386015
49757.25     1.933879    -0.195427     0.213362
49757.50     2.056896    -0.491409     0.632182
49757.75     2.007677    -0.143935    -0.733436
49758.00     1.974236    -0.242730     0.123529
49758.25     1.576427    -0.185838    -0.235914
49758.50     1.502881    -0.537533     0.477496
49758.75     1.231594    -0.210794    -0.438797
49759.00     1.050398    -0.301468     0.612533
49759.25     0.540576    -0.190083     0.493556
49759.50     0.379933    -0.416135     0.974132
49759.75     0.070245    -0.003704    -0.093487
49760.00    -0.274674    -0.083374     1.021615
49760.25    -0.933696     0.074787     0.979775
49760.50    -1.109749    -0.169772     1.540923
49760.75    -1.363727     0.334173     0.538483
49761.00    -1.673105     0.291441     1.567627
49761.25    -1.935303     0.413060     1.532219
49761.50    -1.824777     0.085581     2.248274
49761.75    -1.822527     0.347859     1.439322
49762.00    -1.918593     0.184257     2.739733
49762.25    -1.973749     0.163278     2.917191
49762.50    -1.897684    -0.263340     4.019625
49762.75    -1.670201    -0.102649     3.432439
49763.00    -1.513731    -0.125645     4.078978
49763.25    -1.534884     0.004498     3.399213
49763.50    -1.277126    -0.227381     3.563016
49763.75    -0.954221     0.131451     1.955668
49764.00    -0.614199     0.184217     1.879612
49764.25    -0.570260     0.409661     0.590384
49764.50    -0.074642     0.161864     0.627704
49764.75     0.161548     0.684497    -1.189202
49765.00     0.253438     0.630345    -0.509511
49765.25     0.164967     0.705712    -0.758507
49765.50     0.400728     0.354307     0.024947
49765.75     0.345901     0.655318    -1.311543
49766.00     0.353375     0.534628    -0.469435
49766.25     0.035220     0.552085    -0.974102
49766.50    -0.024413     0.230540    -0.711757
49766.75    -0.199362     0.668059    -2.442970
49767.00    -0.111901     0.732406    -1.882529
49767.25    -0.262714     1.010377    -2.477257
49767.50    -0.140412     0.872124    -2.198314
49767.75    -0.061704     1.246174    -3.428910
49768.00    -0.146583     1.175432    -2.590505
49768.25    -0.551175     1.164547    -2.780843
49768.50    -0.437692     0.796456    -1.928209
49768.75    -0.254400     1.094301    -2.663965
49769.00    -0.150912     0.928034    -1.344343
49769.25    -0.239243     0.851372    -0.953118
49769.50    -0.216861     0.393748    -0.329469
49769.75    -0.227013     0.646268    -1.403523
49770.00    -0.145773     0.490128    -0.430933
49770.25    -0.309631     0.365808    -0.670795
49770.50    -0.291957    -0.011945    -0.148281
49770.75    -0.305928     0.191841    -1.309018
49771.00    -0.135088     0.137471    -0.747931
49771.25    -0.268038     0.210170    -1.414605
49771.50     0.004617    -0.062500    -1.126330
49771.75     0.325285     0.325146    -2.573687
49772.00     0.416361     0.318329    -1.864872
49772.25     0.284566     0.379529    -2.139553
49772.50     0.515597     0.029620    -1.418188
49772.75     0.674319     0.323725    -2.557611
49773.00     0.751743     0.140090    -1.134004
49773.25     0.634375    -0.006070    -0.868491
49773.50     0.822817    -0.412651    -0.121750
49773.75     0.696444    -0.131754    -1.369741
49774.00     0.687266    -0.247447    -0.405157
49774.25     0.516928    -0.247923    -0.610773
49774.50     0.480505    -0.606387    -0.229779
49774.75     0.424686    -0.222082    -1.772158
49775.00     0.370698    -0.374845    -0.808212
49775.25     0.023307    -0.328913    -1.247719
49775.50     0.211976    -0.642473    -0.938937
49775.75     0.299300    -0.266978    -2.324019
49776.00     0.250607    -0.344759    -1.564184
49776.25     0.091660    -0.260144    -1.957541
49776.50     0.310763    -0.600732    -1.245307
49776.75     0.209819    -0.217869    -2.543147
49777.00     0.110125    -0.274439    -1.367187
49777.25    -0.171195    -0.228026    -1.212000
49777.50    -0.260844    -0.540110    -0.319855
49777.75    -0.459256    -0.165981    -1.234459
49778.00    -0.605170    -0.168120    -0.019299
49778.25    -0.975613    -0.075889    -0.118452
49778.50    -1.031565    -0.281276     0.339102
49778.75    -1.038534     0.100359    -0.855171
49779.00    -0.966930     0.027717     0.044900
49779.25    -1.073578     0.083255    -0.235640
49779.50    -0.738581    -0.240649     0.346613
49779.75    -0.480279     0.005497    -0.793835
49780.00    -0.383999    -0.169529     0.019808
49780.25    -0.701335    -0.220656    -0.106331
49780.50    -0.614006    -0.545938     0.253975
49780.75    -0.618950    -0.198704    -0.921176
49781.00    -0.710551    -0.245073    -0.037999
49781.25    -0.925212    -0.230604     0.072641
49781.50    -0.818502    -0.560346     0.841819
49781.75    -0.730782    -0.352728     0.138571
49782.00    -0.612729    -0.514976     1.365182
49782.25    -0.782396    -0.598075     1.288669
49782.50    -0.691183    -0.990418     1.570736
49782.75    -0.562402    -0.469898    -0.557601
49783.00    -0.716150    -0.363868    -0.223315
49783.25    -1.176905    -0.089449    -1.080158
49783.50    -1.211686    -0.240928    -0.938197
49783.75    -1.283517     0.315396    -2.709561
49784.00    -1.359261     0.314738    -1.660511
49784.25    -1.645406     0.463117    -1.763523
49784.50    -1.633941     0.244885    -0.940215
49784.75    -1.731101     0.686722    -2.041986
49785.00    -1.510986     0.618926    -0.728539
49785.25    -1.792898     0.645136    -0.379390
49785.50    -1.841060     0.315482     0.743623
49785.75    -1.791029     0.647769     0.093216
49786.00    -1.838686     0.477138     1.426065
49786.25    -2.185346     0.569624     1.197392
49786.50    -2.255243     0.285030     2.122188
49786.75    -2.344099     0.609959     1.347844
49787.00    -2.415326     0.550195     2.583966
49787.25    -2.757439     0.497556     3.077405
49787.50    -2.564716     0.098171     4.085063
49787.75    -2.402754     0.379103     2.888157
49788.00    -2.101129     0.281341     3.499407
49788.25    -2.029423     0.386631     2.688527
49788.50    -1.720045     0.130327     2.631809
49788.75    -1.606785     0.576521     0.338571
49789.00    -1.671170     0.546621     0.355917
49789.25    -2.092834     0.766864    -1.037582
49789.50    -2.160977     0.580193    -1.195817
49789.75    -2.006841     0.936847    -2.866880
49790.00    -1.944256     0.878085    -2.390264
49790.25    -2.252203     1.060786    -3.292445
49790.50    -2.131249     0.694092    -2.755200
49790.75    -1.926133     1.025895    -4.043843
49791.00    -1.471639     0.881853    -2.771872
49791.25    -1.344991     0.854148    -2.657654
49791.50    -0.943905     0.401667    -1.750316
49791.75    -0.608520     0.611590    -2.746442
49792.00    -0.271150     0.330684    -1.484410
49792.25    -0.428095     0.338689    -1.626727
49792.50    -0.330923    -0.023645    -0.940957
49792.75    -0.175056     0.249996    -1.776678
49793.00    -0.022511     0.158520    -0.739506
49793.25    -0.205233     0.293623    -1.136506
49793.50     0.186136    -0.009904    -0.402143
49793.75     0.700938     0.342042    -1.394429
49794.00     1.065659     0.280864    -0.387189
49794.25     1.200378     0.336740    -0.730199
49794.50     1.677920    -0.007608    -0.157132
49794.75     1.986990     0.317064    -1.177344
49795.00     2.109524     0.181282     0.277218
49795.25     2.079018     0.184321     0.386423
49795.50     2.220558    -0.157896     1.332309
49795.75     2.236104     0.181647     0.355724
49796.00     2.081799     0.062937     1.934797
49796.25     1.449321     0.184317     2.101496
49796.50     1.151848    -0.046572     3.007281
49796.75     0.957758     0.348112     2.265194
49797.00     0.711217     0.330631     3.534338
49797.25    -0.158014     0.457273     3.210914
49797.50    -0.232256     0.067070     4.096111
49797.75    -0.460581     0.349857     2.854957
49798.00    -0.625279     0.327751     3.309376
49798.25    -0.873481     0.406859     2.323412
49798.50    -0.693023     0.158234     2.436712
49798.75    -0.637082     0.554134     0.729050
49799.00    -0.687124     0.345968     1.742293
49799.25    -1.101615     0.382065     1.630747
49799.50    -1.165754     0.042871     2.271655
49799.75    -1.220230     0.276776     1.178580
49800.00    -0.892168     0.042484     1.916615
49800.25    -0.970309     0.171422     0.897384
49800.50    -0.530723    -0.218471     1.390226
49800.75    -0.046912    -0.027817     0.287386
49801.00     0.359302    -0.276579     1.350203
49801.25     0.482574    -0.292440     0.535544
49801.50     1.056447    -0.927069     1.409887
49801.75     1.514682    -0.668525     0.069690
49802.00     1.683211    -0.816363     0.780538
49802.25     1.785525    -0.728730    -0.197241
49802.50     2.237786    -1.161398     0.101611
49802.75     2.393293    -0.810389    -1.685564
49803.00     2.564235    -0.890441    -1.006455
49803.25     2.343051    -0.741046    -1.658348
49803.50     2.485168    -1.073972    -1.062141
49803.75     2.418474    -0.648479    -2.517865
49804.00     2.443212    -0.727821    -1.574504
49804.25     2.007285    -0.526530    -1.988946
49804.50     2.068920    -0.803266    -1.075496
49804.75     2.061717    -0.375514    -1.810889
49805.00     2.098931    -0.427480    -0.536556
49805.25     1.715176    -0.238604    -0.728550
49805.50     1.742801    -0.529896     0.268721
49805.75     1.444289    -0.101455    -0.854330
49806.00     1.094376    -0.092757     0.130712
49806.25     0.685246     0.096577    -0.320704
49806.50     0.624605    -0.203436     0.387247
49806.75     0.495826     0.313167    -1.009070
49807.00     0.370501     0.285312     0.115485
49807.25     0.082311     0.508396    -0.456112
49807.50     0.246545     0.231560     0.199170
49807.75     0.343439     0.620388    -1.075640
49808.00     0.360569     0.468870     0.180359
49808.25     0.225650     0.518881     0.099831
49808.50     0.586099     0.118404     1.052405
49808.75     0.891718     0.397021     0.111920
49809.00     1.055937     0.126361     1.640120
49809.25     1.062310     0.038868     1.605156
49809.50     1.444016    -0.476642     2.378308
49809.75     1.710667    -0.205591     1.055503
49810.00     1.793927    -0.275872     1.751266
49810.25     1.504775    -0.104317     0.883399
49810.50     1.665394    -0.316771     0.818219
49810.75     1.632362     0.130264    -0.719761
49811.00     1.492254    -0.153087     0.926001
49811.25     1.017637     0.129503     0.499478
49811.50     1.112886    -0.092628     1.264430
49811.75    -2.930406     3.815887   -11.210064
49812.00     0.588354     0.243900     1.680518
49812.25    -0.000878     0.272263     1.631306
49812.50    -0.017258    -0.151600     2.463191
49812.75    -0.159383     0.162623     1.632391
49813.00    -0.267768    -0.025012     2.773480
49813.25    -0.449991    -0.084578     2.712623
49813.50    -0.181031    -0.522821     3.282814
49813.75    -0.105981    -0.218172     2.161216
49814.00    -0.119031    -0.402561     3.020154
49814.25    -0.322607    -0.391666     2.231498
49814.50    -0.014691    -0.738318     2.426951
49814.75     0.175986    -0.365723     1.293590
49815.00     0.330476    -0.498009     2.119369
49815.25     0.246927    -0.455022     1.779109
49815.50     0.547014    -0.768590     2.144015
49815.75     0.724372    -0.371347     0.991423
49816.00     0.610959    -0.471221     1.938429
49816.25     0.337569    -0.412345     1.574935
49816.50     0.546105    -0.767891     2.288680
49816.75     0.554470    -0.396822     1.386151
49817.00     0.549866    -0.374980     2.186874
49817.25     0.203859    -0.129109     1.153500
49817.50     0.283136    -0.384076     1.290557
49817.75     0.077493     0.061502     0.202285
49818.00    -0.095479    -0.018970     1.272445
49818.25    -0.444675     0.063395     0.836815
49818.50    -0.434406    -0.473273     1.712838
49818.75    -0.486117    -0.208865     0.694711
49819.00    -0.519189    -0.387518     1.667810
49819.25    -0.882953    -0.311456     1.081448
49819.50    -0.695493    -0.588749     1.244959
49819.75    -0.686824    -0.116930    -0.228788
49820.00    -0.881070    -0.126811     0.486343
49820.25    -1.240490    -0.009635     0.050087
49820.50    -1.038485    -0.298302     0.711978
49820.75    -1.120590     0.052334    -0.279265
49821.00    -1.245456    -0.163436     0.888872
49821.25    -1.501352    -0.216573     0.603617
49821.50    -1.250232    -0.640032     1.063758
49821.75    -1.240523    -0.438829     0.072426
49822.00    -1.335953    -0.661735     1.220887
49822.25    -1.598937    -0.729789     1.154044
49822.50    -1.431173    -1.160727     1.782420
49822.75    -1.346992    -0.820194     0.889106
49823.00    -1.307363    -0.915083     2.029934
49823.25    -1.297537    -0.870153     1.943207
49823.50    -0.944647    -1.230764     2.612548
49823.75    -0.880936    -0.946450     1.786678
49824.00    -0.789596    -0.947787     2.085794
49824.25    -0.973862    -0.774039     1.175484
49824.50    -0.738289    -1.019766     1.245666
49824.75    -0.539297    -0.587102    -0.120187
49825.00    -0.392319    -0.564403     0.448893
49825.25    -0.562817    -0.558040     0.451440
49825.50    -0.326780    -0.954377     1.459363
49825.75    -0.338926    -0.710575     1.237635
49826.00    -0.298296    -0.903095     2.665658
49826.25    -0.468348    -0.905209     2.337242
49826.50    -0.345741    -1.272359     2.798903
49826.75    -0.460118    -0.966425     1.610097
49827.00    -0.732486    -0.922557     2.142261
49827.25    -1.015411    -0.811661     1.679175
49827.50    -0.801132    -1.161264     2.226776
49827.75    -0.713309    -0.957955     1.390297
49828.00    -0.710628    -1.153932     2.243626
49828.25    -0.955644    -1.131156     1.559795
49828.50    -0.657064    -1.443501     1.642936
49828.75    -0.592694    -1.049692     0.170038
49829.00    -0.479030    -1.029951     0.516351
49829.25    -0.871860    -0.831881    -0.429830
49829.50    -0.751525    -1.038797    -0.586556
49829.75    -0.851188    -0.566264    -1.913625
49830.00    -0.904721    -0.662299    -0.858020
49830.25    -1.293379    -0.496967    -1.435872
49830.50    -0.924472    -0.882255    -0.908073
49830.75    -0.867001    -0.549412    -1.678989
49831.00    -0.793251    -0.743678    -0.401746
49831.25    -0.911983    -0.778345    -0.613554
49831.50    -0.443327    -1.197419     0.112749
49831.75    -0.286320    -0.934427    -0.668452
49832.00    -0.109110    -1.155343     0.726615
49832.25    -0.279776    -1.155714     0.437124
49832.50     0.085914    -1.480791     1.039160
49832.75     0.170645    -1.152203     0.198713
49833.00     0.316563    -1.224151     1.357888
49833.25     0.108619    -1.125248     1.166287
49833.50     0.415037    -1.410226     1.377438
49833.75     0.324092    -1.031655     0.414432
49834.00     0.168569    -1.046812     1.286911
49834.25    -0.088686    -0.870560     0.898466
49834.50     0.065276    -1.205495     1.335618
49834.75     0.025127    -0.763067     0.162613
49835.00    -0.023191    -0.815315     0.942807
49835.25    -0.191090    -0.639651     0.646272
49835.50    -0.129030    -0.887074     0.844159
49835.75    -0.045380    -0.610022     0.150032
49836.00     0.006703    -0.803247     1.307002
49836.25    -0.320279    -0.699087     0.913750
49836.50    -0.209151    -0.997362     1.474636
49836.75    -0.126045    -0.643598     0.616095
49837.00     0.000809    -0.719991     1.265218
49837.25     0.029976    -0.676518     0.825948
49837.50     0.330029    -1.095853     1.415723
49837.75     0.468593    -0.804479     0.300161
49838.00     0.480931    -0.811415     0.979241
49838.25     0.361040    -0.648884     0.724398
49838.50     0.480646    -0.892464     1.593184
49838.75     0.285012    -0.507580     1.059886
49839.00     0.241037    -0.536877     2.231858
49839.25    -0.124793    -0.473449     2.036864
49839.50     0.091243    -0.751960     2.366802
49839.75    -0.046533    -0.421900     1.352114
49840.00    -0.162683    -0.511299     2.110791
49840.25    -0.481657    -0.435523     1.406596
49840.50    -0.171390    -0.756427     1.730035
49840.75    -0.075357    -0.467763     0.692962
49841.00    -0.032924    -0.594751     1.575175
49841.25    -0.100262    -0.623905     1.314221
49841.50     0.384664    -1.140941     1.948921
49841.75     0.443903    -0.930030     0.972518
49842.00     0.487730    -1.091100     2.119253
49842.25     0.365125    -1.044958     1.890738
49842.50     0.589270    -1.273210     2.051088
49842.75     0.712695    -0.893568     1.070516
49843.00     0.805881    -0.882173     1.934761
49843.25     0.619738    -0.753071     1.767703
49843.50     0.836118    -1.104236     2.645122
49843.75     0.766055    -0.757494     2.062265
49844.00     0.461320    -0.800784     2.818107
49844.25     0.000869    -0.710297     2.386505
49844.50     0.205247    -1.041886     2.967746
49844.75     0.179430    -0.770937     2.069566
49845.00     0.220726    -0.816729     2.686528
49845.25    -0.055097    -0.803197     2.065810
49845.50     0.349529    -1.242535     2.456355
49845.75     0.344010    -0.958263     1.461243
49846.00     0.502431    -1.111097     2.173320
49846.25     0.416763    -1.054914     1.479115
49846.50     0.957723    -1.365722     1.634249
49846.75     1.201837    -1.120695     0.648476
49847.00     1.376118    -1.314104     1.649713
49847.25     1.111982    -1.230397     1.316903
49847.50     1.410161    -1.604667     2.009397
49847.75     1.376598    -1.176874     1.111951
49848.00     1.293051    -1.208410     2.214701
49848.25     0.906871    -1.039358     2.060845
49848.50     1.024508    -1.334667     2.918009
49848.75     0.858139    -0.943188     2.321025
49849.00     0.567545    -0.968189     3.543482
49849.25     0.124579    -0.889658     3.602198
49849.50     0.211916    -1.189246     4.031810
49849.75     0.137608    -0.878010     3.328925
49850.00    -0.091309    -1.000857     4.451541
49850.25    -0.530659    -0.961782     4.374021
49850.50    -0.512534    -1.385305     5.048433
49850.75    -0.446781    -1.125163     4.162971
49851.00    -0.343664    -1.215784     4.608820
49851.25    -0.313863    -1.114701     3.675519
49851.50     0.228236    -1.351453     3.449878
49851.75     0.421830    -0.915916     1.934882
49852.00     0.509119    -1.000237     2.707453
49852.25     0.399514    -0.911899     2.234468
49852.50     0.598759    -1.170793     2.344904
49852.75     0.721863    -0.789450     1.348483
49853.00     0.859748    -0.957047     2.786359
49853.25     0.628667    -0.917661     2.798530
49853.50     0.795526    -1.235213     3.526997
49853.75     0.743292    -0.985612     2.869326
49854.00     0.588901    -1.051455     3.848989
49854.25     0.154605    -0.955603     3.257976
49854.50     0.246034    -1.256909     3.517037
49854.75     0.167362    -0.950698     2.187245
49855.00    -0.081072    -0.972404     2.667036
49855.25    -0.463110    -0.873898     1.870441
49855.50    -0.308443    -1.080793     1.765417
49855.75    -0.567232    -0.725403     0.304246
49856.00    -0.856715    -0.745082     0.809571
49856.25    -1.278643    -0.608532     0.128979
49856.50    -1.113524    -0.779349     0.261310
49856.75    -1.280227    -0.357591    -0.663817
49857.00    -1.540512    -0.385501     0.218006
49857.25    -1.899249    -0.269664    -0.106729
49857.50    -1.745994    -0.571531     0.382556
49857.75    -1.704977    -0.368972    -0.261890
49858.00    -1.552499    -0.613851     0.817234
49858.25    -1.666563    -0.699955     0.644613
49858.50    -1.368984    -1.069075     0.991840
49858.75    -1.256293    -0.810903     0.079144
49859.00    -1.189765    -0.914933     1.233365
49859.25    -1.354596    -0.904702     0.937465
49859.50    -0.916688    -1.231788     1.334420
49859.75    -0.942521    -0.920263     0.371134
49860.00    -0.979383    -0.950353     1.095555
49860.25    -1.144129    -0.853875     0.717967
49860.50    -0.865339    -1.170257     1.127733
49860.75    -0.928452    -0.811346     0.060580
49861.00    -0.984348    -0.857580     0.947203
49861.25    -1.279476    -0.756855     0.514047
49861.50    -0.964234    -1.092752     0.907586
49861.75    -0.995539    -0.779759     0.146848
49862.00    -0.994406    -0.862532     1.131349
49862.25    -1.102003    -0.839070     1.065699
49862.50    -0.884034    -1.175345     1.671176
49862.75    -0.927634    -0.780851     0.692585
49863.00    -0.880655    -0.774826     1.519096
49863.25    -1.120764    -0.618729     0.829493
49863.50    -0.857772    -0.901962     1.360795
49863.75    -0.863263    -0.554103     0.512083
49864.00    -0.990255    -0.566939     1.290852
49864.25    -1.354696    -0.500562     0.721670
49864.50    -1.161065    -0.848163     1.153464
49864.75    -1.274000    -0.577228     0.396269
49865.00    -1.348525    -0.597307     1.178427
49865.25    -1.463332    -0.599455     0.868656
49865.50    -1.068460    -0.931315     1.310538
49865.75    -0.983629    -0.670981     0.480892
49866.00    -0.822738    -0.780943     1.562573
49866.25    -0.851422    -0.731185     1.227182
49866.50    -0.386726    -1.094054     1.686677
49866.75    -0.294496    -0.718288     0.734348
49867.00    -0.320365    -0.652890     1.428277
49867.25    -0.515842    -0.532961     0.931512
49867.50    -0.189161    -0.805815     1.074245
49867.75    -0.133285    -0.457620     0.116433
49868.00    -0.304924    -0.460550     0.968457
49868.25    -0.535045    -0.436834     0.603978
49868.50    -0.316806    -0.758188     0.947528
49868.75    -0.330649    -0.484621    -0.097565
49869.00    -0.459521    -0.570875     0.819509
49869.25    -0.669657    -0.585786     0.748053
49869.50    -0.281804    -0.996433     1.577576
49869.75    -0.186508    -0.777975     0.938674
49870.00    -0.277060    -0.896089     2.046299
49870.25    -0.496561    -1.005952     1.839596
49870.50    -0.213470    -1.348845     2.320206
49870.75    -0.111001    -1.072349     1.462179
49871.00    -0.144392    -1.078957     2.326237
49871.25    -0.217951    -1.104368     1.867925
49871.50     0.063318    -1.397912     2.195173
49871.75     0.051913    -1.077938     1.220129
49872.00     0.082322    -1.073994     1.860233
49872.25     0.101840    -1.070311     1.674894
49872.50     0.466766    -1.390301     1.938820
