atp_code,atp_description,country_code,country_description,exports_OCTOBER_2007,exports_SEPTEMBER_2007,exports_YTD_OCTOBER_2007,exports_YTD_OCTOBER_2006,imports_OCTOBER_2007,imports_SEPTEMBER_2007,imports_YTD_OCTOBER_2007,imports_YTD_OCTOBER_2006
08,Aerospace,2485,Montserrat,0,0,0,8678519,0,0,0,0
01,Biotechnology,2486,Dominica,0,0,11022,0,0,0,0,0
02,Life Science,2486,Dominica,12930,30530,356832,258666,0,0,148000,30617
03,Opto-Electronics,2486,Dominica,0,0,113166,78918,0,0,0,3000
04,Information & Communications,2486,Dominica,419432,447222,3374970,3780221,0,0,20812,215711
05,Electronics,2486,Dominica,16963,9214,74467,464000,4478,0,11054,4303
06,Flexible Manufacturing,2486,Dominica,37784,0,123796,259366,0,0,2069,0
07,Advanced Materials,2486,Dominica,0,0,0,9012,0,0,0,0
08,Aerospace,2486,Dominica,0,0,0,22525,0,0,0,0
09,Weapons,2486,Dominica,0,0,9733,0,0,0,0,0
10,Nuclear Technology,2486,Dominica,0,0,0,0,0,0,0,7376
01,Biotechnology,2487,St Lucia,0,0,7175,0,0,0,0,0
02,Life Science,2487,St Lucia,0,28353,248381,339200,0,0,0,117627
03,Opto-Electronics,2487,St Lucia,14560,20128,131828,72382,0,0,0,12934
04,Information & Communications,2487,St Lucia,716600,781563,6177227,5673016,0,0,10259,2435
05,Electronics,2487,St Lucia,14731,0,113384,45257,0,0,13002,35470
06,Flexible Manufacturing,2487,St Lucia,37248,42855,195283,118809,0,0,3000,29932
07,Advanced Materials,2487,St Lucia,0,0,10650,0,0,0,0,0
08,Aerospace,2487,St Lucia,27136,92602,535685,311165,0,0,18535,0
09,Weapons,2487,St Lucia,0,0,0,22175,0,0,0,0
02,Life Science,2488,St Vincent and the Grenadines,0,7050,110191,69971,0,0,0,0
03,Opto-Electronics,2488,St Vincent and the Grenadines,0,0,19940,43050,0,0,0,0
04,Information & Communications,2488,St Vincent and the Grenadines,432229,315498,3357015,2692357,4311,4050,10961,0
05,Electronics,2488,St Vincent and the Grenadines,0,0,4426,9580,0,0,0,0
06,Flexible Manufacturing,2488,St Vincent and the Grenadines,9601,2583,1138707,21089,0,0,0,0
07,Advanced Materials,2488,St Vincent and the Grenadines,0,0,37446,6468,0,0,0,0
08,Aerospace,2488,St Vincent and the Grenadines,14752,4255,243581,150920,0,0,0,0
01,Biotechnology,2489,Grenada,0,3668,3668,0,0,0,0,0
02,Life Science,2489,Grenada,7328,39800,151147,332690,0,0,0,0
03,Opto-Electronics,2489,Grenada,0,109210,267850,67131,0,0,0,0
04,Information & Communications,2489,Grenada,717153,584319,6385800,6362076,0,2100,13342,5500
05,Electronics,2489,Grenada,10395,0,79704,58767,0,0,0,0
06,Flexible Manufacturing,2489,Grenada,0,59347,131481,193243,0,0,4000,0
07,Advanced Materials,2489,Grenada,0,0,10868,21572,0,0,0,0
08,Aerospace,2489,Grenada,0,0,250001,78066,0,0,0,0
01,Biotechnology,2720,Barbados,16203,6820,142194,190668,0,0,0,0
02,Life Science,2720,Barbados,244759,217265,4052419,3961964,15327,0,113826,118750
03,Opto-Electronics,2720,Barbados,30436,77390,549843,537670,0,0,7650,14800
04,Information & Communications,2720,Barbados,3182654,2345310,30385429,43693933,9335,19629,34341,162520
05,Electronics,2720,Barbados,171457,85126,1223858,1197091,0,0,67448,601298
06,Flexible Manufacturing,2720,Barbados,14035,29194,1077323,1784701,50000,100000,460555,503988
07,Advanced Materials,2720,Barbados,0,0,287386,1284934,0,0,0,0
08,Aerospace,2720,Barbados,1575702,453783,7909814,278898,8185,0,20463,0
09,Weapons,2720,Barbados,3535,0,13827,112987,0,0,0,0
10,Nuclear Technology,2720,Barbados,16186,0,49935,0,0,0,0,0
01,Biotechnology,2740,Trinidad and Tobago,40151,85938,898542,723781,0,0,0,0
02,Life Science,2740,Trinidad and Tobago,1375821,1287289,16894953,16718287,14999,5000,78504,44668
03,Opto-Electronics,2740,Trinidad and Tobago,617727,202860,3220841,1762677,0,0,10621,0
04,Information & Communications,2740,Trinidad and Tobago,11089565,11606668,87549973,146411660,5000,0,223765,165291
05,Electronics,2740,Trinidad and Tobago,374824,168928,2408831,4657133,3352,0,22035,35442
06,Flexible Manufacturing,2740,Trinidad and Tobago,902013,569181,7961573,5135010,6347,0,26147,0
07,Advanced Materials,2740,Trinidad and Tobago,30415,51882,2063433,1870557,0,0,0,0
08,Aerospace,2740,Trinidad and Tobago,1977527,1362711,20670430,18255180,0,12201,12201,55556
09,Weapons,2740,Trinidad and Tobago,0,0,48927,115750,0,0,0,0
10,Nuclear Technology,2740,Trinidad and Tobago,685048,42273,3848278,2703180,0,0,0,0
01,Biotechnology,2771,Netherlands Antilles,0,14635,36480,79575,0,0,0,0
02,Life Science,2771,Netherlands Antilles,104407,52686,1764791,4322130,0,0,17681,268811
03,Opto-Electronics,2771,Netherlands Antilles,1402984,13247,2204501,685501,0,10490,10490,4000
04,Information & Communications,2771,Netherlands Antilles,8563707,6224876,61393046,64920047,694850,379925,2297140,686747
05,Electronics,2771,Netherlands Antilles,33391,34384,1073002,1332611,0,0,34748,58132
