, 1/3/95,14:41,,,, 9/5/95,11:11:11,,,, 2/18/96,9:57,,,, 8/14/96,16:00,,,, 1/10/97,16:30,,,, 7/8/97,9:22:13,,,, 1/15/98,14:03:30,,,,Not surveyed in June 1998,,,,, 7/7/98,11:40,,, 1/11/99,,10:04,,, 6/29/99,,18:31,,
33,16.839,0.027,-1.285,EB,22,39.79,-0.364,-3.198,TB,27,22.724,-0.14,-1.958,,16,16.036,0.064,-1.354,BS/VL/EB,17,19.361,-0.198,-1.828,,21,29.844,-0.144,-1.961,,16,15.189,0.21,-1.01,DC,,,,,,13,23.615,-0.392,-2.199,HT,13,15.287,0.231,-0.994,DC,13,20.276,-0.039,-1.936,DL/LST.HT
34,17.305,0.175,-1.515,VL,23,47.702,-0.725,-3.591,S,28,24.816,-0.267,-2.079,,17,17.007,-0.046,-1.441,,18,22.938,-0.585,-1.941,WD2,20,32.682,0.466,-1.982,WD,17,17.217,-0.312,-1.563,VL/WD,,,,,,14,25.336,-0.013,-2.288,,14,16.416,0.21,-1.308,ON.DUNE/SCARPING,14,23.271,-0.003,-1.996,HS
35,19.227,-0.079,-1.872,DL,24,56.126,-1.269,-3.945,S,29,27.628,-0.203,-2.265,,18,18.857,-0.339,-1.565,WD,19,26.915,-0.352,-2.045,,19,34.55,0.3,-2.037,BC,18,18.024,-0.186,-1.751,,,,,,,15,28.917,-0.365,-2.537,,15,17.241,0.305,-1.661,BASE.DUNE/VL,15,27.062,0.003,-2.15,
36,21.756,-0.211,-1.967,WD,25,71.356,-4.068,-5.036,S,30,30.217,-0.07,-2.466,,19,20.191,0.143,-1.598,,20,31.644,-0.628,-2.342,,18,36.49,0.062,-2.227,,19,21.61,0.042,-1.951,,,,,,,16,29.323,-0.301,-2.554,HS,16,21.007,0.336,-1.815,,16,30.223,-0.149,-2.36,
37,22.098,-0.237,-2.091,,26,79.696,-0.324,-5.465,S,31,33.726,-0.159,-2.774,,20,23.368,-0.11,-1.657,CUSP.CREST,21,40.66,-0.619,-3.101,MS,17,38.817,0.166,-2.465,,20,27.158,-0.183,-2.239,,,,,,,17,35.143,-0.471,-2.954,MS,17,23.468,0.407,-1.93,HT,17,33.858,-0.294,-2.591,SL
38,24.78,-0.225,-2.273,,27,94.312,-2.195,-6.037,S,32,35.257,-0.309,-2.918,HS/DL,21,25.166,-0.167,-1.694,CUSP.HORN,22,44.816,-0.873,-3.436,,16,41.034,-0.116,-2.693,HS,21,33.106,-0.353,-2.635,HS,,,,,,18,45.558,-0.653,-3.394,TB,18,25.711,0.428,-2.123,WD/ON.A.SWALE,18,39.832,-0.83,-3.265,SC
39,28.288,-0.492,-2.409,,28,106.416,-2.091,-6.553,,33,37.665,-0.25,-3.138,,22,25.807,-0.005,-1.794,,23,47.067,-0.766,-3.597,TT,15,44.224,-0.221,-2.915,,22,38.464,-0.494,-3.078,MS,,,,,,19,62.348,-0.796,-4.168,,19,30.469,0.529,-2.542,,19,41.492,-0.319,-3.909,SB
40,31.098,-0.31,-2.567,,29,117.406,-0.691,-6.93,EOL.VKIH/S,34,39.309,-0.313,-3.295,MS,23,28.056,-0.077,-2.051,,24,48.13,-0.619,-3.816,BT,14,46.896,-0.302,-3.069,MS,23,46.261,-0.47,-3.717,,,,,,,20,85.57,-0.472,-5.488,,20,33.058,0.416,-2.741,HS,20,44.588,0.447,-3.925,S
41,36.642,-0.518,-3.051,MS,,,,,,35,43.431,-0.198,-3.646,,24,31.68,-0.242,-2.283,MS,25,54.38,-0.396,-3.778,S,13,51.02,-0.21,-3.276,S,24,54.099,-0.492,-3.881,TB?,,,,,,21,122.565,-2.141,-7.148,S,21,36.528,0.492,-3.003,MS,21,57.173,-0.135,-4.099,S
42,41.399,-0.866,-3.398,,996,50.115,59.465,-1.233,RP5(RP3/MNHL)MED,36,49.208,0.073,-3.847,TB,25,37.335,0.038,-2.885,,26,59.377,-0.612,-3.935,S,12,53.624,-0.194,-3.407,S,25,70.045,-0.885,-4.613,,,,,,,22,165.427,1.891,-8.286,R/S,22,39.806,0.351,-3.105,SL,22,65.74,-0.118,-4.648,S
43,48.479,-1.429,-3.796,,,,,,,37,53.226,-0.586,-4.02,,26,42.641,-0.202,-3.257,,27,65.892,-0.685,-4.239,S,11,56.73,-0.564,-3.521,S,26,94.246,-1.033,-5.81,S,,,,,,23,206.163,0.641,-8.899,EOL.VKIH,23,42.412,0.584,-3.415,SC,23,83.581,-0.204,-5.629,
44,50.859,-1.482,-3.943,TT,,,,,,38,57.467,-0.165,-4.246,,27,48.109,0.372,-3.429,,28,77.714,-1.762,-4.767,S,10,60.096,-0.497,-3.657,S,27,126.02,-0.775,-7.263,S,,,,,,,,,,,24,43.09,0.559,-3.511,SB,24,111.838,0.922,-6.776,S
45,55.321,-1.627,-4.123,TB,,,,,,39,63.505,-0.379,-4.618,,28,53.726,-0.976,-3.616,SAND/WAVES.BREAKING,29,86.25,-1.347,-5.24,S,9,63.646,-0.242,-3.82,S,28,151.057,-1.432,-7.809,S,,,,,,996,50.179,59.399,-1.218,RP5/GPS(MANHOLE).MED,25,52.22,0.806,-3.957,,25,134.55,-0.265,-7.49,
46,60.675,-1.697,-4.499,,,,,,,40,68.875,-0.39,-5.01,,29,59.465,-1.257,-3.903,SAND,30,99.566,-2.568,-6.043,S,8,67.56,-0.36,-4.05,S,29,202.169,-0.603,-8.87,,,,,,,,,,,,26,54.861,0.735,-4.184,,26,156.498,-1.653,-7.98,EOL.VKIH
47,67.007,-3.021,-5.157,S,,,,,,41,76.165,-0.168,-5.421,,30,65.113,-0.06,-4.185,SAND,31,112.901,-1.99,-6.568,S,7,74.498,0.575,-4.467,S,30,244.285,-0.807,-9.489,EOL.VKIH,,,,,,,,,,,27,70.192,1.5,-5.355,S,,,,,
48,76.72,-2.932,-5.435,R,,,,,,42,83.742,-0.011,-5.743,,31,72.442,-0.592,-4.685,SAND,32,128.079,-2.213,-7.115,EOL.VKIH,6,91.595,1.211,-5.788,S,,,,,,,,,,,,,,,,28,93.428,1.392,-6.05,,999,-11.485,4.225,-0.917,GEODIMETER.LOCATION
49,97.352,-3.392,-6.043,THIN.S.ON.R,,,,,,43,92.737,0.418,-5.959,,32,79.361,0.138,-5.052,SAND,,,,,,5,101.556,0.282,-6.27,S,998,50.145,59.432,-1.23,RP5/GPS(PIER).MEDIAN,,,,,,,,,,,29,127.623,1.18,-7.371,,998,0,0,0,BRP.MEDIAN
50,107.862,-4.191,-6.448,THIN.S.ON.R,,,,,,44,105.632,-0.194,-6.528,,33,90.799,-0.069,-5.56,SAND,996,50.064,59.549,-1.227,RP5/SRP.MEDIAN,4,113.121,2.443,-6.699,S,,,,,,,,,,,,,,,,30,178.018,2.227,-8.636,S,997,-10.261,0,-0.927,FRP.MEDIAN
51,120.579,-8.642,-7.058,THIN.S.ON.R,,,,,,45,117.944,-1.297,-6.919,,34,105.468,0.727,-6.304,SAND,,,,,,3,125.783,4.412,-7.109,S,,,,,,,,,,,,,,,,31,216.058,-3.15,-9.079,EOL.VKIH,,,,,
52,135.584,-6.804,-7.41,EOL.VKIH/THIN.S.ON.R,,,,,,46,130.213,-0.892,-7.251,,35,119.095,0.549,-6.802,SAND,,,,,,2,138.604,1.989,-7.471,S,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,47,145.465,-1.183,-7.654,,36,134.241,-1.685,-7.279,SAND,,,,,,1,151.603,0.109,-7.835,S,,,,,,,,,,,,,,,,999,-19.609,5.994,-1.621,GEODIMETER.LOCATION,,,,,
995,-1.666,42.344,0.582,RP4(wtrpipe)MEDIAN,,,,,,48,160.685,-0.542,-8.051,,37,151.718,-0.859,-7.689,SAND,,,,,,0,161.644,-1.419,-8.127,EOL.VKIH/S,,,,,,,,,,,,,,,,997,0,0,0,BRP/RP1.MEDIAN
994,50.034,59.542,-1.249,RP5/manhole.MEDIAN,,,,,,49,167.287,-0.188,-8.218,EOLKIH,38,169.88,-2.366,-8.249,SAND,,,,,,,,,,,,,,,,,,,,,,,,,,996,-49.122,60.242,-1.239,SRP/RP5.MEDIAN
,,,,,,,,,,,,,,,39,190.719,-1.562,-8.645,SAND,,,,,,996,49.899,59.601,-1.223,RP5/SRP(MANHOLE.ON.PIER)MED,,,,,,,,,,,,,,,,998,-10.344,0,-0.925,FRP/RP3.MEDIAN
,,,,,,,,,,996,-1.603,42.339,0.581,RP4/SBRP.MED,40,228.317,-1.008,-9.142,SAND/EOL.VKIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,995,50.092,59.457,-1.225,RP5/SFRP.MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,998,50.091,59.505,-1.231,RP5/SRP.MEDIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

RP referenced Volume calc. Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
