atp_code,atp_description,country_code,country_description,exports_SEPTEMBER_2007,exports_AUGUST_2007,exports_YTD_SEPTEMBER_2007,exports_YTD_SEPTEMBER_2006,imports_SEPTEMBER_2007,imports_AUGUST_2007,imports_YTD_SEPTEMBER_2007,imports_YTD_SEPTEMBER_2006
01,Biotechnology,0011,Pacific Rim,37819351,42189767,383211490,389288238,8019829,12172694,86371814,80439195
02,Life Science,0011,Pacific Rim,590981167,490288411,4446333534,4023214933,397808172,380431165,3516398703,3064333944
03,Opto-Electronics,0011,Pacific Rim,242780166,212253663,1964566019,1801743863,767502015,728278674,5969395658,5113087183
04,Information & Communications,0011,Pacific Rim,1584544581,1667676402,13330509005,12644464132,12291414323,11403484166,100134032722,89704607619
05,Electronics,0011,Pacific Rim,2849333230,2689411653,24599131343,26039816727,1677981249,1757506182,14527114598,15500759440
06,Flexible Manufacturing,0011,Pacific Rim,729918376,804525366,7481003674,7064355274,486411839,523808309,4879529311,4470606781
07,Advanced Materials,0011,Pacific Rim,71167996,82513095,601533990,434620980,128291051,138218156,1153325387,974576104
08,Aerospace,0011,Pacific Rim,2372442958,2799184780,21353844115,19542031853,370800857,341591397,3173959083,2475959310
09,Weapons,0011,Pacific Rim,62093631,33462035,456169270,493445203,15226577,16199927,107333744,109064065
10,Nuclear Technology,0011,Pacific Rim,36451734,72925735,751077424,629526384,4067196,5308031,68871912,81758324
02,Life Science,1010,Greenland,47000,0,116785,3000,0,0,0,0
04,Information & Communications,1010,Greenland,9550,0,875599,241581,0,0,0,0
05,Electronics,1010,Greenland,0,0,4200,7500,0,0,0,0
06,Flexible Manufacturing,1010,Greenland,0,0,0,12300,0,0,0,0
08,Aerospace,1010,Greenland,119101,66532,268544,61949,0,0,0,2300
01,Biotechnology,1220,Canada,85542766,46621435,471646361,437163288,144004092,9624259,286249952,122613957
02,Life Science,1220,Canada,158681633,142594905,1342965015,1181912926,128555960,111584345,1360085057,817963128
03,Opto-Electronics,1220,Canada,26450118,24723521,226325403,252013929,22516144,17292551,157629330,70740795
04,Information & Communications,1220,Canada,1180937688,1084623727,9713574394,8510170727,436210302,465854609,4107181056,3747850453
05,Electronics,1220,Canada,221182123,240243378,1932690961,2536758663,117179827,89497227,876832998,993914841
06,Flexible Manufacturing,1220,Canada,105292159,111629886,917061316,1131776818,35441051,29535343,277071817,327151872
07,Advanced Materials,1220,Canada,8018787,9577040,75510141,80721880,1149759,1337919,14573084,14554647
08,Aerospace,1220,Canada,392074015,647704751,4213284790,3273271148,496909335,782368061,5929994270,4673956338
09,Weapons,1220,Canada,3421153,3325736,79241007,50439803,9138123,8801105,86328057,88571298
10,Nuclear Technology,1220,Canada,1773612,1320012,15522047,14565798,90204779,3120066,113596313,37774241
01,Biotechnology,2010,Mexico,10060283,5717737,56191697,86499462,2430456,3628027,16346659,16778684
02,Life Science,2010,Mexico,60781054,55156670,474718251,389524789,214574823,237001482,1927348620,1646971945
03,Opto-Electronics,2010,Mexico,27368988,24180958,285802200,244942085,1383010867,1337254080,9458046903,6541713836
04,Information & Communications,2010,Mexico,842637849,790096880,6867678645,6836473490,1850908621,1898167747,14228866946,12046339725
05,Electronics,2010,Mexico,393168816,487371560,3765424188,4398143837,100746943,102602373,892080519,847335708
06,Flexible Manufacturing,2010,Mexico,34792569,39576311,334204614,374669184,37441134,44634798,332625488,348267182
07,Advanced Materials,2010,Mexico,9377392,10570405,94580981,160180461,15619347,16264861,143962459,184372248
08,Aerospace,2010,Mexico,123327202,121901729,955138372,1048351510,32860394,34278990,232233411,137672198
09,Weapons,2010,Mexico,1497890,1063777,5265507,2660656,2909127,3679144,47104902,45288877
10,Nuclear Technology,2010,Mexico,37026166,622963,77825608,49404027,7000,0,18316,81625
01,Biotechnology,2050,Guatemala,208538,309278,2756608,2307779,0,0,0,2500
02,Life Science,2050,Guatemala,1095235,1669467,11076809,6949677,72289,199463,1061733,382724
03,Opto-Electronics,2050,Guatemala,243156,525183,2988132,2632328,15000,0,1721032,0
04,Information & Communications,2050,Guatemala,26561706,38656718,228231071,196312843,73362,42966,578700,324958
05,Electronics,2050,Guatemala,509021,264942,2798724,4352408,0,0,26226,63354
06,Flexible Manufacturing,2050,Guatemala,145241,1487918,3389235,5189281,0,0,252458,285264
07,Advanced Materials,2050,Guatemala,57324,158532,619521,898267,0,0,0,0
08,Aerospace,2050,Guatemala,695072,596323,7731236,30263602,0,0,0,258466
09,Weapons,2050,Guatemala,0,32183,772595,165640,0,0,0,0
10,Nuclear Technology,2050,Guatemala,0,3510,3510,97548,0,0,0,0
01,Biotechnology,2080,Belize,0,3172,61941,79285,0,0,0,0
02,Life Science,2080,Belize,0,60431,1049901,1025193,0,0,0,0
03,Opto-Electronics,2080,Belize,0,400087,438542,189157,0,0,0,0
04,Information & Communications,2080,Belize,240825,324136,3548963,5488308,0,0,13001,214760
05,Electronics,2080,Belize,14688,0,190834,939817,0,0,109679,0
06,Flexible Manufacturing,2080,Belize,0,8900,532233,404255,0,0,0,67106
07,Advanced Materials,2080,Belize,0,0,16308,8370,0,0,0,3277
08,Aerospace,2080,Belize,21052,331061,2200114,239668,0,0,0,0
09,Weapons,2080,Belize,0,0,43850,14782,0,0,0,0
10,Nuclear Technology,2080,Belize,0,0,0,7600,0,0,0,0
01,Biotechnology,2110,El Salvador,113277,199407,2030397,1982393,0,0,0,0
02,Life Science,2110,El Salvador,607542,957698,7379127,8307904,4586,18746,393710,118253
03,Opto-Electronics,2110,El Salvador,172872,108578,1519454,1569399,0,0,0,0
04,Information & Communications,2110,El Salvador,17899073,23575175,146852330,99090324,11830,107551,2370234,295769
05,Electronics,2110,El Salvador,312139,292484,2119551,5487257,0,0,2430,10345
06,Flexible Manufacturing,2110,El Salvador,586196,573527,5276497,2660810,0,0,0,40970
07,Advanced Materials,2110,El Salvador,21312,0,140373,367759,0,0,0,0
08,Aerospace,2110,El Salvador,648520,2548471,17143347,36759618,0,0,0,105000
09,Weapons,2110,El Salvador,0,44813,881249,1760619,0,0,0,0
10,Nuclear Technology,2110,El Salvador,0,0,26911,8818,0,0,0,0
01,Biotechnology,2150,Honduras,36225,394226,952204,937832,0,0,0,0
02,Life Science,2150,Honduras,357537,261331,4099763,5275978,0,20288,34832,21974
03,Opto-Electronics,2150,Honduras,336675,432492,2667736,774053,0,0,5100,0
04,Information & Communications,2150,Honduras,12641349,12796056,102568183,68059508,27570,5170,338376,211695
05,Electronics,2150,Honduras,491949,711529,5150263,2746403,2504,0,13687,64526
06,Flexible Manufacturing,2150,Honduras,571017,765071,3337411,2325716,0,0,10825,15858
07,Advanced Materials,2150,Honduras,160551,45249,490315,975768,0,0,0,0
08,Aerospace,2150,Honduras,179636,304017,3899335,1041463,3490,0,3490,0
09,Weapons,2150,Honduras,0,22134,44266,22323,0,0,0,0
10,Nuclear Technology,2150,Honduras,0,0,17978,86217,0,0,0,0
01,Biotechnology,2190,Nicaragua,595232,0,1877967,266606,0,0,0,0
02,Life Science,2190,Nicaragua,1184210,1698170,4699549,2929715,0,0,0,2100
03,Opto-Electronics,2190,Nicaragua,122801,133830,1481856,1305273,0,0,0,0
04,Information & Communications,2190,Nicaragua,4840678,8957231,43891908,48356071,4396,41911,159251,75495
05,Electronics,2190,Nicaragua,413661,368428,1672138,814799,0,0,38156,4873
06,Flexible Manufacturing,2190,Nicaragua,256114,151673,1268323,331673,0,0,24048,0
07,Advanced Materials,2190,Nicaragua,44708,79718,492841,484349,0,0,0,0
08,Aerospace,2190,Nicaragua,63480,3060,728252,1227944,0,250000,250000,0
09,Weapons,2190,Nicaragua,0,193342,397954,118614,0,0,0,0
10,Nuclear Technology,2190,Nicaragua,0,13086,70482,3774,0,0,0,0
01,Biotechnology,2230,Costa Rica,423466,170784,2845934,2426697,0,0,0,0
02,Life Science,2230,Costa Rica,6155641,3956531,45058311,47199975,57097684,51292104,449929586,407968688
03,Opto-Electronics,2230,Costa Rica,254843,331816,2708283,2944653,5997,11340,124944,184391
04,Information & Communications,2230,Costa Rica,22322959,22101394,188952612,221847738,34644589,30233158,304299739,270049049
05,Electronics,2230,Costa Rica,121423240,77066154,687018972,816390229,18470473,21237103,152676681,192674029
06,Flexible Manufacturing,2230,Costa Rica,1495943,2422687,23807956,42268281,463571,82851,2147847,3156417
07,Advanced Materials,2230,Costa Rica,196629,146053,2217413,3079449,439230,487843,3298784,3719277
08,Aerospace,2230,Costa Rica,673071,547604,15432109,14662626,22306,73811,579922,96374
09,Weapons,2230,Costa Rica,19104,0,227162,1170663,0,0,0,0
10,Nuclear Technology,2230,Costa Rica,0,2653,209214,58758,0,0,0,13524
01,Biotechnology,2250,Panama,503355,389813,4001271,2271376,0,0,0,0
02,Life Science,2250,Panama,3271034,3093629,25525369,18992080,0,14562,160797,104368
03,Opto-Electronics,2250,Panama,392172,525484,4651502,1441744,0,0,166117,1581448
04,Information & Communications,2250,Panama,12910787,18039704,135926446,100004241,235295,705059,2590244,2532590
05,Electronics,2250,Panama,278374,449749,2663182,2568344,8364,44443,147576,73946
06,Flexible Manufacturing,2250,Panama,613235,510182,3851795,2925382,0,31500,73000,193598
07,Advanced Materials,2250,Panama,435535,85789,1495270,7219218,4425,0,8416,0
08,Aerospace,2250,Panama,1920389,75124009,151477251,160250223,0,0,220046,0
09,Weapons,2250,Panama,0,10789,205189,56367,0,0,0,18200
10,Nuclear Technology,2250,Panama,8152,0,29611,106947,0,0,0,0
01,Biotechnology,2320,Bermuda,38217,34345,280921,200538,0,0,0,0
02,Life Science,2320,Bermuda,2494647,168194,5935891,4553061,0,0,1060714,30161
03,Opto-Electronics,2320,Bermuda,182427,71586,563870,612050,0,0,0,4000
04,Information & Communications,2320,Bermuda,3694434,2503283,33704942,35297860,10999,34565,151560,36412
05,Electronics,2320,Bermuda,56134,32164,1056537,941795,0,0,20569,5025
06,Flexible Manufacturing,2320,Bermuda,39220,17965,914590,362655,0,0,3240,0
07,Advanced Materials,2320,Bermuda,121141,6707,223261,19506,0,0,0,0
08,Aerospace,2320,Bermuda,76820,72998,50612942,129916564,0,0,0,0
09,Weapons,2320,Bermuda,6290,0,6290,33500,0,0,0,0
01,Biotechnology,2360,Bahamas,56703,44951,148816,70623,0,0,0,8750
02,Life Science,2360,Bahamas,235943,539179,4444650,4006965,6500,3000,9500,9000
03,Opto-Electronics,2360,Bahamas,65564,50153,1083687,1208845,0,0,0,7700
04,Information & Communications,2360,Bahamas,6779344,3145671,32557288,32561488,3025,8000,112121,174665
05,Electronics,2360,Bahamas,91370,112357,1095112,1958763,0,0,14700,8885
06,Flexible Manufacturing,2360,Bahamas,170204,377158,1922307,8535552,0,3286,11415,3000
07,Advanced Materials,2360,Bahamas,237013,0,376391,7420582,0,0,0,0
08,Aerospace,2360,Bahamas,43773,106841,1033002,17801364,0,0,0,5000
09,Weapons,2360,Bahamas,415000,100720,560395,66162,0,0,0,2700
10,Nuclear Technology,2360,Bahamas,4560,0,25199,53777,0,0,0,0
02,Life Science,2390,Cuba,0,0,208546,626566,0,0,0,0
04,Information & Communications,2390,Cuba,0,0,0,15674,0,0,0,0
06,Flexible Manufacturing,2390,Cuba,0,0,41000,186581,0,0,0,0
08,Aerospace,2390,Cuba,0,0,20190,0,0,0,0,0
01,Biotechnology,2410,Jamaica,9977,37081,244077,270298,0,0,0,0
02,Life Science,2410,Jamaica,382603,621789,5734502,3412144,0,0,2699,27365
03,Opto-Electronics,2410,Jamaica,294586,108937,2689601,936949,0,2800,23066,5058
04,Information & Communications,2410,Jamaica,8778084,9075011,85034645,70437166,101583,161514,591966,717716
05,Electronics,2410,Jamaica,243175,350141,3507972,2074072,0,2743,16743,4482
06,Flexible Manufacturing,2410,Jamaica,1035197,890851,4131558,2371082,0,0,239806,111529
07,Advanced Materials,2410,Jamaica,65243,9828,565112,215756,0,0,0,0
08,Aerospace,2410,Jamaica,890826,572396,15843178,16182624,0,0,0,25500
09,Weapons,2410,Jamaica,0,0,8000,20537,0,0,4000,6000
10,Nuclear Technology,2410,Jamaica,5436,23382,37891,20530,0,0,0,0
01,Biotechnology,2430,Turks and Caicos Islands,3370,0,6603,15866,0,0,0,0
02,Life Science,2430,Turks and Caicos Islands,5949,26828,696997,110472,0,0,0,0
03,Opto-Electronics,2430,Turks and Caicos Islands,3199,3600,31861,37613,0,0,0,0
04,Information & Communications,2430,Turks and Caicos Islands,1007798,337998,4489398,7800349,0,35000,65099,15952
05,Electronics,2430,Turks and Caicos Islands,11849,16432,125344,226613,0,0,9948,6000
06,Flexible Manufacturing,2430,Turks and Caicos Islands,40847,119270,717845,468488,0,0,0,10514
07,Advanced Materials,2430,Turks and Caicos Islands,0,70144,93893,40256,0,0,0,0
08,Aerospace,2430,Turks and Caicos Islands,56381,16347,818639,275185,0,265000,265000,0
09,Weapons,2430,Turks and Caicos Islands,5189,5249,21250,36410,0,0,0,0
01,Biotechnology,2440,Cayman Islands,0,0,14508,8101,0,0,0,0
02,Life Science,2440,Cayman Islands,51994,32214,1511316,804603,0,0,704992,30230
03,Opto-Electronics,2440,Cayman Islands,48284,57145,734570,604514,0,0,0,0
04,Information & Communications,2440,Cayman Islands,1508725,1978496,18386644,18001554,110228,80801,319571,466962
05,Electronics,2440,Cayman Islands,69600,183363,771594,501181,0,0,40071,0
06,Flexible Manufacturing,2440,Cayman Islands,20793,51770,689715,466333,0,0,0,0
07,Advanced Materials,2440,Cayman Islands,10311,6490,163483,26442,0,0,0,0
08,Aerospace,2440,Cayman Islands,45308,26321,716723,138671,0,0,0,0
09,Weapons,2440,Cayman Islands,0,0,0,2780,0,0,0,0
10,Nuclear Technology,2440,Cayman Islands,0,0,2689,0,0,0,0,0
01,Biotechnology,2450,Haiti,3078,0,92203,5670,0,0,0,0
02,Life Science,2450,Haiti,91158,190525,816162,786447,0,0,0,2145
03,Opto-Electronics,2450,Haiti,55380,78920,652263,368026,0,0,0,0
04,Information & Communications,2450,Haiti,3221755,4598025,41686267,39140540,0,0,3350,23264
05,Electronics,2450,Haiti,38801,186420,543706,958269,0,0,0,18333
06,Flexible Manufacturing,2450,Haiti,183992,0,1041601,2903213,0,0,0,0
07,Advanced Materials,2450,Haiti,0,0,0,45229,0,0,0,0
08,Aerospace,2450,Haiti,18770,0,376299,2805335,0,0,0,0
10,Nuclear Technology,2450,Haiti,0,0,0,15400,0,0,0,0
01,Biotechnology,2470,Dominican Republic,193182,185811,2814818,2865827,5525,0,10025,0
02,Life Science,2470,Dominican Republic,3690367,3510879,29198397,11808790,29121080,29254769,240156932,250260382
03,Opto-Electronics,2470,Dominican Republic,850146,712638,4830314,3154916,801373,819007,3787393,4010287
04,Information & Communications,2470,Dominican Republic,11504683,12876940,151342394,118229680,8589160,10278807,94370540,83088159
05,Electronics,2470,Dominican Republic,7419221,7979300,59146840,52946933,51976,160824,3632210,1564525
06,Flexible Manufacturing,2470,Dominican Republic,238600,1421634,10594990,10986682,102093,22661,617360,435892
07,Advanced Materials,2470,Dominican Republic,194770,60270,985597,654623,69469,233556,2963041,196029
08,Aerospace,2470,Dominican Republic,326795,169948,13331396,13333839,0,0,19584,32859
09,Weapons,2470,Dominican Republic,139028,0,506718,380208,0,0,0,0
10,Nuclear Technology,2470,Dominican Republic,0,0,141859,127985,0,0,0,0
01,Biotechnology,2481,Anguilla,0,0,0,17066,0,0,0,0
02,Life Science,2481,Anguilla,39000,17834,66834,314575,0,0,0,9500
03,Opto-Electronics,2481,Anguilla,0,4599,59004,99881,0,0,0,0
04,Information & Communications,2481,Anguilla,192335,144862,1156029,1613684,0,0,0,5200
05,Electronics,2481,Anguilla,6762,0,18344,94270,0,102163,102163,0
06,Flexible Manufacturing,2481,Anguilla,0,0,3896,219127,0,0,0,0
08,Aerospace,2481,Anguilla,0,0,34211,770967,0,0,0,11862
02,Life Science,2482,British Virgin Islands,15595,287199,823057,675411,0,0,0,84569
03,Opto-Electronics,2482,British Virgin Islands,2813,126248,309435,81418,0,0,0,0
04,Information & Communications,2482,British Virgin Islands,500842,662764,5901046,5784749,85000,93275,280000,129025
05,Electronics,2482,British Virgin Islands,0,11999,64283,18761,0,0,0,7500
06,Flexible Manufacturing,2482,British Virgin Islands,0,0,1094473,154588,0,0,0,0
07,Advanced Materials,2482,British Virgin Islands,11000,0,21595,9916,0,0,0,0
08,Aerospace,2482,British Virgin Islands,6291,3143,7848566,40865886,0,0,0,0
09,Weapons,2482,British Virgin Islands,0,0,22123,13443,0,0,0,0
01,Biotechnology,2483,St Kitts and Nevis,0,0,0,26291,0,0,0,0
02,Life Science,2483,St Kitts and Nevis,8960,20471,246281,126737,0,0,0,12338
03,Opto-Electronics,2483,St Kitts and Nevis,6400,7231,70483,126715,0,3547,3547,0
04,Information & Communications,2483,St Kitts and Nevis,322105,1095140,4541316,6039072,11832,17177,194997,2971341
05,Electronics,2483,St Kitts and Nevis,91870,64346,578514,136773,0,0,8522,25016
06,Flexible Manufacturing,2483,St Kitts and Nevis,0,8040,52113,74271,0,0,20463,18201
07,Advanced Materials,2483,St Kitts and Nevis,49996,3146,111937,34102,0,0,0,0
08,Aerospace,2483,St Kitts and Nevis,0,9547,9547,23562,0,0,0,0
09,Weapons,2483,St Kitts and Nevis,0,0,66845,0,0,0,0,0
10,Nuclear Technology,2483,St Kitts and Nevis,0,0,3237,0,0,0,0,0
01,Biotechnology,2484,Antigua and Barbuda,0,0,0,8000,0,0,0,0
02,Life Science,2484,Antigua and Barbuda,0,72847,386797,451741,0,0,0,10704
03,Opto-Electronics,2484,Antigua and Barbuda,7900,0,112438,149418,0,0,0,0
04,Information & Communications,2484,Antigua and Barbuda,398386,854480,6991919,6731126,0,0,36319,72380
05,Electronics,2484,Antigua and Barbuda,3910,102413,251145,148807,4764,0,4764,2884
06,Flexible Manufacturing,2484,Antigua and Barbuda,0,0,187740,983497,0,0,0,0
07,Advanced Materials,2484,Antigua and Barbuda,0,0,15829,70513,0,0,0,0
08,Aerospace,2484,Antigua and Barbuda,284432,799651,2804621,2458846,12201,12201,45770,68002
09,Weapons,2484,Antigua and Barbuda,0,0,25224,154624,0,0,0,0
02,Life Science,2485,Montserrat,0,0,27727,246184,0,0,0,0
03,Opto-Electronics,2485,Montserrat,0,0,12353,52797,0,0,0,0
04,Information & Communications,2485,Montserrat,31236,30917,332460,427675,0,0,194184,266630
05,Electronics,2485,Montserrat,0,0,0,15255,0,0,0,0
08,Aerospace,2485,Montserrat,0,0,0,8678519,0,0,0,0
01,Biotechnology,2486,Dominica,0,11022,11022,0,0,0,0,0
02,Life Science,2486,Dominica,30530,38355,343902,142878,0,0,148000,30617
03,Opto-Electronics,2486,Dominica,0,0,113166,66947,0,0,0,3000
04,Information & Communications,2486,Dominica,447222,564727,2955538,3496840,0,12079,20812,215711
05,Electronics,2486,Dominica,9214,8553,57504,398078,0,4573,6576,2115
06,Flexible Manufacturing,2486,Dominica,0,33000,86012,241190,0,2069,2069,0
07,Advanced Materials,2486,Dominica,0,0,0,9012,0,0,0,0
08,Aerospace,2486,Dominica,0,0,0,22525,0,0,0,0
09,Weapons,2486,Dominica,0,0,9733,0,0,0,0,0
10,Nuclear Technology,2486,Dominica,0,0,0,0,0,0,0,7376
01,Biotechnology,2487,St Lucia,0,0,7175,0,0,0,0,0
02,Life Science,2487,St Lucia,28353,5538,248381,339200,0,0,0,117627
03,Opto-Electronics,2487,St Lucia,20128,9500,117268,67948,0,0,0,12934
04,Information & Communications,2487,St Lucia,781563,637140,5460627,5006040,0,0,10259,2435
05,Electronics,2487,St Lucia,0,3270,98653,42557,0,13002,13002,35470
06,Flexible Manufacturing,2487,St Lucia,42855,16377,158035,102111,0,3000,3000,29932
07,Advanced Materials,2487,St Lucia,0,10650,10650,0,0,0,0,0
08,Aerospace,2487,St Lucia,92602,134628,508549,252619,0,0,18535,0
09,Weapons,2487,St Lucia,0,0,0,22175,0,0,0,0
02,Life Science,2488,St Vincent and the Grenadines,7050,0,110191,31765,0,0,0,0
03,Opto-Electronics,2488,St Vincent and the Grenadines,0,2536,19940,33537,0,0,0,0
04,Information & Communications,2488,St Vincent and the Grenadines,315498,278841,2924786,2333682,4050,0,6650,0
05,Electronics,2488,St Vincent and the Grenadines,0,0,4426,2700,0,0,0,0
06,Flexible Manufacturing,2488,St Vincent and the Grenadines,2583,6793,1129106,21089,0,0,0,0
07,Advanced Materials,2488,St Vincent and the Grenadines,0,0,37446,6468,0,0,0,0
08,Aerospace,2488,St Vincent and the Grenadines,4255,12578,228829,139618,0,0,0,0
01,Biotechnology,2489,Grenada,3668,0,3668,0,0,0,0,0
02,Life Science,2489,Grenada,39800,0,143819,329487,0,0,0,0
03,Opto-Electronics,2489,Grenada,109210,0,267850,61898,0,0,0,0
04,Information & Communications,2489,Grenada,584319,465830,5668647,5537623,2100,0,13342,5500
05,Electronics,2489,Grenada,0,3930,69309,58767,0,0,0,0
06,Flexible Manufacturing,2489,Grenada,59347,0,131481,187353,0,0,4000,0
07,Advanced Materials,2489,Grenada,0,0,10868,21572,0,0,0,0
08,Aerospace,2489,Grenada,0,0,250001,67491,0,0,0,0
01,Biotechnology,2720,Barbados,6820,21588,125991,166004,0,0,0,0
02,Life Science,2720,Barbados,217265,120247,3807660,3836142,0,15851,98499,118750
03,Opto-Electronics,2720,Barbados,77390,84417,519407,505722,0,0,7650,4000
04,Information & Communications,2720,Barbados,2345310,3175608,27202775,39945139,19629,3000,25006,162520
05,Electronics,2720,Barbados,85126,58951,1052401,1106848,0,3686,67448,601298
06,Flexible Manufacturing,2720,Barbados,29194,50626,1063288,1725345,100000,0,410555,493988
07,Advanced Materials,2720,Barbados,0,44521,287386,1225482,0,0,0,0
08,Aerospace,2720,Barbados,453783,2294752,6334112,274498,0,0,12278,0
09,Weapons,2720,Barbados,0,0,10292,112987,0,0,0,0
10,Nuclear Technology,2720,Barbados,0,0,33749,0,0,0,0,0
01,Biotechnology,2740,Trinidad and Tobago,85938,203708,858391,658513,0,0,0,0
02,Life Science,2740,Trinidad and Tobago,1287289,1741678,15519132,14823544,5000,0,63505,35437
03,Opto-Electronics,2740,Trinidad and Tobago,202860,219557,2603114,1224000,0,0,10621,0
04,Information & Communications,2740,Trinidad and Tobago,11606668,7886265,76460408,133154004,0,35410,218765,127868
05,Electronics,2740,Trinidad and Tobago,168928,150999,2034007,4496591,0,0,18683,35442
06,Flexible Manufacturing,2740,Trinidad and Tobago,569181,1213791,7059560,4952561,0,0,19800,0
07,Advanced Materials,2740,Trinidad and Tobago,51882,58205,2033018,1753267,0,0,0,0
08,Aerospace,2740,Trinidad and Tobago,1362711,1084282,18692903,17063346,12201,0,12201,55556
09,Weapons,2740,Trinidad and Tobago,0,0,48927,115750,0,0,0,0
10,Nuclear Technology,2740,Trinidad and Tobago,42273,1069047,3163230,2498634,0,0,0,0
01,Biotechnology,2771,Netherlands Antilles,14635,0,36480,79575,0,0,0,0
02,Life Science,2771,Netherlands Antilles,52686,81175,1660384,4240395,0,2274,17681,243714
03,Opto-Electronics,2771,Netherlands Antilles,13247,45001,801517,664639,10490,0,10490,4000
04,Information & Communications,2771,Netherlands Antilles,6224876,6106316,52829339,59406827,379925,101711,1602290,679190
05,Electronics,2771,Netherlands Antilles,34384,290947,1039611,1002464,0,0,34748,58132
06,Flexible Manufacturing,2771,Netherlands Antilles,225218,1101813,1918855,732548,0,4700,4700,9174
07,Advanced Materials,2771,Netherlands Antilles,0,0,1995805,170711,0,0,0,0
