Dataset:              Benthic Species Abundance Data
File Name:            va90_3_2.txt
Date Created:         03/10/96
# Variables:          7
# Header Records:     17
# Data Records:       3515
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              #GRABS       Number of grabs
              T_ABN        Total abundance (#)
              M_ABN        Mean abundance (#)
              SDABN        Std. dev. of mean abundance

STA_NAME   DATE LATIN NAME                       #GRABS  T_ABN    M_ABN  SDABN
VA90-022 900723 PHERUSA                               3      8     2.67   2.31
VA90-022 900723 PHERUSA AFFINIS                       3     12     4.00   3.00
VA90-022 900723 PHORONIS SPP.                         3      2     0.67   0.58
VA90-022 900723 PINNIXA SPP.                          3     13     4.33   2.08
VA90-022 900723 PITAR MORRHUANUS                      3     15     5.00   3.46
VA90-022 900723 PYRAMIDELLIDAE                        3      1     0.33   0.58
VA90-022 900723 SACCOGLOSSUS KOWALEVSKII              3      1     0.33   0.58
VA90-022 900723 SCOLELEPIS BOUSFIELDI                 3      7     2.33   2.08
VA90-022 900723 SIGAMBRA TENTACULATA                  3     35    11.67   5.51
VA90-022 900723 THARYX SP. A MORRIS                   3     11     3.67   0.58
VA90-022 900723 TURBONILLA SPP.                       3     10     3.33   2.31
VA90-022 900723 YOLDIA LIMATULA                       3    152    50.67  26.10
VA90-023 900819 ACTEOCINA CANALICULATA                3    135    45.00  16.52
VA90-023 900819 ACTEON PUNCTOSTRIATUS                 3    120    40.00  18.33
VA90-023 900819 AMPELISCA SPP.                        3     32    10.67   8.62
VA90-023 900819 AMPELISCA VERRILLI                    3      3     1.00   1.00
VA90-023 900819 BATEA CATHARINENSIS                   3      1     0.33   0.58
VA90-023 900819 CERAPUS TUBULARIS                     3     88    29.33   8.02
VA90-023 900819 CLYMENELLA TORQUATA                   3      2     0.67   0.58
VA90-023 900819 COROPHIUM SPP.                        3      3     1.00   1.00
VA90-023 900819 COROPHIUM TUBERCULATUM                3      7     2.33   4.04
VA90-023 900819 CRANGON SEPTEMSPINOSA                 3      1     0.33   0.58
VA90-023 900819 CREPIDULA SPP.                        3      1     0.33   0.58
VA90-023 900819 CYCLASPIS VARIANS                     3      4     1.33   1.53
VA90-023 900819 DEMONAX MICROPHTHALMUS                3      1     0.33   0.58
VA90-023 900819 EDOTEA TRILOBA                        3      2     0.67   1.15
VA90-023 900819 EPITONIUM RUPICOLA                    3      2     0.67   1.15
VA90-023 900819 EUPLEURA CAUDATA                      3      2     0.67   0.58
VA90-023 900819 GASTROPODA: OTHER                     3      1     0.33   0.58
VA90-023 900819 GLYCERA AMERICANA                     3      6     2.00   2.00
VA90-023 900819 GLYCERA SPP.                          3      5     1.67   0.58
VA90-023 900819 GLYCINDE SOLITARIA                    3    109    36.33   5.51
VA90-023 900819 GONIADIDAE                            3     22     7.33   5.03
VA90-023 900819 LEITOSCOLOPLOS ROBUSTUS               3      2     0.67   0.58
VA90-023 900819 LEITOSCOLOPLOS SPP.                   3     27     9.00   1.00
VA90-023 900819 LEUCON AMERICANUS                     3      4     1.33   1.53
VA90-023 900819 MEDIOMASTUS AMBISETA                  3    262    87.33  39.58
VA90-023 900819 MICROPHTHALMUS SCZELKOWII             3      1     0.33   0.58
VA90-023 900819 MICROPROTOPUS RANEYI                  3      1     0.33   0.58
VA90-023 900819 MONOCULODES SP. 1 WATLING             3      2     0.67   0.58
VA90-023 900819 MULINIA LATERALIS                     3      4     1.33   2.31
VA90-023 900819 NEANTHES SUCCINEA                     3      2     0.67   0.58
VA90-023 900819 NEMERTINEA                            3     11     3.67   3.06
VA90-023 900819 NUCULA ANNULATA                       3      1     0.33   0.58
VA90-023 900819 OLIGOCHAETA                           3      6     2.00   1.00
VA90-023 900819 OXYUROSTYLIS SMITHI                   3      2     0.67   0.58
VA90-023 900819 PARACAPRELLA TENUIS                   3      3     1.00   1.73
VA90-023 900819 PARANAITIS SPECIOSA                   3      2     0.67   0.58
VA90-023 900819 PECTINARIA GOULDII                    3      8     2.67   2.08
VA90-023 900819 PENTAMERA PULCHERRIMA                 3      1     0.33   0.58
VA90-023 900819 PISTA CRISTATA                        3      2     0.67   1.15
VA90-023 900819 PODARKE OBSCURA                       3      6     2.00   1.00
VA90-023 900819 POLYCIRRUS SPP.                       3      7     2.33   4.04
VA90-023 900819 POLYDORA CORNUTA                      3      3     1.00   1.00
VA90-023 900819 PRIONOSPIO STEENSTRUPI                3      1     0.33   0.58
VA90-023 900819 SABELLARIA VULGARIS                   3      5     1.67   2.89
VA90-023 900819 SAYELLA CHESAPEAKEA                   3      3     1.00   1.00
VA90-023 900819 SERPULIDAE                            3      1     0.33   0.58
VA90-023 900819 SPHAEROSYLLIS TAYLORI                 3      1     0.33   0.58
VA90-023 900819 SPIOPHANES BOMBYX                     3      2     0.67   0.58
VA90-023 900819 TELLINA AGILIS                        3      3     1.00   1.00
VA90-023 900819 UNCIOLA                               3      1     0.33   0.58
VA90-024 900721 ACTEOCINA CANALICULATA                3     26     8.67   2.89
VA90-024 900721 ACTEON PUNCTOSTRIATUS                 3      3     1.00   1.00
VA90-024 900721 AMPELISCA ABDITA                      3      1     0.33   0.58
VA90-024 900721 AMPELISCA SPP.                        3     21     7.00   8.66
VA90-024 900721 AMPHARETE ARCTICA                     3      1     0.33   0.58
VA90-024 900721 ASABELLIDES OCULATA                   3      6     2.00   1.00
VA90-024 900721 ASYCHIS                               3      2     0.67   1.15
VA90-024 900721 ASYCHIS ELONGATA                      3      1     0.33   0.58
VA90-024 900721 BIVALVIA: OTHER - UNIDENTIFIED        3      1     0.33   0.58
VA90-024 900721 CANCER                                3      3     1.00   0.00
VA90-024 900721 CERIANTHEOPSIS AMERICANUS             3      5     1.67   1.15
VA90-024 900721 CIRRATULIDAE                          3      2     0.67   0.58
VA90-024 900721 COSSURA SOYERI                        3      1     0.33   0.58
VA90-024 900721 CRANGON SEPTEMSPINOSA                 3      1     0.33   0.58
VA90-024 900721 FARGOA GIBBOSA                        3      4     1.33   1.53
VA90-024 900721 GASTROPODA: OTHER                     3      1     0.33   0.58
VA90-024 900721 LEPTOCHEIRUS PINGUIS                  3      1     0.33   0.58
VA90-024 900721 LEVINSENIA GRACILIS                   3     27     9.00   1.73
VA90-024 900721 LYONSIA HYALINA                       3      1     0.33   0.58
VA90-024 900721 MALDANIDAE                            3     16     5.33   5.86
VA90-024 900721 MEDIOMASTUS AMBISETA                  3      2     0.67   0.58
VA90-024 900721 MELINNA MACULATA                      3      5     1.67   1.53
VA90-024 900721 MULINIA LATERALIS                     3     31    10.33   7.09
VA90-024 900721 NASSARIUS TRIVITTATUS                 3     30    10.00   5.29
VA90-024 900721 NATICA PUSILLA                        3      1     0.33   0.58
VA90-024 900721 NEMERTINEA                            3     28     9.33   3.21
VA90-024 900721 NEPHTYIDAE                            3     68    22.67   4.51
VA90-024 900721 NEPHTYS INCISA                        3     38    12.67   3.21
VA90-024 900721 NINOE NIGRIPES                        3      2     0.67   1.15
VA90-024 900721 NUCULA ANNULATA                       3    892   297.33  40.86
VA90-024 900721 ODOSTOMIA SPP.                        3      2     0.67   0.58
VA90-024 900721 OLIGOCHAETA                           3      1     0.33   0.58
VA90-024 900721 OWENIA FUSIFORMIS                     3      1     0.33   0.58
VA90-024 900721 OXYUROSTYLIS SMITHI                   3      3     1.00   1.00
VA90-024 900721 PANDORA                               3      3     1.00   1.00
VA90-024 900721 PANDORA GOULDIANA                     3      6     2.00   3.46
VA90-024 900721 PARANAITIS SPECIOSA                   3      2     0.67   0.58
VA90-024 900721 PHERUSA AFFINIS                       3      3     1.00   1.73
VA90-024 900721 PHORONIS SPP.                         3      2     0.67   0.58
VA90-024 900721 PINNIXA SPP.                          3      1     0.33   0.58
VA90-024 900721 PITAR MORRHUANUS                      3     43    14.33   3.21
VA90-024 900721 PRIONOSPIO STEENSTRUPI                3      1     0.33   0.58
VA90-024 900721 PYRAMIDELLIDAE                        3      2     0.67   1.15
VA90-024 900721 SCOLELEPIS BOUSFIELDI                 3      6     2.00   1.00
VA90-024 900721 SCOLELEPIS SPP.                       3      1     0.33   0.58
VA90-024 900721 SIGAMBRA TENTACULATA                  3      5     1.67   1.53
VA90-024 900721 SIPUNCULA                             3      4     1.33   2.31
VA90-024 900721 SPIOCHAETOPTERUS COSTARUM             3      1     0.33   0.58
VA90-024 900721 TURBONILLA SPP.                       3    196    65.33  30.01
VA90-024 900721 YOLDIA LIMATULA                       3     35    11.67   5.86
VA90-025 900722 ACTEOCINA CANALICULATA                3     43    14.33   5.51
VA90-025 900722 ACTEON PUNCTOSTRIATUS                 3      5     1.67   1.53
VA90-025 900722 AMPELISCA ABDITA                      3      2     0.67   1.15
VA90-025 900722 AMPHARETE ARCTICA                     3      1     0.33   0.58
VA90-025 900722 AMPHARETIDAE                          3     19     6.33   3.21
VA90-025 900722 ASABELLIDES OCULATA                   3     13     4.33   0.58
VA90-025 900722 ASYCHIS ELONGATA                      3      4     1.33   0.58
VA90-025 900722 CANCER                                3      9     3.00   1.73
VA90-025 900722 CERIANTHEOPSIS AMERICANUS             3      4     1.33   0.58
VA90-025 900722 CIRRATULIDAE                          3      8     2.67   1.15
VA90-025 900722 COSSURA SOYERI                        3      4     1.33   1.15
VA90-025 900722 CRANGON SEPTEMSPINOSA                 3      1     0.33   0.58
VA90-025 900722 GAMMARUS ANNULATUS                    3      1     0.33   0.58
VA90-025 900722 LEVINSENIA GRACILIS                   3      1     0.33   0.58
VA90-025 900722 LYONSIA HYALINA                       3      1     0.33   0.58
VA90-025 900722 MACOMA TENTA                          3      1     0.33   0.58
VA90-025 900722 MALDANIDAE                            3      4     1.33   1.15
VA90-025 900722 MEDIOMASTUS AMBISETA                  3    260    86.67  43.02
VA90-025 900722 MELINNA                               3      3     1.00   1.00
VA90-025 900722 MELINNA MACULATA                      3      1     0.33   0.58
VA90-025 900722 MULINIA LATERALIS                     3    600   200.00 139.60
VA90-025 900722 NASSARIUS TRIVITTATUS                 3     40    13.33   7.51
VA90-025 900722 NATICA PUSILLA                        3      1     0.33   0.58
VA90-025 900722 NEMERTINEA                            3     31    10.33   0.58
VA90-025 900722 NEPHTYIDAE                            3     69    23.00   7.55
VA90-025 900722 NEPHTYS INCISA                        3     62    20.67   2.89
VA90-025 900722 NUCULA ANNULATA                       3   2810   936.67 646.61
VA90-025 900722 ODOSTOMIA SPP.                        3     22     7.33   8.08
VA90-025 900722 OLIGOCHAETA                           3     20     6.67   3.51
VA90-025 900722 PARANAITIS SPECIOSA                   3      1     0.33   0.58
VA90-025 900722 PECTINARIA GOULDII                    3      1     0.33   0.58
VA90-025 900722 PHERUSA                               3      7     2.33   4.04
VA90-025 900722 PHERUSA AFFINIS                       3     10     3.33   3.51
VA90-025 900722 PHORONIS SPP.                         3      3     1.00   0.00
VA90-025 900722 PINNIXA SPP.                          3      1     0.33   0.58
VA90-025 900722 PITAR MORRHUANUS                      3      5     1.67   2.08
VA90-025 900722 POLYCIRRUS SPP.                       3      3     1.00   1.00
VA90-025 900722 PRIONOSPIO STEENSTRUPI                3      2     0.67   0.58
VA90-025 900722 PYRAMIDELLIDAE                        3      6     2.00   2.65
VA90-025 900722 SIGAMBRA TENTACULATA                  3      9     3.00   1.73
VA90-025 900722 SIPUNCULA                             3      1     0.33   0.58
VA90-025 900722 THARYX SP. A MORRIS                   3      3     1.00   1.00
VA90-025 900722 TURBONILLA SPP.                       3     26     8.67   2.31
VA90-025 900722 YOLDIA LIMATULA                       3    276    92.00  47.63
VA90-026 900722 ACTEOCINA CANALICULATA                3      2     0.67   1.15
VA90-026 900722 AMPELISCA SPP.                        3      2     0.67   0.58
VA90-026 900722 AMPHARETE ARCTICA                     3      8     2.67   2.08
VA90-026 900722 AMPHARETIDAE                          3     10     3.33   2.52
VA90-026 900722 ASABELLIDES OCULATA                   3      1     0.33   0.58
VA90-026 900722 CANCER                                3      1     0.33   0.58
VA90-026 900722 CERIANTHEOPSIS AMERICANUS             3      1     0.33   0.58
VA90-026 900722 CIRRATULIDAE                          3      1     0.33   0.58
VA90-026 900722 COSSURA SOYERI                        3      1     0.33   0.58
VA90-026 900722 CRANGON SEPTEMSPINOSA                 3      2     0.67   0.58
VA90-026 900722 GAMMARIDAE                            3      1     0.33   0.58
VA90-026 900722 GASTROPODA: OTHER                     3      1     0.33   0.58
VA90-026 900722 LEPTOCHEIRUS PINGUIS                  3      4     1.33   1.15
VA90-026 900722 LEVINSENIA GRACILIS                   3      1     0.33   0.58
VA90-026 900722 MEDIOMASTUS AMBISETA                  3    409   136.33  73.38
VA90-026 900722 MULINIA LATERALIS                     3     10     3.33   3.06
VA90-026 900722 MYA ARENARIA                          3      3     1.00   0.00
VA90-026 900722 NASSARIUS TRIVITTATUS                 3      6     2.00   2.65
VA90-026 900722 NEMERTINEA                            3      3     1.00   0.00
VA90-026 900722 NEPHTYIDAE                            3     31    10.33   3.79
VA90-026 900722 NEPHTYS INCISA                        3     26     8.67   2.52
VA90-026 900722 NUCULA ANNULATA                       3   2351   783.67 139.34
VA90-026 900722 ODOSTOMIA SPP.                        3      1     0.33   0.58
VA90-026 900722 OLIGOCHAETA                           3     27     9.00   7.00
VA90-026 900722 PARANAITIS SPECIOSA                   3      5     1.67   2.89
VA90-026 900722 PHERUSA                               3     22     7.33   5.03
VA90-026 900722 PHERUSA AFFINIS                       3     11     3.67   5.51
VA90-026 900722 PITAR MORRHUANUS                      3      2     0.67   0.58
VA90-026 900722 POLYDORA CORNUTA                      3      1     0.33   0.58
VA90-026 900722 PRIONOSPIO STEENSTRUPI                3      1     0.33   0.58
VA90-026 900722 PYRAMIDELLIDAE                        3      2     0.67   0.58
VA90-026 900722 SIGAMBRA TENTACULATA                  3     12     4.00   3.00
VA90-026 900722 STREBLOSPIO BENEDICTI                 3      8     2.67   1.53
VA90-026 900722 TELLINA AGILIS                        3      7     2.33   1.53
VA90-026 900722 THARYX SP. A MORRIS                   3      2     0.67   0.58
VA90-026 900722 YOLDIA LIMATULA                       3    234    78.00  34.18
VA90-027 900805 ACANTHOHAUSTORIUS SPP.                3      1     0.33   0.58
VA90-027 900805 ANTHOZOA                              3      1     0.33   0.58
VA90-027 900805 ARICIDEA CATHERINAE                   3      5     1.67   1.53
VA90-027 900805 CHIRIDOTEA                            3      1     0.33   0.58
VA90-027 900805 EXOGONE HEBES                         3    192    64.00  67.82
VA90-027 900805 NASSARIUS TRIVITTATUS                 3      1     0.33   0.58
VA90-027 900805 NATICA PUSILLA                        3      2     0.67   1.15
VA90-027 900805 NEMERTINEA                            3     41    13.67  15.95
VA90-027 900805 NEPHTYS PICTA                         3     37    12.33   3.06
VA90-027 900805 OLIGOCHAETA                           3     66    22.00  22.65
VA90-027 900805 OPHELIIDAE                            3      1     0.33   0.58
VA90-027 900805 PSEUDUNCIOLA OBLIQUUA                 3     29     9.67   3.51
VA90-027 900805 RHEPOXYNIUS HUDSONI                   3      3     1.00   1.00
VA90-027 900805 SPISULA SOLIDISSIMA                   3     15     5.00   2.00
VA90-027 900805 TRAVISIA                              3      1     0.33   0.58
VA90-027 900805 TURBONILLA SPP.                       3      1     0.33   0.58
VA90-028 900731 ACTEOCINA CANALICULATA                3      3     1.00   1.00
VA90-028 900731 ACTEON PUNCTOSTRIATUS                 3      3     1.00   1.73
VA90-028 900731 AMPELISCA SPP.                        3     53    17.67  19.66
VA90-028 900731 AMPHARETE ARCTICA                     3      1     0.33   0.58
VA90-028 900731 CIRRATULIDAE                          3      8     2.67   4.62
VA90-028 900731 CRANGON SEPTEMSPINOSA                 3      1     0.33   0.58
VA90-028 900731 CREPIDULA SPP.                        3      3     1.00   1.73
VA90-028 900731 ENSIS DIRECTUS                        3      1     0.33   0.58
VA90-028 900731 GAMMARUS DAIBERI                      3      1     0.33   0.58
VA90-028 900731 LEUCON AMERICANUS                     3      2     0.67   0.58
VA90-028 900731 MEDIOMASTUS AMBISETA                  3     65    21.67  28.22
VA90-028 900731 MULINIA LATERALIS                     3      7     2.33   4.04
VA90-028 900731 MYTILUS EDULIS                        3      5     1.67   1.53
VA90-028 900731 NASSARIUS TRIVITTATUS                 3     16     5.33   8.39
VA90-028 900731 NEPHTYIDAE                            3      1     0.33   0.58
VA90-028 900731 NEPHTYS INCISA                        3     14     4.67   2.31
VA90-028 900731 NEREIDIDAE                            3      1     0.33   0.58
VA90-028 900731 NUCULANIDAE                           3      1     0.33   0.58
VA90-028 900731 OLIGOCHAETA                           3     64    21.33  13.50
VA90-028 900731 PAGURUS LONGICARPUS                   3      1     0.33   0.58
VA90-028 900731 PECTINARIA GOULDII                    3      2     0.67   1.15
VA90-028 900731 PITAR MORRHUANUS                      3      1     0.33   0.58
VA90-028 900731 POLYDORA                              3      1     0.33   0.58
VA90-028 900731 POLYDORA CORNUTA                      3      9     3.00   5.20
VA90-028 900731 SABELLARIA VULGARIS                   3      3     1.00   1.73
VA90-028 900731 SPIOCHAETOPTERUS COSTARUM             3      1     0.33   0.58
VA90-028 900731 STREBLOSPIO BENEDICTI                 3      2     0.67   1.15
VA90-028 900731 TELLINA AGILIS                        3      7     2.33   4.04
VA90-028 900731 THARYX SP. A MORRIS                   3     18     6.00   9.54
VA90-028 900731 YOLDIA LIMATULA                       3      4     1.33   2.31
VA90-029 900805 AMPELISCA SPP.                        3   6072  2024.00 1933.1
VA90-029 900805 AMPELISCA VADORUM                     3      2     0.67   1.15
VA90-029 900805 AMPELISCA VERRILLI                    3    119    39.67  58.62
VA90-029 900805 AMPHARETIDAE                          3      4     1.33   1.15
VA90-029 900805 ANACHIS LAFRESNAYI                    3     55    18.33  31.75
VA90-029 900805 ANADARA TRANSVERSA                    3      1     0.33   0.58
VA90-029 900805 ANOMIA SIMPLEX                        3      2     0.67   1.15
VA90-029 900805 ARABELLIDAE                           3      1     0.33   0.58
VA90-029 900805 ARICIDEA CATHERINAE                   3      1     0.33   0.58
VA90-029 900805 ASTYRIS LUNATA                        3      8     2.67   4.62
VA90-029 900805 ASYCHIS ELONGATA                      3      1     0.33   0.58
VA90-029 900805 CANCER                                3      1     0.33   0.58
VA90-029 900805 CAPITELLA                             3      8     2.67   2.52
VA90-029 900805 CAPITELLIDAE                          3      1     0.33   0.58
VA90-029 900805 CIRRATULIDAE                          3    228    76.00  96.95
VA90-029 900805 CLYMENELLA TORQUATA                   3     34    11.33  10.97
VA90-029 900805 COROPHIUM SPP.                        3     20     6.67   9.87
VA90-029 900805 CREPIDULA SPP.                        3     13     4.33   4.16
VA90-029 900805 EDOTEA TRILOBA                        3      1     0.33   0.58
VA90-029 900805 ENSIS DIRECTUS                        3     10     3.33   4.93
VA90-029 900805 GASTROPODA: OTHER                     3      5     1.67   2.89
VA90-029 900805 GLYCERA AMERICANA                     3      5     1.67   2.08
VA90-029 900805 GLYCERA SPP.                          3      3     1.00   1.00
VA90-029 900805 HUTCHINSONIELLA MACRACANTHA           3      2     0.67   1.15
VA90-029 900805 LISTRIELLA BARNARDI                   3      1     0.33   0.58
VA90-029 900805 LISTRIELLA SMITHI                     3      1     0.33   0.58
VA90-029 900805 LYONSIA HYALINA                       3      2     0.67   1.15
VA90-029 900805 MALDANIDAE                            3     13     4.33   4.16
VA90-029 900805 MEDIOMASTUS AMBISETA                  3    408   136.00 207.30
VA90-029 900805 NASSARIUS TRIVITTATUS                 3     69    23.00  25.24
VA90-029 900805 NATICA PUSILLA                        3      2     0.67   1.15
VA90-029 900805 NEMERTINEA                            3     16     5.33   6.81
VA90-029 900805 NINOE NIGRIPES                        3      1     0.33   0.58
VA90-029 900805 NOTOCIRRUS SPINIFERUS                 3      2     0.67   0.58
VA90-029 900805 NUCULA ANNULATA                       3      1     0.33   0.58
VA90-029 900805 OLIGOCHAETA                           3     62    20.67  28.88
VA90-029 900805 ONUPHIDAE                             3      2     0.67   0.58
VA90-029 900805 PARANAITIS SPECIOSA                   3      1     0.33   0.58
VA90-029 900805 PECTINARIA GOULDII                    3      1     0.33   0.58
VA90-029 900805 PETRICOLA PHOLADIFORMIS               3     29     9.67  10.02
VA90-029 900805 PHOLOE MINUTA                         3      1     0.33   0.58
VA90-029 900805 PHYLLODOCE ARENAE                     3     18     6.00   7.94
VA90-029 900805 PINNIXA SPP.                          3      4     1.33   2.31
VA90-029 900805 PITAR MORRHUANUS                      3      1     0.33   0.58
VA90-029 900805 POLYCIRRUS EXIMIUS                    3      1     0.33   0.58
VA90-029 900805 POLYNOIDAE                            3      1     0.33   0.58
VA90-029 900805 PYRAMIDELLIDAE                        3      8     2.67   4.62
VA90-029 900805 SCALIBREGMA INFLATUM                  3      1     0.33   0.58
VA90-029 900805 SPIOCHAETOPTERUS COSTARUM             3      1     0.33   0.58
VA90-029 900805 SPIOPHANES BOMBYX                     3      3     1.00   1.73
VA90-029 900805 TELLINA AGILIS                        3      4     1.33   1.15
VA90-029 900805 THALASSINIDEA                         3      6     2.00   2.65
VA90-029 900805 THARYX SP. A MORRIS                   3    135    45.00  59.10
VA90-029 900805 TURBELLARIA                           3      1     0.33   0.58
VA90-029 900805 TURBONILLA SPP.                       3      3     1.00   1.00
VA90-029 900805 UNCIOLA                               3     48    16.00  17.58
VA90-029 900805 UPOGEBIA AFFINIS                      3      2     0.67   1.15
VA90-029 900805 YOLDIA LIMATULA                       3      1     0.33   0.58
VA90-031 900829 ACTEOCINA CANALICULATA                3    109    36.33   5.77
VA90-031 900829 AMPELISCA SPP.                        3      1     0.33   0.58
VA90-031 900829 AMPELISCA VERRILLI                    3     19     6.33   0.58
VA90-031 900829 AMPHARETIDAE                          3      3     1.00   1.73
VA90-031 900829 ANTHOZOA                              3     16     5.33   4.04
VA90-031 900829 BRANCHIOSTOMA CARIBAEUM               3      1     0.33   0.58
VA90-031 900829 CIRRATULIDAE                          3      1     0.33   0.58
VA90-031 900829 EDOTEA TRILOBA                        3      5     1.67   1.53
VA90-031 900829 ENSIS DIRECTUS                        3      1     0.33   0.58
VA90-031 900829 EPITONIUM RUPICOLA                    3      2     0.67   1.15
