-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
sni1        49718.000    1995     1     1     0
sni1        52274.750    2001    12    31    18
sni1     -2631346.566 -4646278.982  3477113.259
49741.50    -0.097749     0.069412     0.879132
49741.75    -0.019073     0.213375     0.307709
49742.00    -0.094751     0.088202     0.669124
49742.25    -0.094748     0.117504     0.649551
49742.50    -0.216388     0.027130     1.289244
49742.75    -0.204282     0.076988     0.856009
49743.00    -0.295907    -0.080521     1.183429
49743.25    -0.187117     0.024675     0.646200
49743.50    -0.181737    -0.004850     0.846855
49743.75    -0.062224     0.104369     0.057463
49744.00    -0.077026    -0.053753     0.365147
49744.25     0.067233    -0.013265     0.150026
49744.50     0.080970    -0.089974     0.567342
49744.75     0.184986     0.018065    -0.079849
49745.00     0.240153    -0.042789    -0.015509
49745.25     0.382908     0.121042    -0.487573
49745.50     0.367191     0.157350    -0.305260
49745.75     0.403055     0.351908    -0.985174
49746.00     0.311211     0.250209    -0.705304
49746.25     0.303771     0.359126    -0.929371
49746.50     0.164338     0.348989    -0.557697
49746.75     0.124329     0.479507    -1.234176
49747.00     0.003619     0.317189    -0.906372
49747.25     0.028312     0.354559    -1.120583
49747.50    -0.088762     0.263533    -0.656757
49747.75    -0.117960     0.296555    -1.027699
49748.00    -0.214405     0.080386    -0.530106
49748.25    -0.215963     0.081669    -0.490451
49748.50    -0.327786    -0.020322     0.121879
49748.75    -0.282851     0.039141    -0.400687
49749.00    -0.333251    -0.102600    -0.116516
49749.25    -0.222582    -0.045176    -0.330198
49749.50    -0.237093    -0.113645     0.130378
49749.75    -0.131579     0.029482    -0.610702
49750.00    -0.174192    -0.097726    -0.191337
49750.25    -0.023411    -0.000567    -0.568549
49750.50     0.035204    -0.008047    -0.304842
49750.75     0.231708     0.174482    -1.140816
49751.00     0.296498     0.119823    -1.051286
49751.25     0.458614     0.296608    -1.519476
49751.50     0.481667     0.372621    -1.425518
49751.75     0.537793     0.565103    -2.271404
49752.00     0.474347     0.459262    -2.063768
49752.25     0.525277     0.542070    -2.367559
49752.50     0.479972     0.470853    -1.927899
49752.75     0.530142     0.503743    -2.359723
49753.00     0.450367     0.297135    -1.798565
49753.25     0.455052     0.333037    -1.884735
49753.50     0.337017     0.292244    -1.453288
49753.75     0.354595     0.427851    -2.159376
49754.00     0.254249     0.261923    -1.667488
49754.25     0.263434     0.308570    -1.830669
49754.50     0.191051     0.206287    -1.271029
49754.75     0.252542     0.269479    -1.764145
49755.00     0.166486     0.064742    -1.265088
49755.25     0.212712     0.108351    -1.406072
49755.50     0.149085     0.070555    -0.928073
49755.75     0.170359     0.220373    -1.513577
49756.00     0.038573     0.087021    -1.064178
49756.25     0.031049     0.191256    -1.143704
49756.50    -0.069133     0.149193    -0.646924
49756.75    -0.017488     0.256283    -1.258163
49757.00    -0.083183     0.060276    -0.772419
49757.25    -0.036961     0.087839    -0.890113
49757.50    -0.103379    -0.016806    -0.423057
49757.75     0.004234     0.049609    -1.123363
49758.00    -0.052919    -0.175531    -0.603451
49758.25     0.054863    -0.133505    -0.762928
49758.50    -0.021095    -0.245328    -0.103631
49758.75     0.041738    -0.166061    -0.548475
49759.00    -0.039293    -0.376566     0.125181
49759.25     0.024019    -0.320676     0.093094
49759.50    -0.034797    -0.348128     0.606415
49759.75    -0.006098    -0.194620     0.060018
49760.00    -0.118886    -0.354537     0.750696
49760.25    -0.086799    -0.278567     0.729401
49760.50    -0.167946    -0.320289     1.308977
49760.75    -0.179856    -0.186114     0.741740
49761.00    -0.301519    -0.350991     1.429223
49761.25    -0.334960    -0.243940     1.323428
49761.50    -0.475406    -0.273664     1.898993
49761.75    -0.498320    -0.160815     1.431744
49762.00    -0.675192    -0.373618     2.201923
49762.25    -0.693984    -0.343343     2.162450
49762.50    -0.853992    -0.507315     2.955438
49762.75    -0.823122    -0.511228     2.535897
49763.00    -0.864244    -0.693157     2.875354
49763.25    -0.701597    -0.556247     2.435893
49763.50    -0.681093    -0.543689     2.666574
49763.75    -0.508694    -0.347366     1.613852
49764.00    -0.424786    -0.395648     1.400968
49764.25    -0.194088    -0.150826     0.463380
49764.50    -0.180115    -0.083470     0.435864
49764.75    -0.078842     0.255391    -0.744433
49765.00    -0.157920     0.210268    -0.511257
49765.25    -0.111619     0.376128    -0.808704
49765.50    -0.203009     0.347053    -0.267262
49765.75    -0.077260     0.500251    -0.921658
49766.00    -0.127731     0.303245    -0.411233
49766.25     0.029403     0.341840    -0.615755
49766.50     0.103245     0.253688    -0.199239
49766.75     0.313674     0.459245    -1.082238
49767.00     0.262365     0.362100    -0.837529
49767.25     0.304910     0.521899    -1.307583
49767.50     0.215963     0.474318    -1.047346
49767.75     0.286239     0.609743    -1.838503
49768.00     0.211919     0.415777    -1.385511
49768.25     0.318634     0.446571    -1.526868
49768.50     0.210794     0.377098    -0.925593
49768.75     0.203163     0.491429    -1.488539
49769.00     0.037222     0.274468    -0.820832
49769.25    -0.036322     0.282577    -0.724766
49769.50    -0.104647     0.210625    -0.100438
49769.75    -0.037851     0.321837    -0.698434
49770.00    -0.125732     0.098175    -0.146786
49770.25    -0.021502     0.115645    -0.272739
49770.50    -0.020566     0.010698     0.273204
49770.75     0.138486     0.093231    -0.333125
49771.00     0.105248    -0.042548    -0.050782
49771.25     0.284914     0.089842    -0.561439
49771.50     0.273355     0.098154    -0.303768
49771.75     0.401437     0.345047    -1.287750
49772.00     0.330904     0.267507    -1.004912
49772.25     0.382695     0.418099    -1.328814
49772.50     0.272969     0.389677    -0.813188
49772.75     0.328174     0.538611    -1.528129
49773.00     0.161794     0.282144    -0.746303
49773.25     0.163609     0.264313    -0.709572
49773.50     0.065136     0.151415    -0.119568
49773.75     0.195698     0.251666    -0.741473
49774.00     0.127743     0.025083    -0.201173
49774.25     0.226269     0.124340    -0.430741
49774.50     0.217543     0.104405     0.010305
49774.75     0.380220     0.305077    -0.895593
49775.00     0.318992     0.131137    -0.376605
49775.25     0.477800     0.232342    -0.720507
49775.50     0.481597     0.217094    -0.447552
49775.75     0.621956     0.369959    -1.347458
49776.00     0.576718     0.210306    -0.964349
49776.25     0.681659     0.334814    -1.309790
49776.50     0.604329     0.286282    -0.818122
49776.75     0.694139     0.445385    -1.556821
49777.00     0.551098     0.258251    -0.908934
49777.25     0.531061     0.293939    -0.860969
49777.50     0.386240     0.186568    -0.081965
49777.75     0.371013     0.296944    -0.517049
49778.00     0.187435     0.064427     0.178756
49778.25     0.197654     0.128755     0.131660
49778.50     0.092281     0.080034     0.631108
49778.75     0.138865     0.247733    -0.118510
49779.00     0.057488     0.066631     0.303961
49779.25     0.152152     0.171625    -0.028421
49779.50     0.086487     0.129879     0.356637
49779.75     0.148032     0.283746    -0.375889
49780.00     0.121366     0.110240     0.022764
49780.25     0.232343     0.154520    -0.123961
49780.50     0.218120     0.089450     0.304368
49780.75     0.305331     0.202734    -0.328104
49781.00     0.189211     0.022247     0.209626
49781.25     0.161812     0.076284     0.207959
49781.50     0.033161    -0.006023     0.802193
49781.75     0.028636     0.038945     0.393622
49782.00    -0.095410    -0.222936     1.037533
49782.25     0.018260    -0.218973     0.953057
49782.50     0.095085    -0.318573     1.395697
49782.75     0.324387    -0.081953     0.278446
49783.00     0.314029    -0.172166     0.529242
49783.25     0.441819     0.015292     0.074886
49783.50     0.387587     0.044190     0.351741
49783.75     0.483798     0.330850    -0.672996
49784.00     0.322441     0.193635    -0.161180
49784.25     0.308415     0.335883    -0.360169
49784.50     0.130097     0.300726     0.268073
49784.75     0.125057     0.504615    -0.371814
49785.00    -0.110729     0.313633     0.287884
49785.25    -0.178286     0.368722     0.425599
49785.50    -0.372642     0.255586     1.314440
49785.75    -0.445105     0.337272     0.928392
49786.00    -0.621746     0.066158     1.695081
49786.25    -0.565880     0.123399     1.541028
49786.50    -0.755032     0.033197     2.336714
49786.75    -0.800581     0.132307     1.959870
49787.00    -0.972908    -0.075335     2.633952
49787.25    -0.985658    -0.126247     2.769258
49787.50    -1.098139    -0.281305     3.414530
49787.75    -1.016506    -0.207353     2.696904
49788.00    -1.022877    -0.379930     2.907729
49788.25    -0.791763    -0.286966     2.227888
49788.50    -0.721148    -0.312551     2.290610
49788.75    -0.421411    -0.104479     1.022515
49789.00    -0.315061    -0.189567     1.114603
49789.25    -0.038051     0.056356     0.370840
49789.50     0.011018     0.128280     0.550604
49789.75     0.202359     0.329474    -0.442859
49790.00     0.251302     0.200370    -0.209484
49790.25     0.433823     0.378798    -0.719996
49790.50     0.375570     0.335988    -0.217682
49790.75     0.474790     0.495591    -1.063688
49791.00     0.351318     0.284513    -0.632068
49791.25     0.364978     0.306049    -0.835856
49791.50     0.264723     0.172784    -0.281663
49791.75     0.339609     0.267942    -1.014571
49792.00     0.262880     0.049118    -0.467363
49792.25     0.345095     0.115323    -0.681946
49792.50     0.291718     0.059764    -0.122374
49792.75     0.311650     0.172014    -0.703066
49793.00     0.195421     0.009312    -0.241504
49793.25     0.260889     0.158561    -0.653928
49793.50     0.138058     0.149289    -0.250121
49793.75     0.143654     0.306645    -1.074996
49794.00     0.006349     0.138378    -0.740512
49794.25     0.041673     0.264900    -1.177658
49794.50    -0.077871     0.239579    -0.811285
49794.75    -0.053207     0.336272    -1.517291
49795.00    -0.210907     0.028238    -0.797947
49795.25    -0.209301     0.000576    -0.871939
49795.50    -0.335835    -0.133016    -0.204826
49795.75    -0.304093    -0.084854    -0.671195
49796.00    -0.524763    -0.365031     0.308643
49796.25    -0.585345    -0.308009     0.531101
49796.50    -0.801457    -0.387147     1.401215
49796.75    -0.866188    -0.306223     1.054384
49797.00    -1.077299    -0.550258     1.868500
49797.25    -1.034873    -0.483453     1.869614
49797.50    -1.154896    -0.593646     2.584297
49797.75    -1.049617    -0.507576     1.953027
49798.00    -1.049808    -0.689007     2.306129
49798.25    -0.840589    -0.548342     1.767524
49798.50    -0.854524    -0.544519     2.057078
49798.75    -0.695863    -0.319079     1.134007
49799.00    -0.737126    -0.451388     1.686952
49799.25    -0.645491    -0.365960     1.495617
49799.50    -0.691936    -0.425607     2.017542
49799.75    -0.548116    -0.340540     1.311932
49800.00    -0.551525    -0.513059     1.687760
49800.25    -0.305892    -0.332199     0.925440
49800.50    -0.295822    -0.393119     1.237840
49800.75    -0.140165    -0.304149     0.355392
49801.00    -0.149640    -0.497394     0.786751
49801.25     0.099715    -0.275555     0.053303
49801.50     0.069175    -0.303001     0.515103
49801.75     0.221010    -0.097897    -0.444115
49802.00     0.223260    -0.211665    -0.113931
49802.25     0.421098     0.017447    -0.844687
49802.50     0.411693     0.041181    -0.578745
49802.75     0.572227     0.279733    -1.594698
49803.00     0.536582     0.149385    -1.281453
49803.25     0.671899     0.280423    -1.795978
49803.50     0.597381     0.216932    -1.302408
49803.75     0.682760     0.352752    -2.119811
49804.00     0.588247     0.171277    -1.604784
49804.25     0.666889     0.293759    -1.935393
49804.50     0.541986     0.192511    -1.244085
49804.75     0.481740     0.297140    -1.686841
49805.00     0.290858     0.117051    -0.965912
49805.25     0.304246     0.232998    -1.094092
49805.50     0.128508     0.119872    -0.275430
49805.75     0.149946     0.231106    -0.750118
49806.00     0.019818     0.019156    -0.057848
49806.25     0.071854     0.102451    -0.298800
49806.50    -0.054691     0.009333     0.366832
49806.75     0.013083     0.139434    -0.409783
49807.00    -0.106510    -0.091828     0.178934
49807.25    -0.021088     0.043375    -0.327951
49807.50    -0.122970    -0.019161     0.129576
49807.75    -0.040846     0.112131    -0.699110
49808.00    -0.178610    -0.106238    -0.052021
49808.25    -0.162928    -0.018970    -0.296843
49808.50    -0.314366    -0.121152     0.314803
49808.75    -0.307537     0.002577    -0.329624
49809.00    -0.449843    -0.276263     0.497965
49809.25    -0.364028    -0.222078     0.276663
49809.50    -0.386459    -0.304215     0.757539
49809.75    -0.224466    -0.164860    -0.057186
49810.00    -0.223737    -0.359787     0.332894
49810.25    -0.042028    -0.201543    -0.211555
49810.50     0.007895    -0.157669    -0.094698
49810.75     0.141282     0.075980    -1.005941
49811.00     0.049336    -0.095081    -0.566965
49811.25     0.056442     0.052503    -0.884153
49811.50    -0.141695    -0.024373    -0.242295
49811.75     2.242126     1.542596    -5.180964
49812.00    -0.362742    -0.199929     0.222769
49812.25    -0.342773    -0.173899     0.256601
49812.50    -0.456692    -0.304468     1.022338
49812.75    -0.426794    -0.266230     0.540230
49813.00    -0.519269    -0.492259     1.222551
49813.25    -0.462476    -0.389969     0.993374
49813.50    -0.541367    -0.407941     1.435874
49813.75    -0.457339    -0.272616     0.708716
49814.00    -0.506705    -0.445600     1.204335
49814.25    -0.389845    -0.262017     0.733046
49814.50    -0.443605    -0.247489     1.095756
49814.75    -0.392484    -0.140860     0.401542
49815.00    -0.482797    -0.337263     0.922755
49815.25    -0.424570    -0.242876     0.605852
49815.50    -0.483073    -0.319406     1.043489
49815.75    -0.382306    -0.267460     0.342589
49816.00    -0.429438    -0.547852     0.992691
49816.25    -0.284323    -0.482064     0.653555
49816.50    -0.314825    -0.607773     1.210554
49816.75    -0.209941    -0.553582     0.672642
49817.00    -0.195148    -0.683794     1.088727
49817.25     0.012504    -0.433495     0.413443
49817.50    -0.000228    -0.374594     0.718189
49817.75     0.059815    -0.206832     0.029785
49818.00    -0.076326    -0.350068     0.641437
49818.25    -0.017105    -0.156209     0.215759
49818.50    -0.115200    -0.224294     0.912026
49818.75    -0.051912    -0.114607     0.291835
49819.00    -0.132988    -0.288280     0.836271
49819.25    -0.019294    -0.112155     0.421068
49819.50    -0.068739    -0.065624     0.717652
49819.75     0.007817     0.132319    -0.138261
49820.00    -0.099541    -0.001699     0.404098
49820.25    -0.065727     0.131216     0.106501
49820.50    -0.189231     0.033042     0.648388
49820.75    -0.161979     0.096893     0.096557
49821.00    -0.229860    -0.213946     0.849731
49821.25    -0.112038    -0.191799     0.584332
49821.50    -0.116533    -0.270057     1.042314
49821.75     0.034340    -0.210743     0.487552
49822.00    -0.031999    -0.439336     1.190306
49822.25     0.032077    -0.345334     1.038557
49822.50    -0.053589    -0.381289     1.607878
49822.75    -0.048999    -0.271169     1.042690
49823.00    -0.183369    -0.457417     1.684925
49823.25    -0.164057    -0.339140     1.413380
49823.50    -0.255379    -0.363031     1.824317
49823.75    -0.226266    -0.267741     1.237416
49824.00    -0.248175    -0.367731     1.412555
49824.25    -0.132985    -0.200691     0.864987
49824.50    -0.168972    -0.211387     1.103170
49824.75    -0.091517    -0.101338     0.293110
49825.00    -0.157317    -0.272866     0.560369
49825.25    -0.118604    -0.226189     0.381398
49825.50    -0.253855    -0.353262     1.013831
49825.75    -0.301300    -0.361589     0.721939
49826.00    -0.438582    -0.620156     1.511424
49826.25    -0.355612    -0.512265     1.187176
49826.50    -0.416970    -0.542903     1.679765
49826.75    -0.325276    -0.409369     1.094211
49827.00    -0.370323    -0.531098     1.564587
49827.25    -0.285133    -0.387340     1.281029
49827.50    -0.370331    -0.436824     1.776376
49827.75    -0.278447    -0.378333     1.242263
49828.00    -0.235352    -0.594688     1.657440
49828.25     0.027014    -0.460665     1.091278
49828.50     0.090661    -0.461456     1.234714
49828.75     0.286847    -0.304641     0.310854
49829.00     0.330067    -0.349786     0.427107
49829.25     0.516506    -0.122415    -0.242776
49829.50     0.553367    -0.068527    -0.175582
49829.75     0.638623     0.064978    -1.002626
49830.00     0.552838    -0.114433    -0.429100
49830.25     0.624134     0.037372    -0.811842
49830.50     0.542593    -0.003942    -0.349192
49830.75     0.535147     0.055857    -0.829865
49831.00     0.382020    -0.165563    -0.075892
49831.25     0.421955    -0.061498    -0.293199
49831.50     0.301931    -0.128321     0.241799
49831.75     0.309980    -0.049519    -0.258030
49832.00     0.178094    -0.270415     0.464393
49832.25     0.237172    -0.135979     0.098723
49832.50     0.139053    -0.170502     0.484036
49832.75     0.165070    -0.109433    -0.067879
49833.00     0.062444    -0.317357     0.533978
49833.25     0.128139    -0.201993     0.285227
49833.50     0.092225    -0.171029     0.590258
49833.75     0.141704    -0.066936     0.110559
49834.00     0.028664    -0.246536     0.716971
49834.25     0.057364    -0.121320     0.369891
49834.50    -0.004695    -0.136320     0.796945
49834.75     0.035159    -0.002837     0.107407
49835.00    -0.028578    -0.194142     0.570295
49835.25     0.038722    -0.118620     0.173082
49835.50     0.022961    -0.150146     0.500204
49835.75     0.072264    -0.120558     0.034481
49836.00    -0.002422    -0.332069     0.682235
49836.25     0.082323    -0.191802     0.348052
49836.50    -0.002578    -0.220200     0.825198
49836.75     0.017216    -0.125844     0.236251
49837.00    -0.036133    -0.252452     0.572741
49837.25     0.056866    -0.103163     0.114378
49837.50     0.011085    -0.140869     0.571081
49837.75     0.136678    -0.051576    -0.067866
49838.00     0.068928    -0.181665     0.397170
49838.25     0.086571    -0.054595     0.143307
49838.50    -0.145473    -0.108340     0.898302
49838.75    -0.192084    -0.113115     0.623865
49839.00    -0.342253    -0.352239     1.287904
49839.25    -0.301967    -0.301771     1.042708
49839.50    -0.318954    -0.358493     1.306889
49839.75    -0.193498    -0.321192     0.705136
49840.00    -0.191943    -0.531560     1.114109
49840.25     0.006757    -0.353721     0.541467
49840.50    -0.010838    -0.335021     0.757403
49840.75     0.076413    -0.227013     0.049242
49841.00     0.006315    -0.367848     0.489382
49841.25     0.051420    -0.196349     0.108225
49841.50    -0.034574    -0.182151     0.497195
49841.75     0.029287    -0.045629    -0.124786
49842.00    -0.108194    -0.255867     0.546283
49842.25    -0.097387    -0.152301     0.321803
49842.50    -0.202407    -0.125664     0.656627
49842.75    -0.202097    -0.042891     0.152858
49843.00    -0.310417    -0.268722     0.679700
49843.25    -0.279336    -0.177844     0.461563
49843.50    -0.382993    -0.295147     1.106629
49843.75    -0.377664    -0.288256     0.757011
49844.00    -0.413606    -0.476694     1.337921
49844.25    -0.281801    -0.368338     1.005918
49844.50    -0.344991    -0.417299     1.453620
49844.75    -0.272336    -0.349712     0.958949
49845.00    -0.267177    -0.467107     1.247016
49845.25    -0.086048    -0.322349     0.783962
49845.50    -0.090432    -0.333197     1.092384
49845.75     0.010936    -0.224037     0.443587
49846.00    -0.016877    -0.352334     0.817363
49846.25     0.120774    -0.171512     0.220546
49846.50     0.090883    -0.137737     0.331873
49846.75     0.168054    -0.026590    -0.368097
49847.00     0.100707    -0.199766     0.122239
49847.25     0.151057    -0.092678    -0.202659
49847.50     0.047262    -0.149575     0.281318
49847.75     0.033836    -0.079892    -0.259295
49848.00    -0.126893    -0.287382     0.490666
49848.25    -0.138734    -0.219134     0.340071
49848.50    -0.317347    -0.324664     1.040802
49848.75    -0.349310    -0.339258     0.737054
49849.00    -0.518970    -0.628597     1.540993
49849.25    -0.509867    -0.623159     1.516918
49849.50    -0.565736    -0.719674     2.012597
49849.75    -0.511291    -0.711523     1.658653
49850.00    -0.601137    -0.922775     2.390416
49850.25    -0.567957    -0.808965     2.299848
49850.50    -0.641505    -0.865095     2.890885
49850.75    -0.566153    -0.763485     2.332039
49851.00    -0.551771    -0.816227     2.531101
49851.25    -0.393455    -0.511816     1.771082
49851.50    -0.396902    -0.379649     1.662450
49851.75    -0.278371    -0.155881     0.697199
49852.00    -0.373057    -0.302763     1.103037
49852.25    -0.315250    -0.157981     0.688564
49852.50    -0.370841    -0.150480     0.920980
49852.75    -0.304790    -0.104450     0.308399
49853.00    -0.440378    -0.404043     1.012352
49853.25    -0.389696    -0.374290     0.886512
49853.50    -0.482892    -0.477470     1.413687
49853.75    -0.446744    -0.464519     1.065260
49854.00    -0.535425    -0.684281     1.707317
49854.25    -0.394237    -0.566198     1.380802
49854.50    -0.395135    -0.587412     1.714978
49854.75    -0.231765    -0.444150     1.027541
49855.00    -0.220192    -0.555629     1.417200
49855.25    -0.045543    -0.363137     0.933922
49855.50    -0.016998    -0.332205     1.028527
49855.75     0.140086    -0.190487     0.340829
49856.00     0.125286    -0.351196     0.799885
49856.25     0.255373    -0.207499     0.365507
49856.50     0.219887    -0.198712     0.595139
49856.75     0.258442    -0.129609     0.069356
49857.00     0.134412    -0.321364     0.691008
49857.25     0.171869    -0.208879     0.407790
49857.50     0.093315    -0.238529     0.809657
49857.75     0.113217    -0.180630     0.407633
49858.00     0.018665    -0.364876     1.035355
49858.25     0.110679    -0.227114     0.764188
49858.50     0.078893    -0.214893     1.034110
49858.75     0.154134    -0.120952     0.443391
49859.00     0.033578    -0.320311     1.098717
49859.25     0.130967    -0.195232     0.774319
49859.50     0.068907    -0.194167     1.091764
49859.75     0.148630    -0.108089     0.512916
49860.00     0.063743    -0.269841     1.005814
49860.25     0.185920    -0.174284     0.596034
49860.50     0.155914    -0.181824     0.881833
49860.75     0.243459    -0.113514     0.234962
49861.00     0.166510    -0.280478     0.733313
49861.25     0.268452    -0.153001     0.322960
49861.50     0.214952    -0.139464     0.659216
49861.75     0.257788    -0.039346     0.161563
49862.00     0.182493    -0.200063     0.718391
49862.25     0.254572    -0.086344     0.478975
49862.50     0.194187    -0.119189     0.958290
49862.75     0.245804    -0.049708     0.404247
49863.00     0.150435    -0.225482     0.872854
49863.25     0.249287    -0.056258     0.359432
49863.50     0.168947    -0.107561     0.740518
49863.75     0.210881    -0.056469     0.261818
49864.00     0.133395    -0.241737     0.775127
49864.25     0.221030    -0.102949     0.412194
49864.50     0.180637    -0.142161     0.764951
49864.75     0.229166    -0.091345     0.349495
49865.00     0.132660    -0.249608     0.791261
49865.25     0.238124    -0.142253     0.433284
49865.50     0.180384    -0.159099     0.692546
49865.75     0.228326    -0.058988     0.124013
49866.00     0.119103    -0.221779     0.655476
49866.25     0.175658    -0.088800     0.271369
49866.50     0.124611    -0.086201     0.571588
49866.75     0.137574     0.003776     0.008786
49867.00    -0.000741    -0.136082     0.405736
49867.25     0.055915    -0.001060     0.041271
49867.50     0.004849    -0.000045     0.265576
49867.75     0.039711     0.063212    -0.252055
49868.00    -0.066233    -0.135887     0.305917
49868.25     0.017016    -0.064797     0.051324
49868.50    -0.033232    -0.099313     0.390171
49868.75     0.042792    -0.017218    -0.148103
49869.00    -0.039235    -0.214123     0.433767
49869.25     0.030887    -0.111249     0.207502
49869.50    -0.059630    -0.173998     0.738108
49869.75    -0.041340    -0.107460     0.326764
49870.00    -0.168246    -0.305615     0.965479
49870.25    -0.061320    -0.215871     0.749183
49870.50    -0.117800    -0.251232     1.123702
49870.75    -0.061705    -0.177857     0.625420
49871.00    -0.138901    -0.374259     1.115406
49871.25    -0.004506    -0.246940     0.699305
49871.50    -0.032909    -0.243950     0.958182
49871.75     0.031480    -0.150889     0.414860
49872.00    -0.037417    -0.275745     0.752081
49872.25     0.030420    -0.132383     0.417683
49872.50    -0.023475    -0.112652     0.643310
49872.75    -0.007430    -0.028046     0.096607
